"plb0196_h","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1990","Not Employed","inadequately","7","","","","2"
"No","1990","Not Employed","middle vocational","39","1","1","1","2"
"No","1990","Employed","middle vocational","1788","1","1","1","2"
"No","1990","Employed","higher education","261","1","1","1","2"
"No","1990","Not Employed","vocational + Abi","","","","","2"
"No","1990","Not Employed","higher vocational","2","","","","2"
"No","1990","Not Employed","in school","2","","","","2"
"No","1990","Not Employed","higher education","6","","","","2"
"No","1990","Employed","in school","4","","","","2"
"No","1990","Employed","inadequately","264","1","1","1","2"
"No","1990","Employed","general elemantary","936","1","1","1","2"
"Yes","1990","Not Employed","in school","","","","","1"
"Yes","1990","Not Employed","inadequately","","","","","1"
"Yes","1990","Not Employed","general elemantary","","","","","1"
"Yes","1990","Not Employed","middle vocational","","","","","1"
"Yes","1990","Not Employed","vocational + Abi","","","","","1"
"Yes","1990","Not Employed","higher vocational","","","","","1"
"Yes","1990","Not Employed","higher education","","","","","1"
"Yes","1990","Employed","in school","","","","","1"
"Yes","1990","Employed","inadequately","","","","","1"
"Yes","1990","Employed","general elemantary","","","","","1"
"Yes","1990","Employed","middle vocational","","","","","1"
"Yes","1990","Employed","vocational + Abi","","","","","1"
"Yes","1990","Employed","higher vocational","","","","","1"
"Yes","1990","Employed","higher education","","","","","1"
"No","1991","Not Employed","general elemantary","38","1","1","1","2"
"No","1991","Employed","vocational + Abi","117","1","1","1","2"
"No","1991","Employed","higher vocational","204","1","1","1","2"
"No","1991","Not Employed","middle vocational","45","1","1","1","2"
"No","1991","Not Employed","vocational + Abi","2","","","","2"
"No","1991","Not Employed","inadequately","11","","","","2"
"No","1991","Not Employed","higher vocational","","","","","2"
"No","1991","Employed","middle vocational","1712","1","1","1","2"
"No","1991","Employed","higher education","274","1","1","1","2"
"No","1991","Not Employed","in school","2","","","","2"
"No","1991","Not Employed","higher education","10","","","","2"
"No","1991","Employed","in school","5","","","","2"
"No","1991","Employed","inadequately","261","1","1","1","2"
"No","1991","Employed","general elemantary","908","1","1","1","2"
"Yes","1991","Not Employed","in school","","","","","1"
"Yes","1991","Not Employed","inadequately","","","","","1"
"Yes","1991","Not Employed","general elemantary","","","","","1"
"Yes","1991","Not Employed","middle vocational","","","","","1"
"Yes","1991","Not Employed","vocational + Abi","","","","","1"
"Yes","1991","Not Employed","higher vocational","","","","","1"
"Yes","1991","Not Employed","higher education","","","","","1"
"Yes","1991","Employed","in school","","","","","1"
"Yes","1991","Employed","inadequately","","","","","1"
"Yes","1991","Employed","general elemantary","","","","","1"
"Yes","1991","Employed","middle vocational","","","","","1"
"Yes","1991","Employed","vocational + Abi","","","","","1"
"Yes","1991","Employed","higher vocational","","","","","1"
"Yes","1991","Employed","higher education","","","","","1"
"No","1992","Not Employed","vocational + Abi","2","","","","2"
"No","1992","Not Employed","general elemantary","29","","","","2"
"No","1992","Employed","vocational + Abi","136","1","1","1","2"
"No","1992","Not Employed","middle vocational","50","1","1","1","2"
"No","1992","Not Employed","inadequately","3","","","","2"
"No","1992","Not Employed","higher vocational","1","","","","2"
"No","1992","Employed","higher vocational","326","1","1","1","2"
"No","1992","Employed","higher education","600","1","1","1","2"
"No","1992","Employed","middle vocational","2534","1","1","1","2"
"No","1992","Not Employed","in school","","","","","2"
"No","1992","Not Employed","higher education","13","","","","2"
"No","1992","Employed","in school","17","","","","2"
"No","1992","Employed","inadequately","234","1","1","1","2"
"No","1992","Employed","general elemantary","1011","1","1","1","2"
"Yes","1992","Not Employed","in school","","","","","1"
"Yes","1992","Not Employed","inadequately","","","","","1"
"Yes","1992","Not Employed","general elemantary","","","","","1"
"Yes","1992","Not Employed","middle vocational","","","","","1"
"Yes","1992","Not Employed","vocational + Abi","","","","","1"
"Yes","1992","Not Employed","higher vocational","","","","","1"
"Yes","1992","Not Employed","higher education","","","","","1"
"Yes","1992","Employed","in school","","","","","1"
"Yes","1992","Employed","inadequately","","","","","1"
"Yes","1992","Employed","general elemantary","","","","","1"
"Yes","1992","Employed","middle vocational","","","","","1"
"Yes","1992","Employed","vocational + Abi","","","","","1"
"Yes","1992","Employed","higher vocational","","","","","1"
"Yes","1992","Employed","higher education","","","","","1"
"No","1993","Not Employed","vocational + Abi","5","","","","2"
"No","1993","Not Employed","general elemantary","32","1","1","1","2"
"No","1993","Not Employed","middle vocational","70","1","1","1","2"
"No","1993","Employed","vocational + Abi","152","1","1","1","2"
"No","1993","Employed","higher vocational","310","1","1","1","2"
"No","1993","Not Employed","inadequately","9","","","","2"
"No","1993","Not Employed","higher vocational","10","","","","2"
"No","1993","Employed","higher education","567","1","1","1","2"
"No","1993","Employed","middle vocational","2488","1","1","1","2"
"No","1993","Not Employed","in school","1","","","","2"
"No","1993","Not Employed","higher education","15","","","","2"
"No","1993","Employed","in school","8","","","","2"
"No","1993","Employed","inadequately","237","1","1","1","2"
"No","1993","Employed","general elemantary","961","1","1","1","2"
"Yes","1993","Not Employed","in school","","","","","1"
"Yes","1993","Not Employed","inadequately","","","","","1"
"Yes","1993","Not Employed","general elemantary","","","","","1"
"Yes","1993","Not Employed","middle vocational","","","","","1"
"Yes","1993","Not Employed","vocational + Abi","","","","","1"
"Yes","1993","Not Employed","higher vocational","","","","","1"
"Yes","1993","Not Employed","higher education","","","","","1"
"Yes","1993","Employed","in school","","","","","1"
"Yes","1993","Employed","inadequately","","","","","1"
"Yes","1993","Employed","general elemantary","","","","","1"
"Yes","1993","Employed","middle vocational","","","","","1"
"Yes","1993","Employed","vocational + Abi","","","","","1"
"Yes","1993","Employed","higher vocational","","","","","1"
"Yes","1993","Employed","higher education","","","","","1"
"No","1994","Not Employed","general elemantary","25","","","","2"
"No","1994","Not Employed","vocational + Abi","4","","","","2"
"No","1994","Not Employed","inadequately","6","","","","2"
"No","1994","Not Employed","middle vocational","62","1","1","1","2"
"No","1994","Employed","vocational + Abi","128","1","1","1","2"
"No","1994","Employed","higher vocational","317","1","1","1","2"
"No","1994","Not Employed","in school","1","","","","2"
"No","1994","Not Employed","higher vocational","6","","","","2"
"No","1994","Employed","higher education","571","1","1","1","2"
"No","1994","Employed","middle vocational","2316","1","1","1","2"
"No","1994","Not Employed","higher education","21","","","","2"
"No","1994","Employed","in school","9","","","","2"
"No","1994","Employed","inadequately","213","1","1","1","2"
"No","1994","Employed","general elemantary","819","1","1","1","2"
"Yes","1994","Not Employed","in school","","","","","1"
"Yes","1994","Not Employed","inadequately","","","","","1"
"Yes","1994","Not Employed","general elemantary","","","","","1"
"Yes","1994","Not Employed","middle vocational","","","","","1"
"Yes","1994","Not Employed","vocational + Abi","","","","","1"
"Yes","1994","Not Employed","higher vocational","","","","","1"
"Yes","1994","Not Employed","higher education","","","","","1"
"Yes","1994","Employed","in school","","","","","1"
"Yes","1994","Employed","inadequately","","","","","1"
"Yes","1994","Employed","general elemantary","","","","","1"
"Yes","1994","Employed","middle vocational","","","","","1"
"Yes","1994","Employed","vocational + Abi","","","","","1"
"Yes","1994","Employed","higher vocational","","","","","1"
"Yes","1994","Employed","higher education","","","","","1"
"No","1995","Not Employed","inadequately","1","","","","2"
"No","1995","Not Employed","general elemantary","32","1","1","1","2"
"No","1995","Not Employed","middle vocational","85","1","1","1","2"
"No","1995","Not Employed","vocational + Abi","5","","","","2"
"No","1995","Employed","vocational + Abi","161","1","1","1","2"
"No","1995","Employed","higher education","621","1","1","1","2"
"No","1995","Employed","higher vocational","290","1","1","1","2"
"No","1995","Not Employed","in school","4","","","","2"
"No","1995","Not Employed","higher vocational","7","","","","2"
"No","1995","Employed","middle vocational","2309","1","1","1","2"
"No","1995","Not Employed","higher education","16","","","","2"
"No","1995","Employed","in school","6","","","","2"
"No","1995","Employed","inadequately","183","1","1","1","2"
"No","1995","Employed","general elemantary","776","1","1","1","2"
"Yes","1995","Not Employed","vocational + Abi","","","","","1"
"Yes","1995","Not Employed","higher vocational","","","","","1"
"Yes","1995","Not Employed","higher education","","","","","1"
"Yes","1995","Employed","in school","","","","","1"
"Yes","1995","Employed","inadequately","","","","","1"
"Yes","1995","Not Employed","in school","","","","","1"
"Yes","1995","Not Employed","inadequately","","","","","1"
"Yes","1995","Not Employed","general elemantary","","","","","1"
"Yes","1995","Not Employed","middle vocational","","","","","1"
"Yes","1995","Employed","general elemantary","","","","","1"
"Yes","1995","Employed","middle vocational","","","","","1"
"Yes","1995","Employed","vocational + Abi","","","","","1"
"Yes","1995","Employed","higher vocational","","","","","1"
"Yes","1995","Employed","higher education","","","","","1"
"No","1996","Not Employed","inadequately","1","","","","2"
"No","1996","Not Employed","general elemantary","29","","","","2"
"No","1996","Employed","higher vocational","276","1","1","1","2"
"No","1996","Employed","higher education","618","1","1","1","2"
"No","1996","Employed","vocational + Abi","159","1","1","1","2"
"No","1996","Not Employed","middle vocational","62","1","1","1","2"
"No","1996","Not Employed","vocational + Abi","5","","","","2"
"No","1996","Not Employed","in school","2","","","","2"
"No","1996","Not Employed","higher vocational","7","","","","2"
"No","1996","Employed","middle vocational","2254","1","1","1","2"
"No","1996","Not Employed","higher education","10","","","","2"
"No","1996","Employed","in school","3","","","","2"
"No","1996","Employed","inadequately","170","1","1","1","2"
"No","1996","Employed","general elemantary","771","1","1","1","2"
"Yes","1996","Not Employed","vocational + Abi","","","","","1"
"Yes","1996","Not Employed","higher vocational","","","","","1"
"Yes","1996","Not Employed","higher education","","","","","1"
"Yes","1996","Employed","in school","","","","","1"
"Yes","1996","Employed","inadequately","","","","","1"
"Yes","1996","Not Employed","in school","","","","","1"
"Yes","1996","Not Employed","inadequately","","","","","1"
"Yes","1996","Not Employed","general elemantary","","","","","1"
"Yes","1996","Not Employed","middle vocational","","","","","1"
"Yes","1996","Employed","general elemantary","","","","","1"
"Yes","1996","Employed","middle vocational","","","","","1"
"Yes","1996","Employed","vocational + Abi","","","","","1"
"Yes","1996","Employed","higher vocational","","","","","1"
"Yes","1996","Employed","higher education","","","","","1"
"No","1997","Not Employed","inadequately","1","","","","2"
"No","1997","Not Employed","general elemantary","6","","","","2"
"No","1997","Employed","vocational + Abi","59","1","1","1","2"
"No","1997","Employed","higher vocational","107","1","1","1","2"
"No","1997","Employed","higher education","193","1","1","1","2"
"No","1997","Not Employed","middle vocational","9","","","","2"
"No","1997","Not Employed","vocational + Abi","2","","","","2"
"No","1997","Not Employed","in school","","","","","2"
"No","1997","Not Employed","higher vocational","","","","","2"
"No","1997","Employed","middle vocational","783","1","1","1","2"
"No","1997","Not Employed","higher education","1","","","","2"
"No","1997","Employed","in school","2","","","","2"
"No","1997","Employed","inadequately","33","1","1","1","2"
"No","1997","Employed","general elemantary","196","1","1","1","2"
"Yes","1997","Not Employed","vocational + Abi","","","","","1"
"Yes","1997","Not Employed","higher vocational","","","","","1"
"Yes","1997","Not Employed","higher education","","","","","1"
"Yes","1997","Employed","in school","","","","","1"
"Yes","1997","Employed","inadequately","","","","","1"
"Yes","1997","Not Employed","in school","","","","","1"
"Yes","1997","Not Employed","inadequately","","","","","1"
"Yes","1997","Not Employed","general elemantary","","","","","1"
"Yes","1997","Not Employed","middle vocational","","","","","1"
"Yes","1997","Employed","general elemantary","","","","","1"
"Yes","1997","Employed","middle vocational","","","","","1"
"Yes","1997","Employed","vocational + Abi","","","","","1"
"Yes","1997","Employed","higher vocational","","","","","1"
"Yes","1997","Employed","higher education","","","","","1"
"No","1998","Not Employed","inadequately","1","","","","2"
"No","1998","Not Employed","middle vocational","9","","","","2"
"No","1998","Not Employed","general elemantary","5","","","","2"
"No","1998","Not Employed","vocational + Abi","1","","","","2"
"No","1998","Not Employed","in school","","","","","2"
"No","1998","Employed","middle vocational","829","1","1","1","2"
"No","1998","Employed","vocational + Abi","45","1","1","1","2"
"No","1998","Employed","higher vocational","107","1","1","1","2"
"No","1998","Employed","higher education","209","1","1","1","2"
"No","1998","Not Employed","higher vocational","1","","","","2"
"No","1998","Not Employed","higher education","6","","","","2"
"No","1998","Employed","in school","1","","","","2"
"No","1998","Employed","inadequately","28","","","","2"
"No","1998","Employed","general elemantary","216","1","1","1","2"
"Yes","1998","Not Employed","vocational + Abi","","","","","1"
"Yes","1998","Not Employed","higher vocational","","","","","1"
"Yes","1998","Not Employed","higher education","","","","","1"
"Yes","1998","Employed","in school","","","","","1"
"Yes","1998","Employed","inadequately","","","","","1"
"Yes","1998","Not Employed","in school","","","","","1"
"Yes","1998","Not Employed","inadequately","","","","","1"
"Yes","1998","Not Employed","general elemantary","","","","","1"
"Yes","1998","Not Employed","middle vocational","","","","","1"
"Yes","1998","Employed","general elemantary","","","","","1"
"Yes","1998","Employed","middle vocational","","","","","1"
"Yes","1998","Employed","vocational + Abi","","","","","1"
"Yes","1998","Employed","higher vocational","","","","","1"
"Yes","1998","Employed","higher education","","","","","1"
"No","1999","Not Employed","inadequately","","","","","2"
"No","1999","Not Employed","middle vocational","12","","","","2"
"No","1999","Not Employed","general elemantary","2","","","","2"
"No","1999","Not Employed","vocational + Abi","","","","","2"
"No","1999","Not Employed","in school","","","","","2"
"No","1999","Employed","middle vocational","819","1","1","1","2"
"No","1999","Employed","vocational + Abi","45","1","1","1","2"
"No","1999","Employed","higher vocational","103","1","1","1","2"
"No","1999","Employed","higher education","205","1","1","1","2"
"No","1999","Not Employed","higher vocational","","","","","2"
"No","1999","Not Employed","higher education","2","","","","2"
"No","1999","Employed","in school","1","","","","2"
"No","1999","Employed","inadequately","22","","","","2"
"No","1999","Employed","general elemantary","179","1","1","1","2"
"Yes","1999","Not Employed","vocational + Abi","","","","","1"
"Yes","1999","Not Employed","higher vocational","","","","","1"
"Yes","1999","Not Employed","higher education","","","","","1"
"Yes","1999","Employed","in school","","","","","1"
"Yes","1999","Employed","inadequately","","","","","1"
"Yes","1999","Employed","higher education","","","","","1"
"Yes","1999","Not Employed","in school","","","","","1"
"Yes","1999","Not Employed","inadequately","","","","","1"
"Yes","1999","Not Employed","general elemantary","","","","","1"
"Yes","1999","Not Employed","middle vocational","","","","","1"
"Yes","1999","Employed","general elemantary","","","","","1"
"Yes","1999","Employed","middle vocational","","","","","1"
"Yes","1999","Employed","vocational + Abi","","","","","1"
"Yes","1999","Employed","higher vocational","","","","","1"
"No","2000","Not Employed","inadequately","","","","","2"
"No","2000","Not Employed","middle vocational","28","","","","2"
"No","2000","Not Employed","general elemantary","4","","","","2"
"No","2000","Not Employed","vocational + Abi","1","","","","2"
"No","2000","Not Employed","in school","","","","","2"
"No","2000","Employed","middle vocational","1421","1","1","1","2"
"No","2000","Employed","vocational + Abi","136","1","1","1","2"
"No","2000","Employed","higher vocational","228","1","1","1","2"
"No","2000","Employed","higher education","428","1","1","1","2"
"No","2000","Not Employed","higher vocational","2","","","","2"
"No","2000","Not Employed","higher education","3","","","","2"
"No","2000","Employed","in school","3","","","","2"
"No","2000","Employed","inadequately","18","","","","2"
"No","2000","Employed","general elemantary","248","1","1","1","2"
"Yes","2000","Not Employed","vocational + Abi","","","","","1"
"Yes","2000","Not Employed","higher vocational","","","","","1"
"Yes","2000","Not Employed","higher education","","","","","1"
"Yes","2000","Employed","in school","","","","","1"
"Yes","2000","Employed","inadequately","","","","","1"
"Yes","2000","Employed","higher education","","","","","1"
"Yes","2000","Not Employed","in school","","","","","1"
"Yes","2000","Not Employed","inadequately","","","","","1"
"Yes","2000","Not Employed","general elemantary","","","","","1"
"Yes","2000","Not Employed","middle vocational","","","","","1"
"Yes","2000","Employed","general elemantary","","","","","1"
"Yes","2000","Employed","middle vocational","","","","","1"
"Yes","2000","Employed","vocational + Abi","","","","","1"
"Yes","2000","Employed","higher vocational","","","","","1"
"No","2001","Not Employed","inadequately","","","","","2"
"No","2001","Not Employed","general elemantary","","","","","2"
"No","2001","Not Employed","middle vocational","","","","","2"
"No","2001","Not Employed","vocational + Abi","","","","","2"
"No","2001","Not Employed","in school","","","","","2"
"No","2001","Not Employed","higher vocational","","","","","2"
"No","2001","Employed","middle vocational","","","","","2"
"No","2001","Employed","vocational + Abi","","","","","2"
"No","2001","Employed","higher vocational","","","","","2"
"No","2001","Employed","higher education","","","","","2"
"No","2001","Not Employed","higher education","","","","","2"
"No","2001","Employed","in school","","","","","2"
"No","2001","Employed","inadequately","","","","","2"
"No","2001","Employed","general elemantary","","","","","2"
"Yes","2001","Not Employed","vocational + Abi","","","","","1"
"Yes","2001","Not Employed","higher vocational","","","","","1"
"Yes","2001","Not Employed","higher education","","","","","1"
"Yes","2001","Employed","in school","","","","","1"
"Yes","2001","Employed","inadequately","","","","","1"
"Yes","2001","Employed","higher education","","","","","1"
"Yes","2001","Not Employed","in school","","","","","1"
"Yes","2001","Not Employed","inadequately","","","","","1"
"Yes","2001","Not Employed","general elemantary","","","","","1"
"Yes","2001","Not Employed","middle vocational","","","","","1"
"Yes","2001","Employed","general elemantary","","","","","1"
"Yes","2001","Employed","middle vocational","","","","","1"
"Yes","2001","Employed","vocational + Abi","","","","","1"
"Yes","2001","Employed","higher vocational","","","","","1"
"No","2002","Not Employed","middle vocational","12","","","","2"
"No","2002","Not Employed","vocational + Abi","1","","","","2"
"No","2002","Employed","middle vocational","1296","0.332743769363872","0.317968763213877","0.347518775513867","2"
"No","2002","Employed","vocational + Abi","141","0.294930996293286","0.255276516667412","0.33458547591916","2"
"No","2002","Not Employed","inadequately","","","","","2"
"No","2002","Not Employed","general elemantary","9","","","","2"
"No","2002","Employed","higher vocational","199","0.276124339148489","0.24402069841781","0.308227979879168","2"
"No","2002","Employed","higher education","457","0.209753070095859","0.192728794770743","0.226777345420975","2"
"No","2002","Not Employed","in school","1","","","","2"
"No","2002","Not Employed","higher vocational","2","","","","2"
"No","2002","Not Employed","higher education","7","","","","2"
"No","2002","Employed","in school","11","","","","2"
"No","2002","Employed","inadequately","11","","","","2"
"No","2002","Employed","general elemantary","180","0.432779733788769","0.387204438416585","0.478355029160953","2"
"Yes","2002","Not Employed","vocational + Abi","3","","","","1"
"Yes","2002","Not Employed","higher vocational","2","","","","1"
"Yes","2002","Not Employed","higher education","1","","","","1"
"Yes","2002","Employed","in school","14","","","","1"
"Yes","2002","Employed","inadequately","18","","","","1"
"Yes","2002","Employed","higher education","1740","0.790246929904141","0.773222654579025","0.807271205229257","1"
"Yes","2002","Not Employed","in school","","","","","1"
"Yes","2002","Not Employed","inadequately","","","","","1"
"Yes","2002","Employed","vocational + Abi","367","0.705069003706714","0.66541452408084","0.744723483332588","1"
"Yes","2002","Employed","higher vocational","546","0.723875660851511","0.691772020120832","0.75597930158219","1"
"Yes","2002","Not Employed","general elemantary","2","","","","1"
"Yes","2002","Not Employed","middle vocational","16","","","","1"
"Yes","2002","Employed","general elemantary","274","0.567220266211231","0.521644970839047","0.612795561583415","1"
"Yes","2002","Employed","middle vocational","2611","0.667256230636128","0.652481224486133","0.682031236786123","1"
"No","2003","Not Employed","middle vocational","16","","","","2"
"No","2003","Not Employed","vocational + Abi","2","","","","2"
"No","2003","Employed","middle vocational","1242","0.332801553084052","0.317691539918002","0.347911566250102","2"
"No","2003","Employed","vocational + Abi","146","0.304304013244932","0.264642762259157","0.343965264230708","2"
"No","2003","Not Employed","inadequately","","","","","2"
"No","2003","Not Employed","general elemantary","7","","","","2"
"No","2003","Employed","higher vocational","194","0.253383975942982","0.221657800696932","0.285110151189033","2"
"No","2003","Employed","higher education","447","0.208121684511964","0.190413753432164","0.225829615591765","2"
"No","2003","Not Employed","in school","","","","","2"
"No","2003","Not Employed","higher vocational","4","","","","2"
"No","2003","Not Employed","higher education","5","","","","2"
"No","2003","Employed","in school","2","","","","2"
"No","2003","Employed","inadequately","11","","","","2"
"No","2003","Employed","general elemantary","171","0.399523143086909","0.353705268551976","0.445341017621842","2"
"Yes","2003","Not Employed","vocational + Abi","3","","","","1"
"Yes","2003","Not Employed","higher vocational","2","","","","1"
"Yes","2003","Not Employed","higher education","6","","","","1"
"Yes","2003","Employed","in school","1","","","","1"
"Yes","2003","Employed","inadequately","19","","","","1"
"Yes","2003","Employed","higher education","1572","0.791878315488036","0.774170384408235","0.809586246567836","1"
"Yes","2003","Not Employed","in school","1","","","","1"
"Yes","2003","Not Employed","inadequately","","","","","1"
"Yes","2003","Employed","vocational + Abi","371","0.695695986755067","0.656034735769292","0.735357237740843","1"
"Yes","2003","Employed","higher vocational","528","0.746616024057018","0.714889848810967","0.778342199303069","1"
"Yes","2003","Not Employed","general elemantary","4","","","","1"
"Yes","2003","Not Employed","middle vocational","14","","","","1"
"Yes","2003","Employed","general elemantary","268","0.600476856913091","0.554658982378158","0.646294731448024","1"
"Yes","2003","Employed","middle vocational","2494","0.667198446915948","0.652088433749898","0.682308460081998","1"
"No","2004","Not Employed","inadequately","","","","","2"
"No","2004","Not Employed","general elemantary","2","","","","2"
"No","2004","Not Employed","middle vocational","7","","","","2"
"No","2004","Not Employed","vocational + Abi","2","","","","2"
"No","2004","Employed","middle vocational","1115","0.327855634031151","0.312420049011532","0.34329121905077","2"
"No","2004","Employed","vocational + Abi","150","0.285013252416137","0.245563378309522","0.324463126522752","2"
"No","2004","Employed","higher vocational","170","0.211392432161612","0.18146494465977","0.241319919663454","2"
"No","2004","Employed","higher education","469","0.245911566923269","0.226943803945043","0.264879329901494","2"
"No","2004","Not Employed","in school","","","","","2"
"No","2004","Not Employed","higher vocational","2","","","","2"
"No","2004","Not Employed","higher education","8","","","","2"
"No","2004","Employed","in school","3","","","","2"
"No","2004","Employed","inadequately","8","","","","2"
"No","2004","Employed","general elemantary","167","0.404386091238545","0.357782024903955","0.450990157573135","2"
"Yes","2004","Not Employed","vocational + Abi","1","","","","1"
"Yes","2004","Not Employed","higher vocational","1","","","","1"
"Yes","2004","Not Employed","higher education","4","","","","1"
"Yes","2004","Employed","in school","3","","","","1"
"Yes","2004","Not Employed","in school","1","","","","1"
"Yes","2004","Not Employed","inadequately","","","","","1"
"Yes","2004","Not Employed","general elemantary","5","","","","1"
