"plb0196_h","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1988","Bavaria","indirect migration background","","","",""
"Yes","1988","Berlin","no migration background","","","",""
"Yes","1988","Berlin","direct migration background","","","",""
"Yes","1988","Berlin","indirect migration background","","","",""
"Yes","1988","Brandenburg","no migration background","","","",""
"Yes","1988","Brandenburg","direct migration background","","","",""
"Yes","1988","Brandenburg","indirect migration background","","","",""
"Yes","1988","Mecklenburg-Western Pomerania","no migration background","","","",""
"Yes","1988","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","1988","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","1988","Saxony","no migration background","","","",""
"Yes","1988","Saxony","direct migration background","","","",""
"Yes","1988","Saxony","indirect migration background","","","",""
"Yes","1988","Saxony-Anhalt","no migration background","","","",""
"Yes","1988","Saxony-Anhalt","direct migration background","","","",""
"Yes","1988","Saxony-Anhalt","indirect migration background","","","",""
"Yes","1988","Thuringia","no migration background","","","",""
"Yes","1988","Thuringia","direct migration background","","","",""
"Yes","1988","Thuringia","indirect migration background","","","",""
"No","1988","Schleswig-Holstein","no migration background","97","1","1","1"
"No","1988","Schleswig-Holstein","direct migration background","21","","",""
"No","1988","Schleswig-Holstein","indirect migration background","","","",""
"No","1988","Hamburg","no migration background","38","1","1","1"
"No","1988","Hamburg","direct migration background","24","","",""
"No","1988","Hamburg","indirect migration background","1","","",""
"No","1988","Lower Saxony","no migration background","329","1","1","1"
"No","1988","Lower Saxony","direct migration background","65","1","1","1"
"No","1988","Lower Saxony","indirect migration background","5","","",""
"No","1988","Bremen","no migration background","22","","",""
"No","1988","Bremen","direct migration background","3","","",""
"No","1988","Bremen","indirect migration background","1","","",""
"No","1988","North Rhine-Westphalia","no migration background","684","1","1","1"
"No","1988","North Rhine-Westphalia","direct migration background","319","1","1","1"
"No","1988","North Rhine-Westphalia","indirect migration background","23","","",""
"No","1988","Hesse","no migration background","227","1","1","1"
"No","1988","Hesse","direct migration background","198","1","1","1"
"No","1988","Hesse","indirect migration background","7","","",""
"No","1988","Rhineland-Palatinate,Saarland","no migration background","204","1","1","1"
"No","1988","Rhineland-Palatinate,Saarland","direct migration background","59","1","1","1"
"No","1988","Rhineland-Palatinate,Saarland","indirect migration background","2","","",""
"No","1988","Baden-Württemberg","no migration background","433","1","1","1"
"No","1988","Baden-Württemberg","direct migration background","354","1","1","1"
"No","1988","Baden-Württemberg","indirect migration background","23","","",""
"No","1988","Bavaria","no migration background","514","1","1","1"
"No","1988","Bavaria","direct migration background","191","1","1","1"
"No","1988","Bavaria","indirect migration background","25","","",""
"No","1988","Berlin","no migration background","99","1","1","1"
"No","1988","Berlin","direct migration background","57","1","1","1"
"No","1988","Berlin","indirect migration background","2","","",""
"No","1988","Brandenburg","no migration background","","","",""
"No","1988","Brandenburg","direct migration background","","","",""
"No","1988","Brandenburg","indirect migration background","","","",""
"No","1988","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","1988","Mecklenburg-Western Pomerania","direct migration background","","","",""
"No","1988","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","1988","Saxony","no migration background","","","",""
"No","1988","Saxony","direct migration background","","","",""
"No","1988","Saxony","indirect migration background","","","",""
"No","1988","Saxony-Anhalt","no migration background","","","",""
"No","1988","Saxony-Anhalt","direct migration background","","","",""
"No","1988","Saxony-Anhalt","indirect migration background","","","",""
"No","1988","Thuringia","no migration background","","","",""
"No","1988","Thuringia","direct migration background","","","",""
"No","1988","Thuringia","indirect migration background","","","",""
"Yes","1989","Schleswig-Holstein","no migration background","","","",""
"Yes","1989","Schleswig-Holstein","direct migration background","","","",""
"Yes","1989","Schleswig-Holstein","indirect migration background","","","",""
"Yes","1989","Hamburg","no migration background","","","",""
"Yes","1989","Hamburg","direct migration background","","","",""
"Yes","1989","Hamburg","indirect migration background","","","",""
"Yes","1989","Lower Saxony","no migration background","","","",""
"Yes","1989","Lower Saxony","direct migration background","","","",""
"Yes","1989","Lower Saxony","indirect migration background","","","",""
"Yes","1989","Bremen","no migration background","","","",""
"Yes","1989","Bremen","direct migration background","","","",""
"Yes","1989","Bremen","indirect migration background","","","",""
"Yes","1989","North Rhine-Westphalia","no migration background","","","",""
"Yes","1989","North Rhine-Westphalia","direct migration background","","","",""
"Yes","1989","North Rhine-Westphalia","indirect migration background","","","",""
"Yes","1989","Hesse","no migration background","","","",""
"Yes","1989","Hesse","direct migration background","","","",""
"Yes","1989","Hesse","indirect migration background","","","",""
"Yes","1989","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Yes","1989","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Yes","1989","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Yes","1989","Baden-Württemberg","no migration background","","","",""
"Yes","1989","Baden-Württemberg","direct migration background","","","",""
"Yes","1989","Baden-Württemberg","indirect migration background","","","",""
"Yes","1989","Bavaria","no migration background","","","",""
"Yes","1989","Bavaria","direct migration background","","","",""
"Yes","1989","Bavaria","indirect migration background","","","",""
"Yes","1989","Berlin","no migration background","","","",""
"Yes","1989","Berlin","direct migration background","","","",""
"Yes","1989","Berlin","indirect migration background","","","",""
"Yes","1989","Brandenburg","no migration background","","","",""
"Yes","1989","Brandenburg","direct migration background","","","",""
"Yes","1989","Brandenburg","indirect migration background","","","",""
"Yes","1989","Mecklenburg-Western Pomerania","no migration background","","","",""
"Yes","1989","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","1989","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","1989","Saxony","no migration background","","","",""
"Yes","1989","Saxony","direct migration background","","","",""
"Yes","1989","Saxony","indirect migration background","","","",""
"Yes","1989","Saxony-Anhalt","no migration background","","","",""
"Yes","1989","Saxony-Anhalt","direct migration background","","","",""
"Yes","1989","Saxony-Anhalt","indirect migration background","","","",""
"Yes","1989","Thuringia","no migration background","","","",""
"Yes","1989","Thuringia","direct migration background","","","",""
"Yes","1989","Thuringia","indirect migration background","","","",""
"No","1989","Schleswig-Holstein","no migration background","100","1","1","1"
"No","1989","Schleswig-Holstein","direct migration background","20","","",""
"No","1989","Schleswig-Holstein","indirect migration background","1","","",""
"No","1989","Hamburg","no migration background","48","1","1","1"
"No","1989","Hamburg","direct migration background","20","","",""
"No","1989","Hamburg","indirect migration background","","","",""
"No","1989","Lower Saxony","no migration background","280","1","1","1"
"No","1989","Lower Saxony","direct migration background","62","1","1","1"
"No","1989","Lower Saxony","indirect migration background","3","","",""
"No","1989","Bremen","no migration background","24","","",""
"No","1989","Bremen","direct migration background","4","","",""
"No","1989","Bremen","indirect migration background","2","","",""
"No","1989","North Rhine-Westphalia","no migration background","661","1","1","1"
"No","1989","North Rhine-Westphalia","direct migration background","301","1","1","1"
"No","1989","North Rhine-Westphalia","indirect migration background","24","","",""
"No","1989","Hesse","no migration background","230","1","1","1"
"No","1989","Hesse","direct migration background","180","1","1","1"
"No","1989","Hesse","indirect migration background","9","","",""
"No","1989","Rhineland-Palatinate,Saarland","no migration background","200","1","1","1"
"No","1989","Rhineland-Palatinate,Saarland","direct migration background","49","1","1","1"
"No","1989","Rhineland-Palatinate,Saarland","indirect migration background","4","","",""
"No","1989","Baden-Württemberg","no migration background","423","1","1","1"
"No","1989","Baden-Württemberg","direct migration background","342","1","1","1"
"No","1989","Baden-Württemberg","indirect migration background","29","","",""
"No","1989","Bavaria","no migration background","471","1","1","1"
"No","1989","Bavaria","direct migration background","184","1","1","1"
"No","1989","Bavaria","indirect migration background","24","","",""
"No","1989","Berlin","no migration background","98","1","1","1"
"No","1989","Berlin","direct migration background","61","1","1","1"
"No","1989","Berlin","indirect migration background","2","","",""
"No","1989","Brandenburg","no migration background","","","",""
"No","1989","Brandenburg","direct migration background","","","",""
"No","1989","Brandenburg","indirect migration background","","","",""
"No","1989","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","1989","Mecklenburg-Western Pomerania","direct migration background","","","",""
"No","1989","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","1989","Saxony","no migration background","","","",""
"No","1989","Saxony","direct migration background","","","",""
"No","1989","Saxony","indirect migration background","","","",""
"No","1989","Saxony-Anhalt","no migration background","","","",""
"No","1989","Saxony-Anhalt","direct migration background","","","",""
"No","1989","Saxony-Anhalt","indirect migration background","","","",""
"No","1989","Thuringia","no migration background","","","",""
"No","1989","Thuringia","direct migration background","","","",""
"No","1989","Thuringia","indirect migration background","","","",""
"Yes","1990","Schleswig-Holstein","no migration background","","","",""
"Yes","1990","Schleswig-Holstein","direct migration background","","","",""
"Yes","1990","Schleswig-Holstein","indirect migration background","","","",""
"Yes","1990","Hamburg","no migration background","","","",""
"Yes","1990","Hamburg","direct migration background","","","",""
"Yes","1990","Hamburg","indirect migration background","","","",""
"Yes","1990","Lower Saxony","no migration background","","","",""
"Yes","1990","Lower Saxony","direct migration background","","","",""
"Yes","1990","Lower Saxony","indirect migration background","","","",""
"Yes","1990","Bremen","no migration background","","","",""
"Yes","1990","Bremen","direct migration background","","","",""
"Yes","1990","Bremen","indirect migration background","","","",""
"Yes","1990","North Rhine-Westphalia","no migration background","","","",""
"Yes","1990","North Rhine-Westphalia","direct migration background","","","",""
"Yes","1990","North Rhine-Westphalia","indirect migration background","","","",""
"Yes","1990","Hesse","no migration background","","","",""
"Yes","1990","Hesse","direct migration background","","","",""
"Yes","1990","Hesse","indirect migration background","","","",""
"Yes","1990","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Yes","1990","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Yes","1990","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Yes","1990","Baden-Württemberg","no migration background","","","",""
"Yes","1990","Baden-Württemberg","direct migration background","","","",""
"Yes","1990","Baden-Württemberg","indirect migration background","","","",""
"Yes","1990","Bavaria","no migration background","","","",""
"Yes","1990","Bavaria","direct migration background","","","",""
"Yes","1990","Bavaria","indirect migration background","","","",""
"Yes","1990","Berlin","no migration background","","","",""
"Yes","1990","Berlin","direct migration background","","","",""
"Yes","1990","Berlin","indirect migration background","","","",""
"Yes","1990","Brandenburg","no migration background","","","",""
"Yes","1990","Brandenburg","direct migration background","","","",""
"Yes","1990","Brandenburg","indirect migration background","","","",""
"Yes","1990","Mecklenburg-Western Pomerania","no migration background","","","",""
"Yes","1990","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","1990","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","1990","Saxony","no migration background","","","",""
"Yes","1990","Saxony","direct migration background","","","",""
"Yes","1990","Saxony","indirect migration background","","","",""
"Yes","1990","Saxony-Anhalt","no migration background","","","",""
"Yes","1990","Saxony-Anhalt","direct migration background","","","",""
"Yes","1990","Saxony-Anhalt","indirect migration background","","","",""
"Yes","1990","Thuringia","no migration background","","","",""
"Yes","1990","Thuringia","direct migration background","","","",""
"Yes","1990","Thuringia","indirect migration background","","","",""
"No","1990","Schleswig-Holstein","no migration background","96","1","1","1"
"No","1990","Schleswig-Holstein","direct migration background","13","","",""
"No","1990","Schleswig-Holstein","indirect migration background","2","","",""
"No","1990","Hamburg","no migration background","37","1","1","1"
"No","1990","Hamburg","direct migration background","18","","",""
"No","1990","Hamburg","indirect migration background","","","",""
"No","1990","Lower Saxony","no migration background","270","1","1","1"
"No","1990","Lower Saxony","direct migration background","61","1","1","1"
"No","1990","Lower Saxony","indirect migration background","11","","",""
"No","1990","Bremen","no migration background","19","","",""
"No","1990","Bremen","direct migration background","4","","",""
"No","1990","Bremen","indirect migration background","2","","",""
"No","1990","North Rhine-Westphalia","no migration background","644","1","1","1"
"No","1990","North Rhine-Westphalia","direct migration background","289","1","1","1"
"No","1990","North Rhine-Westphalia","indirect migration background","30","1","1","1"
"No","1990","Hesse","no migration background","213","1","1","1"
"No","1990","Hesse","direct migration background","178","1","1","1"
"No","1990","Hesse","indirect migration background","10","","",""
"No","1990","Rhineland-Palatinate,Saarland","no migration background","173","1","1","1"
"No","1990","Rhineland-Palatinate,Saarland","direct migration background","48","1","1","1"
"No","1990","Rhineland-Palatinate,Saarland","indirect migration background","6","","",""
"No","1990","Baden-Württemberg","no migration background","406","1","1","1"
"No","1990","Baden-Württemberg","direct migration background","330","1","1","1"
"No","1990","Baden-Württemberg","indirect migration background","23","","",""
"No","1990","Bavaria","no migration background","445","1","1","1"
"No","1990","Bavaria","direct migration background","201","1","1","1"
"No","1990","Bavaria","indirect migration background","29","","",""
"No","1990","Berlin","no migration background","96","1","1","1"
"No","1990","Berlin","direct migration background","55","1","1","1"
"No","1990","Berlin","indirect migration background","5","","",""
"No","1990","Brandenburg","no migration background","","","",""
"No","1990","Brandenburg","direct migration background","","","",""
"No","1990","Brandenburg","indirect migration background","","","",""
"No","1990","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","1990","Mecklenburg-Western Pomerania","direct migration background","","","",""
"No","1990","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","1990","Saxony","no migration background","","","",""
"No","1990","Saxony","direct migration background","","","",""
"No","1990","Saxony","indirect migration background","","","",""
"No","1990","Saxony-Anhalt","no migration background","","","",""
"No","1990","Saxony-Anhalt","direct migration background","","","",""
"No","1990","Saxony-Anhalt","indirect migration background","","","",""
"No","1990","Thuringia","no migration background","","","",""
"No","1990","Thuringia","direct migration background","","","",""
"No","1990","Thuringia","indirect migration background","","","",""
"Yes","1991","Schleswig-Holstein","no migration background","","","",""
"Yes","1991","Schleswig-Holstein","direct migration background","","","",""
"Yes","1991","Schleswig-Holstein","indirect migration background","","","",""
"Yes","1991","Hamburg","no migration background","","","",""
"Yes","1991","Hamburg","direct migration background","","","",""
"Yes","1991","Hamburg","indirect migration background","","","",""
"Yes","1991","Lower Saxony","no migration background","","","",""
"Yes","1991","Lower Saxony","direct migration background","","","",""
"Yes","1991","Lower Saxony","indirect migration background","","","",""
"Yes","1991","Bremen","no migration background","","","",""
"Yes","1991","Bremen","direct migration background","","","",""
"Yes","1991","Bremen","indirect migration background","","","",""
"Yes","1991","North Rhine-Westphalia","no migration background","","","",""
"Yes","1991","North Rhine-Westphalia","direct migration background","","","",""
"Yes","1991","North Rhine-Westphalia","indirect migration background","","","",""
"Yes","1991","Hesse","no migration background","","","",""
"Yes","1991","Hesse","direct migration background","","","",""
"Yes","1991","Hesse","indirect migration background","","","",""
"Yes","1991","Rhineland-Palatinate,Saarland","no migration background","","","",""
"Yes","1991","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"Yes","1991","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"Yes","1991","Baden-Württemberg","no migration background","","","",""
"Yes","1991","Baden-Württemberg","direct migration background","","","",""
"Yes","1991","Baden-Württemberg","indirect migration background","","","",""
"Yes","1991","Bavaria","no migration background","","","",""
"Yes","1991","Bavaria","direct migration background","","","",""
"Yes","1991","Bavaria","indirect migration background","","","",""
"Yes","1991","Berlin","no migration background","","","",""
"Yes","1991","Berlin","direct migration background","","","",""
"Yes","1991","Berlin","indirect migration background","","","",""
"Yes","1991","Brandenburg","no migration background","","","",""
"Yes","1991","Brandenburg","direct migration background","","","",""
"Yes","1991","Brandenburg","indirect migration background","","","",""
"Yes","1991","Mecklenburg-Western Pomerania","no migration background","","","",""
"Yes","1991","Mecklenburg-Western Pomerania","direct migration background","","","",""
"Yes","1991","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","1991","Saxony","no migration background","","","",""
"Yes","1991","Saxony","direct migration background","","","",""
"Yes","1991","Saxony","indirect migration background","","","",""
"Yes","1991","Saxony-Anhalt","no migration background","","","",""
"Yes","1991","Saxony-Anhalt","direct migration background","","","",""
"Yes","1991","Saxony-Anhalt","indirect migration background","","","",""
"Yes","1991","Thuringia","no migration background","","","",""
"Yes","1991","Thuringia","direct migration background","","","",""
"Yes","1991","Thuringia","indirect migration background","","","",""
"No","1991","Schleswig-Holstein","no migration background","92","1","1","1"
"No","1991","Schleswig-Holstein","direct migration background","20","","",""
"No","1991","Schleswig-Holstein","indirect migration background","2","","",""
"No","1991","Hamburg","no migration background","37","1","1","1"
"No","1991","Hamburg","direct migration background","17","","",""
"No","1991","Hamburg","indirect migration background","3","","",""
"No","1991","Lower Saxony","no migration background","263","1","1","1"
"No","1991","Lower Saxony","direct migration background","57","1","1","1"
"No","1991","Lower Saxony","indirect migration background","15","","",""
"No","1991","Bremen","no migration background","18","","",""
"No","1991","Bremen","direct migration background","5","","",""
"No","1991","Bremen","indirect migration background","","","",""
"No","1991","North Rhine-Westphalia","no migration background","630","1","1","1"
