"plb0196_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2004","no migration background","Rural Area","705","0.306671516636587","0.287891972096321","0.325451061176854","2"
"No","2004","direct migration background","Urban Area","175","0.342530551944939","0.301703139372991","0.383357964516886","2"
"No","2004","indirect migration background","Urban Area","58","0.259935884015844","0.201579816729862","0.318291951301826","2"
"No","2004","direct migration background","Rural Area","33","0.364867969138597","0.267030210655766","0.462705727621429","2"
"No","2004","indirect migration background","Rural Area","9","","","","2"
"Yes","2004","no migration background","Urban Area","2990","0.709873374010024","0.696025990627039","0.723720757393008","1"
"Yes","2004","direct migration background","Urban Area","344","0.657469448055061","0.616642035483114","0.698296860627009","1"
"Yes","2004","direct migration background","Rural Area","60","0.635132030861403","0.537294272378571","0.732969789344234","1"
"Yes","2004","no migration background","Rural Area","1611","0.693328483363413","0.674548938823146","0.712108027903679","1"
"Yes","2004","indirect migration background","Urban Area","159","0.740064115984156","0.681708048698174","0.798420183270138","1"
"Yes","2004","indirect migration background","Rural Area","18","","","","1"
"No","2005","no migration background","Urban Area","1000","0.275511163287652","0.261302407167104","0.2897199194082","2"
"No","2005","no migration background","Rural Area","705","0.332699947267095","0.312769409620111","0.352630484914079","2"
"No","2005","direct migration background","Urban Area","144","0.356104119418006","0.313087038461461","0.399121200374552","2"
"No","2005","indirect migration background","Urban Area","56","0.225536144642618","0.171047936724187","0.28002435256105","2"
"No","2005","direct migration background","Rural Area","41","0.433821289840556","0.333633138714688","0.534009440966424","2"
"No","2005","indirect migration background","Rural Area","9","","","","2"
"Yes","2005","no migration background","Urban Area","2798","0.724488836712348","0.7102800805918","0.738697592832896","1"
"Yes","2005","direct migration background","Urban Area","332","0.643895880581994","0.600878799625448","0.686912961538539","1"
"Yes","2005","direct migration background","Rural Area","53","0.566178710159444","0.465990559033576","0.666366861285312","1"
"Yes","2005","no migration background","Rural Area","1442","0.667300052732905","0.647369515085921","0.687230590379889","1"
"Yes","2005","indirect migration background","Urban Area","170","0.774463855357382","0.71997564743895","0.828952063275813","1"
"Yes","2005","indirect migration background","Rural Area","17","","","","1"
"No","2006","no migration background","Urban Area","1046","0.257330985944681","0.244106750643135","0.270555221246227","2"
"No","2006","no migration background","Rural Area","717","0.307263112289853","0.288677009626074","0.325849214953633","2"
"No","2006","direct migration background","Urban Area","145","0.285493844863992","0.246599669045015","0.324388020682968","2"
"No","2006","direct migration background","Rural Area","44","0.450043296248332","0.353496158365863","0.546590434130801","2"
"No","2006","indirect migration background","Urban Area","50","0.280239822176949","0.224002597421811","0.336477046932087","2"
"No","2006","indirect migration background","Rural Area","9","","","","2"
"Yes","2006","no migration background","Urban Area","3152","0.742669014055319","0.729444778753773","0.755893249356865","1"
"Yes","2006","direct migration background","Urban Area","373","0.714506155136008","0.675611979317032","0.753400330954985","1"
"Yes","2006","direct migration background","Rural Area","58","0.549956703751668","0.4534095658692","0.646503841634137","1"
"Yes","2006","no migration background","Rural Area","1650","0.692736887710147","0.674150785046367","0.711322990373927","1"
"Yes","2006","indirect migration background","Urban Area","195","0.719760177823051","0.663522953067913","0.775997402578189","1"
"Yes","2006","indirect migration background","Rural Area","27","","","","1"
"No","2007","no migration background","Urban Area","908","0.228861152132005","0.215632347157615","0.242089957106395","2"
"No","2007","no migration background","Rural Area","686","0.306321555289465","0.287379579836782","0.325263530742148","2"
"No","2007","direct migration background","Urban Area","107","0.224011576277063","0.184786293917701","0.263236858636426","2"
"No","2007","direct migration background","Rural Area","30","0.380428025878921","0.278992779355149","0.481863272402693","2"
"No","2007","indirect migration background","Urban Area","57","0.259786494971596","0.205099205075398","0.314473784867795","2"
"No","2007","indirect migration background","Rural Area","13","","","","2"
"Yes","2007","no migration background","Urban Area","2966","0.771138847867995","0.757910042893605","0.784367652842385","1"
"Yes","2007","no migration background","Rural Area","1589","0.693678444710535","0.674736469257852","0.712620420163218","1"
"Yes","2007","direct migration background","Urban Area","327","0.775988423722937","0.736763141363574","0.815213706082299","1"
"Yes","2007","direct migration background","Rural Area","58","0.619571974121079","0.518136727597307","0.721007220644851","1"
"Yes","2007","indirect migration background","Urban Area","190","0.740213505028404","0.685526215132205","0.794900794924602","1"
"Yes","2007","indirect migration background","Rural Area","26","","","","1"
"No","2008","no migration background","Urban Area","967","0.252968455548667","0.239213637605695","0.26672327349164","2"
"No","2008","no migration background","Rural Area","690","0.341183134630562","0.321452391085233","0.360913878175891","2"
"No","2008","direct migration background","Urban Area","108","0.256798182169376","0.21521530677045","0.298381057568302","2"
"No","2008","direct migration background","Rural Area","25","","","","2"
"No","2008","indirect migration background","Urban Area","60","0.206132475609995","0.15430173793501","0.25796321328498","2"
"No","2008","indirect migration background","Rural Area","16","","","","2"
"Yes","2008","no migration background","Urban Area","2870","0.747031544451332","0.73327672650836","0.760786362394305","1"
"Yes","2008","no migration background","Rural Area","1528","0.658816865369438","0.639086121824109","0.678547608914767","1"
"Yes","2008","direct migration background","Urban Area","316","0.743201817830624","0.701618942431698","0.78478469322955","1"
"Yes","2008","direct migration background","Rural Area","63","0.664356514028871","0.565695297707166","0.763017730350576","1"
"Yes","2008","indirect migration background","Urban Area","174","0.793867524390005","0.74203678671502","0.84569826206499","1"
"Yes","2008","indirect migration background","Rural Area","24","","","","1"
"No","2009","no migration background","Urban Area","878","0.252650214068802","0.237957560292344","0.267342867845259","2"
"No","2009","no migration background","Rural Area","667","0.350393756060265","0.329665194826523","0.371122317294006","2"
"No","2009","direct migration background","Urban Area","108","0.303231366996558","0.253638127410831","0.352824606582286","2"
"No","2009","direct migration background","Rural Area","31","0.512149081696656","0.393343896059139","0.630954267334173","2"
"No","2009","indirect migration background","Urban Area","64","0.334078708360669","0.271322878993375","0.396834537727962","2"
"No","2009","indirect migration background","Rural Area","12","","","","2"
"Yes","2009","no migration background","Urban Area","2482","0.747349785931198","0.732657132154741","0.762042439707656","1"
"Yes","2009","no migration background","Rural Area","1368","0.649606243939735","0.628877682705994","0.670334805173477","1"
"Yes","2009","direct migration background","Urban Area","222","0.696768633003442","0.647175393417714","0.746361872589169","1"
"Yes","2009","direct migration background","Rural Area","37","0.487850918303344","0.369045732665827","0.606656103940861","1"
"Yes","2009","indirect migration background","Urban Area","153","0.665921291639331","0.603165462272038","0.728677121006625","1"
"Yes","2009","indirect migration background","Rural Area","30","0.806159721300255","0.686607952417306","0.925711490183204","1"
"No","2010","no migration background","Urban Area","1337","0.297281285681133","0.28394637935334","0.310616192008926","2"
"No","2010","no migration background","Rural Area","904","0.369327100940345","0.35119985014292","0.38745435173777","2"
"No","2010","direct migration background","Urban Area","175","0.288051401363933","0.25181610799717","0.324286694730696","2"
"No","2010","direct migration background","Rural Area","56","0.374349136783494","0.297158600283052","0.451539673283936","2"
"No","2010","indirect migration background","Urban Area","89","0.282752171900867","0.233099554676505","0.332404789125229","2"
"No","2010","indirect migration background","Rural Area","26","","","","2"
"Yes","2010","no migration background","Urban Area","3176","0.702718714318867","0.689383807991074","0.71605362064666","1"
"Yes","2010","no migration background","Rural Area","1819","0.630672899059655","0.61254564826223","0.64880014985708","1"
"Yes","2010","direct migration background","Urban Area","425","0.711948598636067","0.675713305269304","0.74818389200283","1"
"Yes","2010","direct migration background","Rural Area","95","0.625650863216506","0.548460326716064","0.702841399716948","1"
"Yes","2010","indirect migration background","Urban Area","227","0.717247828099133","0.667595210874772","0.766900445323495","1"
"Yes","2010","indirect migration background","Rural Area","43","0.626561952567803","0.512428005389793","0.740695899745814","1"
"No","2011","no migration background","Urban Area","1293","0.236750085567552","0.225399644138797","0.248100526996308","2"
"No","2011","no migration background","Rural Area","988","0.309924990722678","0.294255258638481","0.325594722806876","2"
"No","2011","direct migration background","Urban Area","171","0.240118750229605","0.20831580253062","0.27192169792859","2"
"No","2011","direct migration background","Rural Area","60","0.264747758467245","0.206447420135224","0.323048096799267","2"
"No","2011","indirect migration background","Urban Area","92","0.204603660984214","0.165314833022229","0.243892488946199","2"
"No","2011","indirect migration background","Rural Area","26","","","","2"
"Yes","2011","no migration background","Urban Area","4095","0.763249914432448","0.751899473003692","0.774600355861204","1"
"Yes","2011","no migration background","Rural Area","2358","0.690075009277322","0.674405277193124","0.705744741361519","1"
"Yes","2011","direct migration background","Urban Area","522","0.759881249770396","0.72807830207141","0.791684197469381","1"
"Yes","2011","direct migration background","Rural Area","160","0.735252241532755","0.676951903200733","0.793552579864776","1"
"Yes","2011","indirect migration background","Urban Area","313","0.795396339015786","0.756107511053801","0.834685166977771","1"
"Yes","2011","indirect migration background","Rural Area","62","0.650361061850779","0.550730193160617","0.74999193054094","1"
"No","2012","no migration background","Urban Area","1465","0.268918525461655","0.257168260006785","0.280668790916525","2"
"No","2012","no migration background","Rural Area","1020","0.302219147221798","0.28681277242668","0.317625522016915","2"
"No","2012","direct migration background","Urban Area","222","0.329953785312956","0.295513200570237","0.364394370055676","2"
"No","2012","direct migration background","Rural Area","81","0.365807523693032","0.304094472121968","0.427520575264096","2"
"No","2012","indirect migration background","Urban Area","116","0.222868683185276","0.183114871888571","0.262622494481981","2"
"No","2012","indirect migration background","Rural Area","23","","","","2"
"Yes","2012","no migration background","Urban Area","4005","0.731081474538345","0.719331209083475","0.742831739993215","1"
"Yes","2012","no migration background","Rural Area","2393","0.697780852778202","0.682374477983085","0.71318722757332","1"
"Yes","2012","direct migration background","Urban Area","494","0.670046214687044","0.635605629944324","0.704486799429763","1"
"Yes","2012","direct migration background","Rural Area","153","0.634192476306968","0.572479424735904","0.695905527878032","1"
"Yes","2012","indirect migration background","Urban Area","305","0.777131316814724","0.737377505518019","0.816885128111429","1"
"Yes","2012","indirect migration background","Rural Area","77","0.798906020450217","0.720347106231559","0.877464934668875","1"
"No","2013","no migration background","Urban Area","1287","0.255000936398778","0.243036371038697","0.266965501758859","2"
"No","2013","no migration background","Rural Area","925","0.306183525619648","0.289974363014982","0.322392688224314","2"
"No","2013","direct migration background","Urban Area","455","0.286107846848709","0.263342915648357","0.308872778049061","2"
"No","2013","direct migration background","Rural Area","153","0.345069374290784","0.30356597385046","0.386572774731109","2"
"No","2013","indirect migration background","Urban Area","166","0.219846804562584","0.187836291931483","0.251857317193685","2"
"No","2013","indirect migration background","Rural Area","39","0.299541897815663","0.224466102366348","0.374617693264978","2"
"Yes","2013","no migration background","Urban Area","3811","0.744999063601222","0.733034498241141","0.756963628961303","1"
"Yes","2013","no migration background","Rural Area","2181","0.693816474380352","0.677607311775686","0.710025636985018","1"
"Yes","2013","direct migration background","Urban Area","1059","0.713892153151291","0.691127221950939","0.736657084351643","1"
"Yes","2013","direct migration background","Rural Area","351","0.654930625709216","0.613427225268891","0.69643402614954","1"
"Yes","2013","indirect migration background","Urban Area","477","0.780153195437416","0.748142682806315","0.812163708068517","1"
"Yes","2013","indirect migration background","Rural Area","104","0.700458102184337","0.625382306735022","0.775533897633652","1"
"No","2014","no migration background","Urban Area","1261","0.252621328219905","0.240307211727556","0.264935444712254","2"
"No","2014","no migration background","Rural Area","863","0.311020057166071","0.294163404762665","0.327876709569476","2"
"No","2014","direct migration background","Urban Area","347","0.267241073798594","0.241992360540776","0.292489787056411","2"
"No","2014","direct migration background","Rural Area","143","0.333024959166902","0.288322919816756","0.377726998517048","2"
"No","2014","indirect migration background","Urban Area","139","0.210438959535391","0.176496044507485","0.244381874563296","2"
"No","2014","indirect migration background","Rural Area","40","0.290868109443377","0.216168990201216","0.365567228685539","2"
"Yes","2014","no migration background","Urban Area","3522","0.747378671780095","0.735064555287746","0.759692788272444","1"
"Yes","2014","no migration background","Rural Area","2034","0.688979942833929","0.672123290430524","0.705836595237335","1"
"Yes","2014","direct migration background","Urban Area","833","0.732758926201406","0.707510212943589","0.758007639459224","1"
"Yes","2014","direct migration background","Rural Area","284","0.666975040833098","0.622273001482952","0.711677080183244","1"
"Yes","2014","indirect migration background","Urban Area","415","0.789561040464609","0.755618125436704","0.823503955492515","1"
"Yes","2014","indirect migration background","Rural Area","102","0.709131890556623","0.634432771314462","0.783831009798784","1"
"No","2015","no migration background","Urban Area","915","0.223648332790623","0.211329183201175","0.235967482380072","2"
"No","2015","no migration background","Rural Area","696","0.260419263166851","0.243980818750809","0.276857707582892","2"
"No","2015","direct migration background","Urban Area","347","0.23745605413511","0.214153818573296","0.260758289696924","2"
"No","2015","direct migration background","Rural Area","129","0.249118285684426","0.210784454234779","0.287452117134074","2"
"No","2015","indirect migration background","Urban Area","120","0.240676068042919","0.202432582252006","0.278919553833832","2"
"No","2015","indirect migration background","Rural Area","41","0.209563793773111","0.143088788036482","0.276038799509741","2"
"Yes","2015","no migration background","Urban Area","3480","0.776351667209377","0.764032517619928","0.788670816798825","1"
"Yes","2015","no migration background","Rural Area","2042","0.73958073683315","0.723142292417108","0.756019181249191","1"
"Yes","2015","direct migration background","Urban Area","934","0.76254394586489","0.739241710303076","0.785846181426705","1"
"Yes","2015","direct migration background","Rural Area","360","0.750881714315574","0.712547882865926","0.789215545765221","1"
"Yes","2015","indirect migration background","Urban Area","360","0.759323931957081","0.721080446166168","0.797567417747994","1"
"Yes","2015","indirect migration background","Rural Area","103","0.790436206226889","0.723961200490259","0.856911211963518","1"
"No","2016","no migration background","Urban Area","931","0.216221714226534","0.203843699580147","0.228599728872922","2"
"No","2016","no migration background","Rural Area","679","0.270730412911467","0.253844682676125","0.28761614314681","2"
"No","2016","direct migration background","Urban Area","300","0.256626941812506","0.231405123999651","0.28184875962536","2"
"No","2016","direct migration background","Rural Area","102","0.235365859350994","0.193582911753819","0.277148806948169","2"
"No","2016","indirect migration background","Urban Area","109","0.230555181347601","0.19227290114619","0.268837461549011","2"
"No","2016","indirect migration background","Rural Area","35","0.234518341469206","0.161684667703718","0.307352015234695","2"
"Yes","2016","no migration background","Urban Area","3318","0.783778285773466","0.771400271127078","0.796156300419853","1"
"Yes","2016","no migration background","Rural Area","1981","0.729269587088533","0.712383856853191","0.746155317323875","1"
"Yes","2016","direct migration background","Urban Area","852","0.743373058187494","0.71815124037464","0.768594876000349","1"
"Yes","2016","direct migration background","Rural Area","294","0.764634140649006","0.722851193051831","0.806417088246181","1"
"Yes","2016","indirect migration background","Urban Area","356","0.769444818652399","0.731162538450989","0.80772709885381","1"
"Yes","2016","indirect migration background","Rural Area","95","0.765481658530794","0.692647984765305","0.838315332296282","1"
"No","2017","no migration background","Urban Area","1032","0.221280354496312","0.209349168680839","0.233211540311784","2"
"No","2017","no migration background","Rural Area","781","0.267247700392641","0.251407237799938","0.283088162985345","2"
"No","2017","direct migration background","Urban Area","297","0.254069833766657","0.228574264296725","0.27956540323659","2"
"No","2017","direct migration background","Rural Area","107","0.176651013905566","0.140090693352965","0.213211334458167","2"
"No","2017","indirect migration background","Urban Area","114","0.258541741754205","0.219495142597557","0.297588340910853","2"
"No","2017","indirect migration background","Rural Area","34","0.224319944268857","0.151772605288426","0.296867283249288","2"
