"plb0196_h","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1989","direct migration background","inadequately","235","1","1","1","2"
"No","1989","direct migration background","general elemantary","450","1","1","1","2"
"No","1989","direct migration background","middle vocational","408","1","1","1","2"
"No","1989","direct migration background","vocational + Abi","44","1","1","1","2"
"No","1989","direct migration background","higher vocational","20","","","","2"
"No","1989","direct migration background","higher education","40","1","1","1","2"
"Yes","1989","no migration background","in school","","","","","1"
"Yes","1989","no migration background","inadequately","","","","","1"
"Yes","1989","no migration background","general elemantary","","","","","1"
"Yes","1989","no migration background","middle vocational","","","","","1"
"Yes","1989","no migration background","vocational + Abi","","","","","1"
"Yes","1989","no migration background","higher vocational","","","","","1"
"Yes","1989","no migration background","higher education","","","","","1"
"Yes","1989","direct migration background","in school","","","","","1"
"Yes","1989","direct migration background","inadequately","","","","","1"
"Yes","1989","direct migration background","general elemantary","","","","","1"
"Yes","1989","direct migration background","middle vocational","","","","","1"
"Yes","1989","direct migration background","vocational + Abi","","","","","1"
"Yes","1989","direct migration background","higher vocational","","","","","1"
"Yes","1989","direct migration background","higher education","","","","","1"
"Yes","1989","indirect migration background","in school","","","","","1"
"Yes","1989","indirect migration background","inadequately","","","","","1"
"Yes","1989","indirect migration background","general elemantary","","","","","1"
"Yes","1989","indirect migration background","middle vocational","","","","","1"
"Yes","1989","indirect migration background","vocational + Abi","","","","","1"
"Yes","1989","indirect migration background","higher vocational","","","","","1"
"Yes","1989","indirect migration background","higher education","","","","","1"
"No","1990","no migration background","higher education","229","1","1","1","2"
"No","1990","indirect migration background","in school","1","","","","2"
"No","1990","indirect migration background","general elemantary","57","1","1","1","2"
"No","1990","no migration background","higher vocational","173","1","1","1","2"
"No","1990","indirect migration background","inadequately","2","","","","2"
"No","1990","indirect migration background","higher education","1","","","","2"
"No","1990","indirect migration background","higher vocational","2","","","","2"
"No","1990","no migration background","vocational + Abi","63","1","1","1","2"
"No","1990","no migration background","inadequately","24","","","","2"
"No","1990","no migration background","general elemantary","462","1","1","1","2"
"No","1990","no migration background","middle vocational","1402","1","1","1","2"
"No","1990","indirect migration background","middle vocational","45","1","1","1","2"
"No","1990","indirect migration background","vocational + Abi","2","","","","2"
"No","1990","no migration background","in school","5","","","","2"
"No","1990","direct migration background","in school","","","","","2"
"No","1990","direct migration background","inadequately","245","1","1","1","2"
"No","1990","direct migration background","general elemantary","442","1","1","1","2"
"No","1990","direct migration background","middle vocational","380","1","1","1","2"
"No","1990","direct migration background","vocational + Abi","42","1","1","1","2"
"No","1990","direct migration background","higher vocational","22","","","","2"
"No","1990","direct migration background","higher education","37","1","1","1","2"
"Yes","1990","no migration background","in school","","","","","1"
"Yes","1990","no migration background","inadequately","","","","","1"
"Yes","1990","no migration background","general elemantary","","","","","1"
"Yes","1990","no migration background","middle vocational","","","","","1"
"Yes","1990","no migration background","vocational + Abi","","","","","1"
"Yes","1990","no migration background","higher vocational","","","","","1"
"Yes","1990","no migration background","higher education","","","","","1"
"Yes","1990","direct migration background","in school","","","","","1"
"Yes","1990","direct migration background","inadequately","","","","","1"
"Yes","1990","direct migration background","general elemantary","","","","","1"
"Yes","1990","direct migration background","middle vocational","","","","","1"
"Yes","1990","direct migration background","vocational + Abi","","","","","1"
"Yes","1990","direct migration background","higher vocational","","","","","1"
"Yes","1990","direct migration background","higher education","","","","","1"
"Yes","1990","indirect migration background","in school","","","","","1"
"Yes","1990","indirect migration background","inadequately","","","","","1"
"Yes","1990","indirect migration background","general elemantary","","","","","1"
"Yes","1990","indirect migration background","middle vocational","","","","","1"
"Yes","1990","indirect migration background","vocational + Abi","","","","","1"
"Yes","1990","indirect migration background","higher vocational","","","","","1"
"Yes","1990","indirect migration background","higher education","","","","","1"
"No","1991","no migration background","higher vocational","317","1","1","1","2"
"No","1991","no migration background","higher education","669","1","1","1","2"
"No","1991","no migration background","inadequately","28","","","","2"
"No","1991","indirect migration background","in school","","","","","2"
"No","1991","no migration background","general elemantary","592","1","1","1","2"
"No","1991","no migration background","middle vocational","2487","1","1","1","2"
"No","1991","no migration background","vocational + Abi","110","1","1","1","2"
"No","1991","indirect migration background","inadequately","4","","","","2"
"No","1991","indirect migration background","general elemantary","73","1","1","1","2"
"No","1991","indirect migration background","higher education","1","","","","2"
"No","1991","indirect migration background","higher vocational","1","","","","2"
"No","1991","no migration background","in school","15","","","","2"
"No","1991","indirect migration background","vocational + Abi","2","","","","2"
"No","1991","indirect migration background","middle vocational","53","1","1","1","2"
"No","1991","direct migration background","in school","2","","","","2"
"No","1991","direct migration background","inadequately","242","1","1","1","2"
"No","1991","direct migration background","general elemantary","428","1","1","1","2"
"No","1991","direct migration background","middle vocational","409","1","1","1","2"
"No","1991","direct migration background","vocational + Abi","48","1","1","1","2"
"No","1991","direct migration background","higher vocational","29","","","","2"
"No","1991","direct migration background","higher education","59","1","1","1","2"
"Yes","1991","no migration background","in school","","","","","1"
"Yes","1991","no migration background","inadequately","","","","","1"
"Yes","1991","no migration background","general elemantary","","","","","1"
"Yes","1991","no migration background","middle vocational","","","","","1"
"Yes","1991","no migration background","vocational + Abi","","","","","1"
"Yes","1991","no migration background","higher vocational","","","","","1"
"Yes","1991","no migration background","higher education","","","","","1"
"Yes","1991","direct migration background","in school","","","","","1"
"Yes","1991","direct migration background","inadequately","","","","","1"
"Yes","1991","direct migration background","general elemantary","","","","","1"
"Yes","1991","direct migration background","middle vocational","","","","","1"
"Yes","1991","direct migration background","vocational + Abi","","","","","1"
"Yes","1991","direct migration background","higher vocational","","","","","1"
"Yes","1991","direct migration background","higher education","","","","","1"
"Yes","1991","indirect migration background","in school","","","","","1"
"Yes","1991","indirect migration background","inadequately","","","","","1"
"Yes","1991","indirect migration background","general elemantary","","","","","1"
"Yes","1991","indirect migration background","middle vocational","","","","","1"
"Yes","1991","indirect migration background","vocational + Abi","","","","","1"
"Yes","1991","indirect migration background","higher vocational","","","","","1"
"Yes","1991","indirect migration background","higher education","","","","","1"
"No","1992","no migration background","general elemantary","533","1","1","1","2"
"No","1992","no migration background","inadequately","26","","","","2"
"No","1992","no migration background","middle vocational","2120","1","1","1","2"
"No","1992","no migration background","higher education","563","1","1","1","2"
"No","1992","no migration background","vocational + Abi","86","1","1","1","2"
"No","1992","no migration background","higher vocational","299","1","1","1","2"
"No","1992","no migration background","in school","14","","","","2"
"No","1992","indirect migration background","inadequately","6","","","","2"
"No","1992","indirect migration background","in school","1","","","","2"
"No","1992","indirect migration background","general elemantary","81","1","1","1","2"
"No","1992","indirect migration background","higher vocational","2","","","","2"
"No","1992","indirect migration background","higher education","1","","","","2"
"No","1992","indirect migration background","middle vocational","60","1","1","1","2"
"No","1992","indirect migration background","vocational + Abi","6","","","","2"
"No","1992","direct migration background","in school","2","","","","2"
"No","1992","direct migration background","inadequately","205","1","1","1","2"
"No","1992","direct migration background","general elemantary","426","1","1","1","2"
"No","1992","direct migration background","middle vocational","404","1","1","1","2"
"No","1992","direct migration background","vocational + Abi","46","1","1","1","2"
"No","1992","direct migration background","higher vocational","26","","","","2"
"No","1992","direct migration background","higher education","49","1","1","1","2"
"Yes","1992","no migration background","in school","","","","","1"
"Yes","1992","no migration background","inadequately","","","","","1"
"Yes","1992","no migration background","general elemantary","","","","","1"
"Yes","1992","no migration background","middle vocational","","","","","1"
"Yes","1992","no migration background","vocational + Abi","","","","","1"
"Yes","1992","no migration background","higher vocational","","","","","1"
"Yes","1992","no migration background","higher education","","","","","1"
"Yes","1992","direct migration background","in school","","","","","1"
"Yes","1992","direct migration background","inadequately","","","","","1"
"Yes","1992","direct migration background","general elemantary","","","","","1"
"Yes","1992","direct migration background","middle vocational","","","","","1"
"Yes","1992","direct migration background","vocational + Abi","","","","","1"
"Yes","1992","direct migration background","higher vocational","","","","","1"
"Yes","1992","direct migration background","higher education","","","","","1"
"Yes","1992","indirect migration background","in school","","","","","1"
"Yes","1992","indirect migration background","inadequately","","","","","1"
"Yes","1992","indirect migration background","general elemantary","","","","","1"
"Yes","1992","indirect migration background","middle vocational","","","","","1"
"Yes","1992","indirect migration background","vocational + Abi","","","","","1"
"Yes","1992","indirect migration background","higher vocational","","","","","1"
"Yes","1992","indirect migration background","higher education","","","","","1"
"No","1993","no migration background","middle vocational","2078","1","1","1","2"
"No","1993","no migration background","inadequately","27","","","","2"
"No","1993","no migration background","general elemantary","496","1","1","1","2"
"No","1993","no migration background","higher education","533","1","1","1","2"
"No","1993","no migration background","vocational + Abi","102","1","1","1","2"
"No","1993","no migration background","higher vocational","293","1","1","1","2"
"No","1993","indirect migration background","general elemantary","97","1","1","1","2"
"No","1993","no migration background","in school","8","","","","2"
"No","1993","indirect migration background","in school","1","","","","2"
"No","1993","indirect migration background","inadequately","9","","","","2"
"No","1993","indirect migration background","higher vocational","2","","","","2"
"No","1993","indirect migration background","higher education","","","","","2"
"No","1993","indirect migration background","middle vocational","68","1","1","1","2"
"No","1993","indirect migration background","vocational + Abi","3","","","","2"
"No","1993","direct migration background","in school","","","","","2"
"No","1993","direct migration background","inadequately","210","1","1","1","2"
"No","1993","direct migration background","general elemantary","400","1","1","1","2"
"No","1993","direct migration background","middle vocational","412","1","1","1","2"
"No","1993","direct migration background","vocational + Abi","52","1","1","1","2"
"No","1993","direct migration background","higher vocational","25","","","","2"
"No","1993","direct migration background","higher education","49","1","1","1","2"
"Yes","1993","no migration background","in school","","","","","1"
"Yes","1993","no migration background","inadequately","","","","","1"
"Yes","1993","no migration background","general elemantary","","","","","1"
"Yes","1993","no migration background","middle vocational","","","","","1"
"Yes","1993","no migration background","vocational + Abi","","","","","1"
"Yes","1993","no migration background","higher vocational","","","","","1"
"Yes","1993","no migration background","higher education","","","","","1"
"Yes","1993","direct migration background","in school","","","","","1"
"Yes","1993","direct migration background","inadequately","","","","","1"
"Yes","1993","direct migration background","general elemantary","","","","","1"
"Yes","1993","direct migration background","middle vocational","","","","","1"
"Yes","1993","direct migration background","vocational + Abi","","","","","1"
"Yes","1993","direct migration background","higher vocational","","","","","1"
"Yes","1993","direct migration background","higher education","","","","","1"
"Yes","1993","indirect migration background","in school","","","","","1"
"Yes","1993","indirect migration background","inadequately","","","","","1"
"Yes","1993","indirect migration background","general elemantary","","","","","1"
"Yes","1993","indirect migration background","middle vocational","","","","","1"
"Yes","1993","indirect migration background","vocational + Abi","","","","","1"
"Yes","1993","indirect migration background","higher vocational","","","","","1"
"Yes","1993","indirect migration background","higher education","","","","","1"
"No","1994","no migration background","higher vocational","291","1","1","1","2"
"No","1994","no migration background","higher education","544","1","1","1","2"
"No","1994","no migration background","in school","9","","","","2"
"No","1994","no migration background","middle vocational","1950","1","1","1","2"
"No","1994","no migration background","vocational + Abi","89","1","1","1","2"
"No","1994","no migration background","inadequately","17","","","","2"
"No","1994","no migration background","general elemantary","441","1","1","1","2"
"No","1994","indirect migration background","in school","","","","","2"
"No","1994","indirect migration background","inadequately","7","","","","2"
"No","1994","indirect migration background","general elemantary","85","1","1","1","2"
"No","1994","indirect migration background","higher vocational","3","","","","2"
"No","1994","indirect migration background","higher education","5","","","","2"
"No","1994","indirect migration background","middle vocational","76","1","1","1","2"
"No","1994","indirect migration background","vocational + Abi","7","","","","2"
"No","1994","direct migration background","in school","1","","","","2"
"No","1994","direct migration background","inadequately","195","1","1","1","2"
"No","1994","direct migration background","general elemantary","318","1","1","1","2"
"No","1994","direct migration background","middle vocational","352","1","1","1","2"
"No","1994","direct migration background","vocational + Abi","36","1","1","1","2"
"No","1994","direct migration background","higher vocational","29","","","","2"
"No","1994","direct migration background","higher education","43","1","1","1","2"
"Yes","1994","no migration background","in school","","","","","1"
"Yes","1994","no migration background","inadequately","","","","","1"
"Yes","1994","no migration background","general elemantary","","","","","1"
"Yes","1994","no migration background","middle vocational","","","","","1"
"Yes","1994","no migration background","vocational + Abi","","","","","1"
"Yes","1994","no migration background","higher vocational","","","","","1"
"Yes","1994","no migration background","higher education","","","","","1"
"Yes","1994","direct migration background","in school","","","","","1"
"Yes","1994","direct migration background","inadequately","","","","","1"
"Yes","1994","direct migration background","general elemantary","","","","","1"
"Yes","1994","direct migration background","middle vocational","","","","","1"
"Yes","1994","direct migration background","vocational + Abi","","","","","1"
"Yes","1994","direct migration background","higher vocational","","","","","1"
"Yes","1994","direct migration background","higher education","","","","","1"
"Yes","1994","indirect migration background","in school","","","","","1"
"Yes","1994","indirect migration background","inadequately","","","","","1"
"Yes","1994","indirect migration background","general elemantary","","","","","1"
"Yes","1994","indirect migration background","middle vocational","","","","","1"
"Yes","1994","indirect migration background","vocational + Abi","","","","","1"
"Yes","1994","indirect migration background","higher vocational","","","","","1"
"Yes","1994","indirect migration background","higher education","","","","","1"
"No","1995","no migration background","general elemantary","421","1","1","1","2"
"No","1995","no migration background","middle vocational","1909","1","1","1","2"
"No","1995","no migration background","in school","6","","","","2"
"No","1995","no migration background","inadequately","23","","","","2"
"No","1995","no migration background","vocational + Abi","95","1","1","1","2"
"No","1995","no migration background","higher vocational","274","1","1","1","2"
"No","1995","no migration background","higher education","559","1","1","1","2"
"No","1995","indirect migration background","in school","2","","","","2"
"No","1995","indirect migration background","inadequately","6","","","","2"
"No","1995","indirect migration background","general elemantary","72","1","1","1","2"
"No","1995","indirect migration background","higher vocational","4","","","","2"
"No","1995","indirect migration background","higher education","6","","","","2"
"No","1995","indirect migration background","middle vocational","78","1","1","1","2"
"No","1995","indirect migration background","vocational + Abi","4","","","","2"
"No","1995","direct migration background","in school","2","","","","2"
"No","1995","direct migration background","inadequately","155","1","1","1","2"
"No","1995","direct migration background","general elemantary","315","1","1","1","2"
"No","1995","direct migration background","middle vocational","407","1","1","1","2"
"No","1995","direct migration background","vocational + Abi","67","1","1","1","2"
"No","1995","direct migration background","higher vocational","19","","","","2"
"No","1995","direct migration background","higher education","72","1","1","1","2"
"Yes","1995","direct migration background","in school","","","","","1"
"Yes","1995","direct migration background","inadequately","","","","","1"
"Yes","1995","direct migration background","general elemantary","","","","","1"
"Yes","1995","direct migration background","middle vocational","","","","","1"
"Yes","1995","direct migration background","vocational + Abi","","","","","1"
"Yes","1995","direct migration background","higher vocational","","","","","1"
"Yes","1995","direct migration background","higher education","","","","","1"
"Yes","1995","indirect migration background","in school","","","","","1"
"Yes","1995","indirect migration background","inadequately","","","","","1"
"Yes","1995","indirect migration background","general elemantary","","","","","1"
"Yes","1995","indirect migration background","middle vocational","","","","","1"
"Yes","1995","indirect migration background","vocational + Abi","","","","","1"
"Yes","1995","indirect migration background","higher vocational","","","","","1"
"Yes","1995","indirect migration background","higher education","","","","","1"
"Yes","1995","no migration background","in school","","","","","1"
"Yes","1995","no migration background","inadequately","","","","","1"
"Yes","1995","no migration background","general elemantary","","","","","1"
"Yes","1995","no migration background","middle vocational","","","","","1"
"Yes","1995","no migration background","vocational + Abi","","","","","1"
"Yes","1995","no migration background","higher vocational","","","","","1"
"Yes","1995","no migration background","higher education","","","","","1"
"No","1996","no migration background","in school","5","","","","2"
"No","1996","no migration background","inadequately","21","","","","2"
"No","1996","no migration background","general elemantary","421","1","1","1","2"
"No","1996","no migration background","middle vocational","1851","1","1","1","2"
"No","1996","no migration background","vocational + Abi","111","1","1","1","2"
"No","1996","no migration background","higher vocational","261","1","1","1","2"
"No","1996","no migration background","higher education","565","1","1","1","2"
"No","1996","indirect migration background","higher vocational","6","","","","2"
"No","1996","indirect migration background","higher education","5","","","","2"
"No","1996","indirect migration background","in school","","","","","2"
"No","1996","indirect migration background","inadequately","3","","","","2"
"No","1996","indirect migration background","general elemantary","78","1","1","1","2"
"No","1996","indirect migration background","middle vocational","89","1","1","1","2"
"No","1996","indirect migration background","vocational + Abi","2","","","","2"
"No","1996","direct migration background","in school","","","","","2"
"No","1996","direct migration background","inadequately","147","1","1","1","2"
"No","1996","direct migration background","general elemantary","301","1","1","1","2"
"No","1996","direct migration background","middle vocational","376","1","1","1","2"
"No","1996","direct migration background","vocational + Abi","51","1","1","1","2"
"No","1996","direct migration background","higher vocational","16","","","","2"
"No","1996","direct migration background","higher education","58","1","1","1","2"
"Yes","1996","direct migration background","in school","","","","","1"
"Yes","1996","direct migration background","inadequately","","","","","1"
"Yes","1996","direct migration background","general elemantary","","","","","1"
"Yes","1996","direct migration background","middle vocational","","","","","1"
"Yes","1996","direct migration background","vocational + Abi","","","","","1"
"Yes","1996","direct migration background","higher vocational","","","","","1"
"Yes","1996","direct migration background","higher education","","","","","1"
"Yes","1996","indirect migration background","in school","","","","","1"
"Yes","1996","indirect migration background","inadequately","","","","","1"
"Yes","1996","indirect migration background","general elemantary","","","","","1"
"Yes","1996","indirect migration background","middle vocational","","","","","1"
"Yes","1996","indirect migration background","vocational + Abi","","","","","1"
"Yes","1996","indirect migration background","higher vocational","","","","","1"
"Yes","1996","indirect migration background","higher education","","","","","1"
"Yes","1996","no migration background","in school","","","","","1"
"Yes","1996","no migration background","inadequately","","","","","1"
"Yes","1996","no migration background","general elemantary","","","","","1"
"Yes","1996","no migration background","middle vocational","","","","","1"
"Yes","1996","no migration background","vocational + Abi","","","","","1"
"Yes","1996","no migration background","higher vocational","","","","","1"
"Yes","1996","no migration background","higher education","","","","","1"
"No","1997","no migration background","in school","1","","","","2"
"No","1997","no migration background","vocational + Abi","46","1","1","1","2"
"No","1997","no migration background","inadequately","7","","","","2"
"No","1997","no migration background","general elemantary","119","1","1","1","2"
"No","1997","no migration background","middle vocational","662","1","1","1","2"
"No","1997","no migration background","higher vocational","97","1","1","1","2"
"No","1997","no migration background","higher education","177","1","1","1","2"
"No","1997","indirect migration background","higher vocational","2","","","","2"
"No","1997","indirect migration background","higher education","2","","","","2"
"No","1997","indirect migration background","in school","","","","","2"
"No","1997","indirect migration background","inadequately","1","","","","2"
"No","1997","indirect migration background","general elemantary","20","","","","2"
"No","1997","indirect migration background","middle vocational","29","","","","2"
"No","1997","indirect migration background","vocational + Abi","2","","","","2"
"No","1997","direct migration background","in school","1","","","","2"
"No","1997","direct migration background","inadequately","26","","","","2"
"No","1997","direct migration background","general elemantary","63","1","1","1","2"
"No","1997","direct migration background","middle vocational","101","1","1","1","2"
"No","1997","direct migration background","vocational + Abi","13","","","","2"
"No","1997","direct migration background","higher vocational","8","","","","2"
"No","1997","direct migration background","higher education","15","","","","2"
"Yes","1997","direct migration background","in school","","","","","1"
"Yes","1997","direct migration background","inadequately","","","","","1"
"Yes","1997","direct migration background","general elemantary","","","","","1"
"Yes","1997","direct migration background","middle vocational","","","","","1"
"Yes","1997","direct migration background","vocational + Abi","","","","","1"
"Yes","1997","direct migration background","higher vocational","","","","","1"
"Yes","1997","direct migration background","higher education","","","","","1"
"Yes","1997","indirect migration background","in school","","","","","1"
"Yes","1997","indirect migration background","inadequately","","","","","1"
"Yes","1997","indirect migration background","general elemantary","","","","","1"
"Yes","1997","indirect migration background","middle vocational","","","","","1"
"Yes","1997","indirect migration background","vocational + Abi","","","","","1"
"Yes","1997","indirect migration background","higher vocational","","","","","1"
"Yes","1997","indirect migration background","higher education","","","","","1"
"Yes","1997","no migration background","in school","","","","","1"
"Yes","1997","no migration background","inadequately","","","","","1"
"Yes","1997","no migration background","general elemantary","","","","","1"
"Yes","1997","no migration background","middle vocational","","","","","1"
"Yes","1997","no migration background","vocational + Abi","","","","","1"
"Yes","1997","no migration background","higher vocational","","","","","1"
"Yes","1997","no migration background","higher education","","","","","1"
"No","1998","no migration background","in school","1","","","","2"
"No","1998","no migration background","inadequately","8","","","","2"
"No","1998","no migration background","general elemantary","149","1","1","1","2"
"No","1998","no migration background","middle vocational","725","1","1","1","2"
"No","1998","no migration background","vocational + Abi","38","1","1","1","2"
"No","1998","no migration background","higher vocational","96","1","1","1","2"
"No","1998","no migration background","higher education","196","1","1","1","2"
"No","1998","indirect migration background","higher vocational","3","","","","2"
"No","1998","indirect migration background","higher education","1","","","","2"
"No","1998","indirect migration background","in school","","","","","2"
"No","1998","indirect migration background","inadequately","1","","","","2"
"No","1998","indirect migration background","general elemantary","16","","","","2"
"No","1998","indirect migration background","middle vocational","24","","","","2"
"No","1998","indirect migration background","vocational + Abi","1","","","","2"
"No","1998","direct migration background","in school","","","","","2"
"No","1998","direct migration background","inadequately","20","","","","2"
"No","1998","direct migration background","general elemantary","56","1","1","1","2"
"No","1998","direct migration background","middle vocational","89","1","1","1","2"
