"pli0095_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per month","1990","direct migration background","Rural Area","21","","","","3"
"Min 1x per month","1990","direct migration background","Urban Area","15","","","","3"
"Min 1x per month","1990","indirect migration background","Urban Area","1","","","","3"
"Min 1x per month","1990","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","1990","no migration background","Urban Area","252","0.167302764296858","0.14826131362019","0.186344214973525","2"
"Min 1x per week","1990","no migration background","Rural Area","472","0.17095198345627","0.1567544561302","0.18514951078234","2"
"Min 1x per week","1990","direct migration background","Urban Area","8","","","","2"
"Min 1x per week","1990","direct migration background","Rural Area","20","","","","2"
"Min 1x per week","1990","indirect migration background","Urban Area","","","","","2"
"Min 1x per week","1990","indirect migration background","Rural Area","","","","","2"
"Never","1990","no migration background","Urban Area","132","0.12212469806403","0.105420598144214","0.138828797983846","5"
"Never","1990","no migration background","Rural Area","243","0.115729407242469","0.103665159291524","0.127793655193414","5"
"Never","1990","direct migration background","Urban Area","5","","","","5"
"Never","1990","indirect migration background","Urban Area","","","","","5"
"Never","1990","direct migration background","Rural Area","9","","","","5"
"Never","1990","indirect migration background","Rural Area","1","","","","5"
"Rarely","1990","no migration background","Rural Area","1200","0.436049166153449","0.417347764804946","0.454750567501952","4"
"Rarely","1990","no migration background","Urban Area","663","0.420271271128535","0.395089737556924","0.445452804700147","4"
"Rarely","1990","direct migration background","Urban Area","20","","","","4"
"Rarely","1990","direct migration background","Rural Area","40","0.439586262303725","0.337043909369076","0.542128615238374","4"
"Rarely","1990","indirect migration background","Urban Area","","","","","4"
"Rarely","1990","indirect migration background","Rural Area","","","","","4"
"Min 1x per month","1991","no migration background","Urban Area","","","","","3"
"Min 1x per month","1991","no migration background","Rural Area","","","","","3"
"Min 1x per month","1991","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1991","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1991","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","1991","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","1991","no migration background","Urban Area","","","","","2"
"Min 1x per week","1991","no migration background","Rural Area","","","","","2"
"Min 1x per week","1991","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1991","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1991","indirect migration background","Urban Area","","","","","2"
"Min 1x per week","1991","indirect migration background","Rural Area","","","","","2"
"Never","1991","no migration background","Urban Area","","","","","5"
"Never","1991","no migration background","Rural Area","","","","","5"
"Never","1991","direct migration background","Urban Area","","","","","5"
"Never","1991","direct migration background","Rural Area","","","","","5"
"Never","1991","indirect migration background","Urban Area","","","","","5"
"Never","1991","indirect migration background","Rural Area","","","","","5"
"Rarely","1991","no migration background","Urban Area","","","","","4"
"Rarely","1991","no migration background","Rural Area","","","","","4"
"Rarely","1991","direct migration background","Urban Area","","","","","4"
"Rarely","1991","indirect migration background","Urban Area","","","","","4"
"Rarely","1991","direct migration background","Rural Area","","","","","4"
"Rarely","1991","indirect migration background","Rural Area","","","","","4"
"Min 1x per month","1992","no migration background","Urban Area","1648","0.250112708359738","0.239369913074364","0.260855503645112","3"
"Min 1x per month","1992","no migration background","Rural Area","1084","0.266791705192276","0.25299201308476","0.280591397299792","3"
"Min 1x per month","1992","direct migration background","Urban Area","666","0.285426839431534","0.266305964544939","0.304547714318129","3"
"Min 1x per month","1992","direct migration background","Rural Area","100","0.236183152840321","0.194455339264779","0.277910966415862","3"
"Min 1x per month","1992","indirect migration background","Urban Area","124","0.330870251010294","0.281716033255102","0.380024468765487","3"
"Min 1x per month","1992","indirect migration background","Rural Area","18","","","","3"
"Min 1x per week","1992","no migration background","Urban Area","538","0.087636446473454","0.0806222525753287","0.0946506403715792","2"
"Min 1x per week","1992","no migration background","Rural Area","320","0.0838556210653606","0.0752075828291142","0.092503659301607","2"
"Min 1x per week","1992","direct migration background","Urban Area","297","0.124460640710938","0.11048438432819","0.138436897093687","2"
"Min 1x per week","1992","direct migration background","Rural Area","54","0.0968535811557193","0.0677970692074001","0.125910093104039","2"
"Min 1x per week","1992","indirect migration background","Urban Area","50","0.114127020805221","0.0809103022243474","0.147343739386096","2"
"Min 1x per week","1992","indirect migration background","Rural Area","11","","","","2"
"Never","1992","no migration background","Rural Area","471","0.168114938525555","0.156446725043189","0.17978315200792","5"
"Never","1992","no migration background","Urban Area","885","0.170552777476994","0.161222915900524","0.179882639053464","5"
"Never","1992","direct migration background","Urban Area","360","0.173984837772226","0.157934406127429","0.190035269417022","5"
"Never","1992","direct migration background","Rural Area","66","0.202138990040684","0.162684610149212","0.241593369932157","5"
"Never","1992","indirect migration background","Urban Area","36","0.132618686418145","0.0971876259556604","0.168049746880629","5"
"Never","1992","indirect migration background","Rural Area","12","","","","5"
"Rarely","1992","no migration background","Urban Area","3172","0.491698067689814","0.479296929280924","0.504099206098705","4"
"Rarely","1992","no migration background","Rural Area","2071","0.481237735216808","0.465648185315512","0.496827285118105","4"
"Rarely","1992","direct migration background","Urban Area","820","0.416127682085303","0.395258316268","0.436997047902605","4"
"Rarely","1992","direct migration background","Rural Area","178","0.464824275963276","0.415823928642887","0.513824623283664","4"
"Rarely","1992","indirect migration background","Urban Area","142","0.422384041766339","0.370783994227451","0.473984089305227","4"
"Rarely","1992","indirect migration background","Rural Area","15","","","","4"
"Min 1x per month","1993","no migration background","Urban Area","","","","","3"
"Min 1x per month","1993","no migration background","Rural Area","","","","","3"
"Min 1x per month","1993","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1993","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1993","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","1993","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","1993","no migration background","Urban Area","","","","","2"
"Min 1x per week","1993","no migration background","Rural Area","","","","","2"
"Min 1x per week","1993","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1993","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1993","indirect migration background","Urban Area","","","","","2"
"Min 1x per week","1993","indirect migration background","Rural Area","","","","","2"
"Never","1993","no migration background","Urban Area","","","","","5"
"Never","1993","no migration background","Rural Area","","","","","5"
"Never","1993","direct migration background","Urban Area","","","","","5"
"Never","1993","direct migration background","Rural Area","","","","","5"
"Never","1993","indirect migration background","Urban Area","","","","","5"
"Never","1993","indirect migration background","Rural Area","","","","","5"
"Rarely","1993","no migration background","Urban Area","","","","","4"
"Rarely","1993","no migration background","Rural Area","","","","","4"
"Rarely","1993","direct migration background","Urban Area","","","","","4"
"Rarely","1993","direct migration background","Rural Area","","","","","4"
"Rarely","1993","indirect migration background","Urban Area","","","","","4"
"Rarely","1993","indirect migration background","Rural Area","","","","","4"
"Min 1x per month","1994","no migration background","Rural Area","1045","0.259573412847703","0.245714552847933","0.273432272847474","3"
"Min 1x per month","1994","no migration background","Urban Area","1612","0.253501205526551","0.242639655323967","0.264362755729135","3"
"Min 1x per month","1994","direct migration background","Urban Area","580","0.267438768304429","0.247986742058843","0.286890794550015","3"
"Min 1x per month","1994","direct migration background","Rural Area","136","0.288077594066719","0.242119210387016","0.334035977746423","3"
"Min 1x per month","1994","indirect migration background","Urban Area","139","0.280801733890593","0.23787466340309","0.323728804378097","3"
"Min 1x per month","1994","indirect migration background","Rural Area","31","0.376873237487284","0.263349959665596","0.490396515308971","3"
"Min 1x per week","1994","no migration background","Urban Area","510","0.0818521237005623","0.0750073587821907","0.0886968886189339","2"
"Min 1x per week","1994","no migration background","Rural Area","346","0.0922587037461443","0.0831103884856599","0.101407019006629","2"
"Min 1x per week","1994","direct migration background","Urban Area","265","0.125705601954104","0.111136363101015","0.140274840807193","2"
"Min 1x per week","1994","direct migration background","Rural Area","45","0.0910801773567678","0.0618811492287619","0.120279205484774","2"
"Min 1x per week","1994","indirect migration background","Urban Area","56","0.124311578766562","0.0927951037328414","0.155828053800282","2"
"Min 1x per week","1994","indirect migration background","Rural Area","9","","","","2"
"Never","1994","no migration background","Urban Area","822","0.158822703563249","0.149696559765487","0.167948847361011","5"
"Never","1994","no migration background","Rural Area","449","0.156427015215876","0.144943532729588","0.167910497702164","5"
"Never","1994","direct migration background","Urban Area","315","0.167112048672085","0.150716427661161","0.183507669683009","5"
"Never","1994","direct migration background","Rural Area","44","0.196718412504321","0.156377094154032","0.237059730854609","5"
"Never","1994","indirect migration background","Urban Area","35","0.113170686458637","0.0829089365240692","0.143432436393205","5"
"Never","1994","indirect migration background","Rural Area","6","","","","5"
"Rarely","1994","no migration background","Urban Area","3218","0.505823967209638","0.493340713849309","0.518307220569967","4"
"Rarely","1994","no migration background","Rural Area","2004","0.491740868190276","0.475936863551251","0.507544872829301","4"
"Rarely","1994","direct migration background","Urban Area","829","0.439743581069382","0.417930155397978","0.461557006740787","4"
"Rarely","1994","direct migration background","Rural Area","148","0.424123816072192","0.373969932857773","0.474277699286611","4"
"Rarely","1994","indirect migration background","Urban Area","191","0.481716000884208","0.433986545398423","0.529445456369992","4"
"Rarely","1994","indirect migration background","Rural Area","24","","","","4"
"Min 1x per month","1995","no migration background","Rural Area","","","","","3"
"Min 1x per month","1995","no migration background","Urban Area","","","","","3"
"Min 1x per month","1995","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1995","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1995","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","1995","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","1995","no migration background","Urban Area","","","","","2"
"Min 1x per week","1995","no migration background","Rural Area","","","","","2"
"Min 1x per week","1995","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1995","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1995","indirect migration background","Rural Area","","","","","2"
"Min 1x per week","1995","indirect migration background","Urban Area","","","","","2"
"Never","1995","no migration background","Urban Area","","","","","5"
"Never","1995","no migration background","Rural Area","","","","","5"
"Never","1995","direct migration background","Urban Area","","","","","5"
"Never","1995","direct migration background","Rural Area","","","","","5"
"Never","1995","indirect migration background","Urban Area","","","","","5"
"Never","1995","indirect migration background","Rural Area","","","","","5"
"Rarely","1995","no migration background","Urban Area","","","","","4"
"Rarely","1995","no migration background","Rural Area","","","","","4"
"Rarely","1995","direct migration background","Urban Area","","","","","4"
"Rarely","1995","direct migration background","Rural Area","","","","","4"
"Rarely","1995","indirect migration background","Urban Area","","","","","4"
"Rarely","1995","indirect migration background","Rural Area","","","","","4"
"Min 1x per month","1996","no migration background","Urban Area","1815","0.286677484974556","0.275265605308789","0.298089364640322","3"
"Min 1x per month","1996","no migration background","Rural Area","1291","0.307930678277653","0.293410709780451","0.322450646774855","3"
"Min 1x per month","1996","direct migration background","Urban Area","711","0.304013971739065","0.284637880405878","0.323390063072252","3"
"Min 1x per month","1996","indirect migration background","Urban Area","161","0.368989831227248","0.32474980569839","0.413229856756106","3"
"Min 1x per month","1996","direct migration background","Rural Area","162","0.331142459896908","0.287465247707529","0.374819672086287","3"
"Min 1x per month","1996","indirect migration background","Rural Area","35","0.271952077838349","0.177909388650313","0.365994767026385","3"
"Min 1x per week","1996","no migration background","Urban Area","685","0.109663228484405","0.101777803701413","0.117548653267396","2"
"Min 1x per week","1996","no migration background","Rural Area","424","0.111470151172558","0.101571416084551","0.121368886260564","2"
"Min 1x per week","1996","direct migration background","Urban Area","351","0.167931302248343","0.152185508416233","0.183677096080454","2"
"Min 1x per week","1996","direct migration background","Rural Area","67","0.114066505921202","0.0845639058948916","0.143569105947513","2"
"Min 1x per week","1996","indirect migration background","Urban Area","51","0.073067564800914","0.0492072402164602","0.0969278893853678","2"
"Min 1x per week","1996","indirect migration background","Rural Area","7","","","","2"
"Never","1996","no migration background","Urban Area","669","0.137843696073362","0.129144003952017","0.146543388194708","5"
"Never","1996","no migration background","Rural Area","286","0.104863879793552","0.0952273227252275","0.114500436861876","5"
"Never","1996","direct migration background","Urban Area","291","0.148329913161604","0.133358278916579","0.163301547406628","5"
"Never","1996","direct migration background","Rural Area","43","0.120201919998981","0.0900213200309088","0.150382519967053","5"
"Never","1996","indirect migration background","Urban Area","44","0.0789344447415164","0.054213302079363","0.10365558740367","5"
"Never","1996","indirect migration background","Rural Area","9","","","","5"
"Rarely","1996","no migration background","Urban Area","2863","0.465815590467678","0.453227204826325","0.478403976109031","4"
"Rarely","1996","direct migration background","Urban Area","812","0.379724812850988","0.35928175614701","0.400167869554966","4"
"Rarely","1996","no migration background","Rural Area","1882","0.475735290756238","0.460027236506368","0.491443345006108","4"
"Rarely","1996","direct migration background","Rural Area","174","0.434589114182909","0.388584418063913","0.480593810301904","4"
"Rarely","1996","indirect migration background","Urban Area","201","0.479008159230321","0.433206953881825","0.524809364578818","4"
"Rarely","1996","indirect migration background","Rural Area","35","0.409261900345224","0.305342408494726","0.513181392195721","4"
"Min 1x per month","1997","no migration background","Urban Area","1652","0.264524202602935","0.253294088541748","0.275754316664122","3"
"Min 1x per month","1997","no migration background","Rural Area","1267","0.310227183502848","0.295598040003739","0.324856327001956","3"
"Min 1x per month","1997","direct migration background","Urban Area","617","0.296373073324106","0.276638781666163","0.316107364982048","3"
"Min 1x per month","1997","direct migration background","Rural Area","147","0.30649147475098","0.262451998577447","0.350530950924513","3"
"Min 1x per month","1997","indirect migration background","Urban Area","152","0.272797510576689","0.233158290437473","0.312436730715905","3"
"Min 1x per month","1997","indirect migration background","Rural Area","28","","","","3"
"Min 1x per week","1997","no migration background","Urban Area","627","0.107091379835203","0.0992182387777853","0.114964520892621","2"
"Min 1x per week","1997","no migration background","Rural Area","420","0.117814202352152","0.10761879008227","0.128009614622035","2"
"Min 1x per week","1997","direct migration background","Urban Area","303","0.131714404300008","0.117100075320843","0.146328733279173","2"
"Min 1x per week","1997","direct migration background","Rural Area","77","0.148518259104024","0.114549112391181","0.182487405816867","2"
"Min 1x per week","1997","indirect migration background","Urban Area","73","0.149742058540903","0.117986155314827","0.181497961766978","2"
"Min 1x per week","1997","indirect migration background","Rural Area","16","","","","2"
"Never","1997","no migration background","Urban Area","731","0.152832750189278","0.143671387839329","0.161994112539228","5"
"Never","1997","no migration background","Rural Area","336","0.119111249496463","0.108867407773518","0.129355091219407","5"
"Never","1997","direct migration background","Urban Area","314","0.156331668587234","0.140637428194569","0.172025908979899","5"
"Never","1997","direct migration background","Rural Area","39","0.139228939384384","0.106160353066143","0.172297525702625","5"
"Never","1997","indirect migration background","Urban Area","40","0.0999198404549039","0.0732301410825036","0.126609539827304","5"
"Never","1997","indirect migration background","Rural Area","7","","","","5"
"Rarely","1997","no migration background","Urban Area","2916","0.475551667372583","0.462836634821882","0.488266699923284","4"
"Rarely","1997","no migration background","Rural Area","1818","0.452847364648537","0.437105502409523","0.468589226887551","4"
"Rarely","1997","direct migration background","Urban Area","823","0.415580853788652","0.394283731315609","0.436877976261695","4"
"Rarely","1997","direct migration background","Rural Area","158","0.405761326760611","0.358855928771885","0.452666724749337","4"
"Rarely","1997","indirect migration background","Rural Area","33","0.356461349504465","0.254037288964233","0.458885410044696","4"
"Rarely","1997","indirect migration background","Urban Area","220","0.477540590427504","0.433086815594297","0.521994365260712","4"
"Min 1x per month","1998","no migration background","Urban Area","","","","","3"
"Min 1x per month","1998","direct migration background","Urban Area","","","","","3"
"Min 1x per month","1998","no migration background","Rural Area","","","","","3"
"Min 1x per month","1998","direct migration background","Rural Area","","","","","3"
"Min 1x per month","1998","indirect migration background","Urban Area","","","","","3"
"Min 1x per month","1998","indirect migration background","Rural Area","","","","","3"
"Min 1x per week","1998","no migration background","Urban Area","","","","","2"
"Min 1x per week","1998","no migration background","Rural Area","","","","","2"
"Min 1x per week","1998","direct migration background","Urban Area","","","","","2"
"Min 1x per week","1998","direct migration background","Rural Area","","","","","2"
"Min 1x per week","1998","indirect migration background","Urban Area","","","","","2"
"Min 1x per week","1998","indirect migration background","Rural Area","","","","","2"
"Never","1998","no migration background","Urban Area","","","","","5"
"Never","1998","no migration background","Rural Area","","","","","5"
"Never","1998","direct migration background","Urban Area","","","","","5"
"Never","1998","direct migration background","Rural Area","","","","","5"
"Never","1998","indirect migration background","Urban Area","","","","","5"
"Never","1998","indirect migration background","Rural Area","","","","","5"
"Rarely","1998","no migration background","Urban Area","","","","","4"
"Rarely","1998","no migration background","Rural Area","","","","","4"
"Rarely","1998","direct migration background","Rural Area","","","","","4"
"Rarely","1998","direct migration background","Urban Area","","","","","4"
"Rarely","1998","indirect migration background","Rural Area","","","","","4"
"Rarely","1998","indirect migration background","Urban Area","","","","","4"
"Min 1x per month","1999","no migration background","Urban Area","1811","0.253496258872164","0.243011689414953","0.263980828329375","3"
"Min 1x per month","1999","no migration background","Rural Area","1338","0.285974691762841","0.272408374437109","0.299541009088572","3"
"Min 1x per month","1999","direct migration background","Urban Area","549","0.279044134983913","0.258633010892095","0.299455259075731","3"
"Min 1x per month","1999","direct migration background","Rural Area","106","0.239605764212969","0.195078216551386","0.284133311874552","3"
"Min 1x per month","1999","indirect migration background","Urban Area","167","0.322121178261886","0.281957628341355","0.362284728182417","3"
"Min 1x per month","1999","indirect migration background","Rural Area","35","0.34657283749042","0.246576448418999","0.44656922656184","3"
"Min 1x per week","1999","no migration background","Urban Area","651","0.0997552934623795","0.0925326347625905","0.106977952162168","2"
"Min 1x per week","1999","no migration background","Rural Area","417","0.0989317121319225","0.0899679982906893","0.107895425973156","2"
"Min 1x per week","1999","direct migration background","Rural Area","59","0.155032828877173","0.117276262506875","0.192789395247472","2"
"Min 1x per week","1999","direct migration background","Urban Area","250","0.123598390837031","0.10862107026393","0.138575711410132","2"
"Min 1x per week","1999","indirect migration background","Rural Area","7","","","","2"
"Min 1x per week","1999","indirect migration background","Urban Area","77","0.14361934110072","0.11347635249845","0.173762329702989","2"
"Never","1999","no migration background","Urban Area","775","0.144532254119589","0.136057384266758","0.15300712397242","5"
"Never","1999","no migration background","Rural Area","364","0.121072867097882","0.11127929290849","0.130866441287274","5"
"Never","1999","direct migration background","Urban Area","289","0.158588933068071","0.141965654501882","0.175212211634261","5"
"Never","1999","direct migration background","Rural Area","47","0.211030319939044","0.168464272584257","0.253596367293831","5"
