"pli0095_h","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Never","1996","Rural Area","338","0.106106325643558","0.0970219244250904","0.115190726862026","5"
"Never","1996","Urban Area","1004","0.138221084404679","0.130949572395454","0.145492596413904","5"
"Rarely","1996","Rural Area","2091","0.471607241944569","0.45688237435589","0.486332109533248","4"
"Rarely","1996","Urban Area","3876","0.451987372922028","0.441501657199838","0.462473088644218","4"
"Min 1x per month","1997","Urban Area","2421","0.270006985101751","0.260551049227536","0.279462920975966","3"
"Min 1x per month","1997","Rural Area","1442","0.310718416299098","0.296959473506652","0.324477359091544","3"
"Min 1x per week","1997","Urban Area","1003","0.112349416703997","0.105623304641495","0.119075528766499","2"
"Min 1x per week","1997","Rural Area","513","0.120243706750951","0.110573948892147","0.129913464609755","2"
"Never","1997","Rural Area","382","0.121229458395092","0.111525586435937","0.130933330354248","5"
"Never","1997","Urban Area","1085","0.151922050589031","0.14427690150267","0.159567199675393","5"
"Rarely","1997","Rural Area","2009","0.447808418554859","0.433024340474738","0.462592496634979","4"
"Rarely","1997","Urban Area","3959","0.465721547605221","0.455097141518206","0.476345953692235","4"
"Min 1x per month","1998","Urban Area","","","","","3"
"Min 1x per month","1998","Rural Area","","","","","3"
"Min 1x per week","1998","Urban Area","","","","","2"
"Min 1x per week","1998","Rural Area","","","","","2"
"Never","1998","Rural Area","","","","","5"
"Never","1998","Urban Area","","","","","5"
"Rarely","1998","Rural Area","","","","","4"
"Rarely","1998","Urban Area","","","","","4"
"Min 1x per month","1999","Urban Area","2527","0.260056776021289","0.250987975587732","0.269125576454846","3"
"Min 1x per month","1999","Rural Area","1479","0.283260431807601","0.270381482748436","0.296139380866766","3"
"Min 1x per week","1999","Urban Area","978","0.10514774916414","0.098806245951942","0.111489252376338","2"
"Min 1x per week","1999","Rural Area","483","0.103356983660715","0.0946556368845005","0.112058330436929","2"
"Never","1999","Rural Area","420","0.127807586986054","0.118264448007132","0.137350725964976","5"
"Never","1999","Urban Area","1131","0.145943764911348","0.138644946384951","0.153242583437745","5"
"Rarely","1999","Rural Area","2320","0.48557499754563","0.471289480257126","0.499860514834135","4"
"Rarely","1999","Urban Area","4352","0.488851709903223","0.478517468919879","0.499185950886568","4"
"Min 1x per month","2000","Urban Area","","","","","3"
"Min 1x per month","2000","Rural Area","","","","","3"
"Min 1x per week","2000","Urban Area","","","","","2"
"Min 1x per week","2000","Rural Area","","","","","2"
"Never","2000","Urban Area","","","","","5"
"Never","2000","Rural Area","","","","","5"
"Rarely","2000","Urban Area","","","","","4"
"Rarely","2000","Rural Area","","","","","4"
"Min 1x per month","2001","Urban Area","4322","0.286532930412148","0.279153213577218","0.293912647247078","3"
"Min 1x per month","2001","Rural Area","2415","0.30896974927033","0.298498372116952","0.319441126423707","3"
"Min 1x per week","2001","Urban Area","1816","0.123961387054184","0.118582774034263","0.129340000074106","2"
"Min 1x per week","2001","Rural Area","914","0.122664055029473","0.115229775058737","0.130098335000209","2"
"Never","2001","Urban Area","1885","0.151372453912732","0.145522567292775","0.157222340532689","5"
"Never","2001","Rural Area","862","0.137240734232703","0.129442727162717","0.145038741302689","5"
"Rarely","2001","Urban Area","6397","0.438133228620936","0.43003508954119","0.446231367700682","4"
"Rarely","2001","Rural Area","3289","0.431125461467494","0.419902502468289","0.442348420466699","4"
"Min 1x per month","2002","Urban Area","","","","","3"
"Min 1x per month","2002","Rural Area","","","","","3"
"Min 1x per week","2002","Urban Area","","","","","2"
"Min 1x per week","2002","Rural Area","","","","","2"
"Never","2002","Urban Area","","","","","5"
"Never","2002","Rural Area","","","","","5"
"Rarely","2002","Urban Area","","","","","4"
"Rarely","2002","Rural Area","","","","","4"
"Min 1x per month","2003","Rural Area","","","","","3"
"Min 1x per month","2003","Urban Area","","","","","3"
"Min 1x per week","2003","Rural Area","","","","","2"
"Min 1x per week","2003","Urban Area","","","","","2"
"Never","2003","Urban Area","","","","","5"
"Never","2003","Rural Area","","","","","5"
"Rarely","2003","Urban Area","","","","","4"
"Rarely","2003","Rural Area","","","","","4"
"Min 1x per month","2004","Rural Area","","","","","3"
"Min 1x per month","2004","Urban Area","","","","","3"
"Min 1x per week","2004","Rural Area","","","","","2"
"Min 1x per week","2004","Urban Area","","","","","2"
"Never","2004","Urban Area","","","","","5"
"Never","2004","Rural Area","","","","","5"
"Rarely","2004","Urban Area","","","","","4"
"Rarely","2004","Rural Area","","","","","4"
"Min 1x per month","2005","Rural Area","2231","0.322809075640774","0.311732091772088","0.333886059509461","3"
"Min 1x per month","2005","Urban Area","4273","0.304670519979972","0.297004862295793","0.31233617766415","3"
"Min 1x per week","2005","Rural Area","790","0.122895126505714","0.115116799752247","0.130673453259182","2"
"Min 1x per week","2005","Urban Area","1653","0.12082550500792","0.115397306351401","0.126253703664439","2"
"Never","2005","Urban Area","1520","0.127294890105744","0.121743801902341","0.132845978309146","5"
"Never","2005","Rural Area","707","0.122048050769773","0.11429283495296","0.129803266586585","5"
"Rarely","2005","Urban Area","6403","0.447209084906364","0.438928240192601","0.455489929620127","4"
"Rarely","2005","Rural Area","3116","0.432247747083739","0.420511239252553","0.443984254914924","4"
"Min 1x per month","2006","Rural Area","","","","","3"
"Min 1x per month","2006","Urban Area","","","","","3"
"Min 1x per week","2006","Rural Area","","","","","2"
"Min 1x per week","2006","Urban Area","","","","","2"
"Never","2006","Urban Area","","","","","5"
"Never","2006","Rural Area","","","","","5"
"Rarely","2006","Rural Area","","","","","4"
"Rarely","2006","Urban Area","","","","","4"
"Min 1x per month","2007","Rural Area","2319","0.329321919827767","0.318256985281863","0.340386854373672","3"
"Min 1x per month","2007","Urban Area","4153","0.308687562743453","0.300915453134054","0.316459672352852","3"
"Min 1x per week","2007","Urban Area","1737","0.116795925722739","0.111392284025043","0.122199567420434","2"
"Min 1x per week","2007","Rural Area","841","0.125387921398897","0.117591109432481","0.133184733365314","2"
"Never","2007","Urban Area","1607","0.133682015161383","0.127956463695363","0.139407566627404","5"
"Never","2007","Rural Area","808","0.127155523762125","0.11931188609965","0.1349991614246","5"
"Rarely","2007","Rural Area","2962","0.41813463501121","0.406521464610701","0.42974780541172","4"
"Rarely","2007","Urban Area","6074","0.440834496372425","0.432481349126077","0.449187643618772","4"
"Min 1x per month","2008","Rural Area","","","","","3"
"Min 1x per month","2008","Urban Area","","","","","3"
"Min 1x per week","2008","Urban Area","","","","","2"
"Min 1x per week","2008","Rural Area","","","","","2"
"Never","2008","Urban Area","","","","","5"
"Never","2008","Rural Area","","","","","5"
"Rarely","2008","Rural Area","","","","","4"
"Rarely","2008","Urban Area","","","","","4"
"Min 1x per month","2009","Rural Area","1994","0.325107947130159","0.313469926023191","0.336745968237127","3"
"Min 1x per month","2009","Urban Area","3565","0.298529980392563","0.290270496907766","0.306789463877359","3"
"Min 1x per week","2009","Urban Area","1248","0.103384709638688","0.0978894833330751","0.108879935944301","2"
"Min 1x per week","2009","Rural Area","674","0.111406480843417","0.103589213059985","0.119223748626849","2"
"Never","2009","Rural Area","697","0.118343027669986","0.110317578439593","0.126368476900379","5"
"Never","2009","Urban Area","1346","0.126293590475002","0.12029805783369","0.132289123116314","5"
"Rarely","2009","Rural Area","2858","0.445142544356438","0.432794776514075","0.457490312198802","4"
"Rarely","2009","Urban Area","5633","0.471791719493747","0.462781567536453","0.480801871451041","4"
"Min 1x per month","2010","Urban Area","","","","","3"
"Min 1x per month","2010","Rural Area","","","","","3"
"Min 1x per week","2010","Urban Area","","","","","2"
"Min 1x per week","2010","Rural Area","","","","","2"
"Never","2010","Rural Area","","","","","5"
"Never","2010","Urban Area","","","","","5"
"Rarely","2010","Rural Area","","","","","4"
"Rarely","2010","Urban Area","","","","","4"
"Min 1x per month","2011","Urban Area","5803","0.300542027989282","0.293909114773386","0.307174941205179","3"
"Min 1x per month","2011","Rural Area","3315","0.313157158330763","0.304077717854929","0.322236598806596","3"
"Min 1x per week","2011","Urban Area","2433","0.11981461304418","0.11511661460283","0.12451261148553","2"
"Min 1x per week","2011","Rural Area","1347","0.133897358080335","0.12723051993634","0.140564196224329","2"
"Never","2011","Rural Area","1112","0.120795460954496","0.114415478353913","0.12717544355508","5"
"Never","2011","Urban Area","1994","0.124753374921315","0.119972996573263","0.129533753269367","5"
"Rarely","2011","Rural Area","4249","0.432150022634406","0.422451997568247","0.441848047700565","4"
"Rarely","2011","Urban Area","8125","0.454889984045222","0.447686109105738","0.462093858984707","4"
"Min 1x per month","2012","Rural Area","","","","","3"
"Min 1x per month","2012","Urban Area","","","","","3"
"Min 1x per week","2012","Rural Area","","","","","2"
"Min 1x per week","2012","Urban Area","","","","","2"
"Never","2012","Rural Area","","","","","5"
"Never","2012","Urban Area","","","","","5"
"Rarely","2012","Rural Area","","","","","4"
"Rarely","2012","Urban Area","","","","","4"
"Min 1x per month","2013","Urban Area","","","","","3"
"Min 1x per month","2013","Rural Area","","","","","3"
"Min 1x per week","2013","Urban Area","","","","","2"
"Min 1x per week","2013","Rural Area","","","","","2"
"Never","2013","Urban Area","","","","","5"
"Never","2013","Rural Area","","","","","5"
"Rarely","2013","Urban Area","","","","","4"
"Rarely","2013","Rural Area","","","","","4"
"Min 1x per month","2014","Urban Area","","","","","3"
"Min 1x per month","2014","Rural Area","","","","","3"
"Min 1x per week","2014","Urban Area","","","","","2"
"Min 1x per week","2014","Rural Area","","","","","2"
"Never","2014","Urban Area","","","","","5"
"Never","2014","Rural Area","","","","","5"
"Rarely","2014","Urban Area","","","","","4"
"Rarely","2014","Rural Area","","","","","4"
"Min 1x per month","2015","Urban Area","5922","0.312032544449504","0.30521149632257","0.318853592576438","3"
"Min 1x per month","2015","Rural Area","3149","0.326837163518672","0.317232051553898","0.336442275483446","3"
"Min 1x per week","2015","Urban Area","2364","0.117771858574485","0.11302639725108","0.12251731989789","2"
"Min 1x per week","2015","Rural Area","1184","0.115833983766831","0.109280661052153","0.122387306481509","2"
"Never","2015","Urban Area","1605","0.111007224428557","0.106382435058793","0.115632013798321","5"
"Never","2015","Rural Area","830","0.103279473901431","0.0970476924614712","0.10951125534139","5"
"Rarely","2015","Urban Area","7833","0.459188372547455","0.451851927451526","0.466524817643384","4"
"Rarely","2015","Rural Area","3998","0.454049378813066","0.443853964602646","0.464244793023486","4"
"Min 1x per month","2016","Rural Area","","","","","3"
"Min 1x per month","2016","Urban Area","","","","","3"
"Min 1x per week","2016","Rural Area","","","","","2"
"Min 1x per week","2016","Urban Area","","","","","2"
"Never","2016","Urban Area","","","","","5"
"Never","2016","Rural Area","","","","","5"
"Rarely","2016","Urban Area","","","","","4"
"Rarely","2016","Rural Area","","","","","4"
"Min 1x per month","2017","Rural Area","3353","0.336196234159461","0.326662006962896","0.345730461356026","3"
"Min 1x per month","2017","Urban Area","5926","0.330974488908532","0.323949454631022","0.337999523186041","3"
"Min 1x per week","2017","Rural Area","1424","0.145658317659584","0.138538765744743","0.152777869574426","2"
"Min 1x per week","2017","Urban Area","2449","0.133417297622745","0.128341071892001","0.138493523353489","2"
"Never","2017","Urban Area","1533","0.112978053295616","0.108252049407858","0.117704057183375","5"
"Never","2017","Rural Area","824","0.100370943220882","0.0943063041662181","0.106435582275547","5"
"Rarely","2017","Urban Area","7328","0.422630160173107","0.415255582768151","0.430004737578063","4"
"Rarely","2017","Rural Area","3830","0.417774504960073","0.407820776369","0.427728233551145","4"
