"plh0206i04","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"3 on scale 1-7 ","2005","Bavaria","no migration background","66","0.0238396739881617","0.0177805569613147","0.0298987910150086"
"3 on scale 1-7 ","2005","Bavaria","direct migration background","15","","",""
"3 on scale 1-7 ","2005","Bavaria","indirect migration background","4","","",""
"3 on scale 1-7 ","2005","Berlin","no migration background","27","","",""
"3 on scale 1-7 ","2005","Berlin","direct migration background","3","","",""
"3 on scale 1-7 ","2005","Berlin","indirect migration background","1","","",""
"3 on scale 1-7 ","2005","Brandenburg","no migration background","11","","",""
"3 on scale 1-7 ","2005","Brandenburg","direct migration background","","","",""
"3 on scale 1-7 ","2005","Brandenburg","indirect migration background","","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","no migration background","6","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","direct migration background","","","",""
"3 on scale 1-7 ","2005","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"3 on scale 1-7 ","2005","Saxony","no migration background","27","","",""
"3 on scale 1-7 ","2005","Saxony","direct migration background","","","",""
"3 on scale 1-7 ","2005","Saxony","indirect migration background","","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","no migration background","16","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","direct migration background","","","",""
"3 on scale 1-7 ","2005","Saxony-Anhalt","indirect migration background","","","",""
"3 on scale 1-7 ","2005","Thuringia","no migration background","30","0.0458310131643294","0.0319273070259902","0.0597347193026686"
"3 on scale 1-7 ","2005","Thuringia","direct migration background","","","",""
"3 on scale 1-7 ","2005","Thuringia","indirect migration background","1","","",""
"4 on scale 1-7","2005","Schleswig-Holstein","no migration background","34","0.0706788112692128","0.0497490445753117","0.0916085779631139"
"4 on scale 1-7","2005","Schleswig-Holstein","direct migration background","3","","",""
"4 on scale 1-7","2005","Schleswig-Holstein","indirect migration background","3","","",""
"4 on scale 1-7","2005","Hamburg","no migration background","15","","",""
"4 on scale 1-7","2005","Hamburg","direct migration background","1","","",""
"4 on scale 1-7","2005","Hamburg","indirect migration background","1","","",""
"4 on scale 1-7","2005","Lower Saxony","no migration background","131","0.0686594890738146","0.056025709020968","0.0812932691266613"
"4 on scale 1-7","2005","Lower Saxony","direct migration background","13","","",""
"4 on scale 1-7","2005","Lower Saxony","indirect migration background","2","","",""
"4 on scale 1-7","2005","Bremen","no migration background","9","","",""
"4 on scale 1-7","2005","Bremen","direct migration background","1","","",""
"4 on scale 1-7","2005","Bremen","indirect migration background","","","",""
"4 on scale 1-7","2005","North Rhine-Westphalia","no migration background","305","0.0870274275764428","0.0776298014597453","0.0964250536931404"
"4 on scale 1-7","2005","North Rhine-Westphalia","direct migration background","56","0.110485403596226","0.0862919857388212","0.13467882145363"
"4 on scale 1-7","2005","North Rhine-Westphalia","indirect migration background","11","","",""
"4 on scale 1-7","2005","Hesse","no migration background","97","0.101564242038015","0.0835402370510352","0.119588247024994"
"4 on scale 1-7","2005","Hesse","direct migration background","12","","",""
"4 on scale 1-7","2005","Hesse","indirect migration background","7","","",""
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","no migration background","103","0.109921141432791","0.0905827690989452","0.129259513766637"
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","direct migration background","9","","",""
"4 on scale 1-7","2005","Rhineland-Palatinate,Saarland","indirect migration background","4","","",""
"4 on scale 1-7","2005","Baden-Württemberg","no migration background","153","0.0852932126278496","0.0722770681144511","0.0983093571412481"
"4 on scale 1-7","2005","Baden-Württemberg","direct migration background","42","0.0879410442210778","0.0640542165564406","0.111827871885715"
"4 on scale 1-7","2005","Baden-Württemberg","indirect migration background","20","","",""
"4 on scale 1-7","2005","Bavaria","no migration background","227","0.0936184435943493","0.082048403966494","0.105188483222204"
"4 on scale 1-7","2005","Bavaria","direct migration background","18","","",""
"4 on scale 1-7","2005","Bavaria","indirect migration background","15","","",""
"4 on scale 1-7","2005","Berlin","no migration background","96","0.156563813285158","0.128965484340985","0.18416214222933"
"4 on scale 1-7","2005","Berlin","direct migration background","5","","",""
"4 on scale 1-7","2005","Berlin","indirect migration background","3","","",""
"4 on scale 1-7","2005","Brandenburg","no migration background","72","0.0961875491879846","0.0765951755585483","0.115779922817421"
"4 on scale 1-7","2005","Brandenburg","direct migration background","","","",""
"4 on scale 1-7","2005","Brandenburg","indirect migration background","1","","",""
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","no migration background","29","","",""
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","direct migration background","1","","",""
"4 on scale 1-7","2005","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"4 on scale 1-7","2005","Saxony","no migration background","132","0.084040674839446","0.0699388451102717","0.0981425045686203"
"4 on scale 1-7","2005","Saxony","direct migration background","3","","",""
"4 on scale 1-7","2005","Saxony","indirect migration background","1","","",""
"4 on scale 1-7","2005","Saxony-Anhalt","no migration background","68","0.0976959797500685","0.0779329586292727","0.117459000870864"
"4 on scale 1-7","2005","Saxony-Anhalt","direct migration background","1","","",""
"4 on scale 1-7","2005","Saxony-Anhalt","indirect migration background","","","",""
"4 on scale 1-7","2005","Thuringia","no migration background","94","0.104922344500358","0.0845471129072156","0.1252975760935"
"4 on scale 1-7","2005","Thuringia","direct migration background","","","",""
"4 on scale 1-7","2005","Thuringia","indirect migration background","2","","",""
"5 on scale 1-7","2005","Schleswig-Holstein","no migration background","69","0.113576693350936","0.0876646272549461","0.139488759446925"
"5 on scale 1-7","2005","Schleswig-Holstein","direct migration background","6","","",""
"5 on scale 1-7","2005","Schleswig-Holstein","indirect migration background","3","","",""
"5 on scale 1-7","2005","Hamburg","no migration background","56","0.188741008176099","0.141177452431935","0.236304563920262"
"5 on scale 1-7","2005","Hamburg","direct migration background","2","","",""
"5 on scale 1-7","2005","Hamburg","indirect migration background","","","",""
"5 on scale 1-7","2005","Lower Saxony","no migration background","260","0.177537033392345","0.158445912121897","0.196628154662794"
"5 on scale 1-7","2005","Lower Saxony","direct migration background","22","","",""
"5 on scale 1-7","2005","Lower Saxony","indirect migration background","6","","",""
"5 on scale 1-7","2005","Bremen","no migration background","15","","",""
"5 on scale 1-7","2005","Bremen","direct migration background","4","","",""
"5 on scale 1-7","2005","Bremen","indirect migration background","1","","",""
"5 on scale 1-7","2005","North Rhine-Westphalia","no migration background","631","0.17803249768342","0.165278739151144","0.190786256215696"
"5 on scale 1-7","2005","North Rhine-Westphalia","direct migration background","89","0.146910373816834","0.119589675480233","0.174231072153435"
"5 on scale 1-7","2005","North Rhine-Westphalia","indirect migration background","40","0.150157566505322","0.10477360217634","0.195541530834305"
"5 on scale 1-7","2005","Hesse","no migration background","217","0.188645183706771","0.165301701637302","0.211988665776239"
"5 on scale 1-7","2005","Hesse","direct migration background","40","0.165088158480306","0.115577410513664","0.214598906446949"
"5 on scale 1-7","2005","Hesse","indirect migration background","20","","",""
"5 on scale 1-7","2005","Rhineland-Palatinate,Saarland","no migration background","185","0.181131000163076","0.157320491800172","0.20494150852598"
"5 on scale 1-7","2005","Rhineland-Palatinate,Saarland","direct migration background","32","0.18154404324343","0.125075025392427","0.238013061094433"
"5 on scale 1-7","2005","Rhineland-Palatinate,Saarland","indirect migration background","11","","",""
"5 on scale 1-7","2005","Baden-Württemberg","no migration background","321","0.186714449635293","0.168555335131566","0.20487356413902"
"5 on scale 1-7","2005","Baden-Württemberg","direct migration background","87","0.189186504847496","0.156152838931305","0.222220170763687"
"5 on scale 1-7","2005","Baden-Württemberg","indirect migration background","35","0.202831565085031","0.148703440711556","0.256959689458505"
"5 on scale 1-7","2005","Bavaria","no migration background","413","0.156723807932168","0.142284345822489","0.171163270041847"
"5 on scale 1-7","2005","Bavaria","direct migration background","51","0.114630615771722","0.0807180378492484","0.148543193694196"
"5 on scale 1-7","2005","Bavaria","indirect migration background","28","","",""
"5 on scale 1-7","2005","Berlin","no migration background","124","0.190551613022685","0.160724455202978","0.220378770842392"
"5 on scale 1-7","2005","Berlin","direct migration background","11","","",""
"5 on scale 1-7","2005","Berlin","indirect migration background","12","","",""
"5 on scale 1-7","2005","Brandenburg","no migration background","122","0.141167737949367","0.11803056101447","0.164304914884264"
"5 on scale 1-7","2005","Brandenburg","direct migration background","4","","",""
"5 on scale 1-7","2005","Brandenburg","indirect migration background","1","","",""
"5 on scale 1-7","2005","Mecklenburg-Western Pomerania","no migration background","85","0.185563456838309","0.151036487148228","0.22009042652839"
"5 on scale 1-7","2005","Mecklenburg-Western Pomerania","direct migration background","2","","",""
"5 on scale 1-7","2005","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"5 on scale 1-7","2005","Saxony","no migration background","232","0.146233759848078","0.128274604015715","0.164192915680441"
"5 on scale 1-7","2005","Saxony","direct migration background","3","","",""
"5 on scale 1-7","2005","Saxony","indirect migration background","1","","",""
"5 on scale 1-7","2005","Saxony-Anhalt","no migration background","141","0.14842052782457","0.124755984924685","0.172085070724455"
"5 on scale 1-7","2005","Saxony-Anhalt","direct migration background","4","","",""
"5 on scale 1-7","2005","Saxony-Anhalt","indirect migration background","2","","",""
"5 on scale 1-7","2005","Thuringia","no migration background","161","0.173974687939033","0.148770197962667","0.199179177915398"
"5 on scale 1-7","2005","Thuringia","direct migration background","2","","",""
"5 on scale 1-7","2005","Thuringia","indirect migration background","3","","",""
"6 on scale 1-7","2005","Schleswig-Holstein","no migration background","200","0.374983179590209","0.335447555792087","0.414518803388332"
"6 on scale 1-7","2005","Schleswig-Holstein","direct migration background","18","","",""
"6 on scale 1-7","2005","Schleswig-Holstein","indirect migration background","1","","",""
"6 on scale 1-7","2005","Hamburg","no migration background","99","0.347207783510394","0.289339096731311","0.405076470289476"
"6 on scale 1-7","2005","Hamburg","direct migration background","8","","",""
"6 on scale 1-7","2005","Hamburg","indirect migration background","5","","",""
"6 on scale 1-7","2005","Lower Saxony","no migration background","504","0.317491302964496","0.294234565377914","0.340748040551077"
"6 on scale 1-7","2005","Lower Saxony","direct migration background","69","0.33136916189567","0.266133910653944","0.396604413137396"
"6 on scale 1-7","2005","Lower Saxony","indirect migration background","18","","",""
"6 on scale 1-7","2005","Bremen","no migration background","38","0.332500406074263","0.25056571445583","0.414435097692696"
"6 on scale 1-7","2005","Bremen","direct migration background","5","","",""
"6 on scale 1-7","2005","Bremen","indirect migration background","2","","",""
"6 on scale 1-7","2005","North Rhine-Westphalia","no migration background","1101","0.309008027894128","0.29360228640001","0.324413769388245"
"6 on scale 1-7","2005","North Rhine-Westphalia","direct migration background","162","0.229659241404192","0.197199008234875","0.262119474573509"
"6 on scale 1-7","2005","North Rhine-Westphalia","indirect migration background","62","0.302800773870072","0.244427164025582","0.361174383714563"
"6 on scale 1-7","2005","Hesse","no migration background","397","0.356199563484103","0.327626310030055","0.384772816938152"
"6 on scale 1-7","2005","Hesse","direct migration background","56","0.224974643112616","0.169288651569373","0.280660634655859"
"6 on scale 1-7","2005","Hesse","indirect migration background","14","","",""
"6 on scale 1-7","2005","Rhineland-Palatinate,Saarland","no migration background","331","0.335097710815886","0.305914726298152","0.36428069533362"
"6 on scale 1-7","2005","Rhineland-Palatinate,Saarland","direct migration background","56","0.385222939152849","0.313931649205399","0.456514229100299"
"6 on scale 1-7","2005","Rhineland-Palatinate,Saarland","indirect migration background","11","","",""
"6 on scale 1-7","2005","Baden-Württemberg","no migration background","592","0.318145606078014","0.296441447139698","0.33984976501633"
"6 on scale 1-7","2005","Baden-Württemberg","direct migration background","144","0.259819864881801","0.222832269331882","0.29680746043172"
"6 on scale 1-7","2005","Baden-Württemberg","indirect migration background","52","0.259097671709533","0.200119351977892","0.318075991441174"
"6 on scale 1-7","2005","Bavaria","no migration background","899","0.34914744225298","0.330213356111276","0.368081528394683"
"6 on scale 1-7","2005","Bavaria","direct migration background","104","0.293663785110606","0.245181936076048","0.342145634145164"
"6 on scale 1-7","2005","Bavaria","indirect migration background","39","0.35052286664449","0.266542578889337","0.434503154399644"
"6 on scale 1-7","2005","Berlin","no migration background","204","0.286629560534768","0.252287288828418","0.320971832241117"
"6 on scale 1-7","2005","Berlin","direct migration background","8","","",""
"6 on scale 1-7","2005","Berlin","indirect migration background","10","","",""
"6 on scale 1-7","2005","Brandenburg","no migration background","316","0.36207473427739","0.33013932571566","0.39401014283912"
"6 on scale 1-7","2005","Brandenburg","direct migration background","4","","",""
"6 on scale 1-7","2005","Brandenburg","indirect migration background","2","","",""
"6 on scale 1-7","2005","Mecklenburg-Western Pomerania","no migration background","171","0.325229463917085","0.283623402342713","0.366835525491456"
"6 on scale 1-7","2005","Mecklenburg-Western Pomerania","direct migration background","4","","",""
"6 on scale 1-7","2005","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"6 on scale 1-7","2005","Saxony","no migration background","513","0.340796679529846","0.316705948587061","0.36488741047263"
"6 on scale 1-7","2005","Saxony","direct migration background","8","","",""
"6 on scale 1-7","2005","Saxony","indirect migration background","2","","",""
"6 on scale 1-7","2005","Saxony-Anhalt","no migration background","286","0.31138939525716","0.280566225039716","0.342212565474603"
"6 on scale 1-7","2005","Saxony-Anhalt","direct migration background","6","","",""
"6 on scale 1-7","2005","Saxony-Anhalt","indirect migration background","1","","",""
"6 on scale 1-7","2005","Thuringia","no migration background","279","0.316906807270045","0.28597224567538","0.34784136886471"
"6 on scale 1-7","2005","Thuringia","direct migration background","6","","",""
"6 on scale 1-7","2005","Thuringia","indirect migration background","1","","",""
"7 Strongly agree","2005","Schleswig-Holstein","no migration background","260","0.409762521373214","0.36960042653276","0.449924616213669"
"7 Strongly agree","2005","Schleswig-Holstein","direct migration background","31","0.544092566240079","0.417006827390748","0.67117830508941"
"7 Strongly agree","2005","Schleswig-Holstein","indirect migration background","4","","",""
"7 Strongly agree","2005","Hamburg","no migration background","82","0.389467374987188","0.330195127261767","0.44873962271261"
"7 Strongly agree","2005","Hamburg","direct migration background","10","","",""
"7 Strongly agree","2005","Hamburg","indirect migration background","3","","",""
"7 Strongly agree","2005","Lower Saxony","no migration background","592","0.396876678785575","0.372433390388539","0.421319967182612"
"7 Strongly agree","2005","Lower Saxony","direct migration background","89","0.45649419524939","0.387461820069231","0.525526570429548"
"7 Strongly agree","2005","Lower Saxony","indirect migration background","19","","",""
"7 Strongly agree","2005","Bremen","no migration background","61","0.438596869356533","0.352295753853017","0.524897984860048"
"7 Strongly agree","2005","Bremen","direct migration background","6","","",""
"7 Strongly agree","2005","Bremen","indirect migration background","1","","",""
"7 Strongly agree","2005","North Rhine-Westphalia","no migration background","1290","0.384640505498703","0.368420418271934","0.400860592725472"
"7 Strongly agree","2005","North Rhine-Westphalia","direct migration background","313","0.473520027038747","0.434987424983765","0.51205262909373"
"7 Strongly agree","2005","North Rhine-Westphalia","indirect migration background","114","0.440245213698415","0.3771776808723","0.503312746524531"
"7 Strongly agree","2005","Hesse","no migration background","335","0.325158577368733","0.297208318008993","0.353108836728473"
"7 Strongly agree","2005","Hesse","direct migration background","99","0.456443180158632","0.390017340741379","0.522869019575884"
"7 Strongly agree","2005","Hesse","indirect migration background","27","","",""
"7 Strongly agree","2005","Rhineland-Palatinate,Saarland","no migration background","342","0.326830758948576","0.297831382934624","0.355830134962528"
"7 Strongly agree","2005","Rhineland-Palatinate,Saarland","direct migration background","75","0.375853414520165","0.30489986521398","0.446806963826349"
"7 Strongly agree","2005","Rhineland-Palatinate,Saarland","indirect migration background","22","","",""
"7 Strongly agree","2005","Baden-Württemberg","no migration background","656","0.376999348730205","0.354415460027046","0.399583237433365"
"7 Strongly agree","2005","Baden-Württemberg","direct migration background","251","0.431028202466113","0.389259649981391","0.472796754950836"
"7 Strongly agree","2005","Baden-Württemberg","indirect migration background","96","0.389871790749809","0.324219237666896","0.455524343832723"
"7 Strongly agree","2005","Bavaria","no migration background","782","0.356313858412657","0.337292039417844","0.375335677407471"
"7 Strongly agree","2005","Bavaria","direct migration background","142","0.47661635656595","0.423449279356991","0.529783433774909"
"7 Strongly agree","2005","Bavaria","indirect migration background","36","0.265432086985311","0.187712598030915","0.343151575939708"
"7 Strongly agree","2005","Berlin","no migration background","203","0.300723521615177","0.265896275438101","0.335550767792253"
"7 Strongly agree","2005","Berlin","direct migration background","24","","",""
"7 Strongly agree","2005","Berlin","indirect migration background","10","","",""
"7 Strongly agree","2005","Brandenburg","no migration background","336","0.376560517755502","0.344364437061392","0.408756598449613"
"7 Strongly agree","2005","Brandenburg","direct migration background","4","","",""
"7 Strongly agree","2005","Brandenburg","indirect migration background","1","","",""
"7 Strongly agree","2005","Mecklenburg-Western Pomerania","no migration background","194","0.407045012551509","0.36341195042035","0.450678074682669"
"7 Strongly agree","2005","Mecklenburg-Western Pomerania","direct migration background","8","","",""
"7 Strongly agree","2005","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"7 Strongly agree","2005","Saxony","no migration background","561","0.394912792393375","0.370067037673653","0.419758547113097"
"7 Strongly agree","2005","Saxony","direct migration background","13","","",""
"7 Strongly agree","2005","Saxony","indirect migration background","3","","",""
"7 Strongly agree","2005","Saxony-Anhalt","no migration background","345","0.409179623568496","0.376451336635521","0.441907910501471"
"7 Strongly agree","2005","Saxony-Anhalt","direct migration background","9","","",""
"7 Strongly agree","2005","Saxony-Anhalt","indirect migration background","3","","",""
"7 Strongly agree","2005","Thuringia","no migration background","295","0.336836094120801","0.305412348203795","0.368259840037807"
"7 Strongly agree","2005","Thuringia","direct migration background","8","","",""
"7 Strongly agree","2005","Thuringia","indirect migration background","","","",""
"1 Strongly disagree","2006","Schleswig-Holstein","no migration background","","","",""
"1 Strongly disagree","2006","Schleswig-Holstein","direct migration background","","","",""
"1 Strongly disagree","2006","Schleswig-Holstein","indirect migration background","","","",""
"1 Strongly disagree","2006","Hamburg","no migration background","","","",""
"1 Strongly disagree","2006","Hamburg","direct migration background","","","",""
"1 Strongly disagree","2006","Hamburg","indirect migration background","","","",""
"1 Strongly disagree","2006","Lower Saxony","no migration background","","","",""
"1 Strongly disagree","2006","Lower Saxony","direct migration background","","","",""
"1 Strongly disagree","2006","Lower Saxony","indirect migration background","","","",""
"1 Strongly disagree","2006","Bremen","no migration background","","","",""
"1 Strongly disagree","2006","Bremen","direct migration background","","","",""
"1 Strongly disagree","2006","Bremen","indirect migration background","","","",""
"1 Strongly disagree","2006","North Rhine-Westphalia","no migration background","","","",""
"1 Strongly disagree","2006","North Rhine-Westphalia","direct migration background","","","",""
"1 Strongly disagree","2006","North Rhine-Westphalia","indirect migration background","","","",""
"1 Strongly disagree","2006","Hesse","no migration background","","","",""
"1 Strongly disagree","2006","Hesse","direct migration background","","","",""
"1 Strongly disagree","2006","Hesse","indirect migration background","","","",""
"1 Strongly disagree","2006","Rhineland-Palatinate,Saarland","no migration background","","","",""
"1 Strongly disagree","2006","Rhineland-Palatinate,Saarland","direct migration background","","","",""
"1 Strongly disagree","2006","Rhineland-Palatinate,Saarland","indirect migration background","","","",""
"1 Strongly disagree","2006","Baden-Württemberg","no migration background","","","",""
"1 Strongly disagree","2006","Baden-Württemberg","direct migration background","","","",""
"1 Strongly disagree","2006","Baden-Württemberg","indirect migration background","","","",""
"1 Strongly disagree","2006","Bavaria","no migration background","","","",""
"1 Strongly disagree","2006","Bavaria","direct migration background","","","",""
"1 Strongly disagree","2006","Bavaria","indirect migration background","","","",""
"1 Strongly disagree","2006","Berlin","no migration background","","","",""
"1 Strongly disagree","2006","Berlin","direct migration background","","","",""
"1 Strongly disagree","2006","Berlin","indirect migration background","","","",""
