"plh0206i04","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"3 on scale 1-7 ","2005","lower secondary degree","Couple + C. LE 16 ","15","","",""
"3 on scale 1-7 ","2005","lower secondary degree","Couple + C. GT 16 ","24","","",""
"3 on scale 1-7 ","2005","lower secondary degree","Couple + C. LE and GT 16","12","","",""
"3 on scale 1-7 ","2005","secondary school degree","1-pers.-HH","15","","",""
"3 on scale 1-7 ","2005","secondary school degree","(Married) couple without C. ","35","0.0186560624821227","0.0124018322715082","0.0249102926927372"
"3 on scale 1-7 ","2005","secondary school degree","Single parent ","7","","",""
"3 on scale 1-7 ","2005","secondary school degree","Couple + C. LE 16 ","27","","",""
"3 on scale 1-7 ","2005","secondary school degree","Couple + C. GT 16 ","20","","",""
"3 on scale 1-7 ","2005","secondary school degree","Couple + C. LE and GT 16","8","","",""
"3 on scale 1-7 ","2005","college entrance qualification","1-pers.-HH","21","","",""
"3 on scale 1-7 ","2005","college entrance qualification","(Married) couple without C. ","43","0.016889334284262","0.0108173238506288","0.0229613447178952"
"3 on scale 1-7 ","2005","college entrance qualification","Single parent ","4","","",""
"3 on scale 1-7 ","2005","college entrance qualification","Couple + C. LE 16 ","20","","",""
"3 on scale 1-7 ","2005","college entrance qualification","Couple + C. GT 16 ","16","","",""
"3 on scale 1-7 ","2005","college entrance qualification","Couple + C. LE and GT 16","7","","",""
"3 on scale 1-7 ","2005","Other degree","1-pers.-HH","1","","",""
"3 on scale 1-7 ","2005","Other degree","(Married) couple without C. ","3","","",""
"3 on scale 1-7 ","2005","Other degree","Single parent ","2","","",""
"3 on scale 1-7 ","2005","Other degree","Couple + C. LE 16 ","7","","",""
"3 on scale 1-7 ","2005","Other degree","Couple + C. GT 16 ","7","","",""
"3 on scale 1-7 ","2005","Other degree","Couple + C. LE and GT 16","5","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","1-pers.-HH","2","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","(Married) couple without C. ","3","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","Single parent ","7","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","Couple + C. GT 16 ","7","","",""
"3 on scale 1-7 ","2005","no degree/no degree yet","Couple + C. LE and GT 16","12","","",""
"4 on scale 1-7","2005","lower secondary degree","1-pers.-HH","100","0.0858419902447866","0.0702249266371934","0.10145905385238"
"4 on scale 1-7","2005","lower secondary degree","(Married) couple without C. ","230","0.0825713119773359","0.0727092427397454","0.0924333812149263"
"4 on scale 1-7","2005","lower secondary degree","Single parent ","29","","",""
"4 on scale 1-7","2005","lower secondary degree","Couple + C. LE 16 ","63","0.0698760466302846","0.0534912447592926","0.0862608485012766"
"4 on scale 1-7","2005","lower secondary degree","Couple + C. GT 16 ","80","0.0987496091953192","0.0800047537037351","0.117494464686903"
"4 on scale 1-7","2005","lower secondary degree","Couple + C. LE and GT 16","36","0.0869057356168633","0.0589482690060953","0.114863202227631"
"4 on scale 1-7","2005","secondary school degree","1-pers.-HH","71","0.0958553398754542","0.0750617322310271","0.116648947519881"
"4 on scale 1-7","2005","secondary school degree","(Married) couple without C. ","131","0.0673480951667869","0.0557636377745741","0.0789325525589997"
"4 on scale 1-7","2005","secondary school degree","Single parent ","36","0.122212807954026","0.0878006862520709","0.156624929655981"
"4 on scale 1-7","2005","secondary school degree","Couple + C. LE 16 ","118","0.0836485686765027","0.0689450991584808","0.0983520381945247"
"4 on scale 1-7","2005","secondary school degree","Couple + C. GT 16 ","93","0.0878499314567309","0.0712119912791764","0.104487871634285"
"4 on scale 1-7","2005","secondary school degree","Couple + C. LE and GT 16","50","0.104120759905143","0.0773502594639353","0.130891260346351"
"4 on scale 1-7","2005","college entrance qualification","1-pers.-HH","79","0.106539665581318","0.0849431661321611","0.128136165030475"
"4 on scale 1-7","2005","college entrance qualification","(Married) couple without C. ","157","0.0856904372077819","0.0725006481547218","0.098880226260842"
"4 on scale 1-7","2005","college entrance qualification","Single parent ","19","","",""
"4 on scale 1-7","2005","college entrance qualification","Couple + C. LE 16 ","107","0.08701623417502","0.0707187808309545","0.103313687519086"
"4 on scale 1-7","2005","college entrance qualification","Couple + C. GT 16 ","87","0.10559098146525","0.0854911960540719","0.125690766876429"
"4 on scale 1-7","2005","college entrance qualification","Couple + C. LE and GT 16","36","0.0931611670357265","0.0618959416334349","0.124426392438018"
"4 on scale 1-7","2005","Other degree","1-pers.-HH","6","","",""
"4 on scale 1-7","2005","Other degree","(Married) couple without C. ","30","0.120686233537646","0.0865090570833673","0.154863409991924"
"4 on scale 1-7","2005","Other degree","Single parent ","8","","",""
"4 on scale 1-7","2005","Other degree","Couple + C. LE 16 ","20","","",""
"4 on scale 1-7","2005","Other degree","Couple + C. GT 16 ","17","","",""
"4 on scale 1-7","2005","Other degree","Couple + C. LE and GT 16","6","","",""
"4 on scale 1-7","2005","no degree/no degree yet","1-pers.-HH","6","","",""
"4 on scale 1-7","2005","no degree/no degree yet","(Married) couple without C. ","8","","",""
"4 on scale 1-7","2005","no degree/no degree yet","Single parent ","16","","",""
"4 on scale 1-7","2005","no degree/no degree yet","Couple + C. LE 16 ","5","","",""
"4 on scale 1-7","2005","no degree/no degree yet","Couple + C. GT 16 ","40","0.106828270779022","0.0720476475188151","0.141608894039229"
"4 on scale 1-7","2005","no degree/no degree yet","Couple + C. LE and GT 16","29","","",""
"5 on scale 1-7","2005","lower secondary degree","1-pers.-HH","173","0.140352317637296","0.120987701241509","0.159716934033083"
"5 on scale 1-7","2005","lower secondary degree","(Married) couple without C. ","459","0.145532193131682","0.13289662755933","0.158167758704035"
"5 on scale 1-7","2005","lower secondary degree","Single parent ","50","0.123266306378172","0.0885770824834874","0.157955530272856"
"5 on scale 1-7","2005","lower secondary degree","Couple + C. LE 16 ","152","0.158882969841631","0.135388075062029","0.182377864621234"
"5 on scale 1-7","2005","lower secondary degree","Couple + C. GT 16 ","170","0.204034156630353","0.178712604367834","0.229355708892872"
"5 on scale 1-7","2005","lower secondary degree","Couple + C. LE and GT 16","76","0.205353008101833","0.165261403008594","0.245444613195073"
"5 on scale 1-7","2005","secondary school degree","1-pers.-HH","110","0.133666672605595","0.109630970769433","0.157702374441756"
"5 on scale 1-7","2005","secondary school degree","(Married) couple without C. ","298","0.164277400863509","0.147150718945479","0.181404082781538"
"5 on scale 1-7","2005","secondary school degree","Single parent ","53","0.152040954779102","0.114316219430718","0.189765690127486"
"5 on scale 1-7","2005","secondary school degree","Couple + C. LE 16 ","237","0.180856959771211","0.160415729854101","0.201298189688321"
"5 on scale 1-7","2005","secondary school degree","Couple + C. GT 16 ","212","0.205634603422616","0.181879662475296","0.229389544369936"
"5 on scale 1-7","2005","secondary school degree","Couple + C. LE and GT 16","81","0.196413651129257","0.161590730058315","0.231236572200199"
"5 on scale 1-7","2005","college entrance qualification","1-pers.-HH","171","0.226520375225135","0.197220340518212","0.255820409932059"
"5 on scale 1-7","2005","college entrance qualification","(Married) couple without C. ","302","0.167960331987713","0.150344611214853","0.185576052760572"
"5 on scale 1-7","2005","college entrance qualification","Single parent ","26","","",""
"5 on scale 1-7","2005","college entrance qualification","Couple + C. LE 16 ","229","0.196291636187779","0.173325485071015","0.219257787304543"
"5 on scale 1-7","2005","college entrance qualification","Couple + C. GT 16 ","210","0.237354297968483","0.209527073814954","0.265181522122012"
"5 on scale 1-7","2005","college entrance qualification","Couple + C. LE and GT 16","67","0.256019202976397","0.209073463664729","0.302964942288065"
"5 on scale 1-7","2005","Other degree","1-pers.-HH","12","","",""
"5 on scale 1-7","2005","Other degree","(Married) couple without C. ","45","0.108337895372928","0.0757297776961934","0.140946013049662"
"5 on scale 1-7","2005","Other degree","Single parent ","11","","",""
"5 on scale 1-7","2005","Other degree","Couple + C. LE 16 ","33","0.141734084076076","0.0945618410465138","0.188906327105638"
"5 on scale 1-7","2005","Other degree","Couple + C. GT 16 ","33","0.15230575185283","0.104717055902649","0.199894447803012"
"5 on scale 1-7","2005","Other degree","Couple + C. LE and GT 16","20","","",""
"5 on scale 1-7","2005","no degree/no degree yet","1-pers.-HH","4","","",""
"5 on scale 1-7","2005","no degree/no degree yet","(Married) couple without C. ","16","","",""
"5 on scale 1-7","2005","no degree/no degree yet","Single parent ","17","","",""
"5 on scale 1-7","2005","no degree/no degree yet","Couple + C. LE 16 ","6","","",""
"5 on scale 1-7","2005","no degree/no degree yet","Couple + C. GT 16 ","59","0.19816633034104","0.153283126020573","0.243049534661507"
"5 on scale 1-7","2005","no degree/no degree yet","Couple + C. LE and GT 16","47","0.16142364856784","0.118633498855428","0.204213798280253"
"6 on scale 1-7","2005","lower secondary degree","1-pers.-HH","364","0.283023804232299","0.257910566596254","0.308137041868343"
"6 on scale 1-7","2005","lower secondary degree","(Married) couple without C. ","946","0.308114868834795","0.291570864942393","0.324658872727197"
"6 on scale 1-7","2005","lower secondary degree","Single parent ","111","0.308405585543414","0.259672332821036","0.357138838265792"
"6 on scale 1-7","2005","lower secondary degree","Couple + C. LE 16 ","294","0.306630599803054","0.27699616158308","0.336265038023028"
"6 on scale 1-7","2005","lower secondary degree","Couple + C. GT 16 ","290","0.265530597185702","0.237782333610236","0.293278860761168"
"6 on scale 1-7","2005","lower secondary degree","Couple + C. LE and GT 16","113","0.261299673242864","0.217696372494604","0.304902973991125"
"6 on scale 1-7","2005","secondary school degree","1-pers.-HH","248","0.341687441523177","0.308188328589637","0.375186554456717"
"6 on scale 1-7","2005","secondary school degree","(Married) couple without C. ","591","0.334456371555029","0.312648601998458","0.356264141111601"
"6 on scale 1-7","2005","secondary school degree","Single parent ","112","0.296581355576915","0.248592838511474","0.344569872642357"
"6 on scale 1-7","2005","secondary school degree","Couple + C. LE 16 ","455","0.331704991194957","0.306700406294794","0.35670957609512"
"6 on scale 1-7","2005","secondary school degree","Couple + C. GT 16 ","412","0.378079027478591","0.349578388810191","0.406579666146991"
"6 on scale 1-7","2005","secondary school degree","Couple + C. LE and GT 16","173","0.344012083795867","0.302373317108889","0.385650850482846"
"6 on scale 1-7","2005","college entrance qualification","1-pers.-HH","250","0.311698758982146","0.279276231088908","0.344121286875383"
"6 on scale 1-7","2005","college entrance qualification","(Married) couple without C. ","665","0.402964368775877","0.379851253359775","0.426077484191979"
"6 on scale 1-7","2005","college entrance qualification","Single parent ","70","0.372362477306639","0.30325793869794","0.441467015915338"
"6 on scale 1-7","2005","college entrance qualification","Couple + C. LE 16 ","450","0.37542768296245","0.347428678565276","0.403426687359624"
"6 on scale 1-7","2005","college entrance qualification","Couple + C. GT 16 ","325","0.356055669503854","0.324737740348133","0.387373598659576"
"6 on scale 1-7","2005","college entrance qualification","Couple + C. LE and GT 16","115","0.303563776494591","0.254104848537554","0.353022704451628"
"6 on scale 1-7","2005","Other degree","1-pers.-HH","26","","",""
"6 on scale 1-7","2005","Other degree","(Married) couple without C. ","98","0.271735552339916","0.225063901420269","0.318407203259563"
"6 on scale 1-7","2005","Other degree","Single parent ","19","","",""
"6 on scale 1-7","2005","Other degree","Couple + C. LE 16 ","49","0.215394520866697","0.159793669987617","0.270995371745776"
"6 on scale 1-7","2005","Other degree","Couple + C. GT 16 ","67","0.362229202952172","0.298571629705702","0.425886776198642"
"6 on scale 1-7","2005","Other degree","Couple + C. LE and GT 16","26","","",""
"6 on scale 1-7","2005","no degree/no degree yet","1-pers.-HH","9","","",""
"6 on scale 1-7","2005","no degree/no degree yet","(Married) couple without C. ","22","","",""
"6 on scale 1-7","2005","no degree/no degree yet","Single parent ","31","0.26614704261729","0.185723269725796","0.346570815508783"
"6 on scale 1-7","2005","no degree/no degree yet","Couple + C. LE 16 ","5","","",""
"6 on scale 1-7","2005","no degree/no degree yet","Couple + C. GT 16 ","108","0.370172856186814","0.315805307943461","0.424540404430167"
"6 on scale 1-7","2005","no degree/no degree yet","Couple + C. LE and GT 16","90","0.28673373940493","0.234137564505291","0.339329914304569"
"7 Strongly agree","2005","lower secondary degree","1-pers.-HH","541","0.435675646984252","0.408032664776713","0.463318629191791"
"7 Strongly agree","2005","lower secondary degree","(Married) couple without C. ","1231","0.414928051510022","0.39727343319191","0.432582669828133"
"7 Strongly agree","2005","lower secondary degree","Single parent ","138","0.413090718672265","0.361133397575639","0.465048039768891"
"7 Strongly agree","2005","lower secondary degree","Couple + C. LE 16 ","393","0.421582685403605","0.389845482960238","0.453319887846973"
"7 Strongly agree","2005","lower secondary degree","Couple + C. GT 16 ","400","0.396308854582427","0.365575075746454","0.427042633418401"
"7 Strongly agree","2005","lower secondary degree","Couple + C. LE and GT 16","150","0.409964833058582","0.361152671707426","0.458776994409738"
"7 Strongly agree","2005","secondary school degree","1-pers.-HH","309","0.390210080532193","0.355755886823644","0.424664274240742"
"7 Strongly agree","2005","secondary school degree","(Married) couple without C. ","726","0.406874655876426","0.384167810244927","0.429581501507925"
"7 Strongly agree","2005","secondary school degree","Single parent ","137","0.390724933353412","0.339462320915862","0.441987545790962"
"7 Strongly agree","2005","secondary school degree","Couple + C. LE 16 ","504","0.370562234240011","0.34491346597924","0.396211002500782"
"7 Strongly agree","2005","secondary school degree","Couple + C. GT 16 ","358","0.30421121769407","0.277170262972008","0.331252172416133"
"7 Strongly agree","2005","secondary school degree","Couple + C. LE and GT 16","182","0.323719927869525","0.282707913441983","0.364731942297066"
"7 Strongly agree","2005","college entrance qualification","1-pers.-HH","258","0.324666480329495","0.291889575569318","0.357443385089671"
"7 Strongly agree","2005","college entrance qualification","(Married) couple without C. ","547","0.319008109146255","0.297044845688842","0.340971372603669"
"7 Strongly agree","2005","college entrance qualification","Single parent ","64","0.348415965657758","0.28030713761256","0.416524793702956"
"7 Strongly agree","2005","college entrance qualification","Couple + C. LE 16 ","332","0.300061574666401","0.273562958967805","0.326560190364998"
"7 Strongly agree","2005","college entrance qualification","Couple + C. GT 16 ","252","0.266310803211508","0.237399985387186","0.29522162103583"
"7 Strongly agree","2005","college entrance qualification","Couple + C. LE and GT 16","100","0.293051482149274","0.244091088107206","0.342011876191343"
"7 Strongly agree","2005","Other degree","1-pers.-HH","50","0.519946530102576","0.420523642470291","0.619369417734861"
"7 Strongly agree","2005","Other degree","(Married) couple without C. ","167","0.484792911264893","0.432359945560313","0.537225876969473"
"7 Strongly agree","2005","Other degree","Single parent ","21","","",""
"7 Strongly agree","2005","Other degree","Couple + C. LE 16 ","101","0.49012839106948","0.422516390157133","0.557740391981827"
"7 Strongly agree","2005","Other degree","Couple + C. GT 16 ","95","0.380628975530397","0.316322841886737","0.444935109174058"
"7 Strongly agree","2005","Other degree","Couple + C. LE and GT 16","59","0.513491361213111","0.423309553555315","0.603673168870907"
"7 Strongly agree","2005","no degree/no degree yet","1-pers.-HH","16","","",""
"7 Strongly agree","2005","no degree/no degree yet","(Married) couple without C. ","33","0.42763313177384","0.321198745339807","0.534067518207872"
"7 Strongly agree","2005","no degree/no degree yet","Single parent ","42","0.391632443732087","0.302806168649414","0.48045871881476"
"7 Strongly agree","2005","no degree/no degree yet","Couple + C. LE 16 ","20","","",""
"7 Strongly agree","2005","no degree/no degree yet","Couple + C. GT 16 ","87","0.306037164213478","0.254147367673821","0.357926960753134"
"7 Strongly agree","2005","no degree/no degree yet","Couple + C. LE and GT 16","103","0.404683861411261","0.347599034086223","0.4617686887363"
"1 Strongly disagree","2006","lower secondary degree","1-pers.-HH","","","",""
"1 Strongly disagree","2006","lower secondary degree","(Married) couple without C. ","","","",""
"1 Strongly disagree","2006","lower secondary degree","Single parent ","","","",""
"1 Strongly disagree","2006","lower secondary degree","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2006","lower secondary degree","Couple + C. GT 16 ","","","",""
"1 Strongly disagree","2006","lower secondary degree","Couple + C. LE and GT 16","","","",""
"1 Strongly disagree","2006","secondary school degree","1-pers.-HH","","","",""
"1 Strongly disagree","2006","secondary school degree","(Married) couple without C. ","","","",""
"1 Strongly disagree","2006","secondary school degree","Single parent ","","","",""
"1 Strongly disagree","2006","secondary school degree","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2006","secondary school degree","Couple + C. GT 16 ","","","",""
"1 Strongly disagree","2006","secondary school degree","Couple + C. LE and GT 16","","","",""
"1 Strongly disagree","2006","college entrance qualification","1-pers.-HH","","","",""
"1 Strongly disagree","2006","college entrance qualification","(Married) couple without C. ","","","",""
"1 Strongly disagree","2006","college entrance qualification","Single parent ","","","",""
"1 Strongly disagree","2006","college entrance qualification","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2006","college entrance qualification","Couple + C. GT 16 ","","","",""
"1 Strongly disagree","2006","college entrance qualification","Couple + C. LE and GT 16","","","",""
"1 Strongly disagree","2006","Other degree","1-pers.-HH","","","",""
"1 Strongly disagree","2006","Other degree","(Married) couple without C. ","","","",""
"1 Strongly disagree","2006","Other degree","Single parent ","","","",""
"1 Strongly disagree","2006","Other degree","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2006","Other degree","Couple + C. GT 16 ","","","",""
"1 Strongly disagree","2006","Other degree","Couple + C. LE and GT 16","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","1-pers.-HH","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","(Married) couple without C. ","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","Single parent ","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"1 Strongly disagree","2006","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","1-pers.-HH","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","(Married) couple without C. ","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","Single parent ","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","Couple + C. GT 16 ","","","",""
"2 on scale 1-7 ","2006","lower secondary degree","Couple + C. LE and GT 16","","","",""
"2 on scale 1-7 ","2006","secondary school degree","1-pers.-HH","","","",""
"2 on scale 1-7 ","2006","secondary school degree","(Married) couple without C. ","","","",""
"2 on scale 1-7 ","2006","secondary school degree","Single parent ","","","",""
"2 on scale 1-7 ","2006","secondary school degree","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2006","secondary school degree","Couple + C. GT 16 ","","","",""
"2 on scale 1-7 ","2006","secondary school degree","Couple + C. LE and GT 16","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","1-pers.-HH","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","(Married) couple without C. ","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","Single parent ","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","Couple + C. GT 16 ","","","",""
"2 on scale 1-7 ","2006","college entrance qualification","Couple + C. LE and GT 16","","","",""
"2 on scale 1-7 ","2006","Other degree","1-pers.-HH","","","",""
"2 on scale 1-7 ","2006","Other degree","(Married) couple without C. ","","","",""
"2 on scale 1-7 ","2006","Other degree","Single parent ","","","",""
"2 on scale 1-7 ","2006","Other degree","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2006","Other degree","Couple + C. GT 16 ","","","",""
"2 on scale 1-7 ","2006","Other degree","Couple + C. LE and GT 16","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","1-pers.-HH","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","(Married) couple without C. ","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","Single parent ","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"2 on scale 1-7 ","2006","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","1-pers.-HH","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","(Married) couple without C. ","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","Single parent ","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","Couple + C. LE 16 ","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","Couple + C. GT 16 ","","","",""
"3 on scale 1-7 ","2006","lower secondary degree","Couple + C. LE and GT 16","","","",""
"3 on scale 1-7 ","2006","secondary school degree","1-pers.-HH","","","",""
"3 on scale 1-7 ","2006","secondary school degree","(Married) couple without C. ","","","",""
"3 on scale 1-7 ","2006","secondary school degree","Single parent ","","","",""
"3 on scale 1-7 ","2006","secondary school degree","Couple + C. LE 16 ","","","",""
"3 on scale 1-7 ","2006","secondary school degree","Couple + C. GT 16 ","","","",""
"3 on scale 1-7 ","2006","secondary school degree","Couple + C. LE and GT 16","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","1-pers.-HH","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","(Married) couple without C. ","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","Single parent ","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","Couple + C. LE 16 ","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","Couple + C. GT 16 ","","","",""
"3 on scale 1-7 ","2006","college entrance qualification","Couple + C. LE and GT 16","","","",""
"3 on scale 1-7 ","2006","Other degree","1-pers.-HH","","","",""
"3 on scale 1-7 ","2006","Other degree","(Married) couple without C. ","","","",""
"3 on scale 1-7 ","2006","Other degree","Single parent ","","","",""
"3 on scale 1-7 ","2006","Other degree","Couple + C. LE 16 ","","","",""
"3 on scale 1-7 ","2006","Other degree","Couple + C. GT 16 ","","","",""
"3 on scale 1-7 ","2006","Other degree","Couple + C. LE and GT 16","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","1-pers.-HH","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","(Married) couple without C. ","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","Single parent ","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"3 on scale 1-7 ","2006","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"4 on scale 1-7","2006","lower secondary degree","1-pers.-HH","","","",""
"4 on scale 1-7","2006","lower secondary degree","(Married) couple without C. ","","","",""
"4 on scale 1-7","2006","lower secondary degree","Single parent ","","","",""
"4 on scale 1-7","2006","lower secondary degree","Couple + C. LE 16 ","","","",""
"4 on scale 1-7","2006","lower secondary degree","Couple + C. GT 16 ","","","",""
