"plh0206i04","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","no migration background","37","0.0263253934228319","0.01760220386651","0.0350485829791538","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","direct migration background","5","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE and GT 16","indirect migration background","4","","","","3"
"3 on scale 1-7 ","2005","1-pers.-HH","indirect migration background","2","","","","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","no migration background","132","0.0198135123866611","0.0163449275887805","0.0232820971845418","3"
"3 on scale 1-7 ","2005","(Married) couple without C. ","direct migration background","21","","","","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","indirect migration background","5","","","","3"
"3 on scale 1-7 ","2005","Single parent ","indirect migration background","3","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","no migration background","53","0.0201199751153473","0.0150963726464583","0.0251435775842363","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","no migration background","64","0.0227324390355798","0.0174305947728784","0.0280342832982812","3"
"3 on scale 1-7 ","2005","Couple + C. GT 16 ","direct migration background","8","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","indirect migration background","2","","","","3"
"3 on scale 1-7 ","2005","Single parent ","no migration background","25","","","","3"
"3 on scale 1-7 ","2005","Single parent ","direct migration background","3","","","","3"
"3 on scale 1-7 ","2005","Couple + C. LE 16 ","direct migration background","16","","","","3"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","direct migration background","15","","","","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","indirect migration background","15","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","direct migration background","36","0.0955660975014819","0.0705130479398898","0.120619147063074","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","indirect migration background","16","","","","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","indirect migration background","12","","","","4"
"4 on scale 1-7","2005","Couple + C. LE and GT 16","no migration background","135","0.100669139400439","0.0842749903560215","0.117063288444857","4"
"4 on scale 1-7","2005","1-pers.-HH","no migration background","245","0.0966491063683027","0.0854097099564852","0.10788850278012","4"
"4 on scale 1-7","2005","1-pers.-HH","direct migration background","12","","","","4"
"4 on scale 1-7","2005","(Married) couple without C. ","direct migration background","52","0.0861066768264197","0.0653108750262894","0.10690247862655","4"
"4 on scale 1-7","2005","(Married) couple without C. ","indirect migration background","8","","","","4"
"4 on scale 1-7","2005","Single parent ","indirect migration background","10","","","","4"
"4 on scale 1-7","2005","Couple + C. LE 16 ","no migration background","264","0.0828045339362091","0.0729446205149137","0.0926644473575045","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","no migration background","292","0.0971141524730243","0.0865810843644159","0.107647220581633","4"
"4 on scale 1-7","2005","Couple + C. GT 16 ","direct migration background","31","0.0788743533844475","0.05252545833529","0.105223248433605","4"
"4 on scale 1-7","2005","1-pers.-HH","indirect migration background","9","","","","4"
"4 on scale 1-7","2005","Single parent ","no migration background","97","0.122896547203625","0.101398978911623","0.144394115495626","4"
"4 on scale 1-7","2005","Single parent ","direct migration background","8","","","","4"
"4 on scale 1-7","2005","(Married) couple without C. ","no migration background","500","0.0817255404820217","0.0749071420013867","0.0885439389626567","4"
"5 on scale 1-7","2005","Couple + C. LE 16 ","direct migration background","79","0.145499610153674","0.115452182205018","0.175547038102329","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","indirect migration background","30","0.149239379574917","0.0965967997667657","0.201881959383069","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","no migration background","224","0.192890556969491","0.171392329654261","0.214388784284722","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","direct migration background","50","0.177838200380403","0.133366872687292","0.222309528073514","5"
"5 on scale 1-7","2005","Couple + C. LE and GT 16","indirect migration background","27","","","","5"
"5 on scale 1-7","2005","1-pers.-HH","indirect migration background","16","","","","5"
"5 on scale 1-7","2005","(Married) couple without C. ","no migration background","1015","0.154912381850435","0.145906812802559","0.163917950898311","5"
"5 on scale 1-7","2005","(Married) couple without C. ","indirect migration background","20","","","","5"
"5 on scale 1-7","2005","Single parent ","indirect migration background","17","","","","5"
"5 on scale 1-7","2005","Couple + C. LE 16 ","no migration background","551","0.184056508401101","0.170191481256785","0.197921535545417","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","indirect migration background","50","0.246741453487103","0.187726203136175","0.305756703838031","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","direct migration background","66","0.162482064791384","0.12642130796848","0.198542821614289","5"
"5 on scale 1-7","2005","1-pers.-HH","no migration background","439","0.162230938749326","0.148207813020502","0.17625406447815","5"
"5 on scale 1-7","2005","1-pers.-HH","direct migration background","25","","","","5"
"5 on scale 1-7","2005","(Married) couple without C. ","direct migration background","95","0.128228361116207","0.103442562485134","0.15301415974728","5"
"5 on scale 1-7","2005","Single parent ","no migration background","124","0.122325281319654","0.100870751952569","0.14377981068674","5"
"5 on scale 1-7","2005","Single parent ","direct migration background","25","","","","5"
"5 on scale 1-7","2005","Couple + C. GT 16 ","no migration background","600","0.21393330996166","0.199346305717417","0.228520314205904","5"
"6 on scale 1-7","2005","Couple + C. LE 16 ","direct migration background","129","0.221426589391836","0.18604438195815","0.256808796825523","6"
"6 on scale 1-7","2005","Couple + C. LE 16 ","indirect migration background","42","0.276607987504642","0.210521758631653","0.342694216377632","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","indirect migration background","54","0.285355626490734","0.223538420783381","0.347172832198086","6"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","no migration background","431","0.299017246146422","0.274072290378062","0.323962201914782","6"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","direct migration background","76","0.283256091834704","0.230852560297894","0.335659623371514","6"
"6 on scale 1-7","2005","Couple + C. LE and GT 16","indirect migration background","33","0.262244393626729","0.185745422173408","0.338743365080049","6"
"6 on scale 1-7","2005","1-pers.-HH","no migration background","819","0.309143535949144","0.291564711622543","0.326722360275746","6"
"6 on scale 1-7","2005","1-pers.-HH","direct migration background","58","0.239408848456722","0.182102330272763","0.296715366640682","6"
"6 on scale 1-7","2005","1-pers.-HH","indirect migration background","30","0.316372475644468","0.221854212339684","0.410890738949251","6"
"6 on scale 1-7","2005","(Married) couple without C. ","no migration background","2099","0.335047312294878","0.323299265508047","0.34679535908171","6"
"6 on scale 1-7","2005","(Married) couple without C. ","indirect migration background","28","","","","6"
"6 on scale 1-7","2005","Single parent ","no migration background","293","0.31856756575406","0.288060090677753","0.349075040830368","6"
"6 on scale 1-7","2005","Single parent ","indirect migration background","21","","","","6"
"6 on scale 1-7","2005","Couple + C. LE 16 ","no migration background","1088","0.354477444653888","0.337362909520592","0.371591979787184","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","no migration background","1075","0.341444331621438","0.3245767272091","0.358311936033775","6"
"6 on scale 1-7","2005","(Married) couple without C. ","direct migration background","213","0.293904108231571","0.26013308855446","0.327675127908681","6"
"6 on scale 1-7","2005","Single parent ","direct migration background","36","0.290740198072649","0.210813391260749","0.370667004884549","6"
"6 on scale 1-7","2005","Couple + C. GT 16 ","direct migration background","113","0.297405896818588","0.252720861828681","0.342090931808494","6"
"7 Strongly agree","2005","Couple + C. LE and GT 16","direct migration background","132","0.437847052707629","0.380146844230631","0.495547261184626","7"
"7 Strongly agree","2005","Couple + C. GT 16 ","indirect migration background","81","0.346198784453333","0.281072426533815","0.411325142372852","7"
"7 Strongly agree","2005","Couple + C. LE and GT 16","no migration background","451","0.365233268446126","0.338998743991303","0.391467792900949","7"
"7 Strongly agree","2005","Couple + C. LE and GT 16","indirect migration background","48","0.379285038307495","0.294898107223372","0.463671969391617","7"
"7 Strongly agree","2005","Couple + C. LE 16 ","direct migration background","260","0.499580920385651","0.456973022644522","0.542188818126779","7"
"7 Strongly agree","2005","Couple + C. LE 16 ","indirect migration background","82","0.44216413483766","0.368791058193812","0.515537211481508","7"
"7 Strongly agree","2005","Couple + C. GT 16 ","no migration background","971","0.31442405773144","0.297908894287999","0.330939221174882","7"
"7 Strongly agree","2005","Couple + C. GT 16 ","direct migration background","184","0.445705777463626","0.397117738367134","0.494293816560118","7"
"7 Strongly agree","2005","(Married) couple without C. ","indirect migration background","53","0.48200346646677","0.390279215724807","0.573727717208732","7"
"7 Strongly agree","2005","Single parent ","no migration background","341","0.387048423418681","0.355155831140537","0.418941015696826","7"
"7 Strongly agree","2005","Single parent ","direct migration background","50","0.374175018458245","0.289002185941387","0.459347850975103","7"
"7 Strongly agree","2005","Single parent ","indirect migration background","26","","","","7"
"7 Strongly agree","2005","Couple + C. LE 16 ","no migration background","1013","0.342690162159334","0.325709642459074","0.359670681859594","7"
"7 Strongly agree","2005","1-pers.-HH","no migration background","1042","0.387494913791584","0.36896370790506","0.406026119678108","7"
"7 Strongly agree","2005","1-pers.-HH","direct migration background","108","0.513726671452271","0.446604720504125","0.580848622400417","7"
"7 Strongly agree","2005","1-pers.-HH","indirect migration background","36","0.427731197172503","0.327178872410253","0.528283521934753","7"
"7 Strongly agree","2005","(Married) couple without C. ","no migration background","2370","0.392276173296545","0.3801236539177","0.40442869267539","7"
"7 Strongly agree","2005","(Married) couple without C. ","direct migration background","305","0.443304051445946","0.406476793501654","0.480131309390238","7"
"1 Strongly disagree","2006","1-pers.-HH","no migration background","","","","","1"
"1 Strongly disagree","2006","1-pers.-HH","direct migration background","","","","","1"
"1 Strongly disagree","2006","1-pers.-HH","indirect migration background","","","","","1"
"1 Strongly disagree","2006","(Married) couple without C. ","no migration background","","","","","1"
"1 Strongly disagree","2006","(Married) couple without C. ","direct migration background","","","","","1"
"1 Strongly disagree","2006","(Married) couple without C. ","indirect migration background","","","","","1"
"1 Strongly disagree","2006","Single parent ","no migration background","","","","","1"
"1 Strongly disagree","2006","Single parent ","direct migration background","","","","","1"
"1 Strongly disagree","2006","Single parent ","indirect migration background","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE 16 ","no migration background","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE 16 ","direct migration background","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE 16 ","indirect migration background","","","","","1"
"1 Strongly disagree","2006","Couple + C. GT 16 ","no migration background","","","","","1"
"1 Strongly disagree","2006","Couple + C. GT 16 ","direct migration background","","","","","1"
"1 Strongly disagree","2006","Couple + C. GT 16 ","indirect migration background","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE and GT 16","no migration background","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE and GT 16","direct migration background","","","","","1"
"1 Strongly disagree","2006","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"2 on scale 1-7 ","2006","1-pers.-HH","no migration background","","","","","2"
"2 on scale 1-7 ","2006","(Married) couple without C. ","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","Single parent ","no migration background","","","","","2"
"2 on scale 1-7 ","2006","Single parent ","direct migration background","","","","","2"
"2 on scale 1-7 ","2006","Single parent ","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. LE 16 ","no migration background","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. GT 16 ","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","1-pers.-HH","direct migration background","","","","","2"
"2 on scale 1-7 ","2006","1-pers.-HH","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","(Married) couple without C. ","no migration background","","","","","2"
"2 on scale 1-7 ","2006","(Married) couple without C. ","direct migration background","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. LE and GT 16","no migration background","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. LE and GT 16","direct migration background","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. GT 16 ","direct migration background","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. GT 16 ","no migration background","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. LE 16 ","indirect migration background","","","","","2"
"2 on scale 1-7 ","2006","Couple + C. LE 16 ","direct migration background","","","","","2"
"3 on scale 1-7 ","2006","(Married) couple without C. ","indirect migration background","","","","","3"
"3 on scale 1-7 ","2006","Couple + C. LE and GT 16","no migration background","","","","","3"
"3 on scale 1-7 ","2006","Couple + C. LE and GT 16","direct migration background","","","","","3"
"3 on scale 1-7 ","2006","Couple + C. LE and GT 16","indirect migration background","","","","","3"
"3 on scale 1-7 ","2006","1-pers.-HH","no migration background","","","","","3"
"3 on scale 1-7 ","2006","Couple + C. GT 16 ","indirect migration background","","","","","3"
"3 on scale 1-7 ","2006","Couple + C. GT 16 ","direct migration background","","","","","3"
"3 on scale 1-7 ","2006","1-pers.-HH","direct migration background","","","","","3"
"3 on scale 1-7 ","2006","1-pers.-HH","indirect migration background","","","","","3"
"3 on scale 1-7 ","2006","(Married) couple without C. ","no migration background","","","","","3"
"3 on scale 1-7 ","2006","(Married) couple without C. ","direct migration background","","","","","3"
"3 on scale 1-7 ","2006","Single parent ","indirect migration background","","","","","3"
"3 on scale 1-7 ","2006","Couple + C. LE 16 ","no migration background","","","","","3"
"3 on scale 1-7 ","2006","Couple + C. GT 16 ","no migration background","","","","","3"
"3 on scale 1-7 ","2006","Single parent ","no migration background","","","","","3"
"3 on scale 1-7 ","2006","Couple + C. LE 16 ","direct migration background","","","","","3"
"3 on scale 1-7 ","2006","Couple + C. LE 16 ","indirect migration background","","","","","3"
"3 on scale 1-7 ","2006","Single parent ","direct migration background","","","","","3"
"4 on scale 1-7","2006","Couple + C. GT 16 ","indirect migration background","","","","","4"
"4 on scale 1-7","2006","Couple + C. LE and GT 16","no migration background","","","","","4"
"4 on scale 1-7","2006","Couple + C. LE and GT 16","direct migration background","","","","","4"
"4 on scale 1-7","2006","1-pers.-HH","direct migration background","","","","","4"
"4 on scale 1-7","2006","Couple + C. GT 16 ","direct migration background","","","","","4"
"4 on scale 1-7","2006","Couple + C. LE and GT 16","indirect migration background","","","","","4"
"4 on scale 1-7","2006","1-pers.-HH","no migration background","","","","","4"
"4 on scale 1-7","2006","(Married) couple without C. ","direct migration background","","","","","4"
"4 on scale 1-7","2006","(Married) couple without C. ","indirect migration background","","","","","4"
"4 on scale 1-7","2006","Single parent ","indirect migration background","","","","","4"
"4 on scale 1-7","2006","Couple + C. LE 16 ","no migration background","","","","","4"
"4 on scale 1-7","2006","Couple + C. LE 16 ","direct migration background","","","","","4"
"4 on scale 1-7","2006","Couple + C. LE 16 ","indirect migration background","","","","","4"
"4 on scale 1-7","2006","Couple + C. GT 16 ","no migration background","","","","","4"
"4 on scale 1-7","2006","1-pers.-HH","indirect migration background","","","","","4"
"4 on scale 1-7","2006","Single parent ","no migration background","","","","","4"
"4 on scale 1-7","2006","Single parent ","direct migration background","","","","","4"
"4 on scale 1-7","2006","(Married) couple without C. ","no migration background","","","","","4"
"5 on scale 1-7","2006","(Married) couple without C. ","indirect migration background","","","","","5"
"5 on scale 1-7","2006","Couple + C. GT 16 ","indirect migration background","","","","","5"
"5 on scale 1-7","2006","Couple + C. LE and GT 16","no migration background","","","","","5"
"5 on scale 1-7","2006","Couple + C. LE and GT 16","direct migration background","","","","","5"
"5 on scale 1-7","2006","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"5 on scale 1-7","2006","Couple + C. GT 16 ","direct migration background","","","","","5"
"5 on scale 1-7","2006","1-pers.-HH","indirect migration background","","","","","5"
"5 on scale 1-7","2006","(Married) couple without C. ","no migration background","","","","","5"
"5 on scale 1-7","2006","(Married) couple without C. ","direct migration background","","","","","5"
"5 on scale 1-7","2006","Single parent ","direct migration background","","","","","5"
"5 on scale 1-7","2006","Single parent ","indirect migration background","","","","","5"
"5 on scale 1-7","2006","Couple + C. LE 16 ","no migration background","","","","","5"
"5 on scale 1-7","2006","Couple + C. LE 16 ","direct migration background","","","","","5"
"5 on scale 1-7","2006","Couple + C. LE 16 ","indirect migration background","","","","","5"
"5 on scale 1-7","2006","1-pers.-HH","no migration background","","","","","5"
"5 on scale 1-7","2006","Single parent ","no migration background","","","","","5"
"5 on scale 1-7","2006","1-pers.-HH","direct migration background","","","","","5"
"5 on scale 1-7","2006","Couple + C. GT 16 ","no migration background","","","","","5"
"6 on scale 1-7","2006","Couple + C. GT 16 ","indirect migration background","","","","","6"
"6 on scale 1-7","2006","(Married) couple without C. ","indirect migration background","","","","","6"
"6 on scale 1-7","2006","Couple + C. LE and GT 16","no migration background","","","","","6"
"6 on scale 1-7","2006","Couple + C. LE and GT 16","direct migration background","","","","","6"
"6 on scale 1-7","2006","Couple + C. LE and GT 16","indirect migration background","","","","","6"
"6 on scale 1-7","2006","Couple + C. LE 16 ","direct migration background","","","","","6"
"6 on scale 1-7","2006","Couple + C. LE 16 ","indirect migration background","","","","","6"
"6 on scale 1-7","2006","Couple + C. GT 16 ","direct migration background","","","","","6"
"6 on scale 1-7","2006","(Married) couple without C. ","no migration background","","","","","6"
"6 on scale 1-7","2006","(Married) couple without C. ","direct migration background","","","","","6"
"6 on scale 1-7","2006","Couple + C. LE 16 ","no migration background","","","","","6"
"6 on scale 1-7","2006","1-pers.-HH","no migration background","","","","","6"
"6 on scale 1-7","2006","1-pers.-HH","indirect migration background","","","","","6"
"6 on scale 1-7","2006","Single parent ","no migration background","","","","","6"
"6 on scale 1-7","2006","Single parent ","indirect migration background","","","","","6"
"6 on scale 1-7","2006","Couple + C. GT 16 ","no migration background","","","","","6"
"6 on scale 1-7","2006","Single parent ","direct migration background","","","","","6"
"6 on scale 1-7","2006","1-pers.-HH","direct migration background","","","","","6"
"7 Strongly agree","2006","Couple + C. LE and GT 16","direct migration background","","","","","7"
"7 Strongly agree","2006","Couple + C. GT 16 ","indirect migration background","","","","","7"
"7 Strongly agree","2006","Couple + C. LE and GT 16","no migration background","","","","","7"
"7 Strongly agree","2006","Couple + C. LE and GT 16","indirect migration background","","","","","7"
"7 Strongly agree","2006","(Married) couple without C. ","indirect migration background","","","","","7"
"7 Strongly agree","2006","Single parent ","no migration background","","","","","7"
"7 Strongly agree","2006","Single parent ","direct migration background","","","","","7"
"7 Strongly agree","2006","Single parent ","indirect migration background","","","","","7"
"7 Strongly agree","2006","Couple + C. LE 16 ","no migration background","","","","","7"
"7 Strongly agree","2006","Couple + C. LE 16 ","direct migration background","","","","","7"
"7 Strongly agree","2006","Couple + C. LE 16 ","indirect migration background","","","","","7"
"7 Strongly agree","2006","Couple + C. GT 16 ","no migration background","","","","","7"
"7 Strongly agree","2006","Couple + C. GT 16 ","direct migration background","","","","","7"
"7 Strongly agree","2006","1-pers.-HH","no migration background","","","","","7"
"7 Strongly agree","2006","1-pers.-HH","direct migration background","","","","","7"
"7 Strongly agree","2006","1-pers.-HH","indirect migration background","","","","","7"
"7 Strongly agree","2006","(Married) couple without C. ","no migration background","","","","","7"
"7 Strongly agree","2006","(Married) couple without C. ","direct migration background","","","","","7"
"1 Strongly disagree","2007","1-pers.-HH","no migration background","","","","","1"
"1 Strongly disagree","2007","1-pers.-HH","direct migration background","","","","","1"
"1 Strongly disagree","2007","1-pers.-HH","indirect migration background","","","","","1"
"1 Strongly disagree","2007","(Married) couple without C. ","no migration background","","","","","1"
"1 Strongly disagree","2007","(Married) couple without C. ","direct migration background","","","","","1"
"1 Strongly disagree","2007","(Married) couple without C. ","indirect migration background","","","","","1"
"1 Strongly disagree","2007","Single parent ","no migration background","","","","","1"
"1 Strongly disagree","2007","Single parent ","direct migration background","","","","","1"
"1 Strongly disagree","2007","Single parent ","indirect migration background","","","","","1"
"1 Strongly disagree","2007","Couple + C. LE 16 ","no migration background","","","","","1"
"1 Strongly disagree","2007","Couple + C. LE 16 ","direct migration background","","","","","1"
"1 Strongly disagree","2007","Couple + C. LE 16 ","indirect migration background","","","","","1"
"1 Strongly disagree","2007","Couple + C. GT 16 ","no migration background","","","","","1"
"1 Strongly disagree","2007","Couple + C. GT 16 ","direct migration background","","","","","1"
"1 Strongly disagree","2007","Couple + C. GT 16 ","indirect migration background","","","","","1"
"1 Strongly disagree","2007","Couple + C. LE and GT 16","no migration background","","","","","1"
"1 Strongly disagree","2007","Couple + C. LE and GT 16","direct migration background","","","","","1"
"1 Strongly disagree","2007","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"2 on scale 1-7 ","2007","1-pers.-HH","no migration background","","","","","2"
"2 on scale 1-7 ","2007","1-pers.-HH","direct migration background","","","","","2"
"2 on scale 1-7 ","2007","1-pers.-HH","indirect migration background","","","","","2"
"2 on scale 1-7 ","2007","(Married) couple without C. ","no migration background","","","","","2"
"2 on scale 1-7 ","2007","(Married) couple without C. ","direct migration background","","","","","2"
"2 on scale 1-7 ","2007","(Married) couple without C. ","indirect migration background","","","","","2"
"2 on scale 1-7 ","2007","Single parent ","no migration background","","","","","2"
"2 on scale 1-7 ","2007","Single parent ","direct migration background","","","","","2"
"2 on scale 1-7 ","2007","Single parent ","indirect migration background","","","","","2"
"2 on scale 1-7 ","2007","Couple + C. LE 16 ","no migration background","","","","","2"
"2 on scale 1-7 ","2007","Couple + C. GT 16 ","indirect migration background","","","","","2"
"2 on scale 1-7 ","2007","Couple + C. LE and GT 16","no migration background","","","","","2"
"2 on scale 1-7 ","2007","Couple + C. LE and GT 16","direct migration background","","","","","2"
"2 on scale 1-7 ","2007","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"2 on scale 1-7 ","2007","Couple + C. GT 16 ","direct migration background","","","","","2"
"2 on scale 1-7 ","2007","Couple + C. LE 16 ","indirect migration background","","","","","2"
"2 on scale 1-7 ","2007","Couple + C. GT 16 ","no migration background","","","","","2"
"2 on scale 1-7 ","2007","Couple + C. LE 16 ","direct migration background","","","","","2"
"3 on scale 1-7 ","2007","Couple + C. LE and GT 16","direct migration background","","","","","3"
"3 on scale 1-7 ","2007","Couple + C. LE and GT 16","indirect migration background","","","","","3"
"3 on scale 1-7 ","2007","Couple + C. GT 16 ","indirect migration background","","","","","3"
"3 on scale 1-7 ","2007","Couple + C. LE and GT 16","no migration background","","","","","3"
"3 on scale 1-7 ","2007","1-pers.-HH","no migration background","","","","","3"
"3 on scale 1-7 ","2007","1-pers.-HH","direct migration background","","","","","3"
"3 on scale 1-7 ","2007","(Married) couple without C. ","direct migration background","","","","","3"
"3 on scale 1-7 ","2007","(Married) couple without C. ","indirect migration background","","","","","3"
"3 on scale 1-7 ","2007","Couple + C. GT 16 ","direct migration background","","","","","3"
"3 on scale 1-7 ","2007","1-pers.-HH","indirect migration background","","","","","3"
"3 on scale 1-7 ","2007","(Married) couple without C. ","no migration background","","","","","3"
"3 on scale 1-7 ","2007","Single parent ","indirect migration background","","","","","3"
"3 on scale 1-7 ","2007","Couple + C. LE 16 ","no migration background","","","","","3"
"3 on scale 1-7 ","2007","Couple + C. GT 16 ","no migration background","","","","","3"
"3 on scale 1-7 ","2007","Single parent ","no migration background","","","","","3"
"3 on scale 1-7 ","2007","Couple + C. LE 16 ","direct migration background","","","","","3"
"3 on scale 1-7 ","2007","Single parent ","direct migration background","","","","","3"
"3 on scale 1-7 ","2007","Couple + C. LE 16 ","indirect migration background","","","","","3"
"4 on scale 1-7","2007","Couple + C. GT 16 ","indirect migration background","","","","","4"
"4 on scale 1-7","2007","Couple + C. LE and GT 16","no migration background","","","","","4"
"4 on scale 1-7","2007","1-pers.-HH","no migration background","","","","","4"
"4 on scale 1-7","2007","1-pers.-HH","direct migration background","","","","","4"
"4 on scale 1-7","2007","Couple + C. GT 16 ","direct migration background","","","","","4"
"4 on scale 1-7","2007","Couple + C. LE and GT 16","direct migration background","","","","","4"
"4 on scale 1-7","2007","Single parent ","indirect migration background","","","","","4"
"4 on scale 1-7","2007","Couple + C. LE 16 ","indirect migration background","","","","","4"
"4 on scale 1-7","2007","Couple + C. GT 16 ","no migration background","","","","","4"
"4 on scale 1-7","2007","Couple + C. LE and GT 16","indirect migration background","","","","","4"
"4 on scale 1-7","2007","1-pers.-HH","indirect migration background","","","","","4"
"4 on scale 1-7","2007","Single parent ","no migration background","","","","","4"
"4 on scale 1-7","2007","(Married) couple without C. ","no migration background","","","","","4"
"4 on scale 1-7","2007","Single parent ","direct migration background","","","","","4"
"4 on scale 1-7","2007","(Married) couple without C. ","indirect migration background","","","","","4"
"4 on scale 1-7","2007","Couple + C. LE 16 ","no migration background","","","","","4"
