"plh0206i04","year","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2015","197","0.00757999315447357","0.00654049148532828","0.00861949482361885","1"
"2 on scale 1-7 ","2015","260","0.00938148435827668","0.00822608524788777","0.0105368834686656","2"
"3 on scale 1-7 ","2015","593","0.0215370978089252","0.0197972598525749","0.0232769357652755","3"
"4 on scale 1-7","2015","2175","0.0816071523153413","0.0783260378086235","0.0848882668220591","4"
"5 on scale 1-7","2015","4432","0.172330495281741","0.167804098993739","0.176856891569743","5"
"6 on scale 1-7","2015","9119","0.350140029916371","0.344422956040064","0.355857103792678","6"
"7 Strongly agree","2015","9967","0.357423747164871","0.351679976827594","0.363167517502148","7"
"1 Strongly disagree","2016","17","","","","1"
"2 on scale 1-7 ","2016","12","","","","2"
"3 on scale 1-7 ","2016","12","","","","3"
"4 on scale 1-7","2016","52","0.0511321274864767","0.0446185843742214","0.057645670598732","4"
"5 on scale 1-7","2016","123","0.0707480248906173","0.0631658919331304","0.0783301578481042","5"
"6 on scale 1-7","2016","375","0.134394053252558","0.124308084201269","0.144480022303846","6"
"7 Strongly agree","2016","3802","0.725383709875072","0.712185515003126","0.738581904747018","7"
"1 Strongly disagree","2017","10","","","","1"
"2 on scale 1-7 ","2017","5","","","","2"
"3 on scale 1-7 ","2017","13","","","","3"
"4 on scale 1-7","2017","31","0.0113151277710702","0.00744485572965597","0.0151853998124844","4"
"5 on scale 1-7","2017","86","0.0309064522289272","0.0245737328237235","0.0372391716341309","5"
"6 on scale 1-7","2017","328","0.125928267088808","0.11378828717439","0.138068247003226","6"
"7 Strongly agree","2017","2396","0.822349908548688","0.808363897762935","0.836335919334441","7"
"1 Strongly disagree","2018","3","","","","1"
"2 on scale 1-7 ","2018","3","","","","2"
"3 on scale 1-7 ","2018","2","","","","3"
"4 on scale 1-7","2018","2","","","","4"
"5 on scale 1-7","2018","12","","","","5"
"6 on scale 1-7","2018","47","0.0798113628609501","0.0538628856662505","0.10575984005565","6"
"7 Strongly agree","2018","350","0.867362477567466","0.834885575533452","0.89983937960148","7"
"1 Strongly disagree","2019","4","","","","1"
"2 on scale 1-7 ","2019","4","","","","2"
"3 on scale 1-7 ","2019","1","","","","3"
"4 on scale 1-7","2019","9","","","","4"
"5 on scale 1-7","2019","17","","","","5"
"6 on scale 1-7","2019","34","0.103017842635402","0.0671552504606171","0.138880434810188","6"
"7 Strongly agree","2019","207","0.778560998954216","0.729575568465117","0.827546429443316","7"
