"plh0206i04","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"4 on scale 1-7","2005","16-34 y.","(2a) intermediate vocational","79","0.0662435300914408","0.0518566808436547","0.0806303793392268"
"4 on scale 1-7","2005","16-34 y.","(2c_gen) general maturity certificate","58","0.079717644647695","0.0589907639216189","0.100444525373771"
"4 on scale 1-7","2005","16-34 y.","(2c_voc) vocational maturity certificate","50","0.101796786921426","0.0753978061245532","0.128195767718299"
"4 on scale 1-7","2005","16-34 y.","(3a) lower tertiary education","20","","",""
"4 on scale 1-7","2005","16-34 y.","(3b) higher tertiary education","32","0.103640729326176","0.0704526688011164","0.136828789851236"
"4 on scale 1-7","2005","35-65 y.","(0) in school","","","",""
"4 on scale 1-7","2005","35-65 y.","(1a) inadequately completed","14","","",""
"4 on scale 1-7","2005","35-65 y.","(1b) general elementary school","56","0.0671042728596647","0.048954203029116","0.0852543426902133"
"4 on scale 1-7","2005","35-65 y.","(1c) basic vocational qualification","246","0.0788225918153501","0.0697330107600033","0.087912172870697"
"4 on scale 1-7","2005","35-65 y.","(2b) intermediate general qualification","11","","",""
"4 on scale 1-7","2005","35-65 y.","(2a) intermediate vocational","287","0.0899927074997815","0.0801450312220496","0.0998403837775135"
"4 on scale 1-7","2005","35-65 y.","(2c_gen) general maturity certificate","13","","",""
"4 on scale 1-7","2005","35-65 y.","(2c_voc) vocational maturity certificate","83","0.0977416003041991","0.0778941805357886","0.11758902007261"
"4 on scale 1-7","2005","35-65 y.","(3a) lower tertiary education","92","0.0810105293162525","0.0652544610381476","0.0967665975943575"
"4 on scale 1-7","2005","35-65 y.","(3b) higher tertiary education","168","0.0865798829172943","0.0736848456813596","0.099474920153229"
"4 on scale 1-7","2005","66 and older","(0) in school","","","",""
"4 on scale 1-7","2005","66 and older","(1a) inadequately completed","7","","",""
"4 on scale 1-7","2005","66 and older","(1b) general elementary school","68","0.114001485614844","0.0905913885470122","0.137411582682676"
"4 on scale 1-7","2005","66 and older","(1c) basic vocational qualification","140","0.0851212089577366","0.0719597936427027","0.0982826242727706"
"4 on scale 1-7","2005","66 and older","(2b) intermediate general qualification","3","","",""
"4 on scale 1-7","2005","66 and older","(2a) intermediate vocational","43","0.103104686165484","0.0734517646410708","0.132757607689898"
"4 on scale 1-7","2005","66 and older","(2c_gen) general maturity certificate","1","","",""
"4 on scale 1-7","2005","66 and older","(2c_voc) vocational maturity certificate","8","","",""
"4 on scale 1-7","2005","66 and older","(3a) lower tertiary education","26","","",""
"4 on scale 1-7","2005","66 and older","(3b) higher tertiary education","33","0.100710564550365","0.0700461632394497","0.131374965861281"
"5 on scale 1-7","2005","16-34 y.","(0) in school","120","0.183292821814242","0.153594616309255","0.212991027319229"
"5 on scale 1-7","2005","16-34 y.","(1a) inadequately completed","3","","",""
"5 on scale 1-7","2005","16-34 y.","(1b) general elementary school","71","0.150101165775891","0.11586102043161","0.184341311120171"
"5 on scale 1-7","2005","16-34 y.","(1c) basic vocational qualification","96","0.153454649584205","0.124781930106845","0.182127369061565"
"5 on scale 1-7","2005","16-34 y.","(2b) intermediate general qualification","84","0.167250084305416","0.132497532510122","0.202002636100709"
"5 on scale 1-7","2005","16-34 y.","(2a) intermediate vocational","208","0.191473744960194","0.168713400715734","0.214234089204655"
"5 on scale 1-7","2005","16-34 y.","(2c_gen) general maturity certificate","172","0.319375150393536","0.283697139571392","0.35505316121568"
"5 on scale 1-7","2005","16-34 y.","(2c_voc) vocational maturity certificate","95","0.182912819964119","0.1491616296593","0.216664010268939"
"5 on scale 1-7","2005","16-34 y.","(3a) lower tertiary education","41","0.186384669022482","0.132143361367219","0.240625976677744"
"5 on scale 1-7","2005","16-34 y.","(3b) higher tertiary education","68","0.265454027365989","0.217372336020665","0.313535718711314"
"5 on scale 1-7","2005","35-65 y.","(0) in school","","","",""
"5 on scale 1-7","2005","35-65 y.","(1a) inadequately completed","16","","",""
"5 on scale 1-7","2005","35-65 y.","(1b) general elementary school","125","0.153273251773206","0.127140118316985","0.179406385229427"
"5 on scale 1-7","2005","35-65 y.","(1c) basic vocational qualification","521","0.154973015951028","0.142765980572986","0.167180051329071"
"5 on scale 1-7","2005","35-65 y.","(2b) intermediate general qualification","15","","",""
"5 on scale 1-7","2005","35-65 y.","(2a) intermediate vocational","524","0.157867973684616","0.145320832711961","0.170415114657271"
"5 on scale 1-7","2005","35-65 y.","(2c_gen) general maturity certificate","21","","",""
"5 on scale 1-7","2005","35-65 y.","(2c_voc) vocational maturity certificate","146","0.174195790831826","0.148847058830529","0.199544522833123"
"5 on scale 1-7","2005","35-65 y.","(3a) lower tertiary education","193","0.154369150134211","0.133505393068698","0.175232907199725"
"5 on scale 1-7","2005","35-65 y.","(3b) higher tertiary education","372","0.190989477474769","0.172965085524051","0.209013869425487"
"5 on scale 1-7","2005","66 and older","(0) in school","","","",""
"5 on scale 1-7","2005","66 and older","(1a) inadequately completed","13","","",""
"5 on scale 1-7","2005","66 and older","(1b) general elementary school","122","0.172296826717946","0.144480011106302","0.20011364232959"
"5 on scale 1-7","2005","66 and older","(1c) basic vocational qualification","257","0.142593247519806","0.126102328767756","0.159084166271856"
"5 on scale 1-7","2005","66 and older","(2b) intermediate general qualification","5","","",""
"5 on scale 1-7","2005","66 and older","(2a) intermediate vocational","60","0.142271002368677","0.108207394040943","0.176334610696411"
"5 on scale 1-7","2005","66 and older","(2c_gen) general maturity certificate","4","","",""
"5 on scale 1-7","2005","66 and older","(2c_voc) vocational maturity certificate","25","","",""
"5 on scale 1-7","2005","66 and older","(3a) lower tertiary education","49","0.181292885878621","0.13725473358211","0.225331038175131"
"5 on scale 1-7","2005","66 and older","(3b) higher tertiary education","55","0.140796065055408","0.105356317770574","0.176235812340242"
"6 on scale 1-7","2005","16-34 y.","(0) in school","216","0.305443904290856","0.270089486647613","0.3407983219341"
"6 on scale 1-7","2005","16-34 y.","(1a) inadequately completed","10","","",""
"6 on scale 1-7","2005","16-34 y.","(1b) general elementary school","104","0.259930007534465","0.217884019976101","0.301975995092829"
"6 on scale 1-7","2005","16-34 y.","(1c) basic vocational qualification","187","0.304845873067319","0.268224513942937","0.3414672321917"
"6 on scale 1-7","2005","16-34 y.","(2b) intermediate general qualification","136","0.301644701398639","0.258904920179304","0.344384482617974"
"6 on scale 1-7","2005","16-34 y.","(2a) intermediate vocational","405","0.354434839178179","0.326764442093566","0.382105236262792"
"6 on scale 1-7","2005","16-34 y.","(2c_gen) general maturity certificate","233","0.296675133766622","0.261719697168223","0.331630570365021"
"6 on scale 1-7","2005","16-34 y.","(2c_voc) vocational maturity certificate","188","0.41295588497739","0.369970579053372","0.455941190901409"
"6 on scale 1-7","2005","16-34 y.","(3a) lower tertiary education","90","0.446449372043119","0.377205670148867","0.515693073937371"
"6 on scale 1-7","2005","16-34 y.","(3b) higher tertiary education","119","0.377561021816751","0.324775167739474","0.430346875894027"
"6 on scale 1-7","2005","35-65 y.","(0) in school","","","",""
"6 on scale 1-7","2005","35-65 y.","(1a) inadequately completed","37","0.319795760597776","0.242538360058581","0.397053161136971"
"6 on scale 1-7","2005","35-65 y.","(1b) general elementary school","208","0.29721120685201","0.264057532655434","0.330364881048586"
"6 on scale 1-7","2005","35-65 y.","(1c) basic vocational qualification","1066","0.289154828759735","0.27386158518879","0.30444807233068"
"6 on scale 1-7","2005","35-65 y.","(2b) intermediate general qualification","32","0.278215985751157","0.190386010434367","0.366045961067946"
"6 on scale 1-7","2005","35-65 y.","(2a) intermediate vocational","1102","0.348072274455035","0.331679890817202","0.364464658092868"
"6 on scale 1-7","2005","35-65 y.","(2c_gen) general maturity certificate","43","0.369453384783298","0.284156344958121","0.454750424608476"
"6 on scale 1-7","2005","35-65 y.","(2c_voc) vocational maturity certificate","291","0.333209100979992","0.301706085646299","0.364712116313684"
"6 on scale 1-7","2005","35-65 y.","(3a) lower tertiary education","442","0.370335194039478","0.342449975366255","0.398220412712702"
"6 on scale 1-7","2005","35-65 y.","(3b) higher tertiary education","646","0.347342100539421","0.325509758334081","0.369174442744761"
"6 on scale 1-7","2005","66 and older","(0) in school","","","",""
"6 on scale 1-7","2005","66 and older","(1a) inadequately completed","11","","",""
"6 on scale 1-7","2005","66 and older","(1b) general elementary school","197","0.263223476585621","0.230784909473393","0.29566204369785"
"6 on scale 1-7","2005","66 and older","(1c) basic vocational qualification","538","0.311323114564485","0.289484988993918","0.333161240135051"
"6 on scale 1-7","2005","66 and older","(2b) intermediate general qualification","11","","",""
"6 on scale 1-7","2005","66 and older","(2a) intermediate vocational","119","0.301670241788974","0.256913968324734","0.346426515253213"
"6 on scale 1-7","2005","66 and older","(2c_gen) general maturity certificate","4","","",""
"6 on scale 1-7","2005","66 and older","(2c_voc) vocational maturity certificate","52","0.351697059176168","0.275282550381431","0.428111567970905"
"6 on scale 1-7","2005","66 and older","(3a) lower tertiary education","86","0.308043704915316","0.255269715307188","0.360817694523444"
"6 on scale 1-7","2005","66 and older","(3b) higher tertiary education","134","0.319900070998814","0.272373031562883","0.367427110434745"
"7 Strongly agree","2005","16-34 y.","(0) in school","201","0.344753466742812","0.308271270083634","0.381235663401991"
"7 Strongly agree","2005","16-34 y.","(1a) inadequately completed","19","","",""
"7 Strongly agree","2005","16-34 y.","(1b) general elementary school","182","0.410160806131447","0.363008401777064","0.45731321048583"
"7 Strongly agree","2005","16-34 y.","(1c) basic vocational qualification","261","0.423953272294185","0.384639782394993","0.463266762193377"
"7 Strongly agree","2005","16-34 y.","(2b) intermediate general qualification","163","0.389455960151359","0.344047800241323","0.434864120061396"
"7 Strongly agree","2005","16-34 y.","(2a) intermediate vocational","422","0.361138547719542","0.333353099126921","0.388923996312163"
"7 Strongly agree","2005","16-34 y.","(2c_gen) general maturity certificate","161","0.256182767154153","0.222778323312666","0.289587210995639"
"7 Strongly agree","2005","16-34 y.","(2c_voc) vocational maturity certificate","154","0.263123355995904","0.224681006891077","0.30156570510073"
"7 Strongly agree","2005","16-34 y.","(3a) lower tertiary education","40","0.209809353018555","0.153094885280351","0.26652382075676"
"7 Strongly agree","2005","16-34 y.","(3b) higher tertiary education","96","0.239001574803405","0.192564180113142","0.285438969493669"
"7 Strongly agree","2005","35-65 y.","(0) in school","","","",""
"7 Strongly agree","2005","35-65 y.","(1a) inadequately completed","69","0.490679603508172","0.40787039946273","0.573488807553614"
"7 Strongly agree","2005","35-65 y.","(1b) general elementary school","317","0.441759880175073","0.405736014101961","0.477783746248184"
"7 Strongly agree","2005","35-65 y.","(1c) basic vocational qualification","1420","0.435585686140894","0.418860048578377","0.452311323703411"
"7 Strongly agree","2005","35-65 y.","(2b) intermediate general qualification","37","0.336794127613333","0.244163516811294","0.429424738415371"
"7 Strongly agree","2005","35-65 y.","(2a) intermediate vocational","1225","0.371307837094207","0.354681608417657","0.387934065770757"
"7 Strongly agree","2005","35-65 y.","(2c_gen) general maturity certificate","42","0.3521788870917","0.267766779740186","0.436590994443214"
"7 Strongly agree","2005","35-65 y.","(2c_voc) vocational maturity certificate","308","0.356643904203364","0.324629753999499","0.388658054407229"
"7 Strongly agree","2005","35-65 y.","(3a) lower tertiary education","387","0.366578438500025","0.338752377604292","0.394404499395758"
"7 Strongly agree","2005","35-65 y.","(3b) higher tertiary education","592","0.339588419332822","0.317873281355193","0.36130355731045"
"7 Strongly agree","2005","66 and older","(0) in school","","","",""
"7 Strongly agree","2005","66 and older","(1a) inadequately completed","25","","",""
"7 Strongly agree","2005","66 and older","(1b) general elementary school","279","0.380522239152841","0.344759206110939","0.416285272194743"
"7 Strongly agree","2005","66 and older","(1c) basic vocational qualification","712","0.410946264088695","0.387741781023961","0.434150747153429"
"7 Strongly agree","2005","66 and older","(2b) intermediate general qualification","15","","",""
"7 Strongly agree","2005","66 and older","(2a) intermediate vocational","163","0.418057649800489","0.369960927875105","0.466154371725873"
"7 Strongly agree","2005","66 and older","(2c_gen) general maturity certificate","7","","",""
"7 Strongly agree","2005","66 and older","(2c_voc) vocational maturity certificate","59","0.376492029013416","0.298956391983811","0.454027666043021"
"7 Strongly agree","2005","66 and older","(3a) lower tertiary education","126","0.398161710573804","0.342206043207266","0.454117377940341"
"7 Strongly agree","2005","66 and older","(3b) higher tertiary education","135","0.421516025969463","0.371200740559547","0.471831311379379"
"1 Strongly disagree","2006","16-34 y.","(0) in school","","","",""
"1 Strongly disagree","2006","16-34 y.","(1a) inadequately completed","","","",""
"1 Strongly disagree","2006","16-34 y.","(1b) general elementary school","","","",""
"1 Strongly disagree","2006","16-34 y.","(1c) basic vocational qualification","","","",""
"1 Strongly disagree","2006","16-34 y.","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2006","16-34 y.","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2006","16-34 y.","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2006","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2006","16-34 y.","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2006","16-34 y.","(3b) higher tertiary education","","","",""
"1 Strongly disagree","2006","35-65 y.","(0) in school","","","",""
"1 Strongly disagree","2006","35-65 y.","(1a) inadequately completed","","","",""
"1 Strongly disagree","2006","35-65 y.","(1b) general elementary school","","","",""
"1 Strongly disagree","2006","35-65 y.","(1c) basic vocational qualification","","","",""
"1 Strongly disagree","2006","35-65 y.","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2006","35-65 y.","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2006","35-65 y.","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2006","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2006","35-65 y.","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2006","35-65 y.","(3b) higher tertiary education","","","",""
"1 Strongly disagree","2006","66 and older","(0) in school","","","",""
"1 Strongly disagree","2006","66 and older","(1a) inadequately completed","","","",""
"1 Strongly disagree","2006","66 and older","(1b) general elementary school","","","",""
"1 Strongly disagree","2006","66 and older","(1c) basic vocational qualification","","","",""
"1 Strongly disagree","2006","66 and older","(2b) intermediate general qualification","","","",""
"1 Strongly disagree","2006","66 and older","(2a) intermediate vocational","","","",""
"1 Strongly disagree","2006","66 and older","(2c_gen) general maturity certificate","","","",""
"1 Strongly disagree","2006","66 and older","(2c_voc) vocational maturity certificate","","","",""
"1 Strongly disagree","2006","66 and older","(3a) lower tertiary education","","","",""
"1 Strongly disagree","2006","66 and older","(3b) higher tertiary education","","","",""
"2 on scale 1-7 ","2006","16-34 y.","(0) in school","","","",""
"2 on scale 1-7 ","2006","16-34 y.","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2006","16-34 y.","(1b) general elementary school","","","",""
"2 on scale 1-7 ","2006","16-34 y.","(1c) basic vocational qualification","","","",""
"2 on scale 1-7 ","2006","16-34 y.","(2b) intermediate general qualification","","","",""
"2 on scale 1-7 ","2006","16-34 y.","(2a) intermediate vocational","","","",""
"2 on scale 1-7 ","2006","16-34 y.","(2c_gen) general maturity certificate","","","",""
"2 on scale 1-7 ","2006","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"2 on scale 1-7 ","2006","16-34 y.","(3a) lower tertiary education","","","",""
"2 on scale 1-7 ","2006","16-34 y.","(3b) higher tertiary education","","","",""
"2 on scale 1-7 ","2006","35-65 y.","(0) in school","","","",""
"2 on scale 1-7 ","2006","35-65 y.","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2006","35-65 y.","(1b) general elementary school","","","",""
"2 on scale 1-7 ","2006","35-65 y.","(1c) basic vocational qualification","","","",""
"2 on scale 1-7 ","2006","35-65 y.","(2b) intermediate general qualification","","","",""
"2 on scale 1-7 ","2006","35-65 y.","(2a) intermediate vocational","","","",""
"2 on scale 1-7 ","2006","35-65 y.","(2c_gen) general maturity certificate","","","",""
"2 on scale 1-7 ","2006","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"2 on scale 1-7 ","2006","35-65 y.","(3a) lower tertiary education","","","",""
"2 on scale 1-7 ","2006","35-65 y.","(3b) higher tertiary education","","","",""
"2 on scale 1-7 ","2006","66 and older","(0) in school","","","",""
"2 on scale 1-7 ","2006","66 and older","(1a) inadequately completed","","","",""
"2 on scale 1-7 ","2006","66 and older","(1b) general elementary school","","","",""
"2 on scale 1-7 ","2006","66 and older","(1c) basic vocational qualification","","","",""
"2 on scale 1-7 ","2006","66 and older","(2b) intermediate general qualification","","","",""
"2 on scale 1-7 ","2006","66 and older","(2a) intermediate vocational","","","",""
"2 on scale 1-7 ","2006","66 and older","(2c_gen) general maturity certificate","","","",""
"2 on scale 1-7 ","2006","66 and older","(2c_voc) vocational maturity certificate","","","",""
"2 on scale 1-7 ","2006","66 and older","(3a) lower tertiary education","","","",""
"2 on scale 1-7 ","2006","66 and older","(3b) higher tertiary education","","","",""
"3 on scale 1-7 ","2006","16-34 y.","(0) in school","","","",""
"3 on scale 1-7 ","2006","16-34 y.","(1a) inadequately completed","","","",""
"3 on scale 1-7 ","2006","16-34 y.","(1b) general elementary school","","","",""
"3 on scale 1-7 ","2006","16-34 y.","(1c) basic vocational qualification","","","",""
"3 on scale 1-7 ","2006","16-34 y.","(2b) intermediate general qualification","","","",""
"3 on scale 1-7 ","2006","16-34 y.","(2a) intermediate vocational","","","",""
"3 on scale 1-7 ","2006","16-34 y.","(2c_gen) general maturity certificate","","","",""
"3 on scale 1-7 ","2006","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"3 on scale 1-7 ","2006","16-34 y.","(3a) lower tertiary education","","","",""
"3 on scale 1-7 ","2006","16-34 y.","(3b) higher tertiary education","","","",""
"3 on scale 1-7 ","2006","35-65 y.","(0) in school","","","",""
"3 on scale 1-7 ","2006","35-65 y.","(1a) inadequately completed","","","",""
"3 on scale 1-7 ","2006","35-65 y.","(1b) general elementary school","","","",""
"3 on scale 1-7 ","2006","35-65 y.","(1c) basic vocational qualification","","","",""
"3 on scale 1-7 ","2006","35-65 y.","(2b) intermediate general qualification","","","",""
"3 on scale 1-7 ","2006","35-65 y.","(2a) intermediate vocational","","","",""
"3 on scale 1-7 ","2006","35-65 y.","(2c_gen) general maturity certificate","","","",""
"3 on scale 1-7 ","2006","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"3 on scale 1-7 ","2006","35-65 y.","(3a) lower tertiary education","","","",""
"3 on scale 1-7 ","2006","35-65 y.","(3b) higher tertiary education","","","",""
"3 on scale 1-7 ","2006","66 and older","(0) in school","","","",""
"3 on scale 1-7 ","2006","66 and older","(1a) inadequately completed","","","",""
"3 on scale 1-7 ","2006","66 and older","(1b) general elementary school","","","",""
"3 on scale 1-7 ","2006","66 and older","(1c) basic vocational qualification","","","",""
"3 on scale 1-7 ","2006","66 and older","(2b) intermediate general qualification","","","",""
"3 on scale 1-7 ","2006","66 and older","(2a) intermediate vocational","","","",""
"3 on scale 1-7 ","2006","66 and older","(2c_gen) general maturity certificate","","","",""
"3 on scale 1-7 ","2006","66 and older","(2c_voc) vocational maturity certificate","","","",""
"3 on scale 1-7 ","2006","66 and older","(3a) lower tertiary education","","","",""
"3 on scale 1-7 ","2006","66 and older","(3b) higher tertiary education","","","",""
"4 on scale 1-7","2006","16-34 y.","(0) in school","","","",""
"4 on scale 1-7","2006","16-34 y.","(1a) inadequately completed","","","",""
"4 on scale 1-7","2006","16-34 y.","(1b) general elementary school","","","",""
"4 on scale 1-7","2006","16-34 y.","(1c) basic vocational qualification","","","",""
"4 on scale 1-7","2006","16-34 y.","(2b) intermediate general qualification","","","",""
"4 on scale 1-7","2006","16-34 y.","(2a) intermediate vocational","","","",""
"4 on scale 1-7","2006","16-34 y.","(2c_gen) general maturity certificate","","","",""
"4 on scale 1-7","2006","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
