"plh0206i04","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"3 on scale 1-7 ","2008","Not Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2008","Not Employed","Rural Area","","","","","3"
"3 on scale 1-7 ","2008","Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2008","Employed","Rural Area","","","","","3"
"4 on scale 1-7","2008","Not Employed","Rural Area","","","","","4"
"4 on scale 1-7","2008","Employed","Urban Area","","","","","4"
"4 on scale 1-7","2008","Not Employed","Urban Area","","","","","4"
"4 on scale 1-7","2008","Employed","Rural Area","","","","","4"
"5 on scale 1-7","2008","Employed","Urban Area","","","","","5"
"5 on scale 1-7","2008","Not Employed","Urban Area","","","","","5"
"5 on scale 1-7","2008","Not Employed","Rural Area","","","","","5"
"5 on scale 1-7","2008","Employed","Rural Area","","","","","5"
"6 on scale 1-7","2008","Not Employed","Rural Area","","","","","6"
"6 on scale 1-7","2008","Employed","Rural Area","","","","","6"
"6 on scale 1-7","2008","Not Employed","Urban Area","","","","","6"
"6 on scale 1-7","2008","Employed","Urban Area","","","","","6"
"7 Strongly agree","2008","Not Employed","Urban Area","","","","","7"
"7 Strongly agree","2008","Not Employed","Rural Area","","","","","7"
"7 Strongly agree","2008","Employed","Urban Area","","","","","7"
"7 Strongly agree","2008","Employed","Rural Area","","","","","7"
"1 Strongly disagree","2009","Not Employed","Rural Area","","","","","1"
"1 Strongly disagree","2009","Employed","Urban Area","","","","","1"
"1 Strongly disagree","2009","Employed","Rural Area","","","","","1"
"1 Strongly disagree","2009","Not Employed","Urban Area","","","","","1"
"2 on scale 1-7 ","2009","Not Employed","Rural Area","","","","","2"
"2 on scale 1-7 ","2009","Employed","Urban Area","","","","","2"
"2 on scale 1-7 ","2009","Employed","Rural Area","","","","","2"
"2 on scale 1-7 ","2009","Not Employed","Urban Area","","","","","2"
"3 on scale 1-7 ","2009","Not Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2009","Not Employed","Rural Area","","","","","3"
"3 on scale 1-7 ","2009","Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2009","Employed","Rural Area","","","","","3"
"4 on scale 1-7","2009","Not Employed","Rural Area","","","","","4"
"4 on scale 1-7","2009","Employed","Urban Area","","","","","4"
"4 on scale 1-7","2009","Not Employed","Urban Area","","","","","4"
"4 on scale 1-7","2009","Employed","Rural Area","","","","","4"
"5 on scale 1-7","2009","Not Employed","Urban Area","","","","","5"
"5 on scale 1-7","2009","Employed","Urban Area","","","","","5"
"5 on scale 1-7","2009","Not Employed","Rural Area","","","","","5"
"5 on scale 1-7","2009","Employed","Rural Area","","","","","5"
"6 on scale 1-7","2009","Not Employed","Rural Area","","","","","6"
"6 on scale 1-7","2009","Not Employed","Urban Area","","","","","6"
"6 on scale 1-7","2009","Employed","Urban Area","","","","","6"
"6 on scale 1-7","2009","Employed","Rural Area","","","","","6"
"7 Strongly agree","2009","Not Employed","Urban Area","","","","","7"
"7 Strongly agree","2009","Not Employed","Rural Area","","","","","7"
"7 Strongly agree","2009","Employed","Urban Area","","","","","7"
"7 Strongly agree","2009","Employed","Rural Area","","","","","7"
"1 Strongly disagree","2010","Not Employed","Urban Area","43","0.0120844869469441","0.00876818493367645","0.0154007889602118","1"
"1 Strongly disagree","2010","Not Employed","Rural Area","21","","","","1"
"1 Strongly disagree","2010","Employed","Urban Area","26","","","","1"
"1 Strongly disagree","2010","Employed","Rural Area","25","","","","1"
"2 on scale 1-7 ","2010","Not Employed","Urban Area","53","0.0138367854684281","0.0102913297414937","0.0173822411953624","2"
"2 on scale 1-7 ","2010","Not Employed","Rural Area","26","","","","2"
"2 on scale 1-7 ","2010","Employed","Urban Area","59","0.010781520132042","0.00833464993882898","0.013228390325255","2"
"2 on scale 1-7 ","2010","Employed","Rural Area","22","","","","2"
"3 on scale 1-7 ","2010","Not Employed","Urban Area","98","0.0196219773092658","0.0154123055721205","0.0238316490464112","3"
"3 on scale 1-7 ","2010","Not Employed","Rural Area","44","0.0205969201285313","0.0145989110789917","0.026594929178071","3"
"3 on scale 1-7 ","2010","Employed","Rural Area","82","0.0234805126338554","0.0184589019157517","0.028502123351959","3"
"3 on scale 1-7 ","2010","Employed","Urban Area","163","0.0305636897801937","0.0264853129241679","0.0346420666362195","3"
"4 on scale 1-7","2010","Not Employed","Rural Area","177","0.0850300210838757","0.0732508478949436","0.0968091942728079","4"
"4 on scale 1-7","2010","Employed","Urban Area","593","0.0992288518370612","0.0921453006304949","0.106312403043628","4"
"4 on scale 1-7","2010","Not Employed","Urban Area","393","0.0933338902330029","0.0845046478616815","0.102163132604324","4"
"4 on scale 1-7","2010","Employed","Rural Area","327","0.0932074612077899","0.0835663274842276","0.102848594931352","4"
"5 on scale 1-7","2010","Not Employed","Urban Area","774","0.189114884419291","0.177229244097235","0.201000524741348","5"
"5 on scale 1-7","2010","Employed","Urban Area","1322","0.177232425226808","0.168184791827403","0.186280058626212","5"
"5 on scale 1-7","2010","Not Employed","Rural Area","377","0.159270476366063","0.143817183675014","0.174723769057113","5"
"5 on scale 1-7","2010","Employed","Rural Area","611","0.174164317764015","0.16158737132235","0.18674126420568","5"
"6 on scale 1-7","2010","Not Employed","Urban Area","1233","0.276696859083534","0.263118654320056","0.290275063847013","6"
"6 on scale 1-7","2010","Not Employed","Rural Area","701","0.310847208061845","0.291301271404579","0.330393144719111","6"
"6 on scale 1-7","2010","Employed","Urban Area","2404","0.33974996592652","0.32852826349863","0.350971668354409","6"
"6 on scale 1-7","2010","Employed","Rural Area","1265","0.348528941246665","0.332726805607219","0.364331076886111","6"
"7 Strongly agree","2010","Not Employed","Urban Area","1576","0.395311116539533","0.380471742917947","0.410150490161119","7"
"7 Strongly agree","2010","Not Employed","Rural Area","808","0.399414300775166","0.378730776508603","0.420097825041728","7"
"7 Strongly agree","2010","Employed","Urban Area","2276","0.338635388097031","0.327422655427046","0.349848120767015","7"
"7 Strongly agree","2010","Employed","Rural Area","1161","0.342152623728777","0.32641926992466","0.357885977532894","7"
"1 Strongly disagree","2011","Not Employed","Urban Area","","","","","1"
"1 Strongly disagree","2011","Not Employed","Rural Area","","","","","1"
"1 Strongly disagree","2011","Employed","Urban Area","","","","","1"
"1 Strongly disagree","2011","Employed","Rural Area","","","","","1"
"2 on scale 1-7 ","2011","Not Employed","Urban Area","","","","","2"
"2 on scale 1-7 ","2011","Not Employed","Rural Area","","","","","2"
"2 on scale 1-7 ","2011","Employed","Urban Area","","","","","2"
"2 on scale 1-7 ","2011","Employed","Rural Area","","","","","2"
"3 on scale 1-7 ","2011","Not Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2011","Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2011","Not Employed","Rural Area","","","","","3"
"3 on scale 1-7 ","2011","Employed","Rural Area","","","","","3"
"4 on scale 1-7","2011","Not Employed","Urban Area","","","","","4"
"4 on scale 1-7","2011","Not Employed","Rural Area","","","","","4"
"4 on scale 1-7","2011","Employed","Urban Area","","","","","4"
"4 on scale 1-7","2011","Employed","Rural Area","","","","","4"
"5 on scale 1-7","2011","Employed","Urban Area","","","","","5"
"5 on scale 1-7","2011","Not Employed","Rural Area","","","","","5"
"5 on scale 1-7","2011","Not Employed","Urban Area","","","","","5"
"5 on scale 1-7","2011","Employed","Rural Area","","","","","5"
"6 on scale 1-7","2011","Not Employed","Urban Area","","","","","6"
"6 on scale 1-7","2011","Not Employed","Rural Area","","","","","6"
"6 on scale 1-7","2011","Employed","Urban Area","","","","","6"
"6 on scale 1-7","2011","Employed","Rural Area","","","","","6"
"7 Strongly agree","2011","Not Employed","Urban Area","","","","","7"
"7 Strongly agree","2011","Not Employed","Rural Area","","","","","7"
"7 Strongly agree","2011","Employed","Urban Area","","","","","7"
"7 Strongly agree","2011","Employed","Rural Area","","","","","7"
"1 Strongly disagree","2012","Not Employed","Urban Area","","","","","1"
"1 Strongly disagree","2012","Not Employed","Rural Area","","","","","1"
"1 Strongly disagree","2012","Employed","Urban Area","","","","","1"
"1 Strongly disagree","2012","Employed","Rural Area","","","","","1"
"2 on scale 1-7 ","2012","Not Employed","Urban Area","","","","","2"
"2 on scale 1-7 ","2012","Not Employed","Rural Area","","","","","2"
"2 on scale 1-7 ","2012","Employed","Urban Area","","","","","2"
"2 on scale 1-7 ","2012","Employed","Rural Area","","","","","2"
"3 on scale 1-7 ","2012","Not Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2012","Not Employed","Rural Area","","","","","3"
"3 on scale 1-7 ","2012","Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2012","Employed","Rural Area","","","","","3"
"4 on scale 1-7","2012","Not Employed","Urban Area","","","","","4"
"4 on scale 1-7","2012","Not Employed","Rural Area","","","","","4"
"4 on scale 1-7","2012","Employed","Urban Area","","","","","4"
"4 on scale 1-7","2012","Employed","Rural Area","","","","","4"
"5 on scale 1-7","2012","Not Employed","Urban Area","","","","","5"
"5 on scale 1-7","2012","Not Employed","Rural Area","","","","","5"
"5 on scale 1-7","2012","Employed","Urban Area","","","","","5"
"5 on scale 1-7","2012","Employed","Rural Area","","","","","5"
"6 on scale 1-7","2012","Not Employed","Urban Area","","","","","6"
"6 on scale 1-7","2012","Not Employed","Rural Area","","","","","6"
"6 on scale 1-7","2012","Employed","Urban Area","","","","","6"
"6 on scale 1-7","2012","Employed","Rural Area","","","","","6"
"7 Strongly agree","2012","Not Employed","Urban Area","","","","","7"
"7 Strongly agree","2012","Not Employed","Rural Area","","","","","7"
"7 Strongly agree","2012","Employed","Urban Area","","","","","7"
"7 Strongly agree","2012","Employed","Rural Area","","","","","7"
"1 Strongly disagree","2013","Not Employed","Urban Area","","","","","1"
"1 Strongly disagree","2013","Not Employed","Rural Area","","","","","1"
"1 Strongly disagree","2013","Employed","Urban Area","","","","","1"
"1 Strongly disagree","2013","Employed","Rural Area","","","","","1"
"2 on scale 1-7 ","2013","Not Employed","Urban Area","","","","","2"
"2 on scale 1-7 ","2013","Not Employed","Rural Area","","","","","2"
"2 on scale 1-7 ","2013","Employed","Urban Area","","","","","2"
"2 on scale 1-7 ","2013","Employed","Rural Area","","","","","2"
"3 on scale 1-7 ","2013","Not Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2013","Employed","Rural Area","","","","","3"
"3 on scale 1-7 ","2013","Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2013","Not Employed","Rural Area","","","","","3"
"4 on scale 1-7","2013","Not Employed","Urban Area","","","","","4"
"4 on scale 1-7","2013","Not Employed","Rural Area","","","","","4"
"4 on scale 1-7","2013","Employed","Urban Area","","","","","4"
"4 on scale 1-7","2013","Employed","Rural Area","","","","","4"
"5 on scale 1-7","2013","Not Employed","Urban Area","","","","","5"
"5 on scale 1-7","2013","Employed","Urban Area","","","","","5"
"5 on scale 1-7","2013","Not Employed","Rural Area","","","","","5"
"5 on scale 1-7","2013","Employed","Rural Area","","","","","5"
"6 on scale 1-7","2013","Not Employed","Urban Area","","","","","6"
"6 on scale 1-7","2013","Not Employed","Rural Area","","","","","6"
"6 on scale 1-7","2013","Employed","Urban Area","","","","","6"
"6 on scale 1-7","2013","Employed","Rural Area","","","","","6"
"7 Strongly agree","2013","Not Employed","Urban Area","","","","","7"
"7 Strongly agree","2013","Not Employed","Rural Area","","","","","7"
"7 Strongly agree","2013","Employed","Urban Area","","","","","7"
"7 Strongly agree","2013","Employed","Rural Area","","","","","7"
"1 Strongly disagree","2014","Not Employed","Urban Area","","","","","1"
"1 Strongly disagree","2014","Not Employed","Rural Area","","","","","1"
"1 Strongly disagree","2014","Employed","Urban Area","","","","","1"
"1 Strongly disagree","2014","Employed","Rural Area","","","","","1"
"2 on scale 1-7 ","2014","Not Employed","Urban Area","","","","","2"
"2 on scale 1-7 ","2014","Not Employed","Rural Area","","","","","2"
"2 on scale 1-7 ","2014","Employed","Urban Area","","","","","2"
"2 on scale 1-7 ","2014","Employed","Rural Area","","","","","2"
"3 on scale 1-7 ","2014","Not Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2014","Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2014","Not Employed","Rural Area","","","","","3"
"3 on scale 1-7 ","2014","Employed","Rural Area","","","","","3"
"4 on scale 1-7","2014","Not Employed","Urban Area","","","","","4"
"4 on scale 1-7","2014","Employed","Rural Area","","","","","4"
"4 on scale 1-7","2014","Not Employed","Rural Area","","","","","4"
"4 on scale 1-7","2014","Employed","Urban Area","","","","","4"
"5 on scale 1-7","2014","Not Employed","Rural Area","","","","","5"
"5 on scale 1-7","2014","Not Employed","Urban Area","","","","","5"
"5 on scale 1-7","2014","Employed","Urban Area","","","","","5"
"5 on scale 1-7","2014","Employed","Rural Area","","","","","5"
"6 on scale 1-7","2014","Not Employed","Urban Area","","","","","6"
"6 on scale 1-7","2014","Not Employed","Rural Area","","","","","6"
"6 on scale 1-7","2014","Employed","Urban Area","","","","","6"
"6 on scale 1-7","2014","Employed","Rural Area","","","","","6"
"7 Strongly agree","2014","Not Employed","Urban Area","","","","","7"
"7 Strongly agree","2014","Not Employed","Rural Area","","","","","7"
"7 Strongly agree","2014","Employed","Urban Area","","","","","7"
"7 Strongly agree","2014","Employed","Rural Area","","","","","7"
"1 Strongly disagree","2015","Not Employed","Urban Area","48","0.00829665195487191","0.00612662842633356","0.0104666754834103","1"
"1 Strongly disagree","2015","Not Employed","Rural Area","37","0.00900489329859122","0.00583333032854231","0.0121764562686401","1"
"1 Strongly disagree","2015","Employed","Urban Area","79","0.00788139555122014","0.00622105221757371","0.00954173888486656","1"
"1 Strongly disagree","2015","Employed","Rural Area","33","0.00511031356251175","0.00326361616052627","0.00695701096449723","1"
"2 on scale 1-7 ","2015","Not Employed","Urban Area","63","0.00853078585892547","0.00633061578070407","0.0107309559371469","2"
"2 on scale 1-7 ","2015","Not Employed","Rural Area","43","0.0121342691760252","0.00845845058183452","0.0158100877702159","2"
"2 on scale 1-7 ","2015","Employed","Rural Area","49","0.0106368488563879","0.00797998770209959","0.0132937100106762","2"
"2 on scale 1-7 ","2015","Employed","Urban Area","105","0.00855950643156512","0.00682980067220215","0.0102892121909281","2"
"3 on scale 1-7 ","2015","Not Employed","Urban Area","158","0.0268036099448109","0.0229397710813481","0.0306674488082736","3"
"3 on scale 1-7 ","2015","Employed","Urban Area","246","0.0192411633455262","0.0166618071391181","0.0218205195519343","3"
"3 on scale 1-7 ","2015","Not Employed","Rural Area","63","0.0177730463552263","0.0133371115105998","0.0222089811998529","3"
"3 on scale 1-7 ","2015","Employed","Rural Area","126","0.021624730079387","0.0178575829662408","0.0253918771925332","3"
"4 on scale 1-7","2015","Not Employed","Urban Area","553","0.0879825204963135","0.0812057637345371","0.09475927725809","4"
"4 on scale 1-7","2015","Employed","Rural Area","476","0.0703665671153717","0.0637425179293049","0.0769906163014386","4"
"4 on scale 1-7","2015","Not Employed","Rural Area","282","0.0944326538766279","0.084614727469241","0.104250580284015","4"
"4 on scale 1-7","2015","Employed","Urban Area","864","0.0792452205744746","0.0741732926423738","0.0843171485065754","4"
"5 on scale 1-7","2015","Not Employed","Urban Area","1004","0.162076443128276","0.153260185639075","0.170892700617477","5"
"5 on scale 1-7","2015","Not Employed","Rural Area","535","0.154142405420751","0.142019464451292","0.166265346390209","5"
"5 on scale 1-7","2015","Employed","Urban Area","1904","0.183258520807479","0.175994301647502","0.190522739967457","5"
"5 on scale 1-7","2015","Employed","Rural Area","989","0.173647778399817","0.163837039567559","0.183458517232075","5"
"6 on scale 1-7","2015","Employed","Rural Area","2035","0.353719213520441","0.341336254171213","0.366102172869669","6"
"6 on scale 1-7","2015","Not Employed","Urban Area","2154","0.32997634275985","0.31872748078272","0.34122520473698","6"
"6 on scale 1-7","2015","Not Employed","Rural Area","1114","0.337738036842561","0.321859766520625","0.353616307164497","6"
"6 on scale 1-7","2015","Employed","Urban Area","3816","0.36462033076589","0.355582761450842","0.373657900080938","6"
"7 Strongly agree","2015","Employed","Rural Area","2019","0.364894548466083","0.35242671171156","0.377362385220606","7"
"7 Strongly agree","2015","Not Employed","Urban Area","2732","0.376333645856952","0.364743609491813","0.387923682222091","7"
"7 Strongly agree","2015","Not Employed","Rural Area","1334","0.374774695030218","0.358522886344689","0.391026503715747","7"
"7 Strongly agree","2015","Employed","Urban Area","3882","0.337193862523845","0.328317242392657","0.346070482655033","7"
"1 Strongly disagree","2016","Not Employed","Urban Area","13","","","","1"
"1 Strongly disagree","2016","Not Employed","Rural Area","4","","","","1"
"1 Strongly disagree","2016","Employed","Urban Area","","","","","1"
"1 Strongly disagree","2016","Employed","Rural Area","","","","","1"
"2 on scale 1-7 ","2016","Not Employed","Rural Area","4","","","","2"
"2 on scale 1-7 ","2016","Employed","Rural Area","","","","","2"
"2 on scale 1-7 ","2016","Not Employed","Urban Area","8","","","","2"
"2 on scale 1-7 ","2016","Employed","Urban Area","","","","","2"
"3 on scale 1-7 ","2016","Not Employed","Urban Area","7","","","","3"
"3 on scale 1-7 ","2016","Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2016","Employed","Rural Area","","","","","3"
"3 on scale 1-7 ","2016","Not Employed","Rural Area","5","","","","3"
"4 on scale 1-7","2016","Not Employed","Urban Area","33","0.0618101498070343","0.0532301181076481","0.0703901815064205","4"
"4 on scale 1-7","2016","Employed","Rural Area","","","","","4"
"4 on scale 1-7","2016","Not Employed","Rural Area","18","","","","4"
"4 on scale 1-7","2016","Employed","Urban Area","","","","","4"
"5 on scale 1-7","2016","Not Employed","Urban Area","80","0.0813102495749178","0.0715722284626366","0.091048270687199","5"
"5 on scale 1-7","2016","Not Employed","Rural Area","43","0.0434890102429722","0.0325891308419637","0.0543888896439807","5"
"5 on scale 1-7","2016","Employed","Urban Area","","","","","5"
"5 on scale 1-7","2016","Employed","Rural Area","","","","","5"
"6 on scale 1-7","2016","Not Employed","Urban Area","283","0.143085477334407","0.13060933964501","0.155561615023804","6"
"6 on scale 1-7","2016","Not Employed","Rural Area","92","0.112762922647211","0.0958589044357013","0.129666940858722","6"
"6 on scale 1-7","2016","Employed","Rural Area","","","","","6"
"6 on scale 1-7","2016","Employed","Urban Area","","","","","6"
"7 Strongly agree","2016","Not Employed","Urban Area","2602","0.694590992453023","0.678180594095454","0.711001390810593","7"
"7 Strongly agree","2016","Employed","Rural Area","","","","","7"
"7 Strongly agree","2016","Not Employed","Rural Area","1179","0.804507655738043","0.783313461181091","0.825701850294995","7"
"7 Strongly agree","2016","Employed","Urban Area","","","","","7"
"1 Strongly disagree","2017","Not Employed","Urban Area","6","","","","1"
"1 Strongly disagree","2017","Not Employed","Rural Area","4","","","","1"
"1 Strongly disagree","2017","Employed","Urban Area","","","","","1"
"1 Strongly disagree","2017","Employed","Rural Area","","","","","1"
"2 on scale 1-7 ","2017","Not Employed","Urban Area","4","","","","2"
"2 on scale 1-7 ","2017","Employed","Urban Area","","","","","2"
"2 on scale 1-7 ","2017","Employed","Rural Area","","","","","2"
"2 on scale 1-7 ","2017","Not Employed","Rural Area","1","","","","2"
"3 on scale 1-7 ","2017","Not Employed","Urban Area","10","","","","3"
"3 on scale 1-7 ","2017","Not Employed","Rural Area","3","","","","3"
"3 on scale 1-7 ","2017","Employed","Urban Area","","","","","3"
"3 on scale 1-7 ","2017","Employed","Rural Area","","","","","3"
"4 on scale 1-7","2017","Not Employed","Urban Area","27","","","","4"
"4 on scale 1-7","2017","Not Employed","Rural Area","4","","","","4"
"4 on scale 1-7","2017","Employed","Urban Area","","","","","4"
"4 on scale 1-7","2017","Employed","Rural Area","","","","","4"
"5 on scale 1-7","2017","Not Employed","Urban Area","69","0.0370186671347237","0.0289202122520947","0.0451171220173526","5"
"5 on scale 1-7","2017","Not Employed","Rural Area","17","","","","5"
"5 on scale 1-7","2017","Employed","Urban Area","","","","","5"
"5 on scale 1-7","2017","Employed","Rural Area","","","","","5"
"6 on scale 1-7","2017","Not Employed","Urban Area","251","0.135442064606315","0.120764409544182","0.150119719668447","6"
"6 on scale 1-7","2017","Not Employed","Rural Area","77","0.100075615715124","0.0790286390640843","0.121122592366164","6"
"6 on scale 1-7","2017","Employed","Rural Area","","","","","6"
"6 on scale 1-7","2017","Employed","Urban Area","","","","","6"
"7 Strongly agree","2017","Not Employed","Urban Area","1721","0.804998539825221","0.788004394732724","0.821992684917718","7"
"7 Strongly agree","2017","Not Employed","Rural Area","675","0.869500258935963","0.845875778996239","0.893124738875688","7"
"7 Strongly agree","2017","Employed","Urban Area","","","","","7"
"7 Strongly agree","2017","Employed","Rural Area","","","","","7"
"1 Strongly disagree","2018","Employed","Rural Area","","","","","1"
