"plh0206i04","year","age_gr","n","percent","lower_confidence","upper_confidence"
"4 on scale 1-7","2007","16-34 y.","","","",""
"4 on scale 1-7","2007","35-65 y.","","","",""
"4 on scale 1-7","2007","66 and older","","","",""
"5 on scale 1-7","2007","16-34 y.","","","",""
"5 on scale 1-7","2007","35-65 y.","","","",""
"5 on scale 1-7","2007","66 and older","","","",""
"6 on scale 1-7","2007","16-34 y.","","","",""
"6 on scale 1-7","2007","35-65 y.","","","",""
"6 on scale 1-7","2007","66 and older","","","",""
"7 Strongly agree","2007","16-34 y.","","","",""
"7 Strongly agree","2007","35-65 y.","","","",""
"7 Strongly agree","2007","66 and older","","","",""
"1 Strongly disagree","2008","16-34 y.","","","",""
"1 Strongly disagree","2008","35-65 y.","","","",""
"1 Strongly disagree","2008","66 and older","","","",""
"2 on scale 1-7 ","2008","16-34 y.","","","",""
"2 on scale 1-7 ","2008","35-65 y.","","","",""
"2 on scale 1-7 ","2008","66 and older","","","",""
"3 on scale 1-7 ","2008","16-34 y.","","","",""
"3 on scale 1-7 ","2008","35-65 y.","","","",""
"3 on scale 1-7 ","2008","66 and older","","","",""
"4 on scale 1-7","2008","16-34 y.","","","",""
"4 on scale 1-7","2008","35-65 y.","","","",""
"4 on scale 1-7","2008","66 and older","","","",""
"5 on scale 1-7","2008","16-34 y.","","","",""
"5 on scale 1-7","2008","35-65 y.","","","",""
"5 on scale 1-7","2008","66 and older","","","",""
"6 on scale 1-7","2008","16-34 y.","","","",""
"6 on scale 1-7","2008","35-65 y.","","","",""
"6 on scale 1-7","2008","66 and older","","","",""
"7 Strongly agree","2008","16-34 y.","","","",""
"7 Strongly agree","2008","35-65 y.","","","",""
"7 Strongly agree","2008","66 and older","","","",""
"1 Strongly disagree","2009","16-34 y.","","","",""
"1 Strongly disagree","2009","35-65 y.","","","",""
"1 Strongly disagree","2009","66 and older","","","",""
"2 on scale 1-7 ","2009","16-34 y.","","","",""
"2 on scale 1-7 ","2009","35-65 y.","","","",""
"2 on scale 1-7 ","2009","66 and older","","","",""
"3 on scale 1-7 ","2009","16-34 y.","","","",""
"3 on scale 1-7 ","2009","35-65 y.","","","",""
"3 on scale 1-7 ","2009","66 and older","","","",""
"4 on scale 1-7","2009","16-34 y.","","","",""
"4 on scale 1-7","2009","35-65 y.","","","",""
"4 on scale 1-7","2009","66 and older","","","",""
"5 on scale 1-7","2009","16-34 y.","","","",""
"5 on scale 1-7","2009","35-65 y.","","","",""
"5 on scale 1-7","2009","66 and older","","","",""
"6 on scale 1-7","2009","16-34 y.","","","",""
"6 on scale 1-7","2009","35-65 y.","","","",""
"6 on scale 1-7","2009","66 and older","","","",""
"7 Strongly agree","2009","16-34 y.","","","",""
"7 Strongly agree","2009","35-65 y.","","","",""
"7 Strongly agree","2009","66 and older","","","",""
"1 Strongly disagree","2010","16-34 y.","","","",""
"1 Strongly disagree","2010","35-65 y.","54","0.00655672090936938","0.00489447692039052","0.00821896489834825"
"1 Strongly disagree","2010","66 and older","45","0.0130989214131111","0.0095872663003847","0.0166105765258376"
"2 on scale 1-7 ","2010","16-34 y.","30","0.00693968756072747","0.0042192022027298","0.00966017291872514"
"2 on scale 1-7 ","2010","35-65 y.","86","0.0132992232954619","0.0109399092231208","0.015658537367803"
"2 on scale 1-7 ","2010","66 and older","44","0.01165728307679","0.00834208309982219","0.0149724830537578"
"3 on scale 1-7 ","2010","16-34 y.","85","0.0285185870354026","0.0230638995827898","0.0339732744880155"
"3 on scale 1-7 ","2010","35-65 y.","214","0.0265703757022969","0.023258065431646","0.0298826859729479"
"3 on scale 1-7 ","2010","66 and older","88","0.0192202352655517","0.01497968344866","0.0234607870824435"
"4 on scale 1-7","2010","16-34 y.","329","0.104183448240542","0.0941719857173599","0.114194910763725"
"4 on scale 1-7","2010","35-65 y.","815","0.0946773657662257","0.0886475414850864","0.100707190047365"
"4 on scale 1-7","2010","66 and older","346","0.0872094533692252","0.0784953115184641","0.0959235952199862"
"5 on scale 1-7","2010","16-34 y.","732","0.223763373996739","0.21010559165654","0.237421156336938"
"5 on scale 1-7","2010","35-65 y.","1624","0.158447886703034","0.150927094020121","0.165968679385947"
"5 on scale 1-7","2010","66 and older","728","0.177050099429056","0.165260689677431","0.188839509180682"
"6 on scale 1-7","2010","16-34 y.","1245","0.317270640590096","0.302018603480289","0.332522677699903"
"6 on scale 1-7","2010","35-65 y.","3158","0.342817543402852","0.333041696668685","0.352593390137019"
"6 on scale 1-7","2010","66 and older","1200","0.281329071801958","0.267441394344943","0.295216749258973"
"7 Strongly agree","2010","16-34 y.","1140","0.313353650685234","0.29815263671929","0.328554664651178"
"7 Strongly agree","2010","35-65 y.","3105","0.35763088422076","0.347759234912801","0.367502533528718"
"7 Strongly agree","2010","66 and older","1576","0.410434935644308","0.395241873763342","0.425627997525274"
"1 Strongly disagree","2011","16-34 y.","","","",""
"1 Strongly disagree","2011","35-65 y.","","","",""
"1 Strongly disagree","2011","66 and older","","","",""
"2 on scale 1-7 ","2011","16-34 y.","","","",""
"2 on scale 1-7 ","2011","35-65 y.","","","",""
"2 on scale 1-7 ","2011","66 and older","","","",""
"3 on scale 1-7 ","2011","16-34 y.","","","",""
"3 on scale 1-7 ","2011","35-65 y.","","","",""
"3 on scale 1-7 ","2011","66 and older","","","",""
"4 on scale 1-7","2011","16-34 y.","","","",""
"4 on scale 1-7","2011","35-65 y.","","","",""
"4 on scale 1-7","2011","66 and older","","","",""
"5 on scale 1-7","2011","16-34 y.","","","",""
"5 on scale 1-7","2011","35-65 y.","","","",""
"5 on scale 1-7","2011","66 and older","","","",""
"6 on scale 1-7","2011","16-34 y.","","","",""
"6 on scale 1-7","2011","35-65 y.","","","",""
"6 on scale 1-7","2011","66 and older","","","",""
"7 Strongly agree","2011","16-34 y.","","","",""
"7 Strongly agree","2011","35-65 y.","","","",""
"7 Strongly agree","2011","66 and older","","","",""
"1 Strongly disagree","2012","16-34 y.","","","",""
"1 Strongly disagree","2012","35-65 y.","","","",""
"1 Strongly disagree","2012","66 and older","","","",""
"2 on scale 1-7 ","2012","16-34 y.","","","",""
"2 on scale 1-7 ","2012","35-65 y.","","","",""
"2 on scale 1-7 ","2012","66 and older","","","",""
"3 on scale 1-7 ","2012","16-34 y.","","","",""
"3 on scale 1-7 ","2012","35-65 y.","","","",""
"3 on scale 1-7 ","2012","66 and older","","","",""
"4 on scale 1-7","2012","16-34 y.","","","",""
"4 on scale 1-7","2012","35-65 y.","","","",""
"4 on scale 1-7","2012","66 and older","","","",""
"5 on scale 1-7","2012","16-34 y.","","","",""
"5 on scale 1-7","2012","35-65 y.","","","",""
"5 on scale 1-7","2012","66 and older","","","",""
"6 on scale 1-7","2012","16-34 y.","","","",""
"6 on scale 1-7","2012","35-65 y.","","","",""
"6 on scale 1-7","2012","66 and older","","","",""
"7 Strongly agree","2012","16-34 y.","","","",""
"7 Strongly agree","2012","35-65 y.","","","",""
"7 Strongly agree","2012","66 and older","","","",""
"1 Strongly disagree","2013","16-34 y.","","","",""
"1 Strongly disagree","2013","35-65 y.","","","",""
"1 Strongly disagree","2013","66 and older","","","",""
"2 on scale 1-7 ","2013","16-34 y.","","","",""
"2 on scale 1-7 ","2013","35-65 y.","","","",""
"2 on scale 1-7 ","2013","66 and older","","","",""
"3 on scale 1-7 ","2013","16-34 y.","","","",""
"3 on scale 1-7 ","2013","35-65 y.","","","",""
"3 on scale 1-7 ","2013","66 and older","","","",""
"4 on scale 1-7","2013","16-34 y.","","","",""
"4 on scale 1-7","2013","35-65 y.","","","",""
"4 on scale 1-7","2013","66 and older","","","",""
"5 on scale 1-7","2013","16-34 y.","","","",""
"5 on scale 1-7","2013","35-65 y.","","","",""
"5 on scale 1-7","2013","66 and older","","","",""
"6 on scale 1-7","2013","16-34 y.","","","",""
"6 on scale 1-7","2013","35-65 y.","","","",""
"6 on scale 1-7","2013","66 and older","","","",""
"7 Strongly agree","2013","16-34 y.","","","",""
"7 Strongly agree","2013","35-65 y.","","","",""
"7 Strongly agree","2013","66 and older","","","",""
"1 Strongly disagree","2014","16-34 y.","","","",""
"1 Strongly disagree","2014","35-65 y.","","","",""
"1 Strongly disagree","2014","66 and older","","","",""
"2 on scale 1-7 ","2014","16-34 y.","","","",""
"2 on scale 1-7 ","2014","35-65 y.","","","",""
"2 on scale 1-7 ","2014","66 and older","","","",""
"3 on scale 1-7 ","2014","16-34 y.","","","",""
"3 on scale 1-7 ","2014","35-65 y.","","","",""
"3 on scale 1-7 ","2014","66 and older","","","",""
"4 on scale 1-7","2014","16-34 y.","","","",""
"4 on scale 1-7","2014","35-65 y.","","","",""
"4 on scale 1-7","2014","66 and older","","","",""
"5 on scale 1-7","2014","16-34 y.","","","",""
"5 on scale 1-7","2014","35-65 y.","","","",""
"5 on scale 1-7","2014","66 and older","","","",""
"6 on scale 1-7","2014","16-34 y.","","","",""
"6 on scale 1-7","2014","35-65 y.","","","",""
"6 on scale 1-7","2014","66 and older","","","",""
"7 Strongly agree","2014","16-34 y.","","","",""
"7 Strongly agree","2014","35-65 y.","","","",""
"7 Strongly agree","2014","66 and older","","","",""
"1 Strongly disagree","2015","16-34 y.","35","0.00442713704352406","0.00283149571483886","0.00602277837220926"
"1 Strongly disagree","2015","35-65 y.","111","0.0077232050377717","0.00632945362486273","0.00911695645068068"
"1 Strongly disagree","2015","66 and older","51","0.0102442978235918","0.00743577697337352","0.0130528186738101"
"2 on scale 1-7 ","2015","16-34 y.","47","0.007425692734711","0.00536227447029997","0.00948911099912204"
"2 on scale 1-7 ","2015","35-65 y.","170","0.0107716739272235","0.00912821069798643","0.0124151371564605"
"2 on scale 1-7 ","2015","66 and older","43","0.00831353181720993","0.00578101391847012","0.0108460497159497"
"3 on scale 1-7 ","2015","16-34 y.","137","0.0229447417885697","0.0193461016568346","0.0265433819203049"
"3 on scale 1-7 ","2015","35-65 y.","346","0.018858964524344","0.0166932821474024","0.0210246469012855"
"3 on scale 1-7 ","2015","66 and older","110","0.0258129661514965","0.0213900095642608","0.0302359227387321"
"4 on scale 1-7","2015","16-34 y.","515","0.0830686482549855","0.0764354305498191","0.089701865960152"
"4 on scale 1-7","2015","35-65 y.","1257","0.0784403845530957","0.0741598136491275","0.082720955457064"
"4 on scale 1-7","2015","66 and older","403","0.0868539678565244","0.0789991250503709","0.0947088106626779"
"5 on scale 1-7","2015","16-34 y.","1102","0.186459068463917","0.177098144283293","0.195819992644541"
"5 on scale 1-7","2015","35-65 y.","2549","0.173589830800856","0.167559653425701","0.179620008176011"
"5 on scale 1-7","2015","66 and older","781","0.156416672039489","0.146285071394108","0.166548272684871"
"6 on scale 1-7","2015","16-34 y.","2248","0.358815668660968","0.347287391250946","0.370343946070989"
"6 on scale 1-7","2015","35-65 y.","5080","0.347878613679755","0.340295488808158","0.355461738551352"
"6 on scale 1-7","2015","66 and older","1791","0.346712706705463","0.333438470755329","0.359986942655597"
"7 Strongly agree","2015","16-34 y.","2566","0.336859043053324","0.325499410084687","0.348218676021962"
"7 Strongly agree","2015","35-65 y.","5642","0.362737327476954","0.355082674876495","0.370391980077413"
"7 Strongly agree","2015","66 and older","1759","0.365645857606225","0.352212988986241","0.379078726226209"
"1 Strongly disagree","2016","16-34 y.","","","",""
"1 Strongly disagree","2016","35-65 y.","","","",""
"1 Strongly disagree","2016","66 and older","","","",""
"2 on scale 1-7 ","2016","16-34 y.","","","",""
"2 on scale 1-7 ","2016","35-65 y.","","","",""
"2 on scale 1-7 ","2016","66 and older","","","",""
"3 on scale 1-7 ","2016","16-34 y.","","","",""
"3 on scale 1-7 ","2016","35-65 y.","","","",""
"3 on scale 1-7 ","2016","66 and older","","","",""
"4 on scale 1-7","2016","16-34 y.","36","0.067935483724586","0.0580912355526934","0.0777797318964786"
"4 on scale 1-7","2016","35-65 y.","","","",""
"4 on scale 1-7","2016","66 and older","","","",""
"5 on scale 1-7","2016","16-34 y.","82","0.0805795787959202","0.0699312660141315","0.0912278915777088"
"5 on scale 1-7","2016","35-65 y.","40","0.0436732552906408","0.0343731670991916","0.0529733434820901"
"5 on scale 1-7","2016","66 and older","","","",""
"6 on scale 1-7","2016","16-34 y.","237","0.120758456241426","0.108010983071896","0.133505929410956"
"6 on scale 1-7","2016","35-65 y.","134","0.169988367339392","0.152894992161633","0.18708174251715"
"6 on scale 1-7","2016","66 and older","","","",""
"7 Strongly agree","2016","16-34 y.","2127","0.713129704597434","0.695435205049896","0.730824204144972"
"7 Strongly agree","2016","35-65 y.","1654","0.771751423681574","0.752652060266959","0.790850787096189"
"7 Strongly agree","2016","66 and older","","","",""
"1 Strongly disagree","2017","16-34 y.","","","",""
"1 Strongly disagree","2017","35-65 y.","","","",""
"1 Strongly disagree","2017","66 and older","","","",""
"2 on scale 1-7 ","2017","16-34 y.","","","",""
"2 on scale 1-7 ","2017","35-65 y.","","","",""
"2 on scale 1-7 ","2017","66 and older","","","",""
"3 on scale 1-7 ","2017","16-34 y.","","","",""
"3 on scale 1-7 ","2017","35-65 y.","","","",""
"3 on scale 1-7 ","2017","66 and older","","","",""
"4 on scale 1-7","2017","16-34 y.","","","",""
"4 on scale 1-7","2017","35-65 y.","","","",""
"4 on scale 1-7","2017","66 and older","","","",""
"5 on scale 1-7","2017","16-34 y.","55","0.0351966050422493","0.0268265550568185","0.04356665502768"
"5 on scale 1-7","2017","35-65 y.","31","0.0195230060675343","0.010820776727512","0.0282252354075566"
"5 on scale 1-7","2017","66 and older","","","",""
"6 on scale 1-7","2017","16-34 y.","219","0.127755312330948","0.112592948861099","0.142917675800796"
"6 on scale 1-7","2017","35-65 y.","104","0.120781748863606","0.10028488199492","0.141278615732291"
"6 on scale 1-7","2017","66 and older","","","",""
"7 Strongly agree","2017","16-34 y.","1559","0.817356775837353","0.799807230526907","0.8349063211478"
"7 Strongly agree","2017","35-65 y.","808","0.835703393456262","0.81239679705387","0.859009989858655"
"7 Strongly agree","2017","66 and older","","","",""
"1 Strongly disagree","2018","16-34 y.","","","",""
"1 Strongly disagree","2018","35-65 y.","","","",""
"1 Strongly disagree","2018","66 and older","","","",""
"2 on scale 1-7 ","2018","16-34 y.","","","",""
"2 on scale 1-7 ","2018","35-65 y.","","","",""
"2 on scale 1-7 ","2018","66 and older","","","",""
"3 on scale 1-7 ","2018","16-34 y.","","","",""
"3 on scale 1-7 ","2018","35-65 y.","","","",""
"3 on scale 1-7 ","2018","66 and older","","","",""
"4 on scale 1-7","2018","16-34 y.","","","",""
"4 on scale 1-7","2018","35-65 y.","","","",""
"4 on scale 1-7","2018","66 and older","","","",""
"5 on scale 1-7","2018","16-34 y.","","","",""
"5 on scale 1-7","2018","35-65 y.","","","",""
"5 on scale 1-7","2018","66 and older","","","",""
"6 on scale 1-7","2018","16-34 y.","","","",""
"6 on scale 1-7","2018","35-65 y.","","","",""
"6 on scale 1-7","2018","66 and older","","","",""
"7 Strongly agree","2018","16-34 y.","224","0.904561632647956","0.868427984201243","0.940695281094668"
"7 Strongly agree","2018","35-65 y.","122","0.780511469875321","0.716577641212757","0.844445298537884"
"7 Strongly agree","2018","66 and older","","","",""
"1 Strongly disagree","2019","16-34 y.","","","",""
"1 Strongly disagree","2019","35-65 y.","","","",""
"1 Strongly disagree","2019","66 and older","","","",""
"2 on scale 1-7 ","2019","16-34 y.","","","",""
"2 on scale 1-7 ","2019","35-65 y.","","","",""
"2 on scale 1-7 ","2019","66 and older","","","",""
"3 on scale 1-7 ","2019","16-34 y.","","","",""
"3 on scale 1-7 ","2019","35-65 y.","","","",""
"3 on scale 1-7 ","2019","66 and older","","","",""
"4 on scale 1-7","2019","16-34 y.","","","",""
"4 on scale 1-7","2019","35-65 y.","","","",""
"4 on scale 1-7","2019","66 and older","","","",""
"5 on scale 1-7","2019","16-34 y.","","","",""
"5 on scale 1-7","2019","35-65 y.","","","",""
"5 on scale 1-7","2019","66 and older","","","",""
"6 on scale 1-7","2019","16-34 y.","","","",""
"6 on scale 1-7","2019","35-65 y.","","","",""
"6 on scale 1-7","2019","66 and older","","","",""
"7 Strongly agree","2019","16-34 y.","113","0.821569251103893","0.759250171968725","0.88388833023906"
"7 Strongly agree","2019","35-65 y.","90","0.697230298749282","0.6166855156336","0.777775081864964"
"7 Strongly agree","2019","66 and older","","","",""
