"plh0206i04","year","sampreg","n","percent","lower_confidence","upper_confidence"
"6 on scale 1-7","2018","East Germany","5","","",""
"7 Strongly agree","2018","West Germany","307","0.858325762959586","0.82279383733645","0.893857688582722"
"7 Strongly agree","2018","East Germany","43","0.920005565509464","0.844047278063193","0.995963852955735"
"1 Strongly disagree","2019","West Germany","3","","",""
"1 Strongly disagree","2019","East Germany","1","","",""
"2 on scale 1-7 ","2019","West Germany","4","","",""
"2 on scale 1-7 ","2019","East Germany","","","",""
"3 on scale 1-7 ","2019","West Germany","1","","",""
"3 on scale 1-7 ","2019","East Germany","","","",""
"4 on scale 1-7","2019","West Germany","9","","",""
"4 on scale 1-7","2019","East Germany","","","",""
"5 on scale 1-7","2019","West Germany","16","","",""
"5 on scale 1-7","2019","East Germany","1","","",""
"6 on scale 1-7","2019","West Germany","34","0.115594806576522","0.0761960392850258","0.154993573868018"
"6 on scale 1-7","2019","East Germany","","","",""
"7 Strongly agree","2019","West Germany","186","0.754970123588138","0.701971787641333","0.807968459534944"
"7 Strongly agree","2019","East Germany","21","","",""
