"plh0206i04","year","e11102","n","percent","lower_confidence","upper_confidence"
"2 on scale 1-7 ","2012","Employed","","","",""
"3 on scale 1-7 ","2012","Not Employed","","","",""
"3 on scale 1-7 ","2012","Employed","","","",""
"4 on scale 1-7","2012","Not Employed","","","",""
"4 on scale 1-7","2012","Employed","","","",""
"5 on scale 1-7","2012","Not Employed","","","",""
"5 on scale 1-7","2012","Employed","","","",""
"6 on scale 1-7","2012","Not Employed","","","",""
"6 on scale 1-7","2012","Employed","","","",""
"7 Strongly agree","2012","Not Employed","","","",""
"7 Strongly agree","2012","Employed","","","",""
"1 Strongly disagree","2013","Not Employed","","","",""
"1 Strongly disagree","2013","Employed","","","",""
"2 on scale 1-7 ","2013","Not Employed","","","",""
"2 on scale 1-7 ","2013","Employed","","","",""
"3 on scale 1-7 ","2013","Not Employed","","","",""
"3 on scale 1-7 ","2013","Employed","","","",""
"4 on scale 1-7","2013","Not Employed","","","",""
"4 on scale 1-7","2013","Employed","","","",""
"5 on scale 1-7","2013","Not Employed","","","",""
"5 on scale 1-7","2013","Employed","","","",""
"6 on scale 1-7","2013","Not Employed","","","",""
"6 on scale 1-7","2013","Employed","","","",""
"7 Strongly agree","2013","Not Employed","","","",""
"7 Strongly agree","2013","Employed","","","",""
"1 Strongly disagree","2014","Not Employed","","","",""
"1 Strongly disagree","2014","Employed","","","",""
"2 on scale 1-7 ","2014","Not Employed","","","",""
"2 on scale 1-7 ","2014","Employed","","","",""
"3 on scale 1-7 ","2014","Not Employed","","","",""
"3 on scale 1-7 ","2014","Employed","","","",""
"4 on scale 1-7","2014","Not Employed","","","",""
"4 on scale 1-7","2014","Employed","","","",""
"5 on scale 1-7","2014","Not Employed","","","",""
"5 on scale 1-7","2014","Employed","","","",""
"6 on scale 1-7","2014","Not Employed","","","",""
"6 on scale 1-7","2014","Employed","","","",""
"7 Strongly agree","2014","Not Employed","","","",""
"7 Strongly agree","2014","Employed","","","",""
"1 Strongly disagree","2015","Not Employed","85","0.00851507208296166","0.00672489885702339","0.0103052453088999"
"1 Strongly disagree","2015","Employed","112","0.00700039441762172","0.00573294924540228","0.00826783958984115"
"2 on scale 1-7 ","2015","Not Employed","106","0.00964209247025223","0.00773821248801497","0.0115459724524895"
"2 on scale 1-7 ","2015","Employed","154","0.00921994918951975","0.00776701387665135","0.0106728845023882"
"3 on scale 1-7 ","2015","Not Employed","221","0.0240186032893092","0.0210356086074053","0.027001597971213"
"3 on scale 1-7 ","2015","Employed","372","0.01999896300757","0.0178707730244525","0.0221271529906874"
"4 on scale 1-7","2015","Not Employed","835","0.0899717279488547","0.0843968122075452","0.0955466436901643"
"4 on scale 1-7","2015","Employed","1340","0.0764224589982489","0.0723837684863151","0.0804611495101827"
"5 on scale 1-7","2015","Not Employed","1539","0.159629602728864","0.152493683527069","0.166765521930658"
"5 on scale 1-7","2015","Employed","2893","0.180203008559782","0.174360120481679","0.186045896637885"
"6 on scale 1-7","2015","Not Employed","3268","0.332370032750943","0.323192273191018","0.341547792310868"
"6 on scale 1-7","2015","Employed","5851","0.361154573819735","0.35385264082899","0.368456506810481"
"7 Strongly agree","2015","Not Employed","4066","0.375852868728816","0.366416383621719","0.385289353835912"
"7 Strongly agree","2015","Employed","5901","0.346000652007523","0.338769283312099","0.353232020702946"
"1 Strongly disagree","2016","Not Employed","17","","",""
"1 Strongly disagree","2016","Employed","","","",""
"2 on scale 1-7 ","2016","Not Employed","12","","",""
"2 on scale 1-7 ","2016","Employed","","","",""
"3 on scale 1-7 ","2016","Not Employed","12","","",""
"3 on scale 1-7 ","2016","Employed","","","",""
"4 on scale 1-7","2016","Not Employed","51","0.0511773494067902","0.0446447037154095","0.0577099950981708"
"4 on scale 1-7","2016","Employed","","","",""
"5 on scale 1-7","2016","Not Employed","123","0.0709514480863517","0.0633401711337644","0.0785627250389389"
"5 on scale 1-7","2016","Employed","","","",""
"6 on scale 1-7","2016","Not Employed","375","0.134780479132893","0.124656893975691","0.144904064290095"
"6 on scale 1-7","2016","Employed","","","",""
"7 Strongly agree","2016","Not Employed","3781","0.724695899520237","0.711454254848931","0.737937544191544"
"7 Strongly agree","2016","Employed","","","",""
"1 Strongly disagree","2017","Not Employed","10","","",""
"1 Strongly disagree","2017","Employed","","","",""
"2 on scale 1-7 ","2017","Not Employed","5","","",""
"2 on scale 1-7 ","2017","Employed","","","",""
"3 on scale 1-7 ","2017","Not Employed","13","","",""
"3 on scale 1-7 ","2017","Employed","","","",""
"4 on scale 1-7","2017","Not Employed","31","0.0113151277710702","0.00744485572965597","0.0151853998124844"
"4 on scale 1-7","2017","Employed","","","",""
"5 on scale 1-7","2017","Not Employed","86","0.0309064522289272","0.0245737328237235","0.0372391716341309"
"5 on scale 1-7","2017","Employed","","","",""
"6 on scale 1-7","2017","Not Employed","328","0.125928267088808","0.11378828717439","0.138068247003226"
"6 on scale 1-7","2017","Employed","","","",""
"7 Strongly agree","2017","Not Employed","2396","0.822349908548688","0.808363897762935","0.836335919334441"
"7 Strongly agree","2017","Employed","","","",""
"1 Strongly disagree","2018","Not Employed","3","","",""
"1 Strongly disagree","2018","Employed","","","",""
"2 on scale 1-7 ","2018","Not Employed","3","","",""
"2 on scale 1-7 ","2018","Employed","","","",""
"3 on scale 1-7 ","2018","Not Employed","2","","",""
"3 on scale 1-7 ","2018","Employed","","","",""
"4 on scale 1-7","2018","Not Employed","2","","",""
"4 on scale 1-7","2018","Employed","","","",""
"5 on scale 1-7","2018","Not Employed","12","","",""
"5 on scale 1-7","2018","Employed","","","",""
"6 on scale 1-7","2018","Not Employed","47","0.0798113628609501","0.0538628856662505","0.10575984005565"
"6 on scale 1-7","2018","Employed","","","",""
"7 Strongly agree","2018","Not Employed","350","0.867362477567466","0.834885575533452","0.89983937960148"
"7 Strongly agree","2018","Employed","","","",""
"1 Strongly disagree","2019","Not Employed","4","","",""
"1 Strongly disagree","2019","Employed","","","",""
"2 on scale 1-7 ","2019","Not Employed","4","","",""
"2 on scale 1-7 ","2019","Employed","","","",""
"3 on scale 1-7 ","2019","Not Employed","1","","",""
"3 on scale 1-7 ","2019","Employed","","","",""
"4 on scale 1-7","2019","Not Employed","9","","",""
"4 on scale 1-7","2019","Employed","","","",""
"5 on scale 1-7","2019","Not Employed","17","","",""
"5 on scale 1-7","2019","Employed","","","",""
"6 on scale 1-7","2019","Not Employed","34","0.103017842635402","0.0671552504606171","0.138880434810188"
"6 on scale 1-7","2019","Employed","","","",""
"7 Strongly agree","2019","Not Employed","207","0.778560998954216","0.729575568465117","0.827546429443316"
"7 Strongly agree","2019","Employed","","","",""
