"plh0206i04","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"1 Strongly disagree","2008","Urban Area","","","","","1"
"1 Strongly disagree","2008","Rural Area","","","","","1"
"2 on scale 1-7 ","2008","Urban Area","","","","","2"
"2 on scale 1-7 ","2008","Rural Area","","","","","2"
"3 on scale 1-7 ","2008","Rural Area","","","","","3"
"3 on scale 1-7 ","2008","Urban Area","","","","","3"
"4 on scale 1-7","2008","Urban Area","","","","","4"
"4 on scale 1-7","2008","Rural Area","","","","","4"
"5 on scale 1-7","2008","Rural Area","","","","","5"
"5 on scale 1-7","2008","Urban Area","","","","","5"
"6 on scale 1-7","2008","Rural Area","","","","","6"
"6 on scale 1-7","2008","Urban Area","","","","","6"
"7 Strongly agree","2008","Urban Area","","","","","7"
"7 Strongly agree","2008","Rural Area","","","","","7"
"1 Strongly disagree","2009","Urban Area","","","","","1"
"1 Strongly disagree","2009","Rural Area","","","","","1"
"2 on scale 1-7 ","2009","Rural Area","","","","","2"
"2 on scale 1-7 ","2009","Urban Area","","","","","2"
"3 on scale 1-7 ","2009","Urban Area","","","","","3"
"3 on scale 1-7 ","2009","Rural Area","","","","","3"
"4 on scale 1-7","2009","Rural Area","","","","","4"
"4 on scale 1-7","2009","Urban Area","","","","","4"
"5 on scale 1-7","2009","Rural Area","","","","","5"
"5 on scale 1-7","2009","Urban Area","","","","","5"
"6 on scale 1-7","2009","Rural Area","","","","","6"
"6 on scale 1-7","2009","Urban Area","","","","","6"
"7 Strongly agree","2009","Urban Area","","","","","7"
"7 Strongly agree","2009","Rural Area","","","","","7"
"1 Strongly disagree","2010","Urban Area","69","0.00707218120677764","0.00550712189604111","0.00863724051751418","1"
"1 Strongly disagree","2010","Rural Area","46","0.0105950467498156","0.00792463840826849","0.0132654550913628","1"
"2 on scale 1-7 ","2010","Urban Area","112","0.0119864571486576","0.0099539965328886","0.0140189177644266","2"
"2 on scale 1-7 ","2010","Rural Area","48","0.0103198376745145","0.00768397328530062","0.0129557020637283","2"
"3 on scale 1-7 ","2010","Rural Area","126","0.0223728658005107","0.0185155372705722","0.0262301943304491","3"
"3 on scale 1-7 ","2010","Urban Area","261","0.0262484919398057","0.0232626176348429","0.0292343662447684","3"
"4 on scale 1-7","2010","Rural Area","504","0.0900663392769359","0.0825996974591125","0.0975329810947592","4"
"4 on scale 1-7","2010","Urban Area","986","0.096903994037097","0.0913789840049393","0.102429004069255","4"
"5 on scale 1-7","2010","Rural Area","988","0.168443288793964","0.15868189148613","0.178204686101799","5"
"5 on scale 1-7","2010","Urban Area","2096","0.181918635212872","0.174713666222883","0.18912360420286","5"
"6 on scale 1-7","2010","Urban Area","3637","0.314883051245519","0.306208395082532","0.323557707408505","6"
"6 on scale 1-7","2010","Rural Area","1966","0.334054617166531","0.321752857373583","0.346356376959479","6"
"7 Strongly agree","2010","Urban Area","3852","0.360987189209272","0.352017116800977","0.369957261617566","7"
"7 Strongly agree","2010","Rural Area","1969","0.364148004537728","0.351597644533063","0.376698364542394","7"
"1 Strongly disagree","2011","Urban Area","","","","","1"
"1 Strongly disagree","2011","Rural Area","","","","","1"
"2 on scale 1-7 ","2011","Rural Area","","","","","2"
"2 on scale 1-7 ","2011","Urban Area","","","","","2"
"3 on scale 1-7 ","2011","Urban Area","","","","","3"
"3 on scale 1-7 ","2011","Rural Area","","","","","3"
"4 on scale 1-7","2011","Rural Area","","","","","4"
"4 on scale 1-7","2011","Urban Area","","","","","4"
"5 on scale 1-7","2011","Rural Area","","","","","5"
"5 on scale 1-7","2011","Urban Area","","","","","5"
"6 on scale 1-7","2011","Rural Area","","","","","6"
"6 on scale 1-7","2011","Urban Area","","","","","6"
"7 Strongly agree","2011","Urban Area","","","","","7"
"7 Strongly agree","2011","Rural Area","","","","","7"
"1 Strongly disagree","2012","Urban Area","","","","","1"
"1 Strongly disagree","2012","Rural Area","","","","","1"
"2 on scale 1-7 ","2012","Urban Area","","","","","2"
"2 on scale 1-7 ","2012","Rural Area","","","","","2"
"3 on scale 1-7 ","2012","Rural Area","","","","","3"
"3 on scale 1-7 ","2012","Urban Area","","","","","3"
"4 on scale 1-7","2012","Rural Area","","","","","4"
"4 on scale 1-7","2012","Urban Area","","","","","4"
"5 on scale 1-7","2012","Rural Area","","","","","5"
"5 on scale 1-7","2012","Urban Area","","","","","5"
"6 on scale 1-7","2012","Urban Area","","","","","6"
"6 on scale 1-7","2012","Rural Area","","","","","6"
"7 Strongly agree","2012","Urban Area","","","","","7"
"7 Strongly agree","2012","Rural Area","","","","","7"
"1 Strongly disagree","2013","Urban Area","","","","","1"
"1 Strongly disagree","2013","Rural Area","","","","","1"
"2 on scale 1-7 ","2013","Rural Area","","","","","2"
"2 on scale 1-7 ","2013","Urban Area","","","","","2"
"3 on scale 1-7 ","2013","Rural Area","","","","","3"
"3 on scale 1-7 ","2013","Urban Area","","","","","3"
"4 on scale 1-7","2013","Rural Area","","","","","4"
"4 on scale 1-7","2013","Urban Area","","","","","4"
"5 on scale 1-7","2013","Urban Area","","","","","5"
"5 on scale 1-7","2013","Rural Area","","","","","5"
"6 on scale 1-7","2013","Rural Area","","","","","6"
"6 on scale 1-7","2013","Urban Area","","","","","6"
"7 Strongly agree","2013","Urban Area","","","","","7"
"7 Strongly agree","2013","Rural Area","","","","","7"
"1 Strongly disagree","2014","Urban Area","","","","","1"
"1 Strongly disagree","2014","Rural Area","","","","","1"
"2 on scale 1-7 ","2014","Urban Area","","","","","2"
"2 on scale 1-7 ","2014","Rural Area","","","","","2"
"3 on scale 1-7 ","2014","Rural Area","","","","","3"
"3 on scale 1-7 ","2014","Urban Area","","","","","3"
"4 on scale 1-7","2014","Rural Area","","","","","4"
"4 on scale 1-7","2014","Urban Area","","","","","4"
"5 on scale 1-7","2014","Rural Area","","","","","5"
"5 on scale 1-7","2014","Urban Area","","","","","5"
"6 on scale 1-7","2014","Urban Area","","","","","6"
"6 on scale 1-7","2014","Rural Area","","","","","6"
"7 Strongly agree","2014","Urban Area","","","","","7"
"7 Strongly agree","2014","Rural Area","","","","","7"
"1 Strongly disagree","2015","Urban Area","127","0.00804165858445823","0.0067224526128733","0.00936086455604315","1"
"1 Strongly disagree","2015","Rural Area","70","0.00657269871152744","0.0049156559223528","0.00822974150070208","1"
"2 on scale 1-7 ","2015","Rural Area","92","0.0111991188279038","0.0090411748594567","0.013357062796351","2"
"2 on scale 1-7 ","2015","Urban Area","168","0.00854842208452775","0.007188632190376","0.00990821197867951","2"
"3 on scale 1-7 ","2015","Rural Area","189","0.0201784520574641","0.0172950099790677","0.0230618941358605","3"
"3 on scale 1-7 ","2015","Urban Area","404","0.0221597953522677","0.0199855432746827","0.0243340474298527","3"
"4 on scale 1-7","2015","Rural Area","758","0.0794032001437181","0.0738588895883161","0.0849475106991201","4"
"4 on scale 1-7","2015","Urban Area","1417","0.0826172725776969","0.0785509316982849","0.0866836134571088","4"
"5 on scale 1-7","2015","Urban Area","2908","0.175083561940377","0.169470229777581","0.180696894103174","5"
"5 on scale 1-7","2015","Rural Area","1524","0.166323658801919","0.158687594644156","0.173959722959681","5"
"6 on scale 1-7","2015","Rural Area","3149","0.347718402901256","0.337952211843204","0.357484593959309","6"
"6 on scale 1-7","2015","Urban Area","5970","0.351249915397249","0.344199090909711","0.358300739884788","6"
"7 Strongly agree","2015","Urban Area","6614","0.352299374063423","0.345243738015637","0.359355010111208","7"
"7 Strongly agree","2015","Rural Area","3353","0.368604468556212","0.358711540174964","0.37849739693746","7"
"1 Strongly disagree","2016","Urban Area","13","","","","1"
"1 Strongly disagree","2016","Rural Area","4","","","","1"
"2 on scale 1-7 ","2016","Rural Area","4","","","","2"
"2 on scale 1-7 ","2016","Urban Area","8","","","","2"
"3 on scale 1-7 ","2016","Rural Area","5","","","","3"
"3 on scale 1-7 ","2016","Urban Area","7","","","","3"
"4 on scale 1-7","2016","Urban Area","33","0.0616900927808089","0.0531347962124466","0.0702453893491712","4"
"4 on scale 1-7","2016","Rural Area","19","","","","4"
"5 on scale 1-7","2016","Rural Area","43","0.0432580679287691","0.0324260490846429","0.0540900867728953","5"
"5 on scale 1-7","2016","Urban Area","80","0.0811523165041181","0.0714421555378327","0.0908624774704036","5"
"6 on scale 1-7","2016","Urban Area","283","0.142807555068268","0.130366163309281","0.155248946827254","6"
"6 on scale 1-7","2016","Rural Area","92","0.1121641108976","0.0953616942068701","0.128966527588331","6"
"7 Strongly agree","2016","Urban Area","2614","0.695184204042754","0.678815176158879","0.71155323192663","7"
"7 Strongly agree","2016","Rural Area","1188","0.805176082718816","0.784087615637193","0.826264549800439","7"
"1 Strongly disagree","2017","Urban Area","6","","","","1"
"1 Strongly disagree","2017","Rural Area","4","","","","1"
"2 on scale 1-7 ","2017","Rural Area","1","","","","2"
"2 on scale 1-7 ","2017","Urban Area","4","","","","2"
"3 on scale 1-7 ","2017","Rural Area","3","","","","3"
"3 on scale 1-7 ","2017","Urban Area","10","","","","3"
"4 on scale 1-7","2017","Rural Area","4","","","","4"
"4 on scale 1-7","2017","Urban Area","27","","","","4"
"5 on scale 1-7","2017","Urban Area","69","0.0370186671347237","0.0289202122520947","0.0451171220173526","5"
"5 on scale 1-7","2017","Rural Area","17","","","","5"
"6 on scale 1-7","2017","Rural Area","77","0.100075615715124","0.0790286390640843","0.121122592366164","6"
"6 on scale 1-7","2017","Urban Area","251","0.135442064606315","0.120764409544182","0.150119719668447","6"
"7 Strongly agree","2017","Urban Area","1721","0.804998539825221","0.788004394732724","0.821992684917718","7"
"7 Strongly agree","2017","Rural Area","675","0.869500258935963","0.845875778996239","0.893124738875688","7"
"1 Strongly disagree","2018","Rural Area","1","","","","1"
"1 Strongly disagree","2018","Urban Area","2","","","","1"
"2 on scale 1-7 ","2018","Rural Area","1","","","","2"
"2 on scale 1-7 ","2018","Urban Area","2","","","","2"
"3 on scale 1-7 ","2018","Rural Area","","","","","3"
"3 on scale 1-7 ","2018","Urban Area","2","","","","3"
"4 on scale 1-7","2018","Urban Area","","","","","4"
"4 on scale 1-7","2018","Rural Area","2","","","","4"
"5 on scale 1-7","2018","Rural Area","3","","","","5"
"5 on scale 1-7","2018","Urban Area","9","","","","5"
"6 on scale 1-7","2018","Urban Area","30","0.0769168149794404","0.0447134478684142","0.109120182090467","6"
"6 on scale 1-7","2018","Rural Area","17","","","","6"
"7 Strongly agree","2018","Urban Area","218","0.856361903315046","0.813974803063001","0.89874900356709","7"
"7 Strongly agree","2018","Rural Area","132","0.888413899964727","0.839005758951081","0.937822040978374","7"
"1 Strongly disagree","2019","Rural Area","2","","","","1"
"1 Strongly disagree","2019","Urban Area","2","","","","1"
"2 on scale 1-7 ","2019","Rural Area","2","","","","2"
"2 on scale 1-7 ","2019","Urban Area","2","","","","2"
"3 on scale 1-7 ","2019","Urban Area","1","","","","3"
"3 on scale 1-7 ","2019","Rural Area","","","","","3"
"4 on scale 1-7","2019","Rural Area","4","","","","4"
"4 on scale 1-7","2019","Urban Area","5","","","","4"
"5 on scale 1-7","2019","Urban Area","10","","","","5"
"5 on scale 1-7","2019","Rural Area","7","","","","5"
"6 on scale 1-7","2019","Rural Area","14","","","","6"
"6 on scale 1-7","2019","Urban Area","20","","","","6"
"7 Strongly agree","2019","Urban Area","132","0.771768439960213","0.709047114943875","0.834489764976551","7"
"7 Strongly agree","2019","Rural Area","72","0.769015132457722","0.686819903124097","0.851210361791347","7"
