"plh0206i04","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"6 on scale 1-7","2005","Not Working","Rural Area","866","0.325500751802737","0.307667601739168","0.343333901866306","6"
"6 on scale 1-7","2005","Part Time","Urban Area","1047","0.318047422766348","0.302050777258563","0.334044068274132","6"
"6 on scale 1-7","2005","Not Working","Urban Area","1560","0.291721517192967","0.279367991577654","0.304075042808279","6"
"6 on scale 1-7","2005","Full Time","Urban Area","1873","0.34096624850207","0.328305343175478","0.353627153828662","6"
"6 on scale 1-7","2005","Part Time","Rural Area","558","0.346147448286894","0.322501683072491","0.369793213501298","6"
"6 on scale 1-7","2005","Full Time","Rural Area","904","0.313552340984488","0.295831619518481","0.331273062450495","6"
"7 Strongly agree","2005","Not Working","Rural Area","994","0.378409230012658","0.359950812285652","0.396867647739664","7"
"7 Strongly agree","2005","Not Working","Urban Area","2045","0.402175561083189","0.388849575632093","0.415501546534285","7"
"7 Strongly agree","2005","Part Time","Urban Area","1220","0.383158405548195","0.366459734975998","0.399857076120393","7"
"7 Strongly agree","2005","Part Time","Rural Area","570","0.383618932440275","0.359449995093214","0.407787869787335","7"
"7 Strongly agree","2005","Full Time","Urban Area","1934","0.361802989364484","0.348968792536817","0.37463718619215","7"
"7 Strongly agree","2005","Full Time","Rural Area","992","0.397758169048909","0.379063504605565","0.416452833492253","7"
"1 Strongly disagree","2006","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2006","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2006","Part Time","Rural Area","","","","","1"
"1 Strongly disagree","2006","Not Working","Urban Area","","","","","1"
"1 Strongly disagree","2006","Not Working","Rural Area","","","","","1"
"1 Strongly disagree","2006","Full Time","Urban Area","","","","","1"
"2 on scale 1-7 ","2006","Full Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","Part Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2006","Part Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","Not Working","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","Full Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2006","Not Working","Urban Area","","","","","2"
"3 on scale 1-7 ","2006","Not Working","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","Not Working","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","Part Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","Part Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2006","Full Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2006","Full Time","Urban Area","","","","","3"
"4 on scale 1-7","2006","Full Time","Rural Area","","","","","4"
"4 on scale 1-7","2006","Full Time","Urban Area","","","","","4"
"4 on scale 1-7","2006","Not Working","Rural Area","","","","","4"
"4 on scale 1-7","2006","Not Working","Urban Area","","","","","4"
"4 on scale 1-7","2006","Part Time","Rural Area","","","","","4"
"4 on scale 1-7","2006","Part Time","Urban Area","","","","","4"
"5 on scale 1-7","2006","Not Working","Rural Area","","","","","5"
"5 on scale 1-7","2006","Not Working","Urban Area","","","","","5"
"5 on scale 1-7","2006","Part Time","Urban Area","","","","","5"
"5 on scale 1-7","2006","Part Time","Rural Area","","","","","5"
"5 on scale 1-7","2006","Full Time","Urban Area","","","","","5"
"5 on scale 1-7","2006","Full Time","Rural Area","","","","","5"
"6 on scale 1-7","2006","Not Working","Rural Area","","","","","6"
"6 on scale 1-7","2006","Part Time","Urban Area","","","","","6"
"6 on scale 1-7","2006","Not Working","Urban Area","","","","","6"
"6 on scale 1-7","2006","Part Time","Rural Area","","","","","6"
"6 on scale 1-7","2006","Full Time","Rural Area","","","","","6"
"6 on scale 1-7","2006","Full Time","Urban Area","","","","","6"
"7 Strongly agree","2006","Not Working","Rural Area","","","","","7"
"7 Strongly agree","2006","Part Time","Urban Area","","","","","7"
"7 Strongly agree","2006","Part Time","Rural Area","","","","","7"
"7 Strongly agree","2006","Not Working","Urban Area","","","","","7"
"7 Strongly agree","2006","Full Time","Urban Area","","","","","7"
"7 Strongly agree","2006","Full Time","Rural Area","","","","","7"
"1 Strongly disagree","2007","Full Time","Urban Area","","","","","1"
"1 Strongly disagree","2007","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2007","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2007","Part Time","Rural Area","","","","","1"
"1 Strongly disagree","2007","Not Working","Urban Area","","","","","1"
"1 Strongly disagree","2007","Not Working","Rural Area","","","","","1"
"2 on scale 1-7 ","2007","Not Working","Rural Area","","","","","2"
"2 on scale 1-7 ","2007","Not Working","Urban Area","","","","","2"
"2 on scale 1-7 ","2007","Part Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2007","Full Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2007","Full Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2007","Part Time","Rural Area","","","","","2"
"3 on scale 1-7 ","2007","Part Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2007","Full Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2007","Not Working","Rural Area","","","","","3"
"3 on scale 1-7 ","2007","Full Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2007","Part Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2007","Not Working","Urban Area","","","","","3"
"4 on scale 1-7","2007","Full Time","Urban Area","","","","","4"
"4 on scale 1-7","2007","Full Time","Rural Area","","","","","4"
"4 on scale 1-7","2007","Not Working","Rural Area","","","","","4"
"4 on scale 1-7","2007","Not Working","Urban Area","","","","","4"
"4 on scale 1-7","2007","Part Time","Urban Area","","","","","4"
"4 on scale 1-7","2007","Part Time","Rural Area","","","","","4"
"5 on scale 1-7","2007","Not Working","Rural Area","","","","","5"
"5 on scale 1-7","2007","Not Working","Urban Area","","","","","5"
"5 on scale 1-7","2007","Part Time","Urban Area","","","","","5"
"5 on scale 1-7","2007","Part Time","Rural Area","","","","","5"
"5 on scale 1-7","2007","Full Time","Urban Area","","","","","5"
"5 on scale 1-7","2007","Full Time","Rural Area","","","","","5"
"6 on scale 1-7","2007","Not Working","Rural Area","","","","","6"
"6 on scale 1-7","2007","Not Working","Urban Area","","","","","6"
"6 on scale 1-7","2007","Part Time","Rural Area","","","","","6"
"6 on scale 1-7","2007","Full Time","Urban Area","","","","","6"
"6 on scale 1-7","2007","Part Time","Urban Area","","","","","6"
"6 on scale 1-7","2007","Full Time","Rural Area","","","","","6"
"7 Strongly agree","2007","Not Working","Rural Area","","","","","7"
"7 Strongly agree","2007","Full Time","Urban Area","","","","","7"
"7 Strongly agree","2007","Full Time","Rural Area","","","","","7"
"7 Strongly agree","2007","Part Time","Urban Area","","","","","7"
"7 Strongly agree","2007","Part Time","Rural Area","","","","","7"
"7 Strongly agree","2007","Not Working","Urban Area","","","","","7"
"1 Strongly disagree","2008","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2008","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2008","Part Time","Rural Area","","","","","1"
"1 Strongly disagree","2008","Not Working","Urban Area","","","","","1"
"1 Strongly disagree","2008","Not Working","Rural Area","","","","","1"
"1 Strongly disagree","2008","Full Time","Urban Area","","","","","1"
"2 on scale 1-7 ","2008","Part Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2008","Not Working","Rural Area","","","","","2"
"2 on scale 1-7 ","2008","Full Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2008","Not Working","Urban Area","","","","","2"
"2 on scale 1-7 ","2008","Part Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2008","Full Time","Urban Area","","","","","2"
"3 on scale 1-7 ","2008","Part Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2008","Full Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2008","Not Working","Rural Area","","","","","3"
"3 on scale 1-7 ","2008","Full Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2008","Part Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2008","Not Working","Urban Area","","","","","3"
"4 on scale 1-7","2008","Not Working","Rural Area","","","","","4"
"4 on scale 1-7","2008","Part Time","Urban Area","","","","","4"
"4 on scale 1-7","2008","Not Working","Urban Area","","","","","4"
"4 on scale 1-7","2008","Part Time","Rural Area","","","","","4"
"4 on scale 1-7","2008","Full Time","Rural Area","","","","","4"
"4 on scale 1-7","2008","Full Time","Urban Area","","","","","4"
"5 on scale 1-7","2008","Not Working","Rural Area","","","","","5"
"5 on scale 1-7","2008","Not Working","Urban Area","","","","","5"
"5 on scale 1-7","2008","Part Time","Urban Area","","","","","5"
"5 on scale 1-7","2008","Part Time","Rural Area","","","","","5"
"5 on scale 1-7","2008","Full Time","Rural Area","","","","","5"
"5 on scale 1-7","2008","Full Time","Urban Area","","","","","5"
"6 on scale 1-7","2008","Not Working","Rural Area","","","","","6"
"6 on scale 1-7","2008","Not Working","Urban Area","","","","","6"
"6 on scale 1-7","2008","Part Time","Urban Area","","","","","6"
"6 on scale 1-7","2008","Part Time","Rural Area","","","","","6"
"6 on scale 1-7","2008","Full Time","Rural Area","","","","","6"
"6 on scale 1-7","2008","Full Time","Urban Area","","","","","6"
"7 Strongly agree","2008","Not Working","Rural Area","","","","","7"
"7 Strongly agree","2008","Full Time","Urban Area","","","","","7"
"7 Strongly agree","2008","Part Time","Urban Area","","","","","7"
"7 Strongly agree","2008","Part Time","Rural Area","","","","","7"
"7 Strongly agree","2008","Not Working","Urban Area","","","","","7"
"7 Strongly agree","2008","Full Time","Rural Area","","","","","7"
"1 Strongly disagree","2009","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2009","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2009","Part Time","Rural Area","","","","","1"
"1 Strongly disagree","2009","Not Working","Urban Area","","","","","1"
"1 Strongly disagree","2009","Not Working","Rural Area","","","","","1"
"1 Strongly disagree","2009","Full Time","Urban Area","","","","","1"
"2 on scale 1-7 ","2009","Not Working","Rural Area","","","","","2"
"2 on scale 1-7 ","2009","Part Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2009","Part Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2009","Not Working","Urban Area","","","","","2"
"2 on scale 1-7 ","2009","Full Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2009","Full Time","Rural Area","","","","","2"
"3 on scale 1-7 ","2009","Part Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2009","Full Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2009","Full Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2009","Not Working","Rural Area","","","","","3"
"3 on scale 1-7 ","2009","Not Working","Urban Area","","","","","3"
"3 on scale 1-7 ","2009","Part Time","Rural Area","","","","","3"
"4 on scale 1-7","2009","Not Working","Rural Area","","","","","4"
"4 on scale 1-7","2009","Part Time","Urban Area","","","","","4"
"4 on scale 1-7","2009","Not Working","Urban Area","","","","","4"
"4 on scale 1-7","2009","Full Time","Rural Area","","","","","4"
"4 on scale 1-7","2009","Part Time","Rural Area","","","","","4"
"4 on scale 1-7","2009","Full Time","Urban Area","","","","","4"
"5 on scale 1-7","2009","Not Working","Rural Area","","","","","5"
"5 on scale 1-7","2009","Part Time","Urban Area","","","","","5"
"5 on scale 1-7","2009","Not Working","Urban Area","","","","","5"
"5 on scale 1-7","2009","Full Time","Rural Area","","","","","5"
"5 on scale 1-7","2009","Part Time","Rural Area","","","","","5"
"5 on scale 1-7","2009","Full Time","Urban Area","","","","","5"
"6 on scale 1-7","2009","Not Working","Rural Area","","","","","6"
"6 on scale 1-7","2009","Not Working","Urban Area","","","","","6"
"6 on scale 1-7","2009","Part Time","Urban Area","","","","","6"
"6 on scale 1-7","2009","Part Time","Rural Area","","","","","6"
"6 on scale 1-7","2009","Full Time","Rural Area","","","","","6"
"6 on scale 1-7","2009","Full Time","Urban Area","","","","","6"
"7 Strongly agree","2009","Not Working","Rural Area","","","","","7"
"7 Strongly agree","2009","Full Time","Urban Area","","","","","7"
"7 Strongly agree","2009","Full Time","Rural Area","","","","","7"
"7 Strongly agree","2009","Part Time","Urban Area","","","","","7"
"7 Strongly agree","2009","Part Time","Rural Area","","","","","7"
"7 Strongly agree","2009","Not Working","Urban Area","","","","","7"
"1 Strongly disagree","2010","Full Time","Rural Area","13","","","","1"
"1 Strongly disagree","2010","Part Time","Urban Area","13","","","","1"
"1 Strongly disagree","2010","Part Time","Rural Area","12","","","","1"
"1 Strongly disagree","2010","Not Working","Urban Area","43","0.0120844869469441","0.00876818493367645","0.0154007889602118","1"
"1 Strongly disagree","2010","Not Working","Rural Area","21","","","","1"
"1 Strongly disagree","2010","Full Time","Urban Area","13","","","","1"
"2 on scale 1-7 ","2010","Part Time","Urban Area","24","","","","2"
"2 on scale 1-7 ","2010","Part Time","Rural Area","9","","","","2"
"2 on scale 1-7 ","2010","Full Time","Rural Area","13","","","","2"
"2 on scale 1-7 ","2010","Not Working","Rural Area","26","","","","2"
"2 on scale 1-7 ","2010","Not Working","Urban Area","53","0.0138367854684281","0.0102913297414937","0.0173822411953624","2"
"2 on scale 1-7 ","2010","Full Time","Urban Area","35","0.0122746628827985","0.00894899899838424","0.0156003267672129","2"
"3 on scale 1-7 ","2010","Full Time","Rural Area","42","0.0215264725443782","0.0155001624856335","0.0275527826031229","3"
"3 on scale 1-7 ","2010","Part Time","Urban Area","66","0.0278976534646238","0.0216062870162762","0.0341890199129713","3"
"3 on scale 1-7 ","2010","Full Time","Urban Area","97","0.0320855907146219","0.0267629277448589","0.0374082536843849","3"
"3 on scale 1-7 ","2010","Not Working","Rural Area","44","0.0205969201285313","0.0145989110789917","0.026594929178071","3"
"3 on scale 1-7 ","2010","Not Working","Urban Area","98","0.0196219773092658","0.0154123055721205","0.0238316490464112","3"
"3 on scale 1-7 ","2010","Part Time","Rural Area","40","0.0270204390733129","0.018085308820817","0.0359555693258089","3"
"4 on scale 1-7","2010","Not Working","Rural Area","177","0.0850300210838757","0.0732508478949436","0.0968091942728079","4"
"4 on scale 1-7","2010","Not Working","Urban Area","393","0.0933338902330029","0.0845046478616815","0.102163132604324","4"
"4 on scale 1-7","2010","Part Time","Urban Area","237","0.107740960546324","0.0958957973564542","0.119586123736193","4"
"4 on scale 1-7","2010","Full Time","Rural Area","212","0.0916375684884955","0.079657567375564","0.103617569601427","4"
"4 on scale 1-7","2010","Part Time","Rural Area","115","0.0960514687458485","0.0798136875471783","0.112289249944519","4"
"4 on scale 1-7","2010","Full Time","Urban Area","356","0.094369733406106","0.0855400059495167","0.103199460862695","4"
"5 on scale 1-7","2010","Not Working","Rural Area","377","0.159270476366063","0.143817183675014","0.174723769057113","5"
"5 on scale 1-7","2010","Part Time","Urban Area","509","0.170521404440877","0.156153375608081","0.184889433273673","5"
"5 on scale 1-7","2010","Not Working","Urban Area","774","0.189114884419291","0.177229244097235","0.201000524741348","5"
"5 on scale 1-7","2010","Part Time","Rural Area","213","0.168220008546952","0.147606786183762","0.188833230910141","5"
"5 on scale 1-7","2010","Full Time","Rural Area","398","0.177445577618717","0.161581843999908","0.193309311237526","5"
"5 on scale 1-7","2010","Full Time","Urban Area","813","0.181063396600089","0.169432962005707","0.19269383119447","5"
"6 on scale 1-7","2010","Not Working","Rural Area","701","0.310847208061845","0.291301271404579","0.330393144719111","6"
"6 on scale 1-7","2010","Part Time","Urban Area","905","0.331893030868924","0.313903194376805","0.349882867361043","6"
"6 on scale 1-7","2010","Not Working","Urban Area","1233","0.276696859083534","0.263118654320056","0.290275063847013","6"
"6 on scale 1-7","2010","Full Time","Rural Area","811","0.348776095313135","0.328986859650565","0.368565330975706","6"
"6 on scale 1-7","2010","Part Time","Rural Area","454","0.348081198531851","0.321830560456702","0.374331836607","6"
"6 on scale 1-7","2010","Full Time","Urban Area","1499","0.344235079927429","0.329884907366636","0.358585252488222","6"
"7 Strongly agree","2010","Not Working","Rural Area","808","0.399414300775166","0.378730776508603","0.420097825041728","7"
"7 Strongly agree","2010","Full Time","Urban Area","1398","0.331925282161984","0.317702382202435","0.346148182121532","7"
"7 Strongly agree","2010","Full Time","Rural Area","739","0.34527608915571","0.32553355715425","0.36501862115717","7"
"7 Strongly agree","2010","Part Time","Urban Area","878","0.350390020543509","0.332163349442994","0.368616691644025","7"
"7 Strongly agree","2010","Part Time","Rural Area","422","0.336494173880652","0.310455793134004","0.362532554627299","7"
"7 Strongly agree","2010","Not Working","Urban Area","1576","0.395311116539533","0.380471742917947","0.410150490161119","7"
"1 Strongly disagree","2011","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2011","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2011","Part Time","Rural Area","","","","","1"
"1 Strongly disagree","2011","Not Working","Urban Area","","","","","1"
"1 Strongly disagree","2011","Not Working","Rural Area","","","","","1"
"1 Strongly disagree","2011","Full Time","Urban Area","","","","","1"
"2 on scale 1-7 ","2011","Not Working","Rural Area","","","","","2"
"2 on scale 1-7 ","2011","Part Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2011","Part Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2011","Full Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2011","Full Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2011","Not Working","Urban Area","","","","","2"
"3 on scale 1-7 ","2011","Not Working","Rural Area","","","","","3"
"3 on scale 1-7 ","2011","Not Working","Urban Area","","","","","3"
"3 on scale 1-7 ","2011","Full Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2011","Part Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2011","Part Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2011","Full Time","Urban Area","","","","","3"
"4 on scale 1-7","2011","Not Working","Urban Area","","","","","4"
"4 on scale 1-7","2011","Not Working","Rural Area","","","","","4"
"4 on scale 1-7","2011","Part Time","Urban Area","","","","","4"
"4 on scale 1-7","2011","Part Time","Rural Area","","","","","4"
"4 on scale 1-7","2011","Full Time","Rural Area","","","","","4"
"4 on scale 1-7","2011","Full Time","Urban Area","","","","","4"
"5 on scale 1-7","2011","Not Working","Rural Area","","","","","5"
"5 on scale 1-7","2011","Not Working","Urban Area","","","","","5"
"5 on scale 1-7","2011","Part Time","Urban Area","","","","","5"
"5 on scale 1-7","2011","Part Time","Rural Area","","","","","5"
"5 on scale 1-7","2011","Full Time","Rural Area","","","","","5"
"5 on scale 1-7","2011","Full Time","Urban Area","","","","","5"
"6 on scale 1-7","2011","Full Time","Rural Area","","","","","6"
"6 on scale 1-7","2011","Not Working","Rural Area","","","","","6"
"6 on scale 1-7","2011","Part Time","Urban Area","","","","","6"
"6 on scale 1-7","2011","Full Time","Urban Area","","","","","6"
"6 on scale 1-7","2011","Part Time","Rural Area","","","","","6"
"6 on scale 1-7","2011","Not Working","Urban Area","","","","","6"
"7 Strongly agree","2011","Full Time","Rural Area","","","","","7"
"7 Strongly agree","2011","Part Time","Urban Area","","","","","7"
"7 Strongly agree","2011","Not Working","Rural Area","","","","","7"
"7 Strongly agree","2011","Full Time","Urban Area","","","","","7"
"7 Strongly agree","2011","Part Time","Rural Area","","","","","7"
"7 Strongly agree","2011","Not Working","Urban Area","","","","","7"
"1 Strongly disagree","2012","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2012","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2012","Not Working","Urban Area","","","","","1"
"1 Strongly disagree","2012","Not Working","Rural Area","","","","","1"
"1 Strongly disagree","2012","Part Time","Rural Area","","","","","1"
"1 Strongly disagree","2012","Full Time","Urban Area","","","","","1"
"2 on scale 1-7 ","2012","Part Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2012","Part Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2012","Not Working","Rural Area","","","","","2"
"2 on scale 1-7 ","2012","Full Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2012","Full Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2012","Not Working","Urban Area","","","","","2"
"3 on scale 1-7 ","2012","Not Working","Rural Area","","","","","3"
"3 on scale 1-7 ","2012","Not Working","Urban Area","","","","","3"
"3 on scale 1-7 ","2012","Part Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2012","Part Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2012","Full Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2012","Full Time","Urban Area","","","","","3"
"4 on scale 1-7","2012","Not Working","Rural Area","","","","","4"
"4 on scale 1-7","2012","Not Working","Urban Area","","","","","4"
"4 on scale 1-7","2012","Part Time","Urban Area","","","","","4"
"4 on scale 1-7","2012","Part Time","Rural Area","","","","","4"
"4 on scale 1-7","2012","Full Time","Rural Area","","","","","4"
"4 on scale 1-7","2012","Full Time","Urban Area","","","","","4"
"5 on scale 1-7","2012","Not Working","Rural Area","","","","","5"
"5 on scale 1-7","2012","Not Working","Urban Area","","","","","5"
"5 on scale 1-7","2012","Part Time","Urban Area","","","","","5"
"5 on scale 1-7","2012","Part Time","Rural Area","","","","","5"
"5 on scale 1-7","2012","Full Time","Rural Area","","","","","5"
"5 on scale 1-7","2012","Full Time","Urban Area","","","","","5"
"6 on scale 1-7","2012","Full Time","Rural Area","","","","","6"
"6 on scale 1-7","2012","Not Working","Rural Area","","","","","6"
"6 on scale 1-7","2012","Not Working","Urban Area","","","","","6"
"6 on scale 1-7","2012","Full Time","Urban Area","","","","","6"
"6 on scale 1-7","2012","Part Time","Urban Area","","","","","6"
"6 on scale 1-7","2012","Part Time","Rural Area","","","","","6"
"7 Strongly agree","2012","Not Working","Rural Area","","","","","7"
"7 Strongly agree","2012","Part Time","Urban Area","","","","","7"
"7 Strongly agree","2012","Full Time","Urban Area","","","","","7"
"7 Strongly agree","2012","Full Time","Rural Area","","","","","7"
"7 Strongly agree","2012","Part Time","Rural Area","","","","","7"
"7 Strongly agree","2012","Not Working","Urban Area","","","","","7"
"1 Strongly disagree","2013","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2013","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2013","Not Working","Rural Area","","","","","1"
"1 Strongly disagree","2013","Full Time","Urban Area","","","","","1"
"1 Strongly disagree","2013","Part Time","Rural Area","","","","","1"
"1 Strongly disagree","2013","Not Working","Urban Area","","","","","1"
"2 on scale 1-7 ","2013","Full Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2013","Part Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2013","Not Working","Rural Area","","","","","2"
"2 on scale 1-7 ","2013","Part Time","Rural Area","","","","","2"
"2 on scale 1-7 ","2013","Full Time","Urban Area","","","","","2"
"2 on scale 1-7 ","2013","Not Working","Urban Area","","","","","2"
"3 on scale 1-7 ","2013","Not Working","Rural Area","","","","","3"
"3 on scale 1-7 ","2013","Not Working","Urban Area","","","","","3"
"3 on scale 1-7 ","2013","Part Time","Urban Area","","","","","3"
"3 on scale 1-7 ","2013","Part Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2013","Full Time","Rural Area","","","","","3"
"3 on scale 1-7 ","2013","Full Time","Urban Area","","","","","3"
"4 on scale 1-7","2013","Not Working","Rural Area","","","","","4"
"4 on scale 1-7","2013","Not Working","Urban Area","","","","","4"
"4 on scale 1-7","2013","Part Time","Urban Area","","","","","4"
"4 on scale 1-7","2013","Part Time","Rural Area","","","","","4"
"4 on scale 1-7","2013","Full Time","Urban Area","","","","","4"
"4 on scale 1-7","2013","Full Time","Rural Area","","","","","4"
"5 on scale 1-7","2013","Not Working","Rural Area","","","","","5"
"5 on scale 1-7","2013","Part Time","Urban Area","","","","","5"
"5 on scale 1-7","2013","Part Time","Rural Area","","","","","5"
"5 on scale 1-7","2013","Not Working","Urban Area","","","","","5"
"5 on scale 1-7","2013","Full Time","Rural Area","","","","","5"
"5 on scale 1-7","2013","Full Time","Urban Area","","","","","5"
"6 on scale 1-7","2013","Full Time","Rural Area","","","","","6"
"6 on scale 1-7","2013","Not Working","Rural Area","","","","","6"
"6 on scale 1-7","2013","Not Working","Urban Area","","","","","6"
"6 on scale 1-7","2013","Part Time","Urban Area","","","","","6"
"6 on scale 1-7","2013","Part Time","Rural Area","","","","","6"
"6 on scale 1-7","2013","Full Time","Urban Area","","","","","6"
"7 Strongly agree","2013","Not Working","Rural Area","","","","","7"
"7 Strongly agree","2013","Full Time","Urban Area","","","","","7"
"7 Strongly agree","2013","Full Time","Rural Area","","","","","7"
"7 Strongly agree","2013","Part Time","Urban Area","","","","","7"
"7 Strongly agree","2013","Part Time","Rural Area","","","","","7"
"7 Strongly agree","2013","Not Working","Urban Area","","","","","7"
"1 Strongly disagree","2014","Full Time","Rural Area","","","","","1"
"1 Strongly disagree","2014","Part Time","Urban Area","","","","","1"
"1 Strongly disagree","2014","Part Time","Rural Area","","","","","1"
