"plh0206i04","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"2 on scale 1-7 ","2006","Part Time","no migration background","","","",""
"2 on scale 1-7 ","2006","Part Time","direct migration background","","","",""
"2 on scale 1-7 ","2006","Part Time","indirect migration background","","","",""
"2 on scale 1-7 ","2006","Not Working","no migration background","","","",""
"2 on scale 1-7 ","2006","Not Working","direct migration background","","","",""
"2 on scale 1-7 ","2006","Not Working","indirect migration background","","","",""
"3 on scale 1-7 ","2006","Full Time","no migration background","","","",""
"3 on scale 1-7 ","2006","Full Time","direct migration background","","","",""
"3 on scale 1-7 ","2006","Full Time","indirect migration background","","","",""
"3 on scale 1-7 ","2006","Part Time","no migration background","","","",""
"3 on scale 1-7 ","2006","Part Time","direct migration background","","","",""
"3 on scale 1-7 ","2006","Part Time","indirect migration background","","","",""
"3 on scale 1-7 ","2006","Not Working","no migration background","","","",""
"3 on scale 1-7 ","2006","Not Working","direct migration background","","","",""
"3 on scale 1-7 ","2006","Not Working","indirect migration background","","","",""
"4 on scale 1-7","2006","Full Time","no migration background","","","",""
"4 on scale 1-7","2006","Full Time","direct migration background","","","",""
"4 on scale 1-7","2006","Full Time","indirect migration background","","","",""
"4 on scale 1-7","2006","Part Time","no migration background","","","",""
"4 on scale 1-7","2006","Part Time","direct migration background","","","",""
"4 on scale 1-7","2006","Part Time","indirect migration background","","","",""
"4 on scale 1-7","2006","Not Working","no migration background","","","",""
"4 on scale 1-7","2006","Not Working","direct migration background","","","",""
"4 on scale 1-7","2006","Not Working","indirect migration background","","","",""
"5 on scale 1-7","2006","Full Time","no migration background","","","",""
"5 on scale 1-7","2006","Full Time","direct migration background","","","",""
"5 on scale 1-7","2006","Full Time","indirect migration background","","","",""
"5 on scale 1-7","2006","Part Time","no migration background","","","",""
"5 on scale 1-7","2006","Part Time","direct migration background","","","",""
"5 on scale 1-7","2006","Part Time","indirect migration background","","","",""
"5 on scale 1-7","2006","Not Working","no migration background","","","",""
"5 on scale 1-7","2006","Not Working","direct migration background","","","",""
"5 on scale 1-7","2006","Not Working","indirect migration background","","","",""
"6 on scale 1-7","2006","Full Time","no migration background","","","",""
"6 on scale 1-7","2006","Full Time","direct migration background","","","",""
"6 on scale 1-7","2006","Full Time","indirect migration background","","","",""
"6 on scale 1-7","2006","Part Time","no migration background","","","",""
"6 on scale 1-7","2006","Part Time","direct migration background","","","",""
"6 on scale 1-7","2006","Part Time","indirect migration background","","","",""
"6 on scale 1-7","2006","Not Working","no migration background","","","",""
"6 on scale 1-7","2006","Not Working","direct migration background","","","",""
"6 on scale 1-7","2006","Not Working","indirect migration background","","","",""
"7 Strongly agree","2006","Full Time","no migration background","","","",""
"7 Strongly agree","2006","Full Time","direct migration background","","","",""
"7 Strongly agree","2006","Full Time","indirect migration background","","","",""
"7 Strongly agree","2006","Part Time","no migration background","","","",""
"7 Strongly agree","2006","Part Time","direct migration background","","","",""
"7 Strongly agree","2006","Part Time","indirect migration background","","","",""
"7 Strongly agree","2006","Not Working","no migration background","","","",""
"7 Strongly agree","2006","Not Working","direct migration background","","","",""
"7 Strongly agree","2006","Not Working","indirect migration background","","","",""
"1 Strongly disagree","2007","Full Time","no migration background","","","",""
"1 Strongly disagree","2007","Full Time","direct migration background","","","",""
"1 Strongly disagree","2007","Full Time","indirect migration background","","","",""
"1 Strongly disagree","2007","Part Time","no migration background","","","",""
"1 Strongly disagree","2007","Part Time","direct migration background","","","",""
"1 Strongly disagree","2007","Part Time","indirect migration background","","","",""
"1 Strongly disagree","2007","Not Working","no migration background","","","",""
"1 Strongly disagree","2007","Not Working","direct migration background","","","",""
"1 Strongly disagree","2007","Not Working","indirect migration background","","","",""
"2 on scale 1-7 ","2007","Full Time","no migration background","","","",""
"2 on scale 1-7 ","2007","Full Time","direct migration background","","","",""
"2 on scale 1-7 ","2007","Full Time","indirect migration background","","","",""
"2 on scale 1-7 ","2007","Part Time","no migration background","","","",""
"2 on scale 1-7 ","2007","Part Time","direct migration background","","","",""
"2 on scale 1-7 ","2007","Part Time","indirect migration background","","","",""
"2 on scale 1-7 ","2007","Not Working","no migration background","","","",""
"2 on scale 1-7 ","2007","Not Working","direct migration background","","","",""
"2 on scale 1-7 ","2007","Not Working","indirect migration background","","","",""
"3 on scale 1-7 ","2007","Full Time","no migration background","","","",""
"3 on scale 1-7 ","2007","Full Time","direct migration background","","","",""
"3 on scale 1-7 ","2007","Full Time","indirect migration background","","","",""
"3 on scale 1-7 ","2007","Part Time","no migration background","","","",""
"3 on scale 1-7 ","2007","Part Time","direct migration background","","","",""
"3 on scale 1-7 ","2007","Part Time","indirect migration background","","","",""
"3 on scale 1-7 ","2007","Not Working","no migration background","","","",""
"3 on scale 1-7 ","2007","Not Working","direct migration background","","","",""
"3 on scale 1-7 ","2007","Not Working","indirect migration background","","","",""
"4 on scale 1-7","2007","Full Time","no migration background","","","",""
"4 on scale 1-7","2007","Full Time","direct migration background","","","",""
"4 on scale 1-7","2007","Full Time","indirect migration background","","","",""
"4 on scale 1-7","2007","Part Time","no migration background","","","",""
"4 on scale 1-7","2007","Part Time","direct migration background","","","",""
"4 on scale 1-7","2007","Part Time","indirect migration background","","","",""
"4 on scale 1-7","2007","Not Working","no migration background","","","",""
"4 on scale 1-7","2007","Not Working","direct migration background","","","",""
"4 on scale 1-7","2007","Not Working","indirect migration background","","","",""
"5 on scale 1-7","2007","Full Time","no migration background","","","",""
"5 on scale 1-7","2007","Full Time","direct migration background","","","",""
"5 on scale 1-7","2007","Full Time","indirect migration background","","","",""
"5 on scale 1-7","2007","Part Time","no migration background","","","",""
"5 on scale 1-7","2007","Part Time","direct migration background","","","",""
"5 on scale 1-7","2007","Part Time","indirect migration background","","","",""
"5 on scale 1-7","2007","Not Working","no migration background","","","",""
"5 on scale 1-7","2007","Not Working","direct migration background","","","",""
"5 on scale 1-7","2007","Not Working","indirect migration background","","","",""
"6 on scale 1-7","2007","Full Time","no migration background","","","",""
"6 on scale 1-7","2007","Full Time","direct migration background","","","",""
"6 on scale 1-7","2007","Full Time","indirect migration background","","","",""
"6 on scale 1-7","2007","Part Time","no migration background","","","",""
"6 on scale 1-7","2007","Part Time","direct migration background","","","",""
"6 on scale 1-7","2007","Part Time","indirect migration background","","","",""
"6 on scale 1-7","2007","Not Working","no migration background","","","",""
"6 on scale 1-7","2007","Not Working","direct migration background","","","",""
"6 on scale 1-7","2007","Not Working","indirect migration background","","","",""
"7 Strongly agree","2007","Full Time","no migration background","","","",""
"7 Strongly agree","2007","Full Time","direct migration background","","","",""
"7 Strongly agree","2007","Full Time","indirect migration background","","","",""
"7 Strongly agree","2007","Part Time","no migration background","","","",""
"7 Strongly agree","2007","Part Time","direct migration background","","","",""
"7 Strongly agree","2007","Part Time","indirect migration background","","","",""
"7 Strongly agree","2007","Not Working","no migration background","","","",""
"7 Strongly agree","2007","Not Working","direct migration background","","","",""
"7 Strongly agree","2007","Not Working","indirect migration background","","","",""
"1 Strongly disagree","2008","Full Time","no migration background","","","",""
"1 Strongly disagree","2008","Full Time","direct migration background","","","",""
"1 Strongly disagree","2008","Full Time","indirect migration background","","","",""
"1 Strongly disagree","2008","Part Time","no migration background","","","",""
"1 Strongly disagree","2008","Part Time","direct migration background","","","",""
"1 Strongly disagree","2008","Part Time","indirect migration background","","","",""
"1 Strongly disagree","2008","Not Working","no migration background","","","",""
"1 Strongly disagree","2008","Not Working","direct migration background","","","",""
"1 Strongly disagree","2008","Not Working","indirect migration background","","","",""
"2 on scale 1-7 ","2008","Full Time","no migration background","","","",""
"2 on scale 1-7 ","2008","Full Time","direct migration background","","","",""
"2 on scale 1-7 ","2008","Full Time","indirect migration background","","","",""
"2 on scale 1-7 ","2008","Part Time","no migration background","","","",""
"2 on scale 1-7 ","2008","Part Time","direct migration background","","","",""
"2 on scale 1-7 ","2008","Part Time","indirect migration background","","","",""
"2 on scale 1-7 ","2008","Not Working","no migration background","","","",""
"2 on scale 1-7 ","2008","Not Working","direct migration background","","","",""
"2 on scale 1-7 ","2008","Not Working","indirect migration background","","","",""
"3 on scale 1-7 ","2008","Full Time","no migration background","","","",""
"3 on scale 1-7 ","2008","Full Time","direct migration background","","","",""
"3 on scale 1-7 ","2008","Full Time","indirect migration background","","","",""
"3 on scale 1-7 ","2008","Part Time","no migration background","","","",""
"3 on scale 1-7 ","2008","Part Time","direct migration background","","","",""
"3 on scale 1-7 ","2008","Part Time","indirect migration background","","","",""
"3 on scale 1-7 ","2008","Not Working","no migration background","","","",""
"3 on scale 1-7 ","2008","Not Working","direct migration background","","","",""
"3 on scale 1-7 ","2008","Not Working","indirect migration background","","","",""
"4 on scale 1-7","2008","Full Time","no migration background","","","",""
"4 on scale 1-7","2008","Full Time","direct migration background","","","",""
"4 on scale 1-7","2008","Full Time","indirect migration background","","","",""
"4 on scale 1-7","2008","Part Time","no migration background","","","",""
"4 on scale 1-7","2008","Part Time","direct migration background","","","",""
"4 on scale 1-7","2008","Part Time","indirect migration background","","","",""
"4 on scale 1-7","2008","Not Working","no migration background","","","",""
"4 on scale 1-7","2008","Not Working","direct migration background","","","",""
"4 on scale 1-7","2008","Not Working","indirect migration background","","","",""
"5 on scale 1-7","2008","Full Time","no migration background","","","",""
"5 on scale 1-7","2008","Full Time","direct migration background","","","",""
"5 on scale 1-7","2008","Full Time","indirect migration background","","","",""
"5 on scale 1-7","2008","Part Time","no migration background","","","",""
"5 on scale 1-7","2008","Part Time","direct migration background","","","",""
"5 on scale 1-7","2008","Part Time","indirect migration background","","","",""
"5 on scale 1-7","2008","Not Working","no migration background","","","",""
"5 on scale 1-7","2008","Not Working","direct migration background","","","",""
"5 on scale 1-7","2008","Not Working","indirect migration background","","","",""
"6 on scale 1-7","2008","Full Time","no migration background","","","",""
"6 on scale 1-7","2008","Full Time","direct migration background","","","",""
"6 on scale 1-7","2008","Full Time","indirect migration background","","","",""
"6 on scale 1-7","2008","Part Time","no migration background","","","",""
"6 on scale 1-7","2008","Part Time","direct migration background","","","",""
"6 on scale 1-7","2008","Part Time","indirect migration background","","","",""
"6 on scale 1-7","2008","Not Working","no migration background","","","",""
"6 on scale 1-7","2008","Not Working","direct migration background","","","",""
"6 on scale 1-7","2008","Not Working","indirect migration background","","","",""
"7 Strongly agree","2008","Full Time","no migration background","","","",""
"7 Strongly agree","2008","Full Time","direct migration background","","","",""
"7 Strongly agree","2008","Full Time","indirect migration background","","","",""
"7 Strongly agree","2008","Part Time","no migration background","","","",""
"7 Strongly agree","2008","Part Time","direct migration background","","","",""
"7 Strongly agree","2008","Part Time","indirect migration background","","","",""
"7 Strongly agree","2008","Not Working","no migration background","","","",""
"7 Strongly agree","2008","Not Working","direct migration background","","","",""
"7 Strongly agree","2008","Not Working","indirect migration background","","","",""
"1 Strongly disagree","2009","Full Time","no migration background","","","",""
"1 Strongly disagree","2009","Full Time","direct migration background","","","",""
"1 Strongly disagree","2009","Full Time","indirect migration background","","","",""
"1 Strongly disagree","2009","Part Time","no migration background","","","",""
"1 Strongly disagree","2009","Part Time","direct migration background","","","",""
"1 Strongly disagree","2009","Part Time","indirect migration background","","","",""
"1 Strongly disagree","2009","Not Working","no migration background","","","",""
"1 Strongly disagree","2009","Not Working","direct migration background","","","",""
"1 Strongly disagree","2009","Not Working","indirect migration background","","","",""
"2 on scale 1-7 ","2009","Full Time","no migration background","","","",""
"2 on scale 1-7 ","2009","Full Time","direct migration background","","","",""
"2 on scale 1-7 ","2009","Full Time","indirect migration background","","","",""
"2 on scale 1-7 ","2009","Part Time","no migration background","","","",""
"2 on scale 1-7 ","2009","Part Time","direct migration background","","","",""
"2 on scale 1-7 ","2009","Part Time","indirect migration background","","","",""
"2 on scale 1-7 ","2009","Not Working","no migration background","","","",""
"2 on scale 1-7 ","2009","Not Working","direct migration background","","","",""
"2 on scale 1-7 ","2009","Not Working","indirect migration background","","","",""
"3 on scale 1-7 ","2009","Full Time","no migration background","","","",""
"3 on scale 1-7 ","2009","Full Time","direct migration background","","","",""
"3 on scale 1-7 ","2009","Full Time","indirect migration background","","","",""
"3 on scale 1-7 ","2009","Part Time","no migration background","","","",""
"3 on scale 1-7 ","2009","Part Time","direct migration background","","","",""
"3 on scale 1-7 ","2009","Part Time","indirect migration background","","","",""
"3 on scale 1-7 ","2009","Not Working","no migration background","","","",""
"3 on scale 1-7 ","2009","Not Working","direct migration background","","","",""
"3 on scale 1-7 ","2009","Not Working","indirect migration background","","","",""
"4 on scale 1-7","2009","Full Time","no migration background","","","",""
"4 on scale 1-7","2009","Full Time","direct migration background","","","",""
"4 on scale 1-7","2009","Full Time","indirect migration background","","","",""
"4 on scale 1-7","2009","Part Time","no migration background","","","",""
"4 on scale 1-7","2009","Part Time","direct migration background","","","",""
"4 on scale 1-7","2009","Part Time","indirect migration background","","","",""
"4 on scale 1-7","2009","Not Working","no migration background","","","",""
"4 on scale 1-7","2009","Not Working","direct migration background","","","",""
"4 on scale 1-7","2009","Not Working","indirect migration background","","","",""
"5 on scale 1-7","2009","Full Time","no migration background","","","",""
"5 on scale 1-7","2009","Full Time","direct migration background","","","",""
"5 on scale 1-7","2009","Full Time","indirect migration background","","","",""
"5 on scale 1-7","2009","Part Time","no migration background","","","",""
"5 on scale 1-7","2009","Part Time","direct migration background","","","",""
"5 on scale 1-7","2009","Part Time","indirect migration background","","","",""
"5 on scale 1-7","2009","Not Working","no migration background","","","",""
"5 on scale 1-7","2009","Not Working","direct migration background","","","",""
"5 on scale 1-7","2009","Not Working","indirect migration background","","","",""
"6 on scale 1-7","2009","Full Time","no migration background","","","",""
"6 on scale 1-7","2009","Full Time","direct migration background","","","",""
"6 on scale 1-7","2009","Full Time","indirect migration background","","","",""
"6 on scale 1-7","2009","Part Time","no migration background","","","",""
"6 on scale 1-7","2009","Part Time","direct migration background","","","",""
"6 on scale 1-7","2009","Part Time","indirect migration background","","","",""
"6 on scale 1-7","2009","Not Working","no migration background","","","",""
"6 on scale 1-7","2009","Not Working","direct migration background","","","",""
"6 on scale 1-7","2009","Not Working","indirect migration background","","","",""
"7 Strongly agree","2009","Full Time","no migration background","","","",""
"7 Strongly agree","2009","Full Time","direct migration background","","","",""
"7 Strongly agree","2009","Full Time","indirect migration background","","","",""
"7 Strongly agree","2009","Part Time","no migration background","","","",""
"7 Strongly agree","2009","Part Time","direct migration background","","","",""
"7 Strongly agree","2009","Part Time","indirect migration background","","","",""
"7 Strongly agree","2009","Not Working","no migration background","","","",""
"7 Strongly agree","2009","Not Working","direct migration background","","","",""
"7 Strongly agree","2009","Not Working","indirect migration background","","","",""
"1 Strongly disagree","2010","Full Time","no migration background","24","","",""
"1 Strongly disagree","2010","Full Time","direct migration background","1","","",""
"1 Strongly disagree","2010","Full Time","indirect migration background","1","","",""
"1 Strongly disagree","2010","Part Time","no migration background","23","","",""
"1 Strongly disagree","2010","Part Time","direct migration background","1","","",""
"1 Strongly disagree","2010","Part Time","indirect migration background","1","","",""
"1 Strongly disagree","2010","Not Working","no migration background","53","0.0121141216036323","0.00923085448994326","0.0149973887173213"
"1 Strongly disagree","2010","Not Working","direct migration background","6","","",""
"1 Strongly disagree","2010","Not Working","indirect migration background","5","","",""
"2 on scale 1-7 ","2010","Full Time","no migration background","43","0.0101787541727412","0.00756977650313081","0.0127877318423517"
"2 on scale 1-7 ","2010","Full Time","direct migration background","5","","",""
"2 on scale 1-7 ","2010","Full Time","indirect migration background","","","",""
"2 on scale 1-7 ","2010","Part Time","no migration background","28","","",""
"2 on scale 1-7 ","2010","Part Time","direct migration background","2","","",""
"2 on scale 1-7 ","2010","Part Time","indirect migration background","3","","",""
"2 on scale 1-7 ","2010","Not Working","no migration background","60","0.0116766157724262","0.008845265789694","0.0145079657551585"
"2 on scale 1-7 ","2010","Not Working","direct migration background","14","","",""
"2 on scale 1-7 ","2010","Not Working","indirect migration background","5","","",""
"3 on scale 1-7 ","2010","Full Time","no migration background","126","0.0314319250823884","0.0268967377728108","0.0359671123919661"
"3 on scale 1-7 ","2010","Full Time","direct migration background","9","","",""
"3 on scale 1-7 ","2010","Full Time","indirect migration background","4","","",""
"3 on scale 1-7 ","2010","Part Time","no migration background","92","0.0264991835645144","0.0210407079378856","0.0319576591911431"
"3 on scale 1-7 ","2010","Part Time","direct migration background","9","","",""
"3 on scale 1-7 ","2010","Part Time","indirect migration background","5","","",""
"3 on scale 1-7 ","2010","Not Working","no migration background","126","0.0191676820323614","0.0155538521295561","0.0227815119351667"
"3 on scale 1-7 ","2010","Not Working","direct migration background","11","","",""
"3 on scale 1-7 ","2010","Not Working","indirect migration background","5","","",""
"4 on scale 1-7","2010","Full Time","no migration background","526","0.0979507215709393","0.09022456304321","0.105676880098669"
"4 on scale 1-7","2010","Full Time","direct migration background","22","","",""
"4 on scale 1-7","2010","Full Time","indirect migration background","20","","",""
"4 on scale 1-7","2010","Part Time","no migration background","319","0.110007432045782","0.0993735663236352","0.120641297767929"
"4 on scale 1-7","2010","Part Time","direct migration background","23","","",""
"4 on scale 1-7","2010","Part Time","indirect migration background","10","","",""
"4 on scale 1-7","2010","Not Working","no migration background","508","0.0927217902047169","0.0850773327196285","0.100366247689805"
"4 on scale 1-7","2010","Not Working","direct migration background","43","0.0735490178122175","0.0529686318487825","0.0941294037756525"
"4 on scale 1-7","2010","Not Working","indirect migration background","19","","",""
"5 on scale 1-7","2010","Full Time","no migration background","1100","0.183626047840136","0.173562378089226","0.193689717591047"
"5 on scale 1-7","2010","Full Time","direct migration background","66","0.125681451567455","0.0955842877150661","0.155778615419845"
"5 on scale 1-7","2010","Full Time","indirect migration background","45","0.21796684057667","0.170201273143051","0.26573240801029"
"5 on scale 1-7","2010","Part Time","no migration background","635","0.181768845911038","0.16866240725723","0.194875284564845"
"5 on scale 1-7","2010","Part Time","direct migration background","60","0.124299935015123","0.0909521256377778","0.157647744392469"
"5 on scale 1-7","2010","Part Time","indirect migration background","27","","",""
"5 on scale 1-7","2010","Not Working","no migration background","1022","0.182621166125736","0.172438235737384","0.192804096514088"
"5 on scale 1-7","2010","Not Working","direct migration background","105","0.169323543071228","0.139755098583502","0.198891987558954"
"5 on scale 1-7","2010","Not Working","indirect migration background","24","","",""
"6 on scale 1-7","2010","Full Time","no migration background","2045","0.344341329504702","0.3319910114026","0.356691647606804"
"6 on scale 1-7","2010","Full Time","direct migration background","163","0.357083874705204","0.313581054603353","0.400586694807054"
"6 on scale 1-7","2010","Full Time","indirect migration background","102","0.347861616391776","0.292757977510413","0.402965255273139"
"6 on scale 1-7","2010","Part Time","no migration background","1180","0.357382280615152","0.341095703318585","0.373668857911718"
"6 on scale 1-7","2010","Part Time","direct migration background","116","0.259986095111127","0.215650844345459","0.304321345876796"
"6 on scale 1-7","2010","Part Time","indirect migration background","63","0.283719211061425","0.220446446739831","0.346991975383019"
"6 on scale 1-7","2010","Not Working","no migration background","1706","0.286756422248476","0.274836839940746","0.298676004556207"
"6 on scale 1-7","2010","Not Working","direct migration background","178","0.288875684580874","0.253141645201909","0.324609723959839"
"6 on scale 1-7","2010","Not Working","indirect migration background","50","0.291987127384585","0.224814213679302","0.359160041089868"
"7 Strongly agree","2010","Full Time","no migration background","1822","0.326770033574972","0.314578804435126","0.338961262714819"
"7 Strongly agree","2010","Full Time","direct migration background","200","0.42677467623456","0.381867356257696","0.471681996211423"
"7 Strongly agree","2010","Full Time","indirect migration background","115","0.331193971006189","0.276743900863771","0.385644041148608"
"7 Strongly agree","2010","Part Time","no migration background","1049","0.308313870454872","0.292619711982184","0.32400802892756"
"7 Strongly agree","2010","Part Time","direct migration background","165","0.476741409223665","0.426257405496486","0.527225412950843"
"7 Strongly agree","2010","Part Time","indirect migration background","86","0.478078686278873","0.407968197828208","0.548189174729538"
"7 Strongly agree","2010","Not Working","no migration background","2055","0.394942202012651","0.382058201653633","0.407826202371669"
"7 Strongly agree","2010","Not Working","direct migration background","261","0.415036035873752","0.37618869351067","0.453883378236833"
"7 Strongly agree","2010","Not Working","indirect migration background","68","0.35374722345075","0.28310904557591","0.424385401325589"
"1 Strongly disagree","2011","Full Time","no migration background","","","",""
"1 Strongly disagree","2011","Full Time","direct migration background","","","",""
"1 Strongly disagree","2011","Full Time","indirect migration background","","","",""
"1 Strongly disagree","2011","Part Time","no migration background","","","",""
"1 Strongly disagree","2011","Part Time","direct migration background","","","",""
"1 Strongly disagree","2011","Part Time","indirect migration background","","","",""
"1 Strongly disagree","2011","Not Working","no migration background","","","",""
"1 Strongly disagree","2011","Not Working","direct migration background","","","",""
"1 Strongly disagree","2011","Not Working","indirect migration background","","","",""
"2 on scale 1-7 ","2011","Full Time","no migration background","","","",""
"2 on scale 1-7 ","2011","Full Time","direct migration background","","","",""
"2 on scale 1-7 ","2011","Full Time","indirect migration background","","","",""
"2 on scale 1-7 ","2011","Part Time","no migration background","","","",""
"2 on scale 1-7 ","2011","Part Time","direct migration background","","","",""
"2 on scale 1-7 ","2011","Part Time","indirect migration background","","","",""
"2 on scale 1-7 ","2011","Not Working","no migration background","","","",""
"2 on scale 1-7 ","2011","Not Working","direct migration background","","","",""
"2 on scale 1-7 ","2011","Not Working","indirect migration background","","","",""
"3 on scale 1-7 ","2011","Full Time","no migration background","","","",""
"3 on scale 1-7 ","2011","Full Time","direct migration background","","","",""
