"plh0206i04","year","education","n","percent","lower_confidence","upper_confidence"
"3 on scale 1-7 ","2007","college entrance qualification","","","",""
"3 on scale 1-7 ","2007","Other degree","","","",""
"3 on scale 1-7 ","2007","no degree/no degree yet","","","",""
"4 on scale 1-7","2007","lower secondary degree","","","",""
"4 on scale 1-7","2007","secondary school degree","","","",""
"4 on scale 1-7","2007","college entrance qualification","","","",""
"4 on scale 1-7","2007","Other degree","","","",""
"4 on scale 1-7","2007","no degree/no degree yet","","","",""
"5 on scale 1-7","2007","lower secondary degree","","","",""
"5 on scale 1-7","2007","secondary school degree","","","",""
"5 on scale 1-7","2007","college entrance qualification","","","",""
"5 on scale 1-7","2007","Other degree","","","",""
"5 on scale 1-7","2007","no degree/no degree yet","","","",""
"6 on scale 1-7","2007","lower secondary degree","","","",""
"6 on scale 1-7","2007","secondary school degree","","","",""
"6 on scale 1-7","2007","college entrance qualification","","","",""
"6 on scale 1-7","2007","Other degree","","","",""
"6 on scale 1-7","2007","no degree/no degree yet","","","",""
"7 Strongly agree","2007","lower secondary degree","","","",""
"7 Strongly agree","2007","secondary school degree","","","",""
"7 Strongly agree","2007","college entrance qualification","","","",""
"7 Strongly agree","2007","Other degree","","","",""
"7 Strongly agree","2007","no degree/no degree yet","","","",""
"1 Strongly disagree","2008","lower secondary degree","","","",""
"1 Strongly disagree","2008","secondary school degree","","","",""
"1 Strongly disagree","2008","college entrance qualification","","","",""
"1 Strongly disagree","2008","Other degree","","","",""
"1 Strongly disagree","2008","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2008","lower secondary degree","","","",""
"2 on scale 1-7 ","2008","secondary school degree","","","",""
"2 on scale 1-7 ","2008","college entrance qualification","","","",""
"2 on scale 1-7 ","2008","Other degree","","","",""
"2 on scale 1-7 ","2008","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2008","lower secondary degree","","","",""
"3 on scale 1-7 ","2008","secondary school degree","","","",""
"3 on scale 1-7 ","2008","college entrance qualification","","","",""
"3 on scale 1-7 ","2008","Other degree","","","",""
"3 on scale 1-7 ","2008","no degree/no degree yet","","","",""
"4 on scale 1-7","2008","lower secondary degree","","","",""
"4 on scale 1-7","2008","secondary school degree","","","",""
"4 on scale 1-7","2008","college entrance qualification","","","",""
"4 on scale 1-7","2008","Other degree","","","",""
"4 on scale 1-7","2008","no degree/no degree yet","","","",""
"5 on scale 1-7","2008","lower secondary degree","","","",""
"5 on scale 1-7","2008","secondary school degree","","","",""
"5 on scale 1-7","2008","college entrance qualification","","","",""
"5 on scale 1-7","2008","Other degree","","","",""
"5 on scale 1-7","2008","no degree/no degree yet","","","",""
"6 on scale 1-7","2008","lower secondary degree","","","",""
"6 on scale 1-7","2008","secondary school degree","","","",""
"6 on scale 1-7","2008","college entrance qualification","","","",""
"6 on scale 1-7","2008","Other degree","","","",""
"6 on scale 1-7","2008","no degree/no degree yet","","","",""
"7 Strongly agree","2008","lower secondary degree","","","",""
"7 Strongly agree","2008","secondary school degree","","","",""
"7 Strongly agree","2008","college entrance qualification","","","",""
"7 Strongly agree","2008","Other degree","","","",""
"7 Strongly agree","2008","no degree/no degree yet","","","",""
"1 Strongly disagree","2009","lower secondary degree","","","",""
"1 Strongly disagree","2009","secondary school degree","","","",""
"1 Strongly disagree","2009","college entrance qualification","","","",""
"1 Strongly disagree","2009","Other degree","","","",""
"1 Strongly disagree","2009","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2009","lower secondary degree","","","",""
"2 on scale 1-7 ","2009","secondary school degree","","","",""
"2 on scale 1-7 ","2009","college entrance qualification","","","",""
"2 on scale 1-7 ","2009","Other degree","","","",""
"2 on scale 1-7 ","2009","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2009","lower secondary degree","","","",""
"3 on scale 1-7 ","2009","secondary school degree","","","",""
"3 on scale 1-7 ","2009","college entrance qualification","","","",""
"3 on scale 1-7 ","2009","Other degree","","","",""
"3 on scale 1-7 ","2009","no degree/no degree yet","","","",""
"4 on scale 1-7","2009","lower secondary degree","","","",""
"4 on scale 1-7","2009","secondary school degree","","","",""
"4 on scale 1-7","2009","college entrance qualification","","","",""
"4 on scale 1-7","2009","Other degree","","","",""
"4 on scale 1-7","2009","no degree/no degree yet","","","",""
"5 on scale 1-7","2009","lower secondary degree","","","",""
"5 on scale 1-7","2009","secondary school degree","","","",""
"5 on scale 1-7","2009","college entrance qualification","","","",""
"5 on scale 1-7","2009","Other degree","","","",""
"5 on scale 1-7","2009","no degree/no degree yet","","","",""
"6 on scale 1-7","2009","lower secondary degree","","","",""
"6 on scale 1-7","2009","secondary school degree","","","",""
"6 on scale 1-7","2009","college entrance qualification","","","",""
"6 on scale 1-7","2009","Other degree","","","",""
"6 on scale 1-7","2009","no degree/no degree yet","","","",""
"7 Strongly agree","2009","lower secondary degree","","","",""
"7 Strongly agree","2009","secondary school degree","","","",""
"7 Strongly agree","2009","college entrance qualification","","","",""
"7 Strongly agree","2009","Other degree","","","",""
"7 Strongly agree","2009","no degree/no degree yet","","","",""
"1 Strongly disagree","2010","lower secondary degree","54","0.00948595523036016","0.00688974888101987","0.0120821615797004"
"1 Strongly disagree","2010","secondary school degree","","","",""
"1 Strongly disagree","2010","college entrance qualification","","","",""
"1 Strongly disagree","2010","Other degree","","","",""
"1 Strongly disagree","2010","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2010","lower secondary degree","60","0.0131137295947958","0.0100667817588726","0.0161606774307189"
"2 on scale 1-7 ","2010","secondary school degree","41","0.00960471613257913","0.00691367078250489","0.0122957614826534"
"2 on scale 1-7 ","2010","college entrance qualification","38","0.00751921588418973","0.005039457959043","0.00999897380933647"
"2 on scale 1-7 ","2010","Other degree","","","",""
"2 on scale 1-7 ","2010","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2010","lower secondary degree","118","0.0241156102290927","0.020006794477767","0.0282244259804183"
"3 on scale 1-7 ","2010","secondary school degree","120","0.0237588065129485","0.0195567165801836","0.0279608964457134"
"3 on scale 1-7 ","2010","college entrance qualification","112","0.0291951250245285","0.0243624999784715","0.0340277500705856"
"3 on scale 1-7 ","2010","Other degree","","","",""
"3 on scale 1-7 ","2010","no degree/no degree yet","","","",""
"4 on scale 1-7","2010","lower secondary degree","472","0.0953575100313202","0.0874909602438101","0.10322405981883"
"4 on scale 1-7","2010","secondary school degree","449","0.0973670083439837","0.0891873345817473","0.10554668210622"
"4 on scale 1-7","2010","college entrance qualification","432","0.0955846529983954","0.0871447005067249","0.104024605490066"
"4 on scale 1-7","2010","Other degree","47","0.0544522866137838","0.0378086291036819","0.0710959441238856"
"4 on scale 1-7","2010","no degree/no degree yet","42","0.114893159835192","0.0841751655094302","0.145611154160954"
"5 on scale 1-7","2010","lower secondary degree","936","0.16997978625946","0.159919477093427","0.180040095425493"
"5 on scale 1-7","2010","secondary school degree","861","0.162371982433609","0.152196485863602","0.172547479003615"
"5 on scale 1-7","2010","college entrance qualification","1005","0.212975342511775","0.201223098811507","0.224727586212043"
"5 on scale 1-7","2010","Other degree","109","0.13637538428367","0.111202702543093","0.161548066024246"
"5 on scale 1-7","2010","no degree/no degree yet","88","0.220899564956157","0.180938038034803","0.260861091877511"
"6 on scale 1-7","2010","lower secondary degree","1580","0.272525792986151","0.260600173190994","0.284451412781307"
"6 on scale 1-7","2010","secondary school degree","1789","0.339582926254364","0.326516508553014","0.352649343955715"
"6 on scale 1-7","2010","college entrance qualification","1752","0.384453664134446","0.370489519645856","0.398417808623036"
"6 on scale 1-7","2010","Other degree","209","0.301357079267167","0.267700706004013","0.33501345253032"
"6 on scale 1-7","2010","no degree/no degree yet","126","0.239887252836898","0.198754240688477","0.281020264985319"
"7 Strongly agree","2010","lower secondary degree","2135","0.41542161566882","0.402222820929924","0.428620410407717"
"7 Strongly agree","2010","secondary school degree","1757","0.358590806390279","0.345358314586952","0.371823298193606"
"7 Strongly agree","2010","college entrance qualification","1304","0.265990473479059","0.253306776849291","0.278674170108826"
"7 Strongly agree","2010","Other degree","321","0.450637823882003","0.414142083123644","0.487133564640362"
"7 Strongly agree","2010","no degree/no degree yet","136","0.381595474893366","0.334801939587137","0.428389010199595"
"1 Strongly disagree","2011","lower secondary degree","","","",""
"1 Strongly disagree","2011","secondary school degree","","","",""
"1 Strongly disagree","2011","college entrance qualification","","","",""
"1 Strongly disagree","2011","Other degree","","","",""
"1 Strongly disagree","2011","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2011","lower secondary degree","","","",""
"2 on scale 1-7 ","2011","secondary school degree","","","",""
"2 on scale 1-7 ","2011","college entrance qualification","","","",""
"2 on scale 1-7 ","2011","Other degree","","","",""
"2 on scale 1-7 ","2011","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2011","lower secondary degree","","","",""
"3 on scale 1-7 ","2011","secondary school degree","","","",""
"3 on scale 1-7 ","2011","college entrance qualification","","","",""
"3 on scale 1-7 ","2011","Other degree","","","",""
"3 on scale 1-7 ","2011","no degree/no degree yet","","","",""
"4 on scale 1-7","2011","lower secondary degree","","","",""
"4 on scale 1-7","2011","secondary school degree","","","",""
"4 on scale 1-7","2011","college entrance qualification","","","",""
"4 on scale 1-7","2011","Other degree","","","",""
"4 on scale 1-7","2011","no degree/no degree yet","","","",""
"5 on scale 1-7","2011","lower secondary degree","","","",""
"5 on scale 1-7","2011","secondary school degree","","","",""
"5 on scale 1-7","2011","college entrance qualification","","","",""
"5 on scale 1-7","2011","Other degree","","","",""
"5 on scale 1-7","2011","no degree/no degree yet","","","",""
"6 on scale 1-7","2011","lower secondary degree","","","",""
"6 on scale 1-7","2011","secondary school degree","","","",""
"6 on scale 1-7","2011","college entrance qualification","","","",""
"6 on scale 1-7","2011","Other degree","","","",""
"6 on scale 1-7","2011","no degree/no degree yet","","","",""
"7 Strongly agree","2011","lower secondary degree","","","",""
"7 Strongly agree","2011","secondary school degree","","","",""
"7 Strongly agree","2011","college entrance qualification","","","",""
"7 Strongly agree","2011","Other degree","","","",""
"7 Strongly agree","2011","no degree/no degree yet","","","",""
"1 Strongly disagree","2012","lower secondary degree","","","",""
"1 Strongly disagree","2012","secondary school degree","","","",""
"1 Strongly disagree","2012","college entrance qualification","","","",""
"1 Strongly disagree","2012","Other degree","","","",""
"1 Strongly disagree","2012","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2012","lower secondary degree","","","",""
"2 on scale 1-7 ","2012","secondary school degree","","","",""
"2 on scale 1-7 ","2012","college entrance qualification","","","",""
"2 on scale 1-7 ","2012","Other degree","","","",""
"2 on scale 1-7 ","2012","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2012","lower secondary degree","","","",""
"3 on scale 1-7 ","2012","secondary school degree","","","",""
"3 on scale 1-7 ","2012","college entrance qualification","","","",""
"3 on scale 1-7 ","2012","Other degree","","","",""
"3 on scale 1-7 ","2012","no degree/no degree yet","","","",""
"4 on scale 1-7","2012","lower secondary degree","","","",""
"4 on scale 1-7","2012","secondary school degree","","","",""
"4 on scale 1-7","2012","college entrance qualification","","","",""
"4 on scale 1-7","2012","Other degree","","","",""
"4 on scale 1-7","2012","no degree/no degree yet","","","",""
"5 on scale 1-7","2012","lower secondary degree","","","",""
"5 on scale 1-7","2012","secondary school degree","","","",""
"5 on scale 1-7","2012","college entrance qualification","","","",""
"5 on scale 1-7","2012","Other degree","","","",""
"5 on scale 1-7","2012","no degree/no degree yet","","","",""
"6 on scale 1-7","2012","lower secondary degree","","","",""
"6 on scale 1-7","2012","secondary school degree","","","",""
"6 on scale 1-7","2012","college entrance qualification","","","",""
"6 on scale 1-7","2012","Other degree","","","",""
"6 on scale 1-7","2012","no degree/no degree yet","","","",""
"7 Strongly agree","2012","lower secondary degree","","","",""
"7 Strongly agree","2012","secondary school degree","","","",""
"7 Strongly agree","2012","college entrance qualification","","","",""
"7 Strongly agree","2012","Other degree","","","",""
"7 Strongly agree","2012","no degree/no degree yet","","","",""
"1 Strongly disagree","2013","lower secondary degree","","","",""
"1 Strongly disagree","2013","secondary school degree","","","",""
"1 Strongly disagree","2013","college entrance qualification","","","",""
"1 Strongly disagree","2013","Other degree","","","",""
"1 Strongly disagree","2013","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2013","lower secondary degree","","","",""
"2 on scale 1-7 ","2013","secondary school degree","","","",""
"2 on scale 1-7 ","2013","college entrance qualification","","","",""
"2 on scale 1-7 ","2013","Other degree","","","",""
"2 on scale 1-7 ","2013","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2013","lower secondary degree","","","",""
"3 on scale 1-7 ","2013","secondary school degree","","","",""
"3 on scale 1-7 ","2013","college entrance qualification","","","",""
"3 on scale 1-7 ","2013","Other degree","","","",""
"3 on scale 1-7 ","2013","no degree/no degree yet","","","",""
"4 on scale 1-7","2013","lower secondary degree","","","",""
"4 on scale 1-7","2013","secondary school degree","","","",""
"4 on scale 1-7","2013","college entrance qualification","","","",""
"4 on scale 1-7","2013","Other degree","","","",""
"4 on scale 1-7","2013","no degree/no degree yet","","","",""
"5 on scale 1-7","2013","lower secondary degree","","","",""
"5 on scale 1-7","2013","secondary school degree","","","",""
"5 on scale 1-7","2013","college entrance qualification","","","",""
"5 on scale 1-7","2013","Other degree","","","",""
"5 on scale 1-7","2013","no degree/no degree yet","","","",""
"6 on scale 1-7","2013","lower secondary degree","","","",""
"6 on scale 1-7","2013","secondary school degree","","","",""
"6 on scale 1-7","2013","college entrance qualification","","","",""
"6 on scale 1-7","2013","Other degree","","","",""
"6 on scale 1-7","2013","no degree/no degree yet","","","",""
"7 Strongly agree","2013","lower secondary degree","","","",""
"7 Strongly agree","2013","secondary school degree","","","",""
"7 Strongly agree","2013","college entrance qualification","","","",""
"7 Strongly agree","2013","Other degree","","","",""
"7 Strongly agree","2013","no degree/no degree yet","","","",""
"1 Strongly disagree","2014","lower secondary degree","","","",""
"1 Strongly disagree","2014","secondary school degree","","","",""
"1 Strongly disagree","2014","college entrance qualification","","","",""
"1 Strongly disagree","2014","Other degree","","","",""
"1 Strongly disagree","2014","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2014","lower secondary degree","","","",""
"2 on scale 1-7 ","2014","secondary school degree","","","",""
"2 on scale 1-7 ","2014","college entrance qualification","","","",""
"2 on scale 1-7 ","2014","Other degree","","","",""
"2 on scale 1-7 ","2014","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2014","lower secondary degree","","","",""
"3 on scale 1-7 ","2014","secondary school degree","","","",""
"3 on scale 1-7 ","2014","college entrance qualification","","","",""
"3 on scale 1-7 ","2014","Other degree","","","",""
"3 on scale 1-7 ","2014","no degree/no degree yet","","","",""
"4 on scale 1-7","2014","lower secondary degree","","","",""
"4 on scale 1-7","2014","secondary school degree","","","",""
"4 on scale 1-7","2014","college entrance qualification","","","",""
"4 on scale 1-7","2014","Other degree","","","",""
"4 on scale 1-7","2014","no degree/no degree yet","","","",""
"5 on scale 1-7","2014","lower secondary degree","","","",""
"5 on scale 1-7","2014","secondary school degree","","","",""
"5 on scale 1-7","2014","college entrance qualification","","","",""
"5 on scale 1-7","2014","Other degree","","","",""
"5 on scale 1-7","2014","no degree/no degree yet","","","",""
"6 on scale 1-7","2014","lower secondary degree","","","",""
"6 on scale 1-7","2014","secondary school degree","","","",""
"6 on scale 1-7","2014","college entrance qualification","","","",""
"6 on scale 1-7","2014","Other degree","","","",""
"6 on scale 1-7","2014","no degree/no degree yet","","","",""
"7 Strongly agree","2014","lower secondary degree","","","",""
"7 Strongly agree","2014","secondary school degree","","","",""
"7 Strongly agree","2014","college entrance qualification","","","",""
"7 Strongly agree","2014","Other degree","","","",""
"7 Strongly agree","2014","no degree/no degree yet","","","",""
"1 Strongly disagree","2015","lower secondary degree","45","0.0100641372848215","0.00761759018985311","0.01251068437979"
"1 Strongly disagree","2015","secondary school degree","47","0.00633207118310945","0.00449998788210872","0.00816415448411018"
"1 Strongly disagree","2015","college entrance qualification","55","0.00503087106307292","0.00339801979275385","0.006663722333392"
"1 Strongly disagree","2015","Other degree","35","0.00934560412878553","0.00637083090436586","0.0123203773532052"
"1 Strongly disagree","2015","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2015","lower secondary degree","70","0.00918740446522157","0.00684881519612537","0.0115259937343178"
"2 on scale 1-7 ","2015","secondary school degree","72","0.0125503967118166","0.00997918473534943","0.0151216086882837"
"2 on scale 1-7 ","2015","college entrance qualification","61","0.00607584341262713","0.00428234853230528","0.00786933829294898"
"2 on scale 1-7 ","2015","Other degree","42","0.00947990839419438","0.0064840395062937","0.0124757772820951"
"2 on scale 1-7 ","2015","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2015","lower secondary degree","119","0.0190690394992511","0.0157167199839749","0.0224213590145272"
"3 on scale 1-7 ","2015","secondary school degree","162","0.0257833068280241","0.0221227363113703","0.0294438773446779"
"3 on scale 1-7 ","2015","college entrance qualification","183","0.0220510151541519","0.0186618508317667","0.025440179476537"
"3 on scale 1-7 ","2015","Other degree","85","0.0176812067872895","0.0136067354592489","0.0217556781153301"
"3 on scale 1-7 ","2015","no degree/no degree yet","","","",""
"4 on scale 1-7","2015","lower secondary degree","520","0.0832924589360589","0.0765194754183428","0.0900654424537749"
"4 on scale 1-7","2015","secondary school degree","626","0.0785945437309845","0.0723790837587544","0.0848100037032146"
"4 on scale 1-7","2015","college entrance qualification","628","0.0874145172702479","0.0808960004321438","0.093933034108352"
"4 on scale 1-7","2015","Other degree","238","0.0665659680999927","0.0588594708185631","0.0742724653814224"
"4 on scale 1-7","2015","no degree/no degree yet","77","0.0799972906797821","0.0627823275783881","0.0972122537811761"
"5 on scale 1-7","2015","lower secondary degree","945","0.148741421117169","0.140019573610354","0.157463268623985"
"5 on scale 1-7","2015","secondary school degree","1221","0.173002712410696","0.164266359199772","0.181739065621621"
"5 on scale 1-7","2015","college entrance qualification","1469","0.21250176963152","0.203060589130112","0.221942950132928"
"5 on scale 1-7","2015","Other degree","456","0.108949022355546","0.0993162336940338","0.118581811017057"
"5 on scale 1-7","2015","no degree/no degree yet","153","0.190662854426187","0.165735758461814","0.21558995039056"
"6 on scale 1-7","2015","lower secondary degree","2109","0.333032596658779","0.32148058944467","0.344584603872887"
"6 on scale 1-7","2015","secondary school degree","2502","0.351897313360367","0.340867159461217","0.362927467259517"
"6 on scale 1-7","2015","college entrance qualification","2843","0.400357704151001","0.389049582909289","0.411665825392713"
"6 on scale 1-7","2015","Other degree","1082","0.289309431492688","0.275290637303952","0.303328225681424"
"6 on scale 1-7","2015","no degree/no degree yet","291","0.30580350918238","0.276566271183303","0.335040747181457"
"7 Strongly agree","2015","lower secondary degree","2586","0.396612942038699","0.384622278649753","0.408603605427644"
"7 Strongly agree","2015","secondary school degree","2571","0.351839655775002","0.340809914955547","0.362869396594457"
"7 Strongly agree","2015","college entrance qualification","1973","0.266568279317379","0.256363483703943","0.276773074930816"
"7 Strongly agree","2015","Other degree","2081","0.498668858741504","0.483210707461585","0.514127010021423"
"7 Strongly agree","2015","no degree/no degree yet","394","0.380136669311141","0.349333758453799","0.410939580168483"
"1 Strongly disagree","2016","lower secondary degree","","","",""
"1 Strongly disagree","2016","secondary school degree","","","",""
"1 Strongly disagree","2016","college entrance qualification","","","",""
"1 Strongly disagree","2016","Other degree","","","",""
"1 Strongly disagree","2016","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2016","lower secondary degree","","","",""
"2 on scale 1-7 ","2016","secondary school degree","","","",""
"2 on scale 1-7 ","2016","college entrance qualification","","","",""
"2 on scale 1-7 ","2016","Other degree","","","",""
"2 on scale 1-7 ","2016","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2016","lower secondary degree","","","",""
"3 on scale 1-7 ","2016","secondary school degree","","","",""
"3 on scale 1-7 ","2016","college entrance qualification","","","",""
"3 on scale 1-7 ","2016","Other degree","","","",""
"3 on scale 1-7 ","2016","no degree/no degree yet","","","",""
"4 on scale 1-7","2016","lower secondary degree","","","",""
"4 on scale 1-7","2016","secondary school degree","","","",""
"4 on scale 1-7","2016","college entrance qualification","","","",""
"4 on scale 1-7","2016","Other degree","","","",""
"4 on scale 1-7","2016","no degree/no degree yet","","","",""
"5 on scale 1-7","2016","lower secondary degree","","","",""
"5 on scale 1-7","2016","secondary school degree","","","",""
"5 on scale 1-7","2016","college entrance qualification","","","",""
"5 on scale 1-7","2016","Other degree","69","0.0694525113043222","0.0592153673990634","0.0796896552095809"
"5 on scale 1-7","2016","no degree/no degree yet","41","0.0680622577624331","0.0557101162397005","0.0804143992851657"
"6 on scale 1-7","2016","lower secondary degree","","","",""
"6 on scale 1-7","2016","secondary school degree","","","",""
"6 on scale 1-7","2016","college entrance qualification","","","",""
"6 on scale 1-7","2016","Other degree","198","0.12981842449008","0.116284035025527","0.143352813954633"
"6 on scale 1-7","2016","no degree/no degree yet","119","0.10625327010301","0.0911394580128302","0.12136708219319"
"7 Strongly agree","2016","lower secondary degree","","","",""
"7 Strongly agree","2016","secondary school degree","","","",""
"7 Strongly agree","2016","college entrance qualification","","","",""
"7 Strongly agree","2016","Other degree","2055","0.739637291770116","0.721966160596345","0.757308422943887"
"7 Strongly agree","2016","no degree/no degree yet","1406","0.746454125245362","0.725117512809798","0.767790737680926"
"1 Strongly disagree","2017","lower secondary degree","","","",""
"1 Strongly disagree","2017","secondary school degree","","","",""
"1 Strongly disagree","2017","college entrance qualification","","","",""
"1 Strongly disagree","2017","Other degree","","","",""
"1 Strongly disagree","2017","no degree/no degree yet","","","",""
"2 on scale 1-7 ","2017","lower secondary degree","","","",""
"2 on scale 1-7 ","2017","secondary school degree","","","",""
"2 on scale 1-7 ","2017","college entrance qualification","","","",""
"2 on scale 1-7 ","2017","Other degree","","","",""
"2 on scale 1-7 ","2017","no degree/no degree yet","","","",""
"3 on scale 1-7 ","2017","lower secondary degree","","","",""
"3 on scale 1-7 ","2017","secondary school degree","","","",""
"3 on scale 1-7 ","2017","college entrance qualification","","","",""
