"plh0206i04","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"6 on scale 1-7","2006","Not Employed","Female","","","","","6"
"6 on scale 1-7","2006","Employed","Female","","","","","6"
"6 on scale 1-7","2006","Not Employed","Male","","","","","6"
"7 Strongly agree","2006","Not Employed","Female","","","","","7"
"7 Strongly agree","2006","Employed","Male","","","","","7"
"7 Strongly agree","2006","Employed","Female","","","","","7"
"7 Strongly agree","2006","Not Employed","Male","","","","","7"
"1 Strongly disagree","2007","Not Employed","Male","","","","","1"
"1 Strongly disagree","2007","Not Employed","Female","","","","","1"
"1 Strongly disagree","2007","Employed","Male","","","","","1"
"1 Strongly disagree","2007","Employed","Female","","","","","1"
"2 on scale 1-7 ","2007","Not Employed","Female","","","","","2"
"2 on scale 1-7 ","2007","Not Employed","Male","","","","","2"
"2 on scale 1-7 ","2007","Employed","Male","","","","","2"
"2 on scale 1-7 ","2007","Employed","Female","","","","","2"
"3 on scale 1-7 ","2007","Not Employed","Male","","","","","3"
"3 on scale 1-7 ","2007","Not Employed","Female","","","","","3"
"3 on scale 1-7 ","2007","Employed","Male","","","","","3"
"3 on scale 1-7 ","2007","Employed","Female","","","","","3"
"4 on scale 1-7","2007","Not Employed","Male","","","","","4"
"4 on scale 1-7","2007","Not Employed","Female","","","","","4"
"4 on scale 1-7","2007","Employed","Male","","","","","4"
"4 on scale 1-7","2007","Employed","Female","","","","","4"
"5 on scale 1-7","2007","Not Employed","Male","","","","","5"
"5 on scale 1-7","2007","Not Employed","Female","","","","","5"
"5 on scale 1-7","2007","Employed","Male","","","","","5"
"5 on scale 1-7","2007","Employed","Female","","","","","5"
"6 on scale 1-7","2007","Employed","Male","","","","","6"
"6 on scale 1-7","2007","Not Employed","Male","","","","","6"
"6 on scale 1-7","2007","Not Employed","Female","","","","","6"
"6 on scale 1-7","2007","Employed","Female","","","","","6"
"7 Strongly agree","2007","Not Employed","Male","","","","","7"
"7 Strongly agree","2007","Not Employed","Female","","","","","7"
"7 Strongly agree","2007","Employed","Male","","","","","7"
"7 Strongly agree","2007","Employed","Female","","","","","7"
"1 Strongly disagree","2008","Not Employed","Female","","","","","1"
"1 Strongly disagree","2008","Employed","Male","","","","","1"
"1 Strongly disagree","2008","Not Employed","Male","","","","","1"
"1 Strongly disagree","2008","Employed","Female","","","","","1"
"2 on scale 1-7 ","2008","Not Employed","Female","","","","","2"
"2 on scale 1-7 ","2008","Not Employed","Male","","","","","2"
"2 on scale 1-7 ","2008","Employed","Male","","","","","2"
"2 on scale 1-7 ","2008","Employed","Female","","","","","2"
"3 on scale 1-7 ","2008","Not Employed","Male","","","","","3"
"3 on scale 1-7 ","2008","Not Employed","Female","","","","","3"
"3 on scale 1-7 ","2008","Employed","Male","","","","","3"
"3 on scale 1-7 ","2008","Employed","Female","","","","","3"
"4 on scale 1-7","2008","Not Employed","Female","","","","","4"
"4 on scale 1-7","2008","Employed","Male","","","","","4"
"4 on scale 1-7","2008","Not Employed","Male","","","","","4"
"4 on scale 1-7","2008","Employed","Female","","","","","4"
"5 on scale 1-7","2008","Employed","Male","","","","","5"
"5 on scale 1-7","2008","Not Employed","Male","","","","","5"
"5 on scale 1-7","2008","Not Employed","Female","","","","","5"
"5 on scale 1-7","2008","Employed","Female","","","","","5"
"6 on scale 1-7","2008","Not Employed","Female","","","","","6"
"6 on scale 1-7","2008","Employed","Female","","","","","6"
"6 on scale 1-7","2008","Not Employed","Male","","","","","6"
"6 on scale 1-7","2008","Employed","Male","","","","","6"
"7 Strongly agree","2008","Not Employed","Male","","","","","7"
"7 Strongly agree","2008","Not Employed","Female","","","","","7"
"7 Strongly agree","2008","Employed","Male","","","","","7"
"7 Strongly agree","2008","Employed","Female","","","","","7"
"1 Strongly disagree","2009","Not Employed","Female","","","","","1"
"1 Strongly disagree","2009","Employed","Male","","","","","1"
"1 Strongly disagree","2009","Employed","Female","","","","","1"
"1 Strongly disagree","2009","Not Employed","Male","","","","","1"
"2 on scale 1-7 ","2009","Not Employed","Female","","","","","2"
"2 on scale 1-7 ","2009","Employed","Male","","","","","2"
"2 on scale 1-7 ","2009","Employed","Female","","","","","2"
"2 on scale 1-7 ","2009","Not Employed","Male","","","","","2"
"3 on scale 1-7 ","2009","Not Employed","Male","","","","","3"
"3 on scale 1-7 ","2009","Not Employed","Female","","","","","3"
"3 on scale 1-7 ","2009","Employed","Male","","","","","3"
"3 on scale 1-7 ","2009","Employed","Female","","","","","3"
"4 on scale 1-7","2009","Not Employed","Female","","","","","4"
"4 on scale 1-7","2009","Employed","Male","","","","","4"
"4 on scale 1-7","2009","Not Employed","Male","","","","","4"
"4 on scale 1-7","2009","Employed","Female","","","","","4"
"5 on scale 1-7","2009","Not Employed","Male","","","","","5"
"5 on scale 1-7","2009","Employed","Male","","","","","5"
"5 on scale 1-7","2009","Not Employed","Female","","","","","5"
"5 on scale 1-7","2009","Employed","Female","","","","","5"
"6 on scale 1-7","2009","Not Employed","Female","","","","","6"
"6 on scale 1-7","2009","Not Employed","Male","","","","","6"
"6 on scale 1-7","2009","Employed","Male","","","","","6"
"6 on scale 1-7","2009","Employed","Female","","","","","6"
"7 Strongly agree","2009","Not Employed","Male","","","","","7"
"7 Strongly agree","2009","Not Employed","Female","","","","","7"
"7 Strongly agree","2009","Employed","Male","","","","","7"
"7 Strongly agree","2009","Employed","Female","","","","","7"
"1 Strongly disagree","2010","Not Employed","Male","26","","","","1"
"1 Strongly disagree","2010","Not Employed","Female","38","0.0124457963758698","0.00884622554805737","0.0160453672036822","1"
"1 Strongly disagree","2010","Employed","Male","22","","","","1"
"1 Strongly disagree","2010","Employed","Female","29","","","","1"
"2 on scale 1-7 ","2010","Not Employed","Male","35","0.0140885194394743","0.00962649100308039","0.0185505478758683","2"
"2 on scale 1-7 ","2010","Not Employed","Female","44","0.0129220229264871","0.00925511595908574","0.0165889298938884","2"
"2 on scale 1-7 ","2010","Employed","Male","37","0.0089712699625051","0.00642287586286238","0.0115196640621478","2"
"2 on scale 1-7 ","2010","Employed","Female","44","0.0116311173600336","0.00868184581878496","0.0145803889012822","2"
"3 on scale 1-7 ","2010","Not Employed","Male","70","0.0261665921294299","0.0201229796257172","0.0322102046331425","3"
"3 on scale 1-7 ","2010","Not Employed","Female","72","0.0151928108229737","0.0112213198742274","0.0191643017717201","3"
"3 on scale 1-7 ","2010","Employed","Female","142","0.0333579172489613","0.0284184873991721","0.0382973470987504","3"
"3 on scale 1-7 ","2010","Employed","Male","103","0.0239517139254319","0.0198193319825887","0.028084095868275","3"
"4 on scale 1-7","2010","Not Employed","Female","327","0.0892224139910624","0.0799668676709997","0.0984779603111251","4"
"4 on scale 1-7","2010","Employed","Male","432","0.0902984786952308","0.0825523236958446","0.098044633694617","4"
"4 on scale 1-7","2010","Not Employed","Male","243","0.0928731538944798","0.0818841127104703","0.103862195078489","4"
"4 on scale 1-7","2010","Employed","Female","488","0.105400520052228","0.0969539535280886","0.113847086576368","4"
"5 on scale 1-7","2010","Not Employed","Male","487","0.18074216566931","0.166173467814062","0.195310863524558","5"
"5 on scale 1-7","2010","Employed","Male","1019","0.19108464173359","0.180458858858785","0.201710424608395","5"
"5 on scale 1-7","2010","Not Employed","Female","664","0.179421232108207","0.16696301307779","0.191879451138624","5"
"5 on scale 1-7","2010","Employed","Female","914","0.159267991246704","0.149202440289495","0.169333542203912","5"
"6 on scale 1-7","2010","Not Employed","Male","857","0.304429972808185","0.287008100422715","0.321851845193655","6"
"6 on scale 1-7","2010","Not Employed","Female","1077","0.274051772068876","0.259569788882808","0.288533755254944","6"
"6 on scale 1-7","2010","Employed","Male","1913","0.351352190851334","0.338449736941526","0.364254644761142","6"
"6 on scale 1-7","2010","Employed","Female","1756","0.332378380213639","0.31942073487138","0.345336025555897","6"
"7 Strongly agree","2010","Not Employed","Male","962","0.369902177528026","0.351624200492556","0.388180154563496","7"
"7 Strongly agree","2010","Not Employed","Female","1422","0.416743951706524","0.400736463697477","0.43275143971557","7"
"7 Strongly agree","2010","Employed","Male","1733","0.328583698461315","0.315889202752208","0.341278194170421","7"
"7 Strongly agree","2010","Employed","Female","1704","0.352544067552303","0.339402223114469","0.365685911990137","7"
"1 Strongly disagree","2011","Not Employed","Male","","","","","1"
"1 Strongly disagree","2011","Not Employed","Female","","","","","1"
"1 Strongly disagree","2011","Employed","Male","","","","","1"
"1 Strongly disagree","2011","Employed","Female","","","","","1"
"2 on scale 1-7 ","2011","Not Employed","Male","","","","","2"
"2 on scale 1-7 ","2011","Not Employed","Female","","","","","2"
"2 on scale 1-7 ","2011","Employed","Male","","","","","2"
"2 on scale 1-7 ","2011","Employed","Female","","","","","2"
"3 on scale 1-7 ","2011","Not Employed","Male","","","","","3"
"3 on scale 1-7 ","2011","Employed","Male","","","","","3"
"3 on scale 1-7 ","2011","Not Employed","Female","","","","","3"
"3 on scale 1-7 ","2011","Employed","Female","","","","","3"
"4 on scale 1-7","2011","Not Employed","Male","","","","","4"
"4 on scale 1-7","2011","Not Employed","Female","","","","","4"
"4 on scale 1-7","2011","Employed","Male","","","","","4"
"4 on scale 1-7","2011","Employed","Female","","","","","4"
"5 on scale 1-7","2011","Employed","Male","","","","","5"
"5 on scale 1-7","2011","Not Employed","Female","","","","","5"
"5 on scale 1-7","2011","Not Employed","Male","","","","","5"
"5 on scale 1-7","2011","Employed","Female","","","","","5"
"6 on scale 1-7","2011","Not Employed","Male","","","","","6"
"6 on scale 1-7","2011","Not Employed","Female","","","","","6"
"6 on scale 1-7","2011","Employed","Male","","","","","6"
"6 on scale 1-7","2011","Employed","Female","","","","","6"
"7 Strongly agree","2011","Not Employed","Male","","","","","7"
"7 Strongly agree","2011","Not Employed","Female","","","","","7"
"7 Strongly agree","2011","Employed","Male","","","","","7"
"7 Strongly agree","2011","Employed","Female","","","","","7"
"1 Strongly disagree","2012","Not Employed","Male","","","","","1"
"1 Strongly disagree","2012","Not Employed","Female","","","","","1"
"1 Strongly disagree","2012","Employed","Male","","","","","1"
"1 Strongly disagree","2012","Employed","Female","","","","","1"
"2 on scale 1-7 ","2012","Not Employed","Male","","","","","2"
"2 on scale 1-7 ","2012","Not Employed","Female","","","","","2"
"2 on scale 1-7 ","2012","Employed","Male","","","","","2"
"2 on scale 1-7 ","2012","Employed","Female","","","","","2"
"3 on scale 1-7 ","2012","Not Employed","Male","","","","","3"
"3 on scale 1-7 ","2012","Not Employed","Female","","","","","3"
"3 on scale 1-7 ","2012","Employed","Male","","","","","3"
"3 on scale 1-7 ","2012","Employed","Female","","","","","3"
"4 on scale 1-7","2012","Not Employed","Male","","","","","4"
"4 on scale 1-7","2012","Not Employed","Female","","","","","4"
"4 on scale 1-7","2012","Employed","Male","","","","","4"
"4 on scale 1-7","2012","Employed","Female","","","","","4"
"5 on scale 1-7","2012","Not Employed","Male","","","","","5"
"5 on scale 1-7","2012","Not Employed","Female","","","","","5"
"5 on scale 1-7","2012","Employed","Male","","","","","5"
"5 on scale 1-7","2012","Employed","Female","","","","","5"
"6 on scale 1-7","2012","Not Employed","Male","","","","","6"
"6 on scale 1-7","2012","Not Employed","Female","","","","","6"
"6 on scale 1-7","2012","Employed","Male","","","","","6"
"6 on scale 1-7","2012","Employed","Female","","","","","6"
"7 Strongly agree","2012","Not Employed","Male","","","","","7"
"7 Strongly agree","2012","Not Employed","Female","","","","","7"
"7 Strongly agree","2012","Employed","Male","","","","","7"
"7 Strongly agree","2012","Employed","Female","","","","","7"
"1 Strongly disagree","2013","Not Employed","Male","","","","","1"
"1 Strongly disagree","2013","Not Employed","Female","","","","","1"
"1 Strongly disagree","2013","Employed","Male","","","","","1"
"1 Strongly disagree","2013","Employed","Female","","","","","1"
"2 on scale 1-7 ","2013","Not Employed","Male","","","","","2"
"2 on scale 1-7 ","2013","Not Employed","Female","","","","","2"
"2 on scale 1-7 ","2013","Employed","Male","","","","","2"
"2 on scale 1-7 ","2013","Employed","Female","","","","","2"
"3 on scale 1-7 ","2013","Not Employed","Male","","","","","3"
"3 on scale 1-7 ","2013","Employed","Female","","","","","3"
"3 on scale 1-7 ","2013","Employed","Male","","","","","3"
"3 on scale 1-7 ","2013","Not Employed","Female","","","","","3"
"4 on scale 1-7","2013","Not Employed","Male","","","","","4"
"4 on scale 1-7","2013","Not Employed","Female","","","","","4"
"4 on scale 1-7","2013","Employed","Male","","","","","4"
"4 on scale 1-7","2013","Employed","Female","","","","","4"
"5 on scale 1-7","2013","Not Employed","Male","","","","","5"
"5 on scale 1-7","2013","Employed","Male","","","","","5"
"5 on scale 1-7","2013","Not Employed","Female","","","","","5"
"5 on scale 1-7","2013","Employed","Female","","","","","5"
"6 on scale 1-7","2013","Not Employed","Male","","","","","6"
"6 on scale 1-7","2013","Not Employed","Female","","","","","6"
"6 on scale 1-7","2013","Employed","Male","","","","","6"
"6 on scale 1-7","2013","Employed","Female","","","","","6"
"7 Strongly agree","2013","Not Employed","Male","","","","","7"
"7 Strongly agree","2013","Not Employed","Female","","","","","7"
"7 Strongly agree","2013","Employed","Male","","","","","7"
"7 Strongly agree","2013","Employed","Female","","","","","7"
"1 Strongly disagree","2014","Not Employed","Male","","","","","1"
"1 Strongly disagree","2014","Not Employed","Female","","","","","1"
"1 Strongly disagree","2014","Employed","Male","","","","","1"
"1 Strongly disagree","2014","Employed","Female","","","","","1"
"2 on scale 1-7 ","2014","Not Employed","Male","","","","","2"
"2 on scale 1-7 ","2014","Not Employed","Female","","","","","2"
"2 on scale 1-7 ","2014","Employed","Male","","","","","2"
"2 on scale 1-7 ","2014","Employed","Female","","","","","2"
"3 on scale 1-7 ","2014","Not Employed","Male","","","","","3"
"3 on scale 1-7 ","2014","Employed","Male","","","","","3"
"3 on scale 1-7 ","2014","Not Employed","Female","","","","","3"
"3 on scale 1-7 ","2014","Employed","Female","","","","","3"
"4 on scale 1-7","2014","Not Employed","Male","","","","","4"
"4 on scale 1-7","2014","Employed","Female","","","","","4"
"4 on scale 1-7","2014","Not Employed","Female","","","","","4"
"4 on scale 1-7","2014","Employed","Male","","","","","4"
"5 on scale 1-7","2014","Not Employed","Female","","","","","5"
"5 on scale 1-7","2014","Not Employed","Male","","","","","5"
"5 on scale 1-7","2014","Employed","Male","","","","","5"
"5 on scale 1-7","2014","Employed","Female","","","","","5"
"6 on scale 1-7","2014","Not Employed","Male","","","","","6"
"6 on scale 1-7","2014","Not Employed","Female","","","","","6"
"6 on scale 1-7","2014","Employed","Male","","","","","6"
"6 on scale 1-7","2014","Employed","Female","","","","","6"
"7 Strongly agree","2014","Not Employed","Male","","","","","7"
"7 Strongly agree","2014","Not Employed","Female","","","","","7"
"7 Strongly agree","2014","Employed","Male","","","","","7"
"7 Strongly agree","2014","Employed","Female","","","","","7"
"1 Strongly disagree","2015","Not Employed","Male","30","0.00750625381770699","0.00490885719681694","0.010103650438597","1"
"1 Strongly disagree","2015","Not Employed","Female","55","0.0092858282589184","0.00683384324548973","0.0117378132723471","1"
"1 Strongly disagree","2015","Employed","Male","49","0.0059930018670086","0.00430801120813142","0.00767799252588578","1"
"1 Strongly disagree","2015","Employed","Female","63","0.0081099139401774","0.00621025770874281","0.010009570171612","1"
"2 on scale 1-7 ","2015","Not Employed","Male","39","0.00941215408489529","0.00650643403143929","0.0123178741383513","2"
"2 on scale 1-7 ","2015","Not Employed","Female","67","0.00981776973216088","0.00729720830871049","0.0123383311556113","2"
"2 on scale 1-7 ","2015","Employed","Female","95","0.0135098881968006","0.0110647277346871","0.0159550486589141","2"
"2 on scale 1-7 ","2015","Employed","Male","59","0.00532488244155951","0.00373605691328395","0.00691370796983506","2"
"3 on scale 1-7 ","2015","Not Employed","Male","93","0.0227051400406034","0.0182224608539656","0.0271878192272412","3"
"3 on scale 1-7 ","2015","Employed","Male","150","0.0158252702007541","0.0131007361381618","0.0185498042633465","3"
"3 on scale 1-7 ","2015","Not Employed","Female","128","0.0250221139767139","0.0210291749189708","0.029015053034457","3"
"3 on scale 1-7 ","2015","Employed","Female","222","0.024595774496293","0.0213151412132242","0.0278764077793619","3"
"4 on scale 1-7","2015","Not Employed","Male","333","0.0922882331007357","0.0835783985120282","0.100998067689443","4"
"4 on scale 1-7","2015","Employed","Female","717","0.0835873216689975","0.0777252534483972","0.0894493898895978","4"
"4 on scale 1-7","2015","Not Employed","Female","502","0.0882018743350355","0.0809521489712473","0.0954515996988237","4"
"4 on scale 1-7","2015","Employed","Male","623","0.0699170941678469","0.0643499420722566","0.0754842462634372","4"
"5 on scale 1-7","2015","Not Employed","Male","662","0.161350002506862","0.150280257366886","0.172419747646838","5"
"5 on scale 1-7","2015","Not Employed","Female","877","0.158315184860278","0.148983300844215","0.16764706887634","5"
"5 on scale 1-7","2015","Employed","Male","1478","0.188740128093689","0.180197476581978","0.1972827796054","5"
"5 on scale 1-7","2015","Employed","Female","1415","0.170800416905221","0.162829484619415","0.178771349191028","5"
"6 on scale 1-7","2015","Employed","Female","2932","0.343402333222506","0.33334491737601","0.353459749069002","6"
"6 on scale 1-7","2015","Not Employed","Male","1415","0.339640806220028","0.325389233118594","0.353892379321461","6"
"6 on scale 1-7","2015","Not Employed","Female","1853","0.326815024729885","0.314824132091831","0.33880591736794","6"
"6 on scale 1-7","2015","Employed","Male","2919","0.377272789471451","0.366691045896233","0.387854533046669","6"
"7 Strongly agree","2015","Employed","Female","3119","0.355994351570004","0.345852867545451","0.366135835594558","7"
"7 Strongly agree","2015","Not Employed","Male","1670","0.367097410229169","0.352592272540566","0.381602547917773","7"
"7 Strongly agree","2015","Not Employed","Female","2396","0.382542204107008","0.370117769997689","0.394966638216328","7"
"7 Strongly agree","2015","Employed","Male","2782","0.336926833757691","0.326608036087567","0.347245631427816","7"
"1 Strongly disagree","2016","Not Employed","Male","10","","","","1"
"1 Strongly disagree","2016","Not Employed","Female","7","","","","1"
"1 Strongly disagree","2016","Employed","Male","","","","","1"
"1 Strongly disagree","2016","Employed","Female","","","","","1"
"2 on scale 1-7 ","2016","Not Employed","Female","5","","","","2"
"2 on scale 1-7 ","2016","Employed","Female","","","","","2"
"2 on scale 1-7 ","2016","Not Employed","Male","7","","","","2"
"2 on scale 1-7 ","2016","Employed","Male","","","","","2"
"3 on scale 1-7 ","2016","Not Employed","Male","9","","","","3"
"3 on scale 1-7 ","2016","Employed","Male","","","","","3"
"3 on scale 1-7 ","2016","Employed","Female","","","","","3"
"3 on scale 1-7 ","2016","Not Employed","Female","3","","","","3"
"4 on scale 1-7","2016","Not Employed","Male","31","0.0421220326161474","0.0345621857150024","0.0496818795172924","4"
"4 on scale 1-7","2016","Employed","Female","","","","","4"
"4 on scale 1-7","2016","Not Employed","Female","20","","","","4"
"4 on scale 1-7","2016","Employed","Male","","","","","4"
"5 on scale 1-7","2016","Not Employed","Male","77","0.0551313896233616","0.0465414832779086","0.0637212959688147","5"
"5 on scale 1-7","2016","Not Employed","Female","46","0.100995769549032","0.0864961249604441","0.11549541413762","5"
"5 on scale 1-7","2016","Employed","Male","","","","","5"
"5 on scale 1-7","2016","Employed","Female","","","","","5"
"6 on scale 1-7","2016","Not Employed","Male","251","0.135756383461117","0.122864942364124","0.14864782455811","6"
"6 on scale 1-7","2016","Not Employed","Female","124","0.132927111560164","0.116590593944043","0.149263629176284","6"
"6 on scale 1-7","2016","Employed","Female","","","","","6"
"6 on scale 1-7","2016","Employed","Male","","","","","6"
"7 Strongly agree","2016","Not Employed","Male","2327","0.744370633588449","0.727953276825294","0.760787990351603","7"
"7 Strongly agree","2016","Employed","Female","","","","","7"
"7 Strongly agree","2016","Not Employed","Female","1454","0.687331054350988","0.66502358753017","0.709638521171805","7"
"7 Strongly agree","2016","Employed","Male","","","","","7"
"1 Strongly disagree","2017","Not Employed","Male","8","","","","1"
"1 Strongly disagree","2017","Not Employed","Female","2","","","","1"
"1 Strongly disagree","2017","Employed","Male","","","","","1"
"1 Strongly disagree","2017","Employed","Female","","","","","1"
"2 on scale 1-7 ","2017","Not Employed","Male","1","","","","2"
"2 on scale 1-7 ","2017","Employed","Male","","","","","2"
"2 on scale 1-7 ","2017","Employed","Female","","","","","2"
"2 on scale 1-7 ","2017","Not Employed","Female","4","","","","2"
"3 on scale 1-7 ","2017","Not Employed","Male","7","","","","3"
"3 on scale 1-7 ","2017","Not Employed","Female","6","","","","3"
"3 on scale 1-7 ","2017","Employed","Male","","","","","3"
"3 on scale 1-7 ","2017","Employed","Female","","","","","3"
"4 on scale 1-7","2017","Not Employed","Male","20","","","","4"
"4 on scale 1-7","2017","Not Employed","Female","11","","","","4"
"4 on scale 1-7","2017","Employed","Male","","","","","4"
"4 on scale 1-7","2017","Employed","Female","","","","","4"
"5 on scale 1-7","2017","Not Employed","Male","56","0.0366912079013897","0.0276143977060861","0.0457680180966933","5"
"5 on scale 1-7","2017","Not Employed","Female","30","0.0195226023805406","0.0117623131699261","0.0272828915911551","5"
"5 on scale 1-7","2017","Employed","Male","","","","","5"
"5 on scale 1-7","2017","Employed","Female","","","","","5"
"6 on scale 1-7","2017","Not Employed","Male","183","0.122496386785567","0.106667310088511","0.138325463482622","6"
"6 on scale 1-7","2017","Not Employed","Female","145","0.132681881637425","0.113654226153506","0.151709537121343","6"
"6 on scale 1-7","2017","Employed","Female","","","","","6"
"6 on scale 1-7","2017","Employed","Male","","","","","6"
"7 Strongly agree","2017","Not Employed","Male","1373","0.817871046507859","0.799237247769564","0.836504845246155","7"
"7 Strongly agree","2017","Not Employed","Female","1023","0.831163883736464","0.810151938140058","0.85217582933287","7"
"7 Strongly agree","2017","Employed","Male","","","","","7"
"7 Strongly agree","2017","Employed","Female","","","","","7"
"1 Strongly disagree","2018","Employed","Female","","","","","1"
"1 Strongly disagree","2018","Not Employed","Male","1","","","","1"
"1 Strongly disagree","2018","Not Employed","Female","2","","","","1"
"1 Strongly disagree","2018","Employed","Male","","","","","1"
"2 on scale 1-7 ","2018","Employed","Female","","","","","2"
"2 on scale 1-7 ","2018","Not Employed","Male","1","","","","2"
"2 on scale 1-7 ","2018","Employed","Male","","","","","2"
"2 on scale 1-7 ","2018","Not Employed","Female","2","","","","2"
"3 on scale 1-7 ","2018","Employed","Female","","","","","3"
"3 on scale 1-7 ","2018","Not Employed","Male","1","","","","3"
"3 on scale 1-7 ","2018","Employed","Male","","","","","3"
"3 on scale 1-7 ","2018","Not Employed","Female","1","","","","3"
"4 on scale 1-7","2018","Employed","Female","","","","","4"
"4 on scale 1-7","2018","Not Employed","Male","2","","","","4"
"4 on scale 1-7","2018","Not Employed","Female","","","","","4"
"4 on scale 1-7","2018","Employed","Male","","","","","4"
"5 on scale 1-7","2018","Not Employed","Female","7","","","","5"
"5 on scale 1-7","2018","Employed","Female","","","","","5"
"5 on scale 1-7","2018","Not Employed","Male","5","","","","5"
"5 on scale 1-7","2018","Employed","Male","","","","","5"
"6 on scale 1-7","2018","Employed","Female","","","","","6"
"6 on scale 1-7","2018","Not Employed","Male","24","","","","6"
"6 on scale 1-7","2018","Employed","Male","","","","","6"
"6 on scale 1-7","2018","Not Employed","Female","23","","","","6"
"7 Strongly agree","2018","Not Employed","Male","163","0.87550434949681","0.829402195049636","0.921606503943984","7"
"7 Strongly agree","2018","Not Employed","Female","187","0.861174091974021","0.815690752588255","0.906657431359787","7"
"7 Strongly agree","2018","Employed","Male","","","","","7"
"7 Strongly agree","2018","Employed","Female","","","","","7"
"1 Strongly disagree","2019","Employed","Female","","","","","1"
"1 Strongly disagree","2019","Not Employed","Female","1","","","","1"
"1 Strongly disagree","2019","Employed","Male","","","","","1"
"1 Strongly disagree","2019","Not Employed","Male","3","","","","1"
"2 on scale 1-7 ","2019","Employed","Female","","","","","2"
