"plh0206i04","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"7 Strongly agree","2009","Not Employed","Part Time","","","",""
"7 Strongly agree","2009","Not Employed","Not Working","","","",""
"7 Strongly agree","2009","Employed","Full Time","","","",""
"7 Strongly agree","2009","Employed","Part Time","","","",""
"7 Strongly agree","2009","Employed","Not Working","","","",""
"1 Strongly disagree","2010","Not Employed","Full Time","","","",""
"1 Strongly disagree","2010","Not Employed","Part Time","","","",""
"1 Strongly disagree","2010","Not Employed","Not Working","64","0.0121664905392981","0.00946454432920271","0.0148684367493934"
"1 Strongly disagree","2010","Employed","Full Time","26","","",""
"1 Strongly disagree","2010","Employed","Part Time","25","","",""
"1 Strongly disagree","2010","Employed","Not Working","","","",""
"2 on scale 1-7 ","2010","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2010","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2010","Not Employed","Not Working","79","0.0134245220279658","0.0105881268746775","0.0162609171812542"
"2 on scale 1-7 ","2010","Employed","Full Time","48","0.0103948901208155","0.00791758332210175","0.0128721969195292"
"2 on scale 1-7 ","2010","Employed","Part Time","33","0.00988293984977967","0.00677717024005115","0.0129887094595082"
"2 on scale 1-7 ","2010","Employed","Not Working","","","",""
"3 on scale 1-7 ","2010","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2010","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2010","Not Employed","Not Working","142","0.0199200561982705","0.0164763333581475","0.0233637790383935"
"3 on scale 1-7 ","2010","Employed","Full Time","139","0.02873214851271","0.0246518453047609","0.0328124517206591"
"3 on scale 1-7 ","2010","Employed","Part Time","106","0.0276254047916585","0.0224795916094812","0.0327712179738357"
"3 on scale 1-7 ","2010","Employed","Not Working","","","",""
"4 on scale 1-7","2010","Not Employed","Full Time","","","",""
"4 on scale 1-7","2010","Not Employed","Part Time","","","",""
"4 on scale 1-7","2010","Not Employed","Not Working","570","0.0907950663743105","0.0837137470729385","0.0978763856756825"
"4 on scale 1-7","2010","Employed","Full Time","568","0.0935020324305532","0.0863909973456837","0.100613067515423"
"4 on scale 1-7","2010","Employed","Part Time","352","0.104113057650702","0.0945243055227886","0.113701809778615"
"4 on scale 1-7","2010","Employed","Not Working","","","",""
"5 on scale 1-7","2010","Not Employed","Full Time","","","",""
"5 on scale 1-7","2010","Not Employed","Part Time","","","",""
"5 on scale 1-7","2010","Not Employed","Not Working","1151","0.17999025903643","0.170521650383443","0.189458867689416"
"5 on scale 1-7","2010","Employed","Full Time","1211","0.179914423110503","0.170532292906788","0.189296553314219"
"5 on scale 1-7","2010","Employed","Part Time","722","0.169807152617953","0.158018874551049","0.181595430684857"
"5 on scale 1-7","2010","Employed","Not Working","","","",""
"6 on scale 1-7","2010","Not Employed","Full Time","","","",""
"6 on scale 1-7","2010","Not Employed","Part Time","","","",""
"6 on scale 1-7","2010","Not Employed","Not Working","1934","0.287137982277043","0.275987331352256","0.298288633201829"
"6 on scale 1-7","2010","Employed","Full Time","2310","0.345677248902948","0.334060882888696","0.357293614917199"
"6 on scale 1-7","2010","Employed","Part Time","1359","0.33691712441735","0.322077314541673","0.351756934293028"
"6 on scale 1-7","2010","Employed","Not Working","","","",""
"7 Strongly agree","2010","Not Employed","Full Time","","","",""
"7 Strongly agree","2010","Not Employed","Part Time","","","",""
"7 Strongly agree","2010","Not Employed","Not Working","2384","0.396565623546683","0.384509027329662","0.408622219763704"
"7 Strongly agree","2010","Employed","Full Time","2137","0.336165329378096","0.32462693698953","0.347703721766662"
"7 Strongly agree","2010","Employed","Part Time","1300","0.346077362371043","0.331141418590294","0.361013306151792"
"7 Strongly agree","2010","Employed","Not Working","","","",""
"1 Strongly disagree","2011","Not Employed","Full Time","","","",""
"1 Strongly disagree","2011","Not Employed","Part Time","","","",""
"1 Strongly disagree","2011","Not Employed","Not Working","","","",""
"1 Strongly disagree","2011","Employed","Full Time","","","",""
"1 Strongly disagree","2011","Employed","Part Time","","","",""
"1 Strongly disagree","2011","Employed","Not Working","","","",""
"2 on scale 1-7 ","2011","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2011","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2011","Not Employed","Not Working","","","",""
"2 on scale 1-7 ","2011","Employed","Full Time","","","",""
"2 on scale 1-7 ","2011","Employed","Part Time","","","",""
"2 on scale 1-7 ","2011","Employed","Not Working","","","",""
"3 on scale 1-7 ","2011","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2011","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2011","Not Employed","Not Working","","","",""
"3 on scale 1-7 ","2011","Employed","Full Time","","","",""
"3 on scale 1-7 ","2011","Employed","Part Time","","","",""
"3 on scale 1-7 ","2011","Employed","Not Working","","","",""
"4 on scale 1-7","2011","Not Employed","Full Time","","","",""
"4 on scale 1-7","2011","Not Employed","Part Time","","","",""
"4 on scale 1-7","2011","Not Employed","Not Working","","","",""
"4 on scale 1-7","2011","Employed","Full Time","","","",""
"4 on scale 1-7","2011","Employed","Part Time","","","",""
"4 on scale 1-7","2011","Employed","Not Working","","","",""
"5 on scale 1-7","2011","Not Employed","Full Time","","","",""
"5 on scale 1-7","2011","Not Employed","Part Time","","","",""
"5 on scale 1-7","2011","Not Employed","Not Working","","","",""
"5 on scale 1-7","2011","Employed","Full Time","","","",""
"5 on scale 1-7","2011","Employed","Part Time","","","",""
"5 on scale 1-7","2011","Employed","Not Working","","","",""
"6 on scale 1-7","2011","Not Employed","Full Time","","","",""
"6 on scale 1-7","2011","Not Employed","Part Time","","","",""
"6 on scale 1-7","2011","Not Employed","Not Working","","","",""
"6 on scale 1-7","2011","Employed","Full Time","","","",""
"6 on scale 1-7","2011","Employed","Part Time","","","",""
"6 on scale 1-7","2011","Employed","Not Working","","","",""
"7 Strongly agree","2011","Not Employed","Full Time","","","",""
"7 Strongly agree","2011","Not Employed","Part Time","","","",""
"7 Strongly agree","2011","Not Employed","Not Working","","","",""
"7 Strongly agree","2011","Employed","Full Time","","","",""
"7 Strongly agree","2011","Employed","Part Time","","","",""
"7 Strongly agree","2011","Employed","Not Working","","","",""
"1 Strongly disagree","2012","Not Employed","Full Time","","","",""
"1 Strongly disagree","2012","Not Employed","Part Time","","","",""
"1 Strongly disagree","2012","Not Employed","Not Working","","","",""
"1 Strongly disagree","2012","Employed","Full Time","","","",""
"1 Strongly disagree","2012","Employed","Part Time","","","",""
"1 Strongly disagree","2012","Employed","Not Working","","","",""
"2 on scale 1-7 ","2012","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2012","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2012","Not Employed","Not Working","","","",""
"2 on scale 1-7 ","2012","Employed","Full Time","","","",""
"2 on scale 1-7 ","2012","Employed","Part Time","","","",""
"2 on scale 1-7 ","2012","Employed","Not Working","","","",""
"3 on scale 1-7 ","2012","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2012","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2012","Not Employed","Not Working","","","",""
"3 on scale 1-7 ","2012","Employed","Full Time","","","",""
"3 on scale 1-7 ","2012","Employed","Part Time","","","",""
"3 on scale 1-7 ","2012","Employed","Not Working","","","",""
"4 on scale 1-7","2012","Not Employed","Full Time","","","",""
"4 on scale 1-7","2012","Not Employed","Part Time","","","",""
"4 on scale 1-7","2012","Not Employed","Not Working","","","",""
"4 on scale 1-7","2012","Employed","Full Time","","","",""
"4 on scale 1-7","2012","Employed","Part Time","","","",""
"4 on scale 1-7","2012","Employed","Not Working","","","",""
"5 on scale 1-7","2012","Not Employed","Full Time","","","",""
"5 on scale 1-7","2012","Not Employed","Part Time","","","",""
"5 on scale 1-7","2012","Not Employed","Not Working","","","",""
"5 on scale 1-7","2012","Employed","Full Time","","","",""
"5 on scale 1-7","2012","Employed","Part Time","","","",""
"5 on scale 1-7","2012","Employed","Not Working","","","",""
"6 on scale 1-7","2012","Not Employed","Full Time","","","",""
"6 on scale 1-7","2012","Not Employed","Part Time","","","",""
"6 on scale 1-7","2012","Not Employed","Not Working","","","",""
"6 on scale 1-7","2012","Employed","Full Time","","","",""
"6 on scale 1-7","2012","Employed","Part Time","","","",""
"6 on scale 1-7","2012","Employed","Not Working","","","",""
"7 Strongly agree","2012","Not Employed","Full Time","","","",""
"7 Strongly agree","2012","Not Employed","Part Time","","","",""
"7 Strongly agree","2012","Not Employed","Not Working","","","",""
"7 Strongly agree","2012","Employed","Full Time","","","",""
"7 Strongly agree","2012","Employed","Part Time","","","",""
"7 Strongly agree","2012","Employed","Not Working","","","",""
"1 Strongly disagree","2013","Not Employed","Full Time","","","",""
"1 Strongly disagree","2013","Not Employed","Part Time","","","",""
"1 Strongly disagree","2013","Not Employed","Not Working","","","",""
"1 Strongly disagree","2013","Employed","Full Time","","","",""
"1 Strongly disagree","2013","Employed","Part Time","","","",""
"1 Strongly disagree","2013","Employed","Not Working","","","",""
"2 on scale 1-7 ","2013","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2013","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2013","Not Employed","Not Working","","","",""
"2 on scale 1-7 ","2013","Employed","Full Time","","","",""
"2 on scale 1-7 ","2013","Employed","Part Time","","","",""
"2 on scale 1-7 ","2013","Employed","Not Working","","","",""
"3 on scale 1-7 ","2013","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2013","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2013","Not Employed","Not Working","","","",""
"3 on scale 1-7 ","2013","Employed","Full Time","","","",""
"3 on scale 1-7 ","2013","Employed","Part Time","","","",""
"3 on scale 1-7 ","2013","Employed","Not Working","","","",""
"4 on scale 1-7","2013","Not Employed","Full Time","","","",""
"4 on scale 1-7","2013","Not Employed","Part Time","","","",""
"4 on scale 1-7","2013","Not Employed","Not Working","","","",""
"4 on scale 1-7","2013","Employed","Full Time","","","",""
"4 on scale 1-7","2013","Employed","Part Time","","","",""
"4 on scale 1-7","2013","Employed","Not Working","","","",""
"5 on scale 1-7","2013","Not Employed","Full Time","","","",""
"5 on scale 1-7","2013","Not Employed","Part Time","","","",""
"5 on scale 1-7","2013","Not Employed","Not Working","","","",""
"5 on scale 1-7","2013","Employed","Full Time","","","",""
"5 on scale 1-7","2013","Employed","Part Time","","","",""
"5 on scale 1-7","2013","Employed","Not Working","","","",""
"6 on scale 1-7","2013","Not Employed","Full Time","","","",""
"6 on scale 1-7","2013","Not Employed","Part Time","","","",""
"6 on scale 1-7","2013","Not Employed","Not Working","","","",""
"6 on scale 1-7","2013","Employed","Full Time","","","",""
"6 on scale 1-7","2013","Employed","Part Time","","","",""
"6 on scale 1-7","2013","Employed","Not Working","","","",""
"7 Strongly agree","2013","Not Employed","Full Time","","","",""
"7 Strongly agree","2013","Not Employed","Part Time","","","",""
"7 Strongly agree","2013","Not Employed","Not Working","","","",""
"7 Strongly agree","2013","Employed","Full Time","","","",""
"7 Strongly agree","2013","Employed","Part Time","","","",""
"7 Strongly agree","2013","Employed","Not Working","","","",""
"1 Strongly disagree","2014","Not Employed","Full Time","","","",""
"1 Strongly disagree","2014","Not Employed","Part Time","","","",""
"1 Strongly disagree","2014","Not Employed","Not Working","","","",""
"1 Strongly disagree","2014","Employed","Full Time","","","",""
"1 Strongly disagree","2014","Employed","Part Time","","","",""
"1 Strongly disagree","2014","Employed","Not Working","","","",""
"2 on scale 1-7 ","2014","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2014","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2014","Not Employed","Not Working","","","",""
"2 on scale 1-7 ","2014","Employed","Full Time","","","",""
"2 on scale 1-7 ","2014","Employed","Part Time","","","",""
"2 on scale 1-7 ","2014","Employed","Not Working","","","",""
"3 on scale 1-7 ","2014","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2014","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2014","Not Employed","Not Working","","","",""
"3 on scale 1-7 ","2014","Employed","Full Time","","","",""
"3 on scale 1-7 ","2014","Employed","Part Time","","","",""
"3 on scale 1-7 ","2014","Employed","Not Working","","","",""
"4 on scale 1-7","2014","Not Employed","Full Time","","","",""
"4 on scale 1-7","2014","Not Employed","Part Time","","","",""
"4 on scale 1-7","2014","Not Employed","Not Working","","","",""
"4 on scale 1-7","2014","Employed","Full Time","","","",""
"4 on scale 1-7","2014","Employed","Part Time","","","",""
"4 on scale 1-7","2014","Employed","Not Working","","","",""
"5 on scale 1-7","2014","Not Employed","Full Time","","","",""
"5 on scale 1-7","2014","Not Employed","Part Time","","","",""
"5 on scale 1-7","2014","Not Employed","Not Working","","","",""
"5 on scale 1-7","2014","Employed","Full Time","","","",""
"5 on scale 1-7","2014","Employed","Part Time","","","",""
"5 on scale 1-7","2014","Employed","Not Working","","","",""
"6 on scale 1-7","2014","Not Employed","Full Time","","","",""
"6 on scale 1-7","2014","Not Employed","Part Time","","","",""
"6 on scale 1-7","2014","Not Employed","Not Working","","","",""
"6 on scale 1-7","2014","Employed","Full Time","","","",""
"6 on scale 1-7","2014","Employed","Part Time","","","",""
"6 on scale 1-7","2014","Employed","Not Working","","","",""
"7 Strongly agree","2014","Not Employed","Full Time","","","",""
"7 Strongly agree","2014","Not Employed","Part Time","","","",""
"7 Strongly agree","2014","Not Employed","Not Working","","","",""
"7 Strongly agree","2014","Employed","Full Time","","","",""
"7 Strongly agree","2014","Employed","Part Time","","","",""
"7 Strongly agree","2014","Employed","Not Working","","","",""
"1 Strongly disagree","2015","Not Employed","Full Time","","","",""
"1 Strongly disagree","2015","Not Employed","Part Time","","","",""
"1 Strongly disagree","2015","Not Employed","Not Working","85","0.00851507208296166","0.00672489885702339","0.0103052453088999"
"1 Strongly disagree","2015","Employed","Full Time","57","0.006927298134761","0.00525996781571737","0.00859462845380462"
"1 Strongly disagree","2015","Employed","Part Time","55","0.00711536789915675","0.00516261324063494","0.00906812255767857"
"1 Strongly disagree","2015","Employed","Not Working","","","",""
"2 on scale 1-7 ","2015","Not Employed","Full Time","","","",""
"2 on scale 1-7 ","2015","Not Employed","Part Time","","","",""
"2 on scale 1-7 ","2015","Not Employed","Not Working","106","0.00964209247025223","0.00773821248801497","0.0115459724524895"
"2 on scale 1-7 ","2015","Employed","Full Time","79","0.00853693149873277","0.00668749955257674","0.0103863634448888"
"2 on scale 1-7 ","2015","Employed","Part Time","75","0.010294270875746","0.00794922984369637","0.0126393119077957"
"2 on scale 1-7 ","2015","Employed","Not Working","","","",""
"3 on scale 1-7 ","2015","Not Employed","Full Time","","","",""
"3 on scale 1-7 ","2015","Not Employed","Part Time","","","",""
"3 on scale 1-7 ","2015","Not Employed","Not Working","221","0.0240186032893092","0.0210356086074053","0.027001597971213"
