"plh0206i04","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"3 on scale 1-7 ","2010","West Germany","Male","135","0.0269863258772676","0.0228699833892578","0.0311026683652774","3"
"3 on scale 1-7 ","2010","West Germany","Female","173","0.0270252183571636","0.0231068654733343","0.0309435712409928","3"
"3 on scale 1-7 ","2010","East Germany","Female","41","0.0178261544539131","0.0122226286927102","0.023429680215116","3"
"3 on scale 1-7 ","2010","East Germany","Male","38","0.0150743113735181","0.00971537078603011","0.020433251961006","3"
"4 on scale 1-7","2010","West Germany","Female","609","0.0990121558544998","0.0917949038128988","0.106229407896101","4"
"4 on scale 1-7","2010","East Germany","Male","191","0.108922582464059","0.0952208604389711","0.122624304489147","4"
"4 on scale 1-7","2010","West Germany","Male","484","0.0869795363489357","0.0798209222792027","0.0941381504186686","4"
"4 on scale 1-7","2010","East Germany","Female","206","0.0949727285858552","0.0825571018172173","0.107388355354493","4"
"5 on scale 1-7","2010","West Germany","Male","1148","0.190511164339328","0.180535408820914","0.200486919857741","5"
"5 on scale 1-7","2010","East Germany","Male","358","0.175057750769085","0.158344500586218","0.191771000951951","5"
"5 on scale 1-7","2010","West Germany","Female","1201","0.168377717359369","0.159335529714635","0.177419905004103","5"
"5 on scale 1-7","2010","East Germany","Female","377","0.167017999913369","0.15122233887818","0.182813660948559","5"
"6 on scale 1-7","2010","West Germany","Male","2072","0.334121914559748","0.322139895903055","0.346103933216441","6"
"6 on scale 1-7","2010","West Germany","Female","2090","0.30194607874039","0.290852355419031","0.313039802061748","6"
"6 on scale 1-7","2010","East Germany","Male","698","0.34048255982937","0.31964153615775","0.361323583500989","6"
"6 on scale 1-7","2010","East Germany","Female","743","0.32845467832767","0.308565641689451","0.348343714965888","6"
"7 Strongly agree","2010","West Germany","Male","2022","0.341798602051359","0.329749777207858","0.353847426894861","7"
"7 Strongly agree","2010","West Germany","Female","2386","0.382269642589912","0.370527360068513","0.394011925111311","7"
"7 Strongly agree","2010","East Germany","Male","673","0.346431071648803","0.325503801237257","0.367358342060349","7"
"7 Strongly agree","2010","East Germany","Female","740","0.374021252331272","0.353530104229074","0.394512400433469","7"
"1 Strongly disagree","2011","West Germany","Male","","","","","1"
"1 Strongly disagree","2011","West Germany","Female","","","","","1"
"1 Strongly disagree","2011","East Germany","Male","","","","","1"
"1 Strongly disagree","2011","East Germany","Female","","","","","1"
"2 on scale 1-7 ","2011","West Germany","Male","","","","","2"
"2 on scale 1-7 ","2011","West Germany","Female","","","","","2"
"2 on scale 1-7 ","2011","East Germany","Male","","","","","2"
"2 on scale 1-7 ","2011","East Germany","Female","","","","","2"
"3 on scale 1-7 ","2011","West Germany","Male","","","","","3"
"3 on scale 1-7 ","2011","East Germany","Male","","","","","3"
"3 on scale 1-7 ","2011","West Germany","Female","","","","","3"
"3 on scale 1-7 ","2011","East Germany","Female","","","","","3"
"4 on scale 1-7","2011","West Germany","Male","","","","","4"
"4 on scale 1-7","2011","West Germany","Female","","","","","4"
"4 on scale 1-7","2011","East Germany","Male","","","","","4"
"4 on scale 1-7","2011","East Germany","Female","","","","","4"
"5 on scale 1-7","2011","East Germany","Male","","","","","5"
"5 on scale 1-7","2011","West Germany","Female","","","","","5"
"5 on scale 1-7","2011","West Germany","Male","","","","","5"
"5 on scale 1-7","2011","East Germany","Female","","","","","5"
"6 on scale 1-7","2011","West Germany","Male","","","","","6"
"6 on scale 1-7","2011","West Germany","Female","","","","","6"
"6 on scale 1-7","2011","East Germany","Male","","","","","6"
"6 on scale 1-7","2011","East Germany","Female","","","","","6"
"7 Strongly agree","2011","West Germany","Male","","","","","7"
"7 Strongly agree","2011","West Germany","Female","","","","","7"
"7 Strongly agree","2011","East Germany","Male","","","","","7"
"7 Strongly agree","2011","East Germany","Female","","","","","7"
"1 Strongly disagree","2012","West Germany","Male","","","","","1"
"1 Strongly disagree","2012","West Germany","Female","","","","","1"
"1 Strongly disagree","2012","East Germany","Male","","","","","1"
"1 Strongly disagree","2012","East Germany","Female","","","","","1"
"2 on scale 1-7 ","2012","West Germany","Male","","","","","2"
"2 on scale 1-7 ","2012","West Germany","Female","","","","","2"
"2 on scale 1-7 ","2012","East Germany","Male","","","","","2"
"2 on scale 1-7 ","2012","East Germany","Female","","","","","2"
"3 on scale 1-7 ","2012","West Germany","Male","","","","","3"
"3 on scale 1-7 ","2012","West Germany","Female","","","","","3"
"3 on scale 1-7 ","2012","East Germany","Male","","","","","3"
"3 on scale 1-7 ","2012","East Germany","Female","","","","","3"
"4 on scale 1-7","2012","West Germany","Male","","","","","4"
"4 on scale 1-7","2012","West Germany","Female","","","","","4"
"4 on scale 1-7","2012","East Germany","Male","","","","","4"
"4 on scale 1-7","2012","East Germany","Female","","","","","4"
"5 on scale 1-7","2012","West Germany","Male","","","","","5"
"5 on scale 1-7","2012","West Germany","Female","","","","","5"
"5 on scale 1-7","2012","East Germany","Male","","","","","5"
"5 on scale 1-7","2012","East Germany","Female","","","","","5"
"6 on scale 1-7","2012","West Germany","Male","","","","","6"
"6 on scale 1-7","2012","West Germany","Female","","","","","6"
"6 on scale 1-7","2012","East Germany","Male","","","","","6"
"6 on scale 1-7","2012","East Germany","Female","","","","","6"
"7 Strongly agree","2012","West Germany","Male","","","","","7"
"7 Strongly agree","2012","West Germany","Female","","","","","7"
"7 Strongly agree","2012","East Germany","Male","","","","","7"
"7 Strongly agree","2012","East Germany","Female","","","","","7"
"1 Strongly disagree","2013","West Germany","Male","","","","","1"
"1 Strongly disagree","2013","West Germany","Female","","","","","1"
"1 Strongly disagree","2013","East Germany","Male","","","","","1"
"1 Strongly disagree","2013","East Germany","Female","","","","","1"
"2 on scale 1-7 ","2013","West Germany","Male","","","","","2"
"2 on scale 1-7 ","2013","West Germany","Female","","","","","2"
"2 on scale 1-7 ","2013","East Germany","Male","","","","","2"
"2 on scale 1-7 ","2013","East Germany","Female","","","","","2"
"3 on scale 1-7 ","2013","West Germany","Male","","","","","3"
"3 on scale 1-7 ","2013","East Germany","Female","","","","","3"
"3 on scale 1-7 ","2013","East Germany","Male","","","","","3"
"3 on scale 1-7 ","2013","West Germany","Female","","","","","3"
"4 on scale 1-7","2013","West Germany","Male","","","","","4"
"4 on scale 1-7","2013","West Germany","Female","","","","","4"
"4 on scale 1-7","2013","East Germany","Male","","","","","4"
"4 on scale 1-7","2013","East Germany","Female","","","","","4"
"5 on scale 1-7","2013","West Germany","Male","","","","","5"
"5 on scale 1-7","2013","East Germany","Male","","","","","5"
"5 on scale 1-7","2013","West Germany","Female","","","","","5"
"5 on scale 1-7","2013","East Germany","Female","","","","","5"
"6 on scale 1-7","2013","West Germany","Male","","","","","6"
"6 on scale 1-7","2013","West Germany","Female","","","","","6"
"6 on scale 1-7","2013","East Germany","Male","","","","","6"
"6 on scale 1-7","2013","East Germany","Female","","","","","6"
"7 Strongly agree","2013","West Germany","Male","","","","","7"
"7 Strongly agree","2013","West Germany","Female","","","","","7"
"7 Strongly agree","2013","East Germany","Male","","","","","7"
"7 Strongly agree","2013","East Germany","Female","","","","","7"
"1 Strongly disagree","2014","West Germany","Male","","","","","1"
"1 Strongly disagree","2014","West Germany","Female","","","","","1"
"1 Strongly disagree","2014","East Germany","Male","","","","","1"
"1 Strongly disagree","2014","East Germany","Female","","","","","1"
"2 on scale 1-7 ","2014","West Germany","Male","","","","","2"
"2 on scale 1-7 ","2014","West Germany","Female","","","","","2"
"2 on scale 1-7 ","2014","East Germany","Male","","","","","2"
"2 on scale 1-7 ","2014","East Germany","Female","","","","","2"
"3 on scale 1-7 ","2014","West Germany","Male","","","","","3"
"3 on scale 1-7 ","2014","East Germany","Male","","","","","3"
"3 on scale 1-7 ","2014","West Germany","Female","","","","","3"
"3 on scale 1-7 ","2014","East Germany","Female","","","","","3"
"4 on scale 1-7","2014","West Germany","Male","","","","","4"
"4 on scale 1-7","2014","East Germany","Female","","","","","4"
"4 on scale 1-7","2014","West Germany","Female","","","","","4"
"4 on scale 1-7","2014","East Germany","Male","","","","","4"
"5 on scale 1-7","2014","West Germany","Female","","","","","5"
"5 on scale 1-7","2014","West Germany","Male","","","","","5"
"5 on scale 1-7","2014","East Germany","Male","","","","","5"
"5 on scale 1-7","2014","East Germany","Female","","","","","5"
"6 on scale 1-7","2014","West Germany","Male","","","","","6"
"6 on scale 1-7","2014","West Germany","Female","","","","","6"
"6 on scale 1-7","2014","East Germany","Male","","","","","6"
"6 on scale 1-7","2014","East Germany","Female","","","","","6"
"7 Strongly agree","2014","West Germany","Male","","","","","7"
"7 Strongly agree","2014","West Germany","Female","","","","","7"
"7 Strongly agree","2014","East Germany","Male","","","","","7"
"7 Strongly agree","2014","East Germany","Female","","","","","7"
"1 Strongly disagree","2015","West Germany","Male","65","0.00740933280816131","0.00571274014697757","0.00910592546934504","1"
"1 Strongly disagree","2015","West Germany","Female","90","0.00828090008717289","0.00662433759217246","0.00993746258217333","1"
"1 Strongly disagree","2015","East Germany","Male","14","","","","1"
"1 Strongly disagree","2015","East Germany","Female","28","","","","1"
"2 on scale 1-7 ","2015","West Germany","Male","70","0.00608123452115212","0.00454317104130982","0.00761929800099442","2"
"2 on scale 1-7 ","2015","West Germany","Female","116","0.011744375495257","0.00977501906723216","0.0137137319232819","2"
"2 on scale 1-7 ","2015","East Germany","Female","46","0.0128571147355347","0.00878830660107706","0.0169259228699924","2"
"2 on scale 1-7 ","2015","East Germany","Male","28","","","","2"
"3 on scale 1-7 ","2015","West Germany","Male","184","0.0170280638942818","0.0144685579998611","0.0195875697887026","3"
"3 on scale 1-7 ","2015","East Germany","Male","59","0.0233391255325702","0.0174054419529958","0.0292728091121446","3"
"3 on scale 1-7 ","2015","West Germany","Female","293","0.025267786662276","0.0223989820284873","0.0281365912960648","3"
"3 on scale 1-7 ","2015","East Germany","Female","57","0.0224987583508911","0.0171427237261","0.0278547929756821","3"
"4 on scale 1-7","2015","West Germany","Male","735","0.0775295752300374","0.0722388785118141","0.0828202719482608","4"
"4 on scale 1-7","2015","East Germany","Female","268","0.0792548800352039","0.0694985123113491","0.0890112477590586","4"
"4 on scale 1-7","2015","West Germany","Female","951","0.086903369410064","0.0817540315106124","0.0920527073095156","4"
"4 on scale 1-7","2015","East Germany","Male","221","0.0773335808080921","0.0668353379384382","0.0878318236777459","4"
"5 on scale 1-7","2015","West Germany","Male","1675","0.174225175061174","0.166721237475411","0.181729112646938","5"
"5 on scale 1-7","2015","West Germany","Female","1794","0.164794026716782","0.158012269437837","0.171575783995727","5"
"5 on scale 1-7","2015","East Germany","Male","465","0.203540641570959","0.187716594076852","0.219364689065067","5"
"5 on scale 1-7","2015","East Germany","Female","498","0.168760754434242","0.155233670327816","0.182287838540667","5"
"6 on scale 1-7","2015","East Germany","Female","1026","0.355003163023372","0.337720910557551","0.372285415489192","6"
"6 on scale 1-7","2015","West Germany","Male","3470","0.368339868819599","0.358797217910451","0.377882519728747","6"
"6 on scale 1-7","2015","West Germany","Female","3759","0.332338625953959","0.323727830965553","0.340949420942364","6"
"6 on scale 1-7","2015","East Germany","Male","864","0.346993983996788","0.328285880570621","0.365702087422954","6"
"7 Strongly agree","2015","East Germany","Female","1022","0.351491624111912","0.334248310519251","0.368734937704573","7"
"7 Strongly agree","2015","West Germany","Male","3616","0.349386749665594","0.339954449645264","0.358819049685924","7"
"7 Strongly agree","2015","West Germany","Female","4493","0.370670915674489","0.361841989803696","0.379499841545283","7"
"7 Strongly agree","2015","East Germany","Male","836","0.336845237589542","0.318270065302725","0.355420409876359","7"
"1 Strongly disagree","2016","West Germany","Male","8","","","","1"
"1 Strongly disagree","2016","West Germany","Female","6","","","","1"
"1 Strongly disagree","2016","East Germany","Male","2","","","","1"
"1 Strongly disagree","2016","East Germany","Female","1","","","","1"
"2 on scale 1-7 ","2016","West Germany","Female","5","","","","2"
"2 on scale 1-7 ","2016","East Germany","Female","","","","","2"
"2 on scale 1-7 ","2016","West Germany","Male","5","","","","2"
"2 on scale 1-7 ","2016","East Germany","Male","2","","","","2"
"3 on scale 1-7 ","2016","West Germany","Male","6","","","","3"
"3 on scale 1-7 ","2016","East Germany","Male","3","","","","3"
"3 on scale 1-7 ","2016","East Germany","Female","","","","","3"
"3 on scale 1-7 ","2016","West Germany","Female","3","","","","3"
"4 on scale 1-7","2016","West Germany","Male","27","","","","4"
"4 on scale 1-7","2016","East Germany","Female","5","","","","4"
"4 on scale 1-7","2016","West Germany","Female","15","","","","4"
"4 on scale 1-7","2016","East Germany","Male","5","","","","4"
"5 on scale 1-7","2016","West Germany","Male","67","0.0607253368092377","0.0508615161423692","0.0705891574761062","5"
"5 on scale 1-7","2016","West Germany","Female","40","0.114504228623821","0.0978304883635988","0.131177968884043","5"
"5 on scale 1-7","2016","East Germany","Male","10","","","","5"
"5 on scale 1-7","2016","East Germany","Female","6","","","","5"
"6 on scale 1-7","2016","West Germany","Male","220","0.135691508420036","0.121547431059899","0.149835585780173","6"
"6 on scale 1-7","2016","West Germany","Female","111","0.129143970479799","0.111583373648535","0.146704567311063","6"
"6 on scale 1-7","2016","East Germany","Female","13","","","","6"
"6 on scale 1-7","2016","East Germany","Male","31","0.134244965936083","0.103456776169481","0.165033155702685","6"
"7 Strongly agree","2016","West Germany","Male","1919","0.734114490305085","0.715867420603709","0.752361560006461","7"
"7 Strongly agree","2016","East Germany","Female","244","0.765495629632777","0.714864364507438","0.816126894758115","7"
"7 Strongly agree","2016","West Germany","Female","1221","0.676505455770314","0.652009287570829","0.701001623969799","7"
"7 Strongly agree","2016","East Germany","Male","418","0.805587698121155","0.769847585105285","0.841327811137025","7"
"1 Strongly disagree","2017","West Germany","Male","7","","","","1"
"1 Strongly disagree","2017","West Germany","Female","2","","","","1"
"1 Strongly disagree","2017","East Germany","Male","1","","","","1"
"1 Strongly disagree","2017","East Germany","Female","","","","","1"
"2 on scale 1-7 ","2017","West Germany","Male","1","","","","2"
"2 on scale 1-7 ","2017","East Germany","Male","","","","","2"
"2 on scale 1-7 ","2017","East Germany","Female","1","","","","2"
"2 on scale 1-7 ","2017","West Germany","Female","3","","","","2"
"3 on scale 1-7 ","2017","West Germany","Male","7","","","","3"
"3 on scale 1-7 ","2017","West Germany","Female","5","","","","3"
"3 on scale 1-7 ","2017","East Germany","Male","","","","","3"
"3 on scale 1-7 ","2017","East Germany","Female","1","","","","3"
"4 on scale 1-7","2017","West Germany","Male","18","","","","4"
"4 on scale 1-7","2017","West Germany","Female","11","","","","4"
"4 on scale 1-7","2017","East Germany","Male","2","","","","4"
"4 on scale 1-7","2017","East Germany","Female","","","","","4"
"5 on scale 1-7","2017","West Germany","Male","54","0.0399567422494659","0.0300714876944067","0.0498419968045251","5"
"5 on scale 1-7","2017","West Germany","Female","30","0.022136740662253","0.013426328270476","0.0308471530540299","5"
"5 on scale 1-7","2017","East Germany","Male","2","","","","5"
"5 on scale 1-7","2017","East Germany","Female","","","","","5"
"6 on scale 1-7","2017","West Germany","Male","174","0.130608586070663","0.113601067351923","0.147616104789403","6"
"6 on scale 1-7","2017","West Germany","Female","131","0.136728521541054","0.116388750068861","0.157068293013247","6"
"6 on scale 1-7","2017","East Germany","Female","14","","","","6"
"6 on scale 1-7","2017","East Germany","Male","9","","","","6"
"7 Strongly agree","2017","West Germany","Male","1247","0.805018384094872","0.785022198818479","0.825014569371266","7"
"7 Strongly agree","2017","West Germany","Female","914","0.823784164887055","0.801227649976947","0.846340679797163","7"
"7 Strongly agree","2017","East Germany","Male","126","0.910268645845172","0.862927259030567","0.957610032659776","7"
"7 Strongly agree","2017","East Germany","Female","109","0.886276238650915","0.830621359365543","0.941931117936287","7"
"1 Strongly disagree","2018","East Germany","Female","","","","","1"
"1 Strongly disagree","2018","West Germany","Male","","","","","1"
"1 Strongly disagree","2018","West Germany","Female","2","","","","1"
"1 Strongly disagree","2018","East Germany","Male","1","","","","1"
"2 on scale 1-7 ","2018","East Germany","Female","","","","","2"
"2 on scale 1-7 ","2018","West Germany","Male","1","","","","2"
"2 on scale 1-7 ","2018","East Germany","Male","","","","","2"
"2 on scale 1-7 ","2018","West Germany","Female","2","","","","2"
"3 on scale 1-7 ","2018","East Germany","Female","","","","","3"
"3 on scale 1-7 ","2018","West Germany","Male","1","","","","3"
"3 on scale 1-7 ","2018","East Germany","Male","","","","","3"
"3 on scale 1-7 ","2018","West Germany","Female","1","","","","3"
"4 on scale 1-7","2018","East Germany","Female","","","","","4"
"4 on scale 1-7","2018","West Germany","Male","2","","","","4"
"4 on scale 1-7","2018","West Germany","Female","","","","","4"
"4 on scale 1-7","2018","East Germany","Male","","","","","4"
"5 on scale 1-7","2018","West Germany","Female","7","","","","5"
"5 on scale 1-7","2018","East Germany","Female","","","","","5"
"5 on scale 1-7","2018","West Germany","Male","5","","","","5"
"5 on scale 1-7","2018","East Germany","Male","","","","","5"
"6 on scale 1-7","2018","East Germany","Female","4","","","","6"
"6 on scale 1-7","2018","West Germany","Male","23","","","","6"
"6 on scale 1-7","2018","East Germany","Male","1","","","","6"
"6 on scale 1-7","2018","West Germany","Female","19","","","","6"
"7 Strongly agree","2018","West Germany","Male","149","0.870162855403343","0.821195285516271","0.919130425290415","7"
"7 Strongly agree","2018","West Germany","Female","158","0.847531778566261","0.796282842754862","0.898780714377661","7"
"7 Strongly agree","2018","East Germany","Male","14","","","","7"
"7 Strongly agree","2018","East Germany","Female","29","","","","7"
"1 Strongly disagree","2019","East Germany","Female","","","","","1"
"1 Strongly disagree","2019","West Germany","Female","1","","","","1"
"1 Strongly disagree","2019","East Germany","Male","1","","","","1"
"1 Strongly disagree","2019","West Germany","Male","2","","","","1"
"2 on scale 1-7 ","2019","East Germany","Female","","","","","2"
