"plh0206i04","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"4 on scale 1-7","2005","66 and older","Male","138","0.0865178018254477","0.0732513029723218","0.0997843006785735"
"4 on scale 1-7","2005","66 and older","Female","192","0.100324983606995","0.0873260779500975","0.113323889263893"
"5 on scale 1-7","2005","16-34 y.","Male","510","0.201104257745554","0.185531702375879","0.216676813115228"
"5 on scale 1-7","2005","16-34 y.","Female","512","0.192586275161935","0.177906743211141","0.20726580711273"
"5 on scale 1-7","2005","35-65 y.","Male","964","0.160178039239952","0.150584732947017","0.169771345532887"
"5 on scale 1-7","2005","35-65 y.","Female","977","0.161811092148291","0.152471521042763","0.171150663253819"
"5 on scale 1-7","2005","66 and older","Male","270","0.161304182991744","0.143947025875211","0.178661340108278"
"5 on scale 1-7","2005","66 and older","Female","322","0.147608236971321","0.132260853962535","0.162955619980108"
"6 on scale 1-7","2005","16-34 y.","Male","857","0.32925274923587","0.310994953107765","0.347510545363976"
"6 on scale 1-7","2005","16-34 y.","Female","924","0.328270411509469","0.310789479359778","0.345751343659159"
"6 on scale 1-7","2005","35-65 y.","Male","1949","0.333816614459967","0.321482042486109","0.346151186433826"
"6 on scale 1-7","2005","35-65 y.","Female","1923","0.311883875343439","0.300135463510566","0.323632287176312"
"6 on scale 1-7","2005","66 and older","Male","543","0.311174192888305","0.2893262761489","0.333022109627711"
"6 on scale 1-7","2005","66 and older","Female","612","0.289357317627259","0.269737169047025","0.308977466207493"
"7 Strongly agree","2005","16-34 y.","Male","845","0.338174149651469","0.319794117608867","0.356554181694072"
"7 Strongly agree","2005","16-34 y.","Female","972","0.345495306840587","0.327793037806707","0.363197575874466"
"7 Strongly agree","2005","35-65 y.","Male","2078","0.387188403672338","0.374447569329578","0.399929238015099"
"7 Strongly agree","2005","35-65 y.","Female","2338","0.404571729043015","0.392124739491621","0.41701871859441"
"7 Strongly agree","2005","66 and older","Male","701","0.403411040006745","0.380260291500455","0.426561788513035"
"7 Strongly agree","2005","66 and older","Female","821","0.405860288229282","0.384613563897274","0.42710701256129"
"1 Strongly disagree","2006","16-34 y.","Male","","","",""
"1 Strongly disagree","2006","16-34 y.","Female","","","",""
"1 Strongly disagree","2006","35-65 y.","Male","","","",""
"1 Strongly disagree","2006","35-65 y.","Female","","","",""
"1 Strongly disagree","2006","66 and older","Male","","","",""
"1 Strongly disagree","2006","66 and older","Female","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2006","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2006","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2006","66 and older","Male","","","",""
"2 on scale 1-7 ","2006","66 and older","Female","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2006","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2006","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2006","66 and older","Male","","","",""
"3 on scale 1-7 ","2006","66 and older","Female","","","",""
"4 on scale 1-7","2006","16-34 y.","Male","","","",""
"4 on scale 1-7","2006","16-34 y.","Female","","","",""
"4 on scale 1-7","2006","35-65 y.","Male","","","",""
"4 on scale 1-7","2006","35-65 y.","Female","","","",""
"4 on scale 1-7","2006","66 and older","Male","","","",""
"4 on scale 1-7","2006","66 and older","Female","","","",""
"5 on scale 1-7","2006","16-34 y.","Male","","","",""
"5 on scale 1-7","2006","16-34 y.","Female","","","",""
"5 on scale 1-7","2006","35-65 y.","Male","","","",""
"5 on scale 1-7","2006","35-65 y.","Female","","","",""
"5 on scale 1-7","2006","66 and older","Male","","","",""
"5 on scale 1-7","2006","66 and older","Female","","","",""
"6 on scale 1-7","2006","16-34 y.","Male","","","",""
"6 on scale 1-7","2006","16-34 y.","Female","","","",""
"6 on scale 1-7","2006","35-65 y.","Male","","","",""
"6 on scale 1-7","2006","35-65 y.","Female","","","",""
"6 on scale 1-7","2006","66 and older","Male","","","",""
"6 on scale 1-7","2006","66 and older","Female","","","",""
"7 Strongly agree","2006","16-34 y.","Male","","","",""
"7 Strongly agree","2006","16-34 y.","Female","","","",""
"7 Strongly agree","2006","35-65 y.","Male","","","",""
"7 Strongly agree","2006","35-65 y.","Female","","","",""
"7 Strongly agree","2006","66 and older","Male","","","",""
"7 Strongly agree","2006","66 and older","Female","","","",""
"1 Strongly disagree","2007","16-34 y.","Male","","","",""
"1 Strongly disagree","2007","16-34 y.","Female","","","",""
"1 Strongly disagree","2007","35-65 y.","Male","","","",""
"1 Strongly disagree","2007","35-65 y.","Female","","","",""
"1 Strongly disagree","2007","66 and older","Male","","","",""
"1 Strongly disagree","2007","66 and older","Female","","","",""
"2 on scale 1-7 ","2007","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2007","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2007","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2007","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2007","66 and older","Male","","","",""
"2 on scale 1-7 ","2007","66 and older","Female","","","",""
"3 on scale 1-7 ","2007","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2007","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2007","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2007","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2007","66 and older","Male","","","",""
"3 on scale 1-7 ","2007","66 and older","Female","","","",""
"4 on scale 1-7","2007","16-34 y.","Male","","","",""
"4 on scale 1-7","2007","16-34 y.","Female","","","",""
"4 on scale 1-7","2007","35-65 y.","Male","","","",""
"4 on scale 1-7","2007","35-65 y.","Female","","","",""
"4 on scale 1-7","2007","66 and older","Male","","","",""
"4 on scale 1-7","2007","66 and older","Female","","","",""
"5 on scale 1-7","2007","16-34 y.","Male","","","",""
"5 on scale 1-7","2007","16-34 y.","Female","","","",""
"5 on scale 1-7","2007","35-65 y.","Male","","","",""
"5 on scale 1-7","2007","35-65 y.","Female","","","",""
"5 on scale 1-7","2007","66 and older","Male","","","",""
"5 on scale 1-7","2007","66 and older","Female","","","",""
"6 on scale 1-7","2007","16-34 y.","Male","","","",""
"6 on scale 1-7","2007","16-34 y.","Female","","","",""
"6 on scale 1-7","2007","35-65 y.","Male","","","",""
"6 on scale 1-7","2007","35-65 y.","Female","","","",""
"6 on scale 1-7","2007","66 and older","Male","","","",""
"6 on scale 1-7","2007","66 and older","Female","","","",""
"7 Strongly agree","2007","16-34 y.","Male","","","",""
"7 Strongly agree","2007","16-34 y.","Female","","","",""
"7 Strongly agree","2007","35-65 y.","Male","","","",""
"7 Strongly agree","2007","35-65 y.","Female","","","",""
"7 Strongly agree","2007","66 and older","Male","","","",""
"7 Strongly agree","2007","66 and older","Female","","","",""
"1 Strongly disagree","2008","16-34 y.","Male","","","",""
"1 Strongly disagree","2008","16-34 y.","Female","","","",""
"1 Strongly disagree","2008","35-65 y.","Male","","","",""
"1 Strongly disagree","2008","35-65 y.","Female","","","",""
"1 Strongly disagree","2008","66 and older","Male","","","",""
"1 Strongly disagree","2008","66 and older","Female","","","",""
"2 on scale 1-7 ","2008","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2008","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2008","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2008","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2008","66 and older","Male","","","",""
"2 on scale 1-7 ","2008","66 and older","Female","","","",""
"3 on scale 1-7 ","2008","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2008","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2008","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2008","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2008","66 and older","Male","","","",""
"3 on scale 1-7 ","2008","66 and older","Female","","","",""
"4 on scale 1-7","2008","16-34 y.","Male","","","",""
"4 on scale 1-7","2008","16-34 y.","Female","","","",""
"4 on scale 1-7","2008","35-65 y.","Male","","","",""
"4 on scale 1-7","2008","35-65 y.","Female","","","",""
"4 on scale 1-7","2008","66 and older","Male","","","",""
"4 on scale 1-7","2008","66 and older","Female","","","",""
"5 on scale 1-7","2008","16-34 y.","Male","","","",""
"5 on scale 1-7","2008","16-34 y.","Female","","","",""
"5 on scale 1-7","2008","35-65 y.","Male","","","",""
"5 on scale 1-7","2008","35-65 y.","Female","","","",""
"5 on scale 1-7","2008","66 and older","Male","","","",""
"5 on scale 1-7","2008","66 and older","Female","","","",""
"6 on scale 1-7","2008","16-34 y.","Male","","","",""
"6 on scale 1-7","2008","16-34 y.","Female","","","",""
"6 on scale 1-7","2008","35-65 y.","Male","","","",""
"6 on scale 1-7","2008","35-65 y.","Female","","","",""
"6 on scale 1-7","2008","66 and older","Male","","","",""
"6 on scale 1-7","2008","66 and older","Female","","","",""
"7 Strongly agree","2008","16-34 y.","Male","","","",""
"7 Strongly agree","2008","16-34 y.","Female","","","",""
"7 Strongly agree","2008","35-65 y.","Male","","","",""
"7 Strongly agree","2008","35-65 y.","Female","","","",""
"7 Strongly agree","2008","66 and older","Male","","","",""
"7 Strongly agree","2008","66 and older","Female","","","",""
"1 Strongly disagree","2009","16-34 y.","Male","","","",""
"1 Strongly disagree","2009","16-34 y.","Female","","","",""
"1 Strongly disagree","2009","35-65 y.","Male","","","",""
"1 Strongly disagree","2009","35-65 y.","Female","","","",""
"1 Strongly disagree","2009","66 and older","Male","","","",""
"1 Strongly disagree","2009","66 and older","Female","","","",""
"2 on scale 1-7 ","2009","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2009","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2009","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2009","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2009","66 and older","Male","","","",""
"2 on scale 1-7 ","2009","66 and older","Female","","","",""
"3 on scale 1-7 ","2009","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2009","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2009","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2009","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2009","66 and older","Male","","","",""
"3 on scale 1-7 ","2009","66 and older","Female","","","",""
"4 on scale 1-7","2009","16-34 y.","Male","","","",""
"4 on scale 1-7","2009","16-34 y.","Female","","","",""
"4 on scale 1-7","2009","35-65 y.","Male","","","",""
"4 on scale 1-7","2009","35-65 y.","Female","","","",""
"4 on scale 1-7","2009","66 and older","Male","","","",""
"4 on scale 1-7","2009","66 and older","Female","","","",""
"5 on scale 1-7","2009","16-34 y.","Male","","","",""
"5 on scale 1-7","2009","16-34 y.","Female","","","",""
"5 on scale 1-7","2009","35-65 y.","Male","","","",""
"5 on scale 1-7","2009","35-65 y.","Female","","","",""
"5 on scale 1-7","2009","66 and older","Male","","","",""
"5 on scale 1-7","2009","66 and older","Female","","","",""
"6 on scale 1-7","2009","16-34 y.","Male","","","",""
"6 on scale 1-7","2009","16-34 y.","Female","","","",""
"6 on scale 1-7","2009","35-65 y.","Male","","","",""
"6 on scale 1-7","2009","35-65 y.","Female","","","",""
"6 on scale 1-7","2009","66 and older","Male","","","",""
"6 on scale 1-7","2009","66 and older","Female","","","",""
"7 Strongly agree","2009","16-34 y.","Male","","","",""
"7 Strongly agree","2009","16-34 y.","Female","","","",""
"7 Strongly agree","2009","35-65 y.","Male","","","",""
"7 Strongly agree","2009","35-65 y.","Female","","","",""
"7 Strongly agree","2009","66 and older","Male","","","",""
"7 Strongly agree","2009","66 and older","Female","","","",""
"1 Strongly disagree","2010","16-34 y.","Male","","","",""
"1 Strongly disagree","2010","16-34 y.","Female","","","",""
"1 Strongly disagree","2010","35-65 y.","Male","","","",""
"1 Strongly disagree","2010","35-65 y.","Female","32","0.00654373019639887","0.00425225986890015","0.00883520052389758"
"1 Strongly disagree","2010","66 and older","Male","","","",""
"1 Strongly disagree","2010","66 and older","Female","","","",""
"2 on scale 1-7 ","2010","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2010","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2010","35-65 y.","Male","38","0.0117774883778171","0.00855294980221211","0.0150020269534222"
"2 on scale 1-7 ","2010","35-65 y.","Female","48","0.0148613043879068","0.0114225249447936","0.0183000838310199"
"2 on scale 1-7 ","2010","66 and older","Male","","","",""
"2 on scale 1-7 ","2010","66 and older","Female","","","",""
"3 on scale 1-7 ","2010","16-34 y.","Male","37","0.0247321521825401","0.0173946107876217","0.0320696935774584"
"3 on scale 1-7 ","2010","16-34 y.","Female","48","0.0328574476541815","0.0247474400144262","0.0409674552939367"
"3 on scale 1-7 ","2010","35-65 y.","Male","94","0.025884745066323","0.0211386002926828","0.0306308898399632"
"3 on scale 1-7 ","2010","35-65 y.","Female","120","0.0272741846511732","0.022645066376815","0.0319033029255314"
"3 on scale 1-7 ","2010","66 and older","Male","42","0.0220377955709403","0.0154677421613321","0.0286078489805485"
"3 on scale 1-7 ","2010","66 and older","Female","46","0.0170427369596666","0.0115188244716827","0.0225666494476504"
"4 on scale 1-7","2010","16-34 y.","Male","157","0.103197354072485","0.0888245873272945","0.117570120817676"
"4 on scale 1-7","2010","16-34 y.","Female","172","0.105313409620692","0.0913485554145621","0.119278263826823"
"4 on scale 1-7","2010","35-65 y.","Male","357","0.0872216403614294","0.0787881246980044","0.0956551560248544"
"4 on scale 1-7","2010","35-65 y.","Female","458","0.102330766861417","0.0937170924348966","0.110944441287938"
"4 on scale 1-7","2010","66 and older","Male","161","0.0879296515084667","0.0752558869756727","0.100603416041261"
"4 on scale 1-7","2010","66 and older","Female","185","0.0866528618296933","0.0746462853237259","0.0986594383356607"
"5 on scale 1-7","2010","16-34 y.","Male","372","0.242913123006079","0.222652350331136","0.263173895681023"
"5 on scale 1-7","2010","16-34 y.","Female","360","0.201819752868989","0.18356014578286","0.220079359955118"
"5 on scale 1-7","2010","35-65 y.","Male","790","0.168425324429369","0.157239495142311","0.179611153716427"
"5 on scale 1-7","2010","35-65 y.","Female","834","0.148205914436619","0.138108103249546","0.158303725623691"
"5 on scale 1-7","2010","66 and older","Male","344","0.174649903612561","0.157658585614796","0.191641221610326"
"5 on scale 1-7","2010","66 and older","Female","384","0.178905045466668","0.162547513140587","0.195262577792748"
"6 on scale 1-7","2010","16-34 y.","Male","613","0.327822554729498","0.305644725301504","0.350000384157493"
"6 on scale 1-7","2010","16-34 y.","Female","632","0.305179244199748","0.284229776464797","0.3261287119347"
"6 on scale 1-7","2010","35-65 y.","Male","1556","0.354814912270833","0.340514223477275","0.36911560106439"
"6 on scale 1-7","2010","35-65 y.","Female","1602","0.330502085007007","0.317133394037007","0.343870775977006"
"6 on scale 1-7","2010","66 and older","Male","601","0.299164102061589","0.278671991099367","0.31965621302381"
"6 on scale 1-7","2010","66 and older","Female","599","0.267545605268346","0.24865268870903","0.286438521827662"
"7 Strongly agree","2010","16-34 y.","Male","517","0.283076301680852","0.261792662851093","0.30435994051061"
"7 Strongly agree","2010","16-34 y.","Female","623","0.348048344332695","0.326376963332345","0.369719725333045"
"7 Strongly agree","2010","35-65 y.","Male","1443","0.345306513402214","0.331095165919587","0.35951786088484"
"7 Strongly agree","2010","35-65 y.","Female","1662","0.370282014459479","0.356558462667076","0.384005566251881"
"7 Strongly agree","2010","66 and older","Male","735","0.396974023911225","0.375077617536959","0.418870430285491"
"7 Strongly agree","2010","66 and older","Female","841","0.420837947227911","0.399767813243349","0.441908081212472"
"1 Strongly disagree","2011","16-34 y.","Male","","","",""
"1 Strongly disagree","2011","16-34 y.","Female","","","",""
"1 Strongly disagree","2011","35-65 y.","Male","","","",""
"1 Strongly disagree","2011","35-65 y.","Female","","","",""
"1 Strongly disagree","2011","66 and older","Male","","","",""
"1 Strongly disagree","2011","66 and older","Female","","","",""
"2 on scale 1-7 ","2011","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2011","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2011","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2011","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2011","66 and older","Male","","","",""
"2 on scale 1-7 ","2011","66 and older","Female","","","",""
"3 on scale 1-7 ","2011","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2011","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2011","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2011","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2011","66 and older","Male","","","",""
"3 on scale 1-7 ","2011","66 and older","Female","","","",""
"4 on scale 1-7","2011","16-34 y.","Male","","","",""
"4 on scale 1-7","2011","16-34 y.","Female","","","",""
"4 on scale 1-7","2011","35-65 y.","Male","","","",""
"4 on scale 1-7","2011","35-65 y.","Female","","","",""
"4 on scale 1-7","2011","66 and older","Male","","","",""
"4 on scale 1-7","2011","66 and older","Female","","","",""
"5 on scale 1-7","2011","16-34 y.","Male","","","",""
"5 on scale 1-7","2011","16-34 y.","Female","","","",""
"5 on scale 1-7","2011","35-65 y.","Male","","","",""
"5 on scale 1-7","2011","35-65 y.","Female","","","",""
"5 on scale 1-7","2011","66 and older","Male","","","",""
"5 on scale 1-7","2011","66 and older","Female","","","",""
"6 on scale 1-7","2011","16-34 y.","Male","","","",""
"6 on scale 1-7","2011","16-34 y.","Female","","","",""
"6 on scale 1-7","2011","35-65 y.","Male","","","",""
"6 on scale 1-7","2011","35-65 y.","Female","","","",""
"6 on scale 1-7","2011","66 and older","Male","","","",""
"6 on scale 1-7","2011","66 and older","Female","","","",""
"7 Strongly agree","2011","16-34 y.","Male","","","",""
"7 Strongly agree","2011","16-34 y.","Female","","","",""
"7 Strongly agree","2011","35-65 y.","Male","","","",""
"7 Strongly agree","2011","35-65 y.","Female","","","",""
"7 Strongly agree","2011","66 and older","Male","","","",""
"7 Strongly agree","2011","66 and older","Female","","","",""
"1 Strongly disagree","2012","16-34 y.","Male","","","",""
"1 Strongly disagree","2012","16-34 y.","Female","","","",""
"1 Strongly disagree","2012","35-65 y.","Male","","","",""
"1 Strongly disagree","2012","35-65 y.","Female","","","",""
"1 Strongly disagree","2012","66 and older","Male","","","",""
"1 Strongly disagree","2012","66 and older","Female","","","",""
"2 on scale 1-7 ","2012","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2012","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2012","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2012","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2012","66 and older","Male","","","",""
"2 on scale 1-7 ","2012","66 and older","Female","","","",""
"3 on scale 1-7 ","2012","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2012","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2012","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2012","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2012","66 and older","Male","","","",""
"3 on scale 1-7 ","2012","66 and older","Female","","","",""
"4 on scale 1-7","2012","16-34 y.","Male","","","",""
"4 on scale 1-7","2012","16-34 y.","Female","","","",""
"4 on scale 1-7","2012","35-65 y.","Male","","","",""
"4 on scale 1-7","2012","35-65 y.","Female","","","",""
"4 on scale 1-7","2012","66 and older","Male","","","",""
"4 on scale 1-7","2012","66 and older","Female","","","",""
"5 on scale 1-7","2012","16-34 y.","Male","","","",""
"5 on scale 1-7","2012","16-34 y.","Female","","","",""
"5 on scale 1-7","2012","35-65 y.","Male","","","",""
"5 on scale 1-7","2012","35-65 y.","Female","","","",""
"5 on scale 1-7","2012","66 and older","Male","","","",""
"5 on scale 1-7","2012","66 and older","Female","","","",""
"6 on scale 1-7","2012","16-34 y.","Male","","","",""
"6 on scale 1-7","2012","16-34 y.","Female","","","",""
"6 on scale 1-7","2012","35-65 y.","Male","","","",""
"6 on scale 1-7","2012","35-65 y.","Female","","","",""
"6 on scale 1-7","2012","66 and older","Male","","","",""
"6 on scale 1-7","2012","66 and older","Female","","","",""
"7 Strongly agree","2012","16-34 y.","Male","","","",""
"7 Strongly agree","2012","16-34 y.","Female","","","",""
"7 Strongly agree","2012","35-65 y.","Male","","","",""
"7 Strongly agree","2012","35-65 y.","Female","","","",""
"7 Strongly agree","2012","66 and older","Male","","","",""
"7 Strongly agree","2012","66 and older","Female","","","",""
"1 Strongly disagree","2013","16-34 y.","Male","","","",""
"1 Strongly disagree","2013","16-34 y.","Female","","","",""
"1 Strongly disagree","2013","35-65 y.","Male","","","",""
"1 Strongly disagree","2013","35-65 y.","Female","","","",""
"1 Strongly disagree","2013","66 and older","Male","","","",""
"1 Strongly disagree","2013","66 and older","Female","","","",""
"2 on scale 1-7 ","2013","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2013","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2013","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2013","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2013","66 and older","Male","","","",""
"2 on scale 1-7 ","2013","66 and older","Female","","","",""
"3 on scale 1-7 ","2013","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2013","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2013","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2013","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2013","66 and older","Male","","","",""
"3 on scale 1-7 ","2013","66 and older","Female","","","",""
"4 on scale 1-7","2013","16-34 y.","Male","","","",""
"4 on scale 1-7","2013","16-34 y.","Female","","","",""
"4 on scale 1-7","2013","35-65 y.","Male","","","",""
"4 on scale 1-7","2013","35-65 y.","Female","","","",""
"4 on scale 1-7","2013","66 and older","Male","","","",""
"4 on scale 1-7","2013","66 and older","Female","","","",""
"5 on scale 1-7","2013","16-34 y.","Male","","","",""
"5 on scale 1-7","2013","16-34 y.","Female","","","",""
"5 on scale 1-7","2013","35-65 y.","Male","","","",""
"5 on scale 1-7","2013","35-65 y.","Female","","","",""
"5 on scale 1-7","2013","66 and older","Male","","","",""
"5 on scale 1-7","2013","66 and older","Female","","","",""
"6 on scale 1-7","2013","16-34 y.","Male","","","",""
"6 on scale 1-7","2013","16-34 y.","Female","","","",""
"6 on scale 1-7","2013","35-65 y.","Male","","","",""
"6 on scale 1-7","2013","35-65 y.","Female","","","",""
"6 on scale 1-7","2013","66 and older","Male","","","",""
"6 on scale 1-7","2013","66 and older","Female","","","",""
"7 Strongly agree","2013","16-34 y.","Male","","","",""
"7 Strongly agree","2013","16-34 y.","Female","","","",""
"7 Strongly agree","2013","35-65 y.","Male","","","",""
"7 Strongly agree","2013","35-65 y.","Female","","","",""
"7 Strongly agree","2013","66 and older","Male","","","",""
"7 Strongly agree","2013","66 and older","Female","","","",""
"1 Strongly disagree","2014","16-34 y.","Male","","","",""
"1 Strongly disagree","2014","16-34 y.","Female","","","",""
"1 Strongly disagree","2014","35-65 y.","Male","","","",""
"1 Strongly disagree","2014","35-65 y.","Female","","","",""
"1 Strongly disagree","2014","66 and older","Male","","","",""
"1 Strongly disagree","2014","66 and older","Female","","","",""
"2 on scale 1-7 ","2014","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2014","16-34 y.","Female","","","",""
"2 on scale 1-7 ","2014","35-65 y.","Male","","","",""
"2 on scale 1-7 ","2014","35-65 y.","Female","","","",""
"2 on scale 1-7 ","2014","66 and older","Male","","","",""
"2 on scale 1-7 ","2014","66 and older","Female","","","",""
"3 on scale 1-7 ","2014","16-34 y.","Male","","","",""
"3 on scale 1-7 ","2014","16-34 y.","Female","","","",""
"3 on scale 1-7 ","2014","35-65 y.","Male","","","",""
"3 on scale 1-7 ","2014","35-65 y.","Female","","","",""
"3 on scale 1-7 ","2014","66 and older","Male","","","",""
"3 on scale 1-7 ","2014","66 and older","Female","","","",""
"4 on scale 1-7","2014","16-34 y.","Male","","","",""
"4 on scale 1-7","2014","16-34 y.","Female","","","",""
"4 on scale 1-7","2014","35-65 y.","Male","","","",""
"4 on scale 1-7","2014","35-65 y.","Female","","","",""
"4 on scale 1-7","2014","66 and older","Male","","","",""
"4 on scale 1-7","2014","66 and older","Female","","","",""
"5 on scale 1-7","2014","16-34 y.","Male","","","",""
"5 on scale 1-7","2014","16-34 y.","Female","","","",""
"5 on scale 1-7","2014","35-65 y.","Male","","","",""
"5 on scale 1-7","2014","35-65 y.","Female","","","",""
"5 on scale 1-7","2014","66 and older","Male","","","",""
"5 on scale 1-7","2014","66 and older","Female","","","",""
"6 on scale 1-7","2014","16-34 y.","Male","","","",""
"6 on scale 1-7","2014","16-34 y.","Female","","","",""
"6 on scale 1-7","2014","35-65 y.","Male","","","",""
"6 on scale 1-7","2014","35-65 y.","Female","","","",""
"6 on scale 1-7","2014","66 and older","Male","","","",""
"6 on scale 1-7","2014","66 and older","Female","","","",""
"7 Strongly agree","2014","16-34 y.","Male","","","",""
"7 Strongly agree","2014","16-34 y.","Female","","","",""
"7 Strongly agree","2014","35-65 y.","Male","","","",""
"7 Strongly agree","2014","35-65 y.","Female","","","",""
"7 Strongly agree","2014","66 and older","Male","","","",""
"7 Strongly agree","2014","66 and older","Female","","","",""
"1 Strongly disagree","2015","16-34 y.","Male","","","",""
"1 Strongly disagree","2015","16-34 y.","Female","","","",""
"1 Strongly disagree","2015","35-65 y.","Male","40","0.00594798338189469","0.00412732341704222","0.00776864334674716"
"1 Strongly disagree","2015","35-65 y.","Female","71","0.0094822607611875","0.00739768517079321","0.0115668363515818"
"1 Strongly disagree","2015","66 and older","Male","","","",""
"1 Strongly disagree","2015","66 and older","Female","","","",""
"2 on scale 1-7 ","2015","16-34 y.","Male","","","",""
"2 on scale 1-7 ","2015","16-34 y.","Female","","","",""
