"year","age_gr","migback","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2017","16-34 y.","direct migration background","2","1","1852","1.92","2.08","1","1","2","5"
"2017","16-34 y.","indirect migration background","","","","","","","","",""
"2017","16-34 y.","no migration background","","","","","","","","",""
"2017","35-65 y.","direct migration background","1.7","1","965","1.6","1.8","1","1","1","4"
"2017","35-65 y.","indirect migration background","","","","","","","","",""
"2017","35-65 y.","no migration background","","","","","","","","",""
"2017","66 and older","direct migration background","1.91","1","36","1.41","2.41","1","1","2","6"
"2017","66 and older","indirect migration background","","","","","","","","",""
"2017","66 and older","no migration background","","","","","","","","",""
"2018","16-34 y.","direct migration background","2.51","1","254","2.25","2.77","1","1","4","7"
"2018","16-34 y.","indirect migration background","","","","","","","","",""
"2018","16-34 y.","no migration background","","","","","","","","",""
"2018","35-65 y.","direct migration background","1.74","1","160","1.46","2.02","1","1","1","4"
"2018","35-65 y.","indirect migration background","","","","","","","","",""
"2018","35-65 y.","no migration background","","","","","","","","",""
"2018","66 and older","direct migration background","","","","","","","","",""
"2018","66 and older","indirect migration background","","","","","","","","",""
"2018","66 and older","no migration background","","","","","","","","",""
"2019","16-34 y.","direct migration background","2.33","1.92","146","2","2.66","1","1","3","5"
"2019","16-34 y.","indirect migration background","","","","","","","","",""
"2019","16-34 y.","no migration background","","","","","","","","",""
"2019","35-65 y.","direct migration background","2.27","1","124","1.96","2.58","1","1","4","5"
"2019","35-65 y.","indirect migration background","","","","","","","","",""
"2019","35-65 y.","no migration background","","","","","","","","",""
"2019","66 and older","direct migration background","","","","","","","","",""
"2019","66 and older","indirect migration background","","","","","","","","",""
"2019","66 and older","no migration background","","","","","","","","",""
