"ple0020","year","bula_h","n","percent","lower_confidence","upper_confidence","value"
"No","2017","Baden-Württemberg","3042","0.998768892741057","0.997523418091493","1.00001436739062","2"
"No","2017","Bavaria","4232","0.998287328969491","0.997042434980046","0.999532222958935","2"
"No","2017","Berlin","993","0.995034768985649","0.9906695374932","0.999400000478098","2"
"No","2017","Brandenburg","1039","0.989877851814343","0.983803036405342","0.995952667223344","2"
"No","2017","Mecklenburg-Western Pomerania","582","1","1","1","2"
"No","2017","Saxony","1660","0.996001649851955","0.992969561368047","0.999033738335864","2"
"No","2017","Saxony-Anhalt","923","0.981631717838465","0.972992336076939","0.990271099599991","2"
"No","2017","Thuringia","988","0.9938131147765","0.988933554958316","0.998692674594684","2"
"Yes","2017","Hesse","7","","","","1"
"Yes","2017","Rhineland-Palatinate,Saarland","2","","","","1"
"Yes","2017","Baden-Württemberg","3","","","","1"
"Yes","2017","Bavaria","6","","","","1"
"Yes","2017","Berlin","3","","","","1"
"Yes","2017","Hamburg","","","","","1"
"Yes","2017","Lower Saxony","9","","","","1"
"Yes","2017","North Rhine-Westphalia","19","","","","1"
"Yes","2017","Schleswig-Holstein","3","","","","1"
"Yes","2017","Thuringia","4","","","","1"
"Yes","2017","Bremen","","","","","1"
"Yes","2017","Mecklenburg-Western Pomerania","","","","","1"
"Yes","2017","Saxony","4","","","","1"
"Yes","2017","Saxony-Anhalt","5","","","","1"
"Yes","2017","Brandenburg","4","","","","1"
"No","2018","Schleswig-Holstein","","","","","2"
"No","2018","Hamburg","","","","","2"
"No","2018","Lower Saxony","","","","","2"
"No","2018","Bremen","","","","","2"
"No","2018","North Rhine-Westphalia","","","","","2"
"No","2018","Hesse","","","","","2"
"No","2018","Rhineland-Palatinate,Saarland","","","","","2"
"No","2018","Baden-Württemberg","","","","","2"
"No","2018","Bavaria","","","","","2"
"No","2018","Berlin","","","","","2"
"No","2018","Brandenburg","","","","","2"
"No","2018","Mecklenburg-Western Pomerania","","","","","2"
"No","2018","Saxony","","","","","2"
"No","2018","Saxony-Anhalt","","","","","2"
"No","2018","Thuringia","","","","","2"
"Yes","2018","Hesse","","","","","1"
"Yes","2018","Rhineland-Palatinate,Saarland","","","","","1"
"Yes","2018","Baden-Württemberg","","","","","1"
"Yes","2018","Bavaria","","","","","1"
"Yes","2018","Berlin","","","","","1"
"Yes","2018","Mecklenburg-Western Pomerania","","","","","1"
"Yes","2018","Schleswig-Holstein","","","","","1"
"Yes","2018","Hamburg","","","","","1"
"Yes","2018","Brandenburg","","","","","1"
"Yes","2018","Lower Saxony","","","","","1"
"Yes","2018","Saxony","","","","","1"
"Yes","2018","Saxony-Anhalt","","","","","1"
"Yes","2018","Thuringia","","","","","1"
"Yes","2018","North Rhine-Westphalia","","","","","1"
"Yes","2018","Bremen","","","","","1"
"No","2019","Schleswig-Holstein","958","0.99810292714769","0.995353196056715","1.00085265823867","2"
"No","2019","Hamburg","532","0.991963221240811","0.984383150160903","0.999543292320719","2"
"No","2019","Lower Saxony","2493","0.990535894221579","0.986745836486479","0.994325951956679","2"
"No","2019","Bremen","221","1","1","1","2"
"No","2019","North Rhine-Westphalia","5415","0.995654637382234","0.993905935855573","0.997403338908896","2"
"No","2019","Hesse","1716","0.999484269733921","0.998410686297288","1.00055785317055","2"
"No","2019","Rhineland-Palatinate,Saarland","1471","0.996683294217036","0.993748136701047","0.999618451733024","2"
"No","2019","Baden-Württemberg","2810","0.999088371842563","0.997973909277434","1.00020283440769","2"
"No","2019","Bavaria","3966","0.998056283240905","0.996686717717976","0.999425848763833","2"
"No","2019","Berlin","1036","0.99855174518276","0.996238310763898","1.00086517960162","2"
"No","2019","Brandenburg","1110","0.993169342062272","0.988341310389729","0.997997373734815","2"
"No","2019","Mecklenburg-Western Pomerania","612","0.9932844484001","0.98682431377365","0.999744583026551","2"
"No","2019","Saxony","1638","0.995646179088904","0.992465491811278","0.998826866366529","2"
"No","2019","Saxony-Anhalt","891","0.994532040146182","0.98970349680107","0.999360583491294","2"
"No","2019","Thuringia","924","0.995028870133216","0.990503860603132","0.9995538796633","2"
"Yes","2019","Bavaria","7","","","","1"
"Yes","2019","Berlin","2","","","","1"
"Yes","2019","Hesse","2","","","","1"
"Yes","2019","Rhineland-Palatinate,Saarland","3","","","","1"
"Yes","2019","Baden-Württemberg","7","","","","1"
"Yes","2019","Hamburg","1","","","","1"
"Yes","2019","Schleswig-Holstein","4","","","","1"
"Yes","2019","Lower Saxony","14","","","","1"
"Yes","2019","Brandenburg","8","","","","1"
"Yes","2019","North Rhine-Westphalia","20","","","","1"
"Yes","2019","Saxony-Anhalt","5","","","","1"
"Yes","2019","Thuringia","4","","","","1"
"Yes","2019","Mecklenburg-Western Pomerania","2","","","","1"
"Yes","2019","Saxony","8","","","","1"
"Yes","2019","Bremen","","","","","1"
