"ple0020","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"No","2013","direct migration background","Rural Area","392","0.991657247042249","0.982698732873682","1.00061576121082"
"No","2013","indirect migration background","Urban Area","580","1","1","1"
"No","2013","indirect migration background","Rural Area","135","0.995757607179481","0.984834130323198","1.00668108403576"
"Yes","2014","no migration background","Urban Area","","","",""
"Yes","2014","no migration background","Rural Area","","","",""
"Yes","2014","direct migration background","Urban Area","","","",""
"Yes","2014","direct migration background","Rural Area","","","",""
"Yes","2014","indirect migration background","Urban Area","","","",""
"Yes","2014","indirect migration background","Rural Area","","","",""
"No","2014","no migration background","Urban Area","","","",""
"No","2014","no migration background","Rural Area","","","",""
"No","2014","direct migration background","Urban Area","","","",""
"No","2014","direct migration background","Rural Area","","","",""
"No","2014","indirect migration background","Urban Area","","","",""
"No","2014","indirect migration background","Rural Area","","","",""
"Yes","2015","no migration background","Urban Area","40","0.00413142609682333","0.00297741408227925","0.0052854381113674"
"Yes","2015","no migration background","Rural Area","23","","",""
"Yes","2015","direct migration background","Urban Area","9","","",""
"Yes","2015","direct migration background","Rural Area","2","","",""
"Yes","2015","indirect migration background","Urban Area","1","","",""
"Yes","2015","indirect migration background","Rural Area","","","",""
"No","2015","no migration background","Urban Area","11828","0.995868573903177","0.994714561888632","0.997022585917721"
"No","2015","no migration background","Rural Area","7325","0.994329452698138","0.992612567889879","0.996046337506398"
"No","2015","direct migration background","Urban Area","3222","0.99529189446225","0.992931536124491","0.997652252800009"
"No","2015","direct migration background","Rural Area","1088","0.998277433159113","0.995815657290032","1.00073920902819"
"No","2015","indirect migration background","Urban Area","1331","0.999809912011776","0.999069570613609","1.00055025340994"
"No","2015","indirect migration background","Rural Area","301","1","1","1"
"Yes","2016","no migration background","Urban Area","","","",""
"Yes","2016","no migration background","Rural Area","","","",""
"Yes","2016","direct migration background","Urban Area","","","",""
"Yes","2016","direct migration background","Rural Area","","","",""
"Yes","2016","indirect migration background","Urban Area","","","",""
"Yes","2016","indirect migration background","Rural Area","","","",""
"No","2016","no migration background","Urban Area","","","",""
"No","2016","no migration background","Rural Area","","","",""
"No","2016","direct migration background","Urban Area","","","",""
"No","2016","direct migration background","Rural Area","","","",""
"No","2016","indirect migration background","Urban Area","","","",""
"No","2016","indirect migration background","Rural Area","","","",""
"Yes","2017","no migration background","Urban Area","39","0.00415489046865349","0.00302321893837812","0.00528656199892887"
"Yes","2017","no migration background","Rural Area","20","","",""
"Yes","2017","direct migration background","Urban Area","7","","",""
"Yes","2017","direct migration background","Rural Area","1","","",""
"Yes","2017","indirect migration background","Urban Area","2","","",""
"Yes","2017","indirect migration background","Rural Area","","","",""
"No","2017","no migration background","Urban Area","12372","0.995845109531346","0.994713438001071","0.996976781061622"
"No","2017","no migration background","Rural Area","7909","0.995077511762421","0.993537018932125","0.996618004592716"
"No","2017","direct migration background","Urban Area","3443","0.996501685324105","0.994531500369457","0.998471870278752"
"No","2017","direct migration background","Rural Area","1217","0.998967372335434","0.997163640474515","1.00077110419635"
"No","2017","indirect migration background","Urban Area","1408","0.998782489642828","0.996962326454457","1.0006026528312"
"No","2017","indirect migration background","Rural Area","305","1","1","1"
"Yes","2018","no migration background","Urban Area","","","",""
"Yes","2018","no migration background","Rural Area","","","",""
"Yes","2018","direct migration background","Urban Area","","","",""
"Yes","2018","direct migration background","Rural Area","","","",""
"Yes","2018","indirect migration background","Urban Area","","","",""
"Yes","2018","indirect migration background","Rural Area","","","",""
"No","2018","no migration background","Urban Area","","","",""
"No","2018","no migration background","Rural Area","","","",""
"No","2018","direct migration background","Urban Area","","","",""
"No","2018","direct migration background","Rural Area","","","",""
"No","2018","indirect migration background","Urban Area","","","",""
"No","2018","indirect migration background","Rural Area","","","",""
"Yes","2019","no migration background","Urban Area","40","0.00397624864171309","0.00282630543019464","0.00512619185323153"
"Yes","2019","no migration background","Rural Area","30","0.00446038792544475","0.00295887003609296","0.00596190581479654"
"Yes","2019","direct migration background","Urban Area","9","","",""
"Yes","2019","direct migration background","Rural Area","2","","",""
"Yes","2019","indirect migration background","Urban Area","1","","",""
"Yes","2019","indirect migration background","Rural Area","1","","",""
"No","2019","no migration background","Urban Area","11465","0.996023751358287","0.994873808146769","0.997173694569805"
"No","2019","no migration background","Rural Area","7536","0.995539612074555","0.994038094185203","0.997041129963907"
"No","2019","direct migration background","Urban Area","2686","0.996594376368407","0.994394864814092","0.998793887922722"
"No","2019","direct migration background","Rural Area","985","0.998608313429741","0.996282591320498","1.00093403553898"
"No","2019","indirect migration background","Urban Area","1275","0.999365810526917","0.997984489852221","1.00074713120161"
"No","2019","indirect migration background","Rural Area","327","0.999542010888708","0.997226540285233","1.00185748149218"
