"ple0020","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","2010","higher education","Female","","","","","1"
"No","2011","in school","Male","162","1","1","1","2"
"No","2011","general elemantary","Male","667","0.996280759080772","0.991674961385918","1.00088655677563","2"
"No","2011","vocational + Abi","Male","455","1","1","1","2"
"No","2011","in school","Female","151","1","1","1","2"
"No","2011","general elemantary","Female","1493","0.973635985329847","0.96557367740124","0.981698293258453","2"
"No","2011","vocational + Abi","Female","754","1","1","1","2"
"No","2011","inadequately","Male","89","0.978413720222877","0.94838913585342","1.00843830459233","2"
"No","2011","inadequately","Female","143","1","1","1","2"
"No","2011","middle vocational","Male","4915","0.997749126404013","0.996425604280991","0.999072648527035","2"
"No","2011","middle vocational","Female","5609","0.996515471581645","0.994975268182338","0.998055674980951","2"
"No","2011","higher vocational","Male","900","0.998665814187184","0.996283697271156","1.00104793110321","2"
"No","2011","higher vocational","Female","552","1","1","1","2"
"No","2011","higher education","Male","2469","0.997391454027386","0.995381932984628","0.999400975070145","2"
"No","2011","higher education","Female","2123","0.999270751913959","0.998123000435603","1.00041850339232","2"
"Yes","2011","in school","Male","","","","","1"
"Yes","2011","in school","Female","","","","","1"
"Yes","2011","inadequately","Male","1","","","","1"
"Yes","2011","inadequately","Female","","","","","1"
"Yes","2011","general elemantary","Male","4","","","","1"
"Yes","2011","general elemantary","Female","24","","","","1"
"Yes","2011","middle vocational","Male","10","","","","1"
"Yes","2011","middle vocational","Female","14","","","","1"
"Yes","2011","vocational + Abi","Male","","","","","1"
"Yes","2011","vocational + Abi","Female","","","","","1"
"Yes","2011","higher vocational","Male","2","","","","1"
"Yes","2011","higher vocational","Female","","","","","1"
"Yes","2011","higher education","Male","6","","","","1"
"Yes","2011","higher education","Female","2","","","","1"
"No","2012","in school","Male","","","","","2"
"No","2012","in school","Female","","","","","2"
"No","2012","general elemantary","Male","","","","","2"
"No","2012","general elemantary","Female","","","","","2"
"No","2012","vocational + Abi","Male","","","","","2"
"No","2012","vocational + Abi","Female","","","","","2"
"No","2012","higher vocational","Male","","","","","2"
"No","2012","higher vocational","Female","","","","","2"
"No","2012","higher education","Male","","","","","2"
"No","2012","higher education","Female","","","","","2"
"No","2012","inadequately","Male","","","","","2"
"No","2012","inadequately","Female","","","","","2"
"No","2012","middle vocational","Male","","","","","2"
"No","2012","middle vocational","Female","","","","","2"
"Yes","2012","higher vocational","Male","","","","","1"
"Yes","2012","higher vocational","Female","","","","","1"
"Yes","2012","in school","Male","","","","","1"
"Yes","2012","in school","Female","","","","","1"
"Yes","2012","inadequately","Male","","","","","1"
"Yes","2012","inadequately","Female","","","","","1"
"Yes","2012","general elemantary","Male","","","","","1"
"Yes","2012","general elemantary","Female","","","","","1"
"Yes","2012","middle vocational","Male","","","","","1"
"Yes","2012","middle vocational","Female","","","","","1"
"Yes","2012","vocational + Abi","Male","","","","","1"
"Yes","2012","vocational + Abi","Female","","","","","1"
"Yes","2012","higher education","Male","","","","","1"
"Yes","2012","higher education","Female","","","","","1"
"No","2013","in school","Male","122","1","1","1","2"
"No","2013","in school","Female","138","1","1","1","2"
"No","2013","general elemantary","Male","581","0.990010498408622","0.981951854455638","0.998069142361606","2"
"No","2013","general elemantary","Female","1266","0.98401850619457","0.977151240593973","0.990885771795166","2"
"No","2013","vocational + Abi","Male","420","1","1","1","2"
"No","2013","vocational + Abi","Female","683","1","1","1","2"
"No","2013","higher vocational","Male","820","0.993998510669097","0.988731302856218","0.999265718481977","2"
"No","2013","higher vocational","Female","505","0.995569074727495","0.989787754534114","1.00135039492088","2"
"No","2013","higher education","Male","2359","1","1","1","2"
"No","2013","higher education","Female","2112","0.995230311038901","0.99229678843201","0.998163833645792","2"
"No","2013","inadequately","Male","85","1","1","1","2"
"No","2013","inadequately","Female","108","0.951579630081164","0.911466332225166","0.991692927937163","2"
"No","2013","middle vocational","Male","4326","0.99774807654196","0.996337031743328","0.999159121340592","2"
"No","2013","middle vocational","Female","5101","0.995799659184921","0.994028849933078","0.997570468436763","2"
"Yes","2013","higher vocational","Male","6","","","","1"
"Yes","2013","higher vocational","Female","2","","","","1"
"Yes","2013","in school","Male","","","","","1"
"Yes","2013","in school","Female","","","","","1"
"Yes","2013","inadequately","Male","","","","","1"
"Yes","2013","inadequately","Female","2","","","","1"
"Yes","2013","general elemantary","Male","4","","","","1"
"Yes","2013","general elemantary","Female","15","","","","1"
"Yes","2013","middle vocational","Male","9","","","","1"
"Yes","2013","middle vocational","Female","23","","","","1"
"Yes","2013","vocational + Abi","Male","","","","","1"
"Yes","2013","vocational + Abi","Female","","","","","1"
"Yes","2013","higher education","Male","","","","","1"
"Yes","2013","higher education","Female","7","","","","1"
"No","2014","in school","Male","","","","","2"
"No","2014","in school","Female","","","","","2"
"No","2014","general elemantary","Male","","","","","2"
"No","2014","general elemantary","Female","","","","","2"
"No","2014","inadequately","Male","","","","","2"
"No","2014","inadequately","Female","","","","","2"
"No","2014","middle vocational","Male","","","","","2"
"No","2014","middle vocational","Female","","","","","2"
"No","2014","vocational + Abi","Male","","","","","2"
"No","2014","vocational + Abi","Female","","","","","2"
"No","2014","higher vocational","Male","","","","","2"
"No","2014","higher vocational","Female","","","","","2"
"No","2014","higher education","Male","","","","","2"
"No","2014","higher education","Female","","","","","2"
"Yes","2014","in school","Male","","","","","1"
"Yes","2014","in school","Female","","","","","1"
"Yes","2014","inadequately","Male","","","","","1"
"Yes","2014","inadequately","Female","","","","","1"
"Yes","2014","general elemantary","Male","","","","","1"
"Yes","2014","general elemantary","Female","","","","","1"
"Yes","2014","middle vocational","Male","","","","","1"
"Yes","2014","middle vocational","Female","","","","","1"
"Yes","2014","higher vocational","Male","","","","","1"
"Yes","2014","higher vocational","Female","","","","","1"
"Yes","2014","vocational + Abi","Male","","","","","1"
"Yes","2014","vocational + Abi","Female","","","","","1"
"Yes","2014","higher education","Male","","","","","1"
"Yes","2014","higher education","Female","","","","","1"
"No","2015","in school","Male","155","1","1","1","2"
"No","2015","in school","Female","197","1","1","1","2"
"No","2015","general elemantary","Male","1017","0.990122790004979","0.984059835419125","0.996185744590833","2"
"No","2015","general elemantary","Female","1652","0.983366144929317","0.977224783242436","0.989507506616197","2"
"No","2015","middle vocational","Male","5227","0.997006592969584","0.995527294547305","0.998485891391863","2"
"No","2015","middle vocational","Female","6450","0.995276600232832","0.993606170985372","0.996947029480293","2"
"No","2015","vocational + Abi","Male","716","0.999151747675635","0.997020829525347","1.00128266582592","2"
"No","2015","vocational + Abi","Female","1244","1","1","1","2"
"No","2015","higher vocational","Male","941","0.997011468580991","0.993533052639007","1.00048988452298","2"
"No","2015","higher vocational","Female","585","0.998894919133761","0.996204894761786","1.00158494350574","2"
"No","2015","higher education","Male","2955","0.996986435891889","0.995012133236868","0.99896073854691","2"
"No","2015","higher education","Female","2928","0.998185578961247","0.996645153138875","0.999726004783619","2"
"No","2015","inadequately","Male","160","0.989660927987509","0.974132114234314","1.0051897417407","2"
"No","2015","inadequately","Female","247","0.986595309559834","0.972311424881604","1.00087919423806","2"
"Yes","2015","middle vocational","Male","12","","","","1"
"Yes","2015","middle vocational","Female","22","","","","1"
"Yes","2015","higher vocational","Male","5","","","","1"
"Yes","2015","higher vocational","Female","1","","","","1"
"Yes","2015","in school","Male","","","","","1"
"Yes","2015","in school","Female","","","","","1"
"Yes","2015","inadequately","Male","3","","","","1"
"Yes","2015","inadequately","Female","2","","","","1"
"Yes","2015","general elemantary","Male","5","","","","1"
"Yes","2015","general elemantary","Female","14","","","","1"
"Yes","2015","vocational + Abi","Male","1","","","","1"
"Yes","2015","vocational + Abi","Female","","","","","1"
"Yes","2015","higher education","Male","6","","","","1"
"Yes","2015","higher education","Female","4","","","","1"
"No","2016","in school","Male","","","","","2"
"No","2016","in school","Female","","","","","2"
"No","2016","general elemantary","Male","","","","","2"
"No","2016","general elemantary","Female","","","","","2"
"No","2016","middle vocational","Male","","","","","2"
"No","2016","middle vocational","Female","","","","","2"
"No","2016","vocational + Abi","Male","","","","","2"
"No","2016","vocational + Abi","Female","","","","","2"
"No","2016","higher vocational","Male","","","","","2"
"No","2016","higher vocational","Female","","","","","2"
"No","2016","higher education","Male","","","","","2"
"No","2016","higher education","Female","","","","","2"
"No","2016","inadequately","Male","","","","","2"
"No","2016","inadequately","Female","","","","","2"
"Yes","2016","middle vocational","Male","","","","","1"
"Yes","2016","middle vocational","Female","","","","","1"
"Yes","2016","higher vocational","Male","","","","","1"
"Yes","2016","higher vocational","Female","","","","","1"
"Yes","2016","in school","Male","","","","","1"
"Yes","2016","in school","Female","","","","","1"
"Yes","2016","inadequately","Male","","","","","1"
"Yes","2016","inadequately","Female","","","","","1"
"Yes","2016","general elemantary","Male","","","","","1"
"Yes","2016","general elemantary","Female","","","","","1"
"Yes","2016","vocational + Abi","Male","","","","","1"
"Yes","2016","vocational + Abi","Female","","","","","1"
"Yes","2016","higher education","Male","","","","","1"
"Yes","2016","higher education","Female","","","","","1"
"No","2017","in school","Male","193","1","1","1","2"
"No","2017","in school","Female","218","0.999555113465755","0.996762222143686","1.00234800478782","2"
"No","2017","inadequately","Male","188","0.989688454116666","0.975361873479181","1.00401503475415","2"
"No","2017","inadequately","Female","265","0.980934759062564","0.96450056225091","0.997368955874219","2"
"No","2017","general elemantary","Male","1058","0.991420431359967","0.985873567695566","0.996967295024369","2"
"No","2017","general elemantary","Female","1691","0.987115828185129","0.981761245768551","0.992470410601708","2"
"No","2017","middle vocational","Male","5495","0.996260155907298","0.994648451397159","0.997871860417437","2"
"No","2017","middle vocational","Female","6607","0.994871135203251","0.993151312624257","0.996590957782244","2"
"No","2017","vocational + Abi","Male","826","1","1","1","2"
"No","2017","vocational + Abi","Female","1400","1","1","1","2"
"No","2017","higher vocational","Male","947","0.99929106755232","0.997597652504325","1.00098448260031","2"
"No","2017","higher vocational","Female","596","0.996772614198616","0.992222896857639","1.00132233153959","2"
"No","2017","higher education","Male","3271","0.998709174305196","0.997479859276816","0.999938489333576","2"
"No","2017","higher education","Female","3274","0.998786317393473","0.997594255715987","0.999978379070959","2"
"Yes","2017","in school","Male","","","","","1"
"Yes","2017","in school","Female","1","","","","1"
"Yes","2017","inadequately","Male","3","","","","1"
"Yes","2017","inadequately","Female","1","","","","1"
"Yes","2017","middle vocational","Male","15","","","","1"
"Yes","2017","middle vocational","Female","20","","","","1"
"Yes","2017","higher vocational","Male","2","","","","1"
"Yes","2017","higher vocational","Female","1","","","","1"
"Yes","2017","general elemantary","Male","4","","","","1"
"Yes","2017","vocational + Abi","Male","","","","","1"
"Yes","2017","higher education","Male","6","","","","1"
"Yes","2017","general elemantary","Female","13","","","","1"
"Yes","2017","vocational + Abi","Female","","","","","1"
"Yes","2017","higher education","Female","3","","","","1"
"No","2018","in school","Male","","","","","2"
"No","2018","in school","Female","","","","","2"
"No","2018","inadequately","Male","","","","","2"
"No","2018","inadequately","Female","","","","","2"
"No","2018","general elemantary","Male","","","","","2"
"No","2018","general elemantary","Female","","","","","2"
"No","2018","middle vocational","Male","","","","","2"
"No","2018","middle vocational","Female","","","","","2"
"No","2018","vocational + Abi","Male","","","","","2"
"No","2018","vocational + Abi","Female","","","","","2"
"No","2018","higher vocational","Male","","","","","2"
"No","2018","higher vocational","Female","","","","","2"
"No","2018","higher education","Male","","","","","2"
"No","2018","higher education","Female","","","","","2"
"Yes","2018","inadequately","Male","","","","","1"
"Yes","2018","inadequately","Female","","","","","1"
"Yes","2018","middle vocational","Male","","","","","1"
"Yes","2018","middle vocational","Female","","","","","1"
"Yes","2018","higher vocational","Male","","","","","1"
"Yes","2018","higher vocational","Female","","","","","1"
"Yes","2018","in school","Male","","","","","1"
"Yes","2018","in school","Female","","","","","1"
"Yes","2018","general elemantary","Male","","","","","1"
"Yes","2018","general elemantary","Female","","","","","1"
"Yes","2018","vocational + Abi","Male","","","","","1"
"Yes","2018","vocational + Abi","Female","","","","","1"
"Yes","2018","higher education","Male","","","","","1"
"Yes","2018","higher education","Female","","","","","1"
"No","2019","in school","Male","168","1","1","1","2"
"No","2019","in school","Female","163","1","1","1","2"
"No","2019","inadequately","Male","172","0.98261621569862","0.963196735874037","1.0020356955232","2"
"No","2019","inadequately","Female","215","0.994837400189449","0.985302228735233","1.00437257164367","2"
"No","2019","general elemantary","Male","991","0.994936445916096","0.990521769633988","0.999351122198204","2"
"No","2019","general elemantary","Female","1420","0.992234552676349","0.987681796423186","0.996787308929511","2"
"No","2019","middle vocational","Male","5052","0.997317092320136","0.995893103955138","0.998741080685134","2"
"No","2019","middle vocational","Female","6044","0.995939339536384","0.994338605833078","0.99754007323969","2"
"No","2019","vocational + Abi","Male","829","0.997243610890094","0.993681090802245","1.00080613097794","2"
"No","2019","vocational + Abi","Female","1339","0.99950550027687","0.998315603405366","1.00069539714837","2"
"No","2019","higher vocational","Male","1076","0.993740413522699","0.98904316908744","0.998437657957958","2"
"No","2019","higher vocational","Female","586","0.993969165040351","0.987716493412081","1.00022183666862","2"
"No","2019","higher education","Male","3654","0.996798752835675","0.994970915342357","0.998626590328993","2"
"No","2019","higher education","Female","3345","0.997280829814921","0.995517685718167","0.999043973911676","2"
"Yes","2019","inadequately","Male","2","","","","1"
"Yes","2019","inadequately","Female","2","","","","1"
"Yes","2019","middle vocational","Male","17","","","","1"
"Yes","2019","middle vocational","Female","19","","","","1"
"Yes","2019","higher vocational","Male","7","","","","1"
"Yes","2019","higher vocational","Female","3","","","","1"
"Yes","2019","in school","Male","","","","","1"
"Yes","2019","general elemantary","Male","2","","","","1"
"Yes","2019","vocational + Abi","Male","3","","","","1"
"Yes","2019","higher education","Male","15","","","","1"
"Yes","2019","higher education","Female","6","","","","1"
"Yes","2019","in school","Female","","","","","1"
"Yes","2019","general elemantary","Female","8","","","","1"
"Yes","2019","vocational + Abi","Female","2","","","","1"
