"ple0020","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Yes","2011","higher vocational","West Germany","","","","","1"
"Yes","2011","higher vocational","East Germany","2","","","","1"
"Yes","2011","higher education","West Germany","6","","","","1"
"Yes","2011","higher education","East Germany","2","","","","1"
"No","2012","in school","West Germany","","","","","2"
"No","2012","in school","East Germany","","","","","2"
"No","2012","general elemantary","West Germany","","","","","2"
"No","2012","general elemantary","East Germany","","","","","2"
"No","2012","vocational + Abi","West Germany","","","","","2"
"No","2012","vocational + Abi","East Germany","","","","","2"
"No","2012","higher vocational","West Germany","","","","","2"
"No","2012","higher vocational","East Germany","","","","","2"
"No","2012","higher education","West Germany","","","","","2"
"No","2012","higher education","East Germany","","","","","2"
"No","2012","inadequately","West Germany","","","","","2"
"No","2012","inadequately","East Germany","","","","","2"
"No","2012","middle vocational","West Germany","","","","","2"
"No","2012","middle vocational","East Germany","","","","","2"
"Yes","2012","higher vocational","West Germany","","","","","1"
"Yes","2012","higher vocational","East Germany","","","","","1"
"Yes","2012","in school","West Germany","","","","","1"
"Yes","2012","in school","East Germany","","","","","1"
"Yes","2012","inadequately","West Germany","","","","","1"
"Yes","2012","inadequately","East Germany","","","","","1"
"Yes","2012","general elemantary","West Germany","","","","","1"
"Yes","2012","general elemantary","East Germany","","","","","1"
"Yes","2012","middle vocational","West Germany","","","","","1"
"Yes","2012","middle vocational","East Germany","","","","","1"
"Yes","2012","vocational + Abi","West Germany","","","","","1"
"Yes","2012","vocational + Abi","East Germany","","","","","1"
"Yes","2012","higher education","West Germany","","","","","1"
"Yes","2012","higher education","East Germany","","","","","1"
"No","2013","in school","West Germany","227","1","1","1","2"
"No","2013","in school","East Germany","33","1","1","1","2"
"No","2013","general elemantary","West Germany","1604","0.986839817883109","0.981287004037755","0.992392631728464","2"
"No","2013","general elemantary","East Germany","243","0.979459100471629","0.961805831730749","0.997112369212509","2"
"No","2013","vocational + Abi","West Germany","932","1","1","1","2"
"No","2013","vocational + Abi","East Germany","171","1","1","1","2"
"No","2013","higher vocational","West Germany","955","0.99875829637643","0.996527133391688","1.00098945936117","2"
"No","2013","higher vocational","East Germany","370","0.981751993959516","0.968223085053139","0.995280902865894","2"
"No","2013","higher education","West Germany","3264","0.99884958294504","0.997687194655966","1.00001197123411","2"
"No","2013","higher education","East Germany","1207","0.994109436922506","0.989799493956387","0.998419379888625","2"
"No","2013","inadequately","West Germany","162","0.967328923061521","0.940121025809427","0.994536820313615","2"
"No","2013","inadequately","East Germany","31","1","1","1","2"
"No","2013","middle vocational","West Germany","7065","0.996682116925927","0.995343380414684","0.99802085343717","2"
"No","2013","middle vocational","East Germany","2362","0.996925194337534","0.994696644062832","0.999153744612235","2"
"Yes","2013","higher vocational","West Germany","2","","","","1"
"Yes","2013","higher vocational","East Germany","6","","","","1"
"Yes","2013","in school","West Germany","","","","","1"
"Yes","2013","in school","East Germany","","","","","1"
"Yes","2013","inadequately","West Germany","2","","","","1"
"Yes","2013","inadequately","East Germany","","","","","1"
"Yes","2013","general elemantary","West Germany","14","","","","1"
"Yes","2013","general elemantary","East Germany","5","","","","1"
"Yes","2013","middle vocational","West Germany","23","","","","1"
"Yes","2013","middle vocational","East Germany","9","","","","1"
"Yes","2013","vocational + Abi","West Germany","","","","","1"
"Yes","2013","vocational + Abi","East Germany","","","","","1"
"Yes","2013","higher education","West Germany","3","","","","1"
"Yes","2013","higher education","East Germany","4","","","","1"
"No","2014","in school","West Germany","","","","","2"
"No","2014","in school","East Germany","","","","","2"
"No","2014","general elemantary","West Germany","","","","","2"
"No","2014","general elemantary","East Germany","","","","","2"
"No","2014","inadequately","West Germany","","","","","2"
"No","2014","inadequately","East Germany","","","","","2"
"No","2014","middle vocational","West Germany","","","","","2"
"No","2014","middle vocational","East Germany","","","","","2"
"No","2014","vocational + Abi","West Germany","","","","","2"
"No","2014","vocational + Abi","East Germany","","","","","2"
"No","2014","higher vocational","West Germany","","","","","2"
"No","2014","higher vocational","East Germany","","","","","2"
"No","2014","higher education","West Germany","","","","","2"
"No","2014","higher education","East Germany","","","","","2"
"Yes","2014","in school","West Germany","","","","","1"
"Yes","2014","in school","East Germany","","","","","1"
"Yes","2014","inadequately","West Germany","","","","","1"
"Yes","2014","inadequately","East Germany","","","","","1"
"Yes","2014","general elemantary","West Germany","","","","","1"
"Yes","2014","general elemantary","East Germany","","","","","1"
"Yes","2014","middle vocational","West Germany","","","","","1"
"Yes","2014","middle vocational","East Germany","","","","","1"
"Yes","2014","higher vocational","West Germany","","","","","1"
"Yes","2014","higher vocational","East Germany","","","","","1"
"Yes","2014","vocational + Abi","West Germany","","","","","1"
"Yes","2014","vocational + Abi","East Germany","","","","","1"
"Yes","2014","higher education","West Germany","","","","","1"
"Yes","2014","higher education","East Germany","","","","","1"
"No","2015","in school","West Germany","296","1","1","1","2"
"No","2015","in school","East Germany","56","1","1","1","2"
"No","2015","general elemantary","West Germany","2331","0.98740273880789","0.982888735236842","0.991916742378938","2"
"No","2015","general elemantary","East Germany","338","0.975130863253556","0.95865064961503","0.991611076892082","2"
"No","2015","middle vocational","West Germany","8979","0.996287299119641","0.995031073560517","0.997543524678766","2"
"No","2015","middle vocational","East Germany","2698","0.9953293850616","0.992760915590195","0.997897854533006","2"
"No","2015","vocational + Abi","West Germany","1683","0.999579574093027","0.998600466386749","1.0005586817993","2"
"No","2015","vocational + Abi","East Germany","277","1","1","1","2"
"No","2015","higher vocational","West Germany","1130","0.998093780774399","0.99555394735421","1.00063361419459","2"
"No","2015","higher vocational","East Germany","396","0.99632124507667","0.99038089872977","1.00226159142357","2"
"No","2015","higher education","West Germany","4512","0.997765069058273","0.99638826187802","0.999141876238526","2"
"No","2015","higher education","East Germany","1371","0.996607636419595","0.99353318223212","0.999682090607069","2"
"No","2015","inadequately","West Germany","360","0.986606266311489","0.974797074854171","0.998415457768806","2"
"No","2015","inadequately","East Germany","47","0.998308636201553","0.986684025923923","1.00993324647918","2"
"Yes","2015","middle vocational","West Germany","25","","","","1"
"Yes","2015","middle vocational","East Germany","9","","","","1"
"Yes","2015","higher vocational","West Germany","3","","","","1"
"Yes","2015","higher vocational","East Germany","3","","","","1"
"Yes","2015","in school","West Germany","","","","","1"
"Yes","2015","in school","East Germany","","","","","1"
"Yes","2015","inadequately","West Germany","4","","","","1"
"Yes","2015","inadequately","East Germany","1","","","","1"
"Yes","2015","general elemantary","West Germany","14","","","","1"
"Yes","2015","general elemantary","East Germany","5","","","","1"
"Yes","2015","vocational + Abi","West Germany","1","","","","1"
"Yes","2015","vocational + Abi","East Germany","","","","","1"
"Yes","2015","higher education","West Germany","7","","","","1"
"Yes","2015","higher education","East Germany","3","","","","1"
"No","2016","in school","West Germany","","","","","2"
"No","2016","in school","East Germany","","","","","2"
"No","2016","general elemantary","West Germany","","","","","2"
"No","2016","general elemantary","East Germany","","","","","2"
"No","2016","middle vocational","West Germany","","","","","2"
"No","2016","middle vocational","East Germany","","","","","2"
"No","2016","vocational + Abi","West Germany","","","","","2"
"No","2016","vocational + Abi","East Germany","","","","","2"
"No","2016","higher vocational","West Germany","","","","","2"
"No","2016","higher vocational","East Germany","","","","","2"
"No","2016","higher education","West Germany","","","","","2"
"No","2016","higher education","East Germany","","","","","2"
"No","2016","inadequately","West Germany","","","","","2"
"No","2016","inadequately","East Germany","","","","","2"
"Yes","2016","middle vocational","West Germany","","","","","1"
"Yes","2016","middle vocational","East Germany","","","","","1"
"Yes","2016","higher vocational","West Germany","","","","","1"
"Yes","2016","higher vocational","East Germany","","","","","1"
"Yes","2016","in school","West Germany","","","","","1"
"Yes","2016","in school","East Germany","","","","","1"
"Yes","2016","inadequately","West Germany","","","","","1"
"Yes","2016","inadequately","East Germany","","","","","1"
"Yes","2016","general elemantary","West Germany","","","","","1"
"Yes","2016","general elemantary","East Germany","","","","","1"
"Yes","2016","vocational + Abi","West Germany","","","","","1"
"Yes","2016","vocational + Abi","East Germany","","","","","1"
"Yes","2016","higher education","West Germany","","","","","1"
"Yes","2016","higher education","East Germany","","","","","1"
"No","2017","in school","West Germany","344","0.999727405050784","0.997985444784847","1.00146936531672","2"
"No","2017","in school","East Germany","67","1","1","1","2"
"No","2017","inadequately","West Germany","403","0.986904179054635","0.975845864674276","0.997962493434994","2"
"No","2017","inadequately","East Germany","50","0.963550935286311","0.912117736410975","1.01498413416165","2"
"No","2017","general elemantary","West Germany","2374","0.991781978417344","0.988159509928199","0.99540444690649","2"
"No","2017","general elemantary","East Germany","375","0.964892364349644","0.946387047785835","0.983397680913452","2"
"No","2017","middle vocational","West Germany","9248","0.996173616934646","0.994917144768062","0.99743008910123","2"
"No","2017","middle vocational","East Germany","2854","0.992872889574295","0.989791001612911","0.995954777535679","2"
"No","2017","vocational + Abi","West Germany","1897","1","1","1","2"
"No","2017","vocational + Abi","East Germany","329","1","1","1","2"
"No","2017","higher vocational","West Germany","1143","0.998077174349026","0.995539725110371","1.00061462358768","2"
"No","2017","higher vocational","East Germany","400","0.999503710426657","0.997323814872753","1.00168360598056","2"
"No","2017","higher education","West Germany","5099","0.999053054631587","0.998209235250272","0.999896874012902","2"
"No","2017","higher education","East Germany","1446","0.997331232866924","0.994675776681375","0.999986689052473","2"
"Yes","2017","in school","West Germany","1","","","","1"
"Yes","2017","in school","East Germany","","","","","1"
"Yes","2017","inadequately","West Germany","3","","","","1"
"Yes","2017","inadequately","East Germany","1","","","","1"
"Yes","2017","middle vocational","West Germany","27","","","","1"
"Yes","2017","middle vocational","East Germany","8","","","","1"
"Yes","2017","higher vocational","West Germany","2","","","","1"
"Yes","2017","higher vocational","East Germany","1","","","","1"
"Yes","2017","general elemantary","West Germany","12","","","","1"
"Yes","2017","vocational + Abi","West Germany","","","","","1"
"Yes","2017","higher education","West Germany","5","","","","1"
"Yes","2017","general elemantary","East Germany","5","","","","1"
"Yes","2017","vocational + Abi","East Germany","","","","","1"
"Yes","2017","higher education","East Germany","4","","","","1"
"No","2018","in school","West Germany","","","","","2"
"No","2018","in school","East Germany","","","","","2"
"No","2018","inadequately","West Germany","","","","","2"
"No","2018","inadequately","East Germany","","","","","2"
"No","2018","general elemantary","West Germany","","","","","2"
"No","2018","general elemantary","East Germany","","","","","2"
"No","2018","middle vocational","West Germany","","","","","2"
"No","2018","middle vocational","East Germany","","","","","2"
"No","2018","vocational + Abi","West Germany","","","","","2"
"No","2018","vocational + Abi","East Germany","","","","","2"
"No","2018","higher vocational","West Germany","","","","","2"
"No","2018","higher vocational","East Germany","","","","","2"
"No","2018","higher education","West Germany","","","","","2"
"No","2018","higher education","East Germany","","","","","2"
"Yes","2018","inadequately","West Germany","","","","","1"
"Yes","2018","inadequately","East Germany","","","","","1"
"Yes","2018","middle vocational","West Germany","","","","","1"
"Yes","2018","middle vocational","East Germany","","","","","1"
"Yes","2018","higher vocational","West Germany","","","","","1"
"Yes","2018","higher vocational","East Germany","","","","","1"
"Yes","2018","in school","West Germany","","","","","1"
"Yes","2018","in school","East Germany","","","","","1"
"Yes","2018","general elemantary","West Germany","","","","","1"
"Yes","2018","general elemantary","East Germany","","","","","1"
"Yes","2018","vocational + Abi","West Germany","","","","","1"
"Yes","2018","vocational + Abi","East Germany","","","","","1"
"Yes","2018","higher education","West Germany","","","","","1"
"Yes","2018","higher education","East Germany","","","","","1"
"No","2019","in school","West Germany","278","1","1","1","2"
"No","2019","in school","East Germany","53","1","1","1","2"
"No","2019","inadequately","West Germany","339","0.992450700569135","0.983277036450813","1.00162436468746","2"
"No","2019","inadequately","East Germany","46","0.961942634616176","0.907241906297514","1.01664336293484","2"
"No","2019","general elemantary","West Germany","2038","0.992989569815318","0.989374306336067","0.996604833294569","2"
"No","2019","general elemantary","East Germany","370","0.996543823372896","0.990580027276797","1.00250761946899","2"
"No","2019","middle vocational","West Germany","8465","0.99636159822775","0.99508101763481","0.99764217882069","2"
"No","2019","middle vocational","East Germany","2605","0.997545021806838","0.995647943003289","0.999442100610387","2"
"No","2019","vocational + Abi","West Germany","1839","0.999010532620091","0.997575138385352","1.00044592685483","2"
"No","2019","vocational + Abi","East Germany","321","0.995151532085974","0.987564585507493","1.00273847866445","2"
"No","2019","higher vocational","West Germany","1224","0.9974671393004","0.994657004838886","1.00027727376191","2"
"No","2019","higher vocational","East Germany","436","0.981844032765399","0.96938283627956","0.994305229251239","2"
"No","2019","higher education","West Germany","5386","0.997643828971525","0.996350458870875","0.998937199072175","2"
"No","2019","higher education","East Germany","1583","0.994057740889809","0.990282382736836","0.997833099042782","2"
"Yes","2019","inadequately","West Germany","3","","","","1"
"Yes","2019","inadequately","East Germany","1","","","","1"
"Yes","2019","middle vocational","West Germany","27","","","","1"
"Yes","2019","middle vocational","East Germany","9","","","","1"
"Yes","2019","higher vocational","West Germany","5","","","","1"
"Yes","2019","higher vocational","East Germany","5","","","","1"
"Yes","2019","in school","West Germany","","","","","1"
"Yes","2019","general elemantary","West Germany","8","","","","1"
"Yes","2019","vocational + Abi","West Germany","4","","","","1"
"Yes","2019","higher education","West Germany","12","","","","1"
"Yes","2019","higher education","East Germany","9","","","","1"
"Yes","2019","in school","East Germany","","","","","1"
"Yes","2019","general elemantary","East Germany","2","","","","1"
"Yes","2019","vocational + Abi","East Germany","1","","","","1"
