"ple0020","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2018","66 and older","indirect migration background","","","","","2"
"Yes","2018","35-65 y.","no migration background","","","","","1"
"Yes","2018","66 and older","direct migration background","","","","","1"
"Yes","2018","16-34 y.","no migration background","","","","","1"
"Yes","2018","16-34 y.","direct migration background","","","","","1"
"Yes","2018","16-34 y.","indirect migration background","","","","","1"
"Yes","2018","35-65 y.","direct migration background","","","","","1"
"Yes","2018","35-65 y.","indirect migration background","","","","","1"
"Yes","2018","66 and older","no migration background","","","","","1"
"Yes","2018","66 and older","indirect migration background","","","","","1"
"No","2019","16-34 y.","no migration background","3754","0.998916728736455","0.997865001895669","0.999968455577242","2"
"No","2019","16-34 y.","direct migration background","812","0.998789533927764","0.996400902233237","1.00117816562229","2"
"No","2019","16-34 y.","indirect migration background","884","1","1","1","2"
"No","2019","35-65 y.","no migration background","11755","0.998987289096229","0.998412691062677","0.999561887129781","2"
"No","2019","35-65 y.","direct migration background","2611","0.99823822600215","0.996630898259946","0.999845553744354","2"
"No","2019","35-65 y.","indirect migration background","790","0.999797681658665","0.998806544999011","1.00078881831832","2"
"No","2019","66 and older","no migration background","4727","0.988131691972378","0.985062030113106","0.99120135383165","2"
"No","2019","66 and older","direct migration background","425","0.991109234279262","0.982236771059611","0.999981697498912","2"
"No","2019","66 and older","indirect migration background","35","0.975774347628184","0.925550581103668","1.0259981141527","2"
"Yes","2019","35-65 y.","no migration background","16","","","","1"
"Yes","2019","66 and older","direct migration background","5","","","","1"
"Yes","2019","16-34 y.","indirect migration background","","","","","1"
"Yes","2019","35-65 y.","direct migration background","4","","","","1"
"Yes","2019","35-65 y.","indirect migration background","1","","","","1"
"Yes","2019","66 and older","no migration background","54","0.011868308027622","0.00879864616834994","0.0149379698868941","1"
"Yes","2019","66 and older","indirect migration background","1","","","","1"
"Yes","2019","16-34 y.","no migration background","4","","","","1"
"Yes","2019","16-34 y.","direct migration background","2","","","","1"
