"year","migback","sampreg","sex","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90","lowerci_median","upperci_median"
"2006","direct migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2006","indirect migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2006","indirect migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2006","indirect migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2006","indirect migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2007","no migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2007","no migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2007","no migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2007","no migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2007","direct migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2007","direct migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2007","direct migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2007","direct migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2007","indirect migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2007","indirect migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2007","indirect migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2007","indirect migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2008","no migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2008","no migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2008","no migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2008","no migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2008","direct migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2008","direct migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2008","direct migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2008","direct migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2008","indirect migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2008","indirect migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2008","indirect migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2008","indirect migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2009","no migration background","Westdeutschland, alte Bundeslaender","Male","2.73","2","5350","2.69","2.77","1","1","4","5","2","2"
"2009","no migration background","Westdeutschland, alte Bundeslaender","Female","2.36","2","5833","2.32","2.4","1","1","3","5","2","2"
"2009","no migration background","Ostdeutschland, neue Bundeslaender","Male","2.48","2","2123","2.41","2.55","1","1","3","5","2","2"
"2009","no migration background","Ostdeutschland, neue Bundeslaender","Female","2.16","2","2296","2.1","2.22","1","1","3","4","2","2"
"2009","direct migration background","Westdeutschland, alte Bundeslaender","Male","2.37","2","724","2.26","2.48","1","1","3","5","2","2"
"2009","direct migration background","Westdeutschland, alte Bundeslaender","Female","2.22","2","847","2.13","2.31","1","1","3","4","2","2"
"2009","direct migration background","Ostdeutschland, neue Bundeslaender","Male","2.06","1","30","1.48","2.64","1","1","3","4","1","3"
"2009","direct migration background","Ostdeutschland, neue Bundeslaender","Female","2.63","2","44","2.12","3.14","1","1","4","5","1","2"
"2009","indirect migration background","Westdeutschland, alte Bundeslaender","Male","2.98","3","315","2.78","3.18","1","1","4","6","2","3"
"2009","indirect migration background","Westdeutschland, alte Bundeslaender","Female","2.64","2","353","2.47","2.81","1","1","4","5","2","2"
"2009","indirect migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2009","indirect migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2010","no migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2010","no migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2010","no migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2010","no migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2010","direct migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2010","direct migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2010","direct migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2010","direct migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2010","indirect migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2010","indirect migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2010","indirect migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2010","indirect migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2011","no migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2011","no migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2011","no migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2011","no migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2011","direct migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2011","direct migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2011","direct migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2011","direct migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2011","indirect migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2011","indirect migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2011","indirect migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2011","indirect migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2012","no migration background","Westdeutschland, alte Bundeslaender","Male","2.83","2","1725","2.75","2.91","1","1","4","5","2","2"
"2012","no migration background","Westdeutschland, alte Bundeslaender","Female","2.34","2","2577","2.28","2.4","1","1","3","5","2","2"
"2012","no migration background","Ostdeutschland, neue Bundeslaender","Male","2.43","2","487","2.29","2.57","1","1","3","5","2","2"
"2012","no migration background","Ostdeutschland, neue Bundeslaender","Female","2.15","2","764","2.05","2.25","1","1","3","5","1","2"
"2012","direct migration background","Westdeutschland, alte Bundeslaender","Male","2.28","2","457","2.13","2.43","1","1","3","5","2","2"
"2012","direct migration background","Westdeutschland, alte Bundeslaender","Female","2.1","2","575","1.98","2.22","1","1","2","5","1","2"
"2012","direct migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2012","direct migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2012","indirect migration background","Westdeutschland, alte Bundeslaender","Male","3.09","3","181","2.83","3.35","1","2","4","5","2","3"
"2012","indirect migration background","Westdeutschland, alte Bundeslaender","Female","2.76","2","271","2.54","2.98","1","1","5","6","2","2"
"2012","indirect migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2012","indirect migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2013","no migration background","Westdeutschland, alte Bundeslaender","Male","2.75","2","5689","2.71","2.79","1","1","4","5","2","2"
"2013","no migration background","Westdeutschland, alte Bundeslaender","Female","2.37","2","6411","2.33","2.41","1","1","3","5","2","2"
"2013","no migration background","Ostdeutschland, neue Bundeslaender","Male","2.44","2","2049","2.37","2.51","1","1","3","5","2","2"
"2013","no migration background","Ostdeutschland, neue Bundeslaender","Female","2.06","2","2282","2","2.12","1","1","3","4","1","2"
"2013","direct migration background","Westdeutschland, alte Bundeslaender","Male","2.54","2","697","2.42","2.66","1","1","4","5","2","2"
"2013","direct migration background","Westdeutschland, alte Bundeslaender","Female","2.15","2","897","2.06","2.24","1","1","3","4","1","2"
"2013","direct migration background","Ostdeutschland, neue Bundeslaender","Male","1.75","1","31","1.33","2.17","1","1","2","3","1","2"
"2013","direct migration background","Ostdeutschland, neue Bundeslaender","Female","1.56","1","50","1.18","1.94","1","1","2","3","1","2"
"2013","indirect migration background","Westdeutschland, alte Bundeslaender","Male","3.02","3","320","2.83","3.21","1","1","4","5","2","3"
"2013","indirect migration background","Westdeutschland, alte Bundeslaender","Female","2.93","2","349","2.74","3.12","1","1","5","6","2","2"
"2013","indirect migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2013","indirect migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2014","no migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2014","no migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2014","no migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2014","no migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2014","direct migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2014","direct migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2014","direct migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2014","direct migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2014","indirect migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2014","indirect migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2014","indirect migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2014","indirect migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2015","no migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2015","no migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2015","no migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2015","no migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2015","direct migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2015","direct migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2015","direct migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2015","direct migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2015","indirect migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2015","indirect migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2015","indirect migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2015","indirect migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2016","no migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2016","no migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2016","no migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2016","no migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2016","direct migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2016","direct migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2016","direct migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2016","direct migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2016","indirect migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2016","indirect migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2016","indirect migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2016","indirect migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2017","no migration background","Westdeutschland, alte Bundeslaender","Male","2.94","3","7069","2.9","2.98","1","2","4","5","2","3"
"2017","no migration background","Westdeutschland, alte Bundeslaender","Female","2.51","2","8061","2.48","2.54","1","1","4","5","2","2"
"2017","no migration background","Ostdeutschland, neue Bundeslaender","Male","2.79","2","2379","2.72","2.86","1","1","4","5","2","2"
"2017","no migration background","Ostdeutschland, neue Bundeslaender","Female","2.39","2","2770","2.33","2.45","1","1","3","5","2","2"
"2017","direct migration background","Westdeutschland, alte Bundeslaender","Male","2.48","2","3275","2.43","2.53","1","1","3","5","1","1"
"2017","direct migration background","Westdeutschland, alte Bundeslaender","Female","2.22","2","3156","2.17","2.27","1","1","3","4","1","1"
"2017","direct migration background","Ostdeutschland, neue Bundeslaender","Male","2.38","2","461","2.25","2.51","1","1","4","5","1","1"
"2017","direct migration background","Ostdeutschland, neue Bundeslaender","Female","2.55","2","376","2.4","2.7","1","1","4","5","1","1"
"2017","indirect migration background","Westdeutschland, alte Bundeslaender","Male","3.56","4","735","3.43","3.69","1","2","5","6","3","4"
"2017","indirect migration background","Westdeutschland, alte Bundeslaender","Female","2.95","2","871","2.84","3.06","1","1","4","6","2","2"
"2017","indirect migration background","Ostdeutschland, neue Bundeslaender","Male","2.6","2","53","2.15","3.05","1","1","4","4","2","4"
"2017","indirect migration background","Ostdeutschland, neue Bundeslaender","Female","2.33","2","54","1.88","2.78","1","1","3","5","2","3"
"2018","no migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2018","no migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2018","no migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2018","no migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2018","direct migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2018","direct migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2018","direct migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2018","direct migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2018","indirect migration background","Westdeutschland, alte Bundeslaender","Male","","","","","","","","","","",""
"2018","indirect migration background","Westdeutschland, alte Bundeslaender","Female","","","","","","","","","","",""
"2018","indirect migration background","Ostdeutschland, neue Bundeslaender","Male","","","","","","","","","","",""
"2018","indirect migration background","Ostdeutschland, neue Bundeslaender","Female","","","","","","","","","","",""
"2019","no migration background","Westdeutschland, alte Bundeslaender","Male","2.77","2","7284","2.73","2.81","1","1","4","5","2","2"
"2019","no migration background","Westdeutschland, alte Bundeslaender","Female","2.43","2","7713","2.4","2.46","1","1","3","5","2","2"
"2019","no migration background","Ostdeutschland, neue Bundeslaender","Male","2.6","2","2434","2.54","2.66","1","1","4","5","2","2"
"2019","no migration background","Ostdeutschland, neue Bundeslaender","Female","2.31","2","2692","2.25","2.37","1","1","3","5","2","2"
"2019","direct migration background","Westdeutschland, alte Bundeslaender","Male","2.47","2","1590","2.39","2.55","1","1","3","5","2","2"
"2019","direct migration background","Westdeutschland, alte Bundeslaender","Female","2.12","2","1944","2.06","2.18","1","1","3","4","2","2"
"2019","direct migration background","Ostdeutschland, neue Bundeslaender","Male","2.12","2","140","1.88","2.36","1","1","3","4","2","2"
"2019","direct migration background","Ostdeutschland, neue Bundeslaender","Female","2.4","2","150","2.16","2.64","1","1","3","4","2","2"
"2019","indirect migration background","Westdeutschland, alte Bundeslaender","Male","3.27","3","716","3.14","3.4","1","2","4","6","2","3"
"2019","indirect migration background","Westdeutschland, alte Bundeslaender","Female","2.75","2","838","2.64","2.86","1","1","4","5","2","2"
"2019","indirect migration background","Ostdeutschland, neue Bundeslaender","Male","2.89","2","73","2.48","3.3","1","2","4","5","2","3"
"2019","indirect migration background","Ostdeutschland, neue Bundeslaender","Female","2.81","2","60","2.41","3.21","1","2","4","5","2","3"
