"ple0024","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Yes","2015","direct migration background","West Germany","2063","0.447631176304301","0.4322445866652","0.463017765943403","1"
"Yes","2015","direct migration background","East Germany","131","0.359561492295979","0.304426552830274","0.414696431761684","1"
"Yes","2015","indirect migration background","West Germany","895","0.59424251313487","0.569557041599097","0.618927984670642","1"
"Yes","2015","indirect migration background","East Germany","64","0.655094008286467","0.563296337509956","0.746891679062978","1"
"No","2016","no migration background","West Germany","","","","","2"
"No","2016","no migration background","East Germany","","","","","2"
"No","2016","direct migration background","West Germany","","","","","2"
"No","2016","direct migration background","East Germany","","","","","2"
"No","2016","indirect migration background","West Germany","","","","","2"
"No","2016","indirect migration background","East Germany","","","","","2"
"Yes","2016","direct migration background","West Germany","","","","","1"
"Yes","2016","direct migration background","East Germany","","","","","1"
"Yes","2016","no migration background","West Germany","","","","","1"
"Yes","2016","no migration background","East Germany","","","","","1"
"Yes","2016","indirect migration background","West Germany","","","","","1"
"Yes","2016","indirect migration background","East Germany","","","","","1"
"No","2017","no migration background","West Germany","9577","0.664328610797571","0.656784646445857","0.671872575149284","2"
"No","2017","no migration background","East Germany","3391","0.671666119794709","0.658821760732626","0.684510478856792","2"
"No","2017","direct migration background","West Germany","2065","0.549981592370396","0.535080641737612","0.564882543003181","2"
"No","2017","direct migration background","East Germany","185","0.498506093949307","0.4474212292425","0.549590958656113","2"
"No","2017","indirect migration background","West Germany","701","0.431706856119409","0.407444492549836","0.455969219688982","2"
"No","2017","indirect migration background","East Germany","40","0.351037052560218","0.260175199681074","0.441898905439362","2"
"Yes","2017","direct migration background","West Germany","2217","0.450018407629604","0.435117456996819","0.464919358262389","1"
"Yes","2017","direct migration background","East Germany","183","0.501493906050693","0.450409041343887","0.5525787707575","1"
"Yes","2017","indirect migration background","West Germany","900","0.568293143880591","0.544030780311018","0.592555507450164","1"
"Yes","2017","no migration background","West Germany","5475","0.33567138920243","0.328127424850716","0.343215353554143","1"
"Yes","2017","no migration background","East Germany","1744","0.328333880205291","0.315489521143208","0.341178239267374","1"
"Yes","2017","indirect migration background","East Germany","66","0.648962947439782","0.558101094560638","0.739824800318926","1"
"No","2018","no migration background","West Germany","","","","","2"
"No","2018","no migration background","East Germany","","","","","2"
"No","2018","direct migration background","West Germany","","","","","2"
"No","2018","direct migration background","East Germany","","","","","2"
"No","2018","indirect migration background","West Germany","","","","","2"
"No","2018","indirect migration background","East Germany","","","","","2"
"Yes","2018","direct migration background","West Germany","","","","","1"
"Yes","2018","direct migration background","East Germany","","","","","1"
"Yes","2018","indirect migration background","West Germany","","","","","1"
"Yes","2018","no migration background","West Germany","","","","","1"
"Yes","2018","indirect migration background","East Germany","","","","","1"
"Yes","2018","no migration background","East Germany","","","","","1"
"No","2019","no migration background","West Germany","10088","0.696933471553785","0.689567924448427","0.704299018659143","2"
"No","2019","no migration background","East Germany","3623","0.729217112920255","0.717040630214834","0.741393595625676","2"
"No","2019","direct migration background","West Germany","1966","0.619457571204993","0.603470465723336","0.635444676686649","2"
"No","2019","direct migration background","East Germany","154","0.435952527378558","0.378781420798312","0.493123633958804","2"
"No","2019","indirect migration background","West Germany","792","0.495159768173888","0.470269367017502","0.520050169330274","2"
"No","2019","indirect migration background","East Germany","66","0.375024180341273","0.292435149831105","0.457613210851441","2"
"Yes","2019","direct migration background","West Germany","1577","0.380542428795008","0.364555323313351","0.396529534276664","1"
"Yes","2019","direct migration background","East Germany","135","0.564047472621442","0.506876366041196","0.621218579201688","1"
"Yes","2019","no migration background","West Germany","4868","0.303066528446215","0.295700981340857","0.310432075551573","1"
"Yes","2019","indirect migration background","West Germany","758","0.504840231826112","0.479949830669726","0.529730632982498","1"
"Yes","2019","indirect migration background","East Germany","66","0.624975819658727","0.542386789148559","0.707564850168895","1"
"Yes","2019","no migration background","East Germany","1493","0.270782887079745","0.258606404374324","0.282959369785166","1"
