"year","migback","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2012","direct migration background","Westdeutschland, alte Bundeslaender","5.52","6","1033","4","5","7","7","5.44","5.6","6","6"
"2012","indirect migration background","Ostdeutschland, neue Bundeslaender","5.41","6","32","4","5","6","7","4.91","5.91","5","6"
"2012","indirect migration background","Westdeutschland, alte Bundeslaender","5.66","6","452","4","5","7","7","5.54","5.78","6","6"
"2012","no migration background","Ostdeutschland, neue Bundeslaender","5.54","6","1251","4","5","6","7","5.47","5.61","6","6"
"2012","no migration background","Westdeutschland, alte Bundeslaender","5.51","6","4303","4","5","6","7","5.47","5.55","6","6"
"2013","direct migration background","Ostdeutschland, neue Bundeslaender","5.69","6","81","3","5","7","7","5.38","6","6","6"
"2013","direct migration background","Westdeutschland, alte Bundeslaender","5.42","6","1601","4","5","6","7","5.35","5.49","6","6"
"2013","indirect migration background","Ostdeutschland, neue Bundeslaender","5.14","5","45","4","4","6","7","4.75","5.53","5","6"
"2013","indirect migration background","Westdeutschland, alte Bundeslaender","5.44","6","670","3","5","6","7","5.34","5.54","6","6"
"2013","no migration background","Ostdeutschland, neue Bundeslaender","5.41","6","4339","4","5","6","7","5.37","5.45","6","6"
"2013","no migration background","Westdeutschland, alte Bundeslaender","5.42","6","12128","4","5","6","7","5.4","5.44","6","6"
"2014","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2014","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2014","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2014","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2015","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2015","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2015","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2015","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2015","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2015","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2016","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2016","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2016","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2016","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2016","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2016","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2017","direct migration background","Ostdeutschland, neue Bundeslaender","5.58","6","839","3","5","7","7","5.48","5.68","6","7"
"2017","direct migration background","Westdeutschland, alte Bundeslaender","5.47","6","6435","3","5","7","7","5.43","5.51","6","6"
"2017","indirect migration background","Ostdeutschland, neue Bundeslaender","5.35","6","107","4","4","6","7","5.08","5.62","5","6"
"2017","indirect migration background","Westdeutschland, alte Bundeslaender","5.41","6","1605","3","5","6","7","5.34","5.48","6","6"
"2017","no migration background","Ostdeutschland, neue Bundeslaender","5.45","6","5152","4","5","6","7","5.41","5.49","6","6"
"2017","no migration background","Westdeutschland, alte Bundeslaender","5.45","6","15144","4","5","6","7","5.43","5.47","6","6"
"2018","direct migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2018","direct migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2018","indirect migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2018","indirect migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2018","no migration background","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"2018","no migration background","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"2019","direct migration background","Ostdeutschland, neue Bundeslaender","5.36","5.33","288","3","5","6","7","5.19","5.53","5","6"
"2019","direct migration background","Westdeutschland, alte Bundeslaender","5.39","6","3536","3","5","7","7","5.34","5.44","6","6"
"2019","indirect migration background","Ostdeutschland, neue Bundeslaender","5.41","6","133","4","5","6","7","5.17","5.65","5","6"
"2019","indirect migration background","Westdeutschland, alte Bundeslaender","5.47","6","1558","3","5","7","7","5.4","5.54","6","6"
"2019","no migration background","Ostdeutschland, neue Bundeslaender","5.36","6","5139","4","5","6","7","5.32","5.4","6","6"
"2019","no migration background","Westdeutschland, alte Bundeslaender","5.34","6","15013","3","5","6","7","5.32","5.36","6","6"
