"ple0097","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Neither","2001","higher education","West Germany","15","","","","3"
"Neither","2001","higher vocational","East Germany","1","","","","3"
"Neither","2001","higher education","East Germany","4","","","","3"
"Neither","2001","in school","West Germany","1","","","","3"
"Neither","2001","in school","East Germany","2","","","","3"
"Neither","2001","general elemantary","East Germany","2","","","","3"
"Neither","2001","middle vocational","West Germany","64","0.00745234087984863","0.00563812375842275","0.0092665580012745","3"
"Neither","2001","middle vocational","East Germany","15","","","","3"
"Neither","2001","vocational + Abi","West Germany","4","","","","3"
"Neither","2001","vocational + Abi","East Germany","","","","","3"
"Neither","2001","inadequately","West Germany","2","","","","3"
"Neither","2001","inadequately","East Germany","","","","","3"
"Neither","2001","general elemantary","West Germany","10","","","","3"
"Private health insurance","2001","in school","West Germany","85","0.2174000956164","0.176567703983661","0.258232487249138","2"
"Private health insurance","2001","general elemantary","East Germany","6","","","","2"
"Private health insurance","2001","higher vocational","West Germany","171","0.146366934960399","0.126669016067351","0.166064853853447","2"
"Private health insurance","2001","in school","East Germany","9","","","","2"
"Private health insurance","2001","inadequately","West Germany","1","","","","2"
"Private health insurance","2001","inadequately","East Germany","","","","","2"
"Private health insurance","2001","general elemantary","West Germany","76","0.0307725283631892","0.0242107719908874","0.0373342847354909","2"
"Private health insurance","2001","middle vocational","West Germany","792","0.0909384886654327","0.0848733920704341","0.0970035852604314","2"
"Private health insurance","2001","middle vocational","East Germany","95","0.0316932893794422","0.0254422740379144","0.0379443047209701","2"
"Private health insurance","2001","vocational + Abi","West Germany","92","0.112057393243161","0.0920827955057579","0.132031990980564","2"
"Private health insurance","2001","vocational + Abi","East Germany","7","","","","2"
"Private health insurance","2001","higher vocational","East Germany","27","","","","2"
"Private health insurance","2001","higher education","West Germany","838","0.352080449683438","0.332728636639004","0.371432262727872","2"
"Private health insurance","2001","higher education","East Germany","134","0.108406465285259","0.0910180519592957","0.125794878611223","2"
"Public health insurance","2001","in school","West Germany","306","0.779897631436598","0.738883245260833","0.820912017612362","1"
"Public health insurance","2001","in school","East Germany","147","0.915987059411665","0.872731960481271","0.95924215834206","1"
"Public health insurance","2001","inadequately","West Germany","294","0.988084634936205","0.975744479907928","1.00042478996448","1"
"Public health insurance","2001","inadequately","East Germany","15","","","","1"
"Public health insurance","2001","general elemantary","West Germany","2575","0.963508981190858","0.956384610115664","0.970633352266053","1"
"Public health insurance","2001","general elemantary","East Germany","452","0.988410860862786","0.978630305447","0.998191416278572","1"
"Public health insurance","2001","middle vocational","West Germany","7777","0.901609170454719","0.895326363846806","0.907891977062631","1"
"Public health insurance","2001","middle vocational","East Germany","2907","0.961193837746029","0.954302297885298","0.96808537760676","1"
"Public health insurance","2001","vocational + Abi","West Germany","862","0.882402788601359","0.862004333161789","0.90280124404093","1"
"Public health insurance","2001","vocational + Abi","East Germany","114","0.92414138196446","0.876964734181657","0.971318029747263","1"
"Public health insurance","2001","higher vocational","West Germany","1057","0.845862822126768","0.825741018269573","0.865984625983963","1"
"Public health insurance","2001","higher vocational","East Germany","417","0.937919239678691","0.915499564224413","0.960338915132968","1"
"Public health insurance","2001","higher education","West Germany","1487","0.641028220209649","0.621592130677017","0.660464309742282","1"
"Public health insurance","2001","higher education","East Germany","1090","0.888671170972637","0.871078844578311","0.906263497366964","1"
"Neither","2002","higher vocational","West Germany","12","","","","3"
"Neither","2002","higher education","West Germany","24","","","","3"
"Neither","2002","higher vocational","East Germany","","","","","3"
"Neither","2002","higher education","East Germany","3","","","","3"
"Neither","2002","general elemantary","East Germany","","","","","3"
"Neither","2002","middle vocational","West Germany","46","0.00387683360123994","0.00257512097777135","0.00517854622470853","3"
"Neither","2002","middle vocational","East Germany","15","","","","3"
"Neither","2002","vocational + Abi","East Germany","","","","","3"
"Neither","2002","vocational + Abi","West Germany","7","","","","3"
"Neither","2002","in school","West Germany","","","","","3"
"Neither","2002","in school","East Germany","1","","","","3"
"Neither","2002","inadequately","West Germany","2","","","","3"
"Neither","2002","inadequately","East Germany","1","","","","3"
"Neither","2002","general elemantary","West Germany","6","","","","3"
"Private health insurance","2002","higher vocational","West Germany","211","0.130492434460235","0.112146385166792","0.148838483753678","2"
"Private health insurance","2002","in school","West Germany","103","0.161634340141983","0.127994592206151","0.195274088077816","2"
"Private health insurance","2002","general elemantary","East Germany","4","","","","2"
"Private health insurance","2002","vocational + Abi","East Germany","8","","","","2"
"Private health insurance","2002","higher vocational","East Germany","37","0.0660813167267547","0.0432298521115282","0.0889327813419813","2"
"Private health insurance","2002","higher education","West Germany","1436","0.357607274819243","0.341103660512967","0.37411088912552","2"
"Private health insurance","2002","higher education","East Germany","213","0.114906284388173","0.0977542526021768","0.13205831617417","2"
"Private health insurance","2002","in school","East Germany","12","","","","2"
"Private health insurance","2002","inadequately","West Germany","2","","","","2"
"Private health insurance","2002","inadequately","East Germany","1","","","","2"
"Private health insurance","2002","general elemantary","West Germany","98","0.0340545438544953","0.0269378767440803","0.0411712109649103","2"
"Private health insurance","2002","middle vocational","West Germany","952","0.090105858154216","0.0841080583753092","0.0961036579331228","2"
"Private health insurance","2002","middle vocational","East Germany","93","0.0278818078599025","0.0218846731077851","0.0338789426120199","2"
"Private health insurance","2002","vocational + Abi","West Germany","119","0.0882924952492448","0.0710822324554463","0.105502758043043","2"
"Public health insurance","2002","vocational + Abi","East Germany","128","0.932919173118554","0.890875577545854","0.974962768691254","1"
"Public health insurance","2002","higher vocational","West Germany","1072","0.861589931019552","0.842781725712617","0.880398136326487","1"
"Public health insurance","2002","higher vocational","East Germany","417","0.933918683273245","0.911067218658019","0.956770147888472","1"
"Public health insurance","2002","higher education","West Germany","1780","0.637266355107163","0.620711324006416","0.65382138620791","1"
"Public health insurance","2002","higher education","East Germany","1112","0.883429544009234","0.866170002263781","0.900689085754686","1"
"Public health insurance","2002","in school","West Germany","357","0.838365659858017","0.804725911922184","0.872005407793849","1"
"Public health insurance","2002","in school","East Germany","141","0.948621809571249","0.913754078696056","0.983489540446442","1"
"Public health insurance","2002","inadequately","West Germany","265","0.975127111878744","0.956516284755494","0.993737939001994","1"
"Public health insurance","2002","inadequately","East Germany","14","","","","1"
"Public health insurance","2002","general elemantary","West Germany","2391","0.964318457122177","0.957039907147517","0.971597007096836","1"
"Public health insurance","2002","general elemantary","East Germany","425","0.9945022294601","0.987505168939352","1.00149928998085","1"
"Public health insurance","2002","middle vocational","West Germany","7757","0.906017308244544","0.899904902112587","0.912129714376501","1"
"Public health insurance","2002","middle vocational","East Germany","2787","0.965457825064146","0.958805625031148","0.972110025097145","1"
"Public health insurance","2002","vocational + Abi","West Germany","918","0.902575640899534","0.884588032480013","0.920563249319055","1"
"Neither","2003","higher vocational","West Germany","10","","","","3"
"Neither","2003","higher education","East Germany","4","","","","3"
"Neither","2003","higher education","West Germany","20","","","","3"
"Neither","2003","higher vocational","East Germany","","","","","3"
"Neither","2003","general elemantary","East Germany","1","","","","3"
"Neither","2003","middle vocational","West Germany","50","0.00630341820376853","0.00460516701224287","0.0080016693952942","3"
"Neither","2003","middle vocational","East Germany","15","","","","3"
"Neither","2003","vocational + Abi","West Germany","4","","","","3"
"Neither","2003","vocational + Abi","East Germany","","","","","3"
"Neither","2003","in school","West Germany","4","","","","3"
"Neither","2003","in school","East Germany","","","","","3"
"Neither","2003","inadequately","West Germany","4","","","","3"
"Neither","2003","inadequately","East Germany","1","","","","3"
"Neither","2003","general elemantary","West Germany","11","","","","3"
"Private health insurance","2003","higher vocational","West Germany","208","0.139427758610906","0.12014004595242","0.158715471269392","2"
"Private health insurance","2003","in school","West Germany","101","0.187693437807245","0.151736432405144","0.223650443209347","2"
"Private health insurance","2003","general elemantary","East Germany","4","","","","2"
"Private health insurance","2003","vocational + Abi","East Germany","9","","","","2"
"Private health insurance","2003","higher vocational","East Germany","33","0.0686531296839882","0.0453933249541541","0.0919129344138222","2"
"Private health insurance","2003","higher education","West Germany","1335","0.350954091517445","0.334052116485245","0.367856066549644","2"
"Private health insurance","2003","higher education","East Germany","210","0.109174202939875","0.0921890440334072","0.126159361846342","2"
"Private health insurance","2003","inadequately","West Germany","4","","","","2"
"Private health insurance","2003","middle vocational","East Germany","107","0.0344892554561036","0.0277589277660732","0.0412195831461339","2"
"Private health insurance","2003","vocational + Abi","West Germany","116","0.0884473987014405","0.0710220529214114","0.10587274448147","2"
"Private health insurance","2003","in school","East Germany","12","","","","2"
"Private health insurance","2003","inadequately","East Germany","","","","","2"
"Private health insurance","2003","general elemantary","West Germany","67","0.0220662225061084","0.0161206266206957","0.0280118183915211","2"
"Private health insurance","2003","middle vocational","West Germany","898","0.0876237642095877","0.0815566118010344","0.0936909166181411","2"
"Public health insurance","2003","vocational + Abi","East Germany","134","0.903335424285436","0.85490277034468","0.951768078226192","1"
"Public health insurance","2003","higher vocational","West Germany","1021","0.853921503219514","0.834255570076916","0.873587436362113","1"
"Public health insurance","2003","higher vocational","East Germany","421","0.931346870316012","0.908087065586178","0.954606675045846","1"
"Public health insurance","2003","higher education","West Germany","1708","0.643747839766916","0.626788410293715","0.660707269240116","1"
"Public health insurance","2003","higher education","East Germany","1081","0.889864364976734","0.87281378937456","0.906914940578908","1"
"Public health insurance","2003","in school","West Germany","348","0.802499285978569","0.76583817240935","0.839160399547787","1"
"Public health insurance","2003","in school","East Germany","150","0.964263114985868","0.935677554738377","0.992848675233358","1"
"Public health insurance","2003","inadequately","West Germany","248","0.962135684016641","0.938754778476572","0.98551658955671","1"
"Public health insurance","2003","inadequately","East Germany","14","","","","1"
"Public health insurance","2003","general elemantary","West Germany","2267","0.974522798594057","0.968145327049395","0.980900270138719","1"
"Public health insurance","2003","general elemantary","East Germany","414","0.988973215452314","0.978974187352387","0.998972243552242","1"
"Public health insurance","2003","middle vocational","West Germany","7395","0.906072817586644","0.899812964116286","0.912332671057001","1"
"Public health insurance","2003","middle vocational","East Germany","2702","0.959010394251113","0.951697921301273","0.966322867200953","1"
"Public health insurance","2003","vocational + Abi","West Germany","900","0.907302421221815","0.889504952620903","0.925099889822728","1"
"Neither","2004","higher education","West Germany","","","","","3"
"Neither","2004","higher vocational","West Germany","","","","","3"
"Neither","2004","higher vocational","East Germany","","","","","3"
"Neither","2004","higher education","East Germany","","","","","3"
"Neither","2004","general elemantary","East Germany","","","","","3"
"Neither","2004","middle vocational","West Germany","","","","","3"
"Neither","2004","middle vocational","East Germany","","","","","3"
"Neither","2004","vocational + Abi","West Germany","","","","","3"
"Neither","2004","vocational + Abi","East Germany","","","","","3"
"Neither","2004","in school","West Germany","","","","","3"
"Neither","2004","in school","East Germany","","","","","3"
"Neither","2004","inadequately","West Germany","","","","","3"
"Neither","2004","inadequately","East Germany","","","","","3"
"Neither","2004","general elemantary","West Germany","","","","","3"
"Private health insurance","2004","higher vocational","West Germany","188","0.125643344212967","0.106851119706072","0.144435568719861","2"
"Private health insurance","2004","in school","West Germany","112","0.145532071861926","0.113514943881375","0.177549199842477","2"
"Private health insurance","2004","general elemantary","East Germany","2","","","","2"
"Private health insurance","2004","vocational + Abi","East Germany","7","","","","2"
"Private health insurance","2004","higher vocational","East Germany","35","0.0835018248812341","0.0575350129757012","0.109468636786767","2"
"Private health insurance","2004","higher education","West Germany","1337","0.353927136692545","0.336824301679472","0.371029971705619","2"
"Private health insurance","2004","higher education","East Germany","206","0.112861677982208","0.0955135912172968","0.130209764747119","2"
"Private health insurance","2004","middle vocational","East Germany","108","0.0331304384284362","0.0264387261031287","0.0398221507537437","2"
"Private health insurance","2004","general elemantary","West Germany","67","0.0226333046412327","0.0164338073836622","0.0288328018988032","2"
"Private health insurance","2004","inadequately","West Germany","3","","","","2"
"Private health insurance","2004","inadequately","East Germany","","","","","2"
"Private health insurance","2004","middle vocational","West Germany","832","0.0869564751760395","0.0807854737302121","0.0931274766218668","2"
"Private health insurance","2004","vocational + Abi","West Germany","120","0.102723451766696","0.0839254281498348","0.121521475383557","2"
"Private health insurance","2004","in school","East Germany","16","","","","2"
"Public health insurance","2004","vocational + Abi","East Germany","147","0.942612695038199","0.905879196944095","0.979346193132303","1"
"Public health insurance","2004","higher vocational","West Germany","1007","0.874356655787033","0.855564431280139","0.893148880293928","1"
"Public health insurance","2004","higher vocational","East Germany","401","0.916498175118766","0.890531363213233","0.942464987024299","1"
"Public health insurance","2004","higher education","West Germany","1666","0.646072863307454","0.628970028294381","0.663175698320528","1"
"Public health insurance","2004","higher education","East Germany","1072","0.887138322017792","0.869790235252881","0.904486408782703","1"
"Public health insurance","2004","general elemantary","East Germany","371","0.99631956329007","0.990174269063144","1.002464857517","1"
"Public health insurance","2004","middle vocational","East Germany","2640","0.966869561571564","0.960177849246256","0.973561273896871","1"
"Public health insurance","2004","vocational + Abi","West Germany","882","0.897276548233304","0.878478524616443","0.916074571850165","1"
"Public health insurance","2004","in school","West Germany","354","0.854467928138074","0.822450800157523","0.886485056118625","1"
"Public health insurance","2004","in school","East Germany","145","0.959460769159026","0.928996797957631","0.989924740360422","1"
"Public health insurance","2004","inadequately","West Germany","233","0.986194842270689","0.971308289561941","1.00108139497944","1"
"Public health insurance","2004","inadequately","East Germany","17","","","","1"
"Public health insurance","2004","general elemantary","West Germany","2144","0.977366695358767","0.971167198101197","0.983566192616338","1"
"Public health insurance","2004","middle vocational","West Germany","7177","0.913043524823961","0.906872523378133","0.919214526269788","1"
"Neither","2005","higher education","West Germany","","","","","3"
"Neither","2005","higher vocational","West Germany","","","","","3"
"Neither","2005","higher vocational","East Germany","","","","","3"
"Neither","2005","higher education","East Germany","","","","","3"
"Neither","2005","vocational + Abi","East Germany","","","","","3"
"Neither","2005","general elemantary","East Germany","","","","","3"
"Neither","2005","middle vocational","West Germany","","","","","3"
"Neither","2005","middle vocational","East Germany","","","","","3"
"Neither","2005","vocational + Abi","West Germany","","","","","3"
"Neither","2005","in school","West Germany","","","","","3"
"Neither","2005","in school","East Germany","","","","","3"
"Neither","2005","inadequately","West Germany","","","","","3"
"Neither","2005","inadequately","East Germany","","","","","3"
"Neither","2005","general elemantary","West Germany","","","","","3"
"Private health insurance","2005","higher education","East Germany","190","0.113284296091035","0.0956720414453052","0.130896550736764","2"
"Private health insurance","2005","higher education","West Germany","1274","0.349701111007197","0.332317937811711","0.367084284202683","2"
"Private health insurance","2005","higher vocational","West Germany","195","0.145716324727947","0.125117554598943","0.16631509485695","2"
"Private health insurance","2005","higher vocational","East Germany","35","0.0776445016457943","0.0519899473424895","0.103299055949099","2"
"Private health insurance","2005","general elemantary","East Germany","2","","","","2"
"Private health insurance","2005","vocational + Abi","East Germany","5","","","","2"
"Private health insurance","2005","in school","West Germany","118","0.151761531186007","0.120249728263049","0.183273334108964","2"
"Private health insurance","2005","general elemantary","West Germany","55","0.0182280695613058","0.0124343328007472","0.0240218063218643","2"
"Private health insurance","2005","middle vocational","West Germany","783","0.0894816621785584","0.0830563207133811","0.0959070036437357","2"
"Private health insurance","2005","middle vocational","East Germany","101","0.0334614482428386","0.0265501462141311","0.0403727502715461","2"
"Private health insurance","2005","vocational + Abi","West Germany","114","0.0910130589741021","0.0728844061653613","0.109141711782843","2"
"Private health insurance","2005","in school","East Germany","15","","","","2"
"Private health insurance","2005","inadequately","West Germany","4","","","","2"
"Private health insurance","2005","inadequately","East Germany","","","","","2"
"Public health insurance","2005","vocational + Abi","East Germany","156","0.953776023844565","0.921342659285034","0.986209388404097","1"
"Public health insurance","2005","higher vocational","West Germany","932","0.854283675272053","0.83368490514305","0.874882445401057","1"
"Public health insurance","2005","higher vocational","East Germany","383","0.922355498354206","0.896700944050901","0.948010052657511","1"
"Public health insurance","2005","higher education","West Germany","1617","0.650298888992803","0.632915715797317","0.667682062188289","1"
"Public health insurance","2005","higher education","East Germany","1054","0.886715703908965","0.869103449263236","0.904327958554695","1"
"Public health insurance","2005","general elemantary","West Germany","1993","0.981771930438694","0.975978193678136","0.987565667199253","1"
"Public health insurance","2005","general elemantary","East Germany","340","0.994637260725812","0.986896908179471","1.00237761327215","1"
"Public health insurance","2005","middle vocational","West Germany","6798","0.910518337821442","0.904092996356264","0.916943679286619","1"
"Public health insurance","2005","middle vocational","East Germany","2500","0.966538551757161","0.959627249728454","0.973449853785869","1"
"Public health insurance","2005","vocational + Abi","West Germany","853","0.908986941025898","0.890858288217157","0.927115593834639","1"
"Public health insurance","2005","inadequately","West Germany","220","0.963686433279212","0.93918867144737","0.988184195111055","1"
"Public health insurance","2005","in school","East Germany","131","0.964029827068951","0.933824178753873","0.99423547538403","1"
"Public health insurance","2005","inadequately","East Germany","17","","","","1"
"Public health insurance","2005","in school","West Germany","380","0.848238468813993","0.816726665891036","0.879750271736951","1"
"Neither","2006","higher education","East Germany","","","","","3"
"Neither","2006","higher vocational","West Germany","","","","","3"
"Neither","2006","higher education","West Germany","","","","","3"
"Neither","2006","higher vocational","East Germany","","","","","3"
"Neither","2006","general elemantary","East Germany","","","","","3"
"Neither","2006","middle vocational","West Germany","","","","","3"
"Neither","2006","middle vocational","East Germany","","","","","3"
"Neither","2006","vocational + Abi","West Germany","","","","","3"
"Neither","2006","vocational + Abi","East Germany","","","","","3"
"Neither","2006","in school","West Germany","","","","","3"
"Neither","2006","in school","East Germany","","","","","3"
"Neither","2006","inadequately","West Germany","","","","","3"
"Neither","2006","inadequately","East Germany","","","","","3"
"Neither","2006","general elemantary","West Germany","","","","","3"
"Private health insurance","2006","higher education","West Germany","1412","0.363988566720744","0.347398201583127","0.38057893185836","2"
"Private health insurance","2006","higher education","East Germany","200","0.11974508070578","0.102290128199587","0.137200033211973","2"
"Private health insurance","2006","higher vocational","West Germany","207","0.142642622113349","0.122995072077609","0.162290172149089","2"
"Private health insurance","2006","higher vocational","East Germany","35","0.0812026076652722","0.0551726913247091","0.107232524005835","2"
"Private health insurance","2006","general elemantary","East Germany","6","","","","2"
"Private health insurance","2006","vocational + Abi","East Germany","3","","","","2"
"Private health insurance","2006","in school","West Germany","90","0.169374070004547","0.128278093356824","0.21047004665227","2"
"Private health insurance","2006","middle vocational","East Germany","108","0.0361256640110863","0.0292139270320127","0.04303740099016","2"
"Private health insurance","2006","vocational + Abi","West Germany","118","0.0888265031867502","0.0715775887400572","0.106075417633443","2"
"Private health insurance","2006","general elemantary","West Germany","69","0.0236082371957985","0.0171392827515631","0.0300771916400338","2"
"Private health insurance","2006","inadequately","West Germany","3","","","","2"
"Private health insurance","2006","middle vocational","West Germany","868","0.0883309785646395","0.0822056712775074","0.0944562858517715","2"
"Private health insurance","2006","in school","East Germany","15","","","","2"
"Private health insurance","2006","inadequately","East Germany","","","","","2"
"Public health insurance","2006","vocational + Abi","East Germany","168","0.986366113315504","0.968984945700702","1.00374728093031","1"
"Public health insurance","2006","higher vocational","West Germany","1010","0.857357377886651","0.837709827850911","0.877004927922391","1"
"Public health insurance","2006","higher vocational","East Germany","388","0.918797392334728","0.892767475994165","0.944827308675291","1"
"Public health insurance","2006","higher education","West Germany","1819","0.636011433279256","0.61942106814164","0.652601798416873","1"
"Public health insurance","2006","higher education","East Germany","1129","0.88025491929422","0.862799966788027","0.897709871800413","1"
"Public health insurance","2006","general elemantary","West Germany","2047","0.976391762804202","0.969922808359966","0.982860717248437","1"
"Public health insurance","2006","general elemantary","East Germany","364","0.984810509731549","0.972348296831718","0.997272722631379","1"
"Public health insurance","2006","middle vocational","West Germany","7377","0.911669021435361","0.905543714148229","0.917794328722493","1"
"Public health insurance","2006","middle vocational","East Germany","2692","0.963874335988914","0.95696259900984","0.970786072967987","1"
"Public health insurance","2006","vocational + Abi","West Germany","927","0.91117349681325","0.893924582366557","0.928422411259943","1"
"Public health insurance","2006","inadequately","West Germany","215","0.969992634560064","0.947345253049315","0.992640016070812","1"
"Public health insurance","2006","in school","East Germany","57","0.904900489679274","0.837140802122877","0.972660177235671","1"
"Public health insurance","2006","inadequately","East Germany","22","","","","1"
"Public health insurance","2006","in school","West Germany","230","0.830625929995453","0.78952995334773","0.871721906643176","1"
"Neither","2007","higher vocational","West Germany","","","","","3"
"Neither","2007","higher vocational","East Germany","","","","","3"
"Neither","2007","higher education","West Germany","","","","","3"
"Neither","2007","higher education","East Germany","","","","","3"
"Neither","2007","general elemantary","East Germany","","","","","3"
"Neither","2007","middle vocational","West Germany","","","","","3"
"Neither","2007","middle vocational","East Germany","","","","","3"
"Neither","2007","vocational + Abi","West Germany","","","","","3"
"Neither","2007","vocational + Abi","East Germany","","","","","3"
"Neither","2007","in school","West Germany","","","","","3"
"Neither","2007","in school","East Germany","","","","","3"
"Neither","2007","inadequately","West Germany","","","","","3"
"Neither","2007","inadequately","East Germany","","","","","3"
"Neither","2007","general elemantary","West Germany","","","","","3"
"Private health insurance","2007","higher vocational","West Germany","187","0.136967102881304","0.116831673752897","0.157102532009711","2"
"Private health insurance","2007","higher vocational","East Germany","38","0.0957192429298899","0.0668514942779075","0.124586991581872","2"
