"ple0097","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Private health insurance","2012","East Germany","468","0.0688234447693651","0.06252052814093","0.0751263613978002"
"Neither","2012","West Germany","","","",""
"Neither","2012","East Germany","","","",""
"Public health insurance","2013","West Germany","21428","0.863799929871924","0.859511168102471","0.868088691641376"
"Public health insurance","2013","East Germany","5698","0.93684288411368","0.93075811925004","0.94292764897732"
"Private health insurance","2013","West Germany","3143","0.136200070128076","0.131911308358624","0.140488831897529"
"Private health insurance","2013","East Germany","441","0.0631571158863201","0.0570723510226801","0.06924188074996"
"Neither","2013","West Germany","","","",""
"Neither","2013","East Germany","","","",""
"Public health insurance","2014","West Germany","18700","0.86454354157435","0.859973304822402","0.869113778326298"
"Public health insurance","2014","East Germany","5216","0.941628082870278","0.93549152982404","0.947764635916517"
"Private health insurance","2014","West Germany","2838","0.13545645842565","0.130886221673701","0.140026695177598"
"Private health insurance","2014","East Germany","391","0.0583719171297215","0.0522353640834831","0.0645084701759599"
"Neither","2014","West Germany","","","",""
"Neither","2014","East Germany","","","",""
"Public health insurance","2015","West Germany","18697","0.862528847663078","0.857920800443748","0.867136894882409"
"Public health insurance","2015","East Germany","5062","0.938705328443852","0.932331729521375","0.945078927366329"
"Private health insurance","2015","West Germany","2754","0.137471152336922","0.132863105117591","0.142079199556252"
"Private health insurance","2015","East Germany","379","0.061294671556148","0.0549210726336714","0.0676682704786246"
"Neither","2015","West Germany","","","",""
"Neither","2015","East Germany","","","",""
"Public health insurance","2016","West Germany","16803","0.866575488103071","0.861781735201884","0.871369241004259"
"Public health insurance","2016","East Germany","4702","0.93699981129757","0.930307366398719","0.943692256196421"
"Private health insurance","2016","West Germany","2525","0.133424511896929","0.128630758995741","0.138218264798116"
"Private health insurance","2016","East Germany","361","0.0630001887024299","0.0563077438035789","0.0696926336012808"
"Neither","2016","West Germany","","","",""
"Neither","2016","East Germany","","","",""
"Public health insurance","2017","West Germany","18194","0.866118064182908","0.861515731650202","0.870720396715614"
"Public health insurance","2017","East Germany","5240","0.939436498336266","0.933206405323749","0.945666591348783"
"Private health insurance","2017","West Germany","2836","0.133881935817092","0.129279603284386","0.138484268349797"
"Private health insurance","2017","East Germany","391","0.0605635016637345","0.0543334086512175","0.0667935946762515"
"Neither","2017","West Germany","","","",""
"Neither","2017","East Germany","","","",""
"Public health insurance","2018","West Germany","17600","0.868951819433595","0.864302510856686","0.873601128010503"
"Public health insurance","2018","East Germany","5157","0.935568393648356","0.929090340702767","0.942046446593945"
"Private health insurance","2018","West Germany","2637","0.131048180566405","0.126398871989497","0.135697489143314"
"Private health insurance","2018","East Germany","361","0.0644316063516442","0.0579535534060554","0.070909659297233"
"Neither","2018","West Germany","","","",""
"Neither","2018","East Germany","","","",""
"Public health insurance","2019","West Germany","16774","0.866833852727195","0.862144722532362","0.871522982922029"
"Public health insurance","2019","East Germany","4968","0.936190237511577","0.929772127900773","0.942608347122381"
"Private health insurance","2019","West Germany","3393","0.133166147272805","0.128477017077971","0.137855277467638"
"Private health insurance","2019","East Germany","603","0.0638097624884229","0.0573916528776186","0.0702278720992272"
"Neither","2019","West Germany","","","",""
"Neither","2019","East Germany","","","",""
