"hlf0094","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Reasonable","2006","66 and older","1110","0.445427754478213","0.425847055452426","0.465008453504001"
"Slightly Expensive","2006","16-34 y.","224","0.0935016447761885","0.0813774093385226","0.105625880213854"
"Slightly Expensive","2006","35-65 y.","751","0.111904368264447","0.104650780988901","0.119157955539992"
"Slightly Expensive","2006","66 and older","159","0.0631946542999094","0.0536089210193564","0.0727803875804624"
"Too Expensive","2006","16-34 y.","29","","",""
"Too Expensive","2006","35-65 y.","95","0.0127020412266374","0.010125362140139","0.0152787203131357"
"Too Expensive","2006","66 and older","31","0.0117804038927994","0.00752963679405299","0.0160311709915459"
"Very Inexpensive","2007","16-34 y.","195","0.092499670059472","0.0798992037659214","0.105100136353022"
"Very Inexpensive","2007","35-65 y.","668","0.0887964052580665","0.0819893861683441","0.0956034243477889"
"Very Inexpensive","2007","66 and older","285","0.118145110894844","0.105337750856618","0.130952470933069"
"Inexpensive","2007","16-34 y.","564","0.273663072396707","0.254273408060758","0.293052736732655"
"Inexpensive","2007","35-65 y.","1898","0.288754792075001","0.27790988485529","0.299599699294711"
"Inexpensive","2007","66 and older","845","0.34508826491227","0.32622531291607","0.36395121690847"
"Reasonable","2007","16-34 y.","1032","0.512260646452509","0.490521998715624","0.533999294189395"
"Reasonable","2007","35-65 y.","3405","0.510167704494546","0.498204934488091","0.522130474501001"
"Reasonable","2007","66 and older","1139","0.465833887670188","0.446041103744938","0.485626671595438"
"Slightly Expensive","2007","16-34 y.","208","0.113101766190843","0.0993276190561868","0.126875913325499"
"Slightly Expensive","2007","35-65 y.","638","0.0958411245667377","0.0887966291741386","0.102885619959337"
"Slightly Expensive","2007","66 and older","144","0.0581975677293153","0.0489082140381746","0.067486921420456"
"Too Expensive","2007","16-34 y.","32","0.00847484490046937","0.00448816949293249","0.0124615203080063"
"Too Expensive","2007","35-65 y.","99","0.0164399736056491","0.0133969693691072","0.0194829778421911"
"Too Expensive","2007","66 and older","27","","",""
"Very Inexpensive","2008","16-34 y.","203","0.111422893514939","0.0972931142590582","0.12555267277082"
"Very Inexpensive","2008","35-65 y.","641","0.10347626889365","0.0959390396833809","0.111013498103919"
"Very Inexpensive","2008","66 and older","341","0.132424027356691","0.119089293375901","0.145758761337481"
"Inexpensive","2008","16-34 y.","491","0.233217070717598","0.214227419551618","0.252206721883578"
"Inexpensive","2008","35-65 y.","1730","0.268235977412772","0.257272344453969","0.279199610371574"
"Inexpensive","2008","66 and older","782","0.310935474505742","0.292725376415699","0.329145572595786"
"Reasonable","2008","16-34 y.","1003","0.534825669384164","0.512427393306384","0.557223945461944"
"Reasonable","2008","35-65 y.","3215","0.510868615532884","0.49849838413295","0.523238846932818"
"Reasonable","2008","66 and older","1175","0.473560835871674","0.453917773885977","0.493203897857371"
"Slightly Expensive","2008","16-34 y.","184","0.111418764001005","0.0972892137516186","0.125548314250392"
"Slightly Expensive","2008","35-65 y.","585","0.0996385367833308","0.0922265853151735","0.107050488251488"
"Slightly Expensive","2008","66 and older","167","0.0754529085428561","0.0650620911284445","0.0858437259572678"
"Too Expensive","2008","16-34 y.","24","","",""
"Too Expensive","2008","35-65 y.","102","0.0177806013773636","0.0145102988980027","0.0210509038567245"
"Too Expensive","2008","66 and older","17","","",""
"Very Inexpensive","2009","16-34 y.","184","0.116318477995456","0.101175762603142","0.131461193387769"
"Very Inexpensive","2009","35-65 y.","644","0.112102942169402","0.104050597777202","0.120155286561602"
"Very Inexpensive","2009","66 and older","319","0.133257304468573","0.119637900224372","0.146876708712775"
"Inexpensive","2009","16-34 y.","451","0.278104079157485","0.256941310186749","0.299266848128221"
"Inexpensive","2009","35-65 y.","1691","0.283385446112287","0.271883691166934","0.29488720105764"
"Inexpensive","2009","66 and older","777","0.333407780843141","0.314515452329003","0.352300109357279"
"Reasonable","2009","16-34 y.","897","0.490325549837665","0.46671423289064","0.513936866784689"
"Reasonable","2009","35-65 y.","2956","0.494407797377121","0.481647071874299","0.507168522879944"
"Reasonable","2009","66 and older","1115","0.451485535991684","0.431542858488962","0.471428213494406"
"Slightly Expensive","2009","16-34 y.","161","0.096375691040874","0.0824374098150122","0.110313972266736"
"Slightly Expensive","2009","35-65 y.","542","0.0965067630294038","0.0889701909919033","0.104043335066904"
"Slightly Expensive","2009","66 and older","160","0.0701177732139759","0.0598849485067232","0.0803505979212286"
"Too Expensive","2009","16-34 y.","29","","",""
"Too Expensive","2009","35-65 y.","64","0.0135970513117861","0.0106412034552321","0.01655289916834"
"Too Expensive","2009","66 and older","21","","",""
"Very Inexpensive","2010","16-34 y.","211","0.0977714955922376","0.0859892355821791","0.109553755602296"
"Very Inexpensive","2010","35-65 y.","684","0.0913788945708258","0.0848353439859412","0.0979224451557104"
"Very Inexpensive","2010","66 and older","294","0.120574441920848","0.107375077806714","0.133773806034982"
"Inexpensive","2010","16-34 y.","612","0.255258459300379","0.237962005843697","0.27255491275706"
"Inexpensive","2010","35-65 y.","2025","0.265988602452505","0.255954419401546","0.276022785503464"
"Inexpensive","2010","66 and older","755","0.322220009874851","0.303277110054626","0.341162909695076"
"Reasonable","2010","16-34 y.","1292","0.515127527243143","0.495301516146721","0.534953538339565"
"Reasonable","2010","35-65 y.","3892","0.528422171802926","0.51708600288216","0.539758340723692"
"Reasonable","2010","66 and older","1111","0.479445292346328","0.459195127817201","0.499695456875454"
"Slightly Expensive","2010","16-34 y.","271","0.115827987078021","0.103132793198609","0.128523180957433"
"Slightly Expensive","2010","35-65 y.","730","0.0992747693349936","0.0924840667286469","0.10606547194134"
"Slightly Expensive","2010","66 and older","156","0.0631296951414033","0.0532718402612386","0.0729875500215681"
"Too Expensive","2010","16-34 y.","55","0.0160145307862193","0.0110346877599844","0.0209943738124542"
"Too Expensive","2010","35-65 y.","118","0.0149355618387493","0.0121810654553804","0.0176900582221183"
"Too Expensive","2010","66 and older","22","","",""
"Very Inexpensive","2011","16-34 y.","226","0.0825862124152068","0.072048387310358","0.0931240375200557"
"Very Inexpensive","2011","35-65 y.","815","0.089563520541726","0.0837038977826275","0.0954231433008245"
"Very Inexpensive","2011","66 and older","344","0.114716760853986","0.103267269686514","0.126166252021458"
"Inexpensive","2011","16-34 y.","680","0.254290592722963","0.237619481900711","0.270961703545216"
"Inexpensive","2011","35-65 y.","2651","0.292007363975276","0.282677173159887","0.301337554790666"
"Inexpensive","2011","66 and older","864","0.295486641723309","0.279094142575057","0.311879140871562"
"Reasonable","2011","16-34 y.","1380","0.557470637297135","0.538455624351214","0.576485650243056"
"Reasonable","2011","35-65 y.","4685","0.505890780173067","0.495631447452056","0.516150112894078"
"Reasonable","2011","66 and older","1536","0.514480452039992","0.496524045611831","0.532436858468153"
"Slightly Expensive","2011","16-34 y.","283","0.0911743777497993","0.0801541323434952","0.102194623156103"
"Slightly Expensive","2011","35-65 y.","838","0.0989892428643018","0.0928609679027558","0.105117517825848"
"Slightly Expensive","2011","66 and older","197","0.0626423320252057","0.0539363402133852","0.0713483238370262"
"Too Expensive","2011","16-34 y.","52","0.0144781798148955","0.00990514312500158","0.0190512165047895"
"Too Expensive","2011","35-65 y.","134","0.0135490924456288","0.0111767788655704","0.0159214060256872"
"Too Expensive","2011","66 and older","35","0.0126738133575071","0.00865483554045244","0.0166927911745618"
"Very Inexpensive","2012","16-34 y.","195","0.0919192162378392","0.0805804640039662","0.103257968471712"
"Very Inexpensive","2012","35-65 y.","776","0.0846366362890485","0.0788730303084018","0.0904002422696953"
"Very Inexpensive","2012","66 and older","363","0.110603884035922","0.0993637190006472","0.121844049071196"
"Inexpensive","2012","16-34 y.","702","0.254751478123386","0.23765097908748","0.271851977159292"
"Inexpensive","2012","35-65 y.","2601","0.28608594375811","0.276727803517105","0.295444083999115"
"Inexpensive","2012","66 and older","932","0.307507468794726","0.290969762846822","0.32404517474263"
"Reasonable","2012","16-34 y.","1314","0.528640970124821","0.509049988771698","0.548231951477944"
"Reasonable","2012","35-65 y.","4629","0.516303905755985","0.50595588435509","0.526651927156879"
"Reasonable","2012","66 and older","1456","0.498636203904471","0.480717430674531","0.516554977134411"
"Slightly Expensive","2012","16-34 y.","249","0.107485208470423","0.0953294537245833","0.119640963216263"
"Slightly Expensive","2012","35-65 y.","817","0.0984783528701349","0.0923084718322756","0.104648233907994"
"Slightly Expensive","2012","66 and older","194","0.0656304480779853","0.0567557843100202","0.0745051118459505"
"Too Expensive","2012","16-34 y.","34","0.0172031270435307","0.0121000109584072","0.0223062431286543"
"Too Expensive","2012","35-65 y.","136","0.0144951613267216","0.0120202523560223","0.016970070297421"
"Too Expensive","2012","66 and older","46","0.0176219951868962","0.0129067233095743","0.0223372670642182"
"Very Inexpensive","2013","16-34 y.","234","0.0920795249502156","0.0811975257771746","0.102961524123257"
"Very Inexpensive","2013","35-65 y.","874","0.0997991655486671","0.0936190991596049","0.105979231937729"
"Very Inexpensive","2013","66 and older","328","0.104466169156316","0.0933417173717137","0.115590620940917"
"Inexpensive","2013","16-34 y.","760","0.288105697251588","0.27106109267578","0.305150301827395"
"Inexpensive","2013","35-65 y.","2580","0.285838063671515","0.276522302196381","0.29515382514665"
"Inexpensive","2013","66 and older","936","0.333273485599692","0.316129016937795","0.350417954261589"
"Reasonable","2013","16-34 y.","1413","0.501431140671866","0.482613226918281","0.520249054425451"
"Reasonable","2013","35-65 y.","4611","0.499639224327471","0.489329907866883","0.509948540788058"
"Reasonable","2013","66 and older","1414","0.479618416309742","0.461448259739099","0.497788572880384"
"Slightly Expensive","2013","16-34 y.","256","0.0996037956123844","0.0883329105643307","0.110874680660438"
"Slightly Expensive","2013","35-65 y.","849","0.101132108618843","0.0949155154807322","0.107348701756954"
"Slightly Expensive","2013","66 and older","186","0.0703703919346458","0.0610678905450165","0.0796728933242751"
"Too Expensive","2013","16-34 y.","49","0.0187798415139463","0.0136708822389564","0.0238888007889361"
"Too Expensive","2013","35-65 y.","122","0.0135914378335037","0.0112040603248839","0.0159788153421235"
"Too Expensive","2013","66 and older","40","0.0122715369996051","0.00826731589762461","0.0162757581015855"
"Very Inexpensive","2014","16-34 y.","230","0.102109417662782","0.0898724435801443","0.114346391745419"
"Very Inexpensive","2014","35-65 y.","805","0.108436635426087","0.101671633055923","0.11520163779625"
"Very Inexpensive","2014","66 and older","372","0.125845023953852","0.113697889877397","0.137992158030306"
"Inexpensive","2014","16-34 y.","637","0.277027689202516","0.258941300747169","0.295114077657864"
"Inexpensive","2014","35-65 y.","2358","0.293031362392202","0.283128495190966","0.302934229593438"
"Inexpensive","2014","66 and older","937","0.320751116950708","0.303656469863676","0.337845764037741"
"Reasonable","2014","16-34 y.","1244","0.504889282533049","0.484683360542345","0.525095204523754"
"Reasonable","2014","35-65 y.","4203","0.494099068566378","0.483221205536375","0.504976931596381"
"Reasonable","2014","66 and older","1338","0.463612718538717","0.445349450593293","0.48187598648414"
"Slightly Expensive","2014","16-34 y.","200","0.104937979260035","0.0925522282387688","0.117323730281301"
"Slightly Expensive","2014","35-65 y.","643","0.0920743321650678","0.0857836424442312","0.0983650218859044"
"Slightly Expensive","2014","66 and older","179","0.0747306132675645","0.0651001993403559","0.0843610271947731"
"Too Expensive","2014","16-34 y.","41","0.0110356313416175","0.0068136301977521","0.0152576324854829"
"Too Expensive","2014","35-65 y.","106","0.0123586014502653","0.00995485788128371","0.0147623450192469"
"Too Expensive","2014","66 and older","38","0.0150605272891589","0.0105999974986454","0.0195210570796724"
