"hlf0094","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very Inexpensive","1985","indirect migration background","higher vocational","1","","",""
"Very Inexpensive","1985","indirect migration background","higher education","1","","",""
"Inexpensive","1985","no migration background","in school","34","0.358660745665282","0.261185923499386","0.456135567831179"
"Inexpensive","1985","no migration background","inadequately","12","","",""
"Inexpensive","1985","no migration background","general elemantary","347","0.329563603849076","0.301359370808603","0.357767836889549"
"Inexpensive","1985","no migration background","middle vocational","626","0.323618354278204","0.302953244700397","0.344283463856011"
"Inexpensive","1985","no migration background","vocational + Abi","13","","",""
"Inexpensive","1985","no migration background","higher vocational","75","0.253361009934671","0.203216384328647","0.303505635540696"
"Inexpensive","1985","no migration background","higher education","84","0.273772253748239","0.224531584326382","0.323012923170095"
"Inexpensive","1985","direct migration background","in school","1","","",""
"Inexpensive","1985","direct migration background","inadequately","5","","",""
"Inexpensive","1985","direct migration background","general elemantary","26","","",""
"Inexpensive","1985","direct migration background","middle vocational","37","0.27807130854504","0.201637347470807","0.354505269619272"
"Inexpensive","1985","direct migration background","vocational + Abi","3","","",""
"Inexpensive","1985","direct migration background","higher vocational","5","","",""
"Inexpensive","1985","direct migration background","higher education","14","","",""
"Inexpensive","1985","indirect migration background","in school","","","",""
"Inexpensive","1985","indirect migration background","inadequately","1","","",""
"Inexpensive","1985","indirect migration background","general elemantary","1","","",""
"Inexpensive","1985","indirect migration background","middle vocational","1","","",""
"Inexpensive","1985","indirect migration background","vocational + Abi","","","",""
"Inexpensive","1985","indirect migration background","higher vocational","","","",""
"Inexpensive","1985","indirect migration background","higher education","","","",""
"Reasonable","1985","no migration background","in school","33","0.347944130875117","0.251137795858967","0.444750465891267"
"Reasonable","1985","no migration background","inadequately","15","","",""
"Reasonable","1985","no migration background","general elemantary","363","0.336703401744931","0.308347496372983","0.365059307116878"
"Reasonable","1985","no migration background","middle vocational","681","0.335249560837664","0.314397995741218","0.356101125934109"
"Reasonable","1985","no migration background","vocational + Abi","30","0.467538006636534","0.348066743070799","0.58700927020227"
"Reasonable","1985","no migration background","higher vocational","118","0.412201902677426","0.355451590658567","0.468952214696284"
"Reasonable","1985","no migration background","higher education","128","0.405618751408142","0.351395647296827","0.459841855519457"
"Reasonable","1985","direct migration background","in school","2","","",""
"Reasonable","1985","direct migration background","inadequately","16","","",""
"Reasonable","1985","direct migration background","general elemantary","30","0.337982522011195","0.235600662371205","0.440364381651184"
"Reasonable","1985","direct migration background","middle vocational","49","0.306926127682503","0.22824549943554","0.385606755929465"
"Reasonable","1985","direct migration background","vocational + Abi","7","","",""
"Reasonable","1985","direct migration background","higher vocational","6","","",""
"Reasonable","1985","direct migration background","higher education","11","","",""
"Reasonable","1985","indirect migration background","in school","1","","",""
"Reasonable","1985","indirect migration background","inadequately","","","",""
"Reasonable","1985","indirect migration background","general elemantary","3","","",""
"Reasonable","1985","indirect migration background","middle vocational","6","","",""
"Reasonable","1985","indirect migration background","vocational + Abi","","","",""
"Reasonable","1985","indirect migration background","higher vocational","1","","",""
"Reasonable","1985","indirect migration background","higher education","","","",""
"Slightly Expensive","1985","no migration background","in school","7","","",""
"Slightly Expensive","1985","no migration background","inadequately","2","","",""
"Slightly Expensive","1985","no migration background","general elemantary","71","0.0632277568706509","0.0486249354030633","0.0778305783382385"
"Slightly Expensive","1985","no migration background","middle vocational","163","0.0781302189464126","0.0662760928373833","0.0899843450554419"
"Slightly Expensive","1985","no migration background","vocational + Abi","4","","",""
"Slightly Expensive","1985","no migration background","higher vocational","26","","",""
"Slightly Expensive","1985","no migration background","higher education","26","","",""
"Slightly Expensive","1985","direct migration background","in school","1","","",""
"Slightly Expensive","1985","direct migration background","inadequately","9","","",""
"Slightly Expensive","1985","direct migration background","general elemantary","10","","",""
"Slightly Expensive","1985","direct migration background","middle vocational","18","","",""
"Slightly Expensive","1985","direct migration background","vocational + Abi","2","","",""
"Slightly Expensive","1985","direct migration background","higher vocational","2","","",""
"Slightly Expensive","1985","direct migration background","higher education","4","","",""
"Slightly Expensive","1985","indirect migration background","in school","","","",""
"Slightly Expensive","1985","indirect migration background","inadequately","","","",""
"Slightly Expensive","1985","indirect migration background","general elemantary","1","","",""
"Slightly Expensive","1985","indirect migration background","middle vocational","1","","",""
"Slightly Expensive","1985","indirect migration background","vocational + Abi","","","",""
"Slightly Expensive","1985","indirect migration background","higher vocational","1","","",""
"Slightly Expensive","1985","indirect migration background","higher education","","","",""
"Too Expensive","1985","no migration background","in school","2","","",""
"Too Expensive","1985","no migration background","inadequately","","","",""
"Too Expensive","1985","no migration background","general elemantary","24","","",""
"Too Expensive","1985","no migration background","middle vocational","48","0.0243436481764715","0.0175364796524594","0.0311508167004836"
"Too Expensive","1985","no migration background","vocational + Abi","1","","",""
"Too Expensive","1985","no migration background","higher vocational","4","","",""
"Too Expensive","1985","no migration background","higher education","11","","",""
"Too Expensive","1985","direct migration background","in school","","","",""
"Too Expensive","1985","direct migration background","inadequately","2","","",""
"Too Expensive","1985","direct migration background","general elemantary","2","","",""
"Too Expensive","1985","direct migration background","middle vocational","3","","",""
"Too Expensive","1985","direct migration background","vocational + Abi","1","","",""
"Too Expensive","1985","direct migration background","higher vocational","1","","",""
"Too Expensive","1985","direct migration background","higher education","","","",""
"Too Expensive","1985","indirect migration background","in school","","","",""
"Too Expensive","1985","indirect migration background","inadequately","","","",""
"Too Expensive","1985","indirect migration background","general elemantary","","","",""
"Too Expensive","1985","indirect migration background","middle vocational","1","","",""
"Too Expensive","1985","indirect migration background","vocational + Abi","","","",""
"Too Expensive","1985","indirect migration background","higher vocational","","","",""
"Too Expensive","1985","indirect migration background","higher education","","","",""
"Very Inexpensive","1986","no migration background","in school","20","","",""
"Very Inexpensive","1986","no migration background","inadequately","5","","",""
"Very Inexpensive","1986","no migration background","general elemantary","200","0.200870160188585","0.176636454551323","0.225103865825848"
"Very Inexpensive","1986","no migration background","middle vocational","370","0.184070445506243","0.16724095608404","0.200899934928447"
"Very Inexpensive","1986","no migration background","vocational + Abi","7","","",""
"Very Inexpensive","1986","no migration background","higher vocational","51","0.177304707381906","0.133041313151391","0.221568101612422"
"Very Inexpensive","1986","no migration background","higher education","60","0.182427101492167","0.141194469026927","0.223659733957407"
"Very Inexpensive","1986","direct migration background","in school","1","","",""
"Very Inexpensive","1986","direct migration background","inadequately","2","","",""
"Very Inexpensive","1986","direct migration background","general elemantary","20","","",""
"Very Inexpensive","1986","direct migration background","middle vocational","21","","",""
"Very Inexpensive","1986","direct migration background","vocational + Abi","2","","",""
"Very Inexpensive","1986","direct migration background","higher vocational","3","","",""
"Very Inexpensive","1986","direct migration background","higher education","5","","",""
"Very Inexpensive","1986","indirect migration background","in school","","","",""
"Very Inexpensive","1986","indirect migration background","inadequately","","","",""
"Very Inexpensive","1986","indirect migration background","general elemantary","3","","",""
"Very Inexpensive","1986","indirect migration background","middle vocational","3","","",""
"Very Inexpensive","1986","indirect migration background","vocational + Abi","","","",""
"Very Inexpensive","1986","indirect migration background","higher vocational","","","",""
"Very Inexpensive","1986","indirect migration background","higher education","","","",""
"Inexpensive","1986","no migration background","in school","25","","",""
"Inexpensive","1986","no migration background","inadequately","10","","",""
"Inexpensive","1986","no migration background","general elemantary","352","0.34280455682642","0.314095164089672","0.371513949563169"
"Inexpensive","1986","no migration background","middle vocational","633","0.319176234097055","0.298932752676851","0.339419715517258"
"Inexpensive","1986","no migration background","vocational + Abi","22","","",""
"Inexpensive","1986","no migration background","higher vocational","77","0.262355736170684","0.211371743707216","0.313339728634152"
"Inexpensive","1986","no migration background","higher education","87","0.26374483044508","0.216697032943751","0.310792627946409"
"Inexpensive","1986","direct migration background","in school","2","","",""
"Inexpensive","1986","direct migration background","inadequately","7","","",""
"Inexpensive","1986","direct migration background","general elemantary","18","","",""
"Inexpensive","1986","direct migration background","middle vocational","34","0.277487640776769","0.201103079609586","0.353872201943951"
"Inexpensive","1986","direct migration background","vocational + Abi","4","","",""
"Inexpensive","1986","direct migration background","higher vocational","8","","",""
"Inexpensive","1986","direct migration background","higher education","12","","",""
"Inexpensive","1986","indirect migration background","in school","","","",""
"Inexpensive","1986","indirect migration background","inadequately","","","",""
"Inexpensive","1986","indirect migration background","general elemantary","2","","",""
"Inexpensive","1986","indirect migration background","middle vocational","2","","",""
"Inexpensive","1986","indirect migration background","vocational + Abi","","","",""
"Inexpensive","1986","indirect migration background","higher vocational","2","","",""
"Inexpensive","1986","indirect migration background","higher education","","","",""
"Reasonable","1986","no migration background","in school","38","0.400191509374979","0.302185498124743","0.498197520625215"
"Reasonable","1986","no migration background","inadequately","16","","",""
"Reasonable","1986","no migration background","general elemantary","400","0.366278918806255","0.337137648420029","0.39542018919248"
"Reasonable","1986","no migration background","middle vocational","791","0.384874728960502","0.363744993527329","0.406004464393674"
"Reasonable","1986","no migration background","vocational + Abi","32","0.447278197659644","0.335493216637862","0.559063178681426"
"Reasonable","1986","no migration background","higher vocational","116","0.425235765124306","0.367939695070235","0.482531835178378"
"Reasonable","1986","no migration background","higher education","146","0.43303799705914","0.380135871704952","0.485940122413328"
"Reasonable","1986","direct migration background","in school","4","","",""
"Reasonable","1986","direct migration background","inadequately","18","","",""
"Reasonable","1986","direct migration background","general elemantary","38","0.406937922885587","0.30709419777825","0.506781647992924"
"Reasonable","1986","direct migration background","middle vocational","41","0.293117228122605","0.215464718418829","0.370769737826381"
"Reasonable","1986","direct migration background","vocational + Abi","4","","",""
"Reasonable","1986","direct migration background","higher vocational","5","","",""
"Reasonable","1986","direct migration background","higher education","13","","",""
"Reasonable","1986","indirect migration background","in school","2","","",""
"Reasonable","1986","indirect migration background","inadequately","1","","",""
"Reasonable","1986","indirect migration background","general elemantary","7","","",""
"Reasonable","1986","indirect migration background","middle vocational","6","","",""
"Reasonable","1986","indirect migration background","vocational + Abi","","","",""
"Reasonable","1986","indirect migration background","higher vocational","1","","",""
"Reasonable","1986","indirect migration background","higher education","","","",""
"Slightly Expensive","1986","no migration background","in school","10","","",""
"Slightly Expensive","1986","no migration background","inadequately","1","","",""
"Slightly Expensive","1986","no migration background","general elemantary","68","0.0635339317123355","0.0487801847618447","0.0782876786628263"
"Slightly Expensive","1986","no migration background","middle vocational","189","0.0876269022832244","0.0753480565901774","0.0999057479762714"
"Slightly Expensive","1986","no migration background","vocational + Abi","11","","",""
"Slightly Expensive","1986","no migration background","higher vocational","36","0.116199218317586","0.0790590499334806","0.153339386701692"
"Slightly Expensive","1986","no migration background","higher education","40","0.110102673041804","0.0766830133586578","0.14352233272495"
"Slightly Expensive","1986","direct migration background","in school","1","","",""
"Slightly Expensive","1986","direct migration background","inadequately","5","","",""
"Slightly Expensive","1986","direct migration background","general elemantary","14","","",""
"Slightly Expensive","1986","direct migration background","middle vocational","26","","",""
"Slightly Expensive","1986","direct migration background","vocational + Abi","2","","",""
"Slightly Expensive","1986","direct migration background","higher vocational","4","","",""
"Slightly Expensive","1986","direct migration background","higher education","3","","",""
"Slightly Expensive","1986","indirect migration background","in school","1","","",""
"Slightly Expensive","1986","indirect migration background","inadequately","","","",""
"Slightly Expensive","1986","indirect migration background","general elemantary","2","","",""
"Slightly Expensive","1986","indirect migration background","middle vocational","5","","",""
"Slightly Expensive","1986","indirect migration background","vocational + Abi","","","",""
"Slightly Expensive","1986","indirect migration background","higher vocational","","","",""
"Slightly Expensive","1986","indirect migration background","higher education","","","",""
"Too Expensive","1986","no migration background","in school","3","","",""
"Too Expensive","1986","no migration background","inadequately","2","","",""
"Too Expensive","1986","no migration background","general elemantary","30","0.0265124324664043","0.0167951811752249","0.0362296837575837"
"Too Expensive","1986","no migration background","middle vocational","54","0.0242516891529761","0.0175714428233319","0.0309319354826203"
"Too Expensive","1986","no migration background","vocational + Abi","4","","",""
"Too Expensive","1986","no migration background","higher vocational","6","","",""
"Too Expensive","1986","no migration background","higher education","4","","",""
"Too Expensive","1986","direct migration background","in school","","","",""
"Too Expensive","1986","direct migration background","inadequately","","","",""
"Too Expensive","1986","direct migration background","general elemantary","3","","",""
"Too Expensive","1986","direct migration background","middle vocational","10","","",""
"Too Expensive","1986","direct migration background","vocational + Abi","","","",""
"Too Expensive","1986","direct migration background","higher vocational","","","",""
"Too Expensive","1986","direct migration background","higher education","1","","",""
"Too Expensive","1986","indirect migration background","in school","","","",""
"Too Expensive","1986","indirect migration background","inadequately","","","",""
"Too Expensive","1986","indirect migration background","general elemantary","1","","",""
"Too Expensive","1986","indirect migration background","middle vocational","","","",""
"Too Expensive","1986","indirect migration background","vocational + Abi","","","",""
"Too Expensive","1986","indirect migration background","higher vocational","","","",""
"Too Expensive","1986","indirect migration background","higher education","","","",""
"Very Inexpensive","1987","no migration background","in school","13","","",""
"Very Inexpensive","1987","no migration background","inadequately","3","","",""
"Very Inexpensive","1987","no migration background","general elemantary","191","0.191672327125528","0.167385211563389","0.215959442687666"
"Very Inexpensive","1987","no migration background","middle vocational","359","0.175851450064547","0.15937585963565","0.192327040493444"
"Very Inexpensive","1987","no migration background","vocational + Abi","13","","",""
"Very Inexpensive","1987","no migration background","higher vocational","42","0.141204672665613","0.0998964853130727","0.182512860018154"
"Very Inexpensive","1987","no migration background","higher education","63","0.187017983911086","0.145074818421233","0.22896114940094"
"Very Inexpensive","1987","direct migration background","in school","1","","",""
"Very Inexpensive","1987","direct migration background","inadequately","3","","",""
"Very Inexpensive","1987","direct migration background","general elemantary","18","","",""
"Very Inexpensive","1987","direct migration background","middle vocational","20","","",""
"Very Inexpensive","1987","direct migration background","vocational + Abi","1","","",""
"Very Inexpensive","1987","direct migration background","higher vocational","6","","",""
"Very Inexpensive","1987","direct migration background","higher education","8","","",""
"Very Inexpensive","1987","indirect migration background","in school","","","",""
"Very Inexpensive","1987","indirect migration background","inadequately","","","",""
"Very Inexpensive","1987","indirect migration background","general elemantary","1","","",""
"Very Inexpensive","1987","indirect migration background","middle vocational","3","","",""
"Very Inexpensive","1987","indirect migration background","vocational + Abi","","","",""
"Very Inexpensive","1987","indirect migration background","higher vocational","","","",""
"Very Inexpensive","1987","indirect migration background","higher education","1","","",""
"Inexpensive","1987","no migration background","in school","23","","",""
"Inexpensive","1987","no migration background","inadequately","12","","",""
"Inexpensive","1987","no migration background","general elemantary","369","0.368443754800644","0.33867956092838","0.398207948672908"
"Inexpensive","1987","no migration background","middle vocational","713","0.35084293809391","0.330189301869045","0.371496574318774"
"Inexpensive","1987","no migration background","vocational + Abi","20","","",""
"Inexpensive","1987","no migration background","higher vocational","88","0.320159473048874","0.264817648785878","0.37550129731187"
"Inexpensive","1987","no migration background","higher education","97","0.30598949086588","0.256419900715881","0.355559081015879"
"Inexpensive","1987","direct migration background","in school","2","","",""
"Inexpensive","1987","direct migration background","inadequately","9","","",""
"Inexpensive","1987","direct migration background","general elemantary","33","0.385863460772914","0.29319233164206","0.478534589903768"
"Inexpensive","1987","direct migration background","middle vocational","41","0.328197207493368","0.247788924898049","0.408605490088687"
"Inexpensive","1987","direct migration background","vocational + Abi","4","","",""
"Inexpensive","1987","direct migration background","higher vocational","8","","",""
"Inexpensive","1987","direct migration background","higher education","10","","",""
"Inexpensive","1987","indirect migration background","in school","1","","",""
"Inexpensive","1987","indirect migration background","inadequately","","","",""
"Inexpensive","1987","indirect migration background","general elemantary","6","","",""
"Inexpensive","1987","indirect migration background","middle vocational","5","","",""
"Inexpensive","1987","indirect migration background","vocational + Abi","","","",""
"Inexpensive","1987","indirect migration background","higher vocational","1","","",""
"Inexpensive","1987","indirect migration background","higher education","","","",""
"Reasonable","1987","no migration background","in school","34","0.380958190220101","0.279495726561444","0.482420653878758"
"Reasonable","1987","no migration background","inadequately","10","","",""
"Reasonable","1987","no migration background","general elemantary","359","0.356718165241389","0.327160796843873","0.386275533638904"
"Reasonable","1987","no migration background","middle vocational","751","0.370238990309526","0.34934149571135","0.391136484907702"
"Reasonable","1987","no migration background","vocational + Abi","41","0.49839337091703","0.388828618978906","0.607958122855155"
"Reasonable","1987","no migration background","higher vocational","105","0.406574837076406","0.348308194412878","0.464841479739934"
"Reasonable","1987","no migration background","higher education","139","0.408720151975013","0.355840496910709","0.461599807039318"
"Reasonable","1987","direct migration background","in school","2","","",""
"Reasonable","1987","direct migration background","inadequately","22","","",""
"Reasonable","1987","direct migration background","general elemantary","39","0.29877994935147","0.211643863823883","0.385916034879056"
"Reasonable","1987","direct migration background","middle vocational","37","0.301196273353452","0.222633854503402","0.379758692203503"
"Reasonable","1987","direct migration background","vocational + Abi","4","","",""
"Reasonable","1987","direct migration background","higher vocational","6","","",""
"Reasonable","1987","direct migration background","higher education","10","","",""
"Reasonable","1987","indirect migration background","in school","","","",""
"Reasonable","1987","indirect migration background","inadequately","2","","",""
"Reasonable","1987","indirect migration background","general elemantary","6","","",""
"Reasonable","1987","indirect migration background","middle vocational","7","","",""
"Reasonable","1987","indirect migration background","vocational + Abi","","","",""
"Reasonable","1987","indirect migration background","higher vocational","1","","",""
"Reasonable","1987","indirect migration background","higher education","","","",""
"Slightly Expensive","1987","no migration background","in school","14","","",""
"Slightly Expensive","1987","no migration background","inadequately","2","","",""
"Slightly Expensive","1987","no migration background","general elemantary","57","0.0538545837389357","0.0399264544510556","0.0677827130268158"
"Slightly Expensive","1987","no migration background","middle vocational","182","0.0820612175373393","0.0701832783222052","0.0939391567524735"
"Slightly Expensive","1987","no migration background","vocational + Abi","4","","",""
"Slightly Expensive","1987","no migration background","higher vocational","26","","",""
"Slightly Expensive","1987","no migration background","higher education","24","","",""
"Slightly Expensive","1987","direct migration background","in school","4","","",""
"Slightly Expensive","1987","direct migration background","inadequately","4","","",""
"Slightly Expensive","1987","direct migration background","general elemantary","15","","",""
"Slightly Expensive","1987","direct migration background","middle vocational","30","0.154400638194899","0.0925250540457603","0.216276222344038"
"Slightly Expensive","1987","direct migration background","vocational + Abi","2","","",""
"Slightly Expensive","1987","direct migration background","higher vocational","3","","",""
"Slightly Expensive","1987","direct migration background","higher education","4","","",""
"Slightly Expensive","1987","indirect migration background","in school","","","",""
"Slightly Expensive","1987","indirect migration background","inadequately","","","",""
"Slightly Expensive","1987","indirect migration background","general elemantary","2","","",""
"Slightly Expensive","1987","indirect migration background","middle vocational","3","","",""
"Slightly Expensive","1987","indirect migration background","vocational + Abi","","","",""
"Slightly Expensive","1987","indirect migration background","higher vocational","","","",""
"Slightly Expensive","1987","indirect migration background","higher education","","","",""
"Too Expensive","1987","no migration background","in school","4","","",""
"Too Expensive","1987","no migration background","inadequately","1","","",""
"Too Expensive","1987","no migration background","general elemantary","33","0.029311169093504","0.0189033653425806","0.0397189728444274"
"Too Expensive","1987","no migration background","middle vocational","46","0.0210054039946784","0.0147992731526529","0.0272115348367039"
"Too Expensive","1987","no migration background","vocational + Abi","2","","",""
"Too Expensive","1987","no migration background","higher vocational","12","","",""
"Too Expensive","1987","no migration background","higher education","9","","",""
"Too Expensive","1987","direct migration background","in school","","","",""
"Too Expensive","1987","direct migration background","inadequately","","","",""
"Too Expensive","1987","direct migration background","general elemantary","1","","",""
"Too Expensive","1987","direct migration background","middle vocational","3","","",""
"Too Expensive","1987","direct migration background","vocational + Abi","","","",""
"Too Expensive","1987","direct migration background","higher vocational","","","",""
"Too Expensive","1987","direct migration background","higher education","2","","",""
"Too Expensive","1987","indirect migration background","in school","","","",""
"Too Expensive","1987","indirect migration background","inadequately","","","",""
"Too Expensive","1987","indirect migration background","general elemantary","","","",""
"Too Expensive","1987","indirect migration background","middle vocational","","","",""
