"hlf0094","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Too Expensive","1991","Urban Area","East Germany","34","0.127634269296424","0.0826107115364694","0.172657827056378","5"
"Too Expensive","1991","Urban Area","West Germany","49","0.0173428454312082","0.012493594447849","0.0221920964145675","5"
"Too Expensive","1991","Rural Area","West Germany","20","","","","5"
"Too Expensive","1991","Rural Area","East Germany","247","0.19878267167146","0.175707098084779","0.221858245258141","5"
"Very Inexpensive","1991","Rural Area","East Germany","15","","","","1"
"Very Inexpensive","1991","Urban Area","West Germany","505","0.183711835094156","0.169327036249284","0.198096633939029","1"
"Very Inexpensive","1991","Urban Area","East Germany","9","","","","1"
"Very Inexpensive","1991","Rural Area","West Germany","187","0.169198853622511","0.147052527895413","0.19134517934961","1"
"Inexpensive","1992","Rural Area","East Germany","256","0.2522366900179","0.226042659006931","0.278430721028869","2"
"Inexpensive","1992","Rural Area","West Germany","370","0.353588834306846","0.324794714528406","0.382382954085286","2"
"Inexpensive","1992","Urban Area","West Germany","950","0.348118182556455","0.330287738736541","0.365948626376368","2"
"Inexpensive","1992","Urban Area","East Germany","45","0.21945878417354","0.163212889632848","0.275704678714232","2"
"Reasonable","1992","Rural Area","East Germany","435","0.42331845806968","0.393518355410233","0.453118560729128","3"
"Reasonable","1992","Rural Area","West Germany","431","0.403032215938202","0.373489838702539","0.432574593173864","3"
"Reasonable","1992","Urban Area","East Germany","104","0.498627095430064","0.430677826156006","0.566576364704123","3"
"Reasonable","1992","Urban Area","West Germany","1079","0.388748512851796","0.370502889705514","0.406994135998078","3"
"Slightly Expensive","1992","Rural Area","East Germany","237","0.21882469536424","0.193888020033739","0.243761370694741","4"
"Slightly Expensive","1992","Urban Area","West Germany","190","0.0577594527926897","0.049027592159289","0.0664913134260904","4"
"Slightly Expensive","1992","Rural Area","West Germany","55","0.0407695103475984","0.0288590281035001","0.0526799925916967","4"
"Slightly Expensive","1992","Urban Area","East Germany","34","0.139923366921894","0.0927789660069847","0.187067767836803","4"
"Too Expensive","1992","Urban Area","West Germany","49","0.0203901766036395","0.0151002283325891","0.0256801248746899","5"
"Too Expensive","1992","Urban Area","East Germany","13","","","","5"
"Too Expensive","1992","Rural Area","West Germany","10","","","","5"
"Too Expensive","1992","Rural Area","East Germany","85","0.0739182509676454","0.0581379008125063","0.0896986011227845","5"
"Very Inexpensive","1992","Urban Area","West Germany","474","0.18498367519542","0.170450375763554","0.199516974627286","1"
"Very Inexpensive","1992","Rural Area","West Germany","193","0.193036389214136","0.169265431514546","0.216807346913726","1"
"Very Inexpensive","1992","Rural Area","East Germany","43","0.031701905580534","0.0211346221847381","0.0422691889763298","1"
"Very Inexpensive","1992","Urban Area","East Germany","12","","","","1"
"Inexpensive","1993","Urban Area","East Germany","48","0.247818931752136","0.186749213528763","0.30888864997551","2"
"Inexpensive","1993","Rural Area","East Germany","317","0.309563444163368","0.281653143864631","0.337473744462106","2"
"Inexpensive","1993","Rural Area","West Germany","378","0.358002043383192","0.329059455464646","0.386944631301738","2"
"Inexpensive","1993","Urban Area","West Germany","956","0.354210715591975","0.336250117101471","0.372171314082479","2"
"Reasonable","1993","Rural Area","West Germany","401","0.391600800539758","0.362133260112595","0.421068340966921","3"
"Reasonable","1993","Rural Area","East Germany","484","0.466749009766487","0.436630372124865","0.496867647408108","3"
"Reasonable","1993","Urban Area","West Germany","1097","0.391464645922366","0.373135859117284","0.409793432727448","3"
"Reasonable","1993","Urban Area","East Germany","101","0.482610806125819","0.411929482373935","0.553292129877704","3"
"Slightly Expensive","1993","Rural Area","East Germany","143","0.122785628634559","0.102972437749367","0.142598819519752","4"
"Slightly Expensive","1993","Urban Area","East Germany","21","","","","4"
"Slightly Expensive","1993","Urban Area","West Germany","158","0.0580081599723366","0.0492298147801225","0.0667865051645508","4"
"Slightly Expensive","1993","Rural Area","West Germany","48","0.0317203899858073","0.0211401032431384","0.0423006767284762","4"
"Too Expensive","1993","Urban Area","West Germany","42","0.0182198680349018","0.0131973179929418","0.0232424180768618","5"
"Too Expensive","1993","Urban Area","East Germany","9","","","","5"
"Too Expensive","1993","Rural Area","West Germany","16","","","","5"
"Too Expensive","1993","Rural Area","East Germany","42","0.0368224133167376","0.0254530251598227","0.0481918014736525","5"
"Very Inexpensive","1993","Urban Area","West Germany","471","0.178096610478421","0.163729059320601","0.192464161636241","1"
"Very Inexpensive","1993","Rural Area","East Germany","68","0.0640795041188483","0.0492949975097218","0.0788640107279748","1"
"Very Inexpensive","1993","Rural Area","West Germany","211","0.204158048053377","0.179823434580771","0.228492661525982","1"
"Very Inexpensive","1993","Urban Area","East Germany","13","","","","1"
"Inexpensive","1994","Rural Area","West Germany","360","0.341666050876499","0.312965886333407","0.37036621541959","2"
"Inexpensive","1994","Urban Area","East Germany","82","0.358818064066978","0.294999649234153","0.422636478899804","2"
"Inexpensive","1994","Rural Area","East Germany","291","0.292422480848699","0.265000236956803","0.319844724740595","2"
"Inexpensive","1994","Urban Area","West Germany","872","0.319447574334481","0.301853853003137","0.337041295665824","2"
"Reasonable","1994","Rural Area","East Germany","513","0.484590328778995","0.454462054920591","0.514718602637399","3"
"Reasonable","1994","Rural Area","West Germany","443","0.434378667507257","0.40438307247585","0.464374262538664","3"
"Reasonable","1994","Urban Area","East Germany","77","0.400126102813279","0.334941256123733","0.465310949502825","3"
"Reasonable","1994","Urban Area","West Germany","1114","0.400296909824217","0.381809061034033","0.418784758614401","3"
"Slightly Expensive","1994","Rural Area","West Germany","51","0.0391779163533924","0.0274369862541061","0.0509188464526787","4"
"Slightly Expensive","1994","Rural Area","East Germany","159","0.136175574118825","0.115499268403234","0.156851879834416","4"
"Slightly Expensive","1994","Urban Area","East Germany","28","","","","4"
"Slightly Expensive","1994","Urban Area","West Germany","164","0.0618282979070502","0.0527404316220065","0.070916164192094","4"
"Too Expensive","1994","Urban Area","West Germany","33","0.0144931012567876","0.00998350547107376","0.0190026970425014","5"
"Too Expensive","1994","Urban Area","East Germany","9","","","","5"
"Too Expensive","1994","Rural Area","West Germany","17","","","","5"
"Too Expensive","1994","Rural Area","East Germany","34","0.0256885755834587","0.0161511863610695","0.035225964805848","5"
"Very Inexpensive","1994","Urban Area","West Germany","515","0.203934116677464","0.188730512042557","0.219137721312372","1"
"Very Inexpensive","1994","Rural Area","East Germany","60","0.0611230406700226","0.0466813707854719","0.0755647105545734","1"
"Very Inexpensive","1994","Urban Area","East Germany","21","","","","1"
"Very Inexpensive","1994","Rural Area","West Germany","178","0.173757857081208","0.150828797428453","0.196686916733963","1"
"Inexpensive","1995","Rural Area","East Germany","330","0.354557995902891","0.325511985671193","0.383604006134589","2"
"Inexpensive","1995","Urban Area","West Germany","915","0.336724404825466","0.319102942141823","0.354345867509109","2"
"Inexpensive","1995","Rural Area","West Germany","365","0.34124393206372","0.31295398389467","0.369533880232771","2"
"Inexpensive","1995","Urban Area","East Germany","86","0.346879801729506","0.287034368147585","0.406725235311427","2"
"Reasonable","1995","Rural Area","East Germany","501","0.447268188011847","0.417078719526025","0.477457656497668","3"
"Reasonable","1995","Urban Area","East Germany","109","0.461362393136418","0.398684500556361","0.524040285716475","3"
"Reasonable","1995","Rural Area","West Germany","457","0.415502784349275","0.386098165033815","0.444907403664736","3"
"Reasonable","1995","Urban Area","West Germany","1086","0.382225626669042","0.364106698901025","0.400344554437059","3"
"Slightly Expensive","1995","Rural Area","East Germany","121","0.110775819203129","0.0917193538880931","0.129832284518165","4"
"Slightly Expensive","1995","Rural Area","West Germany","72","0.0492433363547063","0.0363327551828835","0.0621539175265291","4"
"Slightly Expensive","1995","Urban Area","West Germany","223","0.0809745015152025","0.0708027540191846","0.0911462490112205","4"
"Slightly Expensive","1995","Urban Area","East Germany","29","","","","4"
"Too Expensive","1995","Urban Area","West Germany","34","0.0152257522663083","0.0106599681836019","0.0197915363490147","5"
"Too Expensive","1995","Urban Area","East Germany","3","","","","5"
"Too Expensive","1995","Rural Area","West Germany","16","","","","5"
"Too Expensive","1995","Rural Area","East Germany","18","","","","5"
"Very Inexpensive","1995","Urban Area","West Germany","505","0.184849714723981","0.170375804206913","0.199323625241049","1"
"Very Inexpensive","1995","Rural Area","West Germany","169","0.183800852713723","0.160690360357446","0.206911345069999","1"
"Very Inexpensive","1995","Rural Area","East Germany","72","0.0663808326405297","0.0512654042903819","0.0814962609906775","1"
"Very Inexpensive","1995","Urban Area","East Germany","16","","","","1"
"Inexpensive","1996","Urban Area","East Germany","60","0.237104905505698","0.183849005360639","0.290360805650758","2"
"Inexpensive","1996","Rural Area","East Germany","342","0.337396365253362","0.309275396024984","0.36551733448174","2"
"Inexpensive","1996","Urban Area","West Germany","938","0.338809020526755","0.321083744084372","0.356534296969137","2"
"Inexpensive","1996","Rural Area","West Germany","362","0.314830525280667","0.287321294193305","0.342339756368029","2"
"Reasonable","1996","Rural Area","West Germany","465","0.430879169646425","0.40154856461198","0.460209774680869","3"
"Reasonable","1996","Urban Area","East Germany","123","0.507850580980582","0.445249545915898","0.570451616045266","3"
"Reasonable","1996","Rural Area","East Germany","556","0.496437880022895","0.466701221809913","0.526174538235878","3"
"Reasonable","1996","Urban Area","West Germany","1100","0.3876290777421","0.369383083683135","0.405875071801066","3"
"Slightly Expensive","1996","Rural Area","East Germany","113","0.0951116712507372","0.0776635938867349","0.11255974861474","4"
"Slightly Expensive","1996","Urban Area","East Germany","32","0.154767662487927","0.109478612302729","0.200056712673125","4"
"Slightly Expensive","1996","Rural Area","West Germany","68","0.0546898256381976","0.041222496728713","0.0681571545476821","4"
"Slightly Expensive","1996","Urban Area","West Germany","197","0.0671921390103862","0.057816359037748","0.0765679189830244","4"
"Too Expensive","1996","Urban Area","East Germany","9","","","","5"
"Too Expensive","1996","Urban Area","West Germany","51","0.0218672342765304","0.016390169120054","0.0273442994330067","5"
"Too Expensive","1996","Rural Area","West Germany","12","","","","5"
"Too Expensive","1996","Rural Area","East Germany","10","","","","5"
"Very Inexpensive","1996","Urban Area","West Germany","453","0.184502528444228","0.169975909468658","0.199029147419798","1"
"Very Inexpensive","1996","Rural Area","West Germany","188","0.192131653778671","0.168796493515287","0.215466814042055","1"
"Very Inexpensive","1996","Rural Area","East Germany","65","0.0617038997313147","0.0473932470888249","0.0760145523738046","1"
"Very Inexpensive","1996","Urban Area","East Germany","21","","","","1"
"Inexpensive","1997","Rural Area","West Germany","334","0.322870024077103","0.295048359845137","0.35069168830907","2"
"Inexpensive","1997","Urban Area","East Germany","88","0.326153126538519","0.26981548598621","0.382490767090828","2"
"Inexpensive","1997","Rural Area","East Germany","342","0.342979042575602","0.314900773978926","0.371057311172278","2"
"Inexpensive","1997","Urban Area","West Germany","871","0.320041289877566","0.302743956059601","0.337338623695532","2"
"Reasonable","1997","Rural Area","West Germany","486","0.416816357567615","0.387479859793318","0.446152855341913","3"
"Reasonable","1997","Rural Area","East Germany","547","0.478919468952175","0.449371298840349","0.508467639064001","3"
"Reasonable","1997","Urban Area","West Germany","1201","0.413671479843372","0.395410116825126","0.431932842861618","3"
"Reasonable","1997","Urban Area","East Germany","130","0.501975107920515","0.44188902557902","0.56206119026201","3"
"Slightly Expensive","1997","Rural Area","West Germany","67","0.0539850765587471","0.0405382725029575","0.0674318806145367","4"
"Slightly Expensive","1997","Rural Area","East Germany","126","0.106366558449581","0.0881305753490576","0.124602541550105","4"
"Slightly Expensive","1997","Urban Area","East Germany","20","","","","4"
"Slightly Expensive","1997","Urban Area","West Germany","187","0.064312897909206","0.0552169230522812","0.0734088727661309","4"
"Too Expensive","1997","Urban Area","West Germany","58","0.0205061339076477","0.0152510743190799","0.0257611934962154","5"
"Too Expensive","1997","Urban Area","East Germany","6","","","","5"
"Too Expensive","1997","Rural Area","West Germany","10","","","","5"
"Too Expensive","1997","Rural Area","East Germany","17","","","","5"
"Very Inexpensive","1997","Urban Area","West Germany","477","0.181468198462208","0.167177517207809","0.195758879716607","1"
"Very Inexpensive","1997","Urban Area","East Germany","22","","","","1"
"Very Inexpensive","1997","Rural Area","West Germany","188","0.19865313636614","0.174912562878472","0.222393709853807","1"
"Very Inexpensive","1997","Rural Area","East Germany","66","0.0494908373356926","0.0366619947664192","0.0623196799049659","1"
"Inexpensive","1998","Urban Area","West Germany","978","0.313450183038741","0.297342039273723","0.32955832680376","2"
"Inexpensive","1998","Rural Area","West Germany","423","0.328215334831316","0.303026856309758","0.353403813352873","2"
"Inexpensive","1998","Rural Area","East Germany","406","0.342386784320155","0.315683698387791","0.369089870252519","2"
"Inexpensive","1998","Urban Area","East Germany","79","0.241192099231951","0.192039209280721","0.290344989183182","2"
"Reasonable","1998","Urban Area","East Germany","135","0.528418373587628","0.47106367662205","0.585773070553206","3"
"Reasonable","1998","Urban Area","West Germany","1381","0.417471836154086","0.400348149977917","0.434595522330256","3"
"Reasonable","1998","Rural Area","West Germany","556","0.383177842588722","0.357099040704162","0.409256644473282","3"
"Reasonable","1998","Rural Area","East Germany","554","0.457829253939508","0.429791869241906","0.48586663863711","3"
"Slightly Expensive","1998","Rural Area","West Germany","110","0.0759808386455253","0.0617673728667558","0.0901943044242947","4"
"Slightly Expensive","1998","Urban Area","West Germany","241","0.0676052752678602","0.058887304632207","0.0763232459035134","4"
"Slightly Expensive","1998","Urban Area","East Germany","28","","","","4"
"Slightly Expensive","1998","Rural Area","East Germany","135","0.0909164647003251","0.0747378677201821","0.107095061680468","4"
"Too Expensive","1998","Urban Area","East Germany","8","","","","5"
"Too Expensive","1998","Urban Area","West Germany","50","0.0193459505586497","0.0145631953310806","0.0241287057862189","5"
"Too Expensive","1998","Rural Area","West Germany","14","","","","5"
"Too Expensive","1998","Rural Area","East Germany","8","","","","5"
"Very Inexpensive","1998","Urban Area","West Germany","536","0.182126754980663","0.168725203443521","0.195528306517805","1"
"Very Inexpensive","1998","Urban Area","East Germany","41","0.12156157022398","0.0840162847647606","0.159106855683199","1"
"Very Inexpensive","1998","Rural Area","West Germany","232","0.200932891499402","0.179438527344619","0.222427255654185","1"
"Very Inexpensive","1998","Rural Area","East Germany","110","0.101743078184525","0.0847304890645611","0.118755667304489","1"
"Inexpensive","1999","Urban Area","East Germany","89","0.325501468993564","0.27274280889876","0.378260129088369","2"
"Inexpensive","1999","Rural Area","East Germany","404","0.377119969905184","0.349686517316363","0.404553422494006","2"
"Inexpensive","1999","Urban Area","West Germany","971","0.323067273739332","0.306712920966397","0.339421626512267","2"
"Inexpensive","1999","Rural Area","West Germany","474","0.383851572208806","0.357354048643867","0.410349095773744","2"
"Reasonable","1999","Urban Area","East Germany","127","0.430258954629491","0.374510800809924","0.486007108449058","3"
"Reasonable","1999","Rural Area","West Germany","499","0.359320472378308","0.33317825887719","0.385462685879427","3"
"Reasonable","1999","Urban Area","West Germany","1304","0.402565325486798","0.385414796586184","0.419715854387411","3"
"Reasonable","1999","Rural Area","East Germany","547","0.435786915509965","0.40771983958615","0.46385399143378","3"
"Slightly Expensive","1999","Rural Area","East Germany","109","0.0757521424630919","0.0607749577527182","0.0907293271734656","4"
"Slightly Expensive","1999","Urban Area","East Germany","43","0.111409333463761","0.0759820021878607","0.146836664739661","4"
"Slightly Expensive","1999","Rural Area","West Germany","81","0.0527856399767641","0.0406023947672419","0.0649688851862863","4"
"Slightly Expensive","1999","Urban Area","West Germany","239","0.0710825058193747","0.0620961407356895","0.0800688709030598","4"
"Too Expensive","1999","Urban Area","East Germany","13","","","","5"
"Too Expensive","1999","Urban Area","West Germany","79","0.0257050480482294","0.0201706733523524","0.0312394227441065","5"
"Too Expensive","1999","Rural Area","West Germany","4","","","","5"
"Too Expensive","1999","Rural Area","East Germany","21","","","","5"
"Very Inexpensive","1999","Urban Area","West Germany","548","0.177579846906267","0.164215189406255","0.190944504406278","1"
"Very Inexpensive","1999","Urban Area","East Germany","31","0.0833351597471641","0.0522146859881272","0.114455633506201","1"
"Very Inexpensive","1999","Rural Area","West Germany","236","0.200656970390362","0.178835969131963","0.222477971648761","1"
"Very Inexpensive","1999","Rural Area","East Germany","118","0.0970562206241478","0.0802998274332995","0.113812613814996","1"
"Inexpensive","2000","Rural Area","East Germany","680","0.35072127403145","0.330089393253808","0.371353154809092","2"
"Inexpensive","2000","Urban Area","East Germany","168","0.330377305436322","0.288900547506154","0.371854063366491","2"
"Inexpensive","2000","Rural Area","West Germany","928","0.353182781216088","0.335164406451073","0.371201155981102","2"
"Inexpensive","2000","Urban Area","West Germany","2095","0.326664675749788","0.315246575105209","0.338082776394366","2"
"Reasonable","2000","Urban Area","West Germany","2729","0.411502097965551","0.399521304910785","0.423482891020318","3"
"Reasonable","2000","Rural Area","East Germany","957","0.457782347779873","0.436241711624751","0.479322983934995","3"
"Reasonable","2000","Urban Area","East Germany","195","0.426445370875647","0.382833600837102","0.470057140914191","3"
