"hlf0094","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Inexpensive","1984","Saxony-Anhalt","higher education","","","","","2"
"Inexpensive","1984","Thuringia","in school","","","","","2"
"Inexpensive","1984","Thuringia","inadequately","","","","","2"
"Inexpensive","1984","Thuringia","general elemantary","","","","","2"
"Inexpensive","1984","Thuringia","middle vocational","","","","","2"
"Inexpensive","1984","Thuringia","vocational + Abi","","","","","2"
"Inexpensive","1984","Thuringia","higher vocational","","","","","2"
"Inexpensive","1984","Thuringia","higher education","","","","","2"
"Inexpensive","1984","North Rhine-Westphalia","general elemantary","73","0.339707591146363","0.277546813698371","0.401868368594354","2"
"Inexpensive","1984","Bavaria","in school","2","","","","2"
"Inexpensive","1984","Bavaria","inadequately","2","","","","2"
"Inexpensive","1984","Bavaria","general elemantary","75","0.307118860773321","0.250050704191288","0.364187017355354","2"
"Inexpensive","1984","Bavaria","middle vocational","145","0.327228215653214","0.284443725612042","0.370012705694386","2"
"Inexpensive","1984","Bavaria","vocational + Abi","5","","","","2"
"Inexpensive","1984","Bavaria","higher vocational","26","","","","2"
"Inexpensive","1984","Bavaria","higher education","17","","","","2"
"Inexpensive","1984","Mecklenburg-Western Pomerania","in school","","","","","2"
"Inexpensive","1984","Mecklenburg-Western Pomerania","inadequately","","","","","2"
"Inexpensive","1984","Mecklenburg-Western Pomerania","general elemantary","","","","","2"
"Inexpensive","1984","Berlin","in school","","","","","2"
"Inexpensive","1984","Berlin","inadequately","","","","","2"
"Inexpensive","1984","Berlin","general elemantary","2","","","","2"
"Inexpensive","1984","Berlin","middle vocational","7","","","","2"
"Inexpensive","1984","Berlin","vocational + Abi","","","","","2"
"Inexpensive","1984","Berlin","higher vocational","2","","","","2"
"Inexpensive","1984","Berlin","higher education","1","","","","2"
"Inexpensive","1984","Brandenburg","in school","","","","","2"
"Inexpensive","1984","Brandenburg","inadequately","","","","","2"
"Inexpensive","1984","Brandenburg","general elemantary","","","","","2"
"Inexpensive","1984","Brandenburg","middle vocational","","","","","2"
"Inexpensive","1984","Brandenburg","vocational + Abi","","","","","2"
"Inexpensive","1984","Brandenburg","higher vocational","","","","","2"
"Inexpensive","1984","Brandenburg","higher education","","","","","2"
"Reasonable","1984","Hamburg","in school","1","","","","3"
"Reasonable","1984","Rhineland-Palatinate,Saarland","general elemantary","68","0.416056456436058","0.340618879491518","0.491494033380598","3"
"Reasonable","1984","Schleswig-Holstein","higher education","3","","","","3"
"Reasonable","1984","Baden-Württemberg","in school","4","","","","3"
"Reasonable","1984","Rhineland-Palatinate,Saarland","middle vocational","76","0.338867392573115","0.276463578630287","0.401271206515943","3"
"Reasonable","1984","Schleswig-Holstein","higher vocational","6","","","","3"
"Reasonable","1984","Hamburg","inadequately","","","","","3"
"Reasonable","1984","Hamburg","general elemantary","5","","","","3"
"Reasonable","1984","Hamburg","vocational + Abi","1","","","","3"
"Reasonable","1984","Rhineland-Palatinate,Saarland","in school","1","","","","3"
"Reasonable","1984","Rhineland-Palatinate,Saarland","inadequately","3","","","","3"
"Reasonable","1984","Baden-Württemberg","higher vocational","25","","","","3"
"Reasonable","1984","Hesse","higher education","10","","","","3"
"Reasonable","1984","Baden-Württemberg","inadequately","3","","","","3"
"Reasonable","1984","Baden-Württemberg","general elemantary","85","0.306381549120921","0.252094050796394","0.360669047445448","3"
"Reasonable","1984","Baden-Württemberg","middle vocational","135","0.338028767451031","0.292015670643002","0.38404186425906","3"
"Reasonable","1984","Baden-Württemberg","vocational + Abi","5","","","","3"
"Reasonable","1984","North Rhine-Westphalia","higher education","40","0.372326108415688","0.27941659211842","0.465235624712956","3"
"Reasonable","1984","Hesse","in school","2","","","","3"
"Reasonable","1984","Hesse","inadequately","1","","","","3"
"Reasonable","1984","Hesse","general elemantary","25","","","","3"
"Reasonable","1984","Hesse","higher vocational","7","","","","3"
"Reasonable","1984","Hamburg","middle vocational","10","","","","3"
"Reasonable","1984","Hesse","middle vocational","53","0.255275146563138","0.19294884490672","0.317601448219556","3"
"Reasonable","1984","Hesse","vocational + Abi","1","","","","3"
"Reasonable","1984","Hamburg","higher vocational","2","","","","3"
"Reasonable","1984","Hamburg","higher education","2","","","","3"
"Reasonable","1984","Lower Saxony","in school","9","","","","3"
"Reasonable","1984","Lower Saxony","inadequately","7","","","","3"
"Reasonable","1984","Lower Saxony","general elemantary","57","0.306498700135813","0.23933312130993","0.373664278961696","3"
"Reasonable","1984","Lower Saxony","middle vocational","102","0.365296913745808","0.308178639929263","0.422415187562353","3"
"Reasonable","1984","Lower Saxony","vocational + Abi","","","","","3"
"Reasonable","1984","Lower Saxony","higher vocational","14","","","","3"
"Reasonable","1984","Lower Saxony","higher education","18","","","","3"
"Reasonable","1984","Bremen","in school","","","","","3"
"Reasonable","1984","Bremen","inadequately","1","","","","3"
"Reasonable","1984","Bremen","general elemantary","4","","","","3"
"Reasonable","1984","Bremen","middle vocational","5","","","","3"
"Reasonable","1984","Bremen","vocational + Abi","","","","","3"
"Reasonable","1984","Bremen","higher vocational","1","","","","3"
"Reasonable","1984","Bremen","higher education","","","","","3"
"Reasonable","1984","North Rhine-Westphalia","in school","12","","","","3"
"Reasonable","1984","North Rhine-Westphalia","inadequately","3","","","","3"
"Reasonable","1984","North Rhine-Westphalia","general elemantary","72","0.284803503110831","0.225568145837498","0.344038860384164","3"
"Reasonable","1984","North Rhine-Westphalia","middle vocational","163","0.311262770667638","0.270880310717434","0.351645230617842","3"
"Reasonable","1984","North Rhine-Westphalia","vocational + Abi","11","","","","3"
"Reasonable","1984","North Rhine-Westphalia","higher vocational","23","","","","3"
"Reasonable","1984","Rhineland-Palatinate,Saarland","vocational + Abi","2","","","","3"
"Reasonable","1984","Rhineland-Palatinate,Saarland","higher vocational","9","","","","3"
"Reasonable","1984","Rhineland-Palatinate,Saarland","higher education","11","","","","3"
"Reasonable","1984","Mecklenburg-Western Pomerania","general elemantary","","","","","3"
"Reasonable","1984","Mecklenburg-Western Pomerania","middle vocational","","","","","3"
"Reasonable","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","","","3"
"Reasonable","1984","Mecklenburg-Western Pomerania","higher vocational","","","","","3"
"Reasonable","1984","Mecklenburg-Western Pomerania","higher education","","","","","3"
"Reasonable","1984","Saxony","in school","","","","","3"
"Reasonable","1984","Saxony","inadequately","","","","","3"
"Reasonable","1984","Schleswig-Holstein","in school","4","","","","3"
"Reasonable","1984","Brandenburg","higher education","","","","","3"
"Reasonable","1984","Mecklenburg-Western Pomerania","in school","","","","","3"
"Reasonable","1984","Mecklenburg-Western Pomerania","inadequately","","","","","3"
"Reasonable","1984","Saxony","general elemantary","","","","","3"
"Reasonable","1984","Saxony","middle vocational","","","","","3"
"Reasonable","1984","Saxony","vocational + Abi","","","","","3"
"Reasonable","1984","Saxony","higher vocational","","","","","3"
"Reasonable","1984","Saxony","higher education","","","","","3"
"Reasonable","1984","Saxony-Anhalt","in school","","","","","3"
"Reasonable","1984","Saxony-Anhalt","inadequately","","","","","3"
"Reasonable","1984","Saxony-Anhalt","general elemantary","","","","","3"
"Reasonable","1984","Saxony-Anhalt","middle vocational","","","","","3"
"Reasonable","1984","Saxony-Anhalt","vocational + Abi","","","","","3"
"Reasonable","1984","Saxony-Anhalt","higher vocational","","","","","3"
"Reasonable","1984","Saxony-Anhalt","higher education","","","","","3"
"Reasonable","1984","Thuringia","in school","","","","","3"
"Reasonable","1984","Thuringia","inadequately","","","","","3"
"Reasonable","1984","Thuringia","general elemantary","","","","","3"
"Reasonable","1984","Thuringia","middle vocational","","","","","3"
"Reasonable","1984","Thuringia","vocational + Abi","","","","","3"
"Reasonable","1984","Thuringia","higher vocational","","","","","3"
"Reasonable","1984","Thuringia","higher education","","","","","3"
"Reasonable","1984","Schleswig-Holstein","inadequately","1","","","","3"
"Reasonable","1984","Schleswig-Holstein","general elemantary","12","","","","3"
"Reasonable","1984","Schleswig-Holstein","middle vocational","37","0.286961720764346","0.205345685460189","0.368577756068504","3"
"Reasonable","1984","Schleswig-Holstein","vocational + Abi","1","","","","3"
"Reasonable","1984","Baden-Württemberg","higher education","19","","","","3"
"Reasonable","1984","Bavaria","in school","5","","","","3"
"Reasonable","1984","Bavaria","inadequately","4","","","","3"
"Reasonable","1984","Bavaria","general elemantary","82","0.310997184171744","0.253730774326922","0.368263594016565","3"
"Reasonable","1984","Bavaria","middle vocational","160","0.333594281669713","0.290600488830392","0.376588074509034","3"
"Reasonable","1984","Bavaria","vocational + Abi","10","","","","3"
"Reasonable","1984","Bavaria","higher vocational","18","","","","3"
"Reasonable","1984","Bavaria","higher education","26","","","","3"
"Reasonable","1984","Berlin","in school","","","","","3"
"Reasonable","1984","Berlin","inadequately","","","","","3"
"Reasonable","1984","Berlin","general elemantary","","","","","3"
"Reasonable","1984","Berlin","middle vocational","1","","","","3"
"Reasonable","1984","Berlin","vocational + Abi","","","","","3"
"Reasonable","1984","Berlin","higher vocational","","","","","3"
"Reasonable","1984","Berlin","higher education","2","","","","3"
"Reasonable","1984","Brandenburg","in school","","","","","3"
"Reasonable","1984","Brandenburg","inadequately","","","","","3"
"Reasonable","1984","Brandenburg","general elemantary","","","","","3"
"Reasonable","1984","Brandenburg","middle vocational","","","","","3"
"Reasonable","1984","Brandenburg","vocational + Abi","","","","","3"
"Reasonable","1984","Brandenburg","higher vocational","","","","","3"
"Slightly Expensive","1984","Schleswig-Holstein","higher education","2","","","","4"
"Slightly Expensive","1984","Hamburg","in school","","","","","4"
"Slightly Expensive","1984","Schleswig-Holstein","higher vocational","2","","","","4"
"Slightly Expensive","1984","Hamburg","vocational + Abi","","","","","4"
"Slightly Expensive","1984","Hamburg","higher education","","","","","4"
"Slightly Expensive","1984","North Rhine-Westphalia","in school","2","","","","4"
"Slightly Expensive","1984","Lower Saxony","in school","3","","","","4"
"Slightly Expensive","1984","Bavaria","in school","","","","","4"
"Slightly Expensive","1984","Bavaria","inadequately","","","","","4"
"Slightly Expensive","1984","Baden-Württemberg","in school","3","","","","4"
"Slightly Expensive","1984","Baden-Württemberg","inadequately","2","","","","4"
"Slightly Expensive","1984","Hamburg","higher vocational","","","","","4"
"Slightly Expensive","1984","Baden-Württemberg","middle vocational","44","0.101378911580832","0.0720195106658264","0.130738312495838","4"
"Slightly Expensive","1984","Bremen","higher education","","","","","4"
"Slightly Expensive","1984","Baden-Württemberg","higher vocational","8","","","","4"
"Slightly Expensive","1984","Baden-Württemberg","higher education","5","","","","4"
"Slightly Expensive","1984","Berlin","higher education","1","","","","4"
"Slightly Expensive","1984","Brandenburg","in school","","","","","4"
"Slightly Expensive","1984","Brandenburg","inadequately","","","","","4"
"Slightly Expensive","1984","Baden-Württemberg","general elemantary","26","","","","4"
"Slightly Expensive","1984","Berlin","general elemantary","1","","","","4"
"Slightly Expensive","1984","Baden-Württemberg","vocational + Abi","","","","","4"
"Slightly Expensive","1984","Berlin","vocational + Abi","1","","","","4"
"Slightly Expensive","1984","Berlin","higher vocational","1","","","","4"
"Slightly Expensive","1984","Berlin","middle vocational","2","","","","4"
"Slightly Expensive","1984","Mecklenburg-Western Pomerania","general elemantary","","","","","4"
"Slightly Expensive","1984","Hamburg","inadequately","","","","","4"
"Slightly Expensive","1984","Hamburg","general elemantary","","","","","4"
"Slightly Expensive","1984","Hamburg","middle vocational","","","","","4"
"Slightly Expensive","1984","Bremen","inadequately","","","","","4"
"Slightly Expensive","1984","Bremen","general elemantary","1","","","","4"
"Slightly Expensive","1984","Bremen","middle vocational","1","","","","4"
"Slightly Expensive","1984","Bremen","vocational + Abi","","","","","4"
"Slightly Expensive","1984","Bremen","higher vocational","","","","","4"
"Slightly Expensive","1984","Hesse","in school","2","","","","4"
"Slightly Expensive","1984","Hesse","inadequately","3","","","","4"
"Slightly Expensive","1984","Lower Saxony","inadequately","","","","","4"
"Slightly Expensive","1984","Lower Saxony","general elemantary","10","","","","4"
"Slightly Expensive","1984","Lower Saxony","middle vocational","21","","","","4"
"Slightly Expensive","1984","Lower Saxony","vocational + Abi","1","","","","4"
"Slightly Expensive","1984","Lower Saxony","higher vocational","8","","","","4"
"Slightly Expensive","1984","Lower Saxony","higher education","4","","","","4"
"Slightly Expensive","1984","Bremen","in school","","","","","4"
"Slightly Expensive","1984","North Rhine-Westphalia","inadequately","","","","","4"
"Slightly Expensive","1984","North Rhine-Westphalia","general elemantary","11","","","","4"
"Slightly Expensive","1984","North Rhine-Westphalia","middle vocational","27","","","","4"
"Slightly Expensive","1984","North Rhine-Westphalia","vocational + Abi","","","","","4"
"Slightly Expensive","1984","North Rhine-Westphalia","higher vocational","2","","","","4"
"Slightly Expensive","1984","North Rhine-Westphalia","higher education","5","","","","4"
"Slightly Expensive","1984","Hesse","general elemantary","7","","","","4"
"Slightly Expensive","1984","Hesse","middle vocational","16","","","","4"
"Slightly Expensive","1984","Hesse","vocational + Abi","1","","","","4"
"Slightly Expensive","1984","Hesse","higher vocational","1","","","","4"
"Slightly Expensive","1984","Hesse","higher education","1","","","","4"
"Slightly Expensive","1984","Rhineland-Palatinate,Saarland","in school","","","","","4"
"Slightly Expensive","1984","Rhineland-Palatinate,Saarland","inadequately","1","","","","4"
"Slightly Expensive","1984","Rhineland-Palatinate,Saarland","general elemantary","19","","","","4"
"Slightly Expensive","1984","Rhineland-Palatinate,Saarland","middle vocational","15","","","","4"
"Slightly Expensive","1984","Rhineland-Palatinate,Saarland","vocational + Abi","1","","","","4"
"Slightly Expensive","1984","Rhineland-Palatinate,Saarland","higher vocational","3","","","","4"
"Slightly Expensive","1984","Rhineland-Palatinate,Saarland","higher education","1","","","","4"
"Slightly Expensive","1984","Bavaria","general elemantary","11","","","","4"
"Slightly Expensive","1984","Bavaria","middle vocational","32","0.0671531987170325","0.044330572438021","0.0899758249960441","4"
"Slightly Expensive","1984","Bavaria","vocational + Abi","","","","","4"
"Slightly Expensive","1984","Bavaria","higher vocational","9","","","","4"
"Slightly Expensive","1984","Bavaria","higher education","6","","","","4"
"Slightly Expensive","1984","Berlin","in school","","","","","4"
"Slightly Expensive","1984","Berlin","inadequately","","","","","4"
"Slightly Expensive","1984","Brandenburg","general elemantary","","","","","4"
"Slightly Expensive","1984","Brandenburg","middle vocational","","","","","4"
"Slightly Expensive","1984","Brandenburg","vocational + Abi","","","","","4"
"Slightly Expensive","1984","Brandenburg","higher vocational","","","","","4"
"Slightly Expensive","1984","Brandenburg","higher education","","","","","4"
"Slightly Expensive","1984","Mecklenburg-Western Pomerania","in school","","","","","4"
"Slightly Expensive","1984","Mecklenburg-Western Pomerania","inadequately","","","","","4"
"Slightly Expensive","1984","Mecklenburg-Western Pomerania","middle vocational","","","","","4"
"Slightly Expensive","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","","","4"
"Slightly Expensive","1984","Mecklenburg-Western Pomerania","higher vocational","","","","","4"
"Slightly Expensive","1984","Mecklenburg-Western Pomerania","higher education","","","","","4"
"Slightly Expensive","1984","Saxony","in school","","","","","4"
"Slightly Expensive","1984","Saxony","inadequately","","","","","4"
"Slightly Expensive","1984","Saxony","general elemantary","","","","","4"
"Slightly Expensive","1984","Saxony","middle vocational","","","","","4"
"Slightly Expensive","1984","Saxony","vocational + Abi","","","","","4"
"Slightly Expensive","1984","Saxony","higher vocational","","","","","4"
"Slightly Expensive","1984","Saxony","higher education","","","","","4"
"Slightly Expensive","1984","Saxony-Anhalt","in school","","","","","4"
"Slightly Expensive","1984","Saxony-Anhalt","inadequately","","","","","4"
"Slightly Expensive","1984","Saxony-Anhalt","general elemantary","","","","","4"
"Slightly Expensive","1984","Saxony-Anhalt","middle vocational","","","","","4"
"Slightly Expensive","1984","Saxony-Anhalt","vocational + Abi","","","","","4"
"Slightly Expensive","1984","Saxony-Anhalt","higher vocational","","","","","4"
"Slightly Expensive","1984","Saxony-Anhalt","higher education","","","","","4"
"Slightly Expensive","1984","Thuringia","in school","","","","","4"
"Slightly Expensive","1984","Schleswig-Holstein","in school","","","","","4"
"Slightly Expensive","1984","Schleswig-Holstein","inadequately","","","","","4"
"Slightly Expensive","1984","Schleswig-Holstein","general elemantary","4","","","","4"
"Slightly Expensive","1984","Schleswig-Holstein","middle vocational","15","","","","4"
"Slightly Expensive","1984","Schleswig-Holstein","vocational + Abi","","","","","4"
"Slightly Expensive","1984","Thuringia","inadequately","","","","","4"
"Slightly Expensive","1984","Thuringia","general elemantary","","","","","4"
"Slightly Expensive","1984","Thuringia","middle vocational","","","","","4"
"Slightly Expensive","1984","Thuringia","vocational + Abi","","","","","4"
"Slightly Expensive","1984","Thuringia","higher vocational","","","","","4"
"Slightly Expensive","1984","Thuringia","higher education","","","","","4"
"Too Expensive","1984","Schleswig-Holstein","higher education","","","","","5"
"Too Expensive","1984","Schleswig-Holstein","higher vocational","1","","","","5"
"Too Expensive","1984","Saxony-Anhalt","general elemantary","","","","","5"
"Too Expensive","1984","Hamburg","in school","","","","","5"
"Too Expensive","1984","Hamburg","higher education","","","","","5"
"Too Expensive","1984","Hamburg","inadequately","","","","","5"
"Too Expensive","1984","Hamburg","general elemantary","","","","","5"
"Too Expensive","1984","Baden-Württemberg","middle vocational","10","","","","5"
"Too Expensive","1984","Baden-Württemberg","general elemantary","14","","","","5"
"Too Expensive","1984","Lower Saxony","in school","1","","","","5"
"Too Expensive","1984","Baden-Württemberg","inadequately","1","","","","5"
"Too Expensive","1984","Hamburg","middle vocational","","","","","5"
"Too Expensive","1984","Bremen","inadequately","","","","","5"
"Too Expensive","1984","Hamburg","vocational + Abi","","","","","5"
"Too Expensive","1984","Hamburg","higher vocational","","","","","5"
"Too Expensive","1984","Lower Saxony","middle vocational","8","","","","5"
"Too Expensive","1984","Bremen","in school","","","","","5"
"Too Expensive","1984","North Rhine-Westphalia","higher education","4","","","","5"
"Too Expensive","1984","Lower Saxony","inadequately","","","","","5"
"Too Expensive","1984","Lower Saxony","general elemantary","3","","","","5"
"Too Expensive","1984","North Rhine-Westphalia","higher vocational","","","","","5"
"Too Expensive","1984","Bremen","general elemantary","2","","","","5"
"Too Expensive","1984","Bremen","middle vocational","2","","","","5"
"Too Expensive","1984","Lower Saxony","vocational + Abi","","","","","5"
"Too Expensive","1984","Lower Saxony","higher vocational","2","","","","5"
"Too Expensive","1984","Lower Saxony","higher education","3","","","","5"
"Too Expensive","1984","Bremen","vocational + Abi","1","","","","5"
"Too Expensive","1984","Bremen","higher vocational","","","","","5"
"Too Expensive","1984","Bremen","higher education","","","","","5"
"Too Expensive","1984","North Rhine-Westphalia","in school","1","","","","5"
"Too Expensive","1984","North Rhine-Westphalia","inadequately","","","","","5"
"Too Expensive","1984","Hesse","in school","","","","","5"
"Too Expensive","1984","Hesse","inadequately","","","","","5"
"Too Expensive","1984","Hesse","general elemantary","1","","","","5"
"Too Expensive","1984","Hesse","middle vocational","4","","","","5"
"Too Expensive","1984","Hesse","vocational + Abi","","","","","5"
"Too Expensive","1984","Hesse","higher vocational","","","","","5"
"Too Expensive","1984","Hesse","higher education","1","","","","5"
"Too Expensive","1984","Rhineland-Palatinate,Saarland","in school","","","","","5"
"Too Expensive","1984","Rhineland-Palatinate,Saarland","inadequately","","","","","5"
"Too Expensive","1984","Rhineland-Palatinate,Saarland","general elemantary","2","","","","5"
"Too Expensive","1984","Rhineland-Palatinate,Saarland","middle vocational","4","","","","5"
"Too Expensive","1984","Rhineland-Palatinate,Saarland","vocational + Abi","1","","","","5"
"Too Expensive","1984","Rhineland-Palatinate,Saarland","higher vocational","1","","","","5"
"Too Expensive","1984","Rhineland-Palatinate,Saarland","higher education","","","","","5"
"Too Expensive","1984","Baden-Württemberg","in school","","","","","5"
"Too Expensive","1984","Baden-Württemberg","vocational + Abi","1","","","","5"
"Too Expensive","1984","Baden-Württemberg","higher vocational","1","","","","5"
"Too Expensive","1984","Baden-Württemberg","higher education","2","","","","5"
"Too Expensive","1984","Bavaria","in school","","","","","5"
"Too Expensive","1984","Bavaria","inadequately","","","","","5"
"Too Expensive","1984","Bavaria","general elemantary","7","","","","5"
"Too Expensive","1984","Bavaria","middle vocational","9","","","","5"
"Too Expensive","1984","Bavaria","vocational + Abi","1","","","","5"
"Too Expensive","1984","Bavaria","higher vocational","2","","","","5"
"Too Expensive","1984","Berlin","in school","","","","","5"
"Too Expensive","1984","Berlin","inadequately","","","","","5"
"Too Expensive","1984","Berlin","general elemantary","","","","","5"
"Too Expensive","1984","Berlin","middle vocational","2","","","","5"
"Too Expensive","1984","Berlin","vocational + Abi","","","","","5"
"Too Expensive","1984","Saxony-Anhalt","middle vocational","","","","","5"
"Too Expensive","1984","Saxony-Anhalt","vocational + Abi","","","","","5"
"Too Expensive","1984","Saxony-Anhalt","higher vocational","","","","","5"
"Too Expensive","1984","Saxony-Anhalt","higher education","","","","","5"
"Too Expensive","1984","Thuringia","in school","","","","","5"
"Too Expensive","1984","Thuringia","inadequately","","","","","5"
"Too Expensive","1984","Thuringia","general elemantary","","","","","5"
"Too Expensive","1984","Thuringia","middle vocational","","","","","5"
"Too Expensive","1984","Thuringia","vocational + Abi","","","","","5"
"Too Expensive","1984","Thuringia","higher vocational","","","","","5"
"Too Expensive","1984","Thuringia","higher education","","","","","5"
"Too Expensive","1984","North Rhine-Westphalia","general elemantary","7","","","","5"
"Too Expensive","1984","North Rhine-Westphalia","middle vocational","18","","","","5"
"Too Expensive","1984","North Rhine-Westphalia","vocational + Abi","","","","","5"
"Too Expensive","1984","Schleswig-Holstein","in school","2","","","","5"
"Too Expensive","1984","Schleswig-Holstein","inadequately","","","","","5"
"Too Expensive","1984","Schleswig-Holstein","general elemantary","1","","","","5"
"Too Expensive","1984","Schleswig-Holstein","middle vocational","5","","","","5"
"Too Expensive","1984","Schleswig-Holstein","vocational + Abi","","","","","5"
"Too Expensive","1984","Bavaria","higher education","1","","","","5"
"Too Expensive","1984","Brandenburg","higher education","","","","","5"
"Too Expensive","1984","Mecklenburg-Western Pomerania","in school","","","","","5"
"Too Expensive","1984","Mecklenburg-Western Pomerania","inadequately","","","","","5"
"Too Expensive","1984","Mecklenburg-Western Pomerania","general elemantary","","","","","5"
"Too Expensive","1984","Mecklenburg-Western Pomerania","middle vocational","","","","","5"
"Too Expensive","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","","","5"
"Too Expensive","1984","Mecklenburg-Western Pomerania","higher vocational","","","","","5"
"Too Expensive","1984","Mecklenburg-Western Pomerania","higher education","","","","","5"
"Too Expensive","1984","Saxony","in school","","","","","5"
