"hlf0094","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Slightly Expensive","1987","indirect migration background","West Germany","5","","","","4"
"Slightly Expensive","1987","indirect migration background","East Germany","","","","","4"
"Too Expensive","1987","no migration background","West Germany","109","0.0259871789446603","0.020986936932811","0.0309874209565095","5"
"Too Expensive","1987","no migration background","East Germany","","","","","5"
"Too Expensive","1987","direct migration background","West Germany","6","","","","5"
"Too Expensive","1987","direct migration background","East Germany","","","","","5"
"Too Expensive","1987","indirect migration background","West Germany","","","","","5"
"Too Expensive","1987","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","1987","no migration background","West Germany","687","0.176818652342033","0.164828052265396","0.18880925241867","1"
"Very Inexpensive","1987","no migration background","East Germany","","","","","1"
"Very Inexpensive","1987","direct migration background","West Germany","57","0.20960301808549","0.167202822246377","0.252003213924603","1"
"Very Inexpensive","1987","direct migration background","East Germany","","","","","1"
"Very Inexpensive","1987","indirect migration background","West Germany","6","","","","1"
"Very Inexpensive","1987","indirect migration background","East Germany","","","","","1"
"Inexpensive","1988","no migration background","East Germany","","","","","2"
"Inexpensive","1988","no migration background","West Germany","1278","0.35115790622631","0.335644856861978","0.366670955590642","2"
"Inexpensive","1988","direct migration background","East Germany","","","","","2"
"Inexpensive","1988","direct migration background","West Germany","100","0.329384866908674","0.280005335432597","0.378764398384752","2"
"Inexpensive","1988","indirect migration background","West Germany","9","","","","2"
"Inexpensive","1988","indirect migration background","East Germany","","","","","2"
"Reasonable","1988","no migration background","West Germany","1378","0.378347612985323","0.362586178451643","0.394109047519003","3"
"Reasonable","1988","no migration background","East Germany","","","","","3"
"Reasonable","1988","direct migration background","West Germany","141","0.36128191369554","0.310811578809058","0.411752248582021","3"
"Reasonable","1988","direct migration background","East Germany","","","","","3"
"Reasonable","1988","indirect migration background","West Germany","22","","","","3"
"Reasonable","1988","indirect migration background","East Germany","","","","","3"
"Slightly Expensive","1988","no migration background","West Germany","270","0.0733087131161703","0.0648379647980584","0.0817794614342821","4"
"Slightly Expensive","1988","no migration background","East Germany","","","","","4"
"Slightly Expensive","1988","direct migration background","West Germany","46","0.0912781789470675","0.0610189797030806","0.121537378191054","4"
"Slightly Expensive","1988","direct migration background","East Germany","","","","","4"
"Slightly Expensive","1988","indirect migration background","West Germany","5","","","","4"
"Slightly Expensive","1988","indirect migration background","East Germany","","","","","4"
"Too Expensive","1988","no migration background","West Germany","51","0.0136135316546391","0.00984748759887883","0.0173795757103993","5"
"Too Expensive","1988","no migration background","East Germany","","","","","5"
"Too Expensive","1988","direct migration background","West Germany","6","","","","5"
"Too Expensive","1988","direct migration background","East Germany","","","","","5"
"Too Expensive","1988","indirect migration background","West Germany","","","","","5"
"Too Expensive","1988","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","1988","no migration background","West Germany","660","0.183572236017558","0.170990550605309","0.196153921429806","1"
"Very Inexpensive","1988","no migration background","East Germany","","","","","1"
"Very Inexpensive","1988","direct migration background","West Germany","55","0.197402499177111","0.155582531393764","0.239222466960458","1"
"Very Inexpensive","1988","direct migration background","East Germany","","","","","1"
"Very Inexpensive","1988","indirect migration background","West Germany","9","","","","1"
"Very Inexpensive","1988","indirect migration background","East Germany","","","","","1"
"Inexpensive","1989","no migration background","West Germany","1306","0.37151193312095","0.355656775265586","0.387367090976314","2"
"Inexpensive","1989","no migration background","East Germany","","","","","2"
"Inexpensive","1989","direct migration background","West Germany","136","0.365780630601123","0.315818139277257","0.415743121924988","2"
"Inexpensive","1989","direct migration background","East Germany","","","","","2"
"Inexpensive","1989","indirect migration background","West Germany","14","","","","2"
"Inexpensive","1989","indirect migration background","East Germany","","","","","2"
"Reasonable","1989","no migration background","East Germany","","","","","3"
"Reasonable","1989","no migration background","West Germany","1236","0.340128732134121","0.324583867747033","0.35567359652121","3"
"Reasonable","1989","direct migration background","West Germany","121","0.314198060141386","0.26604597621526","0.362350144067512","3"
"Reasonable","1989","direct migration background","East Germany","","","","","3"
"Reasonable","1989","indirect migration background","East Germany","","","","","3"
"Reasonable","1989","indirect migration background","West Germany","22","","","","3"
"Slightly Expensive","1989","no migration background","East Germany","","","","","4"
"Slightly Expensive","1989","no migration background","West Germany","238","0.0645163402487622","0.0564553455973037","0.0725773349002208","4"
"Slightly Expensive","1989","direct migration background","West Germany","37","0.0876733206703634","0.0583358344544217","0.117010806886305","4"
"Slightly Expensive","1989","direct migration background","East Germany","","","","","4"
"Slightly Expensive","1989","indirect migration background","West Germany","6","","","","4"
"Slightly Expensive","1989","indirect migration background","East Germany","","","","","4"
"Too Expensive","1989","no migration background","West Germany","47","0.0120892380510937","0.00850337259002178","0.0156751035121656","5"
"Too Expensive","1989","no migration background","East Germany","","","","","5"
"Too Expensive","1989","direct migration background","West Germany","3","","","","5"
"Too Expensive","1989","direct migration background","East Germany","","","","","5"
"Too Expensive","1989","indirect migration background","West Germany","","","","","5"
"Too Expensive","1989","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","1989","no migration background","West Germany","741","0.211753756445072","0.198348282135336","0.225159230754808","1"
"Very Inexpensive","1989","no migration background","East Germany","","","","","1"
"Very Inexpensive","1989","direct migration background","West Germany","60","0.222926734720064","0.179752361230399","0.26610110820973","1"
"Very Inexpensive","1989","direct migration background","East Germany","","","","","1"
"Very Inexpensive","1989","indirect migration background","West Germany","8","","","","1"
"Very Inexpensive","1989","indirect migration background","East Germany","","","","","1"
"Inexpensive","1990","no migration background","West Germany","1281","0.375378440631301","0.359264970100889","0.391491911161714","2"
"Inexpensive","1990","no migration background","East Germany","","","","","2"
"Inexpensive","1990","direct migration background","West Germany","141","0.321383940308858","0.275094293784363","0.367673586833354","2"
"Inexpensive","1990","direct migration background","East Germany","","","","","2"
"Inexpensive","1990","indirect migration background","West Germany","20","","","","2"
"Inexpensive","1990","indirect migration background","East Germany","","","","","2"
"Reasonable","1990","no migration background","West Germany","1219","0.349004570103534","0.333142843209841","0.364866296997226","3"
"Reasonable","1990","no migration background","East Germany","","","","","3"
"Reasonable","1990","direct migration background","West Germany","144","0.332042627823025","0.285362610645214","0.378722645000837","3"
"Reasonable","1990","direct migration background","East Germany","","","","","3"
"Reasonable","1990","indirect migration background","West Germany","23","","","","3"
"Reasonable","1990","indirect migration background","East Germany","","","","","3"
"Slightly Expensive","1990","no migration background","East Germany","","","","","4"
"Slightly Expensive","1990","no migration background","West Germany","221","0.0613780526923755","0.0533907922392618","0.0693653131454892","4"
"Slightly Expensive","1990","direct migration background","West Germany","35","0.0797182698504251","0.052871066969262","0.106565472731588","4"
"Slightly Expensive","1990","direct migration background","East Germany","","","","","4"
"Slightly Expensive","1990","indirect migration background","West Germany","1","","","","4"
"Slightly Expensive","1990","indirect migration background","East Germany","","","","","4"
"Too Expensive","1990","no migration background","West Germany","37","0.00943127996749499","0.00621485396410233","0.0126477059708877","5"
"Too Expensive","1990","no migration background","East Germany","","","","","5"
"Too Expensive","1990","direct migration background","West Germany","5","","","","5"
"Too Expensive","1990","direct migration background","East Germany","","","","","5"
"Too Expensive","1990","indirect migration background","West Germany","","","","","5"
"Too Expensive","1990","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","1990","no migration background","West Germany","711","0.204807656605295","0.191378302353588","0.218237010857001","1"
"Very Inexpensive","1990","no migration background","East Germany","","","","","1"
"Very Inexpensive","1990","direct migration background","West Germany","66","0.260898519192676","0.217372639672783","0.304424398712569","1"
"Very Inexpensive","1990","direct migration background","East Germany","","","","","1"
"Very Inexpensive","1990","indirect migration background","West Germany","8","","","","1"
"Very Inexpensive","1990","indirect migration background","East Germany","","","","","1"
"Inexpensive","1991","no migration background","West Germany","1209","0.353368321052742","0.337333702692256","0.369402939413228","2"
"Inexpensive","1991","no migration background","East Germany","258","0.208554058681279","0.18670317502317","0.230404942339388","2"
"Inexpensive","1991","direct migration background","West Germany","139","0.38853401626455","0.341468789263432","0.435599243265668","2"
"Inexpensive","1991","direct migration background","East Germany","","","","","2"
"Inexpensive","1991","indirect migration background","West Germany","19","","","","2"
"Inexpensive","1991","indirect migration background","East Germany","","","","","2"
"Reasonable","1991","no migration background","West Germany","1341","0.392578026758243","0.376197624009345","0.408958429507142","3"
"Reasonable","1991","no migration background","East Germany","362","0.300335587794769","0.275681022819949","0.324990152769588","3"
"Reasonable","1991","direct migration background","West Germany","155","0.325772758711036","0.280518441824536","0.371027075597536","3"
"Reasonable","1991","indirect migration background","West Germany","28","","","","3"
"Reasonable","1991","direct migration background","East Germany","16","","","","3"
"Reasonable","1991","indirect migration background","East Germany","","","","","3"
"Slightly Expensive","1991","no migration background","West Germany","194","0.0580554070522652","0.0502111765195104","0.0658996375850201","4"
"Slightly Expensive","1991","no migration background","East Germany","409","0.281230991979529","0.257049933112531","0.305412050846527","4"
"Slightly Expensive","1991","direct migration background","West Germany","35","0.0813363477632659","0.0549414439658863","0.107731251560645","4"
"Slightly Expensive","1991","indirect migration background","West Germany","4","","","","4"
"Slightly Expensive","1991","direct migration background","East Germany","12","","","","4"
"Slightly Expensive","1991","indirect migration background","East Germany","","","","","4"
"Too Expensive","1991","no migration background","West Germany","51","0.0169887485410482","0.0126538766115473","0.021323620470549","5"
"Too Expensive","1991","no migration background","East Germany","275","0.187144624223265","0.166167576180972","0.208121672265558","5"
"Too Expensive","1991","direct migration background","West Germany","17","","","","5"
"Too Expensive","1991","direct migration background","East Germany","8","","","","5"
"Too Expensive","1991","indirect migration background","West Germany","2","","","","5"
"Too Expensive","1991","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","1991","no migration background","West Germany","619","0.179009496595701","0.166150015775424","0.191868977415978","1"
"Very Inexpensive","1991","no migration background","East Germany","24","","","","1"
"Very Inexpensive","1991","direct migration background","West Germany","66","0.182913783695613","0.145583899564772","0.220243667826453","1"
"Very Inexpensive","1991","direct migration background","East Germany","","","","","1"
"Very Inexpensive","1991","indirect migration background","West Germany","7","","","","1"
"Very Inexpensive","1991","indirect migration background","East Germany","","","","","1"
"Inexpensive","1992","no migration background","West Germany","1165","0.35232974909028","0.335989288962738","0.368670209217823","2"
"Inexpensive","1992","no migration background","East Germany","296","0.247506466267459","0.223427647821536","0.271585284713382","2"
"Inexpensive","1992","direct migration background","West Germany","135","0.326606401666639","0.28293540877165","0.370277394561629","2"
"Inexpensive","1992","direct migration background","East Germany","5","","","","2"
"Inexpensive","1992","indirect migration background","East Germany","","","","","2"
"Inexpensive","1992","indirect migration background","West Germany","20","","","","2"
"Reasonable","1992","no migration background","West Germany","1297","0.394118056554539","0.377402539275219","0.410833573833859","3"
"Reasonable","1992","no migration background","East Germany","524","0.437279980273065","0.409603141002406","0.464956819543724","3"
"Reasonable","1992","direct migration background","West Germany","181","0.379876689438399","0.334680004809056","0.425073374067743","3"
"Reasonable","1992","direct migration background","East Germany","17","","","","3"
"Reasonable","1992","indirect migration background","West Germany","32","0.365851910963113","0.256842129930556","0.474861691995669","3"
"Reasonable","1992","indirect migration background","East Germany","1","","","","3"
"Slightly Expensive","1992","no migration background","West Germany","182","0.0498886342723636","0.0424413022916821","0.0573359662530451","4"
"Slightly Expensive","1992","no migration background","East Germany","261","0.20195937638576","0.179560046733756","0.224358706037763","4"
"Slightly Expensive","1992","direct migration background","West Germany","56","0.0889077623194997","0.0624046277870446","0.115410896851955","4"
"Slightly Expensive","1992","direct migration background","East Germany","10","","","","4"
"Slightly Expensive","1992","indirect migration background","West Germany","7","","","","4"
"Slightly Expensive","1992","indirect migration background","East Germany","","","","","4"
"Too Expensive","1992","no migration background","West Germany","54","0.017861593475762","0.0133309582505912","0.0223922287009329","5"
"Too Expensive","1992","no migration background","East Germany","96","0.0725868281099132","0.0581105789101355","0.0870630773096909","5"
"Too Expensive","1992","direct migration background","West Germany","5","","","","5"
"Too Expensive","1992","direct migration background","East Germany","4","","","","5"
"Too Expensive","1992","indirect migration background","West Germany","","","","","5"
"Too Expensive","1992","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","1992","no migration background","West Germany","585","0.185801966607055","0.172497335809972","0.199106597404138","1"
"Very Inexpensive","1992","no migration background","East Germany","57","0.0406673489638032","0.0296469312700912","0.0516877666575153","1"
"Very Inexpensive","1992","direct migration background","West Germany","66","0.192775087237864","0.156041024749174","0.229509149726553","1"
"Very Inexpensive","1992","direct migration background","East Germany","","","","","1"
"Very Inexpensive","1992","indirect migration background","East Germany","","","","","1"
"Very Inexpensive","1992","indirect migration background","West Germany","16","","","","1"
"Inexpensive","1993","no migration background","West Germany","1169","0.360422629741197","0.343903266211563","0.376941993270831","2"
"Inexpensive","1993","no migration background","East Germany","357","0.302876399650803","0.276975040707491","0.328777758594114","2"
"Inexpensive","1993","direct migration background","West Germany","143","0.317913467302561","0.274550356711483","0.36127657789364","2"
"Inexpensive","1993","direct migration background","East Germany","8","","","","2"
"Inexpensive","1993","indirect migration background","East Germany","","","","","2"
"Inexpensive","1993","indirect migration background","West Germany","22","","","","2"
"Reasonable","1993","no migration background","West Germany","1253","0.383430381800968","0.366701186091184","0.400159577510752","3"
"Reasonable","1993","no migration background","East Germany","565","0.463287437805376","0.435179364146462","0.49139551146429","3"
"Reasonable","1993","direct migration background","West Germany","199","0.459708315365966","0.413299386011187","0.506117244720744","3"
"Reasonable","1993","direct migration background","East Germany","19","","","","3"
"Reasonable","1993","indirect migration background","West Germany","46","0.539797288222459","0.436825851518303","0.642768724926615","3"
"Reasonable","1993","indirect migration background","East Germany","1","","","","3"
"Slightly Expensive","1993","no migration background","West Germany","164","0.0498392444205491","0.0423519483001595","0.0573265405409387","4"
"Slightly Expensive","1993","no migration background","East Germany","158","0.127970315605775","0.109140104214436","0.146800526997114","4"
"Slightly Expensive","1993","direct migration background","East Germany","5","","","","4"
"Slightly Expensive","1993","direct migration background","West Germany","35","0.0580534799063297","0.036277711959852","0.0798292478528075","4"
"Slightly Expensive","1993","indirect migration background","West Germany","7","","","","4"
"Slightly Expensive","1993","indirect migration background","East Germany","1","","","","4"
"Too Expensive","1993","no migration background","West Germany","47","0.0174121625796874","0.0129117452403348","0.0219125799190399","5"
"Too Expensive","1993","no migration background","East Germany","51","0.0422427677068371","0.0309047052979918","0.0535808301156825","5"
"Too Expensive","1993","direct migration background","West Germany","10","","","","5"
"Too Expensive","1993","direct migration background","East Germany","","","","","5"
"Too Expensive","1993","indirect migration background","West Germany","1","","","","5"
"Too Expensive","1993","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","1993","no migration background","West Germany","612","0.188895581457598","0.175427987202443","0.202363175712753","1"
"Very Inexpensive","1993","no migration background","East Germany","78","0.0636230792312093","0.0498646886847668","0.0773814697776519","1"
"Very Inexpensive","1993","direct migration background","West Germany","56","0.147698392147096","0.114659097611599","0.180737686682593","1"
"Very Inexpensive","1993","direct migration background","East Germany","2","","","","1"
"Very Inexpensive","1993","indirect migration background","East Germany","1","","","","1"
"Very Inexpensive","1993","indirect migration background","West Germany","14","","","","1"
"Inexpensive","1994","no migration background","West Germany","1068","0.329470498722855","0.313273738225492","0.345667259220218","2"
"Inexpensive","1994","no migration background","East Germany","361","0.304562049195844","0.278873851249507","0.33025024714218","2"
"Inexpensive","1994","direct migration background","West Germany","130","0.284629131699544","0.241678410363341","0.327579853035747","2"
"Inexpensive","1994","direct migration background","East Germany","12","","","","2"
"Inexpensive","1994","indirect migration background","West Germany","34","0.317300331641679","0.22005766408162","0.414542999201738","2"
"Inexpensive","1994","indirect migration background","East Germany","","","","","2"
"Reasonable","1994","no migration background","West Germany","1348","0.408385148327286","0.39144701869489","0.425323277959683","3"
"Reasonable","1994","no migration background","East Germany","571","0.468410473725105","0.44055772512504","0.49626322232517","3"
"Reasonable","1994","direct migration background","West Germany","175","0.429318187287112","0.382203987173005","0.476432387401218","3"
"Reasonable","1994","direct migration background","East Germany","17","","","","3"
"Reasonable","1994","indirect migration background","West Germany","34","0.391158238564646","0.289196974098919","0.493119503030373","3"
"Reasonable","1994","indirect migration background","East Germany","2","","","","3"
"Slightly Expensive","1994","no migration background","West Germany","177","0.0565539748884981","0.048594195238105","0.0645137545388911","4"
"Slightly Expensive","1994","no migration background","East Germany","183","0.128387169683993","0.10971524132376","0.147059098044227","4"
"Slightly Expensive","1994","direct migration background","East Germany","3","","","","4"
"Slightly Expensive","1994","direct migration background","West Germany","33","0.0485341345746818","0.0280797972513274","0.0689884718980361","4"
"Slightly Expensive","1994","indirect migration background","West Germany","5","","","","4"
"Slightly Expensive","1994","indirect migration background","East Germany","1","","","","4"
"Too Expensive","1994","no migration background","East Germany","43","0.0330745619832437","0.0230927336563072","0.0430563903101803","5"
"Too Expensive","1994","no migration background","West Germany","36","0.0122210622821056","0.00843493414580864","0.0160071904184026","5"
"Too Expensive","1994","direct migration background","West Germany","11","","","","5"
"Too Expensive","1994","direct migration background","East Germany","","","","","5"
"Too Expensive","1994","indirect migration background","West Germany","3","","","","5"
"Too Expensive","1994","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","1994","no migration background","West Germany","606","0.193369315779255","0.179759818031927","0.206978813526582","1"
"Very Inexpensive","1994","no migration background","East Germany","75","0.0655657454118145","0.0517498375114207","0.0793816533122083","1"
"Very Inexpensive","1994","direct migration background","West Germany","75","0.211803307870653","0.172912332437619","0.250694283303687","1"
"Very Inexpensive","1994","direct migration background","East Germany","5","","","","1"
"Very Inexpensive","1994","indirect migration background","West Germany","12","","","","1"
"Very Inexpensive","1994","indirect migration background","East Germany","1","","","","1"
"Inexpensive","1995","no migration background","West Germany","1107","0.340140244636623","0.323907338620126","0.35637315065312","2"
"Inexpensive","1995","no migration background","East Germany","397","0.351461471101054","0.324909666375443","0.378013275826665","2"
"Inexpensive","1995","direct migration background","West Germany","146","0.313048573992319","0.271301330996467","0.354795816988172","2"
"Inexpensive","1995","indirect migration background","West Germany","27","","","","2"
"Inexpensive","1995","direct migration background","East Germany","18","","","","2"
"Inexpensive","1995","indirect migration background","East Germany","1","","","","2"
"Reasonable","1995","no migration background","West Germany","1315","0.397982446334367","0.381210711809888","0.414754180858847","3"
"Reasonable","1995","no migration background","East Germany","589","0.443440381117249","0.415811661507048","0.471069100727449","3"
"Reasonable","1995","direct migration background","West Germany","189","0.349679466672461","0.306749779965562","0.392609153379361","3"
"Reasonable","1995","direct migration background","East Germany","18","","","","3"
"Reasonable","1995","indirect migration background","West Germany","39","0.265679636080143","0.177323972200789","0.354035299959498","3"
"Reasonable","1995","indirect migration background","East Germany","3","","","","3"
"Slightly Expensive","1995","no migration background","West Germany","232","0.0692498158036951","0.06055085607672","0.0779487755306702","4"
"Slightly Expensive","1995","no migration background","East Germany","149","0.11706775264461","0.0991876658287858","0.134947839460434","4"
"Slightly Expensive","1995","direct migration background","West Germany","53","0.0974923647570411","0.0707887739236593","0.124195955590423","4"
"Slightly Expensive","1995","direct migration background","East Germany","1","","","","4"
"Slightly Expensive","1995","indirect migration background","West Germany","10","","","","4"
"Slightly Expensive","1995","indirect migration background","East Germany","","","","","4"
"Too Expensive","1995","no migration background","East Germany","21","","","","5"
"Too Expensive","1995","no migration background","West Germany","40","0.0136374307438691","0.00966344765957735","0.0176114138281609","5"
"Too Expensive","1995","direct migration background","West Germany","8","","","","5"
"Too Expensive","1995","direct migration background","East Germany","","","","","5"
"Too Expensive","1995","indirect migration background","West Germany","2","","","","5"
"Too Expensive","1995","indirect migration background","East Germany","","","","","5"
"Very Inexpensive","1995","no migration background","West Germany","578","0.178990062481446","0.165855061478854","0.192125063484037","1"
"Very Inexpensive","1995","no migration background","East Germany","86","0.069066372602509","0.0549643964516722","0.0831683487533459","1"
"Very Inexpensive","1995","direct migration background","West Germany","78","0.226296363810413","0.188627282638965","0.263965444981861","1"
"Very Inexpensive","1995","direct migration background","East Germany","1","","","","1"
"Very Inexpensive","1995","indirect migration background","West Germany","18","","","","1"
"Very Inexpensive","1995","indirect migration background","East Germany","1","","","","1"
"Inexpensive","1996","no migration background","West Germany","1119","0.336449048238701","0.320266786210653","0.352631310266749","2"
