"hlf0071_h","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Just right","1987","middle vocational","Rural Area","76","0.775068068646054","0.692819950036623","0.857316187255485","3"
"Just right","1987","vocational + Abi","Urban Area","25","","","","3"
"Just right","1987","vocational + Abi","Rural Area","3","","","","3"
"Just right","1987","higher vocational","Urban Area","31","0.837747766685587","0.720525996957365","0.954969536413809","3"
"Much too big","1987","in school","Urban Area","1","","","","5"
"Much too big","1987","in school","Rural Area","","","","","5"
"Much too big","1987","inadequately","Urban Area","","","","","5"
"Much too big","1987","inadequately","Rural Area","","","","","5"
"Much too big","1987","general elemantary","Urban Area","2","","","","5"
"Much too big","1987","general elemantary","Rural Area","","","","","5"
"Much too big","1987","middle vocational","Urban Area","2","","","","5"
"Much too big","1987","middle vocational","Rural Area","","","","","5"
"Much too big","1987","vocational + Abi","Urban Area","1","","","","5"
"Much too big","1987","vocational + Abi","Rural Area","","","","","5"
"Much too big","1987","higher vocational","Urban Area","","","","","5"
"Much too big","1987","higher vocational","Rural Area","","","","","5"
"Much too big","1987","higher education","Urban Area","1","","","","5"
"Much too big","1987","higher education","Rural Area","","","","","5"
"Much too small","1987","in school","Urban Area","","","","","1"
"Much too small","1987","in school","Rural Area","","","","","1"
"Much too small","1987","inadequately","Urban Area","11","","","","1"
"Much too small","1987","inadequately","Rural Area","1","","","","1"
"Much too small","1987","general elemantary","Urban Area","6","","","","1"
"Much too small","1987","general elemantary","Rural Area","7","","","","1"
"Much too small","1987","middle vocational","Urban Area","7","","","","1"
"Much too small","1987","middle vocational","Rural Area","1","","","","1"
"Much too small","1987","vocational + Abi","Urban Area","2","","","","1"
"Much too small","1987","vocational + Abi","Rural Area","1","","","","1"
"Much too small","1987","higher vocational","Urban Area","1","","","","1"
"Much too small","1987","higher vocational","Rural Area","","","","","1"
"Much too small","1987","higher education","Urban Area","4","","","","1"
"Much too small","1987","higher education","Rural Area","","","","","1"
"A little too big","1988","vocational + Abi","Rural Area","","","","","4"
"A little too big","1988","in school","Urban Area","","","","","4"
"A little too big","1988","in school","Rural Area","1","","","","4"
"A little too big","1988","inadequately","Urban Area","1","","","","4"
"A little too big","1988","inadequately","Rural Area","","","","","4"
"A little too big","1988","general elemantary","Urban Area","8","","","","4"
"A little too big","1988","general elemantary","Rural Area","5","","","","4"
"A little too big","1988","middle vocational","Urban Area","21","","","","4"
"A little too big","1988","middle vocational","Rural Area","6","","","","4"
"A little too big","1988","vocational + Abi","Urban Area","1","","","","4"
"A little too big","1988","higher vocational","Urban Area","1","","","","4"
"A little too big","1988","higher vocational","Rural Area","1","","","","4"
"A little too big","1988","higher education","Urban Area","9","","","","4"
"A little too big","1988","higher education","Rural Area","1","","","","4"
"A little too small","1988","in school","Urban Area","3","","","","2"
"A little too small","1988","in school","Rural Area","","","","","2"
"A little too small","1988","inadequately","Urban Area","20","","","","2"
"A little too small","1988","inadequately","Rural Area","","","","","2"
"A little too small","1988","general elemantary","Urban Area","38","0.221558336522309","0.164002393088636","0.279114279955982","2"
"A little too small","1988","general elemantary","Rural Area","4","","","","2"
"A little too small","1988","middle vocational","Urban Area","57","0.152346655992822","0.116635912426085","0.188057399559558","2"
"A little too small","1988","middle vocational","Rural Area","10","","","","2"
"A little too small","1988","vocational + Abi","Urban Area","7","","","","2"
"A little too small","1988","vocational + Abi","Rural Area","1","","","","2"
"A little too small","1988","higher vocational","Urban Area","11","","","","2"
"A little too small","1988","higher vocational","Rural Area","","","","","2"
"A little too small","1988","higher education","Urban Area","16","","","","2"
"A little too small","1988","higher education","Rural Area","","","","","2"
"Just right","1988","in school","Urban Area","7","","","","3"
"Just right","1988","in school","Rural Area","","","","","3"
"Just right","1988","inadequately","Urban Area","48","0.681185413219164","0.575717774987415","0.786653051450912","3"
"Just right","1988","inadequately","Rural Area","10","","","","3"
"Just right","1988","general elemantary","Urban Area","140","0.703948662552968","0.64068022623879","0.767217098867146","3"
"Just right","1988","general elemantary","Rural Area","50","0.866416566032853","0.780334607138289","0.952498524927418","3"
"Just right","1988","middle vocational","Urban Area","300","0.761559231464427","0.719212939228377","0.803905523700476","3"
"Just right","1988","middle vocational","Rural Area","59","0.77096064376055","0.677705681395502","0.864215606125598","3"
"Just right","1988","vocational + Abi","Urban Area","19","","","","3"
"Just right","1988","vocational + Abi","Rural Area","3","","","","3"
"Just right","1988","higher vocational","Urban Area","38","0.730216283392128","0.60840244553733","0.852030121246925","3"
"Just right","1988","higher vocational","Rural Area","11","","","","3"
"Just right","1988","higher education","Urban Area","47","0.600121675075608","0.487746534126942","0.712496816024274","3"
"Just right","1988","higher education","Rural Area","6","","","","3"
"Much too big","1988","vocational + Abi","Rural Area","","","","","5"
"Much too big","1988","higher vocational","Urban Area","","","","","5"
"Much too big","1988","higher vocational","Rural Area","","","","","5"
"Much too big","1988","higher education","Urban Area","","","","","5"
"Much too big","1988","in school","Urban Area","","","","","5"
"Much too big","1988","in school","Rural Area","","","","","5"
"Much too big","1988","inadequately","Urban Area","","","","","5"
"Much too big","1988","inadequately","Rural Area","","","","","5"
"Much too big","1988","higher education","Rural Area","","","","","5"
"Much too big","1988","general elemantary","Urban Area","","","","","5"
"Much too big","1988","general elemantary","Rural Area","1","","","","5"
"Much too big","1988","middle vocational","Urban Area","","","","","5"
"Much too big","1988","middle vocational","Rural Area","2","","","","5"
"Much too big","1988","vocational + Abi","Urban Area","","","","","5"
"Much too small","1988","in school","Urban Area","","","","","1"
"Much too small","1988","in school","Rural Area","","","","","1"
"Much too small","1988","inadequately","Urban Area","6","","","","1"
"Much too small","1988","inadequately","Rural Area","","","","","1"
"Much too small","1988","general elemantary","Urban Area","14","","","","1"
"Much too small","1988","general elemantary","Rural Area","","","","","1"
"Much too small","1988","middle vocational","Urban Area","11","","","","1"
"Much too small","1988","middle vocational","Rural Area","1","","","","1"
"Much too small","1988","vocational + Abi","Urban Area","2","","","","1"
"Much too small","1988","vocational + Abi","Rural Area","","","","","1"
"Much too small","1988","higher vocational","Urban Area","1","","","","1"
"Much too small","1988","higher vocational","Rural Area","","","","","1"
"Much too small","1988","higher education","Urban Area","1","","","","1"
"Much too small","1988","higher education","Rural Area","","","","","1"
"A little too big","1989","in school","Urban Area","","","","","4"
"A little too big","1989","in school","Rural Area","","","","","4"
"A little too big","1989","inadequately","Urban Area","1","","","","4"
"A little too big","1989","inadequately","Rural Area","2","","","","4"
"A little too big","1989","general elemantary","Urban Area","6","","","","4"
"A little too big","1989","general elemantary","Rural Area","4","","","","4"
"A little too big","1989","middle vocational","Urban Area","18","","","","4"
"A little too big","1989","middle vocational","Rural Area","6","","","","4"
"A little too big","1989","vocational + Abi","Urban Area","6","","","","4"
"A little too big","1989","vocational + Abi","Rural Area","","","","","4"
"A little too big","1989","higher vocational","Urban Area","3","","","","4"
"A little too big","1989","higher vocational","Rural Area","2","","","","4"
"A little too big","1989","higher education","Urban Area","10","","","","4"
"A little too big","1989","higher education","Rural Area","2","","","","4"
"A little too small","1989","in school","Urban Area","2","","","","2"
"A little too small","1989","in school","Rural Area","","","","","2"
"A little too small","1989","inadequately","Urban Area","17","","","","2"
"A little too small","1989","inadequately","Rural Area","4","","","","2"
"A little too small","1989","general elemantary","Urban Area","36","0.104702530350787","0.060221517856457","0.149183542845117","2"
"A little too small","1989","general elemantary","Rural Area","6","","","","2"
"A little too small","1989","middle vocational","Urban Area","50","0.139082269815842","0.103871311345179","0.174293228286506","2"
"A little too small","1989","middle vocational","Rural Area","13","","","","2"
"A little too small","1989","vocational + Abi","Urban Area","7","","","","2"
"A little too small","1989","vocational + Abi","Rural Area","1","","","","2"
"A little too small","1989","higher vocational","Urban Area","4","","","","2"
"A little too small","1989","higher vocational","Rural Area","1","","","","2"
"A little too small","1989","higher education","Urban Area","19","","","","2"
"A little too small","1989","higher education","Rural Area","1","","","","2"
"Just right","1989","in school","Urban Area","9","","","","3"
"Just right","1989","in school","Rural Area","1","","","","3"
"Just right","1989","inadequately","Urban Area","21","","","","3"
"Just right","1989","inadequately","Rural Area","9","","","","3"
"Just right","1989","general elemantary","Urban Area","132","0.767747266884714","0.706399048729337","0.829095485040091","3"
"Just right","1989","general elemantary","Rural Area","30","0.735532663008626","0.600529741951884","0.870535584065367","3"
"Just right","1989","middle vocational","Urban Area","287","0.776429044367894","0.73403354898551","0.818824539750278","3"
"Just right","1989","middle vocational","Rural Area","76","0.799328121697758","0.720034024785916","0.8786222186096","3"
"Just right","1989","vocational + Abi","Urban Area","26","","","","3"
"Just right","1989","vocational + Abi","Rural Area","1","","","","3"
"Just right","1989","higher vocational","Urban Area","30","0.856421052088223","0.743432022291897","0.969410081884549","3"
"Just right","1989","higher vocational","Rural Area","9","","","","3"
"Just right","1989","higher education","Urban Area","40","0.568909972175652","0.456076489612523","0.681743454738782","3"
"Just right","1989","higher education","Rural Area","7","","","","3"
"Much too big","1989","in school","Urban Area","","","","","5"
"Much too big","1989","in school","Rural Area","","","","","5"
"Much too big","1989","inadequately","Urban Area","","","","","5"
"Much too big","1989","inadequately","Rural Area","","","","","5"
"Much too big","1989","general elemantary","Urban Area","2","","","","5"
"Much too big","1989","general elemantary","Rural Area","","","","","5"
"Much too big","1989","middle vocational","Urban Area","2","","","","5"
"Much too big","1989","middle vocational","Rural Area","","","","","5"
"Much too big","1989","vocational + Abi","Urban Area","1","","","","5"
"Much too big","1989","vocational + Abi","Rural Area","","","","","5"
"Much too big","1989","higher vocational","Urban Area","","","","","5"
"Much too big","1989","higher vocational","Rural Area","","","","","5"
"Much too big","1989","higher education","Urban Area","","","","","5"
"Much too big","1989","higher education","Rural Area","","","","","5"
"Much too small","1989","in school","Urban Area","","","","","1"
"Much too small","1989","in school","Rural Area","","","","","1"
"Much too small","1989","inadequately","Urban Area","7","","","","1"
"Much too small","1989","inadequately","Rural Area","","","","","1"
"Much too small","1989","general elemantary","Urban Area","6","","","","1"
"Much too small","1989","general elemantary","Rural Area","1","","","","1"
"Much too small","1989","middle vocational","Urban Area","14","","","","1"
"Much too small","1989","middle vocational","Rural Area","3","","","","1"
"Much too small","1989","vocational + Abi","Urban Area","2","","","","1"
"Much too small","1989","vocational + Abi","Rural Area","","","","","1"
"Much too small","1989","higher vocational","Urban Area","","","","","1"
"Much too small","1989","higher vocational","Rural Area","","","","","1"
"Much too small","1989","higher education","Urban Area","5","","","","1"
"Much too small","1989","higher education","Rural Area","1","","","","1"
"A little too big","1990","in school","Urban Area","1","","","","4"
"A little too big","1990","in school","Rural Area","1","","","","4"
"A little too big","1990","inadequately","Urban Area","1","","","","4"
"A little too big","1990","inadequately","Rural Area","1","","","","4"
"A little too big","1990","general elemantary","Urban Area","13","","","","4"
"A little too big","1990","general elemantary","Rural Area","23","","","","4"
"A little too big","1990","middle vocational","Urban Area","50","0.0412734956615792","0.0297865426413585","0.0527604486818","4"
"A little too big","1990","middle vocational","Rural Area","53","0.0394338840645377","0.0302865043140029","0.0485812638150726","4"
"A little too big","1990","vocational + Abi","Urban Area","1","","","","4"
"A little too big","1990","vocational + Abi","Rural Area","1","","","","4"
"A little too big","1990","higher vocational","Urban Area","7","","","","4"
"A little too big","1990","higher vocational","Rural Area","4","","","","4"
"A little too big","1990","higher education","Urban Area","26","","","","4"
"A little too big","1990","higher education","Rural Area","21","","","","4"
"A little too small","1990","in school","Urban Area","1","","","","2"
"A little too small","1990","in school","Rural Area","8","","","","2"
"A little too small","1990","inadequately","Urban Area","5","","","","2"
"A little too small","1990","inadequately","Rural Area","3","","","","2"
"A little too small","1990","general elemantary","Urban Area","46","0.138722122220612","0.0997378772150326","0.177706367226191","2"
"A little too small","1990","general elemantary","Rural Area","67","0.157191643346875","0.121297078981077","0.193086207712673","2"
"A little too small","1990","middle vocational","Urban Area","247","0.206058144395311","0.182701465359516","0.229414823431105","2"
"A little too small","1990","middle vocational","Rural Area","414","0.219272980882219","0.199826524891962","0.238719436872476","2"
"A little too small","1990","vocational + Abi","Urban Area","16","","","","2"
"A little too small","1990","vocational + Abi","Rural Area","17","","","","2"
"A little too small","1990","higher vocational","Urban Area","24","","","","2"
"A little too small","1990","higher vocational","Rural Area","37","0.161673486477072","0.108623139393039","0.214723833561106","2"
"A little too small","1990","higher education","Urban Area","140","0.261352615908226","0.222289942364931","0.300415289451522","2"
"A little too small","1990","higher education","Rural Area","167","0.267392346130854","0.231587711022639","0.303196981239069","2"
"Just right","1990","in school","Urban Area","12","","","","3"
"Just right","1990","in school","Rural Area","14","","","","3"
"Just right","1990","inadequately","Urban Area","37","0.604785955142162","0.467897417360455","0.741674492923869","3"
"Just right","1990","inadequately","Rural Area","20","","","","3"
"Just right","1990","general elemantary","Urban Area","216","0.732552816246169","0.682631835920229","0.782473796572109","3"
"Just right","1990","general elemantary","Rural Area","272","0.703516866744391","0.65847806827127","0.748555665217512","3"
"Just right","1990","middle vocational","Urban Area","758","0.671386943177966","0.644263132482618","0.698510753873315","3"
"Just right","1990","middle vocational","Rural Area","1099","0.649688562184451","0.62726637007211","0.672110754296792","3"
"Just right","1990","vocational + Abi","Urban Area","50","0.660675544576919","0.553518887808231","0.767832201345607","3"
"Just right","1990","vocational + Abi","Rural Area","28","","","","3"
"Just right","1990","higher vocational","Urban Area","87","0.750995514943653","0.674573621825665","0.82741740806164","3"
"Just right","1990","higher vocational","Rural Area","132","0.758455984897007","0.696778655777628","0.820133314016387","3"
"Just right","1990","higher education","Urban Area","292","0.622448408734754","0.579349151128398","0.665547666341111","3"
"Just right","1990","higher education","Rural Area","362","0.625964447371166","0.586820887789025","0.665108006953306","3"
"Much too big","1990","in school","Urban Area","","","","","5"
"Much too big","1990","in school","Rural Area","","","","","5"
"Much too big","1990","inadequately","Urban Area","","","","","5"
"Much too big","1990","inadequately","Rural Area","","","","","5"
"Much too big","1990","general elemantary","Urban Area","4","","","","5"
"Much too big","1990","general elemantary","Rural Area","4","","","","5"
"Much too big","1990","middle vocational","Urban Area","5","","","","5"
"Much too big","1990","higher vocational","Rural Area","3","","","","5"
"Much too big","1990","higher education","Urban Area","1","","","","5"
"Much too big","1990","higher education","Rural Area","3","","","","5"
"Much too big","1990","middle vocational","Rural Area","15","","","","5"
"Much too big","1990","vocational + Abi","Urban Area","","","","","5"
"Much too big","1990","vocational + Abi","Rural Area","","","","","5"
"Much too big","1990","higher vocational","Urban Area","1","","","","5"
"Much too small","1990","in school","Urban Area","1","","","","1"
"Much too small","1990","in school","Rural Area","2","","","","1"
"Much too small","1990","inadequately","Urban Area","6","","","","1"
"Much too small","1990","inadequately","Rural Area","1","","","","1"
"Much too small","1990","general elemantary","Urban Area","23","","","","1"
"Much too small","1990","general elemantary","Rural Area","29","","","","1"
"Much too small","1990","middle vocational","Urban Area","92","0.0777351917170398","0.0622734466960543","0.0931969367380253","1"
"Much too small","1990","middle vocational","Rural Area","158","0.0825553875770037","0.0696205512498394","0.0954902239041679","1"
"Much too small","1990","vocational + Abi","Urban Area","8","","","","1"
"Much too small","1990","vocational + Abi","Rural Area","2","","","","1"
"Much too small","1990","higher vocational","Urban Area","4","","","","1"
"Much too small","1990","higher vocational","Rural Area","9","","","","1"
"Much too small","1990","higher education","Urban Area","27","","","","1"
"Much too small","1990","higher education","Rural Area","34","0.0514839509528211","0.0336072524299336","0.0693606494757085","1"
"A little too big","1991","in school","Urban Area","3","","","","4"
"A little too big","1991","in school","Rural Area","2","","","","4"
"A little too big","1991","inadequately","Urban Area","4","","","","4"
"A little too big","1991","inadequately","Rural Area","6","","","","4"
"A little too big","1991","general elemantary","Urban Area","84","0.0580494096428986","0.04775221746166","0.0683466018241372","4"
"A little too big","1991","general elemantary","Rural Area","50","0.0754645675211555","0.0574839687736857","0.0934451662686252","4"
"A little too big","1991","middle vocational","Urban Area","223","0.0607739332923577","0.0535766649067166","0.0679712016779988","4"
