variable,type,label_de,study,dataset,version,meantable,probtable,template_id,label,concept,description,description_de,minedition,topic,rawdata,documentation_link,documentation_link_html,documentation_paper,documentation_paper_html
erwst,float,Employment status,soep-core,p_data,v36,No,Yes,,,,"This variable is generated from the annual question on current employment status, which has a central filter function in the questionnaire to separate employed people from non-employed people for further questions. It is designed to provide consistent longitudinal data on employment status across all waves.  The category ""not employed""ù comprises non-working individuals, those in military/community service, those on maternity leave, and employed persons in a phased retirement scheme (Altersteilzeit) whose current actual working hours are zero. ",,,Work and Employment,,https://paneldata.org/soep-core/data/pgen/pgemplst,,https://www.diw.de/documents/publikationen/73/diw_01.c.830975.de/diw_ssp1047.pdf,
extr,byte,Big Five Traits: Extraversion Value,soep-core,p_data,v36,Yes,No,,,,"The Big Five personality traits is a suggested taxonomy, or grouping, for personality traits, developed from the 1980s onward in psychological trait theory. The variable extr contains the combined mean score (1-7) of the personality dimension extraversion (outgoing/energetic vs. solitary/reserved). A value of seven indicates that a respondent has received the highest posible score on this dimension.  For 2012, 2013, 2017, 2019, question not asked for all samples.",,,"Attitudes, Values, and Personality",,,,,
gebjahr,int,Birth Year,soep-core,p_data,v36,,,,,,,,,Demography,ppathl,https://paneldata.org/soep-core/data/ppathl/gebjahr,`gebjahr <https://paneldata.org/soep-core/data/ppathl/gebjahr>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830977.de/diw_ssp1048.pdf,`ppathl Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830977.de/diw_ssp1048.pdf>`_
germborn,byte,German Born,soep-core,p_data,v36,,,,,,,,,Demography,ppathl,https://paneldata.org/soep-core/data/ppathl/germborn,`germborn <https://paneldata.org/soep-core/data/ppathl/germborn>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830977.de/diw_ssp1048.pdf,`ppathl Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830977.de/diw_ssp1048.pdf>`_
hghinc,byte,Monthly household net income (EUR),soep-core,p_data,v36,Yes,No,,,,"This variable contains the current monthly net household income asked for in the household questionnaire, always provided in Euros which was introduced in January 2002 (1 Euro = 1.95583 DM). Income is reported by the respondent (head of household).",,,"Income, Taxes, and Social Security",hgen,https://paneldata.org/soep-core/data/hgen/hghinc,`hghinc <https://paneldata.org/soep-core/data/hgen/hghinc>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830961.de/diw_ssp1043.pdf,`hgen Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830961.de/diw_ssp1043.pdf>`_
hgowner,byte,Tenant or Owner of Dwelling,soep-core,p_data,v36,No,Yes,,,,"Up to Wave H, the information for HGOWNER was collected in separate questionnaires for ìoldî and first-time respondents, respectively (ìblueî and ìgreenî questionnaires). In all waves and for each household with the original value of -1 (""no answerî), codes are set to =1 and =4 if at least one owner- or tenant-specific item is given. Code 4 is also used if a change in ownership (from owner to tenant) has taken place but no original information for HGOWNER was given. Code 5 (ëresident of a home or institutional living facilityí) has only been assigned by interviewers during fieldwork since Wave P.",,,"Home, Amenities, and Contributions of Private HH",hgen,https://paneldata.org/soep-core/data/hgen/hgowner,`hgowner <https://paneldata.org/soep-core/data/hgen/hgowner>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830961.de/diw_ssp1043.pdf,`hgen Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830961.de/diw_ssp1043.pdf>`_
hgtyp1hh,byte,Household typology (1-digit),soep-core,p_data,v36,demo,demo,,,,,,,Demography,hgen,https://paneldata.org/soep-core/data/hgen/hgtyp1hh,`hgtyp1hh <https://paneldata.org/soep-core/data/hgen/hgtyp1hh>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830961.de/diw_ssp1043.pdf,`hgen Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830961.de/diw_ssp1043.pdf>`_
hid,long,Household ID,soep-core,p_data,v36,,,,,,,,,,ppathl,https://paneldata.org/soep-core/data/ppathl/hid,`hid <https://paneldata.org/soep-core/data/ppathl/hid>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830977.de/diw_ssp1048.pdf,`ppathl Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830977.de/diw_ssp1048.pdf>`_
hinceq,byte,Equivalent household income monthly,soep-core,p_data,v36,Yes,No,,,,"Equivalence income is the income that would allow each member of a household, if he or she were an adult and living alone, to have the same (equivalent) standard of living as he or she has within the household community. For this purpose, the income of the entire household is added up and then weighted on the basis of an equivalence scale. The weighting depends on the number and age of the persons in the household community. In most cases, it is calculated as net equivalent income. Equivalence income is per person income. ",,,"Income, Taxes, and Social Security",,,,,
hlf0001_h,byte,"Main Tenant, Sub-Tenant, Owner",soep-core,p_data,v36,No,Yes,,,,"The variable contains the current rent and ownership of the current living situation. The variable has changed significantly over time and had to be versioned longitudinally. For 2016, 2017, question not asked for all samples.",,,"Home, Amenities, and Contributions of Private HH",hl,https://paneldata.org/soep-core/data/hl/hlf0001_h,`hlf0001_h <https://paneldata.org/soep-core/data/hl/hlf0001_h>`_,,
hlf0019_h,byte,Total living space in sqm,soep-core,p_data,v36,Yes,No,,,,The variable contains the square meters of the current apartment (How large is the total living space in this flat?),,,"Home, Amenities, and Contributions of Private HH",hl,https://paneldata.org/soep-core/data/hl/hlf0019_h,`hlf0019_h <https://paneldata.org/soep-core/data/hl/hlf0019_h>`_,,
hlf0021_h,byte,Number of rooms in Apartment,soep-core,p_data,v36,Yes,No,,,,The variable contains the number of rooms of the current home. (And how many rooms are in the apartment?),,,"Home, Amenities, and Contributions of Private HH",hl,https://paneldata.org/soep-core/data/hl/hlf0021_h,`hlf0021_h <https://paneldata.org/soep-core/data/hl/hlf0021_h>`_,,
hlf0071_h,byte,Assessment of dwelling size,soep-core,p_data,v36,No,Yes,,,,The variable contains the personal evaluation of the living space within the home. (What do you think about the total size of your dwelling?),,,"Home, Amenities, and Contributions of Private HH",hl,https://paneldata.org/soep-core/data/hl/hlf0071_h,`hlf0071_h <https://paneldata.org/soep-core/data/hl/hlf0071_h>`_,,
hlf0094,byte,Houseing Costs vs Comparable Dwellings,soep-core,p_data,v36,No,Yes,,,,"The variable describes the respondent's evaluation of whether the current cost of the apartment matches the cost of comparable housing. For 1990, question not asked for all samples.",,,"Home, Amenities, and Contributions of Private HH",hl,https://paneldata.org/soep-core/data/hl/hlf0094,`hlf0094 <https://paneldata.org/soep-core/data/hl/hlf0094>`_,,
i11101,byte,HH Pre-Government Income,soep-core,p_data,v36,Yes,No,,,,"This variable represents the combined income before taxes and government transfers of all individuals in the household 16 years of age and olde.  This variable is the sum of total family income from labor earnings, asset flows, private retirement income and private transfers. Labor earnings include wages and salary from all employment including training, self-employment income, and bonuses, overtime, and profit-sharing. Asset flows include income from interest, dividends, and rent. Private transfers include payments from individuals outside of the household including alimony and child support payments.. For 2016-2019, question not asked for all samples.",,,"Income, Taxes, and Social Security",pequiv,https://paneldata.org/soep-core/data/pequiv/i11101,`i11101 <https://paneldata.org/soep-core/data/pequiv/i11101>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf,`pequiv Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf>`_
i11102,byte,HH Post-Government Income,soep-core,p_data,v36,Yes,No,,,,"This variable represents the combined income after taxes and government transfers in the previous year of all individuals in the household.. This variable is the sum of total family income from labor earnings, asset flows, private retirement income, private transfers, public transfers, and social security pensions minus total family taxes. Labor earnings include wages and salary from all employment including training, self-employment income, bonuses, overtime, and profit-sharing. Asset flows include income from interest, dividends, and rent. Private transfers include payments from individuals outside of the household including alimony and child sup- port payments. Public transfers include housing allowances, child benefits, subsistence assistance from the Social Welfare Authority, special circumstances benefits from the Social Welfare Authority, government student assistance, maternity benefits, unemployment benefits, unemployment assistance, and unemployment subsistence allowance. Social security pensions include payments from old age, disability, and widowhood pension schemes. The tax burdens provided here are based upon updated and modified tax calculation routines developed by Schwarze. The tax burden includes in- come taxes and payroll taxes (health, unemployment, retirement insurance and nursing home insurance taxes). These routines are described in Schwarze (1995).. For 2016-2019, question not asked for all samples.",,,"Income, Taxes, and Social Security",pequiv,https://paneldata.org/soep-core/data/pequiv/i11102,`i11102 <https://paneldata.org/soep-core/data/pequiv/i11102>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf,`pequiv Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf>`_
i11103,long,HH Labor Income,soep-core,p_data,v36,Yes,No,,,,"This variable represents the combined labor income of all individuals in the household 16 years of age and older. Labor earnings include wages and salary from all employment including training, primary and secondary jobs, and self-employment, plus income from bonuses, overtime, and profit-sharing. Specifically labor earnings is the sum of income from primary job, secondary job, self- employment, service pay, 13th month pay, 14th month pay, Christmas bonus pay, holiday bonus pay, miscellaneous bonus pay, and profit-sharing income. Since 1991 indemnity payments and commuting expenses or travel grants are also considered.. For 2016-2019, question not asked for all samples.",,,"Income, Taxes, and Social Security",pequiv,https://paneldata.org/soep-core/data/pequiv/i11103,`i11103 <https://paneldata.org/soep-core/data/pequiv/i11103>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf,`pequiv Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf>`_
i11106,byte,HH Private Transfers,soep-core,p_data,v36,Yes,No,,,,"This variable represents the combined private transfers of all individuals in the house- hold 16 years of age and older. Private transfers consists of income received from persons outside of the interviewed household. Starting in wave R an additional question identifies alimony separately (var- iable $p2o03 in SOEP file $PKAL: $ = R, S, ... ) and since 2010 advance child maintenance payment (IACHM$$) is asked separately. The bulk of transfer is likely to consist of alimony and child support payments. For 2016-2019, question not asked for all samples.",,,"Income, Taxes, and Social Security",pequiv,https://paneldata.org/soep-core/data/pequiv/i11106,`i11106 <https://paneldata.org/soep-core/data/pequiv/i11106>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf,`pequiv Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf>`_
i11107,byte,HH Public Transfers,soep-core,p_data,v36,Yes,No,,,,"This variable represents the combined public transfers of all individuals in the house- hold 16 years of age and older. Public Transfers are the sum of individual public transfers -- student grants, maternity benefits, unemployment benefits, unemployment assistance, subsistence allowance and transition pay -- over all individuals in the household, plus household benefits -- hous- ing allowances, child benefits, nursing care insurance, direct housing subsidy, subsist- ence assistance, support for special circumstances, social assistance for elderly and un- employment benefit II. In 1984 the amount of child benefits is not asked. Child benefits for this year were imputed using information on the number of children in the household and the num- ber of months the benefits were received. In 1992 through 1994 the amounts of subsistence assistance and special circumstances benefits are not asked. These values have been filled in with imputed values for total social welfare income. In 1995 through 2000 amounts of subsistence assistance and special circumstances benefits are imputed using an algorithm developed by Peter Krause (DIW) based on the benefits received in the present survey month. Since 1996 nursing care insurance benefits are included in the sum. In 1996 German law established direct housing subsidy payments. Starting in the 2000 survey a sepa- rate question was asked about income from this source. Direct housing subsidy pay- ments for respondents who bought homes between 1996 and 1999 were imputed us- ing information about the year of construction, acquisition of ownership and number of children in the household. In 2005 social assistance for elderly was asked the first time. In 2006 unemployment benefit II was asked the first time and replaced unem- ployment assistance. Since 2009 additional child benefit was asked the first time. For survey year 2010 HH-public transfers does also include 2500 Euro car scrappage scheme for households which acquired a new car in the previous year. Since 2014 child care subsidy was asked the first time in SOEP. In 2017 benefits from the educa- tional package and asylum seekers benefits were also included.. For 2016-2019, question not asked for all samples.",,,"Income, Taxes, and Social Security",pequiv,https://paneldata.org/soep-core/data/pequiv/i11107,`i11107 <https://paneldata.org/soep-core/data/pequiv/i11107>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf,`pequiv Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf>`_
m11104,byte,Frequency of Sport or Exercise,soep-core,p_data,v36,No,Yes,,,,"Indicates how often person plays sports, exercises or walks or swims. In several years the question related to this topic were not asked.. For 2017-2019, question not asked for all samples. ",,,Health and Care,pequiv,https://paneldata.org/soep-core/data/pequiv/m11104,`m11104 <https://paneldata.org/soep-core/data/pequiv/m11104>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf,`pequiv Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf>`_
m11124,byte,Disability Status of Individual,soep-core,p_data,v36,No,Yes,,,,"This variable indicates disability status at the time of the survey for all individuals in the household 16 years of age and older. Disability is here defined as a share of legally attested disability of more than 30%. In 1986, 1990 and 1993 this information was in SOEP not asked. If in the following year a legally attested disability existed then this information is assigned to the previous year. For 2016-2019, question not asked for all samples.",,,Health and Care,pequiv,https://paneldata.org/soep-core/data/pequiv/m11124,`m11124 <https://paneldata.org/soep-core/data/pequiv/m11124>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf,`pequiv Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf>`_
m11125,byte,Satisfaction with Health,soep-core,p_data,v36,No,Yes,,,,"For 2011-2012, and 2015-2018, question not asked for all samples.",,,Health and Care,pequiv,https://paneldata.org/soep-core/data/pequiv/m11125,`m11125 <https://paneldata.org/soep-core/data/pequiv/m11125>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf,`pequiv Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf>`_
m11126,byte,Current Self-Rated Health Status,soep-core,p_data,v36,No,Yes,,,,This variable indicates each persons self-rated health status.,,,Health and Care,pequiv,https://paneldata.org/soep-core/data/pequiv/m11126,`m11126 <https://paneldata.org/soep-core/data/pequiv/m11126>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf,`pequiv Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.704530.de/diw_ssp0772.pdf>`_
migback,byte,Migration background,soep-core,p_data,v36,demo,demo,,,,,,,Demography,ppathl,https://paneldata.org/soep-core/data/ppathl/migback,`migback <https://paneldata.org/soep-core/data/ppathl/migback>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830977.de/diw_ssp1048.pdf,`ppathl Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830977.de/diw_ssp1048.pdf>`_
neur,byte,Big Five Traits: Neuroticism Value,soep-core,p_data,v36,Yes,No,,,,"The Big Five personality traits is a suggested taxonomy, or grouping, for personality traits, developed from the 1980s onward in psychological trait theory. The variable neur contains the combined mean score (1-7) of the personality dimension neuroticism (sensitive/nervous vs. resilient/confident). A value of seven indicates that a respondent has received the highest posible score on this dimension.  For 2012, 2013, 2017, 2019, question not asked for all samples.",,,"Attitudes, Values, and Personality",,,,,
open,byte,Big Five Traits: Openness Value,soep-core,p_data,v36,Yes,No,,,,"The Big Five personality traits is a suggested taxonomy, or grouping, for personality traits, developed from the 1980s onward in psychological trait theory. The variable open contains the combined mean score (1-7) of the personality dimension openness to experience (inventive/curious vs. consistent/cautious). A value of seven indicates that a respondent has received the highest posible score on this dimension.  For 2012, 2013, 2017, 2019, question not asked for all samples.",,,"Attitudes, Values, and Personality",,,,,
party,float,Party affiliation,soep-core,p_data,v36,No,Yes,,,,"The variable describes the respondent's party affiliation. Since the party landscape has changed considerably, the question has also changed considerably over time and had to be harmonized  longitudinally (Which party do you lean toward?). ",,,"Attitudes, Values, and Personality",,,,,
pgcasmin,byte,CASMIN-Klassifikation,soep-core,p_data,v36,,,,,,,,,Demography,pgen,https://paneldata.org/soep-core/data/pgen/pgcasmin,`pgcasmin <https://paneldata.org/soep-core/data/pgen/pgcasmin>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830975.de/diw_ssp1047.pdf,`pgen Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830975.de/diw_ssp1047.pdf>`_
pgfamstd,byte,Marital Status in Survey Year,soep-core,p_data,v36,No,Yes,,,,"Marital status is describing the institutional status of marriage at the time of the person interview. Marital status is based on information given by the respective person on his or her current relationship as well as on retrospective information about previous relationships asked in the biography questionnaire. Information on marital status when a child was born (provided in the biography information) is not used here, so contradicting information to file BIOBIRTH might still be possible. For those whose partner was identified within the household, marital status is counter-checked with the information given by the partner. Where contradictions can be found, indication of the person information is compiled if reasonable. If no information is available, the indication by position related to head of household is deferred. Remaining contradictions are solved using information on marriage status when a child was born as well as future reports on a given relationship. Marital status is only available for people, who were interviewed. Data on marital status provided here is generated from and hence consistent with the corresponding BIOMARSY file, although value labels differ between PGFAMSTD and SPELLTYP in BIOMARSY. Note that marital status in a specific wave can be different between data distributions due to consistency checks using up-to-date information from following waves. Because of the newly introduced construction process of BIOMARSY, changes might be more than usual. Above, the partner indicator PGPARTZ supplied here in dataset PGEN as well might not match the information provided in PGFAMSTD in its entirety.",,,"Home, Amenities, and Contributions of Private HH",pgen,https://paneldata.org/soep-core/data/pgen/pgfamstd,`pgfamstd <https://paneldata.org/soep-core/data/pgen/pgfamstd>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830975.de/diw_ssp1047.pdf,`pgen Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830975.de/diw_ssp1047.pdf>`_
pgisced97,double,ISCED-1997-Classification,soep-core,p_data,v36,demo,demo,,,,,,,Demography,pgen,https://paneldata.org/soep-core/data/pgen/pgisced97,`pgisced97 <https://paneldata.org/soep-core/data/pgen/pgisced97>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830975.de/diw_ssp1047.pdf,`pgen Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830975.de/diw_ssp1047.pdf>`_
pglabgro,double,Current Gross Labor Income in Euro,soep-core,p_data,v36,Yes,No,,,,"The variable PGLABGRO represents the imputed gross labor income in the previous month generated for all SOEP respondents who are employed in a main job in each respective wave. Interviewees should consider overtime payments but no irregular one-time payments such as holiday or bonuses. Income details are consistently provided in euros for all waves. Item nonresponse is imputed in a two-stage procedure: first, with the ""Row-and-Column""ù method of Little und Su (1989) using individual longitudinal data as well as cross-sectional trend data (cf. Joachim R. Frick and Markus M. Grabka (2005): Item-Non-Response on Income Questions in Panel surveys: Incidence, Imputation and the Impact on the Income Distribution. Allgemeines Statistisches Archiv (ASTA) 89, 49-61). Alternatively, if no individual longitudinal information is available, we base the imputation on a regression using different Mincer covariates, also taking into account current net labor income. If both types of income information are lacking, first we impute current net labor income and then current gross labor income. Imputed values are flagged (PGIMPGRO). For 2006-2019, question not asked of all samples.",,,"Income, Taxes, and Social Security",pgen,https://paneldata.org/soep-core/data/pgen/pglabgro,`pglabgro <https://paneldata.org/soep-core/data/pgen/pglabgro>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830975.de/diw_ssp1047.pdf,`pgen Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830975.de/diw_ssp1047.pdf>`_
pglabnet,double,Current Net Labor Income in Euro,soep-core,p_data,v36,Yes,No,,,,"The variable PGLABNET represents the imputed net labor income in the previous month in a main job of all persons in SOEP working in the respective wave. Interviewees should consider overtime payments but no irregular one-time payments such as holiday or bonuses. Income details are consistently provided in euros for all waves. The imputation of item nonresponse takes place in a two-stage procedure: first, with the ""Row-and- Column"" method of Little und Su (1989) using individual longitudinal data as well as cross-sectional trend data (cf. Joachim R. Frick and Markus M. Grabka (2005): Item-Non-Response on Income Questions in Panel surveys: Incidence, Imputation and the Impact on the Income Distribution. Allgemeines Statistisches Archiv (ASTA) 89, 49-61). Alternatively, if no individual longitudinal information is available, we base the imputation on a regression using different Mincer covariates, also taking into account current gross labor income. If both types of income information are lacking, first we impute current gross labor income and then current net labor income. For 2006-2019, question not asked of all samples.",,,"Income, Taxes, and Social Security",pgen,https://paneldata.org/soep-core/data/pgen/pglabnet,`pglabnet <https://paneldata.org/soep-core/data/pgen/pglabnet>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830975.de/diw_ssp1047.pdf,`pgen Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830975.de/diw_ssp1047.pdf>`_
pgnation,int,Nationality,soep-core,p_data,v36,,,,,,,,,Demography,pgen,https://paneldata.org/soep-core/data/pgen/pgnation,`pgnation <https://paneldata.org/soep-core/data/pgen/pgnation>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830975.de/diw_ssp1047.pdf,`pgen Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830975.de/diw_ssp1047.pdf>`_
pgoeffd,float,Civil Service,soep-core,p_data,v36,No,Yes,,,,This variable is designed to provide annual data on employment in the civil service for all employed persons.,,,Work and Employment,pgen,https://paneldata.org/soep-core/data/pgen/pgoeffd,`pgoeffd <https://paneldata.org/soep-core/data/pgen/pgoeffd>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830975.de/diw_ssp1047.pdf,`pgen Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830975.de/diw_ssp1047.pdf>`_
pgtatzeit,float,Actual Work Time Per Week,soep-core,p_data,v36,Yes,No,,,,"This variable provides data on actual weekly working hours (including overtime) for all persons employed at the time of the survey (including the self-employed). The data are obtained by asking respondents how many hours they work on average per week. For implausible answers (actual weekly working hours of more than 80 per week), we assign the value (-3). The variable is rounded off and gives the number of working hours as a decimal number.",,,Work and Employment,pgen,https://paneldata.org/soep-core/data/pgen/pgtatzeit,`pgtatzeit <https://paneldata.org/soep-core/data/pgen/pgtatzeit>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830975.de/diw_ssp1047.pdf,`pgen Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830975.de/diw_ssp1047.pdf>`_
pgvebzeit,float,Agreed Upon Work Time Per Week,soep-core,p_data,v36,Yes,No,,,,"This variable provides data on agreed weekly working hours. The variable takes into account only those persons who were in dependent employment (not self-employed) at the time of the survey.  The value (-2) is assigned to non-employed people, employees without set hours and to self-employed people, including self-employed farmers, freelancers, and other self-employed persons. If persons helping out in family businesses report agreed weekly working hours, we assign a non-missing value. For implausible answers (agreed weekly working time of more than 80 hours per week) we assign the value (-3). The variable is rounded off and gives the number of working hours as a decimal number.",,,Work and Employment,pgen,https://paneldata.org/soep-core/data/pgen/pgvebzeit,`pgvebzeit <https://paneldata.org/soep-core/data/pgen/pgvebzeit>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830975.de/diw_ssp1047.pdf,`pgen Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830975.de/diw_ssp1047.pdf>`_
phrf,double,Weighting factor,soep-core,p_data,v36,,,,,,,,,,ppathl,https://paneldata.org/soep-core/data/ppathl/phrf,`phrf <https://paneldata.org/soep-core/data/ppathl/phrf>`_,https://www.diw.de/documents/publikationen/73/diw_01.c.830977.de/diw_ssp1048.pdf,`ppathl Codebook Surveypaper <https://www.diw.de/documents/publikationen/73/diw_01.c.830977.de/diw_ssp1048.pdf>`_
