"plj0047","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence"
"Some worries","1992","direct migration background","middle vocational","240","0.371153789256229","0.330851684668962","0.411455893843496"
"Some worries","1992","direct migration background","vocational + Abi","40","0.420650533552879","0.313143566641346","0.528157500464412"
"Some worries","1992","direct migration background","higher vocational","4","","",""
"Some worries","1992","direct migration background","higher education","21","","",""
"Some worries","1992","indirect migration background","in school","15","","",""
"Some worries","1992","indirect migration background","inadequately","6","","",""
"Some worries","1992","indirect migration background","general elemantary","52","0.360688320004941","0.278769538391696","0.442607101618185"
"Some worries","1992","indirect migration background","middle vocational","41","0.383050122291715","0.285295110535808","0.480805134047621"
"Some worries","1992","indirect migration background","vocational + Abi","1","","",""
"Some worries","1992","indirect migration background","higher vocational","2","","",""
"Some worries","1992","indirect migration background","higher education","1","","",""
"No worries","1992","no migration background","in school","","","",""
"No worries","1992","no migration background","inadequately","","","",""
"No worries","1992","no migration background","general elemantary","","","",""
"No worries","1992","no migration background","middle vocational","","","",""
"No worries","1992","no migration background","vocational + Abi","","","",""
"No worries","1992","no migration background","higher vocational","","","",""
"No worries","1992","no migration background","higher education","","","",""
"No worries","1992","direct migration background","in school","1","","",""
"No worries","1992","direct migration background","inadequately","104","0.192275661763145","0.157523777394671","0.227027546131619"
"No worries","1992","direct migration background","general elemantary","118","0.165771749881929","0.138004287810615","0.193539211953242"
"No worries","1992","direct migration background","middle vocational","108","0.204416789332819","0.170774957286097","0.23805862137954"
"No worries","1992","direct migration background","vocational + Abi","12","","",""
"No worries","1992","direct migration background","higher vocational","1","","",""
"No worries","1992","direct migration background","higher education","4","","",""
"No worries","1992","indirect migration background","in school","5","","",""
"No worries","1992","indirect migration background","inadequately","9","","",""
"No worries","1992","indirect migration background","general elemantary","22","","",""
"No worries","1992","indirect migration background","middle vocational","20","","",""
"No worries","1992","indirect migration background","vocational + Abi","","","",""
"No worries","1992","indirect migration background","higher vocational","","","",""
"No worries","1992","indirect migration background","higher education","","","",""
"Big worries","1993","no migration background","in school","1","","",""
"Big worries","1993","no migration background","inadequately","","","",""
"Big worries","1993","no migration background","general elemantary","","","",""
"Big worries","1993","no migration background","middle vocational","","","",""
"Big worries","1993","no migration background","vocational + Abi","","","",""
"Big worries","1993","no migration background","higher vocational","","","",""
"Big worries","1993","no migration background","higher education","","","",""
"Big worries","1993","direct migration background","in school","3","","",""
"Big worries","1993","direct migration background","inadequately","229","0.511978641210468","0.467400714872264","0.556556567548673"
"Big worries","1993","direct migration background","general elemantary","319","0.526653855103303","0.488270452734818","0.565037257471789"
"Big worries","1993","direct migration background","middle vocational","236","0.450114985696327","0.407799580029953","0.4924303913627"
"Big worries","1993","direct migration background","vocational + Abi","37","0.403988777503414","0.295092594119671","0.512884960887157"
"Big worries","1993","direct migration background","higher vocational","5","","",""
"Big worries","1993","direct migration background","higher education","16","","",""
"Big worries","1993","indirect migration background","in school","17","","",""
"Big worries","1993","indirect migration background","inadequately","10","","",""
"Big worries","1993","indirect migration background","general elemantary","67","0.524414498900331","0.442846746922451","0.605982250878211"
"Big worries","1993","indirect migration background","middle vocational","48","0.48362014077397","0.391885682145431","0.575354599402509"
"Big worries","1993","indirect migration background","vocational + Abi","5","","",""
"Big worries","1993","indirect migration background","higher vocational","3","","",""
"Big worries","1993","indirect migration background","higher education","2","","",""
"Some worries","1993","no migration background","in school","","","",""
"Some worries","1993","no migration background","inadequately","","","",""
"Some worries","1993","no migration background","general elemantary","","","",""
"Some worries","1993","no migration background","middle vocational","","","",""
"Some worries","1993","no migration background","vocational + Abi","","","",""
"Some worries","1993","no migration background","higher vocational","","","",""
"Some worries","1993","no migration background","higher education","","","",""
"Some worries","1993","direct migration background","in school","3","","",""
"Some worries","1993","direct migration background","inadequately","194","0.383641666138167","0.340275198754581","0.427008133521754"
"Some worries","1993","direct migration background","general elemantary","261","0.368467252466391","0.33138306239095","0.405551442541831"
"Some worries","1993","direct migration background","middle vocational","226","0.417352665780827","0.375410069679433","0.459295261882221"
"Some worries","1993","direct migration background","vocational + Abi","36","0.547725600948372","0.437271126761056","0.658180075135688"
"Some worries","1993","direct migration background","higher vocational","4","","",""
"Some worries","1993","direct migration background","higher education","19","","",""
"Some worries","1993","indirect migration background","in school","17","","",""
"Some worries","1993","indirect migration background","inadequately","7","","",""
"Some worries","1993","indirect migration background","general elemantary","55","0.33363735036385","0.256625155699436","0.410649545028265"
"Some worries","1993","indirect migration background","middle vocational","55","0.415024749638247","0.324576241191733","0.505473258084761"
"Some worries","1993","indirect migration background","vocational + Abi","3","","",""
"Some worries","1993","indirect migration background","higher vocational","2","","",""
"Some worries","1993","indirect migration background","higher education","1","","",""
"No worries","1993","no migration background","in school","","","",""
"No worries","1993","no migration background","inadequately","","","",""
"No worries","1993","no migration background","general elemantary","","","",""
"No worries","1993","no migration background","middle vocational","","","",""
"No worries","1993","no migration background","vocational + Abi","","","",""
"No worries","1993","no migration background","higher vocational","","","",""
"No worries","1993","no migration background","higher education","","","",""
"No worries","1993","direct migration background","in school","","","",""
"No worries","1993","direct migration background","inadequately","60","0.104379692651364","0.077112244335227","0.131647140967501"
"No worries","1993","direct migration background","general elemantary","70","0.104878892430306","0.0813242585619884","0.128433526298624"
"No worries","1993","direct migration background","middle vocational","69","0.132532348522847","0.103692802362982","0.161371894682711"
"No worries","1993","direct migration background","vocational + Abi","5","","",""
"No worries","1993","direct migration background","higher vocational","","","",""
"No worries","1993","direct migration background","higher education","4","","",""
"No worries","1993","indirect migration background","in school","","","",""
"No worries","1993","indirect migration background","inadequately","3","","",""
"No worries","1993","indirect migration background","general elemantary","22","","",""
"No worries","1993","indirect migration background","middle vocational","11","","",""
"No worries","1993","indirect migration background","vocational + Abi","","","",""
"No worries","1993","indirect migration background","higher vocational","","","",""
"No worries","1993","indirect migration background","higher education","","","",""
"Big worries","1994","no migration background","in school","2","","",""
"Big worries","1994","no migration background","inadequately","","","",""
"Big worries","1994","no migration background","general elemantary","","","",""
"Big worries","1994","no migration background","middle vocational","","","",""
"Big worries","1994","no migration background","vocational + Abi","","","",""
"Big worries","1994","no migration background","higher vocational","","","",""
"Big worries","1994","no migration background","higher education","","","",""
"Big worries","1994","direct migration background","in school","3","","",""
"Big worries","1994","direct migration background","inadequately","205","0.469271881425192","0.423365984253117","0.515177778597268"
"Big worries","1994","direct migration background","general elemantary","281","0.525472013952936","0.485144991739476","0.565799036166396"
"Big worries","1994","direct migration background","middle vocational","206","0.445956826229646","0.402689274301786","0.489224378157506"
"Big worries","1994","direct migration background","vocational + Abi","35","0.401728250276063","0.287694252160443","0.515762248391683"
"Big worries","1994","direct migration background","higher vocational","3","","",""
"Big worries","1994","direct migration background","higher education","11","","",""
"Big worries","1994","indirect migration background","in school","21","","",""
"Big worries","1994","indirect migration background","inadequately","5","","",""
"Big worries","1994","indirect migration background","general elemantary","67","0.524223658937971","0.43902733520462","0.609419982671321"
"Big worries","1994","indirect migration background","middle vocational","59","0.461862056478066","0.372662967693095","0.551061145263036"
"Big worries","1994","indirect migration background","vocational + Abi","5","","",""
"Big worries","1994","indirect migration background","higher vocational","6","","",""
"Big worries","1994","indirect migration background","higher education","2","","",""
"Some worries","1994","no migration background","in school","","","",""
"Some worries","1994","no migration background","inadequately","","","",""
"Some worries","1994","no migration background","general elemantary","","","",""
"Some worries","1994","no migration background","middle vocational","","","",""
"Some worries","1994","no migration background","vocational + Abi","","","",""
"Some worries","1994","no migration background","higher vocational","","","",""
"Some worries","1994","no migration background","higher education","","","",""
"Some worries","1994","direct migration background","in school","4","","",""
"Some worries","1994","direct migration background","inadequately","202","0.460535833368411","0.414686483749508","0.506385182987315"
"Some worries","1994","direct migration background","general elemantary","234","0.348963522825884","0.310470402156973","0.387456643494796"
"Some worries","1994","direct migration background","middle vocational","233","0.429771551276259","0.386680470823851","0.472862631728667"
"Some worries","1994","direct migration background","vocational + Abi","28","","",""
"Some worries","1994","direct migration background","higher vocational","7","","",""
"Some worries","1994","direct migration background","higher education","20","","",""
"Some worries","1994","indirect migration background","in school","15","","",""
"Some worries","1994","indirect migration background","inadequately","6","","",""
"Some worries","1994","indirect migration background","general elemantary","47","0.361430484558314","0.279475078498942","0.443385890617687"
"Some worries","1994","indirect migration background","middle vocational","54","0.467597558041188","0.378325899256019","0.556869216826357"
"Some worries","1994","indirect migration background","vocational + Abi","5","","",""
"Some worries","1994","indirect migration background","higher vocational","1","","",""
"Some worries","1994","indirect migration background","higher education","4","","",""
"No worries","1994","no migration background","in school","","","",""
"No worries","1994","no migration background","inadequately","","","",""
"No worries","1994","no migration background","general elemantary","","","",""
"No worries","1994","no migration background","middle vocational","","","",""
"No worries","1994","no migration background","vocational + Abi","","","",""
"No worries","1994","no migration background","higher vocational","","","",""
"No worries","1994","no migration background","higher education","","","",""
"No worries","1994","direct migration background","in school","1","","",""
"No worries","1994","direct migration background","inadequately","47","0.0701922852063964","0.0466926333625738","0.0936919370502189"
"No worries","1994","direct migration background","general elemantary","74","0.12556446322118","0.098804364252675","0.152324562189685"
"No worries","1994","direct migration background","middle vocational","68","0.124271622494095","0.0955562266708589","0.152987018317332"
"No worries","1994","direct migration background","vocational + Abi","8","","",""
"No worries","1994","direct migration background","higher vocational","","","",""
"No worries","1994","direct migration background","higher education","6","","",""
"No worries","1994","indirect migration background","in school","1","","",""
"No worries","1994","indirect migration background","inadequately","5","","",""
"No worries","1994","indirect migration background","general elemantary","18","","",""
"No worries","1994","indirect migration background","middle vocational","7","","",""
"No worries","1994","indirect migration background","vocational + Abi","1","","",""
"No worries","1994","indirect migration background","higher vocational","1","","",""
"No worries","1994","indirect migration background","higher education","","","",""
"Big worries","1995","no migration background","in school","1","","",""
"Big worries","1995","no migration background","inadequately","","","",""
"Big worries","1995","no migration background","general elemantary","","","",""
"Big worries","1995","no migration background","middle vocational","","","",""
"Big worries","1995","no migration background","vocational + Abi","","","",""
"Big worries","1995","no migration background","higher vocational","","","",""
"Big worries","1995","no migration background","higher education","","","",""
"Big worries","1995","direct migration background","in school","3","","",""
"Big worries","1995","direct migration background","inadequately","174","0.464187315110584","0.415795586146427","0.51257904407474"
"Big worries","1995","direct migration background","general elemantary","229","0.500423448343269","0.457775221614367","0.543071675072172"
"Big worries","1995","direct migration background","middle vocational","173","0.392480600818114","0.348193339605171","0.436767862031056"
"Big worries","1995","direct migration background","vocational + Abi","25","","",""
"Big worries","1995","direct migration background","higher vocational","5","","",""
"Big worries","1995","direct migration background","higher education","11","","",""
"Big worries","1995","indirect migration background","in school","18","","",""
"Big worries","1995","indirect migration background","inadequately","2","","",""
"Big worries","1995","indirect migration background","general elemantary","44","0.433847074078659","0.344425501766976","0.523268646390342"
"Big worries","1995","indirect migration background","middle vocational","47","0.348831936106351","0.266587239770667","0.431076632442035"
"Big worries","1995","indirect migration background","vocational + Abi","2","","",""
"Big worries","1995","indirect migration background","higher vocational","4","","",""
"Big worries","1995","indirect migration background","higher education","2","","",""
"Some worries","1995","no migration background","in school","1","","",""
"Some worries","1995","no migration background","inadequately","","","",""
"Some worries","1995","no migration background","general elemantary","","","",""
"Some worries","1995","no migration background","middle vocational","","","",""
"Some worries","1995","no migration background","vocational + Abi","","","",""
"Some worries","1995","no migration background","higher vocational","","","",""
"Some worries","1995","no migration background","higher education","","","",""
"Some worries","1995","direct migration background","in school","2","","",""
"Some worries","1995","direct migration background","inadequately","179","0.406498664508802","0.358838183478361","0.454159145539242"
"Some worries","1995","direct migration background","general elemantary","231","0.387541756253119","0.345986245588012","0.429097266918225"
"Some worries","1995","direct migration background","middle vocational","224","0.455292854787429","0.410126337497684","0.500459372077174"
"Some worries","1995","direct migration background","vocational + Abi","26","","",""
"Some worries","1995","direct migration background","higher vocational","4","","",""
"Some worries","1995","direct migration background","higher education","16","","",""
"Some worries","1995","indirect migration background","in school","14","","",""
"Some worries","1995","indirect migration background","inadequately","11","","",""
"Some worries","1995","indirect migration background","general elemantary","56","0.419655139985757","0.330612827182891","0.508697452788623"
"Some worries","1995","indirect migration background","middle vocational","68","0.539575241373346","0.453563334256115","0.625587148490578"
"Some worries","1995","indirect migration background","vocational + Abi","4","","",""
"Some worries","1995","indirect migration background","higher vocational","3","","",""
"Some worries","1995","indirect migration background","higher education","6","","",""
"No worries","1995","no migration background","in school","","","",""
"No worries","1995","no migration background","inadequately","","","",""
"No worries","1995","no migration background","general elemantary","","","",""
"No worries","1995","no migration background","middle vocational","","","",""
"No worries","1995","no migration background","vocational + Abi","","","",""
"No worries","1995","no migration background","higher vocational","","","",""
"No worries","1995","no migration background","higher education","","","",""
"No worries","1995","direct migration background","in school","1","","",""
"No worries","1995","direct migration background","inadequately","55","0.129314020380615","0.0967549803144388","0.16187306044679"
"No worries","1995","direct migration background","general elemantary","68","0.112034795403612","0.085131494661773","0.138938096145451"
"No worries","1995","direct migration background","middle vocational","70","0.152226544394457","0.119644768487337","0.184808320301577"
"No worries","1995","direct migration background","vocational + Abi","13","","",""
"No worries","1995","direct migration background","higher vocational","","","",""
"No worries","1995","direct migration background","higher education","4","","",""
"No worries","1995","indirect migration background","in school","2","","",""
"No worries","1995","indirect migration background","inadequately","1","","",""
"No worries","1995","indirect migration background","general elemantary","18","","",""
"No worries","1995","indirect migration background","middle vocational","14","","",""
"No worries","1995","indirect migration background","vocational + Abi","3","","",""
"No worries","1995","indirect migration background","higher vocational","","","",""
"No worries","1995","indirect migration background","higher education","1","","",""
"Big worries","1996","no migration background","in school","52","0.249327819456599","0.189961033491529","0.308694605421669"
"Big worries","1996","no migration background","inadequately","19","","",""
"Big worries","1996","no migration background","general elemantary","443","0.31782275069453","0.294140336579513","0.341505164809547"
"Big worries","1996","no migration background","middle vocational","1577","0.298367726383611","0.286181210420233","0.310554242346989"
"Big worries","1996","no migration background","vocational + Abi","76","0.246792150270501","0.199255602445634","0.294328698095369"
"Big worries","1996","no migration background","higher vocational","191","0.284732714460182","0.250788476048469","0.318676952871895"
"Big worries","1996","no migration background","higher education","333","0.209490173306545","0.189224648887545","0.229755697725544"
"Big worries","1996","direct migration background","in school","10","","",""
"Big worries","1996","direct migration background","inadequately","168","0.438379794540898","0.390755704576699","0.486003884505098"
"Big worries","1996","direct migration background","general elemantary","289","0.40866435466874","0.372707120572912","0.444621588764569"
"Big worries","1996","direct migration background","middle vocational","315","0.321578029547531","0.29154263295089","0.351613426144172"
"Big worries","1996","direct migration background","vocational + Abi","47","0.332978448443028","0.256793808487698","0.409163088398359"
"Big worries","1996","direct migration background","higher vocational","20","","",""
"Big worries","1996","direct migration background","higher education","45","0.239165525441471","0.177191917886114","0.301139132996828"
"Big worries","1996","indirect migration background","in school","22","","",""
"Big worries","1996","indirect migration background","inadequately","1","","",""
"Big worries","1996","indirect migration background","general elemantary","74","0.442280794050925","0.368272246691147","0.516289341410702"
"Big worries","1996","indirect migration background","middle vocational","66","0.374695565156917","0.309071976118788","0.440319154195046"
"Big worries","1996","indirect migration background","vocational + Abi","5","","",""
"Big worries","1996","indirect migration background","higher vocational","9","","",""
"Big worries","1996","indirect migration background","higher education","3","","",""
"Some worries","1996","no migration background","in school","117","0.569334098839087","0.501384507588816","0.637283690089358"
"Some worries","1996","no migration background","inadequately","18","","",""
"Some worries","1996","no migration background","general elemantary","744","0.477273554975789","0.451869339610685","0.502677770340893"
"Some worries","1996","no migration background","middle vocational","2873","0.530067515849376","0.516774234733072","0.543360796965679"
"Some worries","1996","no migration background","vocational + Abi","199","0.663575556386657","0.611480860022896","0.715670252750417"
"Some worries","1996","no migration background","higher vocational","383","0.554644558923855","0.517261575028408","0.592027542819303"
"Some worries","1996","no migration background","higher education","912","0.592802666305828","0.568335711536869","0.617269621074787"
"Some worries","1996","direct migration background","in school","12","","",""
"Some worries","1996","direct migration background","inadequately","203","0.468999680124732","0.421102082845873","0.516897277403592"
"Some worries","1996","direct migration background","general elemantary","340","0.426757738068792","0.390579644997304","0.462935831140279"
"Some worries","1996","direct migration background","middle vocational","476","0.503860186622988","0.471708978621887","0.53601139462409"
"Some worries","1996","direct migration background","vocational + Abi","86","0.566131088653867","0.486013625013761","0.646248552293972"
"Some worries","1996","direct migration background","higher vocational","35","0.508684734804896","0.385237235225148","0.632132234384644"
"Some worries","1996","direct migration background","higher education","119","0.647096358310485","0.577669910558251","0.71652280606272"
"Some worries","1996","indirect migration background","in school","24","","",""
"Some worries","1996","indirect migration background","inadequately","10","","",""
"Some worries","1996","indirect migration background","general elemantary","79","0.462148072180654","0.387855229333301","0.536440915028006"
"Some worries","1996","indirect migration background","middle vocational","119","0.510502298413741","0.442730481752898","0.578274115074583"
"Some worries","1996","indirect migration background","vocational + Abi","4","","",""
"Some worries","1996","indirect migration background","higher vocational","6","","",""
"Some worries","1996","indirect migration background","higher education","12","","",""
"No worries","1996","no migration background","in school","35","0.181338081704314","0.12846558603581","0.234210577372819"
"No worries","1996","no migration background","inadequately","19","","",""
"No worries","1996","no migration background","general elemantary","298","0.204903694329681","0.18437460775165","0.225432780907713"
"No worries","1996","no migration background","middle vocational","965","0.171564757767013","0.161523405938068","0.181606109595959"
"No worries","1996","no migration background","vocational + Abi","41","0.0896322933428418","0.0581370313205603","0.121127555365123"
"No worries","1996","no migration background","higher vocational","105","0.160622726615962","0.133004530832963","0.188240922398962"
"No worries","1996","no migration background","higher education","304","0.197707160387628","0.177873629380831","0.217540691394425"
"No worries","1996","direct migration background","in school","7","","",""
"No worries","1996","direct migration background","inadequately","46","0.0926205253343694","0.0647959747106428","0.120445075958096"
"No worries","1996","direct migration background","general elemantary","89","0.164577907262468","0.13745572596237","0.191700088562567"
"No worries","1996","direct migration background","middle vocational","138","0.174561783829481","0.150152383752529","0.198971183906433"
"No worries","1996","direct migration background","vocational + Abi","14","","",""
"No worries","1996","direct migration background","higher vocational","8","","",""
"No worries","1996","direct migration background","higher education","18","","",""
"No worries","1996","indirect migration background","in school","7","","",""
"No worries","1996","indirect migration background","inadequately","3","","",""
"No worries","1996","indirect migration background","general elemantary","20","","",""
"No worries","1996","indirect migration background","middle vocational","24","","",""
"No worries","1996","indirect migration background","vocational + Abi","1","","",""
"No worries","1996","indirect migration background","higher vocational","2","","",""
"No worries","1996","indirect migration background","higher education","2","","",""
"Big worries","1997","no migration background","in school","52","0.222454253096193","0.167745736952342","0.277162769240044"
"Big worries","1997","no migration background","inadequately","13","","",""
"Big worries","1997","no migration background","general elemantary","462","0.322730589147493","0.298566554828195","0.346894623466792"
"Big worries","1997","no migration background","middle vocational","1700","0.324007795052043","0.311474179185671","0.336541410918415"
"Big worries","1997","no migration background","vocational + Abi","70","0.238287481383339","0.190552853884735","0.286022108881944"
"Big worries","1997","no migration background","higher vocational","197","0.319546800591447","0.284703423674259","0.354390177508636"
"Big worries","1997","no migration background","higher education","300","0.187095116939003","0.167767388756067","0.20642284512194"
"Big worries","1997","direct migration background","in school","7","","",""
"Big worries","1997","direct migration background","inadequately","151","0.373178282397289","0.32542203664383","0.420934528150748"
"Big worries","1997","direct migration background","general elemantary","269","0.407062786310416","0.370325694206186","0.443799878414646"
"Big worries","1997","direct migration background","middle vocational","299","0.316729769295646","0.286235374151392","0.3472241644399"
"Big worries","1997","direct migration background","vocational + Abi","49","0.419821980754241","0.335629298138092","0.504014663370391"
"Big worries","1997","direct migration background","higher vocational","18","","",""
"Big worries","1997","direct migration background","higher education","49","0.295576754525436","0.22891698372875","0.362236525322123"
"Big worries","1997","indirect migration background","in school","19","","",""
"Big worries","1997","indirect migration background","inadequately","3","","",""
"Big worries","1997","indirect migration background","general elemantary","68","0.347928419909055","0.281075039217893","0.414781800600216"
"Big worries","1997","indirect migration background","middle vocational","62","0.324488453928962","0.259275855048209","0.389701052809715"
"Big worries","1997","indirect migration background","vocational + Abi","4","","",""
"Big worries","1997","indirect migration background","higher vocational","6","","",""
"Big worries","1997","indirect migration background","higher education","4","","",""
"Some worries","1997","no migration background","in school","125","0.560055889844339","0.494759970321867","0.625351809366811"
"Some worries","1997","no migration background","inadequately","29","","",""
"Some worries","1997","no migration background","general elemantary","693","0.478077868304234","0.452259973659369","0.503895762949099"
"Some worries","1997","no migration background","middle vocational","2673","0.494671798552083","0.481282027512872","0.508061569591294"
"Some worries","1997","no migration background","vocational + Abi","187","0.618326358190645","0.563895855874945","0.672756860506344"
"Some worries","1997","no migration background","higher vocational","354","0.490254533999035","0.4529001682232","0.52760889977487"
"Some worries","1997","no migration background","higher education","971","0.621847751956951","0.597814912005336","0.645880591908565"
"Some worries","1997","direct migration background","in school","18","","",""
"Some worries","1997","direct migration background","inadequately","180","0.463374811707611","0.414136662695621","0.5126129607196"
"Some worries","1997","direct migration background","general elemantary","315","0.414693863522869","0.377853401712053","0.451534325333685"
"Some worries","1997","direct migration background","middle vocational","442","0.476442356778832","0.443703254567282","0.509181458990382"
"Some worries","1997","direct migration background","vocational + Abi","65","0.430154460339232","0.345694296933762","0.514614623744701"
"Some worries","1997","direct migration background","higher vocational","33","0.504583075796324","0.375910541891254","0.633255609701395"
"Some worries","1997","direct migration background","higher education","109","0.544879129687194","0.472130418985027","0.617627840389361"
"Some worries","1997","indirect migration background","in school","31","0.459061953499185","0.336010363242218","0.582113543756153"
"Some worries","1997","indirect migration background","inadequately","7","","",""
"Some worries","1997","indirect migration background","general elemantary","91","0.491621646374807","0.421453531509895","0.561789761239719"
"Some worries","1997","indirect migration background","middle vocational","102","0.507691208691931","0.438055161162853","0.577327256221009"
"Some worries","1997","indirect migration background","vocational + Abi","11","","",""
"Some worries","1997","indirect migration background","higher vocational","4","","",""
"Some worries","1997","indirect migration background","higher education","14","","",""
"No worries","1997","no migration background","in school","45","0.217489857059468","0.163222821818006","0.27175689230093"
"No worries","1997","no migration background","inadequately","12","","",""
"No worries","1997","no migration background","general elemantary","283","0.199191542548272","0.178548751289431","0.219834333807114"
"No worries","1997","no migration background","middle vocational","983","0.181320406395874","0.171002106853187","0.191638705938561"
"No worries","1997","no migration background","vocational + Abi","49","0.143386160426016","0.104118634530319","0.182653686321713"
"No worries","1997","no migration background","higher vocational","137","0.190198665409518","0.160873069319698","0.219524261499337"
"No worries","1997","no migration background","higher education","293","0.191057131104046","0.171573483401921","0.21054077880617"
"No worries","1997","direct migration background","in school","4","","",""
"No worries","1997","direct migration background","inadequately","63","0.1634469058951","0.126934950947602","0.199958860842599"
"No worries","1997","direct migration background","general elemantary","103","0.178243350166715","0.149624775230162","0.206861925103268"
"No worries","1997","direct migration background","middle vocational","153","0.206827873925522","0.180277686741049","0.233378061109995"
"No worries","1997","direct migration background","vocational + Abi","18","","",""
"No worries","1997","direct migration background","higher vocational","7","","",""
"No worries","1997","direct migration background","higher education","22","","",""
"No worries","1997","indirect migration background","in school","13","","",""
"No worries","1997","indirect migration background","inadequately","4","","",""
"No worries","1997","indirect migration background","general elemantary","36","0.160449933716138","0.108936101812714","0.211963765619563"
"No worries","1997","indirect migration background","middle vocational","34","0.167820337379107","0.115767268425223","0.21987340633299"
"No worries","1997","indirect migration background","vocational + Abi","","","",""
"No worries","1997","indirect migration background","higher vocational","2","","",""
"No worries","1997","indirect migration background","higher education","1","","",""
"Big worries","1998","no migration background","in school","57","0.222494530715354","0.168858886989981","0.276130174440727"
"Big worries","1998","no migration background","inadequately","19","","",""
"Big worries","1998","no migration background","general elemantary","565","0.339216730067838","0.316482578894823","0.361950881240852"
"Big worries","1998","no migration background","middle vocational","1800","0.317458300622959","0.305582676951762","0.329333924294157"
"Big worries","1998","no migration background","vocational + Abi","81","0.244799941121601","0.199494881767727","0.290105000475475"
"Big worries","1998","no migration background","higher vocational","209","0.276009613214912","0.24391009909285","0.308109127336974"
"Big worries","1998","no migration background","higher education","356","0.200535311113994","0.181656645541075","0.219413976686912"
"Big worries","1998","direct migration background","in school","10","","",""
"Big worries","1998","direct migration background","inadequately","137","0.400433916724109","0.349818735417622","0.451049098030596"
"Big worries","1998","direct migration background","general elemantary","246","0.371343304170755","0.334228073141356","0.408458535200154"
"Big worries","1998","direct migration background","middle vocational","302","0.377847029755354","0.344960999728101","0.410733059782607"
"Big worries","1998","direct migration background","vocational + Abi","50","0.40210449639072","0.31999943770099","0.48420955508045"
"Big worries","1998","direct migration background","higher vocational","20","","",""
"Big worries","1998","direct migration background","higher education","45","0.242268702349898","0.181185266362799","0.303352138336998"
"Big worries","1998","indirect migration background","in school","17","","",""
"Big worries","1998","indirect migration background","inadequately","3","","",""
"Big worries","1998","indirect migration background","general elemantary","68","0.3454925520232","0.279088952886865","0.411896151159535"
"Big worries","1998","indirect migration background","middle vocational","79","0.367224826135284","0.301871803208988","0.432577849061579"
"Big worries","1998","indirect migration background","vocational + Abi","4","","",""
"Big worries","1998","indirect migration background","higher vocational","5","","",""
"Big worries","1998","indirect migration background","higher education","4","","",""
"Some worries","1998","no migration background","in school","119","0.49578585271562","0.431310061609187","0.560261643822054"
"Some worries","1998","no migration background","inadequately","27","","",""
"Some worries","1998","no migration background","general elemantary","790","0.478172364838229","0.45418589332598","0.502158836350478"
"Some worries","1998","no migration background","middle vocational","2968","0.50429321944083","0.49153757271927","0.517048866162391"
"Some worries","1998","no migration background","vocational + Abi","200","0.600038630919196","0.548419739828923","0.651657522009468"
"Some worries","1998","no migration background","higher vocational","393","0.520304154792285","0.48443000806863","0.55617830151594"
"Some worries","1998","no migration background","higher education","1006","0.588248627222747","0.565044020568201","0.611453233877293"
"Some worries","1998","direct migration background","in school","15","","",""
"Some worries","1998","direct migration background","inadequately","163","0.410092906375624","0.359285177937617","0.460900634813631"
"Some worries","1998","direct migration background","general elemantary","298","0.443773896080969","0.405608993669847","0.481938798492091"
"Some worries","1998","direct migration background","middle vocational","400","0.44402126385541","0.410320803878662","0.477721723832159"
"Some worries","1998","direct migration background","vocational + Abi","63","0.433526487530621","0.350544194807757","0.516508780253486"
"Some worries","1998","direct migration background","higher vocational","25","","",""
