"plj0589","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Sometimes","2015","Employed","Part Time","","","","","3"
"Sometimes","2015","Employed","Not Working","","","","","3"
"Very often","2015","Not Employed","Full Time","","","","","1"
"Very often","2015","Not Employed","Part Time","","","","","1"
"Very often","2015","Not Employed","Not Working","","","","","1"
"Very often","2015","Employed","Full Time","","","","","1"
"Very often","2015","Employed","Part Time","","","","","1"
"Very often","2015","Employed","Not Working","","","","","1"
"Never","2016","Not Employed","Full Time","","","","","5"
"Never","2016","Not Employed","Part Time","","","","","5"
"Never","2016","Not Employed","Not Working","1647","0.327527811522509","0.313398243958869","0.341657379086149","5"
"Never","2016","Employed","Full Time","","","","","5"
"Never","2016","Employed","Part Time","","","","","5"
"Never","2016","Employed","Not Working","","","","","5"
"Often","2016","Not Employed","Full Time","","","","","2"
"Often","2016","Not Employed","Part Time","","","","","2"
"Often","2016","Not Employed","Not Working","572","0.173238463500026","0.161844366607071","0.18463256039298","2"
"Often","2016","Employed","Full Time","","","","","2"
"Often","2016","Employed","Part Time","","","","","2"
"Often","2016","Employed","Not Working","","","","","2"
"Rarely ","2016","Not Employed","Full Time","","","","","4"
"Rarely ","2016","Not Employed","Part Time","","","","","4"
"Rarely ","2016","Not Employed","Not Working","744","0.175385558252021","0.163935966602807","0.186835149901236","4"
"Rarely ","2016","Employed","Full Time","","","","","4"
"Rarely ","2016","Employed","Part Time","","","","","4"
"Rarely ","2016","Employed","Not Working","","","","","4"
"Sometimes","2016","Not Employed","Full Time","","","","","3"
"Sometimes","2016","Not Employed","Part Time","","","","","3"
"Sometimes","2016","Not Employed","Not Working","963","0.23376710166539","0.221025039831435","0.246509163499344","3"
"Sometimes","2016","Employed","Full Time","","","","","3"
"Sometimes","2016","Employed","Part Time","","","","","3"
"Sometimes","2016","Employed","Not Working","","","","","3"
"Very often","2016","Not Employed","Full Time","","","","","1"
"Very often","2016","Not Employed","Part Time","","","","","1"
"Very often","2016","Not Employed","Not Working","312","0.0900810650600543","0.0814614926515741","0.0987006374685345","1"
"Very often","2016","Employed","Full Time","","","","","1"
"Very often","2016","Employed","Part Time","","","","","1"
"Very often","2016","Employed","Not Working","","","","","1"
"Never","2017","Not Employed","Full Time","","","","","5"
"Never","2017","Not Employed","Part Time","","","","","5"
"Never","2017","Not Employed","Not Working","5633","0.523722013184395","0.514566817064535","0.532877209304255","5"
"Never","2017","Employed","Full Time","6523","0.622942776672631","0.61362066344349","0.632264889901772","5"
"Never","2017","Employed","Part Time","4409","0.581501471887375","0.570449844380001","0.59255309939475","5"
"Never","2017","Employed","Not Working","","","","","5"
"Often","2017","Not Employed","Full Time","","","","","2"
"Often","2017","Not Employed","Not Working","855","0.0575591648897708","0.0532897213670539","0.0618286084124877","2"
"Often","2017","Not Employed","Part Time","","","","","2"
"Often","2017","Employed","Not Working","","","","","2"
"Often","2017","Employed","Full Time","251","0.0238421591813369","0.020907758065553","0.0267765602971208","2"
"Often","2017","Employed","Part Time","266","0.0326176030672923","0.0286380988069321","0.0365971073276525","2"
"Rarely ","2017","Not Employed","Full Time","","","","","4"
"Rarely ","2017","Not Employed","Part Time","","","","","4"
"Rarely ","2017","Employed","Part Time","2070","0.267918852837263","0.257997175231182","0.277840530443343","4"
"Rarely ","2017","Employed","Full Time","2723","0.269056724967577","0.260526697548583","0.277586752386572","4"
"Rarely ","2017","Employed","Not Working","","","","","4"
"Rarely ","2017","Not Employed","Not Working","2800","0.265215312739547","0.257123117929418","0.273307507549676","4"
"Sometimes","2017","Not Employed","Full Time","","","","","3"
"Sometimes","2017","Not Employed","Part Time","","","","","3"
"Sometimes","2017","Employed","Part Time","831","0.108021645185694","0.101067617528425","0.114975672842963","3"
"Sometimes","2017","Employed","Not Working","","","","","3"
"Sometimes","2017","Not Employed","Not Working","1772","0.13169555531362","0.125496742042878","0.137894368584362","3"
"Sometimes","2017","Employed","Full Time","835","0.0799296142044394","0.0747134524733313","0.0851457759355475","3"
"Very often","2017","Not Employed","Not Working","372","0.0218079538726667","0.0191305955004711","0.0244853122448624","1"
"Very often","2017","Employed","Not Working","","","","","1"
"Very often","2017","Not Employed","Full Time","","","","","1"
"Very often","2017","Not Employed","Part Time","","","","","1"
"Very often","2017","Employed","Full Time","51","0.00422872497401504","0.00298056232768781","0.00547688762034227","1"
"Very often","2017","Employed","Part Time","78","0.00994042702237529","0.00771795119341298","0.0121629028513376","1"
"Never","2018","Not Employed","Full Time","","","","","5"
"Never","2018","Not Employed","Part Time","","","","","5"
"Never","2018","Not Employed","Not Working","191","0.464386994845449","0.416803378340014","0.511970611350883","5"
"Never","2018","Employed","Part Time","","","","","5"
"Never","2018","Employed","Not Working","","","","","5"
"Never","2018","Employed","Full Time","","","","","5"
"Often","2018","Not Employed","Not Working","40","0.0950325995533101","0.0670527975035254","0.123012401603095","2"
"Often","2018","Employed","Full Time","","","","","2"
"Often","2018","Employed","Not Working","","","","","2"
"Often","2018","Not Employed","Full Time","","","","","2"
"Often","2018","Not Employed","Part Time","","","","","2"
"Often","2018","Employed","Part Time","","","","","2"
"Rarely ","2018","Not Employed","Full Time","","","","","4"
"Rarely ","2018","Not Employed","Part Time","","","","","4"
"Rarely ","2018","Employed","Not Working","","","","","4"
"Rarely ","2018","Not Employed","Not Working","71","0.164328849858776","0.128972576908287","0.199685122809264","4"
"Rarely ","2018","Employed","Full Time","","","","","4"
"Rarely ","2018","Employed","Part Time","","","","","4"
"Sometimes","2018","Not Employed","Full Time","","","","","3"
"Sometimes","2018","Not Employed","Part Time","","","","","3"
"Sometimes","2018","Not Employed","Not Working","93","0.231703331988338","0.191448086449822","0.271958577526855","3"
"Sometimes","2018","Employed","Not Working","","","","","3"
"Sometimes","2018","Employed","Full Time","","","","","3"
"Sometimes","2018","Employed","Part Time","","","","","3"
"Very often","2018","Not Employed","Not Working","27","","","","1"
"Very often","2018","Not Employed","Part Time","","","","","1"
"Very often","2018","Employed","Not Working","","","","","1"
"Very often","2018","Employed","Full Time","","","","","1"
"Very often","2018","Not Employed","Full Time","","","","","1"
"Very often","2018","Employed","Part Time","","","","","1"
"Never","2019","Not Employed","Full Time","","","","","5"
"Never","2019","Not Employed","Part Time","","","","","5"
"Never","2019","Not Employed","Not Working","134","0.509951185479008","0.450974885261197","0.568927485696819","5"
"Never","2019","Employed","Full Time","","","","","5"
"Never","2019","Employed","Part Time","","","","","5"
"Never","2019","Employed","Not Working","","","","","5"
"Often","2019","Not Employed","Full Time","","","","","2"
"Often","2019","Not Employed","Part Time","","","","","2"
"Often","2019","Not Employed","Not Working","21","","","","2"
"Often","2019","Employed","Full Time","","","","","2"
"Often","2019","Employed","Not Working","","","","","2"
"Often","2019","Employed","Part Time","","","","","2"
"Rarely ","2019","Not Employed","Full Time","","","","","4"
"Rarely ","2019","Not Employed","Part Time","","","","","4"
"Rarely ","2019","Not Employed","Not Working","52","0.195840947366719","0.149022578573504","0.242659316159934","4"
"Rarely ","2019","Employed","Full Time","","","","","4"
"Rarely ","2019","Employed","Not Working","","","","","4"
"Rarely ","2019","Employed","Part Time","","","","","4"
"Sometimes","2019","Not Employed","Not Working","61","0.196818161866457","0.14991165680467","0.243724666928243","3"
"Sometimes","2019","Employed","Not Working","","","","","3"
"Sometimes","2019","Not Employed","Part Time","","","","","3"
"Sometimes","2019","Not Employed","Full Time","","","","","3"
"Sometimes","2019","Employed","Full Time","","","","","3"
"Sometimes","2019","Employed","Part Time","","","","","3"
"Very often","2019","Employed","Not Working","","","","","1"
"Very often","2019","Employed","Full Time","","","","","1"
"Very often","2019","Not Employed","Full Time","","","","","1"
"Very often","2019","Not Employed","Part Time","","","","","1"
"Very often","2019","Not Employed","Not Working","8","","","","1"
"Very often","2019","Employed","Part Time","","","","","1"
