"plj0589","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Sometimes","2014","16-34 y.","Urban Area","","","","","3"
"Sometimes","2014","35-65 y.","Rural Area","","","","","3"
"Sometimes","2014","66 and older","Urban Area","","","","","3"
"Sometimes","2014","66 and older","Rural Area","","","","","3"
"Very often","2014","35-65 y.","Urban Area","","","","","1"
"Very often","2014","16-34 y.","Urban Area","","","","","1"
"Very often","2014","16-34 y.","Rural Area","","","","","1"
"Very often","2014","35-65 y.","Rural Area","","","","","1"
"Very often","2014","66 and older","Urban Area","","","","","1"
"Very often","2014","66 and older","Rural Area","","","","","1"
"Never","2015","16-34 y.","Rural Area","","","","","5"
"Never","2015","35-65 y.","Urban Area","","","","","5"
"Never","2015","66 and older","Urban Area","","","","","5"
"Never","2015","66 and older","Rural Area","","","","","5"
"Never","2015","16-34 y.","Urban Area","","","","","5"
"Never","2015","35-65 y.","Rural Area","","","","","5"
"Often","2015","35-65 y.","Rural Area","","","","","2"
"Often","2015","16-34 y.","Urban Area","","","","","2"
"Often","2015","35-65 y.","Urban Area","","","","","2"
"Often","2015","16-34 y.","Rural Area","","","","","2"
"Often","2015","66 and older","Urban Area","","","","","2"
"Often","2015","66 and older","Rural Area","","","","","2"
"Rarely ","2015","16-34 y.","Rural Area","","","","","4"
"Rarely ","2015","35-65 y.","Urban Area","","","","","4"
"Rarely ","2015","16-34 y.","Urban Area","","","","","4"
"Rarely ","2015","66 and older","Urban Area","","","","","4"
"Rarely ","2015","35-65 y.","Rural Area","","","","","4"
"Rarely ","2015","66 and older","Rural Area","","","","","4"
"Sometimes","2015","35-65 y.","Urban Area","","","","","3"
"Sometimes","2015","35-65 y.","Rural Area","","","","","3"
"Sometimes","2015","16-34 y.","Urban Area","","","","","3"
"Sometimes","2015","16-34 y.","Rural Area","","","","","3"
"Sometimes","2015","66 and older","Urban Area","","","","","3"
"Sometimes","2015","66 and older","Rural Area","","","","","3"
"Very often","2015","16-34 y.","Urban Area","","","","","1"
"Very often","2015","16-34 y.","Rural Area","","","","","1"
"Very often","2015","35-65 y.","Urban Area","","","","","1"
"Very often","2015","35-65 y.","Rural Area","","","","","1"
"Very often","2015","66 and older","Urban Area","","","","","1"
"Very often","2015","66 and older","Rural Area","","","","","1"
"Never","2016","16-34 y.","Urban Area","676","0.33722629809341","0.314442627663642","0.360009968523179","5"
"Never","2016","16-34 y.","Rural Area","270","0.315496991563277","0.282758180585046","0.348235802541507","5"
"Never","2016","35-65 y.","Urban Area","516","0.343389839155997","0.317077045753004","0.369702632558991","5"
"Never","2016","35-65 y.","Rural Area","188","0.294637278890512","0.256709998833223","0.3325645589478","5"
"Never","2016","66 and older","Urban Area","5","","","","5"
"Never","2016","66 and older","Rural Area","2","","","","5"
"Often","2016","16-34 y.","Urban Area","202","0.173974479351161","0.155705266158359","0.192243692543963","2"
"Often","2016","16-34 y.","Rural Area","120","0.175929111454791","0.149104789593905","0.202753433315677","2"
"Often","2016","35-65 y.","Urban Area","156","0.17329485620531","0.152320550574761","0.194269161835858","2"
"Often","2016","35-65 y.","Rural Area","93","0.164286501803693","0.133459502759977","0.195113500847408","2"
"Often","2016","66 and older","Urban Area","1","","","","2"
"Often","2016","66 and older","Rural Area","","","","","2"
"Rarely ","2016","16-34 y.","Urban Area","304","0.197979368972594","0.178775750178551","0.217182987766638","4"
"Rarely ","2016","16-34 y.","Rural Area","122","0.154666406252278","0.129192844547195","0.180139967957361","4"
"Rarely ","2016","35-65 y.","Urban Area","218","0.147989550667047","0.128312616957258","0.167666484376836","4"
"Rarely ","2016","35-65 y.","Rural Area","100","0.157608680935019","0.127294306681257","0.18792305518878","4"
"Rarely ","2016","66 and older","Urban Area","4","","","","4"
"Rarely ","2016","66 and older","Rural Area","","","","","4"
"Sometimes","2016","16-34 y.","Urban Area","371","0.213841596082019","0.194081845303527","0.233601346860511","3"
"Sometimes","2016","16-34 y.","Rural Area","189","0.253727261939363","0.223071651716627","0.284382872162099","3"
"Sometimes","2016","35-65 y.","Urban Area","262","0.231238797333155","0.207874887801911","0.2546027068644","3"
"Sometimes","2016","35-65 y.","Rural Area","135","0.273657578893413","0.23656593818552","0.310749219601306","3"
"Sometimes","2016","66 and older","Urban Area","8","","","","3"
"Sometimes","2016","66 and older","Rural Area","2","","","","3"
"Very often","2016","16-34 y.","Urban Area","101","0.0769782575008153","0.0641321857888091","0.0898243292128215","1"
"Very often","2016","16-34 y.","Rural Area","73","0.100180228790291","0.0790284748339175","0.121331982746665","1"
"Very often","2016","35-65 y.","Urban Area","99","0.104086956638491","0.087165002209694","0.121008911067287","1"
"Very often","2016","35-65 y.","Rural Area","39","0.109809959477364","0.0837985533100901","0.135821365644639","1"
"Very often","2016","66 and older","Urban Area","2","","","","1"
"Very often","2016","66 and older","Rural Area","1","","","","1"
"Never","2017","16-34 y.","Urban Area","2931","0.564496137867887","0.55147038054165","0.577521895194124","5"
"Never","2017","16-34 y.","Rural Area","1257","0.533776219901963","0.51422916828173","0.553323271522195","5"
"Never","2017","35-65 y.","Urban Area","6099","0.59184384226727","0.582461226588675","0.601226457945866","5"
"Never","2017","35-65 y.","Rural Area","3215","0.552286297355384","0.539501172291247","0.565071422419521","5"
"Never","2017","66 and older","Urban Area","1973","0.602261665747234","0.585221323732193","0.619302007762276","5"
"Never","2017","66 and older","Rural Area","1090","0.571953434584425","0.549587090033514","0.594319779135335","5"
"Often","2017","16-34 y.","Urban Area","344","0.0430615890358642","0.0377286881821769","0.0483944898895515","2"
"Often","2017","35-65 y.","Urban Area","463","0.0393086750826859","0.0355989363722495","0.0430184137931222","2"
"Often","2017","16-34 y.","Rural Area","168","0.0546415771872764","0.04573595430498","0.0635472000695729","2"
"Often","2017","66 and older","Rural Area","57","0.036080445074699","0.0276504852494594","0.0445104048999386","2"
"Often","2017","35-65 y.","Rural Area","254","0.0346941766457967","0.0299889190001965","0.039399434291397","2"
"Often","2017","66 and older","Urban Area","86","0.0289349513338837","0.0230988542067358","0.0347710484610317","2"
"Rarely ","2017","16-34 y.","Urban Area","1368","0.276711110645589","0.264958193197846","0.288464028093332","4"
"Rarely ","2017","16-34 y.","Rural Area","622","0.265018353427246","0.247724942505932","0.28231176434856","4"
"Rarely ","2017","66 and older","Urban Area","808","0.256517386025927","0.241312583542028","0.271722188509826","4"
"Rarely ","2017","35-65 y.","Rural Area","1632","0.297856188702929","0.286098038506088","0.30961433889977","4"
"Rarely ","2017","66 and older","Rural Area","533","0.270222856551511","0.250149253341914","0.290296459761108","4"
"Rarely ","2017","35-65 y.","Urban Area","2630","0.252912661810507","0.244614571472232","0.261210752148781","4"
"Sometimes","2017","16-34 y.","Urban Area","795","0.105933566302606","0.0978486006023026","0.114018532002909","3"
"Sometimes","2017","16-34 y.","Rural Area","394","0.12751211250152","0.114442585751549","0.140581639251491","3"
"Sometimes","2017","66 and older","Urban Area","270","0.102008565040462","0.0914709728346969","0.112546157246228","3"
"Sometimes","2017","66 and older","Rural Area","184","0.113480261325164","0.0991427578925789","0.127817764757748","3"
"Sometimes","2017","35-65 y.","Urban Area","1177","0.102413482454478","0.0966255439038631","0.108201421005092","3"
"Sometimes","2017","35-65 y.","Rural Area","618","0.103327272705978","0.0955011416395174","0.111153403772438","3"
"Very often","2017","35-65 y.","Urban Area","172","0.0135213383850595","0.0113165806602889","0.01572609610983","1"
"Very often","2017","66 and older","Rural Area","16","","","","1"
"Very often","2017","16-34 y.","Urban Area","128","0.00979759614805385","0.00720998957766759","0.0123852027184401","1"
"Very often","2017","16-34 y.","Rural Area","61","0.019051736981995","0.0136950683890363","0.0244084055749537","1"
"Very often","2017","35-65 y.","Rural Area","92","0.0118360645899126","0.00905544987743553","0.0146166793023897","1"
"Very often","2017","66 and older","Urban Area","32","0.0102774318524924","0.00676598571597028","0.0137888779890146","1"
"Never","2018","16-34 y.","Urban Area","77","0.445828397893819","0.36928696619112","0.522369829596518","5"
"Never","2018","16-34 y.","Rural Area","42","0.512856006190938","0.411811998462965","0.613900013918911","5"
"Never","2018","35-65 y.","Urban Area","43","0.46948025237713","0.372628508025308","0.566331996728952","5"
"Never","2018","66 and older","Urban Area","","","","","5"
"Never","2018","66 and older","Rural Area","1","","","","5"
"Never","2018","35-65 y.","Rural Area","28","","","","5"
"Often","2018","35-65 y.","Urban Area","11","","","","2"
"Often","2018","35-65 y.","Rural Area","7","","","","2"
"Often","2018","66 and older","Rural Area","","","","","2"
"Often","2018","16-34 y.","Urban Area","15","","","","2"
"Often","2018","16-34 y.","Rural Area","6","","","","2"
"Often","2018","66 and older","Urban Area","1","","","","2"
"Rarely ","2018","16-34 y.","Urban Area","28","","","","4"
"Rarely ","2018","16-34 y.","Rural Area","18","","","","4"
"Rarely ","2018","66 and older","Rural Area","","","","","4"
"Rarely ","2018","35-65 y.","Urban Area","16","","","","4"
"Rarely ","2018","35-65 y.","Rural Area","8","","","","4"
"Rarely ","2018","66 and older","Urban Area","1","","","","4"
"Sometimes","2018","16-34 y.","Urban Area","36","0.225002952607855","0.160699437156565","0.289306468059144","3"
"Sometimes","2018","16-34 y.","Rural Area","22","","","","3"
"Sometimes","2018","35-65 y.","Urban Area","23","","","","3"
"Sometimes","2018","66 and older","Rural Area","","","","","3"
"Sometimes","2018","35-65 y.","Rural Area","12","","","","3"
"Sometimes","2018","66 and older","Urban Area","","","","","3"
"Very often","2018","35-65 y.","Urban Area","9","","","","1"
"Very often","2018","16-34 y.","Rural Area","6","","","","1"
"Very often","2018","66 and older","Rural Area","","","","","1"
"Very often","2018","35-65 y.","Rural Area","5","","","","1"
"Very often","2018","16-34 y.","Urban Area","6","","","","1"
"Very often","2018","66 and older","Urban Area","1","","","","1"
"Never","2019","16-34 y.","Urban Area","61","0.596768324177114","0.500138609832794","0.693398038521435","5"
"Never","2019","16-34 y.","Rural Area","23","","","","5"
"Never","2019","35-65 y.","Urban Area","27","","","","5"
"Never","2019","35-65 y.","Rural Area","18","","","","5"
"Never","2019","66 and older","Urban Area","2","","","","5"
"Never","2019","66 and older","Rural Area","1","","","","5"
"Often","2019","16-34 y.","Urban Area","10","","","","2"
"Often","2019","16-34 y.","Rural Area","1","","","","2"
"Often","2019","35-65 y.","Urban Area","5","","","","2"
"Often","2019","35-65 y.","Rural Area","5","","","","2"
"Often","2019","66 and older","Rural Area","","","","","2"
"Often","2019","66 and older","Urban Area","","","","","2"
"Rarely ","2019","16-34 y.","Urban Area","8","","","","4"
"Rarely ","2019","16-34 y.","Rural Area","11","","","","4"
"Rarely ","2019","35-65 y.","Urban Area","17","","","","4"
"Rarely ","2019","35-65 y.","Rural Area","13","","","","4"
"Rarely ","2019","66 and older","Rural Area","1","","","","4"
"Rarely ","2019","66 and older","Urban Area","1","","","","4"
"Sometimes","2019","35-65 y.","Urban Area","18","","","","3"
"Sometimes","2019","66 and older","Rural Area","","","","","3"
"Sometimes","2019","16-34 y.","Rural Area","8","","","","3"
"Sometimes","2019","16-34 y.","Urban Area","19","","","","3"
"Sometimes","2019","35-65 y.","Rural Area","15","","","","3"
"Sometimes","2019","66 and older","Urban Area","","","","","3"
"Very often","2019","66 and older","Rural Area","1","","","","1"
"Very often","2019","35-65 y.","Rural Area","2","","","","1"
"Very often","2019","16-34 y.","Urban Area","1","","","","1"
"Very often","2019","16-34 y.","Rural Area","2","","","","1"
"Very often","2019","35-65 y.","Urban Area","2","","","","1"
"Very often","2019","66 and older","Urban Area","","","","","1"
