"plj0589","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Often","2016","indirect migration background","Rural Area","","","","","2"
"Rarely ","2016","no migration background","Urban Area","","","","","4"
"Rarely ","2016","no migration background","Rural Area","","","","","4"
"Rarely ","2016","direct migration background","Urban Area","526","0.185212174286672","0.171136540441466","0.199287808131877","4"
"Rarely ","2016","direct migration background","Rural Area","222","0.154896174985511","0.135480810114456","0.174311539856566","4"
"Rarely ","2016","indirect migration background","Urban Area","","","","","4"
"Rarely ","2016","indirect migration background","Rural Area","","","","","4"
"Sometimes","2016","no migration background","Urban Area","","","","","3"
"Sometimes","2016","no migration background","Rural Area","","","","","3"
"Sometimes","2016","direct migration background","Urban Area","641","0.220751866392333","0.205723872580622","0.235779860204044","3"
"Sometimes","2016","direct migration background","Rural Area","326","0.260869924923999","0.237306271860272","0.284433577987725","3"
"Sometimes","2016","indirect migration background","Urban Area","","","","","3"
"Sometimes","2016","indirect migration background","Rural Area","","","","","3"
"Very often","2016","no migration background","Urban Area","","","","","1"
"Very often","2016","no migration background","Rural Area","","","","","1"
"Very often","2016","direct migration background","Urban Area","202","0.0842875150571631","0.0742211628193789","0.0943538672949472","1"
"Very often","2016","direct migration background","Rural Area","113","0.102938594634506","0.0866317332419084","0.119245456027104","1"
"Very often","2016","indirect migration background","Urban Area","","","","","1"
"Very often","2016","indirect migration background","Rural Area","","","","","1"
"Never","2017","no migration background","Urban Area","7702","0.616601290301273","0.608035490229398","0.625167090373149","5"
"Never","2017","no migration background","Rural Area","4529","0.559912330207586","0.548970264908798","0.570854395506375","5"
"Never","2017","direct migration background","Urban Area","2512","0.472946094616974","0.4597429727723","0.486149216461648","5"
"Never","2017","direct migration background","Rural Area","858","0.508228919358381","0.486219557755655","0.530238280961108","5"
"Never","2017","indirect migration background","Urban Area","789","0.566349437235532","0.540445389931127","0.592253484539936","5"
"Never","2017","indirect migration background","Rural Area","175","0.516265445115643","0.460181538690974","0.572349351540313","5"
"Often","2017","no migration background","Urban Area","384","0.0304286225184441","0.0274026050205133","0.033454640016375","2"
"Often","2017","direct migration background","Urban Area","443","0.0674621872508683","0.0608292372175755","0.0740951372841612","2"
"Often","2017","no migration background","Rural Area","281","0.0369347101918783","0.0327773763638076","0.0410920440199491","2"
"Often","2017","indirect migration background","Rural Area","16","","","","2"
"Often","2017","direct migration background","Rural Area","182","0.0532603322546817","0.0433744942697327","0.0631461702396306","2"
"Often","2017","indirect migration background","Urban Area","66","0.0406260443347378","0.0303067105082517","0.050945378161224","2"
"Rarely ","2017","no migration background","Urban Area","3126","0.254863788361039","0.24718642143512","0.262541155286959","4"
"Rarely ","2017","no migration background","Rural Area","2232","0.285457405756528","0.275502104550213","0.295412706962842","4"
"Rarely ","2017","indirect migration background","Urban Area","369","0.265956417437146","0.242861224704883","0.28905161016941","4"
"Rarely ","2017","direct migration background","Rural Area","479","0.266774609402365","0.247303654087473","0.286245564717257","4"
"Rarely ","2017","indirect migration background","Rural Area","76","0.305862638066246","0.254151499890901","0.35757377624159","4"
"Rarely ","2017","direct migration background","Urban Area","1311","0.278093831600113","0.266244895815998","0.289942767384229","4"
"Sometimes","2017","no migration background","Urban Area","1068","0.0889741042420948","0.0839583347601332","0.0939898737240564","3"
"Sometimes","2017","no migration background","Rural Area","788","0.106475798943707","0.0996767479305919","0.113274849956823","3"
"Sometimes","2017","indirect migration background","Urban Area","164","0.114865773709371","0.0981988549328313","0.131532692485911","3"
"Sometimes","2017","indirect migration background","Rural Area","32","0.101645255212335","0.0677322981802498","0.13555821224442","3"
"Sometimes","2017","direct migration background","Urban Area","1010","0.158620477190239","0.148959548275055","0.168281406105424","3"
"Sometimes","2017","direct migration background","Rural Area","376","0.150354426313702","0.134619189821055","0.166089662806349","3"
"Very often","2017","direct migration background","Urban Area","217","0.0228774093418048","0.0189235497741952","0.0268312689094143","1"
"Very often","2017","indirect migration background","Rural Area","6","","","","1"
"Very often","2017","no migration background","Urban Area","97","0.00913219457714881","0.00745634191878009","0.0108080472355175","1"
"Very often","2017","no migration background","Rural Area","76","0.0112197549002999","0.00889802731520349","0.0135414824853962","1"
"Very often","2017","direct migration background","Rural Area","87","0.0213817126708695","0.0150134029931566","0.0277500223485825","1"
"Very often","2017","indirect migration background","Urban Area","18","","","","1"
"Never","2018","no migration background","Urban Area","","","","","5"
"Never","2018","no migration background","Rural Area","","","","","5"
"Never","2018","direct migration background","Urban Area","120","0.448462672550163","0.388808192344379","0.508117152755948","5"
"Never","2018","indirect migration background","Urban Area","","","","","5"
"Never","2018","indirect migration background","Rural Area","","","","","5"
"Never","2018","direct migration background","Rural Area","71","0.494451770278927","0.415742568697278","0.573160971860576","5"
"Often","2018","direct migration background","Urban Area","27","","","","2"
"Often","2018","direct migration background","Rural Area","13","","","","2"
"Often","2018","indirect migration background","Rural Area","","","","","2"
"Often","2018","no migration background","Urban Area","","","","","2"
"Often","2018","no migration background","Rural Area","","","","","2"
"Often","2018","indirect migration background","Urban Area","","","","","2"
"Rarely ","2018","no migration background","Urban Area","","","","","4"
"Rarely ","2018","no migration background","Rural Area","","","","","4"
"Rarely ","2018","indirect migration background","Rural Area","","","","","4"
"Rarely ","2018","direct migration background","Urban Area","45","0.193945935255639","0.146520111008771","0.241371759502507","4"
"Rarely ","2018","direct migration background","Rural Area","26","","","","4"
"Rarely ","2018","indirect migration background","Urban Area","","","","","4"
"Sometimes","2018","no migration background","Urban Area","","","","","3"
"Sometimes","2018","no migration background","Rural Area","","","","","3"
"Sometimes","2018","direct migration background","Urban Area","59","0.219158165198826","0.169538614791571","0.268777715606081","3"
"Sometimes","2018","indirect migration background","Rural Area","","","","","3"
"Sometimes","2018","direct migration background","Rural Area","34","0.255388335048963","0.186737205369458","0.324039464728469","3"
"Sometimes","2018","indirect migration background","Urban Area","","","","","3"
"Very often","2018","direct migration background","Urban Area","16","","","","1"
"Very often","2018","no migration background","Rural Area","","","","","1"
"Very often","2018","indirect migration background","Rural Area","","","","","1"
"Very often","2018","direct migration background","Rural Area","11","","","","1"
"Very often","2018","no migration background","Urban Area","","","","","1"
"Very often","2018","indirect migration background","Urban Area","","","","","1"
"Never","2019","no migration background","Urban Area","","","","","5"
"Never","2019","no migration background","Rural Area","","","","","5"
"Never","2019","direct migration background","Urban Area","90","0.521341121579832","0.446468319584845","0.59621392357482","5"
"Never","2019","direct migration background","Rural Area","42","0.494948643180828","0.397441766768326","0.59245551959333","5"
"Never","2019","indirect migration background","Urban Area","","","","","5"
"Never","2019","indirect migration background","Rural Area","","","","","5"
"Often","2019","no migration background","Urban Area","","","","","2"
"Often","2019","no migration background","Rural Area","","","","","2"
"Often","2019","direct migration background","Urban Area","15","","","","2"
"Often","2019","direct migration background","Rural Area","6","","","","2"
"Often","2019","indirect migration background","Rural Area","","","","","2"
"Often","2019","indirect migration background","Urban Area","","","","","2"
"Rarely ","2019","no migration background","Urban Area","","","","","4"
"Rarely ","2019","no migration background","Rural Area","","","","","4"
"Rarely ","2019","direct migration background","Urban Area","26","","","","4"
"Rarely ","2019","direct migration background","Rural Area","25","","","","4"
"Rarely ","2019","indirect migration background","Rural Area","","","","","4"
"Rarely ","2019","indirect migration background","Urban Area","","","","","4"
"Sometimes","2019","direct migration background","Urban Area","37","0.224628460856828","0.162077014764788","0.287179906948867","3"
"Sometimes","2019","indirect migration background","Rural Area","","","","","3"
"Sometimes","2019","no migration background","Rural Area","","","","","3"
"Sometimes","2019","no migration background","Urban Area","","","","","3"
"Sometimes","2019","direct migration background","Rural Area","23","","","","3"
"Sometimes","2019","indirect migration background","Urban Area","","","","","3"
"Very often","2019","indirect migration background","Rural Area","","","","","1"
"Very often","2019","direct migration background","Rural Area","5","","","","1"
"Very often","2019","no migration background","Urban Area","","","","","1"
"Very often","2019","no migration background","Rural Area","","","","","1"
"Very often","2019","direct migration background","Urban Area","3","","","","1"
"Very often","2019","indirect migration background","Urban Area","","","","","1"
