"plj0588","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Sometimes","2015","66 and older","Rural Area","","","",""
"Rarely ","2015","16-34 y.","Urban Area","","","",""
"Rarely ","2015","16-34 y.","Rural Area","","","",""
"Rarely ","2015","35-65 y.","Urban Area","","","",""
"Rarely ","2015","35-65 y.","Rural Area","","","",""
"Rarely ","2015","66 and older","Urban Area","","","",""
"Rarely ","2015","66 and older","Rural Area","","","",""
"Never","2015","16-34 y.","Urban Area","","","",""
"Never","2015","16-34 y.","Rural Area","","","",""
"Never","2015","35-65 y.","Urban Area","","","",""
"Never","2015","35-65 y.","Rural Area","","","",""
"Never","2015","66 and older","Urban Area","","","",""
"Never","2015","66 and older","Rural Area","","","",""
"Very often","2016","16-34 y.","Urban Area","111","0.0868171515847783","0.0731982163690428","0.100436086800514"
"Very often","2016","16-34 y.","Rural Area","63","0.0967293066809231","0.0757967775852","0.117661835776646"
"Very often","2016","35-65 y.","Urban Area","109","0.104010179831549","0.0869982844776471","0.12102207518545"
"Very often","2016","35-65 y.","Rural Area","38","0.100674347118436","0.0754815891967836","0.125867105040089"
"Very often","2016","66 and older","Urban Area","2","","",""
"Very often","2016","66 and older","Rural Area","1","","",""
"Often","2016","16-34 y.","Urban Area","210","0.173587895860607","0.155268144761849","0.191907646959365"
"Often","2016","16-34 y.","Rural Area","121","0.175825640460515","0.148867845866179","0.202783435054852"
"Often","2016","35-65 y.","Urban Area","148","0.163508152772501","0.142898826082834","0.184117479462168"
"Often","2016","35-65 y.","Rural Area","82","0.175223271649332","0.143394351586676","0.207052191711987"
"Often","2016","66 and older","Urban Area","5","","",""
"Often","2016","66 and older","Rural Area","","","",""
"Sometimes","2016","16-34 y.","Urban Area","428","0.286347289757496","0.264482187497612","0.30821239201738"
"Sometimes","2016","16-34 y.","Rural Area","212","0.283690687689964","0.25176747842494","0.315613896954988"
"Sometimes","2016","35-65 y.","Urban Area","294","0.269462254186073","0.244737411298262","0.294187097073884"
"Sometimes","2016","35-65 y.","Rural Area","175","0.320545972145579","0.281472409366421","0.359619534924738"
"Sometimes","2016","66 and older","Urban Area","5","","",""
"Sometimes","2016","66 and older","Rural Area","1","","",""
"Rarely ","2016","16-34 y.","Urban Area","330","0.175351025719807","0.156958124793774","0.193743926645841"
"Rarely ","2016","16-34 y.","Rural Area","161","0.195898714685879","0.167792337016837","0.224005092354921"
"Rarely ","2016","35-65 y.","Urban Area","258","0.182785986765603","0.16124812463655","0.204323848894656"
"Rarely ","2016","35-65 y.","Rural Area","97","0.177307273187281","0.145330111260973","0.20928443511359"
"Rarely ","2016","66 and older","Urban Area","5","","",""
"Rarely ","2016","66 and older","Rural Area","1","","",""
"Never","2016","16-34 y.","Urban Area","563","0.277896637077311","0.256229434486844","0.299563839667778"
"Never","2016","16-34 y.","Rural Area","209","0.247855650482719","0.217279435948274","0.278431865017164"
"Never","2016","35-65 y.","Urban Area","428","0.280233426444274","0.255205835588683","0.305261017299866"
"Never","2016","35-65 y.","Rural Area","156","0.226249135899372","0.191218191155163","0.261280080643581"
"Never","2016","66 and older","Urban Area","2","","",""
"Never","2016","66 and older","Rural Area","2","","",""
"Very often","2017","16-34 y.","Urban Area","156","0.00904835430721274","0.00655825257741545","0.01153845603701"
"Very often","2017","16-34 y.","Rural Area","69","0.0126122001703559","0.00823606044764245","0.0169883398930693"
"Very often","2017","35-65 y.","Urban Area","184","0.0136175066769834","0.0114036646427039","0.0158313487112629"
"Very often","2017","35-65 y.","Rural Area","84","0.0118663719364107","0.00908296057692478","0.0146497832958966"
"Very often","2017","66 and older","Urban Area","35","0.0135485427096204","0.00952031506728969","0.0175767703519512"
"Very often","2017","66 and older","Rural Area","19","","",""
"Often","2017","16-34 y.","Urban Area","395","0.0527292989670244","0.0468521173634088","0.0586064805706399"
"Often","2017","16-34 y.","Rural Area","218","0.081257322832349","0.070542621393506","0.0919720242711919"
"Often","2017","35-65 y.","Urban Area","609","0.0503232603440533","0.0461473858391147","0.0544991348489919"
"Often","2017","35-65 y.","Rural Area","340","0.0507061572422732","0.0450666487012797","0.0563456657832667"
"Often","2017","66 and older","Urban Area","146","0.0556085084019651","0.0476234791861217","0.0635935376178086"
"Often","2017","66 and older","Rural Area","93","0.0496040670088121","0.0397814574379959","0.0594266765796283"
"Sometimes","2017","16-34 y.","Urban Area","1265","0.220983171801254","0.210072309360124","0.231894034242384"
"Sometimes","2017","16-34 y.","Rural Area","547","0.187653137324048","0.172342243577879","0.202964031070217"
"Sometimes","2017","35-65 y.","Urban Area","2198","0.204066171447757","0.196367795022102","0.211764547873413"
"Sometimes","2017","35-65 y.","Rural Area","1142","0.200453852550802","0.19016327977146","0.210744425330143"
"Sometimes","2017","66 and older","Urban Area","574","0.196420636799376","0.182577395200189","0.210263878398563"
"Sometimes","2017","66 and older","Rural Area","338","0.1889689699693","0.171258506033366","0.206679433905234"
"Rarely ","2017","16-34 y.","Urban Area","2102","0.454617575506562","0.441523352313369","0.467711798699754"
"Rarely ","2017","16-34 y.","Rural Area","988","0.439272443844332","0.41981011511186","0.458734772576804"
"Rarely ","2017","35-65 y.","Urban Area","4320","0.430761337834852","0.42130243626724","0.440220239402463"
"Rarely ","2017","35-65 y.","Rural Area","2587","0.4727799405046","0.459946708046889","0.485613172962312"
"Rarely ","2017","66 and older","Urban Area","1208","0.357639588697398","0.340938605821228","0.374340571573568"
"Rarely ","2017","66 and older","Rural Area","780","0.418521045529347","0.396203747868651","0.440838343190043"
"Never","2017","16-34 y.","Urban Area","1637","0.262621599417947","0.251049384616037","0.274193814219858"
"Never","2017","16-34 y.","Rural Area","676","0.279204895828915","0.261612730300775","0.296797061357056"
"Never","2017","35-65 y.","Urban Area","3217","0.301231723696354","0.292467930992204","0.309995516400505"
"Never","2017","35-65 y.","Rural Area","1661","0.264193677765914","0.252860451873785","0.275526903658043"
"Never","2017","66 and older","Urban Area","1201","0.376782723391641","0.359897955841774","0.393667490941507"
"Never","2017","66 and older","Rural Area","647","0.32910556210988","0.307848136815739","0.35036298740402"
"Very often","2018","16-34 y.","Urban Area","11","","",""
"Very often","2018","16-34 y.","Rural Area","5","","",""
"Very often","2018","35-65 y.","Urban Area","13","","",""
"Very often","2018","35-65 y.","Rural Area","5","","",""
"Very often","2018","66 and older","Urban Area","1","","",""
"Very often","2018","66 and older","Rural Area","","","",""
"Often","2018","16-34 y.","Urban Area","16","","",""
"Often","2018","16-34 y.","Rural Area","12","","",""
"Often","2018","35-65 y.","Urban Area","10","","",""
"Often","2018","35-65 y.","Rural Area","3","","",""
"Often","2018","66 and older","Urban Area","1","","",""
"Often","2018","66 and older","Rural Area","","","",""
"Sometimes","2018","16-34 y.","Urban Area","44","0.274800030888355","0.205628820255494","0.343971241521215"
"Sometimes","2018","16-34 y.","Rural Area","25","","",""
"Sometimes","2018","35-65 y.","Urban Area","29","","",""
"Sometimes","2018","35-65 y.","Rural Area","16","","",""
"Sometimes","2018","66 and older","Urban Area","1","","",""
"Sometimes","2018","66 and older","Rural Area","","","",""
"Rarely ","2018","16-34 y.","Urban Area","19","","",""
"Rarely ","2018","16-34 y.","Rural Area","18","","",""
"Rarely ","2018","35-65 y.","Urban Area","18","","",""
"Rarely ","2018","35-65 y.","Rural Area","13","","",""
"Rarely ","2018","66 and older","Urban Area","","","",""
"Rarely ","2018","66 and older","Rural Area","","","",""
"Never","2018","16-34 y.","Urban Area","70","0.416594264001524","0.340205393233236","0.492983134769812"
"Never","2018","16-34 y.","Rural Area","35","0.354252095125645","0.258074479750523","0.450429710500768"
"Never","2018","35-65 y.","Urban Area","32","0.329441676202547","0.238228925368709","0.420654427036384"
"Never","2018","35-65 y.","Rural Area","22","","",""
"Never","2018","66 and older","Urban Area","","","",""
"Never","2018","66 and older","Rural Area","1","","",""
"Very often","2019","16-34 y.","Urban Area","2","","",""
"Very often","2019","16-34 y.","Rural Area","1","","",""
"Very often","2019","35-65 y.","Urban Area","2","","",""
"Very often","2019","35-65 y.","Rural Area","2","","",""
"Very often","2019","66 and older","Urban Area","","","",""
"Very often","2019","66 and older","Rural Area","1","","",""
"Often","2019","16-34 y.","Urban Area","8","","",""
"Often","2019","16-34 y.","Rural Area","2","","",""
"Often","2019","35-65 y.","Urban Area","6","","",""
"Often","2019","35-65 y.","Rural Area","6","","",""
"Often","2019","66 and older","Urban Area","","","",""
"Often","2019","66 and older","Rural Area","","","",""
"Sometimes","2019","16-34 y.","Urban Area","15","","",""
"Sometimes","2019","16-34 y.","Rural Area","11","","",""
"Sometimes","2019","35-65 y.","Urban Area","14","","",""
"Sometimes","2019","35-65 y.","Rural Area","15","","",""
"Sometimes","2019","66 and older","Urban Area","","","",""
"Sometimes","2019","66 and older","Rural Area","1","","",""
"Rarely ","2019","16-34 y.","Urban Area","16","","",""
"Rarely ","2019","16-34 y.","Rural Area","13","","",""
"Rarely ","2019","35-65 y.","Urban Area","19","","",""
"Rarely ","2019","35-65 y.","Rural Area","11","","",""
"Rarely ","2019","66 and older","Urban Area","1","","",""
"Rarely ","2019","66 and older","Rural Area","","","",""
"Never","2019","16-34 y.","Urban Area","58","0.574681346497799","0.477294285600501","0.672068407395098"
"Never","2019","16-34 y.","Rural Area","18","","",""
"Never","2019","35-65 y.","Urban Area","27","","",""
"Never","2019","35-65 y.","Rural Area","19","","",""
"Never","2019","66 and older","Urban Area","2","","",""
"Never","2019","66 and older","Rural Area","1","","",""
