"plj0588","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Very often","2014","Employed","Full Time","","","","","1"
"Very often","2014","Employed","Part Time","","","","","1"
"Very often","2014","Employed","Not Working","","","","","1"
"Never","2015","Not Employed","Part Time","","","","","5"
"Never","2015","Not Employed","Not Working","","","","","5"
"Never","2015","Employed","Part Time","","","","","5"
"Never","2015","Employed","Not Working","","","","","5"
"Never","2015","Not Employed","Full Time","","","","","5"
"Never","2015","Employed","Full Time","","","","","5"
"Often","2015","Employed","Full Time","","","","","2"
"Often","2015","Not Employed","Full Time","","","","","2"
"Often","2015","Not Employed","Not Working","","","","","2"
"Often","2015","Not Employed","Part Time","","","","","2"
"Often","2015","Employed","Part Time","","","","","2"
"Often","2015","Employed","Not Working","","","","","2"
"Rarely ","2015","Not Employed","Part Time","","","","","4"
"Rarely ","2015","Not Employed","Not Working","","","","","4"
"Rarely ","2015","Not Employed","Full Time","","","","","4"
"Rarely ","2015","Employed","Part Time","","","","","4"
"Rarely ","2015","Employed","Full Time","","","","","4"
"Rarely ","2015","Employed","Not Working","","","","","4"
"Sometimes","2015","Not Employed","Not Working","","","","","3"
"Sometimes","2015","Employed","Full Time","","","","","3"
"Sometimes","2015","Not Employed","Full Time","","","","","3"
"Sometimes","2015","Not Employed","Part Time","","","","","3"
"Sometimes","2015","Employed","Part Time","","","","","3"
"Sometimes","2015","Employed","Not Working","","","","","3"
"Very often","2015","Not Employed","Full Time","","","","","1"
"Very often","2015","Not Employed","Part Time","","","","","1"
"Very often","2015","Not Employed","Not Working","","","","","1"
"Very often","2015","Employed","Full Time","","","","","1"
"Very often","2015","Employed","Part Time","","","","","1"
"Very often","2015","Employed","Not Working","","","","","1"
"Never","2016","Not Employed","Full Time","","","","","5"
"Never","2016","Not Employed","Part Time","","","","","5"
"Never","2016","Not Employed","Not Working","1350","0.265457498269872","0.252096579773351","0.278818416766394","5"
"Never","2016","Employed","Full Time","","","","","5"
"Never","2016","Employed","Part Time","","","","","5"
"Never","2016","Employed","Not Working","","","","","5"
"Often","2016","Not Employed","Full Time","","","","","2"
"Often","2016","Not Employed","Part Time","","","","","2"
"Often","2016","Not Employed","Not Working","566","0.172446316700374","0.161016075351801","0.183876558048947","2"
"Often","2016","Employed","Full Time","","","","","2"
"Often","2016","Employed","Part Time","","","","","2"
"Often","2016","Employed","Not Working","","","","","2"
"Rarely ","2016","Not Employed","Full Time","","","","","4"
"Rarely ","2016","Not Employed","Part Time","","","","","4"
"Rarely ","2016","Not Employed","Not Working","848","0.182662139473344","0.170971038009444","0.194353240937244","4"
"Rarely ","2016","Employed","Full Time","","","","","4"
"Rarely ","2016","Employed","Part Time","","","","","4"
"Rarely ","2016","Employed","Not Working","","","","","4"
"Sometimes","2016","Not Employed","Full Time","","","","","3"
"Sometimes","2016","Not Employed","Part Time","","","","","3"
"Sometimes","2016","Not Employed","Not Working","1110","0.285725073774128","0.272056058445927","0.299394089102328","3"
"Sometimes","2016","Employed","Full Time","","","","","3"
"Sometimes","2016","Employed","Part Time","","","","","3"
"Sometimes","2016","Employed","Not Working","","","","","3"
"Very often","2016","Not Employed","Full Time","","","","","1"
"Very often","2016","Not Employed","Part Time","","","","","1"
"Very often","2016","Not Employed","Not Working","322","0.0937089717822827","0.0848912827669861","0.102526660797579","1"
"Very often","2016","Employed","Full Time","","","","","1"
"Very often","2016","Employed","Part Time","","","","","1"
"Very often","2016","Employed","Not Working","","","","","1"
"Never","2017","Not Employed","Full Time","","","","","5"
"Never","2017","Not Employed","Part Time","","","","","5"
"Never","2017","Not Employed","Not Working","3626","0.319136607523033","0.310576752540214","0.327696462505853","5"
"Never","2017","Employed","Full Time","3235","0.297170313941479","0.288381066486845","0.305959561396113","5"
"Never","2017","Employed","Part Time","2178","0.283030585391007","0.272941369633322","0.293119801148692","5"
"Never","2017","Employed","Not Working","","","","","5"
"Often","2017","Not Employed","Full Time","","","","","2"
"Often","2017","Not Employed","Not Working","951","0.0685977209182658","0.0639560794171692","0.0732393624193625","2"
"Often","2017","Not Employed","Part Time","","","","","2"
"Often","2017","Employed","Not Working","","","","","2"
"Often","2017","Employed","Full Time","408","0.0397463236730879","0.0359891142437484","0.0435035331024274","2"
"Often","2017","Employed","Part Time","442","0.0537454861558889","0.048694625469033","0.0587963468427449","2"
"Rarely ","2017","Not Employed","Full Time","","","","","4"
"Rarely ","2017","Not Employed","Part Time","","","","","4"
"Rarely ","2017","Employed","Part Time","3361","0.451477070846078","0.440331414389813","0.462622727302343","4"
"Rarely ","2017","Employed","Full Time","4787","0.470419345917267","0.460820200417258","0.480018491417275","4"
"Rarely ","2017","Employed","Not Working","","","","","4"
"Rarely ","2017","Not Employed","Not Working","3837","0.370045240320056","0.361179189936852","0.37891129070326","4"
"Sometimes","2017","Not Employed","Full Time","","","","","3"
"Sometimes","2017","Not Employed","Part Time","","","","","3"
"Sometimes","2017","Employed","Part Time","1596","0.201977509490632","0.192985650618814","0.210969368362451","3"
"Sometimes","2017","Employed","Not Working","","","","","3"
"Sometimes","2017","Not Employed","Not Working","2575","0.220428739784197","0.212816540985077","0.228040938583317","3"
"Sometimes","2017","Employed","Full Time","1893","0.187103406109562","0.179603040555418","0.194603771663707","3"
"Very often","2017","Not Employed","Not Working","403","0.0217916914544484","0.0191106147010096","0.0244727682078872","1"
"Very often","2017","Employed","Not Working","","","","","1"
"Very often","2017","Not Employed","Full Time","","","","","1"
"Very often","2017","Not Employed","Part Time","","","","","1"
"Very often","2017","Employed","Full Time","63","0.00556061035860411","0.00413048428955805","0.00699073642765017","1"
"Very often","2017","Employed","Part Time","81","0.00976934811639348","0.00756646534973836","0.0119722308830486","1"
"Never","2018","Not Employed","Full Time","","","","","5"
"Never","2018","Not Employed","Part Time","","","","","5"
"Never","2018","Not Employed","Not Working","160","0.38073722639003","0.334299216089851","0.427175236690209","5"
"Never","2018","Employed","Part Time","","","","","5"
"Never","2018","Employed","Not Working","","","","","5"
"Never","2018","Employed","Full Time","","","","","5"
"Often","2018","Not Employed","Not Working","42","0.101638994744147","0.0727402437746506","0.130537745713644","2"
"Often","2018","Employed","Full Time","","","","","2"
"Often","2018","Employed","Not Working","","","","","2"
"Often","2018","Not Employed","Full Time","","","","","2"
"Often","2018","Not Employed","Part Time","","","","","2"
"Often","2018","Employed","Part Time","","","","","2"
"Rarely ","2018","Not Employed","Full Time","","","","","4"
"Rarely ","2018","Not Employed","Part Time","","","","","4"
"Rarely ","2018","Employed","Not Working","","","","","4"
"Rarely ","2018","Not Employed","Not Working","68","0.128992723355792","0.096936161351764","0.161049285359819","4"
"Rarely ","2018","Employed","Full Time","","","","","4"
"Rarely ","2018","Employed","Part Time","","","","","4"
"Sometimes","2018","Not Employed","Full Time","","","","","3"
"Sometimes","2018","Not Employed","Part Time","","","","","3"
"Sometimes","2018","Not Employed","Not Working","115","0.307698354329106","0.263558213488117","0.351838495170096","3"
"Sometimes","2018","Employed","Not Working","","","","","3"
"Sometimes","2018","Employed","Full Time","","","","","3"
"Sometimes","2018","Employed","Part Time","","","","","3"
"Very often","2018","Not Employed","Not Working","35","0.0809327011809247","0.0548496063425027","0.107015796019347","1"
"Very often","2018","Not Employed","Part Time","","","","","1"
"Very often","2018","Employed","Not Working","","","","","1"
"Very often","2018","Employed","Full Time","","","","","1"
"Very often","2018","Not Employed","Full Time","","","","","1"
"Very often","2018","Employed","Part Time","","","","","1"
"Never","2019","Not Employed","Full Time","","","","","5"
"Never","2019","Not Employed","Part Time","","","","","5"
"Never","2019","Not Employed","Not Working","127","0.479906279205317","0.420858881081728","0.538953677328905","5"
"Never","2019","Employed","Full Time","","","","","5"
"Never","2019","Employed","Part Time","","","","","5"
"Never","2019","Employed","Not Working","","","","","5"
"Often","2019","Not Employed","Full Time","","","","","2"
"Often","2019","Not Employed","Part Time","","","","","2"
"Often","2019","Not Employed","Not Working","22","","","","2"
"Often","2019","Employed","Full Time","","","","","2"
"Often","2019","Employed","Not Working","","","","","2"
"Often","2019","Employed","Part Time","","","","","2"
"Rarely ","2019","Not Employed","Full Time","","","","","4"
"Rarely ","2019","Not Employed","Part Time","","","","","4"
"Rarely ","2019","Not Employed","Not Working","62","0.197462245240553","0.15041258237604","0.244511908105066","4"
"Rarely ","2019","Employed","Full Time","","","","","4"
"Rarely ","2019","Employed","Not Working","","","","","4"
"Rarely ","2019","Employed","Part Time","","","","","4"
"Sometimes","2019","Not Employed","Not Working","56","0.237682775101793","0.187373453009953","0.287992097193633","3"
"Sometimes","2019","Employed","Not Working","","","","","3"
"Sometimes","2019","Not Employed","Part Time","","","","","3"
"Sometimes","2019","Not Employed","Full Time","","","","","3"
"Sometimes","2019","Employed","Full Time","","","","","3"
"Sometimes","2019","Employed","Part Time","","","","","3"
"Very often","2019","Employed","Not Working","","","","","1"
"Very often","2019","Employed","Full Time","","","","","1"
"Very often","2019","Not Employed","Full Time","","","","","1"
"Very often","2019","Not Employed","Part Time","","","","","1"
"Very often","2019","Not Employed","Not Working","8","","","","1"
"Very often","2019","Employed","Part Time","","","","","1"
