"pld0044","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Often","2008","16-34 y.","Rural Area","80","0.0531207236595472","0.041632395042423","0.0646090522766714"
"Often","2008","35-65 y.","Urban Area","107","0.0185199459848426","0.0153663271451391","0.021673564824546"
"Often","2008","35-65 y.","Rural Area","22","","",""
"Often","2008","66 and older","Urban Area","16","","",""
"Often","2008","66 and older","Rural Area","8","","",""
"Sometimes","2008","16-34 y.","Urban Area","713","0.243014526155949","0.227415062199092","0.258613990112806"
"Sometimes","2008","16-34 y.","Rural Area","275","0.19764826181096","0.177249375794984","0.218047147826935"
"Sometimes","2008","35-65 y.","Urban Area","791","0.117781155102754","0.110241097315686","0.125321212889821"
"Sometimes","2008","35-65 y.","Rural Area","308","0.0966023654133114","0.0869536413783732","0.10625108944825"
"Sometimes","2008","66 and older","Urban Area","149","0.0562653581184765","0.0477874757242229","0.0647432405127301"
"Sometimes","2008","66 and older","Rural Area","65","0.0395021125091692","0.0295208771654339","0.0494833478529046"
"Rarely","2008","16-34 y.","Urban Area","1137","0.392454261932552","0.374694636608568","0.410213887256535"
"Rarely","2008","16-34 y.","Rural Area","553","0.394093499502063","0.369062396100866","0.41912460290326"
"Rarely","2008","35-65 y.","Urban Area","2384","0.335610861833981","0.324565552825499","0.346656170842463"
"Rarely","2008","35-65 y.","Rural Area","1112","0.306084550660517","0.291031985583813","0.321137115737221"
"Rarely","2008","66 and older","Urban Area","605","0.207722160027578","0.192796894543716","0.22264742551144"
"Rarely","2008","66 and older","Rural Area","272","0.190872646918865","0.170735116125671","0.211010177712059"
"Never","2008","16-34 y.","Urban Area","792","0.264933535569151","0.248883294585756","0.280983776552546"
"Never","2008","16-34 y.","Rural Area","538","0.342005426335729","0.317705486010872","0.366305366660586"
"Never","2008","35-65 y.","Urban Area","3717","0.524857349781225","0.51317631669778","0.536538382864669"
"Never","2008","35-65 y.","Rural Area","2153","0.586881349436566","0.570799015137012","0.60296368373612"
"Never","2008","66 and older","Urban Area","2062","0.728712201678339","0.71235401926834","0.745070384088338"
"Never","2008","66 and older","Rural Area","1117","0.760760090081122","0.738899262261899","0.782620917900345"
"Very often","2009","16-34 y.","Urban Area","","","",""
"Very often","2009","16-34 y.","Rural Area","","","",""
"Very often","2009","35-65 y.","Urban Area","","","",""
"Very often","2009","35-65 y.","Rural Area","","","",""
"Very often","2009","66 and older","Urban Area","","","",""
"Very often","2009","66 and older","Rural Area","","","",""
"Often","2009","16-34 y.","Urban Area","","","",""
"Often","2009","16-34 y.","Rural Area","","","",""
"Often","2009","35-65 y.","Urban Area","","","",""
"Often","2009","35-65 y.","Rural Area","","","",""
"Often","2009","66 and older","Urban Area","","","",""
"Often","2009","66 and older","Rural Area","","","",""
"Sometimes","2009","16-34 y.","Urban Area","","","",""
"Sometimes","2009","16-34 y.","Rural Area","","","",""
"Sometimes","2009","35-65 y.","Urban Area","","","",""
"Sometimes","2009","35-65 y.","Rural Area","","","",""
"Sometimes","2009","66 and older","Urban Area","","","",""
"Sometimes","2009","66 and older","Rural Area","","","",""
"Rarely","2009","16-34 y.","Urban Area","","","",""
"Rarely","2009","16-34 y.","Rural Area","","","",""
"Rarely","2009","35-65 y.","Urban Area","","","",""
"Rarely","2009","35-65 y.","Rural Area","","","",""
"Rarely","2009","66 and older","Urban Area","","","",""
"Rarely","2009","66 and older","Rural Area","","","",""
"Never","2009","16-34 y.","Urban Area","","","",""
"Never","2009","16-34 y.","Rural Area","","","",""
"Never","2009","35-65 y.","Urban Area","","","",""
"Never","2009","35-65 y.","Rural Area","","","",""
"Never","2009","66 and older","Urban Area","","","",""
"Never","2009","66 and older","Rural Area","","","",""
"Very often","2010","16-34 y.","Urban Area","","","",""
"Very often","2010","16-34 y.","Rural Area","","","",""
"Very often","2010","35-65 y.","Urban Area","","","",""
"Very often","2010","35-65 y.","Rural Area","","","",""
"Very often","2010","66 and older","Urban Area","","","",""
"Very often","2010","66 and older","Rural Area","","","",""
"Often","2010","16-34 y.","Urban Area","","","",""
"Often","2010","16-34 y.","Rural Area","","","",""
"Often","2010","35-65 y.","Urban Area","","","",""
"Often","2010","35-65 y.","Rural Area","","","",""
"Often","2010","66 and older","Urban Area","","","",""
"Often","2010","66 and older","Rural Area","","","",""
"Sometimes","2010","16-34 y.","Urban Area","","","",""
"Sometimes","2010","16-34 y.","Rural Area","","","",""
"Sometimes","2010","35-65 y.","Urban Area","","","",""
"Sometimes","2010","35-65 y.","Rural Area","","","",""
"Sometimes","2010","66 and older","Urban Area","","","",""
"Sometimes","2010","66 and older","Rural Area","","","",""
"Rarely","2010","16-34 y.","Urban Area","","","",""
"Rarely","2010","16-34 y.","Rural Area","","","",""
"Rarely","2010","35-65 y.","Urban Area","","","",""
"Rarely","2010","35-65 y.","Rural Area","","","",""
"Rarely","2010","66 and older","Urban Area","","","",""
"Rarely","2010","66 and older","Rural Area","","","",""
"Never","2010","16-34 y.","Urban Area","","","",""
"Never","2010","16-34 y.","Rural Area","","","",""
"Never","2010","35-65 y.","Urban Area","","","",""
"Never","2010","35-65 y.","Rural Area","","","",""
"Never","2010","66 and older","Urban Area","","","",""
"Never","2010","66 and older","Rural Area","","","",""
"Very often","2011","16-34 y.","Urban Area","","","",""
"Very often","2011","16-34 y.","Rural Area","","","",""
"Very often","2011","35-65 y.","Urban Area","","","",""
"Very often","2011","35-65 y.","Rural Area","","","",""
"Very often","2011","66 and older","Urban Area","","","",""
"Very often","2011","66 and older","Rural Area","","","",""
"Often","2011","16-34 y.","Urban Area","","","",""
"Often","2011","16-34 y.","Rural Area","","","",""
"Often","2011","35-65 y.","Urban Area","","","",""
"Often","2011","35-65 y.","Rural Area","","","",""
"Often","2011","66 and older","Urban Area","","","",""
"Often","2011","66 and older","Rural Area","","","",""
"Sometimes","2011","16-34 y.","Urban Area","","","",""
"Sometimes","2011","16-34 y.","Rural Area","","","",""
"Sometimes","2011","35-65 y.","Urban Area","","","",""
"Sometimes","2011","35-65 y.","Rural Area","","","",""
"Sometimes","2011","66 and older","Urban Area","","","",""
"Sometimes","2011","66 and older","Rural Area","","","",""
"Rarely","2011","16-34 y.","Urban Area","","","",""
"Rarely","2011","16-34 y.","Rural Area","","","",""
"Rarely","2011","35-65 y.","Urban Area","","","",""
"Rarely","2011","35-65 y.","Rural Area","","","",""
"Rarely","2011","66 and older","Urban Area","","","",""
"Rarely","2011","66 and older","Rural Area","","","",""
"Never","2011","16-34 y.","Urban Area","","","",""
"Never","2011","16-34 y.","Rural Area","","","",""
"Never","2011","35-65 y.","Urban Area","","","",""
"Never","2011","35-65 y.","Rural Area","","","",""
"Never","2011","66 and older","Urban Area","","","",""
"Never","2011","66 and older","Rural Area","","","",""
"Very often","2012","16-34 y.","Urban Area","","","",""
"Very often","2012","16-34 y.","Rural Area","","","",""
"Very often","2012","35-65 y.","Urban Area","","","",""
"Very often","2012","35-65 y.","Rural Area","","","",""
"Very often","2012","66 and older","Urban Area","","","",""
"Very often","2012","66 and older","Rural Area","","","",""
"Often","2012","16-34 y.","Urban Area","","","",""
"Often","2012","16-34 y.","Rural Area","","","",""
"Often","2012","35-65 y.","Urban Area","","","",""
"Often","2012","35-65 y.","Rural Area","","","",""
"Often","2012","66 and older","Urban Area","","","",""
"Often","2012","66 and older","Rural Area","","","",""
"Sometimes","2012","16-34 y.","Urban Area","","","",""
"Sometimes","2012","16-34 y.","Rural Area","","","",""
"Sometimes","2012","35-65 y.","Urban Area","","","",""
"Sometimes","2012","35-65 y.","Rural Area","","","",""
"Sometimes","2012","66 and older","Urban Area","","","",""
"Sometimes","2012","66 and older","Rural Area","","","",""
"Rarely","2012","16-34 y.","Urban Area","","","",""
"Rarely","2012","16-34 y.","Rural Area","","","",""
"Rarely","2012","35-65 y.","Urban Area","","","",""
"Rarely","2012","35-65 y.","Rural Area","","","",""
"Rarely","2012","66 and older","Urban Area","","","",""
"Rarely","2012","66 and older","Rural Area","","","",""
"Never","2012","16-34 y.","Urban Area","","","",""
"Never","2012","16-34 y.","Rural Area","","","",""
"Never","2012","35-65 y.","Urban Area","","","",""
"Never","2012","35-65 y.","Rural Area","","","",""
"Never","2012","66 and older","Urban Area","","","",""
"Never","2012","66 and older","Rural Area","","","",""
"Very often","2013","16-34 y.","Urban Area","33","0.00687869352168663","0.00421981658499959","0.00953757045837367"
"Very often","2013","16-34 y.","Rural Area","13","","",""
"Very often","2013","35-65 y.","Urban Area","34","0.00241064001745464","0.00142002917046337","0.0034012508644459"
"Very often","2013","35-65 y.","Rural Area","10","","",""
"Very often","2013","66 and older","Urban Area","8","","",""
"Very often","2013","66 and older","Rural Area","","","",""
"Often","2013","16-34 y.","Urban Area","291","0.0775962945696683","0.0689898234010506","0.086202765738286"
"Often","2013","16-34 y.","Rural Area","114","0.0568261563432705","0.0464734374057058","0.0671788752808351"
"Often","2013","35-65 y.","Urban Area","210","0.0211874194034083","0.0182783787055983","0.0240964601012182"
"Often","2013","35-65 y.","Rural Area","74","0.0122581178446008","0.00934530751506608","0.0151709281741356"
"Often","2013","66 and older","Urban Area","27","","",""
"Often","2013","66 and older","Rural Area","9","","",""
"Sometimes","2013","16-34 y.","Urban Area","907","0.245595994463117","0.231748961062389","0.259443027863844"
"Sometimes","2013","16-34 y.","Rural Area","415","0.239876213828788","0.220781191843906","0.258971235813671"
"Sometimes","2013","35-65 y.","Urban Area","1154","0.122634450038225","0.116008357043009","0.12926054303344"
"Sometimes","2013","35-65 y.","Rural Area","481","0.0861978797272197","0.0787684933047243","0.093627266149715"
"Sometimes","2013","66 and older","Urban Area","186","0.0573918039703306","0.0493731225623756","0.0654104853782855"
"Sometimes","2013","66 and older","Rural Area","79","0.0554512132461304","0.0446824438978993","0.0662199825943615"
"Rarely","2013","16-34 y.","Urban Area","1369","0.399792932689385","0.38403452921022","0.415551336168549"
"Rarely","2013","16-34 y.","Rural Area","674","0.357755831460153","0.33632061595475","0.379191046965555"
"Rarely","2013","35-65 y.","Urban Area","3173","0.351497477886839","0.341853017462051","0.361141938311626"
"Rarely","2013","35-65 y.","Rural Area","1706","0.316362785242864","0.304052046391726","0.328673524094001"
"Rarely","2013","66 and older","Urban Area","694","0.209708384335572","0.195673333197949","0.223743435473195"
"Rarely","2013","66 and older","Rural Area","321","0.183933347141344","0.16570314835893","0.202163545923757"
"Never","2013","16-34 y.","Urban Area","1112","0.270136084756143","0.255851870557121","0.284420298955166"
"Never","2013","16-34 y.","Rural Area","705","0.342291545894276","0.321073801798851","0.3635092899897"
"Never","2013","35-65 y.","Urban Area","4843","0.502270012654074","0.4921698929137","0.512370132394447"
"Never","2013","35-65 y.","Rural Area","3211","0.583856983751311","0.570808708171919","0.596905259330703"
"Never","2013","66 and older","Urban Area","2317","0.719795661799741","0.704312685292556","0.735278638306927"
"Never","2013","66 and older","Rural Area","1326","0.754990671626929","0.734753004223528","0.77522833903033"
"Very often","2014","16-34 y.","Urban Area","","","",""
"Very often","2014","16-34 y.","Rural Area","","","",""
"Very often","2014","35-65 y.","Urban Area","","","",""
"Very often","2014","35-65 y.","Rural Area","","","",""
"Very often","2014","66 and older","Urban Area","","","",""
"Very often","2014","66 and older","Rural Area","","","",""
"Often","2014","16-34 y.","Urban Area","","","",""
"Often","2014","16-34 y.","Rural Area","","","",""
"Often","2014","35-65 y.","Urban Area","","","",""
"Often","2014","35-65 y.","Rural Area","","","",""
"Often","2014","66 and older","Urban Area","","","",""
"Often","2014","66 and older","Rural Area","","","",""
"Sometimes","2014","16-34 y.","Urban Area","","","",""
"Sometimes","2014","16-34 y.","Rural Area","","","",""
"Sometimes","2014","35-65 y.","Urban Area","","","",""
"Sometimes","2014","35-65 y.","Rural Area","","","",""
"Sometimes","2014","66 and older","Urban Area","","","",""
"Sometimes","2014","66 and older","Rural Area","","","",""
"Rarely","2014","16-34 y.","Urban Area","","","",""
"Rarely","2014","16-34 y.","Rural Area","","","",""
"Rarely","2014","35-65 y.","Urban Area","","","",""
"Rarely","2014","35-65 y.","Rural Area","","","",""
"Rarely","2014","66 and older","Urban Area","","","",""
"Rarely","2014","66 and older","Rural Area","","","",""
"Never","2014","16-34 y.","Urban Area","","","",""
"Never","2014","16-34 y.","Rural Area","","","",""
"Never","2014","35-65 y.","Urban Area","","","",""
"Never","2014","35-65 y.","Rural Area","","","",""
"Never","2014","66 and older","Urban Area","","","",""
"Never","2014","66 and older","Rural Area","","","",""
"Very often","2015","16-34 y.","Urban Area","","","",""
"Very often","2015","16-34 y.","Rural Area","","","",""
"Very often","2015","35-65 y.","Urban Area","","","",""
"Very often","2015","35-65 y.","Rural Area","","","",""
"Very often","2015","66 and older","Urban Area","","","",""
"Very often","2015","66 and older","Rural Area","","","",""
"Often","2015","16-34 y.","Urban Area","","","",""
"Often","2015","16-34 y.","Rural Area","","","",""
"Often","2015","35-65 y.","Urban Area","","","",""
"Often","2015","35-65 y.","Rural Area","","","",""
"Often","2015","66 and older","Urban Area","","","",""
"Often","2015","66 and older","Rural Area","","","",""
"Sometimes","2015","16-34 y.","Urban Area","","","",""
"Sometimes","2015","16-34 y.","Rural Area","","","",""
"Sometimes","2015","35-65 y.","Urban Area","","","",""
"Sometimes","2015","35-65 y.","Rural Area","","","",""
"Sometimes","2015","66 and older","Urban Area","","","",""
"Sometimes","2015","66 and older","Rural Area","","","",""
"Rarely","2015","16-34 y.","Urban Area","","","",""
"Rarely","2015","16-34 y.","Rural Area","","","",""
"Rarely","2015","35-65 y.","Urban Area","","","",""
"Rarely","2015","35-65 y.","Rural Area","","","",""
"Rarely","2015","66 and older","Urban Area","","","",""
"Rarely","2015","66 and older","Rural Area","","","",""
"Never","2015","16-34 y.","Urban Area","","","",""
"Never","2015","16-34 y.","Rural Area","","","",""
"Never","2015","35-65 y.","Urban Area","","","",""
"Never","2015","35-65 y.","Rural Area","","","",""
"Never","2015","66 and older","Urban Area","","","",""
"Never","2015","66 and older","Rural Area","","","",""
"Very often","2016","16-34 y.","Urban Area","","","",""
"Very often","2016","16-34 y.","Rural Area","","","",""
"Very often","2016","35-65 y.","Urban Area","","","",""
"Very often","2016","35-65 y.","Rural Area","","","",""
"Very often","2016","66 and older","Urban Area","","","",""
"Very often","2016","66 and older","Rural Area","","","",""
"Often","2016","16-34 y.","Urban Area","","","",""
"Often","2016","16-34 y.","Rural Area","","","",""
"Often","2016","35-65 y.","Urban Area","","","",""
"Often","2016","35-65 y.","Rural Area","","","",""
"Often","2016","66 and older","Urban Area","","","",""
"Often","2016","66 and older","Rural Area","","","",""
"Sometimes","2016","16-34 y.","Urban Area","","","",""
"Sometimes","2016","16-34 y.","Rural Area","","","",""
"Sometimes","2016","35-65 y.","Urban Area","","","",""
"Sometimes","2016","35-65 y.","Rural Area","","","",""
"Sometimes","2016","66 and older","Urban Area","","","",""
"Sometimes","2016","66 and older","Rural Area","","","",""
"Rarely","2016","16-34 y.","Urban Area","","","",""
"Rarely","2016","16-34 y.","Rural Area","","","",""
"Rarely","2016","35-65 y.","Urban Area","","","",""
"Rarely","2016","35-65 y.","Rural Area","","","",""
"Rarely","2016","66 and older","Urban Area","","","",""
"Rarely","2016","66 and older","Rural Area","","","",""
"Never","2016","16-34 y.","Urban Area","","","",""
"Never","2016","16-34 y.","Rural Area","","","",""
"Never","2016","35-65 y.","Urban Area","","","",""
"Never","2016","35-65 y.","Rural Area","","","",""
"Never","2016","66 and older","Urban Area","","","",""
"Never","2016","66 and older","Rural Area","","","",""
"Very often","2017","16-34 y.","Urban Area","","","",""
"Very often","2017","16-34 y.","Rural Area","","","",""
"Very often","2017","35-65 y.","Urban Area","","","",""
"Very often","2017","35-65 y.","Rural Area","","","",""
"Very often","2017","66 and older","Urban Area","","","",""
"Very often","2017","66 and older","Rural Area","","","",""
"Often","2017","16-34 y.","Urban Area","","","",""
"Often","2017","16-34 y.","Rural Area","","","",""
"Often","2017","35-65 y.","Urban Area","","","",""
"Often","2017","35-65 y.","Rural Area","","","",""
"Often","2017","66 and older","Urban Area","","","",""
"Often","2017","66 and older","Rural Area","","","",""
"Sometimes","2017","16-34 y.","Urban Area","","","",""
"Sometimes","2017","16-34 y.","Rural Area","","","",""
"Sometimes","2017","35-65 y.","Urban Area","","","",""
"Sometimes","2017","35-65 y.","Rural Area","","","",""
"Sometimes","2017","66 and older","Urban Area","","","",""
"Sometimes","2017","66 and older","Rural Area","","","",""
"Rarely","2017","16-34 y.","Urban Area","","","",""
"Rarely","2017","16-34 y.","Rural Area","","","",""
"Rarely","2017","35-65 y.","Urban Area","","","",""
"Rarely","2017","35-65 y.","Rural Area","","","",""
"Rarely","2017","66 and older","Urban Area","","","",""
"Rarely","2017","66 and older","Rural Area","","","",""
"Never","2017","16-34 y.","Urban Area","","","",""
"Never","2017","16-34 y.","Rural Area","","","",""
"Never","2017","35-65 y.","Urban Area","","","",""
"Never","2017","35-65 y.","Rural Area","","","",""
"Never","2017","66 and older","Urban Area","","","",""
"Never","2017","66 and older","Rural Area","","","",""
"Very often","2018","16-34 y.","Urban Area","85","0.0155077465779252","0.0117462010486826","0.0192692921071677"
"Very often","2018","16-34 y.","Rural Area","29","","",""
"Very often","2018","35-65 y.","Urban Area","68","0.00536710066906372","0.00388637738848014","0.0068478239496473"
"Very often","2018","35-65 y.","Rural Area","17","","",""
"Very often","2018","66 and older","Urban Area","14","","",""
"Very often","2018","66 and older","Rural Area","3","","",""
"Often","2018","16-34 y.","Urban Area","467","0.116670736065327","0.106897731498417","0.126443740632237"
"Often","2018","16-34 y.","Rural Area","160","0.0900502722073026","0.0771415478670706","0.102958996547535"
"Often","2018","35-65 y.","Urban Area","303","0.0338538324862544","0.0301886300882059","0.0375190348843029"
"Often","2018","35-65 y.","Rural Area","90","0.0203317337194822","0.016520619764168","0.0241428476747964"
"Often","2018","66 and older","Urban Area","41","0.00956136403959678","0.00617429785028087","0.0129484302289127"
"Often","2018","66 and older","Rural Area","14","","",""
"Sometimes","2018","16-34 y.","Urban Area","1330","0.310827622982218","0.296737669535929","0.324917576428508"
"Sometimes","2018","16-34 y.","Rural Area","502","0.288006849978909","0.267586112213299","0.308427587744519"
"Sometimes","2018","35-65 y.","Urban Area","1529","0.169281146271325","0.161681314953204","0.176880977589446"
"Sometimes","2018","35-65 y.","Rural Area","646","0.132968336841173","0.123799445941647","0.142137227740698"
"Sometimes","2018","66 and older","Urban Area","247","0.0811135296297781","0.0716112556451609","0.0906158036143954"
"Sometimes","2018","66 and older","Rural Area","110","0.0576911418826668","0.0470951205669645","0.0682871631983691"
