"pld0044","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Sometimes","2003","(Married) couple without C. ","(3b) higher tertiary education","117","0.14692105844653","0.12447935703202","0.169362759861039"
"Sometimes","2003","Single parent ","(0) in school","24","","",""
"Sometimes","2003","Single parent ","(1a) inadequately completed","5","","",""
"Sometimes","2003","Single parent ","(1b) general elementary school","20","","",""
"Sometimes","2003","Single parent ","(1c) basic vocational qualification","37","0.189009433351663","0.140282184476617","0.237736682226709"
"Sometimes","2003","Single parent ","(2b) intermediate general qualification","19","","",""
"Sometimes","2003","Single parent ","(2a) intermediate vocational","39","0.155559336447644","0.112566175389817","0.198552497505472"
"Sometimes","2003","Single parent ","(2c_gen) general maturity certificate","15","","",""
"Sometimes","2003","Single parent ","(2c_voc) vocational maturity certificate","12","","",""
"Sometimes","2003","Single parent ","(3a) lower tertiary education","9","","",""
"Sometimes","2003","Single parent ","(3b) higher tertiary education","14","","",""
"Sometimes","2003","Couple + C. LE 16 ","(0) in school","","","",""
"Sometimes","2003","Couple + C. LE 16 ","(1a) inadequately completed","10","","",""
"Sometimes","2003","Couple + C. LE 16 ","(1b) general elementary school","48","0.201430596944273","0.15220431284039","0.250656881048156"
"Sometimes","2003","Couple + C. LE 16 ","(1c) basic vocational qualification","137","0.147430237948593","0.125478319720615","0.169382156176571"
"Sometimes","2003","Couple + C. LE 16 ","(2b) intermediate general qualification","14","","",""
"Sometimes","2003","Couple + C. LE 16 ","(2a) intermediate vocational","148","0.113040615251839","0.0964719173902446","0.129609313113434"
"Sometimes","2003","Couple + C. LE 16 ","(2c_gen) general maturity certificate","18","","",""
"Sometimes","2003","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","63","0.153473927095284","0.121228736763355","0.185719117427212"
"Sometimes","2003","Couple + C. LE 16 ","(3a) lower tertiary education","47","0.130713595924423","0.0958928022883219","0.165534389560525"
"Sometimes","2003","Couple + C. LE 16 ","(3b) higher tertiary education","85","0.111429622473414","0.0873136121055428","0.135545632841285"
"Sometimes","2003","Couple + C. GT 16 ","(0) in school","95","0.353809965569162","0.299153746615603","0.408466184522722"
"Sometimes","2003","Couple + C. GT 16 ","(1a) inadequately completed","10","","",""
"Sometimes","2003","Couple + C. GT 16 ","(1b) general elementary school","35","0.118623779163033","0.0836310583567114","0.153616499969356"
"Sometimes","2003","Couple + C. GT 16 ","(1c) basic vocational qualification","93","0.102015481827432","0.0823504405643295","0.121680523090535"
"Sometimes","2003","Couple + C. GT 16 ","(2b) intermediate general qualification","71","0.297806740604118","0.23778739592057","0.357826085287666"
"Sometimes","2003","Couple + C. GT 16 ","(2a) intermediate vocational","97","0.116866604486349","0.0953578111391054","0.138375397833592"
"Sometimes","2003","Couple + C. GT 16 ","(2c_gen) general maturity certificate","103","0.318206191071102","0.267875721621539","0.368536660520664"
"Sometimes","2003","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","51","0.234297707679096","0.178072141466963","0.290523273891229"
"Sometimes","2003","Couple + C. GT 16 ","(3a) lower tertiary education","21","","",""
"Sometimes","2003","Couple + C. GT 16 ","(3b) higher tertiary education","52","0.149821859818467","0.114933735314884","0.184709984322051"
"Sometimes","2003","Couple + C. LE and GT 16","(0) in school","72","0.305716254133044","0.247061707564228","0.364370800701859"
"Sometimes","2003","Couple + C. LE and GT 16","(1a) inadequately completed","4","","",""
"Sometimes","2003","Couple + C. LE and GT 16","(1b) general elementary school","35","0.192106509272226","0.135337629853509","0.248875388690944"
"Sometimes","2003","Couple + C. LE and GT 16","(1c) basic vocational qualification","41","0.147105768760851","0.109004319989788","0.185207217531913"
"Sometimes","2003","Couple + C. LE and GT 16","(2b) intermediate general qualification","28","","",""
"Sometimes","2003","Couple + C. LE and GT 16","(2a) intermediate vocational","29","","",""
"Sometimes","2003","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","25","","",""
"Sometimes","2003","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","19","","",""
"Sometimes","2003","Couple + C. LE and GT 16","(3a) lower tertiary education","15","","",""
"Sometimes","2003","Couple + C. LE and GT 16","(3b) higher tertiary education","21","","",""
"Rarely","2003","1-pers.-HH","(0) in school","","","",""
"Rarely","2003","1-pers.-HH","(1a) inadequately completed","5","","",""
"Rarely","2003","1-pers.-HH","(1b) general elementary school","67","0.183037203889881","0.144410419765644","0.221663988014118"
"Rarely","2003","1-pers.-HH","(1c) basic vocational qualification","206","0.223757450544189","0.197100972401901","0.250413928686478"
"Rarely","2003","1-pers.-HH","(2b) intermediate general qualification","18","","",""
"Rarely","2003","1-pers.-HH","(2a) intermediate vocational","226","0.354601015452205","0.317624436257168","0.391577594647242"
"Rarely","2003","1-pers.-HH","(2c_gen) general maturity certificate","51","0.312172597242413","0.233420995389578","0.390924199095248"
"Rarely","2003","1-pers.-HH","(2c_voc) vocational maturity certificate","81","0.362950947124534","0.301602652622389","0.424299241626678"
"Rarely","2003","1-pers.-HH","(3a) lower tertiary education","82","0.373133208491544","0.309079302708664","0.437187114274425"
"Rarely","2003","1-pers.-HH","(3b) higher tertiary education","123","0.415648117822374","0.36130998857681","0.469986247067938"
"Rarely","2003","(Married) couple without C. ","(0) in school","","","",""
"Rarely","2003","(Married) couple without C. ","(1a) inadequately completed","19","","",""
"Rarely","2003","(Married) couple without C. ","(1b) general elementary school","128","0.179296632478571","0.150859311679431","0.20773395327771"
"Rarely","2003","(Married) couple without C. ","(1c) basic vocational qualification","592","0.224261426149551","0.208434733741415","0.240088118557688"
"Rarely","2003","(Married) couple without C. ","(2b) intermediate general qualification","19","","",""
"Rarely","2003","(Married) couple without C. ","(2a) intermediate vocational","528","0.362529202853284","0.337836476205314","0.387221929501253"
"Rarely","2003","(Married) couple without C. ","(2c_gen) general maturity certificate","45","0.288545013664802","0.209432839665797","0.367657187663807"
"Rarely","2003","(Married) couple without C. ","(2c_voc) vocational maturity certificate","180","0.387571793736932","0.343098294461471","0.432045293012393"
"Rarely","2003","(Married) couple without C. ","(3a) lower tertiary education","235","0.339505696873801","0.304121288142175","0.374890105605428"
"Rarely","2003","(Married) couple without C. ","(3b) higher tertiary education","332","0.346216402155047","0.316057885655651","0.376374918654443"
"Rarely","2003","Single parent ","(0) in school","15","","",""
"Rarely","2003","Single parent ","(1a) inadequately completed","7","","",""
"Rarely","2003","Single parent ","(1b) general elementary school","41","0.267687797505451","0.199925427113979","0.335450167896924"
"Rarely","2003","Single parent ","(1c) basic vocational qualification","69","0.268822069838115","0.21364403258585","0.324000107090381"
"Rarely","2003","Single parent ","(2b) intermediate general qualification","26","","",""
"Rarely","2003","Single parent ","(2a) intermediate vocational","106","0.406365661995751","0.34810374421317","0.464627579778331"
"Rarely","2003","Single parent ","(2c_gen) general maturity certificate","21","","",""
"Rarely","2003","Single parent ","(2c_voc) vocational maturity certificate","19","","",""
"Rarely","2003","Single parent ","(3a) lower tertiary education","19","","",""
"Rarely","2003","Single parent ","(3b) higher tertiary education","25","","",""
"Rarely","2003","Couple + C. LE 16 ","(0) in school","","","",""
"Rarely","2003","Couple + C. LE 16 ","(1a) inadequately completed","12","","",""
"Rarely","2003","Couple + C. LE 16 ","(1b) general elementary school","78","0.321781523174927","0.264443414829028","0.379119631520825"
"Rarely","2003","Couple + C. LE 16 ","(1c) basic vocational qualification","345","0.36108119053779","0.331341290804369","0.390821090271212"
"Rarely","2003","Couple + C. LE 16 ","(2b) intermediate general qualification","22","","",""
"Rarely","2003","Couple + C. LE 16 ","(2a) intermediate vocational","521","0.365815367830217","0.340612028569251","0.391018707091184"
"Rarely","2003","Couple + C. LE 16 ","(2c_gen) general maturity certificate","28","","",""
"Rarely","2003","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","195","0.381414022695156","0.337960415353034","0.424867630037277"
"Rarely","2003","Couple + C. LE 16 ","(3a) lower tertiary education","137","0.383774627938717","0.333539818614394","0.43400943726304"
"Rarely","2003","Couple + C. LE 16 ","(3b) higher tertiary education","289","0.463836702043862","0.425616734594565","0.50205666949316"
"Rarely","2003","Couple + C. GT 16 ","(0) in school","83","0.26169307484058","0.211448518948899","0.311937630732262"
"Rarely","2003","Couple + C. GT 16 ","(1a) inadequately completed","8","","",""
"Rarely","2003","Couple + C. GT 16 ","(1b) general elementary school","93","0.225461244673667","0.180237273469897","0.270685215877438"
"Rarely","2003","Couple + C. GT 16 ","(1c) basic vocational qualification","296","0.309453447379831","0.279418869108526","0.339488025651136"
"Rarely","2003","Couple + C. GT 16 ","(2b) intermediate general qualification","70","0.287541714538727","0.228136330309951","0.346947098767504"
"Rarely","2003","Couple + C. GT 16 ","(2a) intermediate vocational","286","0.3209366554418","0.289681440827682","0.352191870055919"
"Rarely","2003","Couple + C. GT 16 ","(2c_gen) general maturity certificate","120","0.329186112803545","0.278408542371205","0.379963683235884"
"Rarely","2003","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","86","0.354048378965959","0.290566299325439","0.417530458606479"
"Rarely","2003","Couple + C. GT 16 ","(3a) lower tertiary education","77","0.330064542573221","0.272796264209408","0.387332820937034"
"Rarely","2003","Couple + C. GT 16 ","(3b) higher tertiary education","159","0.34960525559684","0.302991665538451","0.39621884565523"
"Rarely","2003","Couple + C. LE and GT 16","(0) in school","73","0.334331751628665","0.274270877188945","0.394392626068385"
"Rarely","2003","Couple + C. LE and GT 16","(1a) inadequately completed","4","","",""
"Rarely","2003","Couple + C. LE and GT 16","(1b) general elementary school","59","0.304823043075759","0.238489406349002","0.371156679802516"
"Rarely","2003","Couple + C. LE and GT 16","(1c) basic vocational qualification","110","0.336229256682159","0.285412627623663","0.387045885740654"
"Rarely","2003","Couple + C. LE and GT 16","(2b) intermediate general qualification","37","0.247267420926801","0.169094027210486","0.325440814643115"
"Rarely","2003","Couple + C. LE and GT 16","(2a) intermediate vocational","144","0.377292418074422","0.328875310414508","0.425709525734335"
"Rarely","2003","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","43","0.371711684043161","0.282608860337238","0.460814507749085"
"Rarely","2003","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","29","","",""
"Rarely","2003","Couple + C. LE and GT 16","(3a) lower tertiary education","40","0.341078368895794","0.251669585702039","0.430487152089549"
"Rarely","2003","Couple + C. LE and GT 16","(3b) higher tertiary education","76","0.483975946832835","0.409507567667759","0.55844432599791"
"Never","2003","1-pers.-HH","(0) in school","3","","",""
"Never","2003","1-pers.-HH","(1a) inadequately completed","23","","",""
"Never","2003","1-pers.-HH","(1b) general elementary school","292","0.737736369687865","0.693798665799634","0.781674073576096"
"Never","2003","1-pers.-HH","(1c) basic vocational qualification","610","0.650371120343262","0.619871139380477","0.680871101306048"
"Never","2003","1-pers.-HH","(2b) intermediate general qualification","20","","",""
"Never","2003","1-pers.-HH","(2a) intermediate vocational","283","0.444094517099695","0.405690134384384","0.482498899815006"
"Never","2003","1-pers.-HH","(2c_gen) general maturity certificate","20","","",""
"Never","2003","1-pers.-HH","(2c_voc) vocational maturity certificate","93","0.359740144317112","0.298510085303748","0.420970203330475"
"Never","2003","1-pers.-HH","(3a) lower tertiary education","93","0.412226854653651","0.347034143276176","0.477419566031127"
"Never","2003","1-pers.-HH","(3b) higher tertiary education","113","0.365459476114712","0.312364449261758","0.418554502967667"
"Never","2003","(Married) couple without C. ","(0) in school","2","","",""
"Never","2003","(Married) couple without C. ","(1a) inadequately completed","55","0.622311102869555","0.519246505272975","0.725375700466135"
"Never","2003","(Married) couple without C. ","(1b) general elementary school","509","0.738426367035677","0.705845691627905","0.771007042443448"
"Never","2003","(Married) couple without C. ","(1c) basic vocational qualification","1855","0.692461443581708","0.674950773622875","0.709972113540541"
"Never","2003","(Married) couple without C. ","(2b) intermediate general qualification","45","0.59095124732033","0.482534116815467","0.699368377825192"
"Never","2003","(Married) couple without C. ","(2a) intermediate vocational","773","0.539164059798801","0.513560459312422","0.56476766028518"
"Never","2003","(Married) couple without C. ","(2c_gen) general maturity certificate","37","0.339235976832322","0.256568065520077","0.421903888144567"
"Never","2003","(Married) couple without C. ","(2c_voc) vocational maturity certificate","212","0.463447335946718","0.417927152761188","0.508967519132247"
"Never","2003","(Married) couple without C. ","(3a) lower tertiary education","375","0.564043750907886","0.526990038914446","0.601097462901327"
"Never","2003","(Married) couple without C. ","(3b) higher tertiary education","490","0.480318426263425","0.448648107988773","0.511988744538077"
"Never","2003","Single parent ","(0) in school","11","","",""
"Never","2003","Single parent ","(1a) inadequately completed","7","","",""
"Never","2003","Single parent ","(1b) general elementary school","95","0.556143815754813","0.48010403416226","0.632183597347365"
"Never","2003","Single parent ","(1c) basic vocational qualification","139","0.521869655652607","0.459700291335251","0.584039019969963"
"Never","2003","Single parent ","(2b) intermediate general qualification","25","","",""
"Never","2003","Single parent ","(2a) intermediate vocational","121","0.398055490322232","0.339990172763039","0.456120807881424"
"Never","2003","Single parent ","(2c_gen) general maturity certificate","13","","",""
"Never","2003","Single parent ","(2c_voc) vocational maturity certificate","25","","",""
"Never","2003","Single parent ","(3a) lower tertiary education","23","","",""
"Never","2003","Single parent ","(3b) higher tertiary education","27","","",""
"Never","2003","Couple + C. LE 16 ","(0) in school","","","",""
"Never","2003","Couple + C. LE 16 ","(1a) inadequately completed","22","","",""
"Never","2003","Couple + C. LE 16 ","(1b) general elementary school","112","0.412715039745692","0.352288519141369","0.473141560350014"
"Never","2003","Couple + C. LE 16 ","(1c) basic vocational qualification","496","0.465559670077766","0.434674391861377","0.496444948294154"
"Never","2003","Couple + C. LE 16 ","(2b) intermediate general qualification","23","","",""
"Never","2003","Couple + C. LE 16 ","(2a) intermediate vocational","716","0.510780922893995","0.484623901852083","0.536937943935908"
"Never","2003","Couple + C. LE 16 ","(2c_gen) general maturity certificate","28","","",""
"Never","2003","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","209","0.427755486449921","0.383495009926453","0.47201596297339"
"Never","2003","Couple + C. LE 16 ","(3a) lower tertiary education","171","0.473181735652003","0.421606497896334","0.524756973407673"
"Never","2003","Couple + C. LE 16 ","(3b) higher tertiary education","258","0.362172057553984","0.325336397386468","0.3990077177215"
"Never","2003","Couple + C. GT 16 ","(0) in school","48","0.196284809646978","0.150883449925174","0.241686169368781"
"Never","2003","Couple + C. GT 16 ","(1a) inadequately completed","27","","",""
"Never","2003","Couple + C. GT 16 ","(1b) general elementary school","181","0.601782180203691","0.5488047148643","0.654759645543082"
"Never","2003","Couple + C. GT 16 ","(1c) basic vocational qualification","506","0.56818591961516","0.536003326967701","0.600368512262619"
"Never","2003","Couple + C. GT 16 ","(2b) intermediate general qualification","57","0.30362542272588","0.243274185235893","0.363976660215867"
"Never","2003","Couple + C. GT 16 ","(2a) intermediate vocational","453","0.517891936222847","0.484437828398834","0.55134604404686"
"Never","2003","Couple + C. GT 16 ","(2c_gen) general maturity certificate","58","0.203788035170992","0.160261526527893","0.247314543814091"
"Never","2003","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","77","0.398236082486378","0.333252564416035","0.463219600556721"
"Never","2003","Couple + C. GT 16 ","(3a) lower tertiary education","156","0.557443014737771","0.496953089486921","0.617932939988622"
"Never","2003","Couple + C. GT 16 ","(3b) higher tertiary education","182","0.468130433508452","0.419352761084241","0.516908105932663"
"Never","2003","Couple + C. LE and GT 16","(0) in school","42","0.195007614526193","0.144565232255873","0.245449996796512"
"Never","2003","Couple + C. LE and GT 16","(1a) inadequately completed","16","","",""
"Never","2003","Couple + C. LE and GT 16","(1b) general elementary school","75","0.4402177643989","0.368684908398225","0.511750620399574"
"Never","2003","Couple + C. LE and GT 16","(1c) basic vocational qualification","174","0.487400983155025","0.433634561445575","0.541167404864474"
"Never","2003","Couple + C. LE and GT 16","(2b) intermediate general qualification","29","","",""
"Never","2003","Couple + C. LE and GT 16","(2a) intermediate vocational","204","0.550252337982293","0.500560720697591","0.599943955266996"
"Never","2003","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","27","","",""
"Never","2003","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","37","0.455557264579597","0.352090545079579","0.559023984079615"
"Never","2003","Couple + C. LE and GT 16","(3a) lower tertiary education","53","0.521534063549879","0.427322748683983","0.615745378415774"
"Never","2003","Couple + C. LE and GT 16","(3b) higher tertiary education","72","0.376425998436475","0.304230711807823","0.448621285065127"
"Very often","2004","1-pers.-HH","(0) in school","","","",""
"Very often","2004","1-pers.-HH","(1a) inadequately completed","","","",""
"Very often","2004","1-pers.-HH","(1b) general elementary school","","","",""
"Very often","2004","1-pers.-HH","(1c) basic vocational qualification","","","",""
"Very often","2004","1-pers.-HH","(2b) intermediate general qualification","","","",""
"Very often","2004","1-pers.-HH","(2a) intermediate vocational","","","",""
"Very often","2004","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"Very often","2004","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"Very often","2004","1-pers.-HH","(3a) lower tertiary education","","","",""
