"pld0044","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Never","2004","direct migration background","Urban Area","","","",""
"Never","2004","direct migration background","Rural Area","","","",""
"Never","2004","indirect migration background","Urban Area","","","",""
"Never","2004","indirect migration background","Rural Area","","","",""
"Very often","2005","no migration background","Urban Area","","","",""
"Very often","2005","no migration background","Rural Area","","","",""
"Very often","2005","direct migration background","Urban Area","","","",""
"Very often","2005","direct migration background","Rural Area","","","",""
"Very often","2005","indirect migration background","Urban Area","","","",""
"Very often","2005","indirect migration background","Rural Area","","","",""
"Often","2005","no migration background","Urban Area","","","",""
"Often","2005","no migration background","Rural Area","","","",""
"Often","2005","direct migration background","Urban Area","","","",""
"Often","2005","direct migration background","Rural Area","","","",""
"Often","2005","indirect migration background","Urban Area","","","",""
"Often","2005","indirect migration background","Rural Area","","","",""
"Sometimes","2005","no migration background","Urban Area","","","",""
"Sometimes","2005","no migration background","Rural Area","","","",""
"Sometimes","2005","direct migration background","Urban Area","","","",""
"Sometimes","2005","direct migration background","Rural Area","","","",""
"Sometimes","2005","indirect migration background","Urban Area","","","",""
"Sometimes","2005","indirect migration background","Rural Area","","","",""
"Rarely","2005","no migration background","Urban Area","","","",""
"Rarely","2005","no migration background","Rural Area","","","",""
"Rarely","2005","direct migration background","Urban Area","","","",""
"Rarely","2005","direct migration background","Rural Area","","","",""
"Rarely","2005","indirect migration background","Urban Area","","","",""
"Rarely","2005","indirect migration background","Rural Area","","","",""
"Never","2005","no migration background","Urban Area","","","",""
"Never","2005","no migration background","Rural Area","","","",""
"Never","2005","direct migration background","Urban Area","","","",""
"Never","2005","direct migration background","Rural Area","","","",""
"Never","2005","indirect migration background","Urban Area","","","",""
"Never","2005","indirect migration background","Rural Area","","","",""
"Very often","2006","no migration background","Urban Area","","","",""
"Very often","2006","no migration background","Rural Area","","","",""
"Very often","2006","direct migration background","Urban Area","","","",""
"Very often","2006","direct migration background","Rural Area","","","",""
"Very often","2006","indirect migration background","Urban Area","","","",""
"Very often","2006","indirect migration background","Rural Area","","","",""
"Often","2006","no migration background","Urban Area","","","",""
"Often","2006","no migration background","Rural Area","","","",""
"Often","2006","direct migration background","Urban Area","","","",""
"Often","2006","direct migration background","Rural Area","","","",""
"Often","2006","indirect migration background","Urban Area","","","",""
"Often","2006","indirect migration background","Rural Area","","","",""
"Sometimes","2006","no migration background","Urban Area","","","",""
"Sometimes","2006","no migration background","Rural Area","","","",""
"Sometimes","2006","direct migration background","Urban Area","","","",""
"Sometimes","2006","direct migration background","Rural Area","","","",""
"Sometimes","2006","indirect migration background","Urban Area","","","",""
"Sometimes","2006","indirect migration background","Rural Area","","","",""
"Rarely","2006","no migration background","Urban Area","","","",""
"Rarely","2006","no migration background","Rural Area","","","",""
"Rarely","2006","direct migration background","Urban Area","","","",""
"Rarely","2006","direct migration background","Rural Area","","","",""
"Rarely","2006","indirect migration background","Urban Area","","","",""
"Rarely","2006","indirect migration background","Rural Area","","","",""
"Never","2006","no migration background","Urban Area","","","",""
"Never","2006","no migration background","Rural Area","","","",""
"Never","2006","direct migration background","Urban Area","","","",""
"Never","2006","direct migration background","Rural Area","","","",""
"Never","2006","indirect migration background","Urban Area","","","",""
"Never","2006","indirect migration background","Rural Area","","","",""
"Very often","2007","no migration background","Urban Area","","","",""
"Very often","2007","no migration background","Rural Area","","","",""
"Very often","2007","direct migration background","Urban Area","","","",""
"Very often","2007","direct migration background","Rural Area","","","",""
"Very often","2007","indirect migration background","Urban Area","","","",""
"Very often","2007","indirect migration background","Rural Area","","","",""
"Often","2007","no migration background","Urban Area","","","",""
"Often","2007","no migration background","Rural Area","","","",""
"Often","2007","direct migration background","Urban Area","","","",""
"Often","2007","direct migration background","Rural Area","","","",""
"Often","2007","indirect migration background","Urban Area","","","",""
"Often","2007","indirect migration background","Rural Area","","","",""
"Sometimes","2007","no migration background","Urban Area","","","",""
"Sometimes","2007","no migration background","Rural Area","","","",""
"Sometimes","2007","direct migration background","Urban Area","","","",""
"Sometimes","2007","direct migration background","Rural Area","","","",""
"Sometimes","2007","indirect migration background","Urban Area","","","",""
"Sometimes","2007","indirect migration background","Rural Area","","","",""
"Rarely","2007","no migration background","Urban Area","","","",""
"Rarely","2007","no migration background","Rural Area","","","",""
"Rarely","2007","direct migration background","Urban Area","","","",""
"Rarely","2007","direct migration background","Rural Area","","","",""
"Rarely","2007","indirect migration background","Urban Area","","","",""
"Rarely","2007","indirect migration background","Rural Area","","","",""
"Never","2007","no migration background","Urban Area","","","",""
"Never","2007","no migration background","Rural Area","","","",""
"Never","2007","direct migration background","Urban Area","","","",""
"Never","2007","direct migration background","Rural Area","","","",""
"Never","2007","indirect migration background","Urban Area","","","",""
"Never","2007","indirect migration background","Rural Area","","","",""
"Very often","2008","no migration background","Urban Area","55","0.00520963199846446","0.0038363898037747","0.00658287419315422"
"Very often","2008","no migration background","Rural Area","23","","",""
"Very often","2008","direct migration background","Urban Area","6","","",""
"Very often","2008","direct migration background","Rural Area","","","",""
"Very often","2008","indirect migration background","Urban Area","9","","",""
"Very often","2008","indirect migration background","Rural Area","2","","",""
"Often","2008","no migration background","Urban Area","248","0.0259593250131768","0.0229260410105716","0.0289926090157821"
"Often","2008","no migration background","Rural Area","100","0.0184565960773151","0.0150706167377238","0.0218425754169063"
"Often","2008","direct migration background","Urban Area","46","0.0363119205024338","0.0269902062251459","0.0456336347797218"
"Often","2008","direct migration background","Rural Area","7","","",""
"Often","2008","indirect migration background","Urban Area","49","0.0896935874338931","0.0678773484655001","0.111509826402286"
"Often","2008","indirect migration background","Rural Area","3","","",""
"Sometimes","2008","no migration background","Urban Area","1232","0.119224128899696","0.113042646834387","0.125405610965005"
"Sometimes","2008","no migration background","Rural Area","584","0.102661317468391","0.0950258548193905","0.11029678011739"
"Sometimes","2008","direct migration background","Urban Area","267","0.167191924359119","0.148597486804956","0.185786361913282"
"Sometimes","2008","direct migration background","Rural Area","44","0.149646926831478","0.112059414318446","0.18723443934451"
"Sometimes","2008","indirect migration background","Urban Area","154","0.226331534678307","0.194382674731312","0.258280394625302"
"Sometimes","2008","indirect migration background","Rural Area","20","","",""
"Rarely","2008","no migration background","Urban Area","3426","0.318092673461743","0.309208493613573","0.326976853309914"
"Rarely","2008","no migration background","Rural Area","1809","0.304667312943408","0.293088527686421","0.316246098200395"
"Rarely","2008","direct migration background","Urban Area","464","0.311416722383995","0.288341168474231","0.334492276293759"
"Rarely","2008","direct migration background","Rural Area","95","0.262173498337833","0.215830773953024","0.308516222722643"
"Rarely","2008","indirect migration background","Urban Area","236","0.342594463935276","0.306360801612874","0.378828126257679"
"Rarely","2008","indirect migration background","Rural Area","33","0.27686470181525","0.193997503623639","0.35973190000686"
"Never","2008","no migration background","Urban Area","5596","0.53151424062692","0.521995412620125","0.541033068633714"
"Never","2008","no migration background","Rural Area","3554","0.569346047234792","0.556889257916683","0.581802836552901"
"Never","2008","direct migration background","Urban Area","764","0.481446106852129","0.45654757593014","0.506344637774118"
"Never","2008","direct migration background","Rural Area","200","0.560520470604445","0.508223671753477","0.612817269455413"
"Never","2008","indirect migration background","Urban Area","211","0.328093906276425","0.292246415986287","0.363941396566564"
"Never","2008","indirect migration background","Rural Area","54","0.540608943713851","0.448315264158179","0.632902623269523"
"Very often","2009","no migration background","Urban Area","","","",""
"Very often","2009","no migration background","Rural Area","","","",""
"Very often","2009","direct migration background","Urban Area","","","",""
"Very often","2009","direct migration background","Rural Area","","","",""
"Very often","2009","indirect migration background","Urban Area","","","",""
"Very often","2009","indirect migration background","Rural Area","","","",""
"Often","2009","no migration background","Urban Area","","","",""
"Often","2009","no migration background","Rural Area","","","",""
"Often","2009","direct migration background","Urban Area","","","",""
"Often","2009","direct migration background","Rural Area","","","",""
"Often","2009","indirect migration background","Urban Area","","","",""
"Often","2009","indirect migration background","Rural Area","","","",""
"Sometimes","2009","no migration background","Urban Area","","","",""
"Sometimes","2009","no migration background","Rural Area","","","",""
"Sometimes","2009","direct migration background","Urban Area","","","",""
"Sometimes","2009","direct migration background","Rural Area","","","",""
"Sometimes","2009","indirect migration background","Urban Area","","","",""
"Sometimes","2009","indirect migration background","Rural Area","","","",""
"Rarely","2009","no migration background","Urban Area","","","",""
"Rarely","2009","no migration background","Rural Area","","","",""
"Rarely","2009","direct migration background","Urban Area","","","",""
"Rarely","2009","direct migration background","Rural Area","","","",""
"Rarely","2009","indirect migration background","Urban Area","","","",""
"Rarely","2009","indirect migration background","Rural Area","","","",""
"Never","2009","no migration background","Urban Area","","","",""
"Never","2009","no migration background","Rural Area","","","",""
"Never","2009","direct migration background","Urban Area","","","",""
"Never","2009","direct migration background","Rural Area","","","",""
"Never","2009","indirect migration background","Urban Area","","","",""
"Never","2009","indirect migration background","Rural Area","","","",""
"Very often","2010","no migration background","Urban Area","","","",""
"Very often","2010","no migration background","Rural Area","","","",""
"Very often","2010","direct migration background","Urban Area","","","",""
"Very often","2010","direct migration background","Rural Area","","","",""
"Very often","2010","indirect migration background","Urban Area","","","",""
"Very often","2010","indirect migration background","Rural Area","","","",""
"Often","2010","no migration background","Urban Area","","","",""
"Often","2010","no migration background","Rural Area","","","",""
"Often","2010","direct migration background","Urban Area","","","",""
"Often","2010","direct migration background","Rural Area","","","",""
"Often","2010","indirect migration background","Urban Area","","","",""
"Often","2010","indirect migration background","Rural Area","","","",""
"Sometimes","2010","no migration background","Urban Area","","","",""
"Sometimes","2010","no migration background","Rural Area","","","",""
"Sometimes","2010","direct migration background","Urban Area","","","",""
"Sometimes","2010","direct migration background","Rural Area","","","",""
"Sometimes","2010","indirect migration background","Urban Area","","","",""
"Sometimes","2010","indirect migration background","Rural Area","","","",""
"Rarely","2010","no migration background","Urban Area","","","",""
"Rarely","2010","no migration background","Rural Area","","","",""
"Rarely","2010","direct migration background","Urban Area","","","",""
"Rarely","2010","direct migration background","Rural Area","","","",""
"Rarely","2010","indirect migration background","Urban Area","","","",""
"Rarely","2010","indirect migration background","Rural Area","","","",""
"Never","2010","no migration background","Urban Area","","","",""
"Never","2010","no migration background","Rural Area","","","",""
"Never","2010","direct migration background","Urban Area","","","",""
"Never","2010","direct migration background","Rural Area","","","",""
"Never","2010","indirect migration background","Urban Area","","","",""
"Never","2010","indirect migration background","Rural Area","","","",""
"Very often","2011","no migration background","Urban Area","","","",""
"Very often","2011","no migration background","Rural Area","","","",""
"Very often","2011","direct migration background","Urban Area","","","",""
"Very often","2011","direct migration background","Rural Area","","","",""
"Very often","2011","indirect migration background","Urban Area","","","",""
"Very often","2011","indirect migration background","Rural Area","","","",""
"Often","2011","no migration background","Urban Area","","","",""
"Often","2011","no migration background","Rural Area","","","",""
"Often","2011","direct migration background","Urban Area","","","",""
"Often","2011","direct migration background","Rural Area","","","",""
"Often","2011","indirect migration background","Urban Area","","","",""
"Often","2011","indirect migration background","Rural Area","","","",""
"Sometimes","2011","no migration background","Urban Area","","","",""
"Sometimes","2011","no migration background","Rural Area","","","",""
"Sometimes","2011","direct migration background","Urban Area","","","",""
"Sometimes","2011","direct migration background","Rural Area","","","",""
"Sometimes","2011","indirect migration background","Urban Area","","","",""
"Sometimes","2011","indirect migration background","Rural Area","","","",""
"Rarely","2011","no migration background","Urban Area","","","",""
"Rarely","2011","no migration background","Rural Area","","","",""
"Rarely","2011","direct migration background","Urban Area","","","",""
"Rarely","2011","direct migration background","Rural Area","","","",""
"Rarely","2011","indirect migration background","Urban Area","","","",""
"Rarely","2011","indirect migration background","Rural Area","","","",""
"Never","2011","no migration background","Urban Area","","","",""
"Never","2011","no migration background","Rural Area","","","",""
"Never","2011","direct migration background","Urban Area","","","",""
"Never","2011","direct migration background","Rural Area","","","",""
"Never","2011","indirect migration background","Urban Area","","","",""
"Never","2011","indirect migration background","Rural Area","","","",""
"Very often","2012","no migration background","Urban Area","","","",""
"Very often","2012","no migration background","Rural Area","","","",""
"Very often","2012","direct migration background","Urban Area","","","",""
"Very often","2012","direct migration background","Rural Area","","","",""
"Very often","2012","indirect migration background","Urban Area","","","",""
"Very often","2012","indirect migration background","Rural Area","","","",""
"Often","2012","no migration background","Urban Area","","","",""
"Often","2012","no migration background","Rural Area","","","",""
"Often","2012","direct migration background","Urban Area","","","",""
"Often","2012","direct migration background","Rural Area","","","",""
"Often","2012","indirect migration background","Urban Area","","","",""
"Often","2012","indirect migration background","Rural Area","","","",""
"Sometimes","2012","no migration background","Urban Area","","","",""
"Sometimes","2012","no migration background","Rural Area","","","",""
"Sometimes","2012","direct migration background","Urban Area","","","",""
"Sometimes","2012","direct migration background","Rural Area","","","",""
"Sometimes","2012","indirect migration background","Urban Area","","","",""
"Sometimes","2012","indirect migration background","Rural Area","","","",""
"Rarely","2012","no migration background","Urban Area","","","",""
"Rarely","2012","no migration background","Rural Area","","","",""
"Rarely","2012","direct migration background","Urban Area","","","",""
"Rarely","2012","direct migration background","Rural Area","","","",""
"Rarely","2012","indirect migration background","Urban Area","","","",""
"Rarely","2012","indirect migration background","Rural Area","","","",""
"Never","2012","no migration background","Urban Area","","","",""
"Never","2012","no migration background","Rural Area","","","",""
"Never","2012","direct migration background","Urban Area","","","",""
"Never","2012","direct migration background","Rural Area","","","",""
"Never","2012","indirect migration background","Urban Area","","","",""
"Never","2012","indirect migration background","Rural Area","","","",""
"Very often","2013","no migration background","Urban Area","51","0.00303399097198192","0.00210265186489229","0.00396533007907154"
"Very often","2013","no migration background","Rural Area","18","","",""
"Very often","2013","direct migration background","Urban Area","12","","",""
"Very often","2013","direct migration background","Rural Area","4","","",""
"Very often","2013","indirect migration background","Urban Area","12","","",""
"Very often","2013","indirect migration background","Rural Area","1","","",""
"Often","2013","no migration background","Urban Area","355","0.0272670835587793","0.0245091952598325","0.0300249718577262"
"Often","2013","no migration background","Rural Area","167","0.0192641088426622","0.0163013360129761","0.0222268816723484"
"Often","2013","direct migration background","Urban Area","97","0.0444404316478717","0.0354091141497825","0.053471749145961"
"Often","2013","direct migration background","Rural Area","18","","",""
"Often","2013","indirect migration background","Urban Area","76","0.0699710834520633","0.0538509705089657","0.086091196395161"
"Often","2013","indirect migration background","Rural Area","12","","",""
"Sometimes","2013","no migration background","Urban Area","1705","0.124900669009876","0.119302170334327","0.130499167685425"
"Sometimes","2013","no migration background","Rural Area","809","0.101206273499941","0.0947052521802193","0.107707294819662"
"Sometimes","2013","direct migration background","Urban Area","341","0.16227600135016","0.146117141264136","0.178434861436183"
"Sometimes","2013","direct migration background","Rural Area","127","0.182676202481131","0.152925402538096","0.212427002424166"
"Sometimes","2013","indirect migration background","Urban Area","201","0.197689358909035","0.172522820843277","0.222855896974794"
"Sometimes","2013","indirect migration background","Rural Area","39","0.197173605506652","0.144836847845092","0.249510363168213"
"Rarely","2013","no migration background","Urban Area","4325","0.32469963376966","0.316770058724682","0.332629208814637"
"Rarely","2013","no migration background","Rural Area","2446","0.291929044080944","0.282129070612271","0.301729017549617"
"Rarely","2013","direct migration background","Urban Area","576","0.284154335113133","0.264388283008193","0.303920387218072"
"Rarely","2013","direct migration background","Rural Area","172","0.2845975557801","0.249855830575758","0.319339280984443"
"Rarely","2013","indirect migration background","Urban Area","335","0.407422002620379","0.376372435089627","0.438471570151131"
"Rarely","2013","indirect migration background","Rural Area","83","0.293925797640262","0.233999750917187","0.353851844363337"
"Never","2013","no migration background","Urban Area","6960","0.520098622689704","0.511638447202133","0.528558798177274"
"Never","2013","no migration background","Rural Area","4828","0.586397510544764","0.575782131943537","0.59701288914599"
"Never","2013","direct migration background","Urban Area","974","0.505498997959748","0.483587259742726","0.52741073617677"
"Never","2013","direct migration background","Rural Area","327","0.513275233493566","0.474791476340374","0.551758990646758"
"Never","2013","indirect migration background","Urban Area","338","0.31589144789285","0.286515492568983","0.345267403216717"
"Never","2013","indirect migration background","Rural Area","87","0.482849250080699","0.417115870141459","0.548582630019938"
"Very often","2014","no migration background","Urban Area","","","",""
"Very often","2014","no migration background","Rural Area","","","",""
"Very often","2014","direct migration background","Urban Area","","","",""
"Very often","2014","direct migration background","Rural Area","","","",""
"Very often","2014","indirect migration background","Urban Area","","","",""
"Very often","2014","indirect migration background","Rural Area","","","",""
"Often","2014","no migration background","Urban Area","","","",""
"Often","2014","no migration background","Rural Area","","","",""
"Often","2014","direct migration background","Urban Area","","","",""
"Often","2014","direct migration background","Rural Area","","","",""
"Often","2014","indirect migration background","Urban Area","","","",""
"Often","2014","indirect migration background","Rural Area","","","",""
"Sometimes","2014","no migration background","Urban Area","","","",""
"Sometimes","2014","no migration background","Rural Area","","","",""
"Sometimes","2014","direct migration background","Urban Area","","","",""
"Sometimes","2014","direct migration background","Rural Area","","","",""
"Sometimes","2014","indirect migration background","Urban Area","","","",""
"Sometimes","2014","indirect migration background","Rural Area","","","",""
"Rarely","2014","no migration background","Urban Area","","","",""
"Rarely","2014","no migration background","Rural Area","","","",""
"Rarely","2014","direct migration background","Urban Area","","","",""
"Rarely","2014","direct migration background","Rural Area","","","",""
"Rarely","2014","indirect migration background","Urban Area","","","",""
"Rarely","2014","indirect migration background","Rural Area","","","",""
"Never","2014","no migration background","Urban Area","","","",""
"Never","2014","no migration background","Rural Area","","","",""
"Never","2014","direct migration background","Urban Area","","","",""
"Never","2014","direct migration background","Rural Area","","","",""
"Never","2014","indirect migration background","Urban Area","","","",""
"Never","2014","indirect migration background","Rural Area","","","",""
"Very often","2015","no migration background","Urban Area","","","",""
"Very often","2015","no migration background","Rural Area","","","",""
"Very often","2015","direct migration background","Urban Area","","","",""
"Very often","2015","direct migration background","Rural Area","","","",""
"Very often","2015","indirect migration background","Urban Area","","","",""
"Very often","2015","indirect migration background","Rural Area","","","",""
"Often","2015","no migration background","Urban Area","","","",""
"Often","2015","no migration background","Rural Area","","","",""
"Often","2015","direct migration background","Urban Area","","","",""
"Often","2015","direct migration background","Rural Area","","","",""
"Often","2015","indirect migration background","Urban Area","","","",""
"Often","2015","indirect migration background","Rural Area","","","",""
"Sometimes","2015","no migration background","Urban Area","","","",""
"Sometimes","2015","no migration background","Rural Area","","","",""
"Sometimes","2015","direct migration background","Urban Area","","","",""
"Sometimes","2015","direct migration background","Rural Area","","","",""
"Sometimes","2015","indirect migration background","Urban Area","","","",""
"Sometimes","2015","indirect migration background","Rural Area","","","",""
"Rarely","2015","no migration background","Urban Area","","","",""
"Rarely","2015","no migration background","Rural Area","","","",""
"Rarely","2015","direct migration background","Urban Area","","","",""
"Rarely","2015","direct migration background","Rural Area","","","",""
"Rarely","2015","indirect migration background","Urban Area","","","",""
"Rarely","2015","indirect migration background","Rural Area","","","",""
"Never","2015","no migration background","Urban Area","","","",""
"Never","2015","no migration background","Rural Area","","","",""
"Never","2015","direct migration background","Urban Area","","","",""
"Never","2015","direct migration background","Rural Area","","","",""
"Never","2015","indirect migration background","Urban Area","","","",""
"Never","2015","indirect migration background","Rural Area","","","",""
"Very often","2016","no migration background","Urban Area","","","",""
"Very often","2016","no migration background","Rural Area","","","",""
"Very often","2016","direct migration background","Urban Area","","","",""
"Very often","2016","direct migration background","Rural Area","","","",""
"Very often","2016","indirect migration background","Urban Area","","","",""
"Very often","2016","indirect migration background","Rural Area","","","",""
"Often","2016","no migration background","Urban Area","","","",""
"Often","2016","no migration background","Rural Area","","","",""
"Often","2016","direct migration background","Urban Area","","","",""
"Often","2016","direct migration background","Rural Area","","","",""
"Often","2016","indirect migration background","Urban Area","","","",""
"Often","2016","indirect migration background","Rural Area","","","",""
"Sometimes","2016","no migration background","Urban Area","","","",""
"Sometimes","2016","no migration background","Rural Area","","","",""
"Sometimes","2016","direct migration background","Urban Area","","","",""
"Sometimes","2016","direct migration background","Rural Area","","","",""
"Sometimes","2016","indirect migration background","Urban Area","","","",""
"Sometimes","2016","indirect migration background","Rural Area","","","",""
"Rarely","2016","no migration background","Urban Area","","","",""
"Rarely","2016","no migration background","Rural Area","","","",""
"Rarely","2016","direct migration background","Urban Area","","","",""
"Rarely","2016","direct migration background","Rural Area","","","",""
"Rarely","2016","indirect migration background","Urban Area","","","",""
"Rarely","2016","indirect migration background","Rural Area","","","",""
"Never","2016","no migration background","Urban Area","","","",""
"Never","2016","no migration background","Rural Area","","","",""
"Never","2016","direct migration background","Urban Area","","","",""
"Never","2016","direct migration background","Rural Area","","","",""
"Never","2016","indirect migration background","Urban Area","","","",""
"Never","2016","indirect migration background","Rural Area","","","",""
"Very often","2017","no migration background","Urban Area","","","",""
"Very often","2017","no migration background","Rural Area","","","",""
"Very often","2017","direct migration background","Urban Area","","","",""
"Very often","2017","direct migration background","Rural Area","","","",""
"Very often","2017","indirect migration background","Urban Area","","","",""
"Very often","2017","indirect migration background","Rural Area","","","",""
"Often","2017","no migration background","Urban Area","","","",""
"Often","2017","no migration background","Rural Area","","","",""
"Often","2017","direct migration background","Urban Area","","","",""
"Often","2017","direct migration background","Rural Area","","","",""
"Often","2017","indirect migration background","Urban Area","","","",""
"Often","2017","indirect migration background","Rural Area","","","",""
"Sometimes","2017","no migration background","Urban Area","","","",""
"Sometimes","2017","no migration background","Rural Area","","","",""
"Sometimes","2017","direct migration background","Urban Area","","","",""
"Sometimes","2017","direct migration background","Rural Area","","","",""
"Sometimes","2017","indirect migration background","Urban Area","","","",""
"Sometimes","2017","indirect migration background","Rural Area","","","",""
"Rarely","2017","no migration background","Urban Area","","","",""
"Rarely","2017","no migration background","Rural Area","","","",""
"Rarely","2017","direct migration background","Urban Area","","","",""
"Rarely","2017","direct migration background","Rural Area","","","",""
"Rarely","2017","indirect migration background","Urban Area","","","",""
"Rarely","2017","indirect migration background","Rural Area","","","",""
"Never","2017","no migration background","Urban Area","","","",""
"Never","2017","no migration background","Rural Area","","","",""
"Never","2017","direct migration background","Urban Area","","","",""
"Never","2017","direct migration background","Rural Area","","","",""
"Never","2017","indirect migration background","Urban Area","","","",""
"Never","2017","indirect migration background","Rural Area","","","",""
"Very often","2018","no migration background","Urban Area","97","0.00593597712776863","0.00456095433120532","0.00731099992433194"
"Very often","2018","no migration background","Rural Area","27","","",""
"Very often","2018","direct migration background","Urban Area","44","0.0106442520855833","0.00713607057558271","0.0141524335955838"
"Very often","2018","direct migration background","Rural Area","15","","",""
"Very often","2018","indirect migration background","Urban Area","26","","",""
"Very often","2018","indirect migration background","Rural Area","7","","",""
"Often","2018","no migration background","Urban Area","470","0.0385249077968805","0.0350798506223963","0.0419699649713647"
"Often","2018","no migration background","Rural Area","182","0.0248609136985517","0.0213539230032352","0.0283679043938682"
"Often","2018","direct migration background","Urban Area","209","0.0630368332560564","0.0547286380486398","0.0713450284634729"
"Often","2018","direct migration background","Rural Area","58","0.0664923118559706","0.0519531889697475","0.0810314347421937"
"Often","2018","indirect migration background","Urban Area","132","0.111851411177475","0.0952999598314826","0.128402862523468"
"Often","2018","indirect migration background","Rural Area","24","","",""
"Sometimes","2018","no migration background","Urban Area","2038","0.165491830588444","0.158839708870542","0.172143952306346"
"Sometimes","2018","no migration background","Rural Area","995","0.140303838638607","0.132481257819019","0.148126419458195"
"Sometimes","2018","direct migration background","Urban Area","664","0.20010511074556","0.186428018049109","0.213782203442011"
"Sometimes","2018","direct migration background","Rural Area","199","0.167758376910838","0.145953162310018","0.189563591511659"
"Sometimes","2018","indirect migration background","Urban Area","404","0.312906887933568","0.288557508804075","0.337256267063062"
"Sometimes","2018","indirect migration background","Rural Area","64","0.194537159810179","0.150961647675444","0.238112671944914"
"Rarely","2018","no migration background","Urban Area","4116","0.338715803010356","0.330244145054281","0.347187460966432"
"Rarely","2018","no migration background","Rural Area","2472","0.320259840508325","0.309750741238692","0.330768939777957"
"Rarely","2018","direct migration background","Urban Area","967","0.289366407917665","0.273864142721549","0.304868673113781"
"Rarely","2018","direct migration background","Rural Area","297","0.277187893115803","0.251066677801078","0.303309108430528"
"Rarely","2018","indirect migration background","Urban Area","426","0.287976406122408","0.26419715468959","0.311755657555226"
