"pld0044","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Often","2003","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Often","2003","no degree/no degree yet","Couple + C. GT 16 ","57","0.132873265862636","0.0968460257246075","0.168900506000664"
"Often","2003","no degree/no degree yet","Couple + C. LE and GT 16","42","0.120367854343101","0.0809672166526898","0.159768492033513"
"Sometimes","2003","lower secondary degree","1-pers.-HH","118","0.0857014841385857","0.0704142703775648","0.100988697899607"
"Sometimes","2003","lower secondary degree","(Married) couple without C. ","211","0.0660998500339105","0.0575670872647887","0.0746326128030323"
"Sometimes","2003","lower secondary degree","Single parent ","53","0.172236265638911","0.133762674356894","0.210709856920928"
"Sometimes","2003","lower secondary degree","Couple + C. LE 16 ","153","0.140046797606499","0.119857362833484","0.160236232379513"
"Sometimes","2003","lower secondary degree","Couple + C. GT 16 ","111","0.102493015598781","0.0846747034428847","0.120311327754677"
"Sometimes","2003","lower secondary degree","Couple + C. LE and GT 16","60","0.160831262615509","0.126659570106163","0.195002955124854"
"Sometimes","2003","secondary school degree","1-pers.-HH","125","0.151901955722237","0.126467521171032","0.177336390273442"
"Sometimes","2003","secondary school degree","(Married) couple without C. ","169","0.0870147152715613","0.0740298620689845","0.0999995684741382"
"Sometimes","2003","secondary school degree","Single parent ","60","0.19129731655358","0.15127428168188","0.231320351425279"
"Sometimes","2003","secondary school degree","Couple + C. LE 16 ","170","0.109357371110652","0.0939150567581822","0.124799685463122"
"Sometimes","2003","secondary school degree","Couple + C. GT 16 ","176","0.149852758540128","0.12970002263962","0.170005494440637"
"Sometimes","2003","secondary school degree","Couple + C. LE and GT 16","65","0.115910270653344","0.0894442244796243","0.142376316827064"
"Sometimes","2003","college entrance qualification","1-pers.-HH","182","0.236546562988989","0.206471952767752","0.266621173210225"
"Sometimes","2003","college entrance qualification","(Married) couple without C. ","239","0.146946593382632","0.130116307139428","0.163776879625836"
"Sometimes","2003","college entrance qualification","Single parent ","44","0.258549843630072","0.194764349556041","0.322335337704102"
"Sometimes","2003","college entrance qualification","Couple + C. LE 16 ","176","0.135148034030423","0.116613313076743","0.153682754984104"
"Sometimes","2003","college entrance qualification","Couple + C. GT 16 ","205","0.236023787579716","0.20942422156244","0.262623353596991"
"Sometimes","2003","college entrance qualification","Couple + C. LE and GT 16","58","0.152740270030967","0.115784482741816","0.189696057320117"
"Sometimes","2003","Other degree","1-pers.-HH","15","","",""
"Sometimes","2003","Other degree","(Married) couple without C. ","53","0.143202982654774","0.107019376682781","0.179386588626768"
"Sometimes","2003","Other degree","Single parent ","7","","",""
"Sometimes","2003","Other degree","Couple + C. LE 16 ","61","0.259453033574109","0.208473647505287","0.310432419642931"
"Sometimes","2003","Other degree","Couple + C. GT 16 ","31","0.134700137402578","0.0904822808362983","0.178917993968858"
"Sometimes","2003","Other degree","Couple + C. LE and GT 16","30","0.19776515554235","0.129815576014481","0.265714735070218"
"Sometimes","2003","no degree/no degree yet","1-pers.-HH","3","","",""
"Sometimes","2003","no degree/no degree yet","(Married) couple without C. ","9","","",""
"Sometimes","2003","no degree/no degree yet","Single parent ","29","","",""
"Sometimes","2003","no degree/no degree yet","Couple + C. LE 16 ","10","","",""
"Sometimes","2003","no degree/no degree yet","Couple + C. GT 16 ","105","0.31612559109962","0.266775392477871","0.365475789721369"
"Sometimes","2003","no degree/no degree yet","Couple + C. LE and GT 16","76","0.295637135118585","0.240381679602661","0.350892590634509"
"Rarely","2003","lower secondary degree","1-pers.-HH","268","0.21188367394264","0.189566763585597","0.234200584299683"
"Rarely","2003","lower secondary degree","(Married) couple without C. ","706","0.21721840587116","0.203056952539501","0.23137985920282"
"Rarely","2003","lower secondary degree","Single parent ","104","0.286967213378949","0.240876002345785","0.333058424412113"
"Rarely","2003","lower secondary degree","Couple + C. LE 16 ","403","0.366822107734912","0.338784511150629","0.394859704319195"
"Rarely","2003","lower secondary degree","Couple + C. GT 16 ","360","0.297538577069862","0.27067997596487","0.324397178174853"
"Rarely","2003","lower secondary degree","Couple + C. LE and GT 16","148","0.341131833491721","0.297034026462775","0.385229640520666"
"Rarely","2003","secondary school degree","1-pers.-HH","273","0.350405159727402","0.316596815387906","0.384213504066898"
"Rarely","2003","secondary school degree","(Married) couple without C. ","651","0.354798677227833","0.332756858616089","0.376840495839576"
"Rarely","2003","secondary school degree","Single parent ","141","0.404574318099028","0.354631381720325","0.454517254477731"
"Rarely","2003","secondary school degree","Couple + C. LE 16 ","577","0.369462787110756","0.345580422101864","0.393345152119647"
"Rarely","2003","secondary school degree","Couple + C. GT 16 ","394","0.311490038613609","0.285342442812695","0.337637634414522"
"Rarely","2003","secondary school degree","Couple + C. LE and GT 16","200","0.340209537612588","0.301039301246595","0.37937977397858"
"Rarely","2003","college entrance qualification","1-pers.-HH","294","0.393516237787075","0.35894289862081","0.42808957695334"
"Rarely","2003","college entrance qualification","(Married) couple without C. ","623","0.370610565796321","0.347652132262974","0.393568999329668"
"Rarely","2003","college entrance qualification","Single parent ","71","0.324167223876724","0.255978434582411","0.392356013171038"
"Rarely","2003","college entrance qualification","Couple + C. LE 16 ","557","0.430087234722569","0.403246600980417","0.456927868464722"
"Rarely","2003","college entrance qualification","Couple + C. GT 16 ","368","0.347649434090855","0.3178184191074","0.377480449074311"
"Rarely","2003","college entrance qualification","Couple + C. LE and GT 16","151","0.408968334085401","0.358461794367796","0.459474873803006"
"Rarely","2003","Other degree","1-pers.-HH","19","","",""
"Rarely","2003","Other degree","(Married) couple without C. ","77","0.213215921253654","0.170906757869036","0.255525084638272"
"Rarely","2003","Other degree","Single parent ","10","","",""
"Rarely","2003","Other degree","Couple + C. LE 16 ","76","0.274649946530659","0.222739770201293","0.326560122860024"
"Rarely","2003","Other degree","Couple + C. GT 16 ","65","0.245245529958144","0.189522625276142","0.300968434640145"
"Rarely","2003","Other degree","Couple + C. LE and GT 16","39","0.2930609732026","0.215412825872191","0.37070912053301"
"Rarely","2003","no degree/no degree yet","1-pers.-HH","5","","",""
"Rarely","2003","no degree/no degree yet","(Married) couple without C. ","19","","",""
"Rarely","2003","no degree/no degree yet","Single parent ","22","","",""
"Rarely","2003","no degree/no degree yet","Couple + C. LE 16 ","13","","",""
"Rarely","2003","no degree/no degree yet","Couple + C. GT 16 ","91","0.239601826630178","0.194297832087866","0.284905821172489"
"Rarely","2003","no degree/no degree yet","Couple + C. LE and GT 16","77","0.313795147670707","0.257606646226088","0.369983649115327"
"Never","2003","lower secondary degree","1-pers.-HH","874","0.677515241692442","0.651987976446855","0.703042506938029"
"Never","2003","lower secondary degree","(Married) couple without C. ","2306","0.706850966506084","0.6912177848941","0.722484148118068"
"Never","2003","lower secondary degree","Single parent ","204","0.514526023475691","0.463600690301874","0.565451356649508"
"Never","2003","lower secondary degree","Couple + C. LE 16 ","546","0.462107610624443","0.433102840985267","0.49111238026362"
"Never","2003","lower secondary degree","Couple + C. GT 16 ","613","0.572570388216313","0.543506932357501","0.601633844075125"
"Never","2003","lower secondary degree","Couple + C. LE and GT 16","212","0.456459426351653","0.410128212329162","0.502790640374144"
"Never","2003","secondary school degree","1-pers.-HH","341","0.450369690294071","0.41511334523661","0.485626035351532"
"Never","2003","secondary school degree","(Married) couple without C. ","967","0.547219260968802","0.524287708199641","0.570150813737962"
"Never","2003","secondary school degree","Single parent ","157","0.36029027147615","0.311438661436818","0.409141881515482"
"Never","2003","secondary school degree","Couple + C. LE 16 ","799","0.508966635389577","0.484230219313531","0.533703051465624"
"Never","2003","secondary school degree","Couple + C. GT 16 ","587","0.481540194876624","0.453328551467325","0.509751838285924"
"Never","2003","secondary school degree","Couple + C. LE and GT 16","266","0.492499471859409","0.451166077936703","0.533832865782116"
"Never","2003","college entrance qualification","1-pers.-HH","245","0.31574762439991","0.282852721267182","0.348642527532637"
"Never","2003","college entrance qualification","(Married) couple without C. ","804","0.461630739749979","0.437932771246948","0.485328708253011"
"Never","2003","college entrance qualification","Single parent ","57","0.351831937686873","0.282262218939818","0.421401656433928"
"Never","2003","college entrance qualification","Couple + C. LE 16 ","536","0.388505996332324","0.362081588616382","0.414930404048267"
"Never","2003","college entrance qualification","Couple + C. GT 16 ","347","0.354557352240686","0.324591349015207","0.384523355466165"
"Never","2003","college entrance qualification","Couple + C. LE and GT 16","133","0.379269393647589","0.329424247041459","0.429114540253719"
"Never","2003","Other degree","1-pers.-HH","64","0.598117025688244","0.502024197112136","0.694209854264353"
"Never","2003","Other degree","(Married) couple without C. ","216","0.587748785796171","0.536900808376971","0.638596763215371"
"Never","2003","Other degree","Single parent ","49","0.772171995318878","0.673915866879897","0.870428123757858"
"Never","2003","Other degree","Couple + C. LE 16 ","132","0.412292502508028","0.355042929061207","0.469542075954848"
"Never","2003","Other degree","Couple + C. GT 16 ","123","0.563360996256698","0.499124033067149","0.627597959446248"
"Never","2003","Other degree","Couple + C. LE and GT 16","60","0.472436867097455","0.38727008562798","0.557603648566929"
"Never","2003","no degree/no degree yet","1-pers.-HH","26","","",""
"Never","2003","no degree/no degree yet","(Married) couple without C. ","58","0.628318547548324","0.52735092278072","0.729286172315928"
"Never","2003","no degree/no degree yet","Single parent ","18","","",""
"Never","2003","no degree/no degree yet","Couple + C. LE 16 ","22","","",""
"Never","2003","no degree/no degree yet","Couple + C. GT 16 ","75","0.281219596741211","0.233500544867644","0.328938648614779"
"Never","2003","no degree/no degree yet","Couple + C. LE and GT 16","58","0.237626442198367","0.186088302233729","0.289164582163004"
"Very often","2004","lower secondary degree","1-pers.-HH","","","",""
"Very often","2004","lower secondary degree","(Married) couple without C. ","","","",""
"Very often","2004","lower secondary degree","Single parent ","","","",""
"Very often","2004","lower secondary degree","Couple + C. LE 16 ","","","",""
"Very often","2004","lower secondary degree","Couple + C. GT 16 ","","","",""
"Very often","2004","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Very often","2004","secondary school degree","1-pers.-HH","","","",""
"Very often","2004","secondary school degree","(Married) couple without C. ","","","",""
"Very often","2004","secondary school degree","Single parent ","","","",""
"Very often","2004","secondary school degree","Couple + C. LE 16 ","","","",""
"Very often","2004","secondary school degree","Couple + C. GT 16 ","","","",""
"Very often","2004","secondary school degree","Couple + C. LE and GT 16","","","",""
"Very often","2004","college entrance qualification","1-pers.-HH","","","",""
"Very often","2004","college entrance qualification","(Married) couple without C. ","","","",""
"Very often","2004","college entrance qualification","Single parent ","","","",""
"Very often","2004","college entrance qualification","Couple + C. LE 16 ","","","",""
"Very often","2004","college entrance qualification","Couple + C. GT 16 ","","","",""
"Very often","2004","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Very often","2004","Other degree","1-pers.-HH","","","",""
"Very often","2004","Other degree","(Married) couple without C. ","","","",""
"Very often","2004","Other degree","Single parent ","","","",""
"Very often","2004","Other degree","Couple + C. LE 16 ","","","",""
"Very often","2004","Other degree","Couple + C. GT 16 ","","","",""
"Very often","2004","Other degree","Couple + C. LE and GT 16","","","",""
"Very often","2004","no degree/no degree yet","1-pers.-HH","","","",""
"Very often","2004","no degree/no degree yet","(Married) couple without C. ","","","",""
"Very often","2004","no degree/no degree yet","Single parent ","","","",""
"Very often","2004","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Very often","2004","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Very often","2004","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Often","2004","lower secondary degree","1-pers.-HH","","","",""
"Often","2004","lower secondary degree","(Married) couple without C. ","","","",""
"Often","2004","lower secondary degree","Single parent ","","","",""
"Often","2004","lower secondary degree","Couple + C. LE 16 ","","","",""
"Often","2004","lower secondary degree","Couple + C. GT 16 ","","","",""
"Often","2004","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Often","2004","secondary school degree","1-pers.-HH","","","",""
"Often","2004","secondary school degree","(Married) couple without C. ","","","",""
"Often","2004","secondary school degree","Single parent ","","","",""
"Often","2004","secondary school degree","Couple + C. LE 16 ","","","",""
"Often","2004","secondary school degree","Couple + C. GT 16 ","","","",""
"Often","2004","secondary school degree","Couple + C. LE and GT 16","","","",""
"Often","2004","college entrance qualification","1-pers.-HH","","","",""
"Often","2004","college entrance qualification","(Married) couple without C. ","","","",""
"Often","2004","college entrance qualification","Single parent ","","","",""
"Often","2004","college entrance qualification","Couple + C. LE 16 ","","","",""
"Often","2004","college entrance qualification","Couple + C. GT 16 ","","","",""
"Often","2004","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Often","2004","Other degree","1-pers.-HH","","","",""
"Often","2004","Other degree","(Married) couple without C. ","","","",""
"Often","2004","Other degree","Single parent ","","","",""
"Often","2004","Other degree","Couple + C. LE 16 ","","","",""
"Often","2004","Other degree","Couple + C. GT 16 ","","","",""
"Often","2004","Other degree","Couple + C. LE and GT 16","","","",""
"Often","2004","no degree/no degree yet","1-pers.-HH","","","",""
"Often","2004","no degree/no degree yet","(Married) couple without C. ","","","",""
"Often","2004","no degree/no degree yet","Single parent ","","","",""
"Often","2004","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Often","2004","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Often","2004","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Sometimes","2004","lower secondary degree","1-pers.-HH","","","",""
"Sometimes","2004","lower secondary degree","(Married) couple without C. ","","","",""
"Sometimes","2004","lower secondary degree","Single parent ","","","",""
"Sometimes","2004","lower secondary degree","Couple + C. LE 16 ","","","",""
"Sometimes","2004","lower secondary degree","Couple + C. GT 16 ","","","",""
"Sometimes","2004","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Sometimes","2004","secondary school degree","1-pers.-HH","","","",""
"Sometimes","2004","secondary school degree","(Married) couple without C. ","","","",""
"Sometimes","2004","secondary school degree","Single parent ","","","",""
"Sometimes","2004","secondary school degree","Couple + C. LE 16 ","","","",""
"Sometimes","2004","secondary school degree","Couple + C. GT 16 ","","","",""
"Sometimes","2004","secondary school degree","Couple + C. LE and GT 16","","","",""
"Sometimes","2004","college entrance qualification","1-pers.-HH","","","",""
"Sometimes","2004","college entrance qualification","(Married) couple without C. ","","","",""
"Sometimes","2004","college entrance qualification","Single parent ","","","",""
"Sometimes","2004","college entrance qualification","Couple + C. LE 16 ","","","",""
"Sometimes","2004","college entrance qualification","Couple + C. GT 16 ","","","",""
"Sometimes","2004","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Sometimes","2004","Other degree","1-pers.-HH","","","",""
"Sometimes","2004","Other degree","(Married) couple without C. ","","","",""
"Sometimes","2004","Other degree","Single parent ","","","",""
"Sometimes","2004","Other degree","Couple + C. LE 16 ","","","",""
"Sometimes","2004","Other degree","Couple + C. GT 16 ","","","",""
"Sometimes","2004","Other degree","Couple + C. LE and GT 16","","","",""
"Sometimes","2004","no degree/no degree yet","1-pers.-HH","","","",""
"Sometimes","2004","no degree/no degree yet","(Married) couple without C. ","","","",""
"Sometimes","2004","no degree/no degree yet","Single parent ","","","",""
"Sometimes","2004","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Sometimes","2004","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Sometimes","2004","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Rarely","2004","lower secondary degree","1-pers.-HH","","","",""
"Rarely","2004","lower secondary degree","(Married) couple without C. ","","","",""
"Rarely","2004","lower secondary degree","Single parent ","","","",""
"Rarely","2004","lower secondary degree","Couple + C. LE 16 ","","","",""
"Rarely","2004","lower secondary degree","Couple + C. GT 16 ","","","",""
"Rarely","2004","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Rarely","2004","secondary school degree","1-pers.-HH","","","",""
"Rarely","2004","secondary school degree","(Married) couple without C. ","","","",""
"Rarely","2004","secondary school degree","Single parent ","","","",""
"Rarely","2004","secondary school degree","Couple + C. LE 16 ","","","",""
"Rarely","2004","secondary school degree","Couple + C. GT 16 ","","","",""
"Rarely","2004","secondary school degree","Couple + C. LE and GT 16","","","",""
"Rarely","2004","college entrance qualification","1-pers.-HH","","","",""
"Rarely","2004","college entrance qualification","(Married) couple without C. ","","","",""
"Rarely","2004","college entrance qualification","Single parent ","","","",""
"Rarely","2004","college entrance qualification","Couple + C. LE 16 ","","","",""
"Rarely","2004","college entrance qualification","Couple + C. GT 16 ","","","",""
"Rarely","2004","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Rarely","2004","Other degree","1-pers.-HH","","","",""
"Rarely","2004","Other degree","(Married) couple without C. ","","","",""
"Rarely","2004","Other degree","Single parent ","","","",""
"Rarely","2004","Other degree","Couple + C. LE 16 ","","","",""
"Rarely","2004","Other degree","Couple + C. GT 16 ","","","",""
"Rarely","2004","Other degree","Couple + C. LE and GT 16","","","",""
"Rarely","2004","no degree/no degree yet","1-pers.-HH","","","",""
"Rarely","2004","no degree/no degree yet","(Married) couple without C. ","","","",""
"Rarely","2004","no degree/no degree yet","Single parent ","","","",""
"Rarely","2004","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Rarely","2004","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Rarely","2004","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Never","2004","lower secondary degree","1-pers.-HH","","","",""
"Never","2004","lower secondary degree","(Married) couple without C. ","","","",""
"Never","2004","lower secondary degree","Single parent ","","","",""
"Never","2004","lower secondary degree","Couple + C. LE 16 ","","","",""
"Never","2004","lower secondary degree","Couple + C. GT 16 ","","","",""
"Never","2004","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Never","2004","secondary school degree","1-pers.-HH","","","",""
"Never","2004","secondary school degree","(Married) couple without C. ","","","",""
"Never","2004","secondary school degree","Single parent ","","","",""
"Never","2004","secondary school degree","Couple + C. LE 16 ","","","",""
"Never","2004","secondary school degree","Couple + C. GT 16 ","","","",""
"Never","2004","secondary school degree","Couple + C. LE and GT 16","","","",""
"Never","2004","college entrance qualification","1-pers.-HH","","","",""
"Never","2004","college entrance qualification","(Married) couple without C. ","","","",""
"Never","2004","college entrance qualification","Single parent ","","","",""
"Never","2004","college entrance qualification","Couple + C. LE 16 ","","","",""
"Never","2004","college entrance qualification","Couple + C. GT 16 ","","","",""
"Never","2004","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Never","2004","Other degree","1-pers.-HH","","","",""
"Never","2004","Other degree","(Married) couple without C. ","","","",""
"Never","2004","Other degree","Single parent ","","","",""
"Never","2004","Other degree","Couple + C. LE 16 ","","","",""
"Never","2004","Other degree","Couple + C. GT 16 ","","","",""
"Never","2004","Other degree","Couple + C. LE and GT 16","","","",""
"Never","2004","no degree/no degree yet","1-pers.-HH","","","",""
"Never","2004","no degree/no degree yet","(Married) couple without C. ","","","",""
"Never","2004","no degree/no degree yet","Single parent ","","","",""
"Never","2004","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Never","2004","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Never","2004","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Very often","2005","lower secondary degree","1-pers.-HH","","","",""
"Very often","2005","lower secondary degree","(Married) couple without C. ","","","",""
"Very often","2005","lower secondary degree","Single parent ","","","",""
"Very often","2005","lower secondary degree","Couple + C. LE 16 ","","","",""
"Very often","2005","lower secondary degree","Couple + C. GT 16 ","","","",""
"Very often","2005","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Very often","2005","secondary school degree","1-pers.-HH","","","",""
"Very often","2005","secondary school degree","(Married) couple without C. ","","","",""
"Very often","2005","secondary school degree","Single parent ","","","",""
"Very often","2005","secondary school degree","Couple + C. LE 16 ","","","",""
"Very often","2005","secondary school degree","Couple + C. GT 16 ","","","",""
"Very often","2005","secondary school degree","Couple + C. LE and GT 16","","","",""
"Very often","2005","college entrance qualification","1-pers.-HH","","","",""
"Very often","2005","college entrance qualification","(Married) couple without C. ","","","",""
"Very often","2005","college entrance qualification","Single parent ","","","",""
"Very often","2005","college entrance qualification","Couple + C. LE 16 ","","","",""
"Very often","2005","college entrance qualification","Couple + C. GT 16 ","","","",""
"Very often","2005","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Very often","2005","Other degree","1-pers.-HH","","","",""
"Very often","2005","Other degree","(Married) couple without C. ","","","",""
"Very often","2005","Other degree","Single parent ","","","",""
"Very often","2005","Other degree","Couple + C. LE 16 ","","","",""
"Very often","2005","Other degree","Couple + C. GT 16 ","","","",""
"Very often","2005","Other degree","Couple + C. LE and GT 16","","","",""
"Very often","2005","no degree/no degree yet","1-pers.-HH","","","",""
"Very often","2005","no degree/no degree yet","(Married) couple without C. ","","","",""
"Very often","2005","no degree/no degree yet","Single parent ","","","",""
"Very often","2005","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Very often","2005","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Very often","2005","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Often","2005","lower secondary degree","1-pers.-HH","","","",""
"Often","2005","lower secondary degree","(Married) couple without C. ","","","",""
"Often","2005","lower secondary degree","Single parent ","","","",""
"Often","2005","lower secondary degree","Couple + C. LE 16 ","","","",""
"Often","2005","lower secondary degree","Couple + C. GT 16 ","","","",""
"Often","2005","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Often","2005","secondary school degree","1-pers.-HH","","","",""
"Often","2005","secondary school degree","(Married) couple without C. ","","","",""
"Often","2005","secondary school degree","Single parent ","","","",""
"Often","2005","secondary school degree","Couple + C. LE 16 ","","","",""
"Often","2005","secondary school degree","Couple + C. GT 16 ","","","",""
"Often","2005","secondary school degree","Couple + C. LE and GT 16","","","",""
"Often","2005","college entrance qualification","1-pers.-HH","","","",""
"Often","2005","college entrance qualification","(Married) couple without C. ","","","",""
"Often","2005","college entrance qualification","Single parent ","","","",""
"Often","2005","college entrance qualification","Couple + C. LE 16 ","","","",""
"Often","2005","college entrance qualification","Couple + C. GT 16 ","","","",""
"Often","2005","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Often","2005","Other degree","1-pers.-HH","","","",""
"Often","2005","Other degree","(Married) couple without C. ","","","",""
"Often","2005","Other degree","Single parent ","","","",""
"Often","2005","Other degree","Couple + C. LE 16 ","","","",""
"Often","2005","Other degree","Couple + C. GT 16 ","","","",""
"Often","2005","Other degree","Couple + C. LE and GT 16","","","",""
"Often","2005","no degree/no degree yet","1-pers.-HH","","","",""
"Often","2005","no degree/no degree yet","(Married) couple without C. ","","","",""
"Often","2005","no degree/no degree yet","Single parent ","","","",""
"Often","2005","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Often","2005","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Often","2005","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Sometimes","2005","lower secondary degree","1-pers.-HH","","","",""
"Sometimes","2005","lower secondary degree","(Married) couple without C. ","","","",""
"Sometimes","2005","lower secondary degree","Single parent ","","","",""
"Sometimes","2005","lower secondary degree","Couple + C. LE 16 ","","","",""
"Sometimes","2005","lower secondary degree","Couple + C. GT 16 ","","","",""
"Sometimes","2005","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Sometimes","2005","secondary school degree","1-pers.-HH","","","",""
"Sometimes","2005","secondary school degree","(Married) couple without C. ","","","",""
"Sometimes","2005","secondary school degree","Single parent ","","","",""
"Sometimes","2005","secondary school degree","Couple + C. LE 16 ","","","",""
"Sometimes","2005","secondary school degree","Couple + C. GT 16 ","","","",""
"Sometimes","2005","secondary school degree","Couple + C. LE and GT 16","","","",""
"Sometimes","2005","college entrance qualification","1-pers.-HH","","","",""
"Sometimes","2005","college entrance qualification","(Married) couple without C. ","","","",""
"Sometimes","2005","college entrance qualification","Single parent ","","","",""
"Sometimes","2005","college entrance qualification","Couple + C. LE 16 ","","","",""
"Sometimes","2005","college entrance qualification","Couple + C. GT 16 ","","","",""
"Sometimes","2005","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Sometimes","2005","Other degree","1-pers.-HH","","","",""
