"pld0044","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2005","direct migration background","West Germany","","","",""
"Very often","2005","direct migration background","East Germany","","","",""
"Very often","2005","indirect migration background","West Germany","","","",""
"Very often","2005","indirect migration background","East Germany","","","",""
"Often","2005","no migration background","West Germany","","","",""
"Often","2005","no migration background","East Germany","","","",""
"Often","2005","direct migration background","West Germany","","","",""
"Often","2005","direct migration background","East Germany","","","",""
"Often","2005","indirect migration background","West Germany","","","",""
"Often","2005","indirect migration background","East Germany","","","",""
"Sometimes","2005","no migration background","West Germany","","","",""
"Sometimes","2005","no migration background","East Germany","","","",""
"Sometimes","2005","direct migration background","West Germany","","","",""
"Sometimes","2005","direct migration background","East Germany","","","",""
"Sometimes","2005","indirect migration background","West Germany","","","",""
"Sometimes","2005","indirect migration background","East Germany","","","",""
"Rarely","2005","no migration background","West Germany","","","",""
"Rarely","2005","no migration background","East Germany","","","",""
"Rarely","2005","direct migration background","West Germany","","","",""
"Rarely","2005","direct migration background","East Germany","","","",""
"Rarely","2005","indirect migration background","West Germany","","","",""
"Rarely","2005","indirect migration background","East Germany","","","",""
"Never","2005","no migration background","West Germany","","","",""
"Never","2005","no migration background","East Germany","","","",""
"Never","2005","direct migration background","West Germany","","","",""
"Never","2005","direct migration background","East Germany","","","",""
"Never","2005","indirect migration background","West Germany","","","",""
"Never","2005","indirect migration background","East Germany","","","",""
"Very often","2006","no migration background","West Germany","","","",""
"Very often","2006","no migration background","East Germany","","","",""
"Very often","2006","direct migration background","West Germany","","","",""
"Very often","2006","direct migration background","East Germany","","","",""
"Very often","2006","indirect migration background","West Germany","","","",""
"Very often","2006","indirect migration background","East Germany","","","",""
"Often","2006","no migration background","West Germany","","","",""
"Often","2006","no migration background","East Germany","","","",""
"Often","2006","direct migration background","West Germany","","","",""
"Often","2006","direct migration background","East Germany","","","",""
"Often","2006","indirect migration background","West Germany","","","",""
"Often","2006","indirect migration background","East Germany","","","",""
"Sometimes","2006","no migration background","West Germany","","","",""
"Sometimes","2006","no migration background","East Germany","","","",""
"Sometimes","2006","direct migration background","West Germany","","","",""
"Sometimes","2006","direct migration background","East Germany","","","",""
"Sometimes","2006","indirect migration background","West Germany","","","",""
"Sometimes","2006","indirect migration background","East Germany","","","",""
"Rarely","2006","no migration background","West Germany","","","",""
"Rarely","2006","no migration background","East Germany","","","",""
"Rarely","2006","direct migration background","West Germany","","","",""
"Rarely","2006","direct migration background","East Germany","","","",""
"Rarely","2006","indirect migration background","West Germany","","","",""
"Rarely","2006","indirect migration background","East Germany","","","",""
"Never","2006","no migration background","West Germany","","","",""
"Never","2006","no migration background","East Germany","","","",""
"Never","2006","direct migration background","West Germany","","","",""
"Never","2006","direct migration background","East Germany","","","",""
"Never","2006","indirect migration background","West Germany","","","",""
"Never","2006","indirect migration background","East Germany","","","",""
"Very often","2007","no migration background","West Germany","","","",""
"Very often","2007","no migration background","East Germany","","","",""
"Very often","2007","direct migration background","West Germany","","","",""
"Very often","2007","direct migration background","East Germany","","","",""
"Very often","2007","indirect migration background","West Germany","","","",""
"Very often","2007","indirect migration background","East Germany","","","",""
"Often","2007","no migration background","West Germany","","","",""
"Often","2007","no migration background","East Germany","","","",""
"Often","2007","direct migration background","West Germany","","","",""
"Often","2007","direct migration background","East Germany","","","",""
"Often","2007","indirect migration background","West Germany","","","",""
"Often","2007","indirect migration background","East Germany","","","",""
"Sometimes","2007","no migration background","West Germany","","","",""
"Sometimes","2007","no migration background","East Germany","","","",""
"Sometimes","2007","direct migration background","West Germany","","","",""
"Sometimes","2007","direct migration background","East Germany","","","",""
"Sometimes","2007","indirect migration background","West Germany","","","",""
"Sometimes","2007","indirect migration background","East Germany","","","",""
"Rarely","2007","no migration background","West Germany","","","",""
"Rarely","2007","no migration background","East Germany","","","",""
"Rarely","2007","direct migration background","West Germany","","","",""
"Rarely","2007","direct migration background","East Germany","","","",""
"Rarely","2007","indirect migration background","West Germany","","","",""
"Rarely","2007","indirect migration background","East Germany","","","",""
"Never","2007","no migration background","West Germany","","","",""
"Never","2007","no migration background","East Germany","","","",""
"Never","2007","direct migration background","West Germany","","","",""
"Never","2007","direct migration background","East Germany","","","",""
"Never","2007","indirect migration background","West Germany","","","",""
"Never","2007","indirect migration background","East Germany","","","",""
"Very often","2008","no migration background","West Germany","63","0.00545436581391679","0.00413581933623178","0.00677291229160181"
"Very often","2008","no migration background","East Germany","15","","",""
"Very often","2008","direct migration background","West Germany","5","","",""
"Very often","2008","direct migration background","East Germany","1","","",""
"Very often","2008","indirect migration background","West Germany","10","","",""
"Very often","2008","indirect migration background","East Germany","1","","",""
"Often","2008","no migration background","West Germany","282","0.024878491613787","0.0220901091357644","0.0276668740918096"
"Often","2008","no migration background","East Germany","66","0.0179983202023283","0.0141734701924221","0.0218231702122346"
"Often","2008","direct migration background","West Germany","53","0.035675912882225","0.0271451234220768","0.0442067023423732"
"Often","2008","direct migration background","East Germany","","","",""
"Often","2008","indirect migration background","West Germany","50","0.0752413205427682","0.0560800274467757","0.0944026136387607"
"Often","2008","indirect migration background","East Germany","2","","",""
"Sometimes","2008","no migration background","West Germany","1381","0.118854950898749","0.113061420427165","0.124648481370332"
"Sometimes","2008","no migration background","East Germany","435","0.0943664031753044","0.0859557975265526","0.102777008824056"
"Sometimes","2008","direct migration background","West Germany","306","0.164645380873212","0.14758846986216","0.181702291884263"
"Sometimes","2008","direct migration background","East Germany","5","","",""
"Sometimes","2008","indirect migration background","West Germany","164","0.211329064066801","0.181673244242772","0.240984883890829"
"Sometimes","2008","indirect migration background","East Germany","10","","",""
"Rarely","2008","no migration background","West Germany","3832","0.31311100951742","0.304808614335658","0.321413404699182"
"Rarely","2008","no migration background","East Germany","1403","0.31485289730014","0.301490386580331","0.32821540801995"
"Rarely","2008","direct migration background","West Germany","525","0.298483375020409","0.277437391493784","0.319529358547033"
"Rarely","2008","direct migration background","East Germany","34","0.416619020347126","0.306503532338167","0.526734508356086"
"Rarely","2008","indirect migration background","West Germany","253","0.329849431043574","0.295696619133892","0.364002242953256"
"Rarely","2008","indirect migration background","East Germany","16","","",""
"Never","2008","no migration background","West Germany","6428","0.537701182156128","0.528775470735859","0.546626893576397"
"Never","2008","no migration background","East Germany","2722","0.568995610427425","0.554748145011654","0.583243075843195"
"Never","2008","direct migration background","West Germany","927","0.498625507859023","0.475629177853755","0.521621837864291"
"Never","2008","direct migration background","East Germany","37","0.432678534497844","0.3220161531669","0.543340915828788"
"Never","2008","indirect migration background","West Germany","251","0.370956981993737","0.335866902722795","0.406047061264679"
"Never","2008","indirect migration background","East Germany","14","","",""
"Very often","2009","no migration background","West Germany","","","",""
"Very often","2009","no migration background","East Germany","","","",""
"Very often","2009","direct migration background","West Germany","","","",""
"Very often","2009","direct migration background","East Germany","","","",""
"Very often","2009","indirect migration background","West Germany","","","",""
"Very often","2009","indirect migration background","East Germany","","","",""
"Often","2009","no migration background","West Germany","","","",""
"Often","2009","no migration background","East Germany","","","",""
"Often","2009","direct migration background","West Germany","","","",""
"Often","2009","direct migration background","East Germany","","","",""
"Often","2009","indirect migration background","West Germany","","","",""
"Often","2009","indirect migration background","East Germany","","","",""
"Sometimes","2009","no migration background","West Germany","","","",""
"Sometimes","2009","no migration background","East Germany","","","",""
"Sometimes","2009","direct migration background","West Germany","","","",""
"Sometimes","2009","direct migration background","East Germany","","","",""
"Sometimes","2009","indirect migration background","West Germany","","","",""
"Sometimes","2009","indirect migration background","East Germany","","","",""
"Rarely","2009","no migration background","West Germany","","","",""
"Rarely","2009","no migration background","East Germany","","","",""
"Rarely","2009","direct migration background","West Germany","","","",""
"Rarely","2009","direct migration background","East Germany","","","",""
"Rarely","2009","indirect migration background","West Germany","","","",""
"Rarely","2009","indirect migration background","East Germany","","","",""
"Never","2009","no migration background","West Germany","","","",""
"Never","2009","no migration background","East Germany","","","",""
"Never","2009","direct migration background","West Germany","","","",""
"Never","2009","direct migration background","East Germany","","","",""
"Never","2009","indirect migration background","West Germany","","","",""
"Never","2009","indirect migration background","East Germany","","","",""
"Very often","2010","no migration background","West Germany","","","",""
"Very often","2010","no migration background","East Germany","","","",""
"Very often","2010","direct migration background","West Germany","","","",""
"Very often","2010","direct migration background","East Germany","","","",""
"Very often","2010","indirect migration background","West Germany","","","",""
"Very often","2010","indirect migration background","East Germany","","","",""
"Often","2010","no migration background","West Germany","","","",""
"Often","2010","no migration background","East Germany","","","",""
"Often","2010","direct migration background","West Germany","","","",""
"Often","2010","direct migration background","East Germany","","","",""
"Often","2010","indirect migration background","West Germany","","","",""
"Often","2010","indirect migration background","East Germany","","","",""
"Sometimes","2010","no migration background","West Germany","","","",""
"Sometimes","2010","no migration background","East Germany","","","",""
"Sometimes","2010","direct migration background","West Germany","","","",""
"Sometimes","2010","direct migration background","East Germany","","","",""
"Sometimes","2010","indirect migration background","West Germany","","","",""
"Sometimes","2010","indirect migration background","East Germany","","","",""
"Rarely","2010","no migration background","West Germany","","","",""
"Rarely","2010","no migration background","East Germany","","","",""
"Rarely","2010","direct migration background","West Germany","","","",""
"Rarely","2010","direct migration background","East Germany","","","",""
"Rarely","2010","indirect migration background","West Germany","","","",""
"Rarely","2010","indirect migration background","East Germany","","","",""
"Never","2010","no migration background","West Germany","","","",""
"Never","2010","no migration background","East Germany","","","",""
"Never","2010","direct migration background","West Germany","","","",""
"Never","2010","direct migration background","East Germany","","","",""
"Never","2010","indirect migration background","West Germany","","","",""
"Never","2010","indirect migration background","East Germany","","","",""
"Very often","2011","no migration background","West Germany","","","",""
"Very often","2011","no migration background","East Germany","","","",""
"Very often","2011","direct migration background","West Germany","","","",""
"Very often","2011","direct migration background","East Germany","","","",""
"Very often","2011","indirect migration background","West Germany","","","",""
"Very often","2011","indirect migration background","East Germany","","","",""
"Often","2011","no migration background","West Germany","","","",""
"Often","2011","no migration background","East Germany","","","",""
"Often","2011","direct migration background","West Germany","","","",""
"Often","2011","direct migration background","East Germany","","","",""
"Often","2011","indirect migration background","West Germany","","","",""
"Often","2011","indirect migration background","East Germany","","","",""
"Sometimes","2011","no migration background","West Germany","","","",""
"Sometimes","2011","no migration background","East Germany","","","",""
"Sometimes","2011","direct migration background","West Germany","","","",""
"Sometimes","2011","direct migration background","East Germany","","","",""
"Sometimes","2011","indirect migration background","West Germany","","","",""
"Sometimes","2011","indirect migration background","East Germany","","","",""
"Rarely","2011","no migration background","West Germany","","","",""
"Rarely","2011","no migration background","East Germany","","","",""
"Rarely","2011","direct migration background","West Germany","","","",""
"Rarely","2011","direct migration background","East Germany","","","",""
"Rarely","2011","indirect migration background","West Germany","","","",""
"Rarely","2011","indirect migration background","East Germany","","","",""
"Never","2011","no migration background","West Germany","","","",""
"Never","2011","no migration background","East Germany","","","",""
"Never","2011","direct migration background","West Germany","","","",""
"Never","2011","direct migration background","East Germany","","","",""
"Never","2011","indirect migration background","West Germany","","","",""
"Never","2011","indirect migration background","East Germany","","","",""
"Very often","2012","no migration background","West Germany","","","",""
"Very often","2012","no migration background","East Germany","","","",""
"Very often","2012","direct migration background","West Germany","","","",""
"Very often","2012","direct migration background","East Germany","","","",""
"Very often","2012","indirect migration background","West Germany","","","",""
"Very often","2012","indirect migration background","East Germany","","","",""
"Often","2012","no migration background","West Germany","","","",""
"Often","2012","no migration background","East Germany","","","",""
"Often","2012","direct migration background","West Germany","","","",""
"Often","2012","direct migration background","East Germany","","","",""
"Often","2012","indirect migration background","West Germany","","","",""
"Often","2012","indirect migration background","East Germany","","","",""
"Sometimes","2012","no migration background","West Germany","","","",""
"Sometimes","2012","no migration background","East Germany","","","",""
"Sometimes","2012","direct migration background","West Germany","","","",""
"Sometimes","2012","direct migration background","East Germany","","","",""
"Sometimes","2012","indirect migration background","West Germany","","","",""
"Sometimes","2012","indirect migration background","East Germany","","","",""
"Rarely","2012","no migration background","West Germany","","","",""
"Rarely","2012","no migration background","East Germany","","","",""
"Rarely","2012","direct migration background","West Germany","","","",""
"Rarely","2012","direct migration background","East Germany","","","",""
"Rarely","2012","indirect migration background","West Germany","","","",""
"Rarely","2012","indirect migration background","East Germany","","","",""
"Never","2012","no migration background","West Germany","","","",""
"Never","2012","no migration background","East Germany","","","",""
"Never","2012","direct migration background","West Germany","","","",""
"Never","2012","direct migration background","East Germany","","","",""
"Never","2012","indirect migration background","West Germany","","","",""
"Never","2012","indirect migration background","East Germany","","","",""
"Very often","2013","no migration background","West Germany","53","0.00261718485865179","0.00182916554692486","0.00340520417037873"
"Very often","2013","no migration background","East Germany","16","","",""
"Very often","2013","direct migration background","West Germany","15","","",""
"Very often","2013","direct migration background","East Germany","1","","",""
"Very often","2013","indirect migration background","West Germany","13","","",""
"Very often","2013","indirect migration background","East Germany","","","",""
"Often","2013","no migration background","West Germany","432","0.0275738516905703","0.0250482448071806","0.03009945857396"
"Often","2013","no migration background","East Germany","90","0.0130718644806839","0.0100744452058638","0.016069283755504"
"Often","2013","direct migration background","West Germany","113","0.0392856311520376","0.0316869408369994","0.0468843214670759"
"Often","2013","direct migration background","East Germany","2","","",""
"Often","2013","indirect migration background","West Germany","83","0.0615092494455886","0.0473686594502704","0.0756498394409067"
"Often","2013","indirect migration background","East Germany","5","","",""
"Sometimes","2013","no migration background","West Germany","2017","0.12344155891242","0.118368033294309","0.12851508453053"
"Sometimes","2013","no migration background","East Germany","497","0.0916173111860279","0.084004252847576","0.0992303695244798"
"Sometimes","2013","direct migration background","West Germany","448","0.169107963248509","0.15444644104302","0.183769485453998"
"Sometimes","2013","direct migration background","East Germany","20","","",""
"Sometimes","2013","indirect migration background","West Germany","228","0.189742308850885","0.16666548742043","0.212819130281339"
"Sometimes","2013","indirect migration background","East Germany","12","","",""
"Rarely","2013","no migration background","West Germany","5201","0.319354671261229","0.312163729170977","0.326545613351482"
"Rarely","2013","no migration background","East Germany","1570","0.290955848678271","0.278969520959414","0.302942176397128"
"Rarely","2013","direct migration background","West Germany","704","0.28301898565592","0.265399779075706","0.300638192236133"
"Rarely","2013","direct migration background","East Germany","44","0.317016229982344","0.239098956396996","0.394933503567693"
"Rarely","2013","indirect migration background","West Germany","388","0.386034303427087","0.357381486788551","0.414687120065624"
"Rarely","2013","indirect migration background","East Germany","30","0.356100934027769","0.247729975845636","0.464471892209902"
"Never","2013","no migration background","West Germany","8445","0.527012733277129","0.519312143303885","0.534713323250373"
"Never","2013","no migration background","East Germany","3343","0.602769769679735","0.589856600527809","0.61568293883166"
"Never","2013","direct migration background","West Germany","1231","0.50478134522027","0.4852255770093","0.52433711343124"
"Never","2013","direct migration background","East Germany","70","0.571885963658483","0.489030288673328","0.654741638643639"
"Never","2013","indirect migration background","West Germany","397","0.354934541418109","0.326772875343397","0.383096207492821"
"Never","2013","indirect migration background","East Germany","28","","",""
"Very often","2014","no migration background","West Germany","","","",""
"Very often","2014","no migration background","East Germany","","","",""
"Very often","2014","direct migration background","West Germany","","","",""
"Very often","2014","direct migration background","East Germany","","","",""
"Very often","2014","indirect migration background","West Germany","","","",""
"Very often","2014","indirect migration background","East Germany","","","",""
"Often","2014","no migration background","West Germany","","","",""
"Often","2014","no migration background","East Germany","","","",""
"Often","2014","direct migration background","West Germany","","","",""
"Often","2014","direct migration background","East Germany","","","",""
"Often","2014","indirect migration background","West Germany","","","",""
"Often","2014","indirect migration background","East Germany","","","",""
"Sometimes","2014","no migration background","West Germany","","","",""
"Sometimes","2014","no migration background","East Germany","","","",""
"Sometimes","2014","direct migration background","West Germany","","","",""
"Sometimes","2014","direct migration background","East Germany","","","",""
"Sometimes","2014","indirect migration background","West Germany","","","",""
"Sometimes","2014","indirect migration background","East Germany","","","",""
"Rarely","2014","no migration background","West Germany","","","",""
"Rarely","2014","no migration background","East Germany","","","",""
"Rarely","2014","direct migration background","West Germany","","","",""
"Rarely","2014","direct migration background","East Germany","","","",""
"Rarely","2014","indirect migration background","West Germany","","","",""
"Rarely","2014","indirect migration background","East Germany","","","",""
"Never","2014","no migration background","West Germany","","","",""
"Never","2014","no migration background","East Germany","","","",""
"Never","2014","direct migration background","West Germany","","","",""
"Never","2014","direct migration background","East Germany","","","",""
"Never","2014","indirect migration background","West Germany","","","",""
"Never","2014","indirect migration background","East Germany","","","",""
"Very often","2015","no migration background","West Germany","","","",""
"Very often","2015","no migration background","East Germany","","","",""
"Very often","2015","direct migration background","West Germany","","","",""
"Very often","2015","direct migration background","East Germany","","","",""
"Very often","2015","indirect migration background","West Germany","","","",""
"Very often","2015","indirect migration background","East Germany","","","",""
"Often","2015","no migration background","West Germany","","","",""
"Often","2015","no migration background","East Germany","","","",""
"Often","2015","direct migration background","West Germany","","","",""
"Often","2015","direct migration background","East Germany","","","",""
"Often","2015","indirect migration background","West Germany","","","",""
"Often","2015","indirect migration background","East Germany","","","",""
"Sometimes","2015","no migration background","West Germany","","","",""
"Sometimes","2015","no migration background","East Germany","","","",""
"Sometimes","2015","direct migration background","West Germany","","","",""
"Sometimes","2015","direct migration background","East Germany","","","",""
"Sometimes","2015","indirect migration background","West Germany","","","",""
"Sometimes","2015","indirect migration background","East Germany","","","",""
"Rarely","2015","no migration background","West Germany","","","",""
"Rarely","2015","no migration background","East Germany","","","",""
"Rarely","2015","direct migration background","West Germany","","","",""
"Rarely","2015","direct migration background","East Germany","","","",""
"Rarely","2015","indirect migration background","West Germany","","","",""
"Rarely","2015","indirect migration background","East Germany","","","",""
"Never","2015","no migration background","West Germany","","","",""
"Never","2015","no migration background","East Germany","","","",""
"Never","2015","direct migration background","West Germany","","","",""
"Never","2015","direct migration background","East Germany","","","",""
"Never","2015","indirect migration background","West Germany","","","",""
"Never","2015","indirect migration background","East Germany","","","",""
"Very often","2016","no migration background","West Germany","","","",""
"Very often","2016","no migration background","East Germany","","","",""
"Very often","2016","direct migration background","West Germany","","","",""
"Very often","2016","direct migration background","East Germany","","","",""
"Very often","2016","indirect migration background","West Germany","","","",""
"Very often","2016","indirect migration background","East Germany","","","",""
"Often","2016","no migration background","West Germany","","","",""
"Often","2016","no migration background","East Germany","","","",""
"Often","2016","direct migration background","West Germany","","","",""
"Often","2016","direct migration background","East Germany","","","",""
"Often","2016","indirect migration background","West Germany","","","",""
"Often","2016","indirect migration background","East Germany","","","",""
"Sometimes","2016","no migration background","West Germany","","","",""
"Sometimes","2016","no migration background","East Germany","","","",""
"Sometimes","2016","direct migration background","West Germany","","","",""
"Sometimes","2016","direct migration background","East Germany","","","",""
"Sometimes","2016","indirect migration background","West Germany","","","",""
"Sometimes","2016","indirect migration background","East Germany","","","",""
"Rarely","2016","no migration background","West Germany","","","",""
"Rarely","2016","no migration background","East Germany","","","",""
"Rarely","2016","direct migration background","West Germany","","","",""
"Rarely","2016","direct migration background","East Germany","","","",""
"Rarely","2016","indirect migration background","West Germany","","","",""
"Rarely","2016","indirect migration background","East Germany","","","",""
"Never","2016","no migration background","West Germany","","","",""
"Never","2016","no migration background","East Germany","","","",""
"Never","2016","direct migration background","West Germany","","","",""
"Never","2016","direct migration background","East Germany","","","",""
"Never","2016","indirect migration background","West Germany","","","",""
"Never","2016","indirect migration background","East Germany","","","",""
"Very often","2017","no migration background","West Germany","","","",""
"Very often","2017","no migration background","East Germany","","","",""
"Very often","2017","direct migration background","West Germany","","","",""
"Very often","2017","direct migration background","East Germany","","","",""
"Very often","2017","indirect migration background","West Germany","","","",""
"Very often","2017","indirect migration background","East Germany","","","",""
"Often","2017","no migration background","West Germany","","","",""
"Often","2017","no migration background","East Germany","","","",""
"Often","2017","direct migration background","West Germany","","","",""
"Often","2017","direct migration background","East Germany","","","",""
"Often","2017","indirect migration background","West Germany","","","",""
"Often","2017","indirect migration background","East Germany","","","",""
"Sometimes","2017","no migration background","West Germany","","","",""
"Sometimes","2017","no migration background","East Germany","","","",""
"Sometimes","2017","direct migration background","West Germany","","","",""
"Sometimes","2017","direct migration background","East Germany","","","",""
"Sometimes","2017","indirect migration background","West Germany","","","",""
"Sometimes","2017","indirect migration background","East Germany","","","",""
"Rarely","2017","no migration background","West Germany","","","",""
"Rarely","2017","no migration background","East Germany","","","",""
"Rarely","2017","direct migration background","West Germany","","","",""
"Rarely","2017","direct migration background","East Germany","","","",""
"Rarely","2017","indirect migration background","West Germany","","","",""
"Rarely","2017","indirect migration background","East Germany","","","",""
"Never","2017","no migration background","West Germany","","","",""
"Never","2017","no migration background","East Germany","","","",""
"Never","2017","direct migration background","West Germany","","","",""
"Never","2017","direct migration background","East Germany","","","",""
"Never","2017","indirect migration background","West Germany","","","",""
"Never","2017","indirect migration background","East Germany","","","",""
"Very often","2018","no migration background","West Germany","106","0.00553930067569545","0.00433216480090874","0.00674643655048216"
"Very often","2018","no migration background","East Germany","18","","",""
"Very often","2018","direct migration background","West Germany","53","0.0110106610293923","0.00780355361194942","0.0142177684468352"
"Very often","2018","direct migration background","East Germany","6","","",""
"Very often","2018","indirect migration background","West Germany","29","","",""
"Very often","2018","indirect migration background","East Germany","4","","",""
"Often","2018","no migration background","West Germany","550","0.0368602089509306","0.0337957173596685","0.0399247005421927"
"Often","2018","no migration background","East Germany","102","0.0217491618315603","0.0177217848032223","0.0257765388598984"
"Often","2018","direct migration background","West Germany","246","0.0640130713121665","0.056490258957235","0.071535883667098"
"Often","2018","direct migration background","East Germany","21","","",""
"Often","2018","indirect migration background","West Germany","147","0.115552878415934","0.099829380678526","0.131276376153343"
"Often","2018","indirect migration background","East Germany","9","","",""
"Sometimes","2018","no migration background","West Germany","2453","0.166002958874602","0.159951291570616","0.172054626178587"
"Sometimes","2018","no migration background","East Germany","580","0.120659093899512","0.111665472942471","0.129652714856553"
"Sometimes","2018","direct migration background","West Germany","796","0.191911343614033","0.179808404931386","0.20401428229668"
"Sometimes","2018","direct migration background","East Germany","67","0.22782423365079","0.183756926564179","0.271891540737401"
"Sometimes","2018","indirect migration background","West Germany","440","0.304035877974225","0.28141139382982","0.326660362118629"
"Sometimes","2018","indirect migration background","East Germany","28","","",""
"Rarely","2018","no migration background","West Germany","5108","0.339986406492694","0.332281948500608","0.347690864484781"
"Rarely","2018","no migration background","East Germany","1480","0.302384023621592","0.289702730486025","0.315065316757159"
"Rarely","2018","direct migration background","West Germany","1170","0.285154762039219","0.271278984344838","0.2990305397336"
"Rarely","2018","direct migration background","East Germany","94","0.32101316798869","0.27196186269925","0.370064473278131"
"Rarely","2018","indirect migration background","West Germany","493","0.287110580934672","0.26485912024618","0.309362041623163"
"Rarely","2018","indirect migration background","East Germany","40","0.360462287283192","0.275263939561545","0.445660635004839"
"Never","2018","no migration background","West Germany","6305","0.451611125006078","0.443517156529588","0.459705093482568"
"Never","2018","no migration background","East Germany","2859","0.552947867370252","0.539220189138322","0.566675545602182"
"Never","2018","direct migration background","West Germany","1802","0.447910162005189","0.432627066067597","0.463193257942781"
"Never","2018","direct migration background","East Germany","160","0.369462817048303","0.318752165710102","0.420173468386504"
"Never","2018","indirect migration background","West Germany","479","0.280677657729502","0.258577847791914","0.30277746766709"
"Never","2018","indirect migration background","East Germany","41","0.360401463871811","0.275206253552332","0.44559667419129"
