"pld0044","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Rarely","2006","indirect migration background","Male","","","","","4"
"Rarely","2006","direct migration background","Female","","","","","4"
"Rarely","2006","indirect migration background","Female","","","","","4"
"Sometimes","2006","direct migration background","Male","","","","","3"
"Sometimes","2006","no migration background","Male","","","","","3"
"Sometimes","2006","no migration background","Female","","","","","3"
"Sometimes","2006","direct migration background","Female","","","","","3"
"Sometimes","2006","indirect migration background","Male","","","","","3"
"Sometimes","2006","indirect migration background","Female","","","","","3"
"Very often","2006","no migration background","Male","","","","","1"
"Very often","2006","no migration background","Female","","","","","1"
"Very often","2006","direct migration background","Male","","","","","1"
"Very often","2006","direct migration background","Female","","","","","1"
"Very often","2006","indirect migration background","Male","","","","","1"
"Very often","2006","indirect migration background","Female","","","","","1"
"Never","2007","no migration background","Male","","","","","5"
"Never","2007","direct migration background","Male","","","","","5"
"Never","2007","no migration background","Female","","","","","5"
"Never","2007","direct migration background","Female","","","","","5"
"Never","2007","indirect migration background","Male","","","","","5"
"Never","2007","indirect migration background","Female","","","","","5"
"Often","2007","no migration background","Female","","","","","2"
"Often","2007","no migration background","Male","","","","","2"
"Often","2007","direct migration background","Male","","","","","2"
"Often","2007","direct migration background","Female","","","","","2"
"Often","2007","indirect migration background","Male","","","","","2"
"Often","2007","indirect migration background","Female","","","","","2"
"Rarely","2007","no migration background","Male","","","","","4"
"Rarely","2007","no migration background","Female","","","","","4"
"Rarely","2007","direct migration background","Male","","","","","4"
"Rarely","2007","direct migration background","Female","","","","","4"
"Rarely","2007","indirect migration background","Male","","","","","4"
"Rarely","2007","indirect migration background","Female","","","","","4"
"Sometimes","2007","no migration background","Male","","","","","3"
"Sometimes","2007","no migration background","Female","","","","","3"
"Sometimes","2007","direct migration background","Male","","","","","3"
"Sometimes","2007","direct migration background","Female","","","","","3"
"Sometimes","2007","indirect migration background","Male","","","","","3"
"Sometimes","2007","indirect migration background","Female","","","","","3"
"Very often","2007","direct migration background","Male","","","","","1"
"Very often","2007","indirect migration background","Female","","","","","1"
"Very often","2007","no migration background","Male","","","","","1"
"Very often","2007","no migration background","Female","","","","","1"
"Very often","2007","direct migration background","Female","","","","","1"
"Very often","2007","indirect migration background","Male","","","","","1"
"Never","2008","no migration background","Male","4159","0.509625500043977","0.498632455500746","0.520618544587208","5"
"Never","2008","no migration background","Female","4991","0.577385212373225","0.56699514500337","0.587775279743079","5"
"Never","2008","direct migration background","Male","420","0.477078378672852","0.444059157878043","0.510097599467661","5"
"Never","2008","direct migration background","Female","544","0.514732326399314","0.483970613384776","0.545494039413852","5"
"Never","2008","indirect migration background","Male","101","0.297325023937798","0.250876748258747","0.343773299616849","5"
"Never","2008","indirect migration background","Female","164","0.439365088803983","0.390666712071522","0.488063465536443","5"
"Often","2008","no migration background","Female","150","0.0183555774614483","0.0155321650589884","0.0211789898639083","2"
"Often","2008","no migration background","Male","198","0.0287177754149085","0.025045150373519","0.0323904004562979","2"
"Often","2008","direct migration background","Male","25","","","","2"
"Often","2008","direct migration background","Female","28","","","","2"
"Often","2008","indirect migration background","Male","32","0.0863521207596414","0.0578089280054308","0.114895313513852","2"
"Often","2008","indirect migration background","Female","20","","","","2"
"Rarely","2008","no migration background","Male","2625","0.332065663706112","0.321709298818837","0.342422028593387","4"
"Rarely","2008","no migration background","Female","2610","0.295958849606418","0.286357597404233","0.305560101808604","4"
"Rarely","2008","direct migration background","Male","279","0.307046155076215","0.276552629471063","0.337539680681367","4"
"Rarely","2008","direct migration background","Female","280","0.297195062668754","0.269065219522284","0.325324905815224","4"
"Rarely","2008","indirect migration background","Male","142","0.357661565108536","0.308954191526497","0.406368938690575","4"
"Rarely","2008","indirect migration background","Female","127","0.302284940315683","0.257223097599426","0.34734678303194","4"
"Sometimes","2008","no migration background","Male","925","0.124713656401019","0.11744823923532","0.131979073566718","3"
"Sometimes","2008","no migration background","Female","891","0.10300444782757","0.0966109823502806","0.109397913304859","3"
"Sometimes","2008","direct migration background","Male","152","0.174192048207082","0.149118987823889","0.199265108590274","3"
"Sometimes","2008","direct migration background","Female","159","0.154271562065934","0.132039102093567","0.1765040220383","3"
"Sometimes","2008","indirect migration background","Male","87","0.235501686712926","0.192383360103661","0.278620013322191","3"
"Sometimes","2008","indirect migration background","Female","87","0.192298457867041","0.153628384153526","0.230968531580556","3"
"Very often","2008","no migration background","Male","37","0.00487740443398351","0.00334539601669706","0.00640941285126996","1"
"Very often","2008","no migration background","Female","41","0.00529591273133881","0.00376929412324863","0.00682253133942899","1"
"Very often","2008","direct migration background","Male","3","","","","1"
"Very often","2008","direct migration background","Female","3","","","","1"
"Very often","2008","indirect migration background","Male","10","","","","1"
"Very often","2008","indirect migration background","Female","1","","","","1"
"Never","2009","no migration background","Female","","","","","5"
"Never","2009","no migration background","Male","","","","","5"
"Never","2009","direct migration background","Male","","","","","5"
"Never","2009","direct migration background","Female","","","","","5"
"Never","2009","indirect migration background","Male","","","","","5"
"Never","2009","indirect migration background","Female","","","","","5"
"Often","2009","no migration background","Male","","","","","2"
"Often","2009","no migration background","Female","","","","","2"
"Often","2009","direct migration background","Male","","","","","2"
"Often","2009","direct migration background","Female","","","","","2"
"Often","2009","indirect migration background","Male","","","","","2"
"Often","2009","indirect migration background","Female","","","","","2"
"Rarely","2009","no migration background","Female","","","","","4"
"Rarely","2009","no migration background","Male","","","","","4"
"Rarely","2009","direct migration background","Male","","","","","4"
"Rarely","2009","direct migration background","Female","","","","","4"
"Rarely","2009","indirect migration background","Male","","","","","4"
"Rarely","2009","indirect migration background","Female","","","","","4"
"Sometimes","2009","no migration background","Male","","","","","3"
"Sometimes","2009","direct migration background","Male","","","","","3"
"Sometimes","2009","no migration background","Female","","","","","3"
"Sometimes","2009","indirect migration background","Male","","","","","3"
"Sometimes","2009","indirect migration background","Female","","","","","3"
"Sometimes","2009","direct migration background","Female","","","","","3"
"Very often","2009","no migration background","Male","","","","","1"
"Very often","2009","no migration background","Female","","","","","1"
"Very often","2009","direct migration background","Male","","","","","1"
"Very often","2009","direct migration background","Female","","","","","1"
"Very often","2009","indirect migration background","Female","","","","","1"
"Very often","2009","indirect migration background","Male","","","","","1"
"Never","2010","no migration background","Male","","","","","5"
"Never","2010","direct migration background","Male","","","","","5"
"Never","2010","direct migration background","Female","","","","","5"
"Never","2010","no migration background","Female","","","","","5"
"Never","2010","indirect migration background","Male","","","","","5"
"Never","2010","indirect migration background","Female","","","","","5"
"Often","2010","no migration background","Male","","","","","2"
"Often","2010","no migration background","Female","","","","","2"
"Often","2010","direct migration background","Male","","","","","2"
"Often","2010","direct migration background","Female","","","","","2"
"Often","2010","indirect migration background","Male","","","","","2"
"Often","2010","indirect migration background","Female","","","","","2"
"Rarely","2010","no migration background","Male","","","","","4"
"Rarely","2010","no migration background","Female","","","","","4"
"Rarely","2010","direct migration background","Male","","","","","4"
"Rarely","2010","direct migration background","Female","","","","","4"
"Rarely","2010","indirect migration background","Male","","","","","4"
"Rarely","2010","indirect migration background","Female","","","","","4"
"Sometimes","2010","no migration background","Male","","","","","3"
"Sometimes","2010","no migration background","Female","","","","","3"
"Sometimes","2010","direct migration background","Male","","","","","3"
"Sometimes","2010","indirect migration background","Male","","","","","3"
"Sometimes","2010","direct migration background","Female","","","","","3"
"Sometimes","2010","indirect migration background","Female","","","","","3"
"Very often","2010","no migration background","Male","","","","","1"
"Very often","2010","direct migration background","Male","","","","","1"
"Very often","2010","indirect migration background","Female","","","","","1"
"Very often","2010","no migration background","Female","","","","","1"
"Very often","2010","direct migration background","Female","","","","","1"
"Very often","2010","indirect migration background","Male","","","","","1"
"Never","2011","no migration background","Female","","","","","5"
"Never","2011","direct migration background","Male","","","","","5"
"Never","2011","indirect migration background","Male","","","","","5"
"Never","2011","no migration background","Male","","","","","5"
"Never","2011","direct migration background","Female","","","","","5"
"Never","2011","indirect migration background","Female","","","","","5"
"Often","2011","no migration background","Male","","","","","2"
"Often","2011","no migration background","Female","","","","","2"
"Often","2011","direct migration background","Male","","","","","2"
"Often","2011","direct migration background","Female","","","","","2"
"Often","2011","indirect migration background","Male","","","","","2"
"Often","2011","indirect migration background","Female","","","","","2"
"Rarely","2011","no migration background","Male","","","","","4"
"Rarely","2011","no migration background","Female","","","","","4"
"Rarely","2011","direct migration background","Male","","","","","4"
"Rarely","2011","direct migration background","Female","","","","","4"
"Rarely","2011","indirect migration background","Male","","","","","4"
"Rarely","2011","indirect migration background","Female","","","","","4"
"Sometimes","2011","no migration background","Male","","","","","3"
"Sometimes","2011","direct migration background","Male","","","","","3"
"Sometimes","2011","no migration background","Female","","","","","3"
"Sometimes","2011","direct migration background","Female","","","","","3"
"Sometimes","2011","indirect migration background","Male","","","","","3"
"Sometimes","2011","indirect migration background","Female","","","","","3"
"Very often","2011","no migration background","Male","","","","","1"
"Very often","2011","no migration background","Female","","","","","1"
"Very often","2011","indirect migration background","Male","","","","","1"
"Very often","2011","direct migration background","Male","","","","","1"
"Very often","2011","direct migration background","Female","","","","","1"
"Very often","2011","indirect migration background","Female","","","","","1"
"Never","2012","no migration background","Female","","","","","5"
"Never","2012","no migration background","Male","","","","","5"
"Never","2012","direct migration background","Male","","","","","5"
"Never","2012","direct migration background","Female","","","","","5"
"Never","2012","indirect migration background","Male","","","","","5"
"Never","2012","indirect migration background","Female","","","","","5"
"Often","2012","no migration background","Male","","","","","2"
"Often","2012","no migration background","Female","","","","","2"
"Often","2012","direct migration background","Male","","","","","2"
"Often","2012","direct migration background","Female","","","","","2"
"Often","2012","indirect migration background","Female","","","","","2"
"Often","2012","indirect migration background","Male","","","","","2"
"Rarely","2012","no migration background","Male","","","","","4"
"Rarely","2012","no migration background","Female","","","","","4"
"Rarely","2012","direct migration background","Male","","","","","4"
"Rarely","2012","direct migration background","Female","","","","","4"
"Rarely","2012","indirect migration background","Male","","","","","4"
"Rarely","2012","indirect migration background","Female","","","","","4"
"Sometimes","2012","direct migration background","Male","","","","","3"
"Sometimes","2012","no migration background","Male","","","","","3"
"Sometimes","2012","no migration background","Female","","","","","3"
"Sometimes","2012","indirect migration background","Male","","","","","3"
"Sometimes","2012","direct migration background","Female","","","","","3"
"Sometimes","2012","indirect migration background","Female","","","","","3"
"Very often","2012","no migration background","Male","","","","","1"
"Very often","2012","no migration background","Female","","","","","1"
"Very often","2012","direct migration background","Male","","","","","1"
"Very often","2012","direct migration background","Female","","","","","1"
"Very often","2012","indirect migration background","Female","","","","","1"
"Very often","2012","indirect migration background","Male","","","","","1"
"Never","2013","no migration background","Male","5078","0.508117666000335","0.498238792103522","0.517996539897148","5"
"Never","2013","no migration background","Female","6710","0.575911550303318","0.567004472001303","0.584818628605334","5"
"Never","2013","direct migration background","Male","523","0.453973286095118","0.425222882497499","0.482723689692737","5"
"Never","2013","direct migration background","Female","778","0.554724883407486","0.529540267542691","0.579909499272282","5"
"Never","2013","indirect migration background","Male","160","0.307768300563872","0.268546280306704","0.346990320821041","5"
"Never","2013","indirect migration background","Female","265","0.393050212673778","0.355559413968427","0.430541011379128","5"
"Often","2013","no migration background","Male","288","0.0288419376019268","0.0255348030982635","0.0321490721055901","2"
"Often","2013","no migration background","Female","234","0.0204096055542353","0.0178611989707536","0.022958012137717","2"
"Often","2013","direct migration background","Male","64","0.0499381038066963","0.0373600390723393","0.0625161685410532","2"
"Often","2013","direct migration background","Female","51","0.0274537729108098","0.0191736184287285","0.035733927392891","2"
"Often","2013","indirect migration background","Male","48","0.0628303702063058","0.0422104876513219","0.0834502527612896","2"
"Often","2013","indirect migration background","Female","40","0.0589332945088015","0.0408567732043583","0.0770098158132448","2"
"Rarely","2013","no migration background","Male","3228","0.329269381660262","0.31998304504831","0.338555718272215","4"
"Rarely","2013","no migration background","Female","3543","0.298376512443724","0.290130128905346","0.306622895982101","4"
"Rarely","2013","direct migration background","Male","330","0.291414050716359","0.265173474738983","0.317654626693736","4"
"Rarely","2013","direct migration background","Female","418","0.277861415852604","0.255162417596098","0.30056041410911","4"
"Rarely","2013","indirect migration background","Female","226","0.347848783363176","0.311289835220462","0.38440773150589","4"
"Rarely","2013","indirect migration background","Male","192","0.419820500920419","0.377882735562788","0.46175826627805","4"
"Sometimes","2013","no migration background","Male","1210","0.130904601464186","0.124239513836232","0.13756968909214","3"
"Sometimes","2013","no migration background","Female","1304","0.103343623328726","0.097857266928072","0.108829979729379","3"
"Sometimes","2013","direct migration background","Male","228","0.199526423627405","0.176448562225555","0.222604285029255","3"
"Sometimes","2013","direct migration background","Female","240","0.137557346862831","0.120103574675394","0.155011119050269","3"
"Sometimes","2013","indirect migration background","Male","124","0.201021769862756","0.166966737750111","0.2350768019754","3"
"Sometimes","2013","indirect migration background","Female","116","0.194025845565418","0.163671935489566","0.224379755641271","3"
"Very often","2013","no migration background","Male","34","0.00286641327328928","0.00180998319569227","0.00392284335088628","1"
"Very often","2013","no migration background","Female","35","0.0019587083699972","0.00116183686368375","0.00275557987631065","1"
"Very often","2013","direct migration background","Male","7","","","","1"
"Very often","2013","direct migration background","Female","9","","","","1"
"Very often","2013","indirect migration background","Male","8","","","","1"
"Very often","2013","indirect migration background","Female","5","","","","1"
"Never","2014","no migration background","Female","","","","","5"
"Never","2014","direct migration background","Male","","","","","5"
"Never","2014","indirect migration background","Male","","","","","5"
"Never","2014","indirect migration background","Female","","","","","5"
"Never","2014","no migration background","Male","","","","","5"
"Never","2014","direct migration background","Female","","","","","5"
"Often","2014","no migration background","Male","","","","","2"
"Often","2014","no migration background","Female","","","","","2"
"Often","2014","direct migration background","Male","","","","","2"
"Often","2014","direct migration background","Female","","","","","2"
"Often","2014","indirect migration background","Male","","","","","2"
"Often","2014","indirect migration background","Female","","","","","2"
"Rarely","2014","no migration background","Male","","","","","4"
"Rarely","2014","no migration background","Female","","","","","4"
"Rarely","2014","direct migration background","Male","","","","","4"
"Rarely","2014","direct migration background","Female","","","","","4"
"Rarely","2014","indirect migration background","Female","","","","","4"
"Rarely","2014","indirect migration background","Male","","","","","4"
"Sometimes","2014","no migration background","Male","","","","","3"
"Sometimes","2014","no migration background","Female","","","","","3"
"Sometimes","2014","direct migration background","Male","","","","","3"
"Sometimes","2014","direct migration background","Female","","","","","3"
"Sometimes","2014","indirect migration background","Male","","","","","3"
"Sometimes","2014","indirect migration background","Female","","","","","3"
"Very often","2014","no migration background","Male","","","","","1"
"Very often","2014","no migration background","Female","","","","","1"
"Very often","2014","direct migration background","Male","","","","","1"
"Very often","2014","indirect migration background","Male","","","","","1"
"Very often","2014","direct migration background","Female","","","","","1"
"Very often","2014","indirect migration background","Female","","","","","1"
"Never","2015","no migration background","Male","","","","","5"
"Never","2015","no migration background","Female","","","","","5"
"Never","2015","direct migration background","Male","","","","","5"
"Never","2015","direct migration background","Female","","","","","5"
"Never","2015","indirect migration background","Male","","","","","5"
"Never","2015","indirect migration background","Female","","","","","5"
"Often","2015","no migration background","Male","","","","","2"
"Often","2015","direct migration background","Male","","","","","2"
"Often","2015","no migration background","Female","","","","","2"
"Often","2015","indirect migration background","Male","","","","","2"
"Often","2015","direct migration background","Female","","","","","2"
"Often","2015","indirect migration background","Female","","","","","2"
"Rarely","2015","no migration background","Male","","","","","4"
"Rarely","2015","direct migration background","Male","","","","","4"
"Rarely","2015","no migration background","Female","","","","","4"
"Rarely","2015","indirect migration background","Male","","","","","4"
"Rarely","2015","direct migration background","Female","","","","","4"
"Rarely","2015","indirect migration background","Female","","","","","4"
"Sometimes","2015","no migration background","Male","","","","","3"
"Sometimes","2015","no migration background","Female","","","","","3"
"Sometimes","2015","direct migration background","Male","","","","","3"
"Sometimes","2015","indirect migration background","Male","","","","","3"
"Sometimes","2015","indirect migration background","Female","","","","","3"
"Sometimes","2015","direct migration background","Female","","","","","3"
"Very often","2015","no migration background","Male","","","","","1"
"Very often","2015","no migration background","Female","","","","","1"
"Very often","2015","direct migration background","Female","","","","","1"
"Very often","2015","direct migration background","Male","","","","","1"
"Very often","2015","indirect migration background","Female","","","","","1"
"Very often","2015","indirect migration background","Male","","","","","1"
"Never","2016","no migration background","Male","","","","","5"
"Never","2016","no migration background","Female","","","","","5"
"Never","2016","direct migration background","Male","","","","","5"
"Never","2016","direct migration background","Female","","","","","5"
"Never","2016","indirect migration background","Male","","","","","5"
"Never","2016","indirect migration background","Female","","","","","5"
"Often","2016","no migration background","Male","","","","","2"
"Often","2016","no migration background","Female","","","","","2"
"Often","2016","direct migration background","Male","","","","","2"
"Often","2016","direct migration background","Female","","","","","2"
"Often","2016","indirect migration background","Female","","","","","2"
"Often","2016","indirect migration background","Male","","","","","2"
"Rarely","2016","no migration background","Male","","","","","4"
"Rarely","2016","direct migration background","Male","","","","","4"
"Rarely","2016","no migration background","Female","","","","","4"
"Rarely","2016","direct migration background","Female","","","","","4"
"Rarely","2016","indirect migration background","Male","","","","","4"
"Rarely","2016","indirect migration background","Female","","","","","4"
"Sometimes","2016","no migration background","Female","","","","","3"
"Sometimes","2016","indirect migration background","Male","","","","","3"
"Sometimes","2016","no migration background","Male","","","","","3"
"Sometimes","2016","direct migration background","Male","","","","","3"
"Sometimes","2016","direct migration background","Female","","","","","3"
"Sometimes","2016","indirect migration background","Female","","","","","3"
"Very often","2016","no migration background","Male","","","","","1"
"Very often","2016","no migration background","Female","","","","","1"
"Very often","2016","direct migration background","Male","","","","","1"
"Very often","2016","indirect migration background","Male","","","","","1"
"Very often","2016","indirect migration background","Female","","","","","1"
"Very often","2016","direct migration background","Female","","","","","1"
"Never","2017","no migration background","Male","","","","","5"
"Never","2017","no migration background","Female","","","","","5"
"Never","2017","direct migration background","Male","","","","","5"
"Never","2017","indirect migration background","Male","","","","","5"
"Never","2017","indirect migration background","Female","","","","","5"
"Never","2017","direct migration background","Female","","","","","5"
"Often","2017","no migration background","Male","","","","","2"
"Often","2017","direct migration background","Male","","","","","2"
"Often","2017","no migration background","Female","","","","","2"
"Often","2017","indirect migration background","Male","","","","","2"
"Often","2017","direct migration background","Female","","","","","2"
"Often","2017","indirect migration background","Female","","","","","2"
"Rarely","2017","no migration background","Male","","","","","4"
"Rarely","2017","no migration background","Female","","","","","4"
"Rarely","2017","direct migration background","Male","","","","","4"
"Rarely","2017","direct migration background","Female","","","","","4"
"Rarely","2017","indirect migration background","Female","","","","","4"
"Rarely","2017","indirect migration background","Male","","","","","4"
"Sometimes","2017","no migration background","Male","","","","","3"
"Sometimes","2017","direct migration background","Male","","","","","3"
"Sometimes","2017","direct migration background","Female","","","","","3"
"Sometimes","2017","indirect migration background","Female","","","","","3"
"Sometimes","2017","no migration background","Female","","","","","3"
"Sometimes","2017","indirect migration background","Male","","","","","3"
"Very often","2017","no migration background","Male","","","","","1"
"Very often","2017","no migration background","Female","","","","","1"
"Very often","2017","direct migration background","Male","","","","","1"
"Very often","2017","direct migration background","Female","","","","","1"
"Very often","2017","indirect migration background","Male","","","","","1"
"Very often","2017","indirect migration background","Female","","","","","1"
"Never","2018","no migration background","Male","4029","0.426755896100709","0.416583088833871","0.436928703367547","5"
"Never","2018","no migration background","Female","5135","0.516405033479126","0.506837421167138","0.525972645791114","5"
"Never","2018","direct migration background","Male","794","0.417304437553156","0.395595247395622","0.439013627710689","5"
"Never","2018","direct migration background","Female","1168","0.468008995121269","0.448182028234958","0.48783596200758","5"
"Never","2018","indirect migration background","Male","217","0.289223214410976","0.257301924568767","0.321144504253184","5"
"Never","2018","indirect migration background","Female","303","0.280625659125762","0.251826258698011","0.309425059553512","5"
"Often","2018","no migration background","Male","337","0.0387408450247736","0.0347717998460779","0.0427098902034693","2"
"Often","2018","direct migration background","Male","143","0.0654245516343917","0.0545384138369885","0.0763106894317949","2"
"Often","2018","no migration background","Female","315","0.0289620583104575","0.0257513543683083","0.0321727622526067","2"
"Often","2018","indirect migration background","Male","77","0.127937721416099","0.104421350788368","0.15145409204383","2"
"Often","2018","indirect migration background","Female","79","0.102107410371395","0.082699306397066","0.121515514345724","2"
"Often","2018","direct migration background","Female","124","0.0621787036313206","0.0525834178639693","0.071773989398672","2"
"Rarely","2018","no migration background","Male","3209","0.361862934862302","0.351979445729365","0.371746423995239","4"
"Rarely","2018","direct migration background","Male","589","0.284961179845892","0.26508861483366","0.304833744858124","4"
"Rarely","2018","no migration background","Female","3379","0.303719603874552","0.294915281299881","0.312523926449224","4"
"Rarely","2018","indirect migration background","Male","229","0.25926141750982","0.228408327339003","0.290114507680636","4"
"Rarely","2018","indirect migration background","Female","304","0.32452244075255","0.294512156076394","0.354532725428705","4"
"Rarely","2018","direct migration background","Female","675","0.288770939778505","0.27076322819413","0.30677865136288","4"
"Sometimes","2018","no migration background","Male","1443","0.166682210181311","0.159016874026781","0.174347546335841","3"
"Sometimes","2018","direct migration background","Male","423","0.2188986967537","0.200694499398827","0.237102894108574","3"
"Sometimes","2018","no migration background","Female","1590","0.147098394685015","0.140316970946179","0.15387981842385","3"
"Sometimes","2018","direct migration background","Female","440","0.170996646297018","0.156036047492925","0.185957245101111","3"
"Sometimes","2018","indirect migration background","Male","235","0.305406960792025","0.272980323129521","0.337833598454528","3"
"Sometimes","2018","indirect migration background","Female","233","0.284123930448877","0.255216125546788","0.313031735350965","3"
"Very often","2018","no migration background","Male","63","0.00595811383090392","0.00437527027056712","0.00754095739124072","1"
"Very often","2018","no migration background","Female","61","0.00381490965084935","0.00263464446520339","0.00499517483649531","1"
"Very often","2018","direct migration background","Male","33","0.0134111342128606","0.00834709423811726","0.0184751741876039","1"
"Very often","2018","direct migration background","Female","26","","","","1"
