"pld0044","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Sometimes","2003","indirect migration background","(0) in school","22","","",""
"Sometimes","2003","indirect migration background","(1a) inadequately completed","3","","",""
"Sometimes","2003","indirect migration background","(1b) general elementary school","20","","",""
"Sometimes","2003","indirect migration background","(1c) basic vocational qualification","18","","",""
"Sometimes","2003","indirect migration background","(2b) intermediate general qualification","16","","",""
"Sometimes","2003","indirect migration background","(2a) intermediate vocational","43","0.292286332516767","0.214698401530222","0.369874263503311"
"Sometimes","2003","indirect migration background","(2c_gen) general maturity certificate","26","","",""
"Sometimes","2003","indirect migration background","(2c_voc) vocational maturity certificate","18","","",""
"Sometimes","2003","indirect migration background","(3a) lower tertiary education","3","","",""
"Sometimes","2003","indirect migration background","(3b) higher tertiary education","16","","",""
"Rarely","2003","no migration background","(0) in school","149","0.297448047471063","0.257177245787648","0.337718849154479"
"Rarely","2003","no migration background","(1a) inadequately completed","14","","",""
"Rarely","2003","no migration background","(1b) general elementary school","311","0.212457114070875","0.191166767997255","0.233747460144496"
"Rarely","2003","no migration background","(1c) basic vocational qualification","1406","0.254025519817562","0.242420365988822","0.265630673646303"
"Rarely","2003","no migration background","(2b) intermediate general qualification","165","0.325797158260241","0.284920880906246","0.366673435614237"
"Rarely","2003","no migration background","(2a) intermediate vocational","1754","0.360418687395215","0.346895245736137","0.373942129054293"
"Rarely","2003","no migration background","(2c_gen) general maturity certificate","248","0.359250469238317","0.322563804859015","0.39593713361762"
"Rarely","2003","no migration background","(2c_voc) vocational maturity certificate","487","0.385799015416422","0.358506202409871","0.413091828422973"
"Rarely","2003","no migration background","(3a) lower tertiary education","568","0.3555246975818","0.332186600605466","0.378862794558133"
"Rarely","2003","no migration background","(3b) higher tertiary education","915","0.414470047169362","0.394302089654197","0.434638004684527"
"Rarely","2003","direct migration background","(0) in school","12","","",""
"Rarely","2003","direct migration background","(1a) inadequately completed","42","0.216463461553977","0.155620032336545","0.277306890771408"
"Rarely","2003","direct migration background","(1b) general elementary school","140","0.221158585858917","0.187977753564417","0.254339418153418"
"Rarely","2003","direct migration background","(1c) basic vocational qualification","205","0.284196337105048","0.251873945448716","0.31651872876138"
"Rarely","2003","direct migration background","(2b) intermediate general qualification","11","","",""
"Rarely","2003","direct migration background","(2a) intermediate vocational","53","0.369602642469185","0.293856500480164","0.445348784458206"
"Rarely","2003","direct migration background","(2c_gen) general maturity certificate","32","0.162081021064962","0.0974769062692955","0.226685135860629"
"Rarely","2003","direct migration background","(2c_voc) vocational maturity certificate","89","0.283560770250892","0.231685324093212","0.335436216408572"
"Rarely","2003","direct migration background","(3a) lower tertiary education","26","","",""
"Rarely","2003","direct migration background","(3b) higher tertiary education","90","0.320771922694196","0.266389210643045","0.375154634745346"
"Rarely","2003","indirect migration background","(0) in school","18","","",""
"Rarely","2003","indirect migration background","(1a) inadequately completed","1","","",""
"Rarely","2003","indirect migration background","(1b) general elementary school","32","0.202942860104307","0.129753034391901","0.276132685816713"
"Rarely","2003","indirect migration background","(1c) basic vocational qualification","60","0.437752416873366","0.35467827146556","0.520826562281172"
"Rarely","2003","indirect migration background","(2b) intermediate general qualification","26","","",""
"Rarely","2003","indirect migration background","(2a) intermediate vocational","46","0.352832980963399","0.271314908747304","0.434351053179495"
"Rarely","2003","indirect migration background","(2c_gen) general maturity certificate","37","0.363551799246192","0.2612923830786","0.465811215413785"
"Rarely","2003","indirect migration background","(2c_voc) vocational maturity certificate","22","","",""
"Rarely","2003","indirect migration background","(3a) lower tertiary education","7","","",""
"Rarely","2003","indirect migration background","(3b) higher tertiary education","15","","",""
"Never","2003","no migration background","(0) in school","77","0.148891555656615","0.117531777985132","0.180251333328097"
"Never","2003","no migration background","(1a) inadequately completed","57","0.664021798312773","0.564770731491699","0.763272865133848"
"Never","2003","no migration background","(1b) general elementary school","958","0.691013370458402","0.666962929445111","0.715063811471692"
"Never","2003","no migration background","(1c) basic vocational qualification","3447","0.63910728910909","0.6263038634986","0.651910714719581"
"Never","2003","no migration background","(2b) intermediate general qualification","168","0.364303016940083","0.322331094560112","0.406274939320054"
"Never","2003","no migration background","(2a) intermediate vocational","2505","0.507880560182508","0.493798968279605","0.521962152085412"
"Never","2003","no migration background","(2c_gen) general maturity certificate","124","0.205301744480026","0.174415659935586","0.236187829024467"
"Never","2003","no migration background","(2c_voc) vocational maturity certificate","519","0.431342988248177","0.403574703209169","0.459111273287185"
"Never","2003","no migration background","(3a) lower tertiary education","835","0.506552500365753","0.482176630602947","0.530928370128558"
"Never","2003","no migration background","(3b) higher tertiary education","1026","0.411432093382851","0.391286124644248","0.431578062121454"
"Never","2003","direct migration background","(0) in school","20","","",""
"Never","2003","direct migration background","(1a) inadequately completed","104","0.630474026317088","0.55916445232906","0.701783600305117"
"Never","2003","direct migration background","(1b) general elementary school","337","0.556535006259595","0.516817061266088","0.596252951253103"
"Never","2003","direct migration background","(1c) basic vocational qualification","389","0.483054285846986","0.447243180063046","0.518865391630927"
"Never","2003","direct migration background","(2b) intermediate general qualification","22","","",""
"Never","2003","direct migration background","(2a) intermediate vocational","70","0.401047181142337","0.324137708670707","0.477956653613966"
"Never","2003","direct migration background","(2c_gen) general maturity certificate","48","0.402182685970168","0.316224149200031","0.488141222740306"
"Never","2003","direct migration background","(2c_voc) vocational maturity certificate","135","0.432346079434287","0.375328775809161","0.489363383059414"
"Never","2003","direct migration background","(3a) lower tertiary education","40","0.442416483697022","0.336203144904676","0.548629822489368"
"Never","2003","direct migration background","(3b) higher tertiary education","124","0.438134236695844","0.380327992438231","0.495940480953457"
"Never","2003","indirect migration background","(0) in school","11","","",""
"Never","2003","indirect migration background","(1a) inadequately completed","4","","",""
"Never","2003","indirect migration background","(1b) general elementary school","50","0.437677856112279","0.347398391130139","0.527957321094419"
"Never","2003","indirect migration background","(1c) basic vocational qualification","54","0.402497647012426","0.320379471767928","0.484615822256924"
"Never","2003","indirect migration background","(2b) intermediate general qualification","15","","",""
"Never","2003","indirect migration background","(2a) intermediate vocational","34","0.271980682682071","0.196070225555269","0.347891139808872"
"Never","2003","indirect migration background","(2c_gen) general maturity certificate","16","","",""
"Never","2003","indirect migration background","(2c_voc) vocational maturity certificate","14","","",""
"Never","2003","indirect migration background","(3a) lower tertiary education","7","","",""
"Never","2003","indirect migration background","(3b) higher tertiary education","12","","",""
"Very often","2004","no migration background","(0) in school","","","",""
"Very often","2004","no migration background","(1a) inadequately completed","","","",""
"Very often","2004","no migration background","(1b) general elementary school","","","",""
"Very often","2004","no migration background","(1c) basic vocational qualification","","","",""
"Very often","2004","no migration background","(2b) intermediate general qualification","","","",""
"Very often","2004","no migration background","(2a) intermediate vocational","","","",""
"Very often","2004","no migration background","(2c_gen) general maturity certificate","","","",""
"Very often","2004","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Very often","2004","no migration background","(3a) lower tertiary education","","","",""
"Very often","2004","no migration background","(3b) higher tertiary education","","","",""
"Very often","2004","direct migration background","(0) in school","","","",""
"Very often","2004","direct migration background","(1a) inadequately completed","","","",""
"Very often","2004","direct migration background","(1b) general elementary school","","","",""
"Very often","2004","direct migration background","(1c) basic vocational qualification","","","",""
"Very often","2004","direct migration background","(2b) intermediate general qualification","","","",""
"Very often","2004","direct migration background","(2a) intermediate vocational","","","",""
"Very often","2004","direct migration background","(2c_gen) general maturity certificate","","","",""
"Very often","2004","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Very often","2004","direct migration background","(3a) lower tertiary education","","","",""
"Very often","2004","direct migration background","(3b) higher tertiary education","","","",""
"Very often","2004","indirect migration background","(0) in school","","","",""
"Very often","2004","indirect migration background","(1a) inadequately completed","","","",""
"Very often","2004","indirect migration background","(1b) general elementary school","","","",""
"Very often","2004","indirect migration background","(1c) basic vocational qualification","","","",""
"Very often","2004","indirect migration background","(2b) intermediate general qualification","","","",""
"Very often","2004","indirect migration background","(2a) intermediate vocational","","","",""
"Very often","2004","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Very often","2004","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Very often","2004","indirect migration background","(3a) lower tertiary education","","","",""
"Very often","2004","indirect migration background","(3b) higher tertiary education","","","",""
"Often","2004","no migration background","(0) in school","","","",""
"Often","2004","no migration background","(1a) inadequately completed","","","",""
"Often","2004","no migration background","(1b) general elementary school","","","",""
"Often","2004","no migration background","(1c) basic vocational qualification","","","",""
"Often","2004","no migration background","(2b) intermediate general qualification","","","",""
"Often","2004","no migration background","(2a) intermediate vocational","","","",""
"Often","2004","no migration background","(2c_gen) general maturity certificate","","","",""
"Often","2004","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Often","2004","no migration background","(3a) lower tertiary education","","","",""
"Often","2004","no migration background","(3b) higher tertiary education","","","",""
"Often","2004","direct migration background","(0) in school","","","",""
"Often","2004","direct migration background","(1a) inadequately completed","","","",""
"Often","2004","direct migration background","(1b) general elementary school","","","",""
"Often","2004","direct migration background","(1c) basic vocational qualification","","","",""
"Often","2004","direct migration background","(2b) intermediate general qualification","","","",""
"Often","2004","direct migration background","(2a) intermediate vocational","","","",""
"Often","2004","direct migration background","(2c_gen) general maturity certificate","","","",""
"Often","2004","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Often","2004","direct migration background","(3a) lower tertiary education","","","",""
"Often","2004","direct migration background","(3b) higher tertiary education","","","",""
"Often","2004","indirect migration background","(0) in school","","","",""
"Often","2004","indirect migration background","(1a) inadequately completed","","","",""
"Often","2004","indirect migration background","(1b) general elementary school","","","",""
"Often","2004","indirect migration background","(1c) basic vocational qualification","","","",""
"Often","2004","indirect migration background","(2b) intermediate general qualification","","","",""
"Often","2004","indirect migration background","(2a) intermediate vocational","","","",""
"Often","2004","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Often","2004","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Often","2004","indirect migration background","(3a) lower tertiary education","","","",""
"Often","2004","indirect migration background","(3b) higher tertiary education","","","",""
"Sometimes","2004","no migration background","(0) in school","","","",""
"Sometimes","2004","no migration background","(1a) inadequately completed","","","",""
"Sometimes","2004","no migration background","(1b) general elementary school","","","",""
"Sometimes","2004","no migration background","(1c) basic vocational qualification","","","",""
"Sometimes","2004","no migration background","(2b) intermediate general qualification","","","",""
"Sometimes","2004","no migration background","(2a) intermediate vocational","","","",""
"Sometimes","2004","no migration background","(2c_gen) general maturity certificate","","","",""
"Sometimes","2004","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2004","no migration background","(3a) lower tertiary education","","","",""
"Sometimes","2004","no migration background","(3b) higher tertiary education","","","",""
"Sometimes","2004","direct migration background","(0) in school","","","",""
"Sometimes","2004","direct migration background","(1a) inadequately completed","","","",""
"Sometimes","2004","direct migration background","(1b) general elementary school","","","",""
"Sometimes","2004","direct migration background","(1c) basic vocational qualification","","","",""
"Sometimes","2004","direct migration background","(2b) intermediate general qualification","","","",""
"Sometimes","2004","direct migration background","(2a) intermediate vocational","","","",""
"Sometimes","2004","direct migration background","(2c_gen) general maturity certificate","","","",""
"Sometimes","2004","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2004","direct migration background","(3a) lower tertiary education","","","",""
"Sometimes","2004","direct migration background","(3b) higher tertiary education","","","",""
"Sometimes","2004","indirect migration background","(0) in school","","","",""
"Sometimes","2004","indirect migration background","(1a) inadequately completed","","","",""
"Sometimes","2004","indirect migration background","(1b) general elementary school","","","",""
"Sometimes","2004","indirect migration background","(1c) basic vocational qualification","","","",""
"Sometimes","2004","indirect migration background","(2b) intermediate general qualification","","","",""
"Sometimes","2004","indirect migration background","(2a) intermediate vocational","","","",""
"Sometimes","2004","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Sometimes","2004","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2004","indirect migration background","(3a) lower tertiary education","","","",""
"Sometimes","2004","indirect migration background","(3b) higher tertiary education","","","",""
"Rarely","2004","no migration background","(0) in school","","","",""
"Rarely","2004","no migration background","(1a) inadequately completed","","","",""
"Rarely","2004","no migration background","(1b) general elementary school","","","",""
"Rarely","2004","no migration background","(1c) basic vocational qualification","","","",""
"Rarely","2004","no migration background","(2b) intermediate general qualification","","","",""
"Rarely","2004","no migration background","(2a) intermediate vocational","","","",""
"Rarely","2004","no migration background","(2c_gen) general maturity certificate","","","",""
"Rarely","2004","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2004","no migration background","(3a) lower tertiary education","","","",""
"Rarely","2004","no migration background","(3b) higher tertiary education","","","",""
"Rarely","2004","direct migration background","(0) in school","","","",""
"Rarely","2004","direct migration background","(1a) inadequately completed","","","",""
"Rarely","2004","direct migration background","(1b) general elementary school","","","",""
"Rarely","2004","direct migration background","(1c) basic vocational qualification","","","",""
"Rarely","2004","direct migration background","(2b) intermediate general qualification","","","",""
"Rarely","2004","direct migration background","(2a) intermediate vocational","","","",""
"Rarely","2004","direct migration background","(2c_gen) general maturity certificate","","","",""
"Rarely","2004","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2004","direct migration background","(3a) lower tertiary education","","","",""
"Rarely","2004","direct migration background","(3b) higher tertiary education","","","",""
"Rarely","2004","indirect migration background","(0) in school","","","",""
"Rarely","2004","indirect migration background","(1a) inadequately completed","","","",""
"Rarely","2004","indirect migration background","(1b) general elementary school","","","",""
"Rarely","2004","indirect migration background","(1c) basic vocational qualification","","","",""
"Rarely","2004","indirect migration background","(2b) intermediate general qualification","","","",""
"Rarely","2004","indirect migration background","(2a) intermediate vocational","","","",""
"Rarely","2004","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Rarely","2004","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Rarely","2004","indirect migration background","(3a) lower tertiary education","","","",""
"Rarely","2004","indirect migration background","(3b) higher tertiary education","","","",""
"Never","2004","no migration background","(0) in school","","","",""
"Never","2004","no migration background","(1a) inadequately completed","","","",""
"Never","2004","no migration background","(1b) general elementary school","","","",""
"Never","2004","no migration background","(1c) basic vocational qualification","","","",""
"Never","2004","no migration background","(2b) intermediate general qualification","","","",""
"Never","2004","no migration background","(2a) intermediate vocational","","","",""
"Never","2004","no migration background","(2c_gen) general maturity certificate","","","",""
"Never","2004","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Never","2004","no migration background","(3a) lower tertiary education","","","",""
"Never","2004","no migration background","(3b) higher tertiary education","","","",""
"Never","2004","direct migration background","(0) in school","","","",""
"Never","2004","direct migration background","(1a) inadequately completed","","","",""
"Never","2004","direct migration background","(1b) general elementary school","","","",""
"Never","2004","direct migration background","(1c) basic vocational qualification","","","",""
"Never","2004","direct migration background","(2b) intermediate general qualification","","","",""
"Never","2004","direct migration background","(2a) intermediate vocational","","","",""
"Never","2004","direct migration background","(2c_gen) general maturity certificate","","","",""
"Never","2004","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Never","2004","direct migration background","(3a) lower tertiary education","","","",""
"Never","2004","direct migration background","(3b) higher tertiary education","","","",""
"Never","2004","indirect migration background","(0) in school","","","",""
"Never","2004","indirect migration background","(1a) inadequately completed","","","",""
"Never","2004","indirect migration background","(1b) general elementary school","","","",""
"Never","2004","indirect migration background","(1c) basic vocational qualification","","","",""
"Never","2004","indirect migration background","(2b) intermediate general qualification","","","",""
"Never","2004","indirect migration background","(2a) intermediate vocational","","","",""
"Never","2004","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Never","2004","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Never","2004","indirect migration background","(3a) lower tertiary education","","","",""
"Never","2004","indirect migration background","(3b) higher tertiary education","","","",""
"Very often","2005","no migration background","(0) in school","","","",""
"Very often","2005","no migration background","(1a) inadequately completed","","","",""
"Very often","2005","no migration background","(1b) general elementary school","","","",""
"Very often","2005","no migration background","(1c) basic vocational qualification","","","",""
"Very often","2005","no migration background","(2b) intermediate general qualification","","","",""
"Very often","2005","no migration background","(2a) intermediate vocational","","","",""
"Very often","2005","no migration background","(2c_gen) general maturity certificate","","","",""
"Very often","2005","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Very often","2005","no migration background","(3a) lower tertiary education","","","",""
"Very often","2005","no migration background","(3b) higher tertiary education","","","",""
"Very often","2005","direct migration background","(0) in school","","","",""
"Very often","2005","direct migration background","(1a) inadequately completed","","","",""
"Very often","2005","direct migration background","(1b) general elementary school","","","",""
"Very often","2005","direct migration background","(1c) basic vocational qualification","","","",""
"Very often","2005","direct migration background","(2b) intermediate general qualification","","","",""
"Very often","2005","direct migration background","(2a) intermediate vocational","","","",""
"Very often","2005","direct migration background","(2c_gen) general maturity certificate","","","",""
"Very often","2005","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Very often","2005","direct migration background","(3a) lower tertiary education","","","",""
"Very often","2005","direct migration background","(3b) higher tertiary education","","","",""
"Very often","2005","indirect migration background","(0) in school","","","",""
"Very often","2005","indirect migration background","(1a) inadequately completed","","","",""
"Very often","2005","indirect migration background","(1b) general elementary school","","","",""
"Very often","2005","indirect migration background","(1c) basic vocational qualification","","","",""
"Very often","2005","indirect migration background","(2b) intermediate general qualification","","","",""
"Very often","2005","indirect migration background","(2a) intermediate vocational","","","",""
"Very often","2005","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Very often","2005","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Very often","2005","indirect migration background","(3a) lower tertiary education","","","",""
"Very often","2005","indirect migration background","(3b) higher tertiary education","","","",""
"Often","2005","no migration background","(0) in school","","","",""
"Often","2005","no migration background","(1a) inadequately completed","","","",""
"Often","2005","no migration background","(1b) general elementary school","","","",""
"Often","2005","no migration background","(1c) basic vocational qualification","","","",""
"Often","2005","no migration background","(2b) intermediate general qualification","","","",""
"Often","2005","no migration background","(2a) intermediate vocational","","","",""
"Often","2005","no migration background","(2c_gen) general maturity certificate","","","",""
"Often","2005","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Often","2005","no migration background","(3a) lower tertiary education","","","",""
"Often","2005","no migration background","(3b) higher tertiary education","","","",""
"Often","2005","direct migration background","(0) in school","","","",""
"Often","2005","direct migration background","(1a) inadequately completed","","","",""
"Often","2005","direct migration background","(1b) general elementary school","","","",""
"Often","2005","direct migration background","(1c) basic vocational qualification","","","",""
"Often","2005","direct migration background","(2b) intermediate general qualification","","","",""
"Often","2005","direct migration background","(2a) intermediate vocational","","","",""
"Often","2005","direct migration background","(2c_gen) general maturity certificate","","","",""
"Often","2005","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Often","2005","direct migration background","(3a) lower tertiary education","","","",""
"Often","2005","direct migration background","(3b) higher tertiary education","","","",""
"Often","2005","indirect migration background","(0) in school","","","",""
"Often","2005","indirect migration background","(1a) inadequately completed","","","",""
"Often","2005","indirect migration background","(1b) general elementary school","","","",""
"Often","2005","indirect migration background","(1c) basic vocational qualification","","","",""
"Often","2005","indirect migration background","(2b) intermediate general qualification","","","",""
"Often","2005","indirect migration background","(2a) intermediate vocational","","","",""
"Often","2005","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Often","2005","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Often","2005","indirect migration background","(3a) lower tertiary education","","","",""
"Often","2005","indirect migration background","(3b) higher tertiary education","","","",""
"Sometimes","2005","no migration background","(0) in school","","","",""
"Sometimes","2005","no migration background","(1a) inadequately completed","","","",""
"Sometimes","2005","no migration background","(1b) general elementary school","","","",""
"Sometimes","2005","no migration background","(1c) basic vocational qualification","","","",""
"Sometimes","2005","no migration background","(2b) intermediate general qualification","","","",""
"Sometimes","2005","no migration background","(2a) intermediate vocational","","","",""
"Sometimes","2005","no migration background","(2c_gen) general maturity certificate","","","",""
"Sometimes","2005","no migration background","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2005","no migration background","(3a) lower tertiary education","","","",""
"Sometimes","2005","no migration background","(3b) higher tertiary education","","","",""
"Sometimes","2005","direct migration background","(0) in school","","","",""
"Sometimes","2005","direct migration background","(1a) inadequately completed","","","",""
"Sometimes","2005","direct migration background","(1b) general elementary school","","","",""
"Sometimes","2005","direct migration background","(1c) basic vocational qualification","","","",""
"Sometimes","2005","direct migration background","(2b) intermediate general qualification","","","",""
"Sometimes","2005","direct migration background","(2a) intermediate vocational","","","",""
"Sometimes","2005","direct migration background","(2c_gen) general maturity certificate","","","",""
"Sometimes","2005","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2005","direct migration background","(3a) lower tertiary education","","","",""
"Sometimes","2005","direct migration background","(3b) higher tertiary education","","","",""
"Sometimes","2005","indirect migration background","(0) in school","","","",""
"Sometimes","2005","indirect migration background","(1a) inadequately completed","","","",""
"Sometimes","2005","indirect migration background","(1b) general elementary school","","","",""
"Sometimes","2005","indirect migration background","(1c) basic vocational qualification","","","",""
"Sometimes","2005","indirect migration background","(2b) intermediate general qualification","","","",""
"Sometimes","2005","indirect migration background","(2a) intermediate vocational","","","",""
"Sometimes","2005","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Sometimes","2005","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2005","indirect migration background","(3a) lower tertiary education","","","",""
"Sometimes","2005","indirect migration background","(3b) higher tertiary education","","","",""
"Rarely","2005","no migration background","(0) in school","","","",""
"Rarely","2005","no migration background","(1a) inadequately completed","","","",""
"Rarely","2005","no migration background","(1b) general elementary school","","","",""
"Rarely","2005","no migration background","(1c) basic vocational qualification","","","",""
"Rarely","2005","no migration background","(2b) intermediate general qualification","","","",""
"Rarely","2005","no migration background","(2a) intermediate vocational","","","",""
"Rarely","2005","no migration background","(2c_gen) general maturity certificate","","","",""
