"pld0044","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Never","2003","no degree/no degree yet","higher vocational","3","","",""
"Never","2003","no degree/no degree yet","higher education","1","","",""
"Very often","2004","lower secondary degree","in school","","","",""
"Very often","2004","lower secondary degree","inadequately","","","",""
"Very often","2004","lower secondary degree","general elemantary","","","",""
"Very often","2004","lower secondary degree","middle vocational","","","",""
"Very often","2004","lower secondary degree","vocational + Abi","","","",""
"Very often","2004","lower secondary degree","higher vocational","","","",""
"Very often","2004","lower secondary degree","higher education","","","",""
"Very often","2004","secondary school degree","in school","","","",""
"Very often","2004","secondary school degree","inadequately","","","",""
"Very often","2004","secondary school degree","general elemantary","","","",""
"Very often","2004","secondary school degree","middle vocational","","","",""
"Very often","2004","secondary school degree","vocational + Abi","","","",""
"Very often","2004","secondary school degree","higher vocational","","","",""
"Very often","2004","secondary school degree","higher education","","","",""
"Very often","2004","college entrance qualification","in school","","","",""
"Very often","2004","college entrance qualification","inadequately","","","",""
"Very often","2004","college entrance qualification","general elemantary","","","",""
"Very often","2004","college entrance qualification","middle vocational","","","",""
"Very often","2004","college entrance qualification","vocational + Abi","","","",""
"Very often","2004","college entrance qualification","higher vocational","","","",""
"Very often","2004","college entrance qualification","higher education","","","",""
"Very often","2004","Other degree","in school","","","",""
"Very often","2004","Other degree","inadequately","","","",""
"Very often","2004","Other degree","general elemantary","","","",""
"Very often","2004","Other degree","middle vocational","","","",""
"Very often","2004","Other degree","vocational + Abi","","","",""
"Very often","2004","Other degree","higher vocational","","","",""
"Very often","2004","Other degree","higher education","","","",""
"Very often","2004","no degree/no degree yet","in school","","","",""
"Very often","2004","no degree/no degree yet","inadequately","","","",""
"Very often","2004","no degree/no degree yet","general elemantary","","","",""
"Very often","2004","no degree/no degree yet","middle vocational","","","",""
"Very often","2004","no degree/no degree yet","vocational + Abi","","","",""
"Very often","2004","no degree/no degree yet","higher vocational","","","",""
"Very often","2004","no degree/no degree yet","higher education","","","",""
"Often","2004","lower secondary degree","in school","","","",""
"Often","2004","lower secondary degree","inadequately","","","",""
"Often","2004","lower secondary degree","general elemantary","","","",""
"Often","2004","lower secondary degree","middle vocational","","","",""
"Often","2004","lower secondary degree","vocational + Abi","","","",""
"Often","2004","lower secondary degree","higher vocational","","","",""
"Often","2004","lower secondary degree","higher education","","","",""
"Often","2004","secondary school degree","in school","","","",""
"Often","2004","secondary school degree","inadequately","","","",""
"Often","2004","secondary school degree","general elemantary","","","",""
"Often","2004","secondary school degree","middle vocational","","","",""
"Often","2004","secondary school degree","vocational + Abi","","","",""
"Often","2004","secondary school degree","higher vocational","","","",""
"Often","2004","secondary school degree","higher education","","","",""
"Often","2004","college entrance qualification","in school","","","",""
"Often","2004","college entrance qualification","inadequately","","","",""
"Often","2004","college entrance qualification","general elemantary","","","",""
"Often","2004","college entrance qualification","middle vocational","","","",""
"Often","2004","college entrance qualification","vocational + Abi","","","",""
"Often","2004","college entrance qualification","higher vocational","","","",""
"Often","2004","college entrance qualification","higher education","","","",""
"Often","2004","Other degree","in school","","","",""
"Often","2004","Other degree","inadequately","","","",""
"Often","2004","Other degree","general elemantary","","","",""
"Often","2004","Other degree","middle vocational","","","",""
"Often","2004","Other degree","vocational + Abi","","","",""
"Often","2004","Other degree","higher vocational","","","",""
"Often","2004","Other degree","higher education","","","",""
"Often","2004","no degree/no degree yet","in school","","","",""
"Often","2004","no degree/no degree yet","inadequately","","","",""
"Often","2004","no degree/no degree yet","general elemantary","","","",""
"Often","2004","no degree/no degree yet","middle vocational","","","",""
"Often","2004","no degree/no degree yet","vocational + Abi","","","",""
"Often","2004","no degree/no degree yet","higher vocational","","","",""
"Often","2004","no degree/no degree yet","higher education","","","",""
"Sometimes","2004","lower secondary degree","in school","","","",""
"Sometimes","2004","lower secondary degree","inadequately","","","",""
"Sometimes","2004","lower secondary degree","general elemantary","","","",""
"Sometimes","2004","lower secondary degree","middle vocational","","","",""
"Sometimes","2004","lower secondary degree","vocational + Abi","","","",""
"Sometimes","2004","lower secondary degree","higher vocational","","","",""
"Sometimes","2004","lower secondary degree","higher education","","","",""
"Sometimes","2004","secondary school degree","in school","","","",""
"Sometimes","2004","secondary school degree","inadequately","","","",""
"Sometimes","2004","secondary school degree","general elemantary","","","",""
"Sometimes","2004","secondary school degree","middle vocational","","","",""
"Sometimes","2004","secondary school degree","vocational + Abi","","","",""
"Sometimes","2004","secondary school degree","higher vocational","","","",""
"Sometimes","2004","secondary school degree","higher education","","","",""
"Sometimes","2004","college entrance qualification","in school","","","",""
"Sometimes","2004","college entrance qualification","inadequately","","","",""
"Sometimes","2004","college entrance qualification","general elemantary","","","",""
"Sometimes","2004","college entrance qualification","middle vocational","","","",""
"Sometimes","2004","college entrance qualification","vocational + Abi","","","",""
"Sometimes","2004","college entrance qualification","higher vocational","","","",""
"Sometimes","2004","college entrance qualification","higher education","","","",""
"Sometimes","2004","Other degree","in school","","","",""
"Sometimes","2004","Other degree","inadequately","","","",""
"Sometimes","2004","Other degree","general elemantary","","","",""
"Sometimes","2004","Other degree","middle vocational","","","",""
"Sometimes","2004","Other degree","vocational + Abi","","","",""
"Sometimes","2004","Other degree","higher vocational","","","",""
"Sometimes","2004","Other degree","higher education","","","",""
"Sometimes","2004","no degree/no degree yet","in school","","","",""
"Sometimes","2004","no degree/no degree yet","inadequately","","","",""
"Sometimes","2004","no degree/no degree yet","general elemantary","","","",""
"Sometimes","2004","no degree/no degree yet","middle vocational","","","",""
"Sometimes","2004","no degree/no degree yet","vocational + Abi","","","",""
"Sometimes","2004","no degree/no degree yet","higher vocational","","","",""
"Sometimes","2004","no degree/no degree yet","higher education","","","",""
"Rarely","2004","lower secondary degree","in school","","","",""
"Rarely","2004","lower secondary degree","inadequately","","","",""
"Rarely","2004","lower secondary degree","general elemantary","","","",""
"Rarely","2004","lower secondary degree","middle vocational","","","",""
"Rarely","2004","lower secondary degree","vocational + Abi","","","",""
"Rarely","2004","lower secondary degree","higher vocational","","","",""
"Rarely","2004","lower secondary degree","higher education","","","",""
"Rarely","2004","secondary school degree","in school","","","",""
"Rarely","2004","secondary school degree","inadequately","","","",""
"Rarely","2004","secondary school degree","general elemantary","","","",""
"Rarely","2004","secondary school degree","middle vocational","","","",""
"Rarely","2004","secondary school degree","vocational + Abi","","","",""
"Rarely","2004","secondary school degree","higher vocational","","","",""
"Rarely","2004","secondary school degree","higher education","","","",""
"Rarely","2004","college entrance qualification","in school","","","",""
"Rarely","2004","college entrance qualification","inadequately","","","",""
"Rarely","2004","college entrance qualification","general elemantary","","","",""
"Rarely","2004","college entrance qualification","middle vocational","","","",""
"Rarely","2004","college entrance qualification","vocational + Abi","","","",""
"Rarely","2004","college entrance qualification","higher vocational","","","",""
"Rarely","2004","college entrance qualification","higher education","","","",""
"Rarely","2004","Other degree","in school","","","",""
"Rarely","2004","Other degree","inadequately","","","",""
"Rarely","2004","Other degree","general elemantary","","","",""
"Rarely","2004","Other degree","middle vocational","","","",""
"Rarely","2004","Other degree","vocational + Abi","","","",""
"Rarely","2004","Other degree","higher vocational","","","",""
"Rarely","2004","Other degree","higher education","","","",""
"Rarely","2004","no degree/no degree yet","in school","","","",""
"Rarely","2004","no degree/no degree yet","inadequately","","","",""
"Rarely","2004","no degree/no degree yet","general elemantary","","","",""
"Rarely","2004","no degree/no degree yet","middle vocational","","","",""
"Rarely","2004","no degree/no degree yet","vocational + Abi","","","",""
"Rarely","2004","no degree/no degree yet","higher vocational","","","",""
"Rarely","2004","no degree/no degree yet","higher education","","","",""
"Never","2004","lower secondary degree","in school","","","",""
"Never","2004","lower secondary degree","inadequately","","","",""
"Never","2004","lower secondary degree","general elemantary","","","",""
"Never","2004","lower secondary degree","middle vocational","","","",""
"Never","2004","lower secondary degree","vocational + Abi","","","",""
"Never","2004","lower secondary degree","higher vocational","","","",""
"Never","2004","lower secondary degree","higher education","","","",""
"Never","2004","secondary school degree","in school","","","",""
"Never","2004","secondary school degree","inadequately","","","",""
"Never","2004","secondary school degree","general elemantary","","","",""
"Never","2004","secondary school degree","middle vocational","","","",""
"Never","2004","secondary school degree","vocational + Abi","","","",""
"Never","2004","secondary school degree","higher vocational","","","",""
"Never","2004","secondary school degree","higher education","","","",""
"Never","2004","college entrance qualification","in school","","","",""
"Never","2004","college entrance qualification","inadequately","","","",""
"Never","2004","college entrance qualification","general elemantary","","","",""
"Never","2004","college entrance qualification","middle vocational","","","",""
"Never","2004","college entrance qualification","vocational + Abi","","","",""
"Never","2004","college entrance qualification","higher vocational","","","",""
"Never","2004","college entrance qualification","higher education","","","",""
"Never","2004","Other degree","in school","","","",""
"Never","2004","Other degree","inadequately","","","",""
"Never","2004","Other degree","general elemantary","","","",""
"Never","2004","Other degree","middle vocational","","","",""
"Never","2004","Other degree","vocational + Abi","","","",""
"Never","2004","Other degree","higher vocational","","","",""
"Never","2004","Other degree","higher education","","","",""
"Never","2004","no degree/no degree yet","in school","","","",""
"Never","2004","no degree/no degree yet","inadequately","","","",""
"Never","2004","no degree/no degree yet","general elemantary","","","",""
"Never","2004","no degree/no degree yet","middle vocational","","","",""
"Never","2004","no degree/no degree yet","vocational + Abi","","","",""
"Never","2004","no degree/no degree yet","higher vocational","","","",""
"Never","2004","no degree/no degree yet","higher education","","","",""
"Very often","2005","lower secondary degree","in school","","","",""
"Very often","2005","lower secondary degree","inadequately","","","",""
"Very often","2005","lower secondary degree","general elemantary","","","",""
"Very often","2005","lower secondary degree","middle vocational","","","",""
"Very often","2005","lower secondary degree","vocational + Abi","","","",""
"Very often","2005","lower secondary degree","higher vocational","","","",""
"Very often","2005","lower secondary degree","higher education","","","",""
"Very often","2005","secondary school degree","in school","","","",""
"Very often","2005","secondary school degree","inadequately","","","",""
"Very often","2005","secondary school degree","general elemantary","","","",""
"Very often","2005","secondary school degree","middle vocational","","","",""
"Very often","2005","secondary school degree","vocational + Abi","","","",""
"Very often","2005","secondary school degree","higher vocational","","","",""
"Very often","2005","secondary school degree","higher education","","","",""
"Very often","2005","college entrance qualification","in school","","","",""
"Very often","2005","college entrance qualification","inadequately","","","",""
"Very often","2005","college entrance qualification","general elemantary","","","",""
"Very often","2005","college entrance qualification","middle vocational","","","",""
"Very often","2005","college entrance qualification","vocational + Abi","","","",""
"Very often","2005","college entrance qualification","higher vocational","","","",""
"Very often","2005","college entrance qualification","higher education","","","",""
"Very often","2005","Other degree","in school","","","",""
"Very often","2005","Other degree","inadequately","","","",""
"Very often","2005","Other degree","general elemantary","","","",""
"Very often","2005","Other degree","middle vocational","","","",""
"Very often","2005","Other degree","vocational + Abi","","","",""
"Very often","2005","Other degree","higher vocational","","","",""
"Very often","2005","Other degree","higher education","","","",""
"Very often","2005","no degree/no degree yet","in school","","","",""
"Very often","2005","no degree/no degree yet","inadequately","","","",""
"Very often","2005","no degree/no degree yet","general elemantary","","","",""
"Very often","2005","no degree/no degree yet","middle vocational","","","",""
"Very often","2005","no degree/no degree yet","vocational + Abi","","","",""
"Very often","2005","no degree/no degree yet","higher vocational","","","",""
"Very often","2005","no degree/no degree yet","higher education","","","",""
"Often","2005","lower secondary degree","in school","","","",""
"Often","2005","lower secondary degree","inadequately","","","",""
"Often","2005","lower secondary degree","general elemantary","","","",""
"Often","2005","lower secondary degree","middle vocational","","","",""
"Often","2005","lower secondary degree","vocational + Abi","","","",""
"Often","2005","lower secondary degree","higher vocational","","","",""
"Often","2005","lower secondary degree","higher education","","","",""
"Often","2005","secondary school degree","in school","","","",""
"Often","2005","secondary school degree","inadequately","","","",""
"Often","2005","secondary school degree","general elemantary","","","",""
"Often","2005","secondary school degree","middle vocational","","","",""
"Often","2005","secondary school degree","vocational + Abi","","","",""
"Often","2005","secondary school degree","higher vocational","","","",""
"Often","2005","secondary school degree","higher education","","","",""
"Often","2005","college entrance qualification","in school","","","",""
"Often","2005","college entrance qualification","inadequately","","","",""
"Often","2005","college entrance qualification","general elemantary","","","",""
"Often","2005","college entrance qualification","middle vocational","","","",""
"Often","2005","college entrance qualification","vocational + Abi","","","",""
"Often","2005","college entrance qualification","higher vocational","","","",""
"Often","2005","college entrance qualification","higher education","","","",""
"Often","2005","Other degree","in school","","","",""
"Often","2005","Other degree","inadequately","","","",""
"Often","2005","Other degree","general elemantary","","","",""
"Often","2005","Other degree","middle vocational","","","",""
"Often","2005","Other degree","vocational + Abi","","","",""
"Often","2005","Other degree","higher vocational","","","",""
"Often","2005","Other degree","higher education","","","",""
"Often","2005","no degree/no degree yet","in school","","","",""
"Often","2005","no degree/no degree yet","inadequately","","","",""
"Often","2005","no degree/no degree yet","general elemantary","","","",""
"Often","2005","no degree/no degree yet","middle vocational","","","",""
"Often","2005","no degree/no degree yet","vocational + Abi","","","",""
"Often","2005","no degree/no degree yet","higher vocational","","","",""
"Often","2005","no degree/no degree yet","higher education","","","",""
"Sometimes","2005","lower secondary degree","in school","","","",""
"Sometimes","2005","lower secondary degree","inadequately","","","",""
"Sometimes","2005","lower secondary degree","general elemantary","","","",""
"Sometimes","2005","lower secondary degree","middle vocational","","","",""
"Sometimes","2005","lower secondary degree","vocational + Abi","","","",""
"Sometimes","2005","lower secondary degree","higher vocational","","","",""
"Sometimes","2005","lower secondary degree","higher education","","","",""
"Sometimes","2005","secondary school degree","in school","","","",""
"Sometimes","2005","secondary school degree","inadequately","","","",""
"Sometimes","2005","secondary school degree","general elemantary","","","",""
"Sometimes","2005","secondary school degree","middle vocational","","","",""
"Sometimes","2005","secondary school degree","vocational + Abi","","","",""
"Sometimes","2005","secondary school degree","higher vocational","","","",""
"Sometimes","2005","secondary school degree","higher education","","","",""
"Sometimes","2005","college entrance qualification","in school","","","",""
"Sometimes","2005","college entrance qualification","inadequately","","","",""
"Sometimes","2005","college entrance qualification","general elemantary","","","",""
"Sometimes","2005","college entrance qualification","middle vocational","","","",""
"Sometimes","2005","college entrance qualification","vocational + Abi","","","",""
"Sometimes","2005","college entrance qualification","higher vocational","","","",""
"Sometimes","2005","college entrance qualification","higher education","","","",""
"Sometimes","2005","Other degree","in school","","","",""
"Sometimes","2005","Other degree","inadequately","","","",""
"Sometimes","2005","Other degree","general elemantary","","","",""
"Sometimes","2005","Other degree","middle vocational","","","",""
"Sometimes","2005","Other degree","vocational + Abi","","","",""
"Sometimes","2005","Other degree","higher vocational","","","",""
"Sometimes","2005","Other degree","higher education","","","",""
"Sometimes","2005","no degree/no degree yet","in school","","","",""
"Sometimes","2005","no degree/no degree yet","inadequately","","","",""
"Sometimes","2005","no degree/no degree yet","general elemantary","","","",""
"Sometimes","2005","no degree/no degree yet","middle vocational","","","",""
"Sometimes","2005","no degree/no degree yet","vocational + Abi","","","",""
"Sometimes","2005","no degree/no degree yet","higher vocational","","","",""
"Sometimes","2005","no degree/no degree yet","higher education","","","",""
"Rarely","2005","lower secondary degree","in school","","","",""
"Rarely","2005","lower secondary degree","inadequately","","","",""
"Rarely","2005","lower secondary degree","general elemantary","","","",""
"Rarely","2005","lower secondary degree","middle vocational","","","",""
"Rarely","2005","lower secondary degree","vocational + Abi","","","",""
"Rarely","2005","lower secondary degree","higher vocational","","","",""
"Rarely","2005","lower secondary degree","higher education","","","",""
"Rarely","2005","secondary school degree","in school","","","",""
"Rarely","2005","secondary school degree","inadequately","","","",""
"Rarely","2005","secondary school degree","general elemantary","","","",""
"Rarely","2005","secondary school degree","middle vocational","","","",""
"Rarely","2005","secondary school degree","vocational + Abi","","","",""
"Rarely","2005","secondary school degree","higher vocational","","","",""
"Rarely","2005","secondary school degree","higher education","","","",""
"Rarely","2005","college entrance qualification","in school","","","",""
"Rarely","2005","college entrance qualification","inadequately","","","",""
"Rarely","2005","college entrance qualification","general elemantary","","","",""
"Rarely","2005","college entrance qualification","middle vocational","","","",""
"Rarely","2005","college entrance qualification","vocational + Abi","","","",""
"Rarely","2005","college entrance qualification","higher vocational","","","",""
"Rarely","2005","college entrance qualification","higher education","","","",""
