"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1994","no migration background","6.38","7","10052","3","5","8","9","6.34","6.42","7","7"
"1995","direct migration background","6.63","7","2800","3","5","8","10","6.54","6.72","7","7"
"1995","indirect migration background","7.52","8","509","5","6","9","10","7.34","7.7","8","8"
"1995","no migration background","6.39","7","10006","3","5","8","9","6.35","6.43","7","7"
"1996","direct migration background","6.37","7","2615","3","5","8","9","6.28","6.46","7","7"
"1996","indirect migration background","7.39","8","549","4","6","9","10","7.21","7.57","8","8"
"1996","no migration background","6.42","7","9947","3","5","8","9","6.38","6.46","7","7"
"1997","direct migration background","6.47","7","2486","3","5","8","9","6.38","6.56","7","7"
"1997","indirect migration background","7.8","8","573","5","7","9","10","7.64","7.96","8","8"
"1997","no migration background","6.38","7","9823","3","5","8","9","6.34","6.42","7","7"
"1998","direct migration background","6.5","7","2413","3","5","8","9","6.41","6.59","7","7"
"1998","indirect migration background","7.71","8","602","5","7","9","10","7.55","7.87","8","8"
"1998","no migration background","6.5","7","11259","3","5","8","9","6.46","6.54","7","7"
"1999","direct migration background","6.46","7","2213","3","5","8","9","6.36","6.56","7","7"
"1999","indirect migration background","7.55","8","610","5","6","9","10","7.39","7.71","8","8"
"1999","no migration background","6.45","7","10905","3","5","8","9","6.41","6.49","7","7"
"2000","direct migration background","6.71","7","3337","3","5","8","10","6.63","6.79","7","7"
"2000","indirect migration background","7.78","8","830","5","7","9","10","7.65","7.91","8","8"
"2000","no migration background","6.65","7","20057","3","5","8","9","6.62","6.68","7","7"
"2001","direct migration background","6.75","7","2936","3","5","8","10","6.67","6.83","7","7"
"2001","indirect migration background","7.73","8","776","5","7","9","10","7.59","7.87","8","8"
"2001","no migration background","6.64","7","18271","3","5","8","9","6.61","6.67","7","7"
"2002","direct migration background","6.51","7","2811","3","5","8","9","6.43","6.59","7","7"
"2002","indirect migration background","7.34","8","781","5","6","9","10","7.2","7.48","8","8"
"2002","no migration background","6.57","7","19511","3","5","8","9","6.54","6.6","7","7"
"2003","direct migration background","6.63","7","2639","3","5","8","9","6.54","6.72","7","7"
"2003","indirect migration background","7.31","8","790","4","6","9","10","7.17","7.45","8","8"
"2003","no migration background","6.55","7","18828","3","5","8","9","6.52","6.58","7","7"
"2004","direct migration background","6.49","7","2543","3","5","8","9","6.4","6.58","7","7"
"2004","indirect migration background","7.28","8","805","4","6","9","10","7.14","7.42","8","8"
"2004","no migration background","6.39","7","18306","3","5","8","9","6.36","6.42","7","7"
"2005","direct migration background","6.41","7","2381","3","5","8","9","6.32","6.5","7","7"
"2005","indirect migration background","7.48","8","831","5","6","9","10","7.35","7.61","8","8"
"2005","no migration background","6.46","7","17536","3","5","8","9","6.43","6.49","7","7"
"2006","direct migration background","6.45","7","2383","3","5","8","9","6.36","6.54","7","7"
"2006","indirect migration background","7.33","8","824","4","6","9","10","7.19","7.47","8","8"
"2006","no migration background","6.46","7","18820","3","5","8","9","6.43","6.49","7","7"
"2007","direct migration background","6.33","7","2132","3","5","8","9","6.23","6.43","7","7"
"2007","indirect migration background","7.4","8","784","5","6","9","10","7.26","7.54","8","8"
"2007","no migration background","6.45","7","17664","3","5","8","9","6.42","6.48","7","7"
"2008","direct migration background","6.3","7","1915","3","5","8","9","6.2","6.4","7","7"
"2008","indirect migration background","7.25","8","773","4","6","9","10","7.1","7.4","8","8"
"2008","no migration background","6.44","7","16715","3","5","8","9","6.41","6.47","7","7"
"2009","direct migration background","6.28","7","1667","3","5","8","9","6.17","6.39","7","7"
"2009","indirect migration background","7.29","8","715","4","6","9","10","7.14","7.44","8","8"
"2009","no migration background","6.38","7","15713","3","5","8","9","6.35","6.41","7","7"
"2010","direct migration background","6.59","7","2905","3","5","8","9","6.51","6.67","7","8"
"2010","indirect migration background","7.45","8","1147","4","6","9","10","7.33","7.57","8","8"
"2010","no migration background","6.42","7","19978","3","5","8","9","6.39","6.45","7","7"
"2011","direct migration background","6.55","7","2910","3","5","8","9","6.47","6.63","7","7"
"2011","indirect migration background","7.37","8","1219","5","6","9","10","7.25","7.49","8","8"
"2011","no migration background","6.45","7","21757","3","5","8","9","6.42","6.48","7","7"
"2012","direct migration background","6.69","7","2909","3","5","8","9","6.61","6.77","7","7"
"2012","indirect migration background","7.34","8","1227","4","6","9","10","7.22","7.46","8","8"
"2012","no migration background","6.53","7","22376","3","5","8","9","6.5","6.56","7","7"
"2013","direct migration background","6.89","7","6405","4","5","9","10","6.83","6.95","8","8"
"2013","indirect migration background","7.59","8","2134","5","7","9","10","7.5","7.68","8","8"
"2013","no migration background","6.49","7","22183","3","5","8","9","6.46","6.52","7","7"
"2014","direct migration background","6.8","7","5131","3","5","8","10","6.74","6.86","7","8"
"2014","indirect migration background","7.41","8","1795","4","6","9","10","7.31","7.51","8","8"
"2014","no migration background","6.51","7","20262","3","5","8","9","6.48","6.54","7","7"
"2015","direct migration background","6.75","7","4317","3","5","8","9","6.68","6.82","7","8"
"2015","indirect migration background","7.49","8","1628","5","7","9","10","7.39","7.59","8","8"
"2015","no migration background","6.51","7","19185","3","5","8","9","6.48","6.54","7","7"
"2016","direct migration background","6.92","7","9243","4","5","9","10","6.87","6.97","8","8"
"2016","indirect migration background","7.38","8","1548","5","6","9","10","7.27","7.49","8","8"
"2016","no migration background","6.5","7","17920","3","5","8","9","6.47","6.53","7","7"
"2017","direct migration background","6.8","7","10131","3","5","8","10","6.75","6.85","8","8"
"2017","indirect migration background","7.38","8","1689","5","6","9","10","7.28","7.48","8","8"
"2017","no migration background","6.48","7","20299","3","5","8","9","6.45","6.51","7","7"
"2018","direct migration background","6.7","7","8710","3","5","8","10","6.65","6.75","8","8"
"2018","indirect migration background","7.37","8","1700","4","6","9","10","7.27","7.47","8","8"
"2018","no migration background","6.45","7","19603","3","5","8","9","6.42","6.48","7","7"
"2019","direct migration background","6.9","7","7707","4","5","8","10","6.85","6.95","8","8"
"2019","indirect migration background","7.35","8","1711","4","6","9","10","7.25","7.45","8","8"
"2019","no migration background","6.54","7","20292","3","5","8","9","6.51","6.57","7","7"
