"ple0015","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2014","Couple + C. LE and GT 16","","","","","2"
"Yes","2014","1-pers.-HH","","","","","1"
"Yes","2014","(Married) couple without C. ","","","","","1"
"Yes","2014","Single parent ","","","","","1"
"Yes","2014","Couple + C. LE 16 ","","","","","1"
"Yes","2014","Couple + C. GT 16 ","","","","","1"
"Yes","2014","Couple + C. LE and GT 16","","","","","1"
"No","2015","1-pers.-HH","3260","0.921489277357059","0.912606208150883","0.930372346563235","2"
"No","2015","(Married) couple without C. ","6874","0.918590394945383","0.912402280529677","0.924778509361088","2"
"No","2015","Single parent ","2265","0.973948896718651","0.967481175741269","0.980416617696034","2"
"No","2015","Couple + C. LE 16 ","6013","0.985471354472461","0.982464668615883","0.988478040329039","2"
"No","2015","Couple + C. GT 16 ","2814","0.974201735562648","0.968435804050811","0.979967667074485","2"
"No","2015","Couple + C. LE and GT 16","2125","0.990026428030027","0.985833946791833","0.99421890926822","2"
"Yes","2015","1-pers.-HH","262","0.0785107226429408","0.0696276534367649","0.0873937918491167","1"
"Yes","2015","(Married) couple without C. ","628","0.0814096050546176","0.0752214906389116","0.0875977194703235","1"
"Yes","2015","Single parent ","65","0.0260511032813487","0.0195833823039661","0.0325188242587312","1"
"Yes","2015","Couple + C. LE 16 ","71","0.0145286455275391","0.0115219596709607","0.0175353313841174","1"
"Yes","2015","Couple + C. GT 16 ","90","0.0257982644373522","0.0200323329255153","0.0315641959491891","1"
"Yes","2015","Couple + C. LE and GT 16","33","0.00997357196997329","0.00578109073177971","0.0141660532081669","1"
"No","2016","1-pers.-HH","","","","","2"
"No","2016","(Married) couple without C. ","","","","","2"
"No","2016","Single parent ","","","","","2"
"No","2016","Couple + C. LE 16 ","","","","","2"
"No","2016","Couple + C. GT 16 ","","","","","2"
"No","2016","Couple + C. LE and GT 16","","","","","2"
"Yes","2016","Single parent ","","","","","1"
"Yes","2016","Couple + C. LE 16 ","","","","","1"
"Yes","2016","1-pers.-HH","","","","","1"
"Yes","2016","(Married) couple without C. ","","","","","1"
"Yes","2016","Couple + C. GT 16 ","","","","","1"
"Yes","2016","Couple + C. LE and GT 16","","","","","1"
"No","2017","1-pers.-HH","3680","0.929108667873553","0.92110720402154","0.937110131725565","2"
"No","2017","(Married) couple without C. ","7564","0.919432973221098","0.91356282107782","0.925303125364376","2"
"No","2017","Single parent ","2167","0.968706507692214","0.961502738500275","0.975910276884153","2"
"No","2017","Couple + C. LE 16 ","5871","0.983075225517006","0.979799638719078","0.986350812314933","2"
"No","2017","Couple + C. GT 16 ","3161","0.967540739908012","0.961466692839309","0.973614786976715","2"
"No","2017","Couple + C. LE and GT 16","2207","0.987897686258372","0.983376662985395","0.99241870953135","2"
"Yes","2017","Single parent ","77","0.0312934923077859","0.0240897231158469","0.038497261499725","1"
"Yes","2017","Couple + C. LE 16 ","86","0.0169247744829944","0.0136491876850667","0.0202003612809221","1"
"Yes","2017","Couple + C. GT 16 ","109","0.0324592600919879","0.0263852130232848","0.038533307160691","1"
"Yes","2017","1-pers.-HH","272","0.0708913321264472","0.062889868274435","0.0788927959784595","1"
"Yes","2017","(Married) couple without C. ","694","0.0805670267789018","0.0746968746356238","0.0864371789221797","1"
"Yes","2017","Couple + C. LE and GT 16","40","0.0121023137416275","0.00758129046864953","0.0166233370146055","1"
"No","2018","1-pers.-HH","","","","","2"
"No","2018","(Married) couple without C. ","","","","","2"
"No","2018","Single parent ","","","","","2"
"No","2018","Couple + C. LE 16 ","","","","","2"
"No","2018","Couple + C. GT 16 ","","","","","2"
"No","2018","Couple + C. LE and GT 16","","","","","2"
"Yes","2018","Single parent ","","","","","1"
"Yes","2018","Couple + C. LE 16 ","","","","","1"
"Yes","2018","Couple + C. GT 16 ","","","","","1"
"Yes","2018","1-pers.-HH","","","","","1"
"Yes","2018","Couple + C. LE and GT 16","","","","","1"
"Yes","2018","(Married) couple without C. ","","","","","1"
"No","2019","1-pers.-HH","3965","0.927834167001674","0.920064662565769","0.935603671437578","2"
"No","2019","(Married) couple without C. ","7812","0.91533818160259","0.90943891459333","0.92123744861185","2"
"No","2019","Single parent ","1997","0.96194160699144","0.953697048113792","0.970186165869089","2"
"No","2019","Couple + C. LE 16 ","5100","0.982112393912567","0.978511285848029","0.985713501977106","2"
"No","2019","Couple + C. GT 16 ","2869","0.96220974012424","0.955361002038148","0.969058478210333","2"
"No","2019","Couple + C. LE and GT 16","2142","0.973845981138273","0.967160393829874","0.980531568446672","2"
"Yes","2019","Single parent ","72","0.0380583930085596","0.0298138341309111","0.0463029518862082","1"
"Yes","2019","Couple + C. LE 16 ","104","0.0178876060874324","0.0142864980228942","0.0214887141519707","1"
"Yes","2019","1-pers.-HH","296","0.0721658329983264","0.0643963285624221","0.0799353374342306","1"
"Yes","2019","Couple + C. GT 16 ","109","0.0377902598757594","0.0309415217896671","0.0446389979618518","1"
"Yes","2019","Couple + C. LE and GT 16","47","0.0261540188617266","0.0194684315533275","0.0328396061701257","1"
"Yes","2019","(Married) couple without C. ","742","0.0846618183974104","0.0787625513881504","0.0905610854066703","1"
