"ple0015","year","migback","sampreg","n","percent","lower_confidence","upper_confidence"
"No","2011","direct migration background","West Germany","1858","0.964838881557648","0.9566109349858","0.973066828129495"
"No","2011","direct migration background","East Germany","88","0.949719695702255","0.90577737802951","0.993662013374999"
"No","2011","indirect migration background","West Germany","742","0.986465802893625","0.978218353035375","0.994713252751874"
"No","2011","indirect migration background","East Germany","45","1","1","1"
"Yes","2012","no migration background","West Germany","","","",""
"Yes","2012","no migration background","East Germany","","","",""
"Yes","2012","direct migration background","West Germany","","","",""
"Yes","2012","direct migration background","East Germany","","","",""
"Yes","2012","indirect migration background","West Germany","","","",""
"Yes","2012","indirect migration background","East Germany","","","",""
"No","2012","no migration background","West Germany","","","",""
"No","2012","no migration background","East Germany","","","",""
"No","2012","direct migration background","West Germany","","","",""
"No","2012","direct migration background","East Germany","","","",""
"No","2012","indirect migration background","West Germany","","","",""
"No","2012","indirect migration background","East Germany","","","",""
"Yes","2013","no migration background","West Germany","718","0.0623199349529566","0.058030939136735","0.0666089307691783"
"Yes","2013","no migration background","East Germany","252","0.0640013707226237","0.0567330112266144","0.0712697302186329"
"Yes","2013","direct migration background","West Germany","64","0.048359968529945","0.0378973309028369","0.0588226061570531"
"Yes","2013","direct migration background","East Germany","7","","",""
"Yes","2013","indirect migration background","West Germany","8","","",""
"Yes","2013","indirect migration background","East Germany","","","",""
"No","2013","no migration background","West Germany","11485","0.937680065047043","0.933391069230822","0.941969060863265"
"No","2013","no migration background","East Germany","4104","0.935998629277376","0.928730269781367","0.943266988773386"
"No","2013","direct migration background","West Germany","1551","0.951640031470055","0.941177393842947","0.962102669097163"
"No","2013","direct migration background","East Germany","74","0.896075214895201","0.829618727640531","0.962531702149871"
"No","2013","indirect migration background","West Germany","663","0.986910128586663","0.978310230113605","0.995510027059722"
"No","2013","indirect migration background","East Germany","45","1","1","1"
"Yes","2014","no migration background","West Germany","","","",""
"Yes","2014","no migration background","East Germany","","","",""
"Yes","2014","direct migration background","West Germany","","","",""
"Yes","2014","direct migration background","East Germany","","","",""
"Yes","2014","indirect migration background","West Germany","","","",""
"Yes","2014","indirect migration background","East Germany","","","",""
"No","2014","no migration background","West Germany","","","",""
"No","2014","no migration background","East Germany","","","",""
"No","2014","direct migration background","West Germany","","","",""
"No","2014","direct migration background","East Germany","","","",""
"No","2014","indirect migration background","West Germany","","","",""
"No","2014","indirect migration background","East Germany","","","",""
"Yes","2015","no migration background","West Germany","772","0.0630990852638664","0.059117193431943","0.0670809770957898"
"Yes","2015","no migration background","East Germany","267","0.0634318483215233","0.0566024277405637","0.0702612689024828"
"Yes","2015","direct migration background","West Germany","102","0.0315606199515078","0.026160291321787","0.0369609485812286"
"Yes","2015","direct migration background","East Germany","10","","",""
"Yes","2015","indirect migration background","West Germany","21","","",""
"Yes","2015","indirect migration background","East Germany","","","",""
"No","2015","no migration background","West Germany","13551","0.936900914736134","0.93291902290421","0.940882806568057"
"No","2015","no migration background","East Germany","4626","0.936568151678477","0.929738731097517","0.943397572259436"
"No","2015","direct migration background","West Germany","3924","0.968439380048492","0.963039051418771","0.973839708678213"
"No","2015","direct migration background","East Germany","285","0.93587123793679","0.907915461328962","0.963827014544619"
"No","2015","indirect migration background","West Germany","1509","0.986385730240274","0.98057911644096","0.992192344039589"
"No","2015","indirect migration background","East Germany","103","1","1","1"
"Yes","2016","no migration background","West Germany","","","",""
"Yes","2016","no migration background","East Germany","","","",""
"Yes","2016","direct migration background","West Germany","","","",""
"Yes","2016","direct migration background","East Germany","","","",""
"Yes","2016","indirect migration background","West Germany","","","",""
"Yes","2016","indirect migration background","East Germany","","","",""
"No","2016","no migration background","West Germany","","","",""
"No","2016","no migration background","East Germany","","","",""
"No","2016","direct migration background","West Germany","","","",""
"No","2016","direct migration background","East Germany","","","",""
"No","2016","indirect migration background","West Germany","","","",""
"No","2016","indirect migration background","East Germany","","","",""
"Yes","2017","no migration background","West Germany","877","0.0631551929439014","0.0592852212173759","0.0670251646704269"
"Yes","2017","no migration background","East Germany","279","0.0622705076131992","0.0556797556937758","0.0688612595326225"
"Yes","2017","direct migration background","West Germany","113","0.0350250519921417","0.0295294941649777","0.0405206098193056"
"Yes","2017","direct migration background","East Germany","7","","",""
"Yes","2017","indirect migration background","West Germany","22","","",""
"Yes","2017","indirect migration background","East Germany","","","",""
"No","2017","no migration background","West Germany","14299","0.936844807056099","0.932974835329573","0.940714778782624"
"No","2017","no migration background","East Germany","4885","0.937729492386801","0.931138740467377","0.944320244306224"
"No","2017","direct migration background","West Germany","4186","0.964974948007858","0.959479390180694","0.970470505835022"
"No","2017","direct migration background","East Germany","362","0.9591305058352","0.938929481521829","0.97933153014857"
"No","2017","indirect migration background","West Germany","1586","0.988986559603467","0.98388548392734","0.994087635279594"
"No","2017","indirect migration background","East Germany","107","1","1","1"
"Yes","2018","no migration background","West Germany","","","",""
"Yes","2018","no migration background","East Germany","","","",""
"Yes","2018","direct migration background","West Germany","","","",""
"Yes","2018","direct migration background","East Germany","","","",""
"Yes","2018","indirect migration background","West Germany","","","",""
"Yes","2018","indirect migration background","East Germany","","","",""
"No","2018","no migration background","West Germany","","","",""
"No","2018","no migration background","East Germany","","","",""
"No","2018","direct migration background","West Germany","","","",""
"No","2018","direct migration background","East Germany","","","",""
"No","2018","indirect migration background","West Germany","","","",""
"No","2018","indirect migration background","East Germany","","","",""
"Yes","2019","no migration background","West Germany","926","0.0676313435350081","0.0636235913345222","0.071639095735494"
"Yes","2019","no migration background","East Germany","308","0.0609464236234727","0.0544183562851067","0.0674744909618387"
"Yes","2019","direct migration background","West Germany","125","0.0442433783855572","0.0374931864362773","0.0509935703348371"
"Yes","2019","direct migration background","East Germany","4","","",""
"Yes","2019","indirect migration background","West Germany","23","","",""
"Yes","2019","indirect migration background","East Germany","3","","",""
"No","2019","no migration background","West Germany","14155","0.932368656464992","0.928360904264506","0.936376408665478"
"No","2019","no migration background","East Germany","4851","0.939053576376527","0.932525509038161","0.945581643714893"
"No","2019","direct migration background","West Germany","3440","0.955756621614443","0.949006429665163","0.962506813563723"
"No","2019","direct migration background","East Germany","287","0.989511757070885","0.977806971959875","1.0012165421819"
"No","2019","indirect migration background","West Germany","1549","0.987253700328176","0.981708359197533","0.99279904145882"
"No","2019","indirect migration background","East Germany","130","0.992781616408944","0.978394653882445","1.00716857893544"
