"ple0015","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2018","inadequately","","","","","2"
"No","2018","general elemantary","","","","","2"
"No","2018","middle vocational","","","","","2"
"No","2018","vocational + Abi","","","","","2"
"No","2018","higher vocational","","","","","2"
"No","2018","higher education","","","","","2"
"Yes","2018","higher vocational","","","","","1"
"Yes","2018","higher education","","","","","1"
"Yes","2018","middle vocational","","","","","1"
"Yes","2018","vocational + Abi","","","","","1"
"Yes","2018","inadequately","","","","","1"
"Yes","2018","general elemantary","","","","","1"
"Yes","2018","in school","","","","","1"
"No","2019","in school","331","1","1","1","2"
"No","2019","inadequately","380","0.971335510057521","0.954796235585129","0.987874784529914","2"
"No","2019","general elemantary","2324","0.953189762931547","0.944777339455983","0.961602186407112","2"
"No","2019","middle vocational","10493","0.933108626923694","0.928468448956409","0.93774880489098","2"
"No","2019","vocational + Abi","2095","0.961829959436186","0.953773788196999","0.969886130675373","2"
"No","2019","higher vocational","1558","0.928014214649621","0.915625374703434","0.940403054595808","2"
"No","2019","higher education","6591","0.937239678283314","0.931567437337761","0.942911919228868","2"
"Yes","2019","higher education","432","0.0627603217166857","0.0570880807711322","0.0684325626622392","1"
"Yes","2019","higher vocational","114","0.0719857853503788","0.0595969454041918","0.0843746252965659","1"
"Yes","2019","vocational + Abi","78","0.0381700405638135","0.0301138693246265","0.0462262118030005","1"
"Yes","2019","middle vocational","643","0.0668913730763055","0.0622511951090196","0.0715315510435914","1"
"Yes","2019","general elemantary","98","0.0468102370684527","0.0383978135928881","0.0552226605440172","1"
"Yes","2019","inadequately","11","","","","1"
"Yes","2019","in school","","","","","1"
