"pgfamstd","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Married, but separated","1984","no migration background","middle vocational","44","0.0109140994501","0.00774345843375972","0.0140847404664403","2"
"Married, but separated","1984","no migration background","vocational + Abi","","","","","2"
"Married, but separated","1984","direct migration background","in school","","","","","2"
"Married, but separated","1984","direct migration background","inadequately","38","0.0704959837664823","0.0524272081368498","0.0885647593961148","2"
"Married, but separated","1984","direct migration background","general elemantary","26","","","","2"
"Married, but separated","1984","direct migration background","middle vocational","41","0.0434202530456115","0.0300459108858903","0.0567945952053326","2"
"Married, but separated","1984","direct migration background","higher vocational","2","","","","2"
"Married, but separated","1984","indirect migration background","in school","","","","","2"
"Married, but separated","1984","indirect migration background","inadequately","","","","","2"
"Married, but separated","1984","indirect migration background","middle vocational","","","","","2"
"Married, but separated","1984","indirect migration background","vocational + Abi","","","","","2"
"Married, but separated","1984","no migration background","higher vocational","9","","","","2"
"Married, but separated","1984","direct migration background","vocational + Abi","5","","","","2"
"Married, but separated","1984","no migration background","higher education","12","","","","2"
"Single","1984","indirect migration background","higher vocational","2","","","","3"
"Single","1984","direct migration background","higher education","17","","","","3"
"Single","1984","direct migration background","in school","17","","","","3"
"Single","1984","direct migration background","inadequately","58","0.0823715690724886","0.062965257408633","0.101777880736344","3"
"Single","1984","direct migration background","general elemantary","188","0.166897353352424","0.14263022263964","0.191164484065208","3"
"Single","1984","direct migration background","middle vocational","185","0.18190729438563","0.156591475428618","0.207223113342641","3"
"Single","1984","direct migration background","vocational + Abi","17","","","","3"
"Single","1984","direct migration background","higher vocational","4","","","","3"
"Single","1984","indirect migration background","in school","7","","","","3"
"Single","1984","indirect migration background","inadequately","2","","","","3"
"Single","1984","indirect migration background","general elemantary","33","0.664661211216226","0.525164549142347","0.804157873290105","3"
"Single","1984","indirect migration background","middle vocational","28","","","","3"
"Single","1984","indirect migration background","vocational + Abi","","","","","3"
"Single","1984","indirect migration background","higher education","1","","","","3"
"Single","1984","no migration background","in school","142","1","1","1","3"
"Single","1984","no migration background","inadequately","40","0.603492818488467","0.487226153121863","0.719759483855072","3"
"Single","1984","no migration background","general elemantary","515","0.24186275020646","0.223189031284458","0.260536469128462","3"
"Single","1984","no migration background","middle vocational","823","0.202106469201428","0.189851881788188","0.214361056614669","3"
"Single","1984","no migration background","vocational + Abi","63","0.391473639719239","0.316774237435132","0.466173042003345","3"
"Single","1984","no migration background","higher vocational","80","0.159458296367717","0.128579923726636","0.190336669008798","3"
"Single","1984","no migration background","higher education","116","0.193103896396848","0.161881356223196","0.224326436570501","3"
"Widowed","1984","indirect migration background","higher vocational","","","","","5"
"Widowed","1984","indirect migration background","higher education","","","","","5"
"Widowed","1984","direct migration background","higher education","1","","","","5"
"Widowed","1984","indirect migration background","in school","","","","","5"
"Widowed","1984","indirect migration background","inadequately","","","","","5"
"Widowed","1984","indirect migration background","general elemantary","","","","","5"
"Widowed","1984","indirect migration background","middle vocational","1","","","","5"
"Widowed","1984","indirect migration background","vocational + Abi","","","","","5"
"Widowed","1984","no migration background","in school","","","","","5"
"Widowed","1984","no migration background","inadequately","3","","","","5"
"Widowed","1984","no migration background","general elemantary","296","0.194076689234136","0.176829991476608","0.211323386991664","5"
"Widowed","1984","no migration background","middle vocational","257","0.0898446037746855","0.0811181079021944","0.0985710996471766","5"
"Widowed","1984","no migration background","vocational + Abi","7","","","","5"
"Widowed","1984","no migration background","higher vocational","31","0.076668253057703","0.0542274766280428","0.0991090294873632","5"
"Widowed","1984","no migration background","higher education","16","","","","5"
"Widowed","1984","direct migration background","in school","","","","","5"
"Widowed","1984","direct migration background","inadequately","21","","","","5"
"Widowed","1984","direct migration background","general elemantary","29","","","","5"
"Widowed","1984","direct migration background","middle vocational","11","","","","5"
"Widowed","1984","direct migration background","vocational + Abi","","","","","5"
"Widowed","1984","direct migration background","higher vocational","2","","","","5"
"Divorced","1985","no migration background","inadequately","4","","","","4"
"Divorced","1985","no migration background","middle vocational","173","0.050451605374269","0.0435796720809494","0.0573235386675886","4"
"Divorced","1985","no migration background","vocational + Abi","7","","","","4"
"Divorced","1985","no migration background","higher vocational","19","","","","4"
"Divorced","1985","direct migration background","in school","","","","","4"
"Divorced","1985","direct migration background","inadequately","15","","","","4"
"Divorced","1985","direct migration background","general elemantary","20","","","","4"
"Divorced","1985","direct migration background","middle vocational","10","","","","4"
"Divorced","1985","direct migration background","vocational + Abi","3","","","","4"
"Divorced","1985","indirect migration background","in school","","","","","4"
"Divorced","1985","indirect migration background","inadequately","","","","","4"
"Divorced","1985","indirect migration background","higher vocational","","","","","4"
"Divorced","1985","indirect migration background","higher education","1","","","","4"
"Divorced","1985","no migration background","in school","","","","","4"
"Divorced","1985","direct migration background","higher education","3","","","","4"
"Divorced","1985","indirect migration background","middle vocational","1","","","","4"
"Divorced","1985","no migration background","general elemantary","56","0.03199577050678","0.0241238193518551","0.0398677216617048","4"
"Divorced","1985","indirect migration background","general elemantary","1","","","","4"
"Divorced","1985","no migration background","higher education","21","","","","4"
"Divorced","1985","direct migration background","higher vocational","3","","","","4"
"Divorced","1985","indirect migration background","vocational + Abi","","","","","4"
"Married","1985","no migration background","in school","","","","","1"
"Married","1985","no migration background","inadequately","22","","","","1"
"Married","1985","no migration background","general elemantary","1019","0.488218683701057","0.46585996624402","0.510577401158094","1"
"Married","1985","no migration background","middle vocational","2576","0.620511531044908","0.605276017122001","0.635747044967814","1"
"Married","1985","no migration background","vocational + Abi","88","0.491492874984491","0.416120556745682","0.566865193223301","1"
"Married","1985","no migration background","higher vocational","376","0.676822355566239","0.636468852336328","0.717175858796151","1"
"Married","1985","no migration background","higher education","426","0.66966014105418","0.632119892008095","0.707200390100266","1"
"Married","1985","direct migration background","in school","","","","","1"
"Married","1985","direct migration background","inadequately","574","0.764270045358286","0.732437706839884","0.796102383876688","1"
"Married","1985","direct migration background","general elemantary","601","0.63272912896017","0.600454605627957","0.665003652292383","1"
"Married","1985","direct migration background","middle vocational","602","0.701798342374903","0.670971850405103","0.732624834344703","1"
"Married","1985","direct migration background","vocational + Abi","72","0.647055333848835","0.550958227461546","0.743152440236124","1"
"Married","1985","direct migration background","higher vocational","33","0.676259179016696","0.536407017995778","0.816111340037613","1"
"Married","1985","direct migration background","higher education","77","0.715079637251742","0.627483096680887","0.802676177822597","1"
"Married","1985","indirect migration background","in school","","","","","1"
"Married","1985","indirect migration background","inadequately","2","","","","1"
"Married","1985","indirect migration background","general elemantary","8","","","","1"
"Married","1985","indirect migration background","middle vocational","16","","","","1"
"Married","1985","indirect migration background","vocational + Abi","","","","","1"
"Married","1985","indirect migration background","higher vocational","2","","","","1"
"Married","1985","indirect migration background","higher education","","","","","1"
"Married, but separated","1985","indirect migration background","higher education","1","","","","2"
"Married, but separated","1985","indirect migration background","higher vocational","","","","","2"
"Married, but separated","1985","no migration background","in school","","","","","2"
"Married, but separated","1985","direct migration background","higher education","7","","","","2"
"Married, but separated","1985","indirect migration background","general elemantary","1","","","","2"
"Married, but separated","1985","no migration background","inadequately","1","","","","2"
"Married, but separated","1985","no migration background","general elemantary","22","","","","2"
"Married, but separated","1985","no migration background","middle vocational","55","0.0140217596852575","0.0103301326894767","0.0177133866810383","2"
"Married, but separated","1985","no migration background","vocational + Abi","","","","","2"
"Married, but separated","1985","direct migration background","in school","","","","","2"
"Married, but separated","1985","direct migration background","inadequately","33","0.078773772058686","0.0585709654181943","0.0989765786991777","2"
"Married, but separated","1985","direct migration background","general elemantary","21","","","","2"
"Married, but separated","1985","direct migration background","middle vocational","40","0.0545086843383603","0.039211040991428","0.0698063276852926","2"
"Married, but separated","1985","direct migration background","vocational + Abi","4","","","","2"
"Married, but separated","1985","direct migration background","higher vocational","","","","","2"
"Married, but separated","1985","indirect migration background","in school","","","","","2"
"Married, but separated","1985","indirect migration background","inadequately","","","","","2"
"Married, but separated","1985","indirect migration background","middle vocational","","","","","2"
"Married, but separated","1985","indirect migration background","vocational + Abi","","","","","2"
"Married, but separated","1985","no migration background","higher vocational","6","","","","2"
"Married, but separated","1985","no migration background","higher education","16","","","","2"
"Single","1985","direct migration background","in school","17","","","","3"
"Single","1985","indirect migration background","vocational + Abi","","","","","3"
"Single","1985","direct migration background","inadequately","43","0.0748068503182882","0.055076961942404","0.0945367386941724","3"
"Single","1985","direct migration background","middle vocational","183","0.188969780693697","0.162589609639101","0.215349951748294","3"
"Single","1985","direct migration background","higher vocational","5","","","","3"
"Single","1985","indirect migration background","general elemantary","46","0.752504118512326","0.639474436371001","0.865533800653651","3"
"Single","1985","indirect migration background","higher education","2","","","","3"
"Single","1985","direct migration background","general elemantary","187","0.175198603158294","0.149748022599378","0.20064918371721","3"
"Single","1985","direct migration background","vocational + Abi","16","","","","3"
"Single","1985","direct migration background","higher education","14","","","","3"
"Single","1985","indirect migration background","in school","9","","","","3"
"Single","1985","indirect migration background","inadequately","2","","","","3"
"Single","1985","indirect migration background","higher vocational","2","","","","3"
"Single","1985","no migration background","in school","151","1","1","1","3"
"Single","1985","no migration background","inadequately","51","0.648203613381283","0.544845975406822","0.751561251355743","3"
"Single","1985","no migration background","general elemantary","533","0.265102370699627","0.245359163397655","0.2848455780016","3"
"Single","1985","no migration background","middle vocational","843","0.216818635443458","0.20388077792392","0.229756492962997","3"
"Single","1985","no migration background","vocational + Abi","68","0.396440695314904","0.322692087208721","0.470189303421087","3"
"Single","1985","no migration background","higher vocational","83","0.18128950413517","0.148048452894949","0.214530555375391","3"
"Single","1985","no migration background","higher education","126","0.223178562287079","0.189945047578865","0.256412076995293","3"
"Single","1985","indirect migration background","middle vocational","36","0.467351103440624","0.334277056910949","0.600425149970298","3"
"Widowed","1985","indirect migration background","higher vocational","","","","","5"
"Widowed","1985","indirect migration background","higher education","","","","","5"
"Widowed","1985","no migration background","in school","","","","","5"
"Widowed","1985","no migration background","inadequately","4","","","","5"
"Widowed","1985","no migration background","general elemantary","290","0.204864360992012","0.18681128155499","0.222917440429035","5"
"Widowed","1985","no migration background","middle vocational","250","0.0981964684521075","0.0888534589936655","0.10753947791055","5"
"Widowed","1985","no migration background","vocational + Abi","6","","","","5"
"Widowed","1985","no migration background","higher vocational","32","0.0850034279094799","0.0609403490905874","0.109066506728373","5"
"Widowed","1985","no migration background","higher education","14","","","","5"
"Widowed","1985","direct migration background","in school","","","","","5"
"Widowed","1985","direct migration background","inadequately","18","","","","5"
"Widowed","1985","direct migration background","general elemantary","28","","","","5"
"Widowed","1985","direct migration background","middle vocational","11","","","","5"
"Widowed","1985","direct migration background","vocational + Abi","","","","","5"
"Widowed","1985","direct migration background","higher vocational","2","","","","5"
"Widowed","1985","direct migration background","higher education","1","","","","5"
"Widowed","1985","indirect migration background","middle vocational","1","","","","5"
"Widowed","1985","indirect migration background","vocational + Abi","","","","","5"
"Widowed","1985","indirect migration background","in school","","","","","5"
"Widowed","1985","indirect migration background","inadequately","","","","","5"
"Widowed","1985","indirect migration background","general elemantary","","","","","5"
"Divorced","1986","direct migration background","in school","","","","","4"
"Divorced","1986","direct migration background","higher education","3","","","","4"
"Divorced","1986","indirect migration background","in school","","","","","4"
"Divorced","1986","no migration background","in school","","","","","4"
"Divorced","1986","no migration background","inadequately","4","","","","4"
"Divorced","1986","no migration background","middle vocational","184","0.0506570523137697","0.0438923258845765","0.0574217787429629","4"
"Divorced","1986","no migration background","vocational + Abi","5","","","","4"
"Divorced","1986","no migration background","higher vocational","18","","","","4"
"Divorced","1986","direct migration background","inadequately","16","","","","4"
"Divorced","1986","direct migration background","general elemantary","23","","","","4"
"Divorced","1986","direct migration background","middle vocational","10","","","","4"
"Divorced","1986","direct migration background","vocational + Abi","4","","","","4"
"Divorced","1986","indirect migration background","inadequately","","","","","4"
"Divorced","1986","indirect migration background","general elemantary","1","","","","4"
"Divorced","1986","indirect migration background","middle vocational","1","","","","4"
"Divorced","1986","indirect migration background","higher vocational","","","","","4"
"Divorced","1986","indirect migration background","higher education","1","","","","4"
"Divorced","1986","no migration background","general elemantary","52","0.0298598939711587","0.0222229383673219","0.0374968495749956","4"
"Divorced","1986","no migration background","higher education","23","","","","4"
"Divorced","1986","direct migration background","higher vocational","5","","","","4"
"Divorced","1986","indirect migration background","vocational + Abi","","","","","4"
"Married","1986","direct migration background","higher education","86","0.737108596772024","0.654468889055113","0.819748304488935","1"
"Married","1986","indirect migration background","in school","","","","","1"
"Married","1986","indirect migration background","inadequately","2","","","","1"
"Married","1986","no migration background","in school","","","","","1"
"Married","1986","no migration background","inadequately","25","","","","1"
"Married","1986","no migration background","general elemantary","1034","0.503113907751823","0.480679196317687","0.525548619185959","1"
"Married","1986","no migration background","middle vocational","2655","0.612527918711762","0.597499895115821","0.627555942307703","1"
"Married","1986","no migration background","vocational + Abi","87","0.485127596329516","0.409999665474359","0.560255527184673","1"
"Married","1986","no migration background","higher vocational","395","0.698597768297594","0.659308921979108","0.73788661461608","1"
"Married","1986","no migration background","higher education","453","0.671834104132262","0.635313414132715","0.708354794131809","1"
"Married","1986","direct migration background","in school","","","","","1"
"Married","1986","direct migration background","inadequately","556","0.732187363899995","0.698953368867141","0.765421358932849","1"
"Married","1986","direct migration background","general elemantary","597","0.607622647294143","0.575525520845972","0.639719773742313","1"
"Married","1986","direct migration background","middle vocational","601","0.686912348053611","0.655936004897753","0.717888691209468","1"
"Married","1986","direct migration background","vocational + Abi","77","0.708605639938334","0.620850542683591","0.796360737193076","1"
"Married","1986","direct migration background","higher vocational","34","0.637947652898821","0.503383848633892","0.77251145716375","1"
"Married","1986","indirect migration background","general elemantary","10","","","","1"
"Married","1986","indirect migration background","middle vocational","17","","","","1"
"Married","1986","indirect migration background","vocational + Abi","","","","","1"
"Married","1986","indirect migration background","higher vocational","2","","","","1"
"Married","1986","indirect migration background","higher education","","","","","1"
"Married, but separated","1986","indirect migration background","higher education","1","","","","2"
"Married, but separated","1986","indirect migration background","higher vocational","","","","","2"
"Married, but separated","1986","no migration background","in school","","","","","2"
"Married, but separated","1986","direct migration background","higher education","7","","","","2"
"Married, but separated","1986","indirect migration background","general elemantary","1","","","","2"
"Married, but separated","1986","no migration background","inadequately","","","","","2"
"Married, but separated","1986","no migration background","general elemantary","20","","","","2"
"Married, but separated","1986","no migration background","middle vocational","74","0.019632423450433","0.0153528533714791","0.0239119935293868","2"
"Married, but separated","1986","no migration background","vocational + Abi","2","","","","2"
"Married, but separated","1986","direct migration background","in school","","","","","2"
"Married, but separated","1986","direct migration background","inadequately","42","0.0942760933788686","0.0723452866187121","0.116206900139025","2"
"Married, but separated","1986","direct migration background","general elemantary","31","0.0456012357847202","0.0318876682139984","0.0593148033554419","2"
"Married, but separated","1986","direct migration background","middle vocational","48","0.0631977054240102","0.046945169175809","0.0794502416722115","2"
"Married, but separated","1986","direct migration background","vocational + Abi","3","","","","2"
"Married, but separated","1986","direct migration background","higher vocational","1","","","","2"
"Married, but separated","1986","indirect migration background","in school","","","","","2"
"Married, but separated","1986","indirect migration background","inadequately","","","","","2"
"Married, but separated","1986","indirect migration background","middle vocational","","","","","2"
"Married, but separated","1986","indirect migration background","vocational + Abi","","","","","2"
"Married, but separated","1986","no migration background","higher vocational","8","","","","2"
"Married, but separated","1986","no migration background","higher education","15","","","","2"
"Single","1986","direct migration background","middle vocational","190","0.188089547885042","0.161986999304546","0.214192096465537","3"
"Single","1986","direct migration background","general elemantary","210","0.179512641035628","0.15428476571821","0.204740516353045","3"
"Single","1986","direct migration background","in school","29","","","","3"
"Single","1986","direct migration background","inadequately","50","0.08095679370201","0.0604852535275287","0.101428333876491","3"
"Single","1986","indirect migration background","in school","11","","","","3"
"Single","1986","indirect migration background","higher vocational","4","","","","3"
"Single","1986","indirect migration background","middle vocational","43","0.431635809026056","0.308346807951809","0.554924810100303","3"
"Single","1986","indirect migration background","higher education","2","","","","3"
"Single","1986","direct migration background","vocational + Abi","19","","","","3"
"Single","1986","direct migration background","higher vocational","7","","","","3"
"Single","1986","direct migration background","higher education","12","","","","3"
"Single","1986","indirect migration background","inadequately","5","","","","3"
"Single","1986","indirect migration background","general elemantary","47","0.748083971564385","0.637313205181469","0.858854737947301","3"
"Single","1986","indirect migration background","vocational + Abi","1","","","","3"
"Single","1986","no migration background","in school","140","1","1","1","3"
"Single","1986","no migration background","inadequately","49","0.608117762180494","0.502457228760939","0.713778295600048","3"
"Single","1986","no migration background","general elemantary","531","0.260206171187246","0.240519465256174","0.279892877118319","3"
"Single","1986","no migration background","middle vocational","877","0.218851868303851","0.206097453277639","0.231606283330063","3"
"Single","1986","no migration background","vocational + Abi","70","0.408701909866321","0.334804332298809","0.482599487433833","3"
"Single","1986","no migration background","higher vocational","74","0.15805418037898","0.126820187028846","0.189288173729113","3"
"Single","1986","no migration background","higher education","128","0.218396336334957","0.186261418344103","0.250531254325811","3"
"Widowed","1986","indirect migration background","higher education","","","","","5"
"Widowed","1986","indirect migration background","higher vocational","","","","","5"
"Widowed","1986","no migration background","in school","","","","","5"
"Widowed","1986","no migration background","inadequately","4","","","","5"
"Widowed","1986","no migration background","general elemantary","271","0.196043203866031","0.178229625981027","0.213856781751035","5"
"Widowed","1986","no migration background","middle vocational","247","0.0983307372201841","0.0891455714959851","0.107515902944383","5"
"Widowed","1986","no migration background","vocational + Abi","6","","","","5"
"Widowed","1986","no migration background","higher vocational","29","","","","5"
"Widowed","1986","no migration background","higher education","16","","","","5"
"Widowed","1986","direct migration background","in school","","","","","5"
"Widowed","1986","direct migration background","inadequately","18","","","","5"
"Widowed","1986","direct migration background","general elemantary","28","","","","5"
"Widowed","1986","direct migration background","middle vocational","12","","","","5"
"Widowed","1986","direct migration background","vocational + Abi","","","","","5"
"Widowed","1986","direct migration background","higher vocational","2","","","","5"
"Widowed","1986","direct migration background","higher education","1","","","","5"
"Widowed","1986","indirect migration background","in school","","","","","5"
"Widowed","1986","indirect migration background","inadequately","","","","","5"
"Widowed","1986","indirect migration background","general elemantary","","","","","5"
"Widowed","1986","indirect migration background","middle vocational","1","","","","5"
"Widowed","1986","indirect migration background","vocational + Abi","","","","","5"
"Divorced","1987","direct migration background","in school","","","","","4"
"Divorced","1987","direct migration background","higher education","3","","","","4"
"Divorced","1987","indirect migration background","in school","1","","","","4"
"Divorced","1987","no migration background","in school","","","","","4"
"Divorced","1987","no migration background","inadequately","3","","","","4"
"Divorced","1987","no migration background","general elemantary","53","0.0326574029715857","0.0245140450242544","0.0408007609189169","4"
"Divorced","1987","no migration background","middle vocational","192","0.053786697098557","0.0468181350943827","0.0607552591027314","4"
"Divorced","1987","no migration background","vocational + Abi","5","","","","4"
"Divorced","1987","no migration background","higher vocational","17","","","","4"
"Divorced","1987","direct migration background","inadequately","19","","","","4"
"Divorced","1987","direct migration background","general elemantary","25","","","","4"
"Divorced","1987","direct migration background","middle vocational","17","","","","4"
"Divorced","1987","direct migration background","vocational + Abi","4","","","","4"
"Divorced","1987","indirect migration background","inadequately","","","","","4"
"Divorced","1987","indirect migration background","general elemantary","1","","","","4"
"Divorced","1987","indirect migration background","middle vocational","1","","","","4"
"Divorced","1987","indirect migration background","higher vocational","","","","","4"
"Divorced","1987","indirect migration background","higher education","1","","","","4"
"Divorced","1987","no migration background","higher education","30","0.0498605924126637","0.0329845719000428","0.0667366129252845","4"
"Divorced","1987","direct migration background","higher vocational","4","","","","4"
"Divorced","1987","indirect migration background","vocational + Abi","","","","","4"
"Married","1987","direct migration background","higher education","81","0.731619055181769","0.644332202049821","0.818905908313716","1"
"Married","1987","indirect migration background","in school","","","","","1"
"Married","1987","indirect migration background","inadequately","2","","","","1"
"Married","1987","no migration background","in school","","","","","1"
"Married","1987","no migration background","inadequately","24","","","","1"
"Married","1987","no migration background","general elemantary","969","0.507075107396423","0.484169117382193","0.529981097410654","1"
"Married","1987","no migration background","middle vocational","2633","0.609357151134411","0.594286323560564","0.624427978708258","1"
"Married","1987","no migration background","vocational + Abi","91","0.500888747671771","0.426382214191288","0.575395281152253","1"
"Married","1987","no migration background","higher vocational","375","0.689143353992288","0.648815259952386","0.72947144803219","1"
"Married","1987","no migration background","higher education","444","0.652011735093589","0.615079323455964","0.688944146731214","1"
"Married","1987","direct migration background","in school","","","","","1"
"Married","1987","direct migration background","inadequately","541","0.746717822190722","0.713564432715363","0.77987121166608","1"
"Married","1987","direct migration background","general elemantary","617","0.611650282686432","0.5804106892871","0.642889876085764","1"
"Married","1987","direct migration background","middle vocational","613","0.707516822877945","0.677096043232396","0.737937602523495","1"
"Married","1987","direct migration background","vocational + Abi","77","0.733381144756604","0.646276604382558","0.82048568513065","1"
"Married","1987","direct migration background","higher vocational","42","0.752181807464217","0.638079414796955","0.866284200131479","1"
"Married","1987","indirect migration background","general elemantary","11","","","","1"
"Married","1987","indirect migration background","middle vocational","22","","","","1"
"Married","1987","indirect migration background","vocational + Abi","1","","","","1"
"Married","1987","indirect migration background","higher vocational","3","","","","1"
"Married","1987","indirect migration background","higher education","","","","","1"
"Married, but separated","1987","indirect migration background","higher education","1","","","","2"
"Married, but separated","1987","indirect migration background","higher vocational","","","","","2"
"Married, but separated","1987","no migration background","in school","","","","","2"
"Married, but separated","1987","direct migration background","middle vocational","39","0.0387523689287864","0.0258455779046161","0.0516591599529568","2"
"Married, but separated","1987","direct migration background","higher education","4","","","","2"
"Married, but separated","1987","indirect migration background","general elemantary","1","","","","2"
"Married, but separated","1987","no migration background","inadequately","3","","","","2"
"Married, but separated","1987","no migration background","vocational + Abi","1","","","","2"
"Married, but separated","1987","direct migration background","in school","","","","","2"
"Married, but separated","1987","no migration background","general elemantary","26","","","","2"
"Married, but separated","1987","no migration background","middle vocational","53","0.013861638130769","0.0102501398612393","0.0174731364002988","2"
"Married, but separated","1987","no migration background","higher vocational","7","","","","2"
"Married, but separated","1987","direct migration background","inadequately","39","0.0942123849943564","0.0719426756182943","0.116482094370418","2"
"Married, but separated","1987","direct migration background","general elemantary","38","0.0403563548837965","0.0277423426558509","0.052970367111742","2"
"Married, but separated","1987","direct migration background","vocational + Abi","3","","","","2"
"Married, but separated","1987","direct migration background","higher vocational","","","","","2"
"Married, but separated","1987","indirect migration background","in school","","","","","2"
"Married, but separated","1987","indirect migration background","inadequately","","","","","2"
"Married, but separated","1987","indirect migration background","middle vocational","1","","","","2"
"Married, but separated","1987","indirect migration background","vocational + Abi","","","","","2"
"Married, but separated","1987","no migration background","higher education","15","","","","2"
"Single","1987","indirect migration background","higher vocational","4","","","","3"
"Single","1987","direct migration background","in school","31","1","1","1","3"
"Single","1987","direct migration background","general elemantary","226","0.180645837681551","0.155985893037508","0.205305782325594","3"
"Single","1987","direct migration background","middle vocational","176","0.174582604402647","0.149196924371963","0.199968284433331","3"
"Single","1987","direct migration background","vocational + Abi","14","","","","3"
"Single","1987","direct migration background","higher vocational","7","","","","3"
"Single","1987","direct migration background","higher education","10","","","","3"
"Single","1987","indirect migration background","in school","8","","","","3"
"Single","1987","indirect migration background","inadequately","7","","","","3"
"Single","1987","indirect migration background","general elemantary","49","0.69764634609402","0.583324950127846","0.811967742060194","3"
"Single","1987","indirect migration background","middle vocational","52","0.525235004322858","0.413698018244406","0.636771990401309","3"
"Single","1987","indirect migration background","vocational + Abi","","","","","3"
"Single","1987","indirect migration background","higher education","2","","","","3"
"Single","1987","direct migration background","inadequately","43","0.0709463915508297","0.0513744953317424","0.0905182877699169","3"
"Single","1987","no migration background","in school","150","1","1","1","3"
"Single","1987","no migration background","inadequately","41","0.537812432407251","0.424218069680156","0.651406795134345","3"
"Single","1987","no migration background","general elemantary","505","0.237087194291284","0.217601582446264","0.256572806136304","3"
"Single","1987","no migration background","middle vocational","889","0.222114126601567","0.209274356771592","0.234953896431543","3"
"Single","1987","no migration background","vocational + Abi","72","0.42615334442978","0.35246379221954","0.49984289664002","3"
"Single","1987","no migration background","higher vocational","75","0.164437397901581","0.132140364895417","0.196734430907745","3"
"Single","1987","no migration background","higher education","133","0.22780942730565","0.195289785322633","0.260329069288667","3"
"Widowed","1987","indirect migration background","higher education","","","","","5"
"Widowed","1987","indirect migration background","higher vocational","","","","","5"
"Widowed","1987","no migration background","in school","","","","","5"
"Widowed","1987","no migration background","inadequately","3","","","","5"
"Widowed","1987","no migration background","general elemantary","277","0.209023148223471","0.190393629930064","0.227652666516877","5"
"Widowed","1987","no migration background","middle vocational","259","0.100880387034696","0.0915773808161495","0.110183393253242","5"
"Widowed","1987","no migration background","vocational + Abi","4","","","","5"
