"year","pgisced97","sampreg","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2013","general elemantary","Ostdeutschland, neue Bundeslaender","4.24","4","247","4.05","4.43","2","3","5","6"
"2013","general elemantary","Westdeutschland, alte Bundeslaender","4.46","5","1586","4.38","4.54","2","4","6","6"
"2013","higher education","Ostdeutschland, neue Bundeslaender","4.56","5","1208","4.48","4.64","3","4","6","6"
"2013","higher education","Westdeutschland, alte Bundeslaender","4.62","5","3255","4.57","4.67","3","4","6","6"
"2013","higher vocational","Ostdeutschland, neue Bundeslaender","4.64","5","375","4.51","4.77","3","4","6","6"
"2013","higher vocational","Westdeutschland, alte Bundeslaender","4.69","5","952","4.6","4.78","3","4","6","6"
"2013","in school","Ostdeutschland, neue Bundeslaender","4.57","5","33","4.1","5.04","3","4","5","6"
"2013","in school","Westdeutschland, alte Bundeslaender","4.26","4","226","4.07","4.45","2","3","5","6"
"2013","inadequately","Ostdeutschland, neue Bundeslaender","4.88","4.74","31","4.24","5.52","3","4","6","7"
"2013","inadequately","Westdeutschland, alte Bundeslaender","4.11","4","163","3.83","4.39","1","3","6","7"
"2013","middle vocational","Ostdeutschland, neue Bundeslaender","4.57","5","2355","4.51","4.63","3","4","6","6"
"2013","middle vocational","Westdeutschland, alte Bundeslaender","4.62","5","7053","4.58","4.66","2","4","6","6"
"2013","vocational + Abi","Ostdeutschland, neue Bundeslaender","4.7","5","170","4.49","4.91","3","4","6","6"
"2013","vocational + Abi","Westdeutschland, alte Bundeslaender","4.66","5","929","4.57","4.75","3","4","6","6"
"2014","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","general elemantary","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2014","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","higher education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2014","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","higher vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2014","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","in school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2014","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","inadequately","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2014","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","middle vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2014","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2014","vocational + Abi","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2015","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2015","general elemantary","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2015","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2015","higher education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2015","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2015","higher vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2015","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2015","in school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2015","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2015","inadequately","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2015","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2015","middle vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2015","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2015","vocational + Abi","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2016","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2016","general elemantary","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2016","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2016","higher education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2016","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2016","higher vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2016","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2016","in school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2016","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2016","inadequately","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2016","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2016","middle vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2016","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2016","vocational + Abi","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2017","general elemantary","Ostdeutschland, neue Bundeslaender","4.12","4","466","3.96","4.28","2","3","5","6"
"2017","general elemantary","Westdeutschland, alte Bundeslaender","4.45","5","2811","4.39","4.51","2","3","6","7"
"2017","higher education","Ostdeutschland, neue Bundeslaender","4.53","5","1524","4.46","4.6","3","4","6","6"
"2017","higher education","Westdeutschland, alte Bundeslaender","4.62","5","5492","4.58","4.66","3","4","6","6"
"2017","higher vocational","Ostdeutschland, neue Bundeslaender","4.68","5","399","4.54","4.82","3","4","6","6"
"2017","higher vocational","Westdeutschland, alte Bundeslaender","4.7","5","1144","4.62","4.78","3","4","6","6"
"2017","in school","Ostdeutschland, neue Bundeslaender","4.88","5","67","4.49","5.27","3","4","6","6"
"2017","in school","Westdeutschland, alte Bundeslaender","4.56","5","345","4.4","4.72","2","4","6","6"
"2017","inadequately","Ostdeutschland, neue Bundeslaender","4.55","5","231","4.3","4.8","2","4","6","7"
"2017","inadequately","Westdeutschland, alte Bundeslaender","4.56","5","1127","4.46","4.66","2","4","6","7"
"2017","middle vocational","Ostdeutschland, neue Bundeslaender","4.55","5","2944","4.5","4.6","2","4","6","6"
"2017","middle vocational","Westdeutschland, alte Bundeslaender","4.6","5","9620","4.57","4.63","2","4","6","6"
"2017","vocational + Abi","Ostdeutschland, neue Bundeslaender","4.79","5","340","4.63","4.95","3","4","6","7"
"2017","vocational + Abi","Westdeutschland, alte Bundeslaender","4.53","5","1946","4.46","4.6","2","4","6","6"
"2018","general elemantary","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2018","general elemantary","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2018","higher education","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2018","higher education","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2018","higher vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2018","higher vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2018","in school","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2018","in school","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2018","inadequately","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2018","inadequately","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2018","middle vocational","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2018","middle vocational","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2018","vocational + Abi","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2018","vocational + Abi","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2019","general elemantary","Ostdeutschland, neue Bundeslaender","4.19","4","370","4.02","4.36","2","3","6","6"
"2019","general elemantary","Westdeutschland, alte Bundeslaender","4.49","5","2028","4.42","4.56","2","3","6","6"
"2019","higher education","Ostdeutschland, neue Bundeslaender","4.56","5","1586","4.49","4.63","3","4","6","6"
"2019","higher education","Westdeutschland, alte Bundeslaender","4.64","5","5384","4.6","4.68","3","4","6","6"
"2019","higher vocational","Ostdeutschland, neue Bundeslaender","4.59","5","440","4.46","4.72","3","4","6","6"
"2019","higher vocational","Westdeutschland, alte Bundeslaender","4.79","5","1225","4.71","4.87","3","4","6","7"
"2019","in school","Ostdeutschland, neue Bundeslaender","4.45","4.65","53","4","4.9","2","3","6","7"
"2019","in school","Westdeutschland, alte Bundeslaender","4.62","5","274","4.43","4.81","3","4","6","6"
"2019","inadequately","Ostdeutschland, neue Bundeslaender","4.15","4","47","3.66","4.64","3","3","5","6"
"2019","inadequately","Westdeutschland, alte Bundeslaender","4.64","5","339","4.44","4.84","2","3","6","7"
"2019","middle vocational","Ostdeutschland, neue Bundeslaender","4.62","5","2603","4.56","4.68","3","4","6","6"
"2019","middle vocational","Westdeutschland, alte Bundeslaender","4.6","5","8457","4.57","4.63","2","4","6","6"
"2019","vocational + Abi","Ostdeutschland, neue Bundeslaender","4.53","5","321","4.37","4.69","3","4","5","6"
"2019","vocational + Abi","Westdeutschland, alte Bundeslaender","4.54","5","1839","4.47","4.61","2","4","6","6"
