"erwst","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1986","35-65 y.","Part Time","236","0.22193687141716","0.195055656209148","0.248818086625172","1"
"Full-time","1986","35-65 y.","Not Working","17","","","","1"
"Full-time","1986","66 and older","Full Time","8","","","","1"
"Full-time","1986","66 and older","Part Time","1","","","","1"
"Full-time","1986","66 and older","Not Working","1","","","","1"
"Non-working","1986","16-34 y.","Full Time","72","0.0306715834126636","0.0230458622683757","0.0382973045569516","5"
"Non-working","1986","16-34 y.","Part Time","206","0.241086691223436","0.212937301497386","0.269236080949486","5"
"Non-working","1986","35-65 y.","Not Working","1650","0.975701933353515","0.96836754242927","0.98303632427776","5"
"Non-working","1986","35-65 y.","Part Time","187","0.215401441612705","0.188807984044988","0.241994899180422","5"
"Non-working","1986","16-34 y.","Not Working","1143","0.907901927932048","0.89185249830087","0.923951357563226","5"
"Non-working","1986","66 and older","Full Time","4","","","","5"
"Non-working","1986","66 and older","Part Time","11","","","","5"
"Non-working","1986","66 and older","Not Working","1002","0.997969293317595","0.995186075164143","1.00075251147105","5"
"Non-working","1986","35-65 y.","Full Time","63","0.0225630230693132","0.0171459121885046","0.0279801339501219","5"
"Other","1986","16-34 y.","Full Time","204","0.103994359323904","0.0904942398171391","0.117494478830669","6"
"Other","1986","35-65 y.","Part Time","131","0.148398086660923","0.125401720483044","0.171394452838802","6"
"Other","1986","16-34 y.","Not Working","36","0.0304140686646535","0.0208829192463911","0.0399452180829159","6"
"Other","1986","35-65 y.","Full Time","10","","","","6"
"Other","1986","16-34 y.","Part Time","220","0.25039398258787","0.221882831136278","0.278905134039463","6"
"Other","1986","35-65 y.","Not Working","21","","","","6"
"Other","1986","66 and older","Full Time","","","","","6"
"Other","1986","66 and older","Part Time","9","","","","6"
"Other","1986","66 and older","Not Working","2","","","","6"
"Part-time","1986","16-34 y.","Part Time","159","0.184356597463972","0.158837472007702","0.209875722920242","2"
"Part-time","1986","35-65 y.","Not Working","5","","","","2"
"Part-time","1986","66 and older","Part Time","7","","","","2"
"Part-time","1986","16-34 y.","Full Time","32","0.0168799444264174","0.0111826831925841","0.0225772056602507","2"
"Part-time","1986","35-65 y.","Part Time","364","0.414263600309212","0.382398429943339","0.446128770675085","2"
"Part-time","1986","16-34 y.","Not Working","13","","","","2"
"Part-time","1986","66 and older","Not Working","","","","","2"
"Part-time","1986","35-65 y.","Full Time","60","0.0225618570030117","0.0171448828720916","0.0279788311339317","2"
"Part-time","1986","66 and older","Full Time","2","","","","2"
"Full-time","1987","16-34 y.","Full Time","1640","0.828140250787503","0.811560815533394","0.844719686041611","1"
"Full-time","1987","16-34 y.","Part Time","289","0.3052603786199","0.275453968262297","0.335066788977504","1"
"Full-time","1987","16-34 y.","Not Working","32","0.0323780153335337","0.0220941842217482","0.0426618464453191","1"
"Full-time","1987","35-65 y.","Full Time","2771","0.957990047558216","0.950678563451506","0.965301531664927","1"
"Full-time","1987","35-65 y.","Part Time","199","0.20252654165696","0.175837184973067","0.229215898340853","1"
"Full-time","1987","35-65 y.","Not Working","12","","","","1"
"Full-time","1987","66 and older","Full Time","14","","","","1"
"Full-time","1987","66 and older","Part Time","","","","","1"
"Full-time","1987","66 and older","Not Working","","","","","1"
"Non-working","1987","16-34 y.","Part Time","217","0.255684810776269","0.227449385811768","0.283920235740769","5"
"Non-working","1987","16-34 y.","Full Time","72","0.0334889059068068","0.0255823999805141","0.0413954118330995","5"
"Non-working","1987","35-65 y.","Part Time","161","0.187300825515826","0.161390446338867","0.213211204692785","5"
"Non-working","1987","35-65 y.","Not Working","1579","0.978946308903739","0.971951072560367","0.98594154524711","5"
"Non-working","1987","16-34 y.","Not Working","1071","0.935944026708921","0.921718062371026","0.950169991046816","5"
"Non-working","1987","35-65 y.","Full Time","64","0.0194877367121047","0.0144497599108995","0.02452571351331","5"
"Non-working","1987","66 and older","Full Time","3","","","","5"
"Non-working","1987","66 and older","Part Time","6","","","","5"
"Non-working","1987","66 and older","Not Working","1040","0.999172144303552","0.997425034478662","1.00091925412844","5"
"Other","1987","16-34 y.","Full Time","263","0.131123339292915","0.116289629928831","0.145957048656999","6"
"Other","1987","16-34 y.","Not Working","28","","","","6"
"Other","1987","35-65 y.","Full Time","10","","","","6"
"Other","1987","35-65 y.","Part Time","90","0.111288436912268","0.0904029574233437","0.132173916401192","6"
"Other","1987","16-34 y.","Part Time","235","0.23279120497567","0.20543829766912","0.260144112282221","6"
"Other","1987","35-65 y.","Not Working","14","","","","6"
"Other","1987","66 and older","Full Time","1","","","","6"
"Other","1987","66 and older","Part Time","9","","","","6"
"Other","1987","66 and older","Not Working","1","","","","6"
"Part-time","1987","16-34 y.","Full Time","14","","","","2"
"Part-time","1987","16-34 y.","Part Time","176","0.206263605628161","0.180074970023338","0.232452241232984","2"
"Part-time","1987","35-65 y.","Part Time","421","0.498884195914946","0.465678855535438","0.532089536294455","2"
"Part-time","1987","35-65 y.","Not Working","13","","","","2"
"Part-time","1987","66 and older","Part Time","11","","","","2"
"Part-time","1987","66 and older","Not Working","","","","","2"
"Part-time","1987","16-34 y.","Not Working","7","","","","2"
"Part-time","1987","35-65 y.","Full Time","47","0.0176565113214794","0.0128566014710737","0.0224564211718851","2"
"Part-time","1987","66 and older","Full Time","","","","","2"
"Full-time","1988","16-34 y.","Full Time","1559","0.82794793863562","0.811118253738825","0.844777623532415","1"
"Full-time","1988","16-34 y.","Part Time","250","0.281135827749548","0.251177224982251","0.311094430516846","1"
"Full-time","1988","16-34 y.","Not Working","36","0.0332243844822461","0.0224148386361571","0.0440339303283352","1"
"Full-time","1988","35-65 y.","Full Time","2563","0.964990876243573","0.957998096392893","0.971983656094252","1"
"Full-time","1988","35-65 y.","Part Time","232","0.223179570072957","0.196716186589911","0.249642953556004","1"
"Full-time","1988","35-65 y.","Not Working","14","","","","1"
"Full-time","1988","66 and older","Full Time","13","","","","1"
"Full-time","1988","66 and older","Part Time","2","","","","1"
"Full-time","1988","66 and older","Not Working","","","","","1"
"Non-working","1988","16-34 y.","Part Time","249","0.304758859010945","0.274083762444449","0.335433955577442","5"
"Non-working","1988","35-65 y.","Not Working","1472","0.975232222794473","0.967388089631963","0.983076355956982","5"
"Non-working","1988","35-65 y.","Part Time","185","0.189496452530901","0.16458862587302","0.214404279188782","5"
"Non-working","1988","16-34 y.","Full Time","66","0.0328753061228496","0.0249243259781265","0.0408262862675727","5"
"Non-working","1988","16-34 y.","Not Working","979","0.921834132002648","0.905643973462598","0.938024290542698","5"
"Non-working","1988","35-65 y.","Full Time","63","0.0222043930711442","0.0165985475479172","0.0278102385943712","5"
"Non-working","1988","66 and older","Full Time","2","","","","5"
"Non-working","1988","66 and older","Part Time","11","","","","5"
"Non-working","1988","66 and older","Not Working","1006","1","1","1","5"
"Other","1988","16-34 y.","Full Time","285","0.129193150253408","0.114236814970735","0.144149485536082","6"
"Other","1988","16-34 y.","Not Working","29","","","","6"
"Other","1988","35-65 y.","Full Time","2","","","","6"
"Other","1988","35-65 y.","Part Time","86","0.101607527704476","0.0824052022188133","0.120809853190139","6"
"Other","1988","16-34 y.","Part Time","214","0.230202289222587","0.202149040387275","0.2582555380579","6"
"Other","1988","35-65 y.","Not Working","13","","","","6"
"Other","1988","66 and older","Full Time","","","","","6"
"Other","1988","66 and older","Part Time","9","","","","6"
"Other","1988","66 and older","Not Working","","","","","6"
"Part-time","1988","16-34 y.","Part Time","152","0.183903024016919","0.15808604885651","0.209719999177328","2"
"Part-time","1988","35-65 y.","Not Working","9","","","","2"
"Part-time","1988","16-34 y.","Full Time","22","","","","2"
"Part-time","1988","35-65 y.","Part Time","448","0.485716449691665","0.453951325678826","0.517481573704505","2"
"Part-time","1988","35-65 y.","Full Time","26","","","","2"
"Part-time","1988","66 and older","Part Time","10","","","","2"
"Part-time","1988","66 and older","Not Working","","","","","2"
"Part-time","1988","16-34 y.","Not Working","12","","","","2"
"Part-time","1988","66 and older","Full Time","1","","","","2"
"Full-time","1989","16-34 y.","Full Time","1637","0.857053499777004","0.841510159864373","0.872596839689635","1"
"Full-time","1989","16-34 y.","Part Time","247","0.281357680954814","0.250467413360025","0.312247948549603","1"
"Full-time","1989","16-34 y.","Not Working","36","0.044896843667441","0.0321322922066087","0.0576613951282732","1"
"Full-time","1989","35-65 y.","Full Time","2485","0.954816068539412","0.946818347493655","0.962813789585169","1"
"Full-time","1989","35-65 y.","Part Time","196","0.199006447304707","0.172476490171686","0.225536404437729","1"
"Full-time","1989","35-65 y.","Not Working","17","","","","1"
"Full-time","1989","66 and older","Full Time","13","","","","1"
"Full-time","1989","66 and older","Part Time","1","","","","1"
"Full-time","1989","66 and older","Not Working","","","","","1"
"Non-working","1989","16-34 y.","Full Time","61","0.0285738006162535","0.0211753202464269","0.03597228098608","5"
"Non-working","1989","16-34 y.","Part Time","209","0.240591593396553","0.211227688216563","0.269955498576544","5"
"Non-working","1989","35-65 y.","Part Time","174","0.206875995430806","0.179959775867479","0.233792214994134","5"
"Non-working","1989","35-65 y.","Not Working","1413","0.981987196877846","0.975132196099752","0.988842197655939","5"
"Non-working","1989","66 and older","Full Time","1","","","","5"
"Non-working","1989","66 and older","Part Time","13","","","","5"
"Non-working","1989","66 and older","Not Working","979","0.997593259766789","0.994528589821891","1.00065792971169","5"
"Non-working","1989","16-34 y.","Not Working","921","0.899123920225098","0.880559713868477","0.917688126581719","5"
"Non-working","1989","35-65 y.","Full Time","58","0.0221191584940018","0.0164562224921172","0.0277820944958864","5"
"Other","1989","35-65 y.","Full Time","5","","","","6"
"Other","1989","35-65 y.","Part Time","96","0.108907460597442","0.0882070631327531","0.129607858062131","6"
"Other","1989","16-34 y.","Full Time","233","0.105644083511384","0.0919941229414524","0.119294044081316","6"
"Other","1989","16-34 y.","Part Time","183","0.240378838826014","0.211023808569186","0.269733869082842","6"
"Other","1989","16-34 y.","Not Working","41","0.042700411332216","0.0302377016388239","0.0551631210256081","6"
"Other","1989","35-65 y.","Not Working","7","","","","6"
"Other","1989","66 and older","Full Time","","","","","6"
"Other","1989","66 and older","Part Time","7","","","","6"
"Other","1989","66 and older","Not Working","2","","","","6"
"Part-time","1989","16-34 y.","Part Time","175","0.237671886822619","0.208430648287416","0.266913125357821","2"
"Part-time","1989","16-34 y.","Full Time","17","","","","2"
"Part-time","1989","35-65 y.","Part Time","404","0.485210096667044","0.452000133826877","0.518420059507211","2"
"Part-time","1989","35-65 y.","Not Working","9","","","","2"
"Part-time","1989","35-65 y.","Full Time","43","0.0196781678245222","0.0143301720935314","0.0250261635555129","2"
"Part-time","1989","66 and older","Part Time","9","","","","2"
"Part-time","1989","66 and older","Not Working","1","","","","2"
"Part-time","1989","16-34 y.","Not Working","13","","","","2"
"Part-time","1989","66 and older","Full Time","3","","","","2"
"Full-time","1990","16-34 y.","Full Time","1604","0.844015593917092","0.827734831715256","0.860296356118928","1"
"Full-time","1990","16-34 y.","Part Time","228","0.261264754954738","0.231412904931509","0.291116604977966","1"
"Full-time","1990","16-34 y.","Not Working","25","","","","1"
"Full-time","1990","35-65 y.","Full Time","2430","0.962462205739023","0.955036586088787","0.96988782538926","1"
"Full-time","1990","35-65 y.","Part Time","214","0.226436412662397","0.198641830103356","0.254230995221438","1"
"Full-time","1990","35-65 y.","Not Working","7","","","","1"
"Full-time","1990","66 and older","Full Time","11","","","","1"
"Full-time","1990","66 and older","Part Time","2","","","","1"
"Full-time","1990","66 and older","Not Working","2","","","","1"
"Non-working","1990","16-34 y.","Full Time","63","0.0310975895896427","0.0233089378047304","0.038886241374555","5"
"Non-working","1990","16-34 y.","Part Time","226","0.270808441213994","0.240613211156964","0.301003671271024","5"
"Non-working","1990","35-65 y.","Part Time","154","0.16592839157112","0.141222471372557","0.190634311769684","5"
"Non-working","1990","35-65 y.","Not Working","1377","0.97911654851697","0.971652802216028","0.986580294817913","5"
"Non-working","1990","66 and older","Full Time","2","","","","5"
"Non-working","1990","66 and older","Part Time","16","","","","5"
"Non-working","1990","66 and older","Not Working","1015","0.998116891884684","0.995452390533435","1.00078139323593","5"
"Non-working","1990","16-34 y.","Not Working","852","0.931672308264983","0.915350934182621","0.947993682347345","5"
"Non-working","1990","35-65 y.","Full Time","43","0.0181192591926173","0.0129084391752841","0.0233300792099505","5"
"Other","1990","35-65 y.","Part Time","89","0.108240313633285","0.0876075476614485","0.128873079605121","6"
"Other","1990","35-65 y.","Full Time","8","","","","6"
"Other","1990","16-34 y.","Full Time","214","0.109185339608113","0.0951915690696824","0.123179110146544","6"
"Other","1990","16-34 y.","Part Time","178","0.211673290541242","0.183916287112377","0.239430293970107","6"
"Other","1990","16-34 y.","Not Working","22","","","","6"
"Other","1990","35-65 y.","Not Working","9","","","","6"
"Other","1990","66 and older","Full Time","1","","","","6"
"Other","1990","66 and older","Part Time","2","","","","6"
"Other","1990","66 and older","Not Working","","","","","6"
"Part-time","1990","16-34 y.","Full Time","27","","","","2"
"Part-time","1990","16-34 y.","Part Time","200","0.256253513290027","0.226589233706312","0.285917792873741","2"
"Part-time","1990","35-65 y.","Part Time","414","0.499394882133198","0.466189483388349","0.532600280878047","2"
"Part-time","1990","35-65 y.","Not Working","17","","","","2"
"Part-time","1990","35-65 y.","Full Time","36","0.015800838209762","0.0109290540190665","0.0206726224004575","2"
"Part-time","1990","16-34 y.","Not Working","19","","","","2"
"Part-time","1990","66 and older","Part Time","10","","","","2"
"Part-time","1990","66 and older","Not Working","","","","","2"
"Part-time","1990","66 and older","Full Time","","","","","2"
"Full-time","1991","16-34 y.","Full Time","1567","0.840950526912022","0.824449404663018","0.857451649161026","1"
"Full-time","1991","16-34 y.","Part Time","199","0.225363110122754","0.197023403201756","0.253702817043753","1"
"Full-time","1991","16-34 y.","Not Working","44","0.044163590430038","0.0307480038281057","0.0575791770319703","1"
"Full-time","1991","35-65 y.","Full Time","2468","0.965974746921822","0.958924329970725","0.973025163872919","1"
"Full-time","1991","35-65 y.","Part Time","197","0.190834562465806","0.165075710072374","0.216593414859238","1"
"Full-time","1991","35-65 y.","Not Working","15","","","","1"
"Full-time","1991","66 and older","Full Time","7","","","","1"
"Full-time","1991","66 and older","Part Time","3","","","","1"
"Full-time","1991","66 and older","Not Working","1","","","","1"
"Non-working","1991","35-65 y.","Not Working","1292","0.97433185682197","0.965842325907678","0.982821387736261","5"
"Non-working","1991","16-34 y.","Full Time","60","0.0257740082998006","0.0186243879838634","0.0329236286157377","5"
"Non-working","1991","35-65 y.","Part Time","133","0.151850618619232","0.128325935116628","0.175375302121837","5"
"Non-working","1991","66 and older","Part Time","13","","","","5"
"Non-working","1991","66 and older","Not Working","1032","0.998631930260823","0.996380104627743","1.0008837558939","5"
"Non-working","1991","16-34 y.","Part Time","234","0.281681942442276","0.251171904424139","0.312191980460413","5"
"Non-working","1991","16-34 y.","Not Working","805","0.901069141261989","0.881573808910536","0.920564473613441","5"
"Non-working","1991","35-65 y.","Full Time","38","0.0171808648883925","0.0121273849530495","0.0222343448237356","5"
"Non-working","1991","66 and older","Full Time","","","","","5"
"Other","1991","35-65 y.","Full Time","8","","","","6"
"Other","1991","35-65 y.","Part Time","105","0.123971497777273","0.102369228568751","0.145573766985794","6"
"Other","1991","16-34 y.","Full Time","243","0.123799089278488","0.108938955609673","0.138659222947304","6"
"Other","1991","16-34 y.","Part Time","188","0.22183491844832","0.193653965366231","0.250015871530408","6"
"Other","1991","16-34 y.","Not Working","41","0.045764594326376","0.0321194458014491","0.0594097428513029","6"
"Other","1991","35-65 y.","Not Working","11","","","","6"
"Other","1991","66 and older","Full Time","1","","","","6"
"Other","1991","66 and older","Part Time","9","","","","6"
"Other","1991","66 and older","Not Working","2","","","","6"
"Part-time","1991","16-34 y.","Full Time","17","","","","2"
"Part-time","1991","16-34 y.","Part Time","214","0.27112002898665","0.240968199906585","0.301271858066715","2"
"Part-time","1991","35-65 y.","Part Time","459","0.533343321137689","0.500640779668771","0.566045862606607","2"
"Part-time","1991","35-65 y.","Full Time","26","","","","2"
"Part-time","1991","35-65 y.","Not Working","15","","","","2"
"Part-time","1991","66 and older","Part Time","7","","","","2"
"Part-time","1991","66 and older","Not Working","","","","","2"
"Part-time","1991","16-34 y.","Not Working","11","","","","2"
"Part-time","1991","66 and older","Full Time","1","","","","2"
"Full-time","1992","16-34 y.","Full Time","2205","0.834234266867781","0.820170991563033","0.848297542172528","1"
"Full-time","1992","16-34 y.","Part Time","322","0.251887848826355","0.22697142102053","0.27680427663218","1"
"Full-time","1992","16-34 y.","Not Working","29","","","","1"
"Full-time","1992","35-65 y.","Full Time","3629","0.937944552245813","0.93037962205284","0.945509482438786","1"
"Full-time","1992","35-65 y.","Part Time","309","0.192945129139207","0.171641243257115","0.2142490150213","1"
"Full-time","1992","35-65 y.","Not Working","21","","","","1"
"Full-time","1992","66 and older","Full Time","8","","","","1"
"Full-time","1992","66 and older","Part Time","2","","","","1"
"Full-time","1992","66 and older","Not Working","","","","","1"
"Non-working","1992","16-34 y.","Full Time","159","0.0526294505990449","0.0441850380011853","0.0610738631969045","5"
"Non-working","1992","35-65 y.","Part Time","368","0.260748712418981","0.237046028944989","0.284451395892974","5"
"Non-working","1992","35-65 y.","Not Working","1650","0.981935254404265","0.975577896568854","0.988292612239676","5"
"Non-working","1992","66 and older","Part Time","9","","","","5"
"Non-working","1992","66 and older","Not Working","1441","0.99927275288322","0.997881364132681","1.00066414163376","5"
"Non-working","1992","16-34 y.","Part Time","366","0.309871916768444","0.28332862534452","0.336415208192367","5"
"Non-working","1992","16-34 y.","Not Working","1052","0.921120904239981","0.905528379999054","0.936713428480908","5"
"Non-working","1992","35-65 y.","Full Time","197","0.0423966173019949","0.0360785416086875","0.0487146929953023","5"
"Non-working","1992","66 and older","Full Time","4","","","","5"
"Other","1992","16-34 y.","Full Time","286","0.10041838034017","0.0890520053545293","0.111784755325811","6"
"Other","1992","35-65 y.","Full Time","16","","","","6"
"Other","1992","35-65 y.","Part Time","84","0.0704695071120035","0.0566522186805142","0.0842867955434928","6"
"Other","1992","16-34 y.","Part Time","230","0.214505311097099","0.190944541781364","0.238066080412835","6"
"Other","1992","16-34 y.","Not Working","47","0.0349392811337653","0.024317155127147","0.0455614071403836","6"
"Other","1992","35-65 y.","Not Working","6","","","","6"
"Other","1992","66 and older","Full Time","","","","","6"
"Other","1992","66 and older","Part Time","7","","","","6"
"Other","1992","66 and older","Not Working","1","","","","6"
"Part-time","1992","16-34 y.","Full Time","36","0.0127179021930046","0.00848026805803897","0.0169555363279702","2"
"Part-time","1992","16-34 y.","Part Time","248","0.223734923308102","0.199814397072449","0.247655449543755","2"
"Part-time","1992","35-65 y.","Part Time","557","0.475836651329808","0.448874617064006","0.50279868559561","2"
"Part-time","1992","35-65 y.","Full Time","65","0.0153881983293904","0.0115285050703164","0.0192478915884645","2"
"Part-time","1992","35-65 y.","Not Working","9","","","","2"
"Part-time","1992","66 and older","Part Time","8","","","","2"
"Part-time","1992","66 and older","Not Working","","","","","2"
"Part-time","1992","16-34 y.","Not Working","20","","","","2"
"Part-time","1992","66 and older","Full Time","","","","","2"
"Full-time","1993","16-34 y.","Full Time","2159","0.829521785290453","0.81506428220395","0.843979288376956","1"
"Full-time","1993","16-34 y.","Part Time","261","0.222284328239525","0.198201349889533","0.246367306589517","1"
"Full-time","1993","16-34 y.","Not Working","56","0.0451525952230373","0.0332852719008701","0.0570199185452044","1"
"Full-time","1993","35-65 y.","Full Time","3451","0.946649828430129","0.939369178682985","0.953930478177273","1"
"Full-time","1993","35-65 y.","Part Time","323","0.232448339458477","0.209416222035005","0.25548045688195","1"
"Full-time","1993","35-65 y.","Not Working","20","","","","1"
"Full-time","1993","66 and older","Full Time","8","","","","1"
"Full-time","1993","66 and older","Part Time","","","","","1"
"Full-time","1993","66 and older","Not Working","","","","","1"
"Non-working","1993","16-34 y.","Full Time","112","0.0427948398857015","0.0350137009526441","0.050575978818759","5"
"Non-working","1993","16-34 y.","Part Time","406","0.351869365498664","0.324208398962868","0.37953033203446","5"
"Non-working","1993","16-34 y.","Not Working","1039","0.886778014323714","0.868668063443562","0.904887965203866","5"
"Non-working","1993","35-65 y.","Full Time","142","0.0372953703700026","0.0311565978453596","0.0434341428946456","5"
"Non-working","1993","35-65 y.","Part Time","335","0.227077863577088","0.204233865927901","0.249921861226275","5"
"Non-working","1993","35-65 y.","Not Working","1753","0.969678767721869","0.961770587010919","0.977586948432818","5"
"Non-working","1993","66 and older","Part Time","10","","","","5"
"Non-working","1993","66 and older","Not Working","1462","0.999239015220879","0.997825994259374","1.00065203618238","5"
"Non-working","1993","66 and older","Full Time","1","","","","5"
"Other","1993","16-34 y.","Full Time","297","0.116286495120654","0.10396210782119","0.128610882420119","6"
"Other","1993","16-34 y.","Part Time","243","0.204992234962392","0.181609261424856","0.228375208499928","6"
"Other","1993","16-34 y.","Not Working","56","0.0432115459283232","0.0315903106179563","0.05483278123869","6"
"Other","1993","35-65 y.","Full Time","6","","","","6"
"Other","1993","35-65 y.","Part Time","83","0.0787381431455811","0.0640522297175723","0.0934240565735899","6"
"Other","1993","35-65 y.","Not Working","23","","","","6"
"Other","1993","66 and older","Full Time","","","","","6"
"Other","1993","66 and older","Part Time","11","","","","6"
"Other","1993","66 and older","Not Working","1","","","","6"
"Part-time","1993","16-34 y.","Full Time","31","0.0113968797031914","0.00731604576993717","0.0154777136364455","2"
"Part-time","1993","16-34 y.","Part Time","235","0.220854071299419","0.196826633850343","0.244881508748495","2"
"Part-time","1993","35-65 y.","Part Time","551","0.461735653818853","0.434551779949759","0.488919527687948","2"
