"ple0019","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","2015","no migration background","Male","493","0.0647843069718542","0.059646783189801","0.0699218307539075","1"
"Yes","2015","no migration background","Female","1053","0.104281279215625","0.0984068972073271","0.110155661223924","1"
"Yes","2015","direct migration background","Male","75","0.0602185275673424","0.0496490096691993","0.0707880454654854","1"
"Yes","2015","direct migration background","Female","180","0.090833109546135","0.0792757085798883","0.102390510512382","1"
"Yes","2015","indirect migration background","Male","31","0.0329303202225483","0.020184216053437","0.0456764243916596","1"
"Yes","2015","indirect migration background","Female","68","0.0808434468198135","0.0628330239533563","0.0988538696862707","1"
"No","2016","no migration background","Male","","","","","2"
"No","2016","no migration background","Female","","","","","2"
"No","2016","direct migration background","Male","","","","","2"
"No","2016","direct migration background","Female","","","","","2"
"No","2016","indirect migration background","Male","","","","","2"
"No","2016","indirect migration background","Female","","","","","2"
"Yes","2016","direct migration background","Male","","","","","1"
"Yes","2016","direct migration background","Female","","","","","1"
"Yes","2016","no migration background","Male","","","","","1"
"Yes","2016","no migration background","Female","","","","","1"
"Yes","2016","indirect migration background","Male","","","","","1"
"Yes","2016","indirect migration background","Female","","","","","1"
"No","2017","no migration background","Male","8937","0.935148236149788","0.930187535412375","0.9401089368872","2"
"No","2017","no migration background","Female","9742","0.890253044863806","0.884377794598331","0.896128295129281","2"
"No","2017","direct migration background","Male","1979","0.936889929333159","0.92644760748617","0.947332251180147","2"
"No","2017","direct migration background","Female","2371","0.902845274923134","0.891428158080707","0.914262391765562","2"
"No","2017","indirect migration background","Male","752","0.954854432607362","0.940367190050255","0.96934167516447","2"
"No","2017","indirect migration background","Female","856","0.923028394455185","0.905860564578964","0.940196224331407","2"
"Yes","2017","direct migration background","Male","104","0.0631100706668415","0.0526677488198528","0.0735523925138302","1"
"Yes","2017","direct migration background","Female","214","0.0971547250768656","0.0857376082344377","0.108571841919294","1"
"Yes","2017","indirect migration background","Male","37","0.0451455673926376","0.0306583248355299","0.0596328099497453","1"
"Yes","2017","no migration background","Male","530","0.0648517638502122","0.0598910631127998","0.0698124645876247","1"
"Yes","2017","no migration background","Female","1131","0.109746955136194","0.103871704870719","0.115622205401669","1"
"Yes","2017","indirect migration background","Female","70","0.0769716055448147","0.0598037756685929","0.0941394354210364","1"
"No","2018","no migration background","Male","","","","","2"
"No","2018","no migration background","Female","","","","","2"
"No","2018","direct migration background","Male","","","","","2"
"No","2018","direct migration background","Female","","","","","2"
"No","2018","indirect migration background","Male","","","","","2"
"No","2018","indirect migration background","Female","","","","","2"
"Yes","2018","direct migration background","Male","","","","","1"
"Yes","2018","direct migration background","Female","","","","","1"
"Yes","2018","indirect migration background","Male","","","","","1"
"Yes","2018","no migration background","Male","","","","","1"
"Yes","2018","indirect migration background","Female","","","","","1"
"Yes","2018","no migration background","Female","","","","","1"
"No","2019","no migration background","Male","9127","0.920920799960724","0.915578986545261","0.926262613376186","2"
"No","2019","no migration background","Female","9235","0.875966584315588","0.8696612527581","0.882271915873076","2"
"No","2019","direct migration background","Male","1666","0.951073260540197","0.940954994490799","0.961191526589594","2"
"No","2019","direct migration background","Female","1915","0.890671084592085","0.877365788642556","0.903976380541614","2"
"No","2019","indirect migration background","Male","750","0.965283116413155","0.952621532428983","0.977944700397328","2"
"No","2019","indirect migration background","Female","803","0.867911141978663","0.845876034554007","0.889946249403319","2"
"Yes","2019","direct migration background","Male","80","0.0489267394598034","0.0388084734104059","0.0590450055092009","1"
"Yes","2019","direct migration background","Female","198","0.109328915407915","0.0960236194583855","0.122634211357444","1"
"Yes","2019","no migration background","Male","677","0.0790792000392765","0.0737373866238138","0.0844210134547392","1"
"Yes","2019","indirect migration background","Male","53","0.0347168835868448","0.0220552996026723","0.0473784675710173","1"
"Yes","2019","indirect migration background","Female","104","0.132088858021337","0.110053750596681","0.154123965445993","1"
"Yes","2019","no migration background","Female","1263","0.124033415684412","0.117728084126924","0.1303387472419","1"
