"transab_cat2","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Low transfer dependency","1985","secondary school degree","indirect migration background","","","",""
"Low transfer dependency","1985","college entrance qualification","no migration background","22","","",""
"Low transfer dependency","1985","college entrance qualification","direct migration background","7","","",""
"Low transfer dependency","1985","college entrance qualification","indirect migration background","1","","",""
"Low transfer dependency","1985","Other degree","no migration background","2","","",""
"Low transfer dependency","1985","Other degree","direct migration background","56","0.0453215089350582","0.0334127902942011","0.0572302275759153"
"Low transfer dependency","1985","Other degree","indirect migration background","3","","",""
"Low transfer dependency","1985","no degree/no degree yet","no migration background","13","","",""
"Low transfer dependency","1985","no degree/no degree yet","direct migration background","49","0.0682244986862671","0.0512547275483857","0.0851942698241485"
"Low transfer dependency","1985","no degree/no degree yet","indirect migration background","","","",""
"High transfer dependency","1985","lower secondary degree","no migration background","42","0.00990045836837756","0.00711002262931972","0.0126908941074354"
"High transfer dependency","1985","lower secondary degree","direct migration background","13","","",""
"High transfer dependency","1985","lower secondary degree","indirect migration background","2","","",""
"High transfer dependency","1985","secondary school degree","no migration background","10","","",""
"High transfer dependency","1985","secondary school degree","direct migration background","4","","",""
"High transfer dependency","1985","secondary school degree","indirect migration background","","","",""
"High transfer dependency","1985","college entrance qualification","no migration background","18","","",""
"High transfer dependency","1985","college entrance qualification","direct migration background","8","","",""
"High transfer dependency","1985","college entrance qualification","indirect migration background","","","",""
"High transfer dependency","1985","Other degree","no migration background","1","","",""
"High transfer dependency","1985","Other degree","direct migration background","22","","",""
"High transfer dependency","1985","Other degree","indirect migration background","","","",""
"High transfer dependency","1985","no degree/no degree yet","no migration background","2","","",""
"High transfer dependency","1985","no degree/no degree yet","direct migration background","10","","",""
"High transfer dependency","1985","no degree/no degree yet","indirect migration background","","","",""
"Very high transfer dependency","1985","lower secondary degree","no migration background","86","0.0182328898428671","0.0144620599746274","0.0220037197111069"
"Very high transfer dependency","1985","lower secondary degree","direct migration background","9","","",""
"Very high transfer dependency","1985","lower secondary degree","indirect migration background","","","",""
"Very high transfer dependency","1985","secondary school degree","no migration background","17","","",""
"Very high transfer dependency","1985","secondary school degree","direct migration background","4","","",""
"Very high transfer dependency","1985","secondary school degree","indirect migration background","1","","",""
"Very high transfer dependency","1985","college entrance qualification","no migration background","16","","",""
"Very high transfer dependency","1985","college entrance qualification","direct migration background","3","","",""
"Very high transfer dependency","1985","college entrance qualification","indirect migration background","","","",""
"Very high transfer dependency","1985","Other degree","no migration background","1","","",""
"Very high transfer dependency","1985","Other degree","direct migration background","18","","",""
"Very high transfer dependency","1985","Other degree","indirect migration background","","","",""
"Very high transfer dependency","1985","no degree/no degree yet","no migration background","11","","",""
"Very high transfer dependency","1985","no degree/no degree yet","direct migration background","21","","",""
"Very high transfer dependency","1985","no degree/no degree yet","indirect migration background","","","",""
"Very low transfer dependency","1986","lower secondary degree","no migration background","4273","0.948409612476161","0.941943167126042","0.95487605782628"
"Very low transfer dependency","1986","lower secondary degree","direct migration background","542","0.927245183581116","0.906215756034592","0.948274611127639"
"Very low transfer dependency","1986","lower secondary degree","indirect migration background","81","0.967030168079454","0.928616354644233","1.00544398151468"
"Very low transfer dependency","1986","secondary school degree","no migration background","1597","0.964448206560367","0.955524391725089","0.973372021395645"
"Very low transfer dependency","1986","secondary school degree","direct migration background","136","0.942338066081577","0.905034493104791","0.979641639058362"
"Very low transfer dependency","1986","secondary school degree","indirect migration background","29","","",""
"Very low transfer dependency","1986","college entrance qualification","no migration background","1074","0.942323789376486","0.928737050595435","0.955910528157536"
"Very low transfer dependency","1986","college entrance qualification","direct migration background","100","0.872739428407565","0.811292793710298","0.934186063104831"
"Very low transfer dependency","1986","college entrance qualification","indirect migration background","10","","",""
"Very low transfer dependency","1986","Other degree","no migration background","36","0.836371159919005","0.723134874866927","0.949607444971083"
"Very low transfer dependency","1986","Other degree","direct migration background","1033","0.919899272902473","0.903951910053466","0.93584663575148"
"Very low transfer dependency","1986","Other degree","indirect migration background","4","","",""
"Very low transfer dependency","1986","no degree/no degree yet","no migration background","200","0.911999172311956","0.874306335465833","0.949692009158079"
"Very low transfer dependency","1986","no degree/no degree yet","direct migration background","703","0.882459440038837","0.860043717014969","0.904875163062706"
"Very low transfer dependency","1986","no degree/no degree yet","indirect migration background","18","","",""
"Low transfer dependency","1986","lower secondary degree","no migration background","110","0.0240030355463468","0.0195285762615262","0.0284774948311674"
"Low transfer dependency","1986","lower secondary degree","direct migration background","26","","",""
"Low transfer dependency","1986","lower secondary degree","indirect migration background","1","","",""
"Low transfer dependency","1986","secondary school degree","no migration background","37","0.0210453596172676","0.0141280088479828","0.0279627103865524"
"Low transfer dependency","1986","secondary school degree","direct migration background","9","","",""
"Low transfer dependency","1986","secondary school degree","indirect migration background","1","","",""
"Low transfer dependency","1986","college entrance qualification","no migration background","27","","",""
"Low transfer dependency","1986","college entrance qualification","direct migration background","5","","",""
"Low transfer dependency","1986","college entrance qualification","indirect migration background","","","",""
"Low transfer dependency","1986","Other degree","no migration background","3","","",""
"Low transfer dependency","1986","Other degree","direct migration background","38","0.0333079020427747","0.0227660180560785","0.0438497860294709"
"Low transfer dependency","1986","Other degree","indirect migration background","1","","",""
"Low transfer dependency","1986","no degree/no degree yet","no migration background","5","","",""
"Low transfer dependency","1986","no degree/no degree yet","direct migration background","54","0.0641479481186971","0.0470947247569774","0.0812011714804168"
"Low transfer dependency","1986","no degree/no degree yet","indirect migration background","2","","",""
"High transfer dependency","1986","lower secondary degree","no migration background","47","0.0117861527120847","0.00863118628245807","0.0149411191417113"
"High transfer dependency","1986","lower secondary degree","direct migration background","8","","",""
"High transfer dependency","1986","lower secondary degree","indirect migration background","1","","",""
"High transfer dependency","1986","secondary school degree","no migration background","11","","",""
"High transfer dependency","1986","secondary school degree","direct migration background","2","","",""
"High transfer dependency","1986","secondary school degree","indirect migration background","","","",""
"High transfer dependency","1986","college entrance qualification","no migration background","10","","",""
"High transfer dependency","1986","college entrance qualification","direct migration background","","","",""
"High transfer dependency","1986","college entrance qualification","indirect migration background","","","",""
"High transfer dependency","1986","Other degree","no migration background","1","","",""
"High transfer dependency","1986","Other degree","direct migration background","20","","",""
"High transfer dependency","1986","Other degree","indirect migration background","","","",""
"High transfer dependency","1986","no degree/no degree yet","no migration background","1","","",""
"High transfer dependency","1986","no degree/no degree yet","direct migration background","19","","",""
"High transfer dependency","1986","no degree/no degree yet","indirect migration background","","","",""
"Very high transfer dependency","1986","lower secondary degree","no migration background","65","0.0158011992654073","0.0121555936570547","0.0194468048737599"
"Very high transfer dependency","1986","lower secondary degree","direct migration background","10","","",""
"Very high transfer dependency","1986","lower secondary degree","indirect migration background","","","",""
"Very high transfer dependency","1986","secondary school degree","no migration background","9","","",""
"Very high transfer dependency","1986","secondary school degree","direct migration background","3","","",""
"Very high transfer dependency","1986","secondary school degree","indirect migration background","1","","",""
"Very high transfer dependency","1986","college entrance qualification","no migration background","20","","",""
"Very high transfer dependency","1986","college entrance qualification","direct migration background","8","","",""
"Very high transfer dependency","1986","college entrance qualification","indirect migration background","","","",""
"Very high transfer dependency","1986","Other degree","no migration background","1","","",""
"Very high transfer dependency","1986","Other degree","direct migration background","22","","",""
"Very high transfer dependency","1986","Other degree","indirect migration background","","","",""
"Very high transfer dependency","1986","no degree/no degree yet","no migration background","11","","",""
"Very high transfer dependency","1986","no degree/no degree yet","direct migration background","17","","",""
"Very high transfer dependency","1986","no degree/no degree yet","indirect migration background","","","",""
"Very low transfer dependency","1987","lower secondary degree","no migration background","4173","0.946350067151772","0.939694512587204","0.95300562171634"
"Very low transfer dependency","1987","lower secondary degree","direct migration background","569","0.935105949201924","0.915573336532761","0.954638561871088"
"Very low transfer dependency","1987","lower secondary degree","indirect migration background","82","0.907722290639866","0.848258540117343","0.967186041162388"
"Very low transfer dependency","1987","secondary school degree","no migration background","1590","0.97029175562925","0.962079713303866","0.978503797954634"
"Very low transfer dependency","1987","secondary school degree","direct migration background","140","0.927669266824535","0.886757734256505","0.968580799392565"
"Very low transfer dependency","1987","secondary school degree","indirect migration background","32","0.977587167953193","0.927832395202167","1.02734194070422"
"Very low transfer dependency","1987","college entrance qualification","no migration background","1044","0.945793602315498","0.932413014028742","0.959174190602255"
"Very low transfer dependency","1987","college entrance qualification","direct migration background","106","0.913305061351853","0.861423424047654","0.965186698656052"
"Very low transfer dependency","1987","college entrance qualification","indirect migration background","15","","",""
"Very low transfer dependency","1987","Other degree","no migration background","43","0.872522124835532","0.777175616344311","0.967868633326754"
"Very low transfer dependency","1987","Other degree","direct migration background","1025","0.931584514843721","0.916651920856009","0.946517108831432"
"Very low transfer dependency","1987","Other degree","indirect migration background","6","","",""
"Very low transfer dependency","1987","no degree/no degree yet","no migration background","190","0.910386205442986","0.871569677022485","0.949202733863487"
"Very low transfer dependency","1987","no degree/no degree yet","direct migration background","699","0.900025671456697","0.878879583196362","0.921171759717033"
"Very low transfer dependency","1987","no degree/no degree yet","indirect migration background","19","","",""
"Low transfer dependency","1987","lower secondary degree","no migration background","139","0.0308422816867054","0.0257355360400062","0.0359490273334045"
"Low transfer dependency","1987","lower secondary degree","direct migration background","24","","",""
"Low transfer dependency","1987","lower secondary degree","indirect migration background","8","","",""
"Low transfer dependency","1987","secondary school degree","no migration background","30","0.0168391792501872","0.0106156855203258","0.0230626729800487"
"Low transfer dependency","1987","secondary school degree","direct migration background","8","","",""
"Low transfer dependency","1987","secondary school degree","indirect migration background","1","","",""
"Low transfer dependency","1987","college entrance qualification","no migration background","32","0.0293291831741656","0.0193582060749585","0.0393001602733727"
"Low transfer dependency","1987","college entrance qualification","direct migration background","3","","",""
"Low transfer dependency","1987","college entrance qualification","indirect migration background","1","","",""
"Low transfer dependency","1987","Other degree","no migration background","1","","",""
"Low transfer dependency","1987","Other degree","direct migration background","38","0.0328947913526298","0.0223449154726352","0.0434446672326244"
"Low transfer dependency","1987","Other degree","indirect migration background","","","",""
"Low transfer dependency","1987","no degree/no degree yet","no migration background","8","","",""
"Low transfer dependency","1987","no degree/no degree yet","direct migration background","38","0.0458156861428613","0.0310762259696392","0.0605551463160834"
"Low transfer dependency","1987","no degree/no degree yet","indirect migration background","","","",""
"High transfer dependency","1987","lower secondary degree","no migration background","36","0.00862572559295427","0.00589429361354458","0.011357157572364"
"High transfer dependency","1987","lower secondary degree","direct migration background","7","","",""
"High transfer dependency","1987","lower secondary degree","indirect migration background","","","",""
"High transfer dependency","1987","secondary school degree","no migration background","11","","",""
"High transfer dependency","1987","secondary school degree","direct migration background","3","","",""
"High transfer dependency","1987","secondary school degree","indirect migration background","","","",""
"High transfer dependency","1987","college entrance qualification","no migration background","8","","",""
"High transfer dependency","1987","college entrance qualification","direct migration background","2","","",""
"High transfer dependency","1987","college entrance qualification","indirect migration background","","","",""
"High transfer dependency","1987","Other degree","no migration background","2","","",""
"High transfer dependency","1987","Other degree","direct migration background","17","","",""
"High transfer dependency","1987","Other degree","indirect migration background","","","",""
"High transfer dependency","1987","no degree/no degree yet","no migration background","2","","",""
"High transfer dependency","1987","no degree/no degree yet","direct migration background","21","","",""
"High transfer dependency","1987","no degree/no degree yet","indirect migration background","","","",""
"Very high transfer dependency","1987","lower secondary degree","no migration background","55","0.0141819255685681","0.0106893988489587","0.0176744522881776"
"Very high transfer dependency","1987","lower secondary degree","direct migration background","11","","",""
"Very high transfer dependency","1987","lower secondary degree","indirect migration background","1","","",""
"Very high transfer dependency","1987","secondary school degree","no migration background","11","","",""
"Very high transfer dependency","1987","secondary school degree","direct migration background","3","","",""
"Very high transfer dependency","1987","secondary school degree","indirect migration background","1","","",""
"Very high transfer dependency","1987","college entrance qualification","no migration background","16","","",""
"Very high transfer dependency","1987","college entrance qualification","direct migration background","2","","",""
"Very high transfer dependency","1987","college entrance qualification","indirect migration background","","","",""
"Very high transfer dependency","1987","Other degree","no migration background","1","","",""
"Very high transfer dependency","1987","Other degree","direct migration background","18","","",""
"Very high transfer dependency","1987","Other degree","indirect migration background","","","",""
"Very high transfer dependency","1987","no degree/no degree yet","no migration background","8","","",""
"Very high transfer dependency","1987","no degree/no degree yet","direct migration background","15","","",""
"Very high transfer dependency","1987","no degree/no degree yet","indirect migration background","","","",""
"Very low transfer dependency","1988","lower secondary degree","no migration background","3965","0.949181506491533","0.942509900150397","0.955853112832669"
"Very low transfer dependency","1988","lower secondary degree","direct migration background","569","0.944662030680267","0.926547703028017","0.962776358332517"
"Very low transfer dependency","1988","lower secondary degree","indirect migration background","95","0.905652866396796","0.849473522939879","0.961832209853712"
"Very low transfer dependency","1988","secondary school degree","no migration background","1521","0.970156568218824","0.961729092546131","0.978584043891517"
"Very low transfer dependency","1988","secondary school degree","direct migration background","141","0.952753565684794","0.919024748814391","0.986482382555197"
"Very low transfer dependency","1988","secondary school degree","indirect migration background","43","0.981144184744886","0.941403906054162","1.02088446343561"
"Very low transfer dependency","1988","college entrance qualification","no migration background","1012","0.967724618009903","0.957014510290582","0.978434725729224"
"Very low transfer dependency","1988","college entrance qualification","direct migration background","105","0.945773124620749","0.903452455740507","0.98809379350099"
"Very low transfer dependency","1988","college entrance qualification","indirect migration background","18","","",""
"Very low transfer dependency","1988","Other degree","no migration background","37","0.835454379902559","0.723322790200716","0.947585969604403"
"Very low transfer dependency","1988","Other degree","direct migration background","936","0.909929518401298","0.892291371548261","0.927567665254335"
"Very low transfer dependency","1988","Other degree","indirect migration background","8","","",""
"Very low transfer dependency","1988","no degree/no degree yet","no migration background","166","0.894133859751814","0.849435436095921","0.938832283407707"
"Very low transfer dependency","1988","no degree/no degree yet","direct migration background","617","0.858190006879955","0.832235457068361","0.884144556691548"
"Very low transfer dependency","1988","no degree/no degree yet","indirect migration background","25","","",""
"Low transfer dependency","1988","lower secondary degree","no migration background","95","0.0228850742061024","0.0183425853374604","0.0274275630747444"
"Low transfer dependency","1988","lower secondary degree","direct migration background","27","","",""
"Low transfer dependency","1988","lower secondary degree","indirect migration background","3","","",""
"Low transfer dependency","1988","secondary school degree","no migration background","28","","",""
"Low transfer dependency","1988","secondary school degree","direct migration background","7","","",""
"Low transfer dependency","1988","secondary school degree","indirect migration background","1","","",""
"Low transfer dependency","1988","college entrance qualification","no migration background","21","","",""
"Low transfer dependency","1988","college entrance qualification","direct migration background","4","","",""
"Low transfer dependency","1988","college entrance qualification","indirect migration background","2","","",""
"Low transfer dependency","1988","Other degree","no migration background","2","","",""
"Low transfer dependency","1988","Other degree","direct migration background","41","0.0476070465941166","0.034488022144118","0.0607260710441151"
"Low transfer dependency","1988","Other degree","indirect migration background","2","","",""
"Low transfer dependency","1988","no degree/no degree yet","no migration background","9","","",""
"Low transfer dependency","1988","no degree/no degree yet","direct migration background","51","0.0866322309520444","0.0657040758103001","0.107560386093789"
"Low transfer dependency","1988","no degree/no degree yet","indirect migration background","2","","",""
"High transfer dependency","1988","lower secondary degree","no migration background","36","0.0089590956322936","0.00609674546872882","0.0118214457958584"
"High transfer dependency","1988","lower secondary degree","direct migration background","5","","",""
"High transfer dependency","1988","lower secondary degree","indirect migration background","3","","",""
"High transfer dependency","1988","secondary school degree","no migration background","9","","",""
"High transfer dependency","1988","secondary school degree","direct migration background","1","","",""
"High transfer dependency","1988","secondary school degree","indirect migration background","","","",""
"High transfer dependency","1988","college entrance qualification","no migration background","8","","",""
"High transfer dependency","1988","college entrance qualification","direct migration background","1","","",""
"High transfer dependency","1988","college entrance qualification","indirect migration background","","","",""
"High transfer dependency","1988","Other degree","no migration background","","","",""
"High transfer dependency","1988","Other degree","direct migration background","14","","",""
"High transfer dependency","1988","Other degree","indirect migration background","","","",""
"High transfer dependency","1988","no degree/no degree yet","no migration background","","","",""
"High transfer dependency","1988","no degree/no degree yet","direct migration background","7","","",""
"High transfer dependency","1988","no degree/no degree yet","indirect migration background","1","","",""
"Very high transfer dependency","1988","lower secondary degree","no migration background","67","0.0189743236700714","0.0148298610684798","0.023118786271663"
"Very high transfer dependency","1988","lower secondary degree","direct migration background","11","","",""
"Very high transfer dependency","1988","lower secondary degree","indirect migration background","3","","",""
"Very high transfer dependency","1988","secondary school degree","no migration background","8","","",""
"Very high transfer dependency","1988","secondary school degree","direct migration background","3","","",""
"Very high transfer dependency","1988","secondary school degree","indirect migration background","1","","",""
"Very high transfer dependency","1988","college entrance qualification","no migration background","5","","",""
"Very high transfer dependency","1988","college entrance qualification","direct migration background","","","",""
"Very high transfer dependency","1988","college entrance qualification","indirect migration background","1","","",""
"Very high transfer dependency","1988","Other degree","no migration background","3","","",""
"Very high transfer dependency","1988","Other degree","direct migration background","21","","",""
"Very high transfer dependency","1988","Other degree","indirect migration background","1","","",""
"Very high transfer dependency","1988","no degree/no degree yet","no migration background","7","","",""
"Very high transfer dependency","1988","no degree/no degree yet","direct migration background","19","","",""
"Very high transfer dependency","1988","no degree/no degree yet","indirect migration background","","","",""
"Very low transfer dependency","1989","lower secondary degree","no migration background","3745","0.950292327585235","0.9435050528979","0.957079602272569"
"Very low transfer dependency","1989","lower secondary degree","direct migration background","547","0.936779599282188","0.917209086602599","0.956350111961777"
"Very low transfer dependency","1989","lower secondary degree","indirect migration background","111","0.877622391159062","0.818740813286957","0.936503969031166"
"Very low transfer dependency","1989","secondary school degree","no migration background","1474","0.973732415545709","0.965668504257213","0.981796326834205"
"Very low transfer dependency","1989","secondary school degree","direct migration background","143","0.951517495022705","0.917145607989907","0.985889382055504"
"Very low transfer dependency","1989","secondary school degree","indirect migration background","50","0.993495275873704","0.971432490139394","1.01555806160801"
"Very low transfer dependency","1989","college entrance qualification","no migration background","1022","0.95733381846125","0.945167231984932","0.969500404937569"
"Very low transfer dependency","1989","college entrance qualification","direct migration background","113","0.964352610081743","0.931179265002074","0.997525955161413"
"Very low transfer dependency","1989","college entrance qualification","indirect migration background","20","","",""
"Very low transfer dependency","1989","Other degree","no migration background","34","0.811287637593104","0.688486216579468","0.93408905860674"
"Very low transfer dependency","1989","Other degree","direct migration background","897","0.90934431845888","0.891377330374005","0.927311306543754"
"Very low transfer dependency","1989","Other degree","indirect migration background","10","","",""
"Very low transfer dependency","1989","no degree/no degree yet","no migration background","162","0.886560816297283","0.840103150204952","0.933018482389614"
"Very low transfer dependency","1989","no degree/no degree yet","direct migration background","591","0.855784577936875","0.829043469359361","0.882525686514389"
"Very low transfer dependency","1989","no degree/no degree yet","indirect migration background","34","0.901975008527463","0.808653565351718","0.995296451703208"
"Low transfer dependency","1989","lower secondary degree","no migration background","96","0.0213042714469888","0.0167949386257088","0.0258136042682687"
"Low transfer dependency","1989","lower secondary degree","direct migration background","30","0.0335864687326237","0.0190981316398319","0.0480748058254154"
"Low transfer dependency","1989","lower secondary degree","indirect migration background","5","","",""
"Low transfer dependency","1989","secondary school degree","no migration background","18","","",""
"Low transfer dependency","1989","secondary school degree","direct migration background","1","","",""
"Low transfer dependency","1989","secondary school degree","indirect migration background","1","","",""
"Low transfer dependency","1989","college entrance qualification","no migration background","24","","",""
"Low transfer dependency","1989","college entrance qualification","direct migration background","7","","",""
"Low transfer dependency","1989","college entrance qualification","indirect migration background","2","","",""
"Low transfer dependency","1989","Other degree","no migration background","1","","",""
"Low transfer dependency","1989","Other degree","direct migration background","45","0.0423925688068864","0.0297843943915838","0.055000743222189"
"Low transfer dependency","1989","Other degree","indirect migration background","","","",""
"Low transfer dependency","1989","no degree/no degree yet","no migration background","7","","",""
"Low transfer dependency","1989","no degree/no degree yet","direct migration background","43","0.083581247048109","0.062514730249885","0.104647763846333"
"Low transfer dependency","1989","no degree/no degree yet","indirect migration background","4","","",""
"High transfer dependency","1989","lower secondary degree","no migration background","32","0.0091471081415971","0.00617406235246362","0.0121201539307306"
"High transfer dependency","1989","lower secondary degree","direct migration background","10","","",""
"High transfer dependency","1989","lower secondary degree","indirect migration background","","","",""
"High transfer dependency","1989","secondary school degree","no migration background","9","","",""
"High transfer dependency","1989","secondary school degree","direct migration background","4","","",""
"High transfer dependency","1989","secondary school degree","indirect migration background","","","",""
"High transfer dependency","1989","college entrance qualification","no migration background","11","","",""
"High transfer dependency","1989","college entrance qualification","direct migration background","","","",""
"High transfer dependency","1989","college entrance qualification","indirect migration background","1","","",""
"High transfer dependency","1989","Other degree","no migration background","1","","",""
"High transfer dependency","1989","Other degree","direct migration background","14","","",""
"High transfer dependency","1989","Other degree","indirect migration background","","","",""
"High transfer dependency","1989","no degree/no degree yet","no migration background","3","","",""
"High transfer dependency","1989","no degree/no degree yet","direct migration background","12","","",""
"High transfer dependency","1989","no degree/no degree yet","indirect migration background","1","","",""
"Very high transfer dependency","1989","lower secondary degree","no migration background","66","0.0192562928261793","0.0149646931239107","0.023547892528448"
"Very high transfer dependency","1989","lower secondary degree","direct migration background","7","","",""
"Very high transfer dependency","1989","lower secondary degree","indirect migration background","3","","",""
"Very high transfer dependency","1989","secondary school degree","no migration background","10","","",""
"Very high transfer dependency","1989","secondary school degree","direct migration background","2","","",""
"Very high transfer dependency","1989","secondary school degree","indirect migration background","","","",""
